"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Salix","Vitis","Papaveraceae","Juniperus","Geraniaceae","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Filago-type","Pimpinella-type","Turgenia-type","Cephalaria","Nymphaea","Alnus","Fabaceae","Pistacia","Rumex acetosa-type","Capsella-type","Ephedra fragilis-type","Asphodelus albus-type","Populus","Plantago lanceolata-type","Poterium sanguisorba","Alisma","Polypodiaceae","Lythrum","Apiaceae","Asteroideae","Brassica-type","Ostrya/Carpinus orientalis","Matricaria-type","Fallopia convolvulus-type","Olea","Centaurea solstitialis-type","Poaceae (Cerealia-type)","Ranunculus sect. Batrachium-type","Persicaria maculosa-type","Artemisia herba-alba-type","Cichorioideae","Sparganium-type","Amaranthaceae","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Quercus coccifera-type","Cyperaceae","Quercus robur/Q. cerris","Pinus","Poaceae","Daphne","Theligonum","Carpinus betulus","Fagopyrum","Galium-type","Artemisia vulgaris-type","Noaea-type","Cladium mariscus","Anisosciadium-type","Isoëtes","Ulmus","Ranunculaceae","Rhamnus","Filipendula","Senecio-type","Hedera","Thymus/Mentha","cf. Veronica","Halothamnus-type","Ericaceae","Caryophyllaceae","Fraxinus ornus","Monactinus simplex","Allium","Juglans","Butomus umbellatus","Echinops","Valerianella","Scrophularia/Verbascum/Digitalis","Datisca","Psoraleeae","Dryopteris-type","Castanea","Bupleurum-type","Phillyrea","Cotinus coggygria","Carthamus","Monactinus simplex (type clathratum)","Plantago undiff.","Thalictrum","Platanus","Oleaceae","Cedrus","Hypericum","Ligustrum","Gypsophila-type","Myrtus","Onobrychis-type","Inula-type","Plantago maritima-type","Plantago major-type","Abies","Rosaceae","Potamogeton","Trifolium-type","Plantago coronopus-type","Ranunculus asiaticus-type","Stachys-type","Helianthemum","Ranunculus sceleratus-type","Psammogeton-type","Corylus","Vicia-type","Tamarix","Delphinium","Rhinanthus-type","Ranunculus repens-type","cf. Medicago minima","Ephedra distachya-type","Echinophora-type","Typha latifolia","Liliaceae","Solanum dulcamara","cf. Prunus-type","Myriophyllum alterniflorum","Silene-type","cf. Cerastium glomeratum","Colchicum","Haplophyllum","Centaurea cyanus-type","Fagus","Scrophulariaceae","Scilla-type","Acantholimon","Ophioglossum","Ferula-type","Equisetum","Acer","Dianthus-type","Paliurus","Hippophaë","Prunus-type","Muscari","Calligonum","Leontice leontopetalum","cf. Bunium rectangulum","Pseudopediastrum boryanum","Sisyrinchium","Centaurea/Xeranthemum","cf. Falcaria","cf. Levisticum","Xanthium","Nuphar","Centaurea jacea-type","Valeriana","Callipeltis microstegia-type","Lomelosia rotata-type","Campanulaceae","Carduus-type","Teucrium","Parietaria","Crataegus-type","Dipsacus-type","cf. Euphorbiaceae","Mercurialis-type","Psylliostachys","Malabaila","Urtica dioica-type","Potentilla-type","Erodium","Taxus","Asperula-type","Lecokia","Trachyspermum-type","Geum-type","Onosma-type","Gagea-type","Serratula","Vaccaria/Petrorhagia","Lamiaceae","cf. Smyrniopsis","Convolvulus","Selaginella selaginoides","Triglochin","Sphagnum","Malus-type","Saxifragaceae","Eryngium-type","Lotus-type","Glaucium","Armeria/Limonium","Rhus","Solanum","cf. Gentianaceae","Boraginaceae","Calystegia","Sambucus","Plantago media-type","Loranthus","Cerastium-type","Pseudopediastrum kawraiskyi","Caltha","Jasione-type","Tilia","cf. Silene albescens","Rubus","Medicago-type","Eremurus","cf. Silene ampullata","Anchusa/Pulmonaria","Rhamnaceae","Papaver","Scabiosa","Cornus","cf. Chionodoxa","Polygonaceae","Lonicera","Thymelaeaceae","Azolla/Salvinia"
27074,NA,NA,380,1,22,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,2,NA,NA,NA,1,1,2,NA,22,26,16,1,8,NA,NA,5,5,1,NA,141,36,10,270,1,3,2,80,146,37,81,NA,NA,NA,NA,18,NA,3,1,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,12,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28450,NA,NA,400,NA,11,3,NA,NA,12,NA,NA,3,NA,1,1,NA,NA,1,4,NA,NA,2,3,NA,NA,1,1,NA,1,1,NA,18,15,11,6,6,NA,NA,4,8,NA,NA,91,20,5,152,NA,1,26,47,171,37,90,NA,NA,NA,NA,14,NA,14,NA,NA,13,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29138,NA,NA,410,NA,10,1,1,NA,10,NA,NA,1,NA,NA,NA,NA,NA,1,4,NA,NA,NA,2,2,NA,NA,1,NA,NA,2,NA,7,13,6,1,8,NA,NA,2,9,NA,NA,78,21,5,129,NA,1,4,43,231,74,103,NA,NA,1,NA,14,NA,3,NA,NA,7,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29826,NA,NA,420,NA,1,1,2,NA,12,NA,NA,3,NA,1,1,1,NA,NA,4,NA,4,1,4,4,NA,NA,2,NA,1,1,NA,12,24,19,3,6,NA,2,4,2,NA,1,104,24,3,140,1,1,4,48,335,49,100,NA,NA,NA,NA,11,NA,NA,2,NA,20,1,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,7,NA,25,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30514,NA,NA,430,NA,8,5,NA,1,6,NA,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,4,NA,1,2,NA,NA,1,NA,20,18,11,3,12,NA,1,9,1,NA,NA,98,13,4,158,NA,NA,18,44,236,43,98,NA,1,NA,NA,9,NA,7,1,NA,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31546,NA,NA,445,1,35,12,3,NA,11,NA,1,3,NA,NA,NA,1,NA,NA,7,4,8,5,13,12,NA,1,1,NA,2,2,1,40,46,26,6,18,NA,3,13,17,NA,NA,285,39,8,524,1,2,24,127,566,50,182,NA,NA,NA,NA,22,4,73,NA,NA,37,1,NA,NA,NA,3,NA,2,NA,1,NA,2,NA,NA,2,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,2,1,1,1,2,NA,31,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32578,NA,NA,460,NA,10,6,5,NA,30,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,NA,1,1,NA,NA,2,1,8,23,7,5,5,NA,NA,4,8,NA,NA,54,15,1,212,NA,2,18,22,247,25,99,NA,NA,NA,NA,11,NA,NA,NA,NA,9,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33266,NA,NA,470,2,27,7,NA,1,15,NA,1,3,NA,NA,2,NA,NA,2,2,1,NA,NA,2,2,NA,NA,1,2,1,2,NA,14,22,7,2,6,NA,NA,10,6,NA,NA,77,13,4,269,NA,1,14,49,180,34,92,NA,NA,NA,NA,14,2,17,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,3,NA,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33954,NA,NA,480,NA,18,8,NA,5,10,NA,NA,1,NA,NA,NA,NA,NA,NA,7,NA,2,1,10,2,NA,1,1,NA,NA,8,NA,22,29,8,1,2,NA,NA,7,2,NA,NA,130,14,12,376,2,2,6,38,132,22,80,NA,NA,NA,NA,17,1,11,1,NA,11,1,NA,NA,NA,NA,NA,3,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,3,NA,NA,11,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35192,NA,NA,498,NA,21,9,NA,NA,11,NA,NA,4,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,2,NA,3,2,NA,3,1,NA,16,24,9,NA,5,NA,NA,6,9,NA,NA,69,38,NA,281,NA,NA,3,55,140,20,93,NA,NA,NA,NA,10,NA,19,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,2,NA,11,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36706,NA,NA,520,NA,4,NA,NA,NA,18,NA,3,1,NA,NA,1,NA,NA,NA,2,NA,1,1,3,1,NA,NA,5,NA,NA,6,NA,7,26,11,3,1,NA,NA,9,5,NA,NA,110,26,2,172,1,1,3,43,141,47,114,NA,NA,NA,NA,8,NA,8,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37394,NA,NA,530,NA,2,1,NA,1,20,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,2,4,2,NA,1,3,1,2,3,1,11,11,4,8,3,NA,NA,6,6,NA,NA,132,14,9,65,NA,3,8,27,271,41,174,1,NA,NA,NA,16,1,5,NA,NA,12,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,18,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38082,NA,NA,540,NA,NA,4,NA,NA,17,NA,NA,1,1,NA,NA,1,NA,NA,2,NA,1,2,1,8,NA,NA,5,NA,1,1,NA,4,13,3,3,11,NA,NA,3,6,NA,NA,66,15,4,91,1,2,4,44,243,113,99,NA,NA,NA,NA,5,1,5,NA,NA,9,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,37,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38770,NA,NA,550,NA,1,1,2,NA,79,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,3,1,NA,NA,6,NA,NA,1,1,7,9,4,4,6,NA,2,NA,3,NA,NA,51,11,6,81,NA,3,10,33,204,110,119,NA,NA,NA,NA,7,NA,5,1,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,14,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39802,NA,NA,565,NA,6,7,7,NA,135,NA,1,2,NA,NA,NA,4,NA,NA,3,NA,4,4,11,6,NA,NA,5,NA,NA,NA,NA,19,37,28,9,13,NA,6,11,7,2,NA,221,35,27,311,4,3,26,110,447,58,202,NA,NA,NA,NA,22,1,24,2,NA,27,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,2,5,NA,39,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41178,NA,NA,585,NA,11,3,NA,NA,50,NA,3,1,NA,NA,1,NA,NA,2,2,NA,5,1,2,5,NA,NA,5,NA,NA,1,1,17,21,9,2,9,NA,2,6,3,NA,NA,152,22,8,224,3,3,8,56,308,42,115,NA,NA,NA,NA,12,NA,4,NA,NA,19,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,14,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42348,NA,NA,602,NA,1,3,3,NA,15,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,4,1,3,NA,NA,5,NA,NA,2,NA,13,9,11,2,7,NA,1,4,2,NA,NA,115,23,9,141,3,1,1,32,261,43,113,NA,NA,NA,NA,7,1,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43586,NA,NA,620,1,1,NA,1,1,52,NA,NA,5,NA,2,NA,NA,NA,NA,4,NA,2,2,NA,2,NA,NA,NA,NA,NA,2,NA,16,17,14,5,10,NA,1,12,4,NA,NA,82,13,1,143,1,1,4,55,217,10,90,NA,NA,NA,NA,12,NA,13,NA,NA,3,1,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44274,NA,NA,630,NA,26,4,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,1,NA,2,1,1,NA,NA,1,2,NA,NA,15,16,6,NA,10,NA,NA,3,6,NA,NA,208,20,10,290,NA,3,3,45,181,23,125,NA,NA,NA,1,11,NA,6,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
