Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Acanthaceae,Adansonia digitata,Adenia,Adina,Afraegle,Afzelia cf. africana,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae,Ampelidaceae,Anacardiaceae,Annonaceae,Antidesma,Apocynaceae,Araliaceae,Artemisia,Balanites,Blepharis,Blighia,Bombax,Boraginaceae,Borreria,Boswellia,Brassicaceae,Bridelia,Burkea africana,Butyrospermum,Caesalpinioideae,Capparidaceae,Caryophyllaceae,Cassia,Celastraceae,Celtis,Centaurea,Cf Dialium,Cf Scrophulariaceae,Chrozophora,Cissampelos cf. mucronata,Cissus,Clematis,Clerodendron,Cochlospermum,Cola cf. cordifolia,Combretaceae,Commelinaceae,Commiphora,Compositae,Convolvulaceae,Corchorus,Cordia,Crossopterix febrifuga,Croton,Cucumis,Cucurbitaceae,Cussonia,Cyperaceae,Detarium,Diospyros,Dombeya cf. buetnerii,Elaeis guineensis,Entada,Ephedra,Ericaceae,Erythrina,Euphorbiaceae,Ficus,Gramineae,Grewia,Heliotropium,Hygrophila,Hymenocardia,Hyphaene/Borassus,Indeterminables,Indetermines,Indigofera,Ipomaea,Irvingiaceae,Isoberlinia,Ixora,Justicia,Khaya,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Liliaceae,Lobelia,Lophira,Lythraceae,Macaranga,Maerua,Mallotus,Malvaceae,Manilkara,Menispermaceae,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monotes kerstingii,Moraceae,Morelia senegalensis,Mussaenda,Nauclea,Nymphaea,Olea hochstetteri,Palmae,Papilionoideae,Parkia,Paullinia pinnata,Phoenix cf. reclinata,Phyllanthus,Piliostigma,Pinus,Podocarpus,Polycarpaea,Polygonaceae,Polygonum cf. senegalense,Prosopis,Pterocarpus,Pteropsida (monoletes),Pteropsida (triletes),Raphia,Rhus,Rubiaceae,Rutaceae,Salix cf. ledermanii,Salvadora,Sapindaceae,Securinega virosa,Solanum,Sterculia,Strychnos,Syzygium,Tacazzea apiculata,Talinum,Tapinanthus,Thunbergia,Thymeleaceae,Trema guineensis,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia,Vitex,Ximenia americana,Ziziphus
8382.74,645,,,,,2,,,,7,,1,2,,,,,,,,,,,,3,,,,8,3,2,,,,2,,,,,,,,,,1,,17,,,,,,1,,,,,8,68,1,,,,,,,,,3,607,,,,12,,1,4,,,1,,2,,,,,1,1,,,2,,1,,10,,,,,,1,,,,,2,,5,,2,,2,,,,,,,,,,,9,3,,,,,,,,,,,,2,,,,,,,,182,,,,,,
8594.152,654.5,,,,,5,,,,4,,1,,,,,,,,,,,,,11,,,,8,,1,,,,,7,,1,1,,,,,,1,,5,,,2,,,,,,,,7,74,1,2,,1,,,,,,,459,,,,12,,,2,,,,,3,,1,,,1,2,,,,,5,,3,,,1,,,1,,,,,1,,10,1,2,,,1,,,,,,,,,,8,3,,,,,,,,,,,,2,,,,,,,1,121,1,1,,,,
8738.803,661,,,,,3,,,,14,1,,,,,1,,1,,,,,,,1,,,,9,3,,,,1,,,,,,,,,1,,,,9,,,3,,,,,,,,5,65,,1,,,,,,,3,5,427,,,,6,,1,5,,,,,1,,6,,,1,2,,,,,5,,3,,,,,,1,,,1,,,,6,,5,,,,,,,,,,,,,11,1,,,2,,,,,,,,,2,,,,,,,,102,,,,,,
8939.088,670,,4,,,9,2,,,12,,,,,,1,,,1,,,,,,,,,1,9,,1,,,1,1,8,,,,,,,1,,,1,17,,,4,,,,1,,,,2,53,,3,,,,,,,1,2,477,1,,,6,,2,7,1,,,,10,,4,,,,1,,,,,7,,4,,,,1,,,,,,,1,1,11,,2,,6,1,1,,,,1,,,,1,5,3,2,,,,,,,1,,,,5,,,,,,,1,166,,,,,,
9083.738,676.5,,,,,3,1,,,5,,2,,,,1,1,,,,,,,,4,,,1,16,,2,,,,,9,,,,,,,,,,,18,,,9,,1,,3,,,,11,43,3,4,,,,,,,,5,560,,,,11,,5,7,,,1,,16,2,1,,,1,11,,,,,2,,3,,,1,,1,,,,,,1,,16,2,1,,,2,,,,,1,,,,,14,5,,,1,,,,,1,,,,4,,,,,,,,120,,,1,,,
9255.078,686,,2,,,8,,,,5,,2,1,,,,,,,,,,,,3,,,2,14,1,,,,,,2,,,,,,,1,,,1,16,1,,2,,,,,,,,20,50,1,4,,,,,,,2,2,467,,,,3,1,6,6,,,,,7,,1,,,,,,,1,,1,,6,,,,,,1,,,,,,,33,,2,,,3,,,,,2,,,,3,9,1,,,,,,,,,,,,1,,,,,,,1,117,,,,,,
9359.657,692.5,,,,,3,,,,16,,2,,,1,,,,,,,,,,2,,,,6,,,,,2,,,,,,,,,2,,,,18,,,5,,,,,,,,4,70,,7,,,,,,,,11,422,,,,9,,3,6,2,,,,10,,,,,2,4,,,,,2,,5,1,,2,,,,,2,1,,,1,41,,2,,,1,,,,,,,,,,9,,,,3,,,,,,,,,3,,,,,,,,118,,,,,,
9512.502,702,,,,,8,,,,13,,1,,,,,,,,,,,,,1,,,1,8,2,1,,,,,2,,,,,,,,,,2,10,,,2,,,,,,,,5,68,,5,,,,,,,,3,587,,,,1,,6,2,,,,,9,,,,,2,2,,,,,3,,8,,,,,,,,,,1,1,,65,,2,,,2,,,,,,,,,,10,5,,,,,,1,,,,,,3,,,,,,,,110,,,,,,
9721.659,715,,,1,,6,,,,8,,1,,,1,,,,,,,,,,2,,,,6,,1,,,2,,,,,,,1,,1,,,,12,1,,6,,,,1,,,,4,71,,,1,,,,,,1,2,420,,,,,,,3,,,,,,,,,,,1,,,1,,4,,1,,,,,,,,,,,,,44,,6,,,2,,,,,,,,,,16,1,,,,,1,,,1,,,,3,,,,,1,,1,84,,,,,,
9882.549,725,,,,,3,,,,12,,1,,,1,,,,,,,,,,2,,,,5,,,,,,,1,,,,,,2,,,,1,17,,,2,,1,,1,,,,1,83,,4,,3,,,,,2,3,405,,,,,,8,3,,,1,,2,,1,,,,3,,,1,,1,,3,,,,,,,,1,,,,,92,,1,,,4,,,,,1,,,,,20,5,,,,,,,,,,,,1,,,,2,1,,,104,,,,,,
10035.39,734.5,,,,,12,,,,13,,2,,,,2,,,,,,1,,,1,2,,1,2,,1,,,,,1,,,1,,,,1,,,1,30,,,6,,,,8,,,,1,75,1,4,2,,,,,,,4,495,1,,,,,7,4,,,,,10,1,,,,,4,,,,,4,,2,,,,,,,,,,,,,68,,,,,20,,,,,,,,,,12,2,,,,,2,,,,,,,4,,,,,,,3,63,,,,,,
10188.24,744,,,,,6,,,,10,1,3,,,,,,,,,,,,,1,1,,,2,,1,,,2,,2,,,,,,,1,,,5,28,,,5,,,,2,,,,4,67,,4,1,1,,,,,,1,527,1,,,,,5,1,,,,,5,,,,,,2,,,1,,3,,7,,,,,,,,,,,,,99,,5,,,7,,,,,,,,,,14,3,,,,,1,,,,,,,4,,,,1,,,1,46,,,,,,
10349.13,754,,,,,2,,,,8,,3,,,,,,,1,,,,,,,,,,2,,,,,1,,4,,,1,,,,,,,,16,,,4,,,,2,,,,,73,,1,,1,,,,,,3,478,1,,,,,1,7,2,1,,,,,,,,,4,,,,,5,,2,,,,,,2,,,,,1,,112,,6,,1,5,,1,,,,,,,,14,3,,,,1,,,,,,,,2,,,,,,,3,17,,,,,,
10493.93,763,,,,,4,,,,6,,3,,,,,,,,,,,,,,,,2,1,,,,,1,,1,,,,,,,,,,,23,,,4,,,,4,,,,1,95,,2,,,,,,,,4,596,,,,1,,3,3,,,,,3,,,,,2,,,,1,1,,,5,,,,,,,,1,,,,,121,,3,,,2,,1,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,2,12,,,,,,
10654.82,773,,,,,5,,,,3,,4,,,,,,,,,,,,,,2,,1,3,,,,,1,,2,,,3,,,,,,,1,7,,,5,,,,1,,,,8,94,,,,,,,,,4,3,577,,,1,,,3,3,,,,,3,,1,,,,3,,,,,,,1,,,1,,,,,,,,4,,108,,2,,1,,,,,,,,,,,10,9,,,,,,,,,,,,2,,,,1,,,,10,,,,,,
10807.67,782.5,,,,,6,,,,1,,,3,1,,,1,,,,,,,,,,,,3,,2,,,1,,,,,,,,,,,,,20,,,7,,,,,,,,4,96,,,,,,,,,1,1,560,1,,,,,1,3,,,,,3,,,1,,,5,,,,,1,,1,,,,,,,,,,,,,95,,2,,,,,1,,,,,,,1,2,4,,,,,,,,,,,,3,,,,,,,5,4,,,,,,
10960.51,792,,,,,4,,,,4,1,7,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,2,,,,16,1,,5,,,,1,,,,8,97,,,,,,,,,,,510,,,,,,1,6,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,26,,3,,,,,,,,,,,,,2,1,,,,,,,,,,,,2,,,,,,,11,6,1,,,,,
11138.66,799,,,,,3,,,,,,1,,,,,,,,,,,,,,1,,,1,,2,,,1,,,,,,,,,1,,,,13,,,8,,,,,,,,4,103,,,,1,,,,,1,,627,,,,,,1,1,,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,63,,1,,,,,,,,,,,,,5,5,,,,,,,,,,,,2,,,,,,,19,5,,,,,,
11855.91,811,,,,,3,,,,1,,3,,,2,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,13,,,,,,,1,,,,1,109,,1,,,,,,,,,640,1,,,,,2,3,,,,,,,,,,,2,,,,,,,,1,,1,,,1,,,,,,,4,,3,,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,,,,,,16,2,,,,,,
12200.59,823.5,1,,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,20,,,2,,,,,,,,1,50,,,1,,,,,,,,745,1,,,,,,2,,,,,,,1,,,,8,1,,,,,,,,,,,,1,,,,,,1,7,,,,,,,1,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,40,,,,,,,
12318.61,833,,,,,2,,,,,,15,,,3,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,8,,,1,,,,1,,,,,112,,,,,,,,,1,1,613,1,,,,,,15,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,22,3,,,,,,
12436.63,842.5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,135,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
12560.86,852.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,84,,,,,,,19,,,,,,,,,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
12678.87,862,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,142,,,,,,,10,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
12803.1,872,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,49,,,,,,,,,,,843,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12859,876.5,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,48,,,,,,,,,,,461,,,,,,,9,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,6,,,,,,,
12977.02,886,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,463,,,,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,4,14,,,,,,,,,,,,,,,,,,,8,,,,,,,
13063.98,893,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,2,,,,,,,403,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,2,,,,,,,1,,,,,,6,27,,,,,,,,,,,,,,,,,,,4,,,,,,,
