"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Poaceae","Urtica","Alnus glutinosa-type","Arbutus","Polypodium","Pistacia","Plantago lanceolata-type","Amaranthaceae-type","Erica arborea-type","Artemisia","Olea","Quercus ilex-type","Pinus","Lycopodium spike","Betula","Crataegus-type","Euphorbia","Vitis","Viola","Poaceae (Cerealia)","Rubiaceae","Corylus avellana","Lotus-type","Hypericum perforatum-type","Gnaphalium-type","Odontites-type","Tuberaria","Cichorioideae","Senecio-type","Juniperus-type","Anthemis-type","Botryococcus","Brassicaceae","Urtica dioica-type","Rumex-type","Phillyrea","Aster-type","Selaginella denticulata","Helianthemum","Silenoideae-type","Cistus","Ephedra fragilis-type","Mercurialis annua","Carduus","Thalictrum","Mentha-type","Sporormiella","Quercus suber-type","Morus","Platanus","Trifolium repens-type","Potamogeton-type","Scabiosa","Limonium","Echium","Paronychia-type","Silene dioica-type","Asparagus","Sedum-type","Lithospermum officinale","Reseda","Verbascum","Ceratonia siliqua","Urtica membranacea-type","Cercophora-type","Rumex acetosa-type","Linaria-type","Theligonum cynocrambe","Plantago maritima-type","Cyperus-type","Ulmus","Fraxinus ornus","Apiaceae","Ostrya-type","Daucus","Urtica pilulifera","Anogramma leptophylla","Salix","Daphne","Plantago coronopus-type","Anthoceros laevis","Quercus pubescens-type","Podospora-type","Microthyrium","Rubus","Fabaceae","Asteroideae","Cannabis sativa","Genista-type","Silene vulgaris-type","Arnoseris","Asplenium-type","Lonicera","Potentilla-type","Smyrnium-type","Pteridophyta (monolete) undiff.","Allium-type","Ranunculus acris-type","Ficus carica","Myrtus communis","Cheilanthes-type","Calendula","Diporotheca","Sagina","Gelasinospora","Glomus","Lamiaceae","Ononis-type","Ligustrum","Castanea sativa","Ephedra distachya-type","Pteridium aquilinum","Fraxinus excelsior-type","Juniperus","Alnus viridis-type","Polygonum aviculare-type","Prunus-type","Juglans regia","Acer","Heliotropium","Botrychium","Picea","Cerastium-type","Berberis","Rhinanthus","Ranunculus sect. Batrachium","Rosaceae","Lythrum portula","Ustulina deusta","Ophioglossum lusitanicum","Carthamus","Rumex obtusifolius-type","Centaurium","Herniaria-type","Liliaceae-type","Trifolium pratense-type","Riccia","Cuscuta","Malvaceae","Rhus","Ornithopus","Celtis australis","Dryopteris filix-mas-type","Rhamnus","Anthoceros punctatus","Caltha-type","Carlina","Centaurea nigra-type","Bupleurum","Jasione","Erodium","Sambucus nigra","Astragalus-type","Matthiola-type","Alisma-type","Ammi-type","Phlomis","Plantago major","Carpinus betulus","Cedrus","Abies","Anthriscus sylvestris-type"
421.7,NA,NA,396,"18584, 2","1","2","","","","","1","","","","27","2","","20","1, 242","215","","","","","","","","","","","","","","","","","","","","","1","","1","4","","","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
431.4,NA,NA,404,"18584, 2","1","4","16","","3","1","2","23","12","20","43","27","1","1","79","1976","","","1","","","1","","","","","2","","4","1","","18","7","","7","4","19","7","1","","1","","","1","1","","","1","1","","","","","2","","","5","11","","1","","","","","","","","1","","","2","","","","","3","1","1","","1","2","1","2","1","","","","1","","","","","1","","","","1","","","","","","1","1","","","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
460.4,NA,NA,428,"18584, 2","1","3","6","","","","1","12","5","2","77","11","3","11","5, 197","973","","","","","1","","","","","","","","9","3","","6","5","","6","3","7","10","2","","","","","","1","","","","7","","","","","","","","1","5","","","","","1","","","","1","","","","","","","","","","","","","","4","1","2","3","","","","","","","","","1","1","","","1","1","","","","4","","","","","3","","","","","","1","1","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
470,NA,NA,436,"18584, 2","1","","","","","","2","2","","","5","","","10","110","747","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
508.7,NA,NA,468,"18584, 2","1","2","10","","","","2","23","10","","90","11","12","29","1, 115","438","","","1","","","","","2","","3","","","2","9","1","9","3","3","4","","1","21","","3","","","2","1","1","","","","5","","","","","1","","","3","5","","","","","1","","","","","6","4","","","1","","2","","3","","","4","1","2","1","","2","","","","","","","","","","1","","2","1","1","","","","1","","1","1","","","","","","","1","","2","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
518.4,NA,NA,476,"18584, 2","1","2","","","","","1","6","5","1","44","19","8","13","56","638","","","","","","","","1","","","","","","3","","","","","","","","","2","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
537.7,NA,NA,492,"18584, 2","1","2","1","","","","2","10","3","3","13","4","9","16","43","356","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
566.8,NA,NA,516,"18584, 2","1","","9","","","","2","30","3","","3","3","3","3","57","924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
576.4,NA,NA,524,"18584, 2","1","6","2","","","2","5","3","1","4","112","2","2","1","2, 247","281","","","","","","","","","","","","","12","9","","1","3","4","","","3","","","","","","1","","","","","","1","","","","","","","","5","4","","1","","","","","","","2","1","","","","","","","","","","","1","","2","","5","1","2","","","","","","","","2","1","","1","","5","1","","1","1","","","2","","10","4","","","","","","1","","1","","","","","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
586.1,NA,NA,532,"18584, 2","1","1","","","","","1","","","1","15","","","","1, 89","553","","","","","","","","","","","","","","","","","","","","","","","","1","","","5","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
