"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Apiaceae","Liliaceae","Brassicaceae","Rumex acetosa-type","Poaceae (Cerealia-type)","Plantago major/P. media","Rhinanthus-type","Echium vulgare-type","Unknown","Cistus-type","Lycopodium tablets","Cyperaceae","Plantago lanceolata-type","Olea","Genista-type","Erica undiff.","Erica australis-type","Betula","Poaceae","Quercus ilex-type","Erica tetralix-type","Quercus robur-type","Pinus","Calluna","Erica arborea-type","Pollen concentration","Lycopodium spike","Scrophulariaceae","Alnus","Campanulaceae","Fraxinus excelsior-type","Anthemis-type","Helianthemum-type","Unknown (trilete)","Caryophyllaceae","Cichorioideae","Pistacia","Plantaginaceae","Hypericum perforatum-type","Artemisia","Unknown (monolete)","Ranunculus-type","Gentiana pneumonanthe-type","Sedum-type","Erica umbellata-type","Amaranthaceae","Plantago coronopus-type","Potentilla","Populus","Phillyrea","Asphodelus","Arbutus","Hypecoum","Filipendula","Lotus-type","Frangula","Corrigiola litoralis-type","Aster-type","Poterium sanguisorba","Castanea","Centaurium pulchellum-type","Lamiaceae","Rosaceae","Rubiaceae","Cirsium-type","Urtica-type","Spergula-type","Ilex","Thymelaeaceae","Menyanthes","Acer","Viburnum","Stachys-type","Corylus","Herniaria glabra-type","Epilobium","Sambucus","Valerianella-type","Equisetum","Fabaceae","Centaurea nigra-type","Simethis planifolia","Thesium","Illecebrum verticillatum-type","Montia fontana-type","Myosotis arvensis-type","Cupressaceae","Valeriana officinalis-type","Sparganium","Osmunda","Circaea","Succisa","Hedera","Boraginaceae","Drosera","Melampyrum-type","Viscum","Humulus-type","Vitis","Convolvulaceae","Cystopteris","Linum","Centaurea cyanus-type","Typha (tetrad)","Centaurea scabiosa-type","Teucrium-type","Myriophyllum verticillatum","Persicaria maculosa-type","Lonicera periclymenum-type","Potamogeton","Pedicularis-type","Geranium molle-type","Caltha-type","Juncus","Scabiosa","Knautia","Callitriche","Trollius europaeus-type"
7084,NA,NA,76,"0.800000011920929","4","3","","2","4","","","","","1","1","2","28","","","4","","","257","190","26","1","51","102","","12","725058.1875","33, 13911","2","2","","1","2","2","18","","","","","","1","1","2","2","1","","","","","","1","","","","1","","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7201,NA,NA,77,"0.600000023841858","3","1","","","2","","1","","","1","5","3","19","","1","1","","","168","179","13","","41","61","","9","1244537.625","28, 13911","1","","","","","","52","","1","","","1","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7319,NA,NA,78,"0.600000023841858","1","3","","","","","1","","","1","1","2","11","","","","","","143","113","18","","38","90","1","7","491301.1875","42, 13911","1","","2","","2","4","16","","","","","","","4","","","1","1","1","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","","1","","","","","","","1","1","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
7436,NA,NA,79,"0.899999976158142","4","1","1","","2","","","","","","1","3","21","","","1","","","125","205","13","","39","60","","8","601556.75","37, 13911","","2","2","","1","3","20","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7554,NA,NA,80,"0.800000011920929","","","","2","","","","","","","2","2","16","","","3","","","260","133","18","","32","60","1","6","663256.625","28, 13911","1","","1","","2","1","19","","1","","","","1","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","",""
7671,NA,NA,81,"0.800000011920929","","1","2","","2","","","","","","","3","20","","","","","","215","64","16","","47","70","","13","205489.65625","115, 13911","","4","1","1","1","","17","","1","","","","","1","2","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7767,NA,NA,82,"0.600000023841858","","1","","","1","","","","","","1","2","17","","","1","","","330","33","16","1","22","91","1","27","331459.625","81, 13911","1","3","","","","3","27","1","1","","","","1","2","","","","3","1","","","1","","","","","","","5","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7842,NA,NA,83,"0.800000011920929","5","2","1","","","","","","","2","","3","26","","","","1","","253","52","27","","43","52","3","20","404288.4375","64, 13911","","","","","3","","24","","","","","","","","2","","1","","","","2","","","","","","","","6","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7917,NA,NA,84,"0.899999976158142","1","2","","1","2","","","","","","2","2","17","","","1","","","274","34","14","2","40","56","","21","218185.40625","69, 13911","1","1","2","","","","56","","1","1","","","2","9","","","1","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7992,NA,NA,85,"0.899999976158142","6","","1","","","","","","","2","","3","9","","","2","1","","208","24","16","","42","94","2","13","406201.1875","50, 13911","3","1","2","","","1","37","","","","","","","6","1","","","","","","","","","","","","1","","2","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
8067,NA,NA,86,"0.800000011920929","1","1","1","","1","","","","","5","","2","10","","","","1","","223","16","12","1","34","72","5","18","213073.421875","71, 13911","5","4","5","","","4","26","1","","","","","","12","","","","","","","","2","","","","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
8142,NA,NA,87,"0.800000011920929","1","1","","","5","","1","","","1","1","3","7","","","2","4","","197","14","11","","63","107","2","52","329765.21875","84, 13911","1","1","","","3","","20","","","","","","1","5","","","","","","","","1","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
8217,NA,NA,88,"0.800000011920929","2","1","1","","3","","","","1","","2","2","9","","","","2","","177","6","25","","55","138","7","77","443968.09375","47, 13911","1","3","","","","2","33","","","","","","","5","","","","","","","","1","","","","","1","","5","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","","","","2","","","","","","","","","","","","1","","","","","","","","",""
8292,NA,NA,89,"0.800000011920929","1","","","","1","","","2","","","1","3","8","","1","","","","202","8","18","","56","105","","46","258274.078125","102, 13911","1","","","2","1","6","21","","","","","","2","4","","","","","","","","","","","","","","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
8366,NA,NA,90,"1.20000004768372","2","2","","","","","","","","","1","2","6","","1","","","","119","18","15","1","40","90","1","35","51308.81640625","169, 13911","1","","","","2","3","22","","1","","","","","5","1","","","1","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8441,NA,NA,91,"0.899999976158142","","2","1","","","","","","","","","3","12","","","3","","","150","31","20","","52","100","2","21","74010.15625","255, 13911","","","","","","","16","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","1","1","","","","","","",""
8525,NA,NA,92,"1","","11","","1","3","","","","","","","2","7","","","3","2","","144","77","17","","72","112","1","15","649180","21, 13911","1","1","","1","1","1","39","","","","","","","1","","","","","","1","","1","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","21","1","","","","","","2","","","","1","","","","","","","","","","","1","","","","","",""
8613,NA,NA,93,"0.800000011920929","2","4","2","","7","","","","","","","3","42","","1","5","","","228","46","22","","73","106","","16","932037","30, 13911","1","","","","","1","33","","","","","","","","1","","","","","","","","","","","","1","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","17","","","","","","","2","","","","","","","","","","","","","","","","1","","","","",""
8700,NA,NA,94,"0.699999988079071","2","3","1","","","","","","","","","2","13","","","6","","","242","16","18","","40","75","","12","798527.5625","22, 13911","1","","","2","1","1","13","","","1","","","","3","","","","","1","","","1","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","24","","","","","","1","1","","","","","","","","","","","","","","","","","1","","","",""
8787,NA,NA,95,"0.699999988079071","","2","","1","1","","","","1","","2","3","25","","","3","","","247","11","14","","66","124","","12","926797.8125","33, 13911","1","","","","","3","6","","","","","","2","3","1","","1","","","","","","","","","","","","6","","","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","13","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
8874,NA,NA,96,"0.899999976158142","1","2","2","1","4","","","","","2","","2","39","","1","","","","263","10","24","","72","165","","11","466077.9375","39, 13911","3","3","1","","","4","25","1","","","","","2","2","","","","","","","","1","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","1","","","15","","","","","","","","","","","1","","","","","","","","","","1","","","","","","",""
9048,NA,NA,98,"0.800000011920929","","1","","","2","","","","","","","2","17","","1","2","1","","428","9","45","","79","250","1","14","856520.125","35, 13911","2","1","","","","3","9","","","1","","","1","16","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","21","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
9223,NA,NA,100,"0.699999988079071","11","","3","2","","","","","","2","","2","7","","","2","","","174","43","20","","70","137","","17","592678.75","34, 13911","2","","","1","","1","13","1","","","","","","8","","","1","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","1","",""
9397,NA,NA,102,"0.699999988079071","33","4","1","2","2","","","","","2","","2","2","1","1","","","","138","51","17","","55","114","2","6","571825.4375","31, 13911","5","","","","","","5","","","","","","1","3","","","","","","","","","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","",""
9572,NA,NA,104,"0.800000011920929","14","3","2","","3","","","","","","","2","2","","","3","","","176","43","18","","69","121","1","8","766685.8125","22, 13911","2","","1","","1","2","14","","","","","","1","2","","","","","","","1","","","","","","","1","1","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","",""
9746,NA,NA,106,"0.899999976158142","20","2","","","2","","","","","","","2","4","","","1","","","184","25","22","","65","125","","12","332490.0625","45, 13911","2","","","","1","1","22","","","","","","2","5","1","","","","","","","2","","1","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","1","","","","","","","","","","3","1","","","","","","","","","","1","","","","","","","","","","","","","","","","1",""
9920,NA,NA,108,"0.899999976158142","5","2","1","","3","","","","","2","1","2","5","","","","","","150","23","18","","61","133","2","9","275065.59375","49, 13911","1","1","","","2","","60","","","1","","","1","3","1","","","","","1","","","","","","","","1","4","","","","","","","1","","","1","","","","","","","","","","","2","","","","","","","","","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10007,NA,NA,109,"0.600000023841858","11","3","","2","4","","","","","","","3","3","","1","1","","","173","16","18","","66","102","1","15","191700.359375","164, 13911","","","2","1","","6","53","1","","1","","","1","1","","","","","","","1","","","","","","1","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","2","","","","","","","","","","","","","2","","","","","","","",""
10164,NA,NA,111,"0.800000011920929","","4","","","","","","","","1","","3","1","","","2","2","","76","13","13","","36","62","","6","17991.0703125","664, 13911","","","","1","","1","41","","1","","","","2","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
10181,NA,NA,112,"0.600000023841858","1","1","1","1","3","","","","","","","2","3","","","","","","202","8","13","","72","106","3","17","158064.15625","137, 13911","2","","","2","","5","29","","","","","","2","3","","1","","","","","","","","","","","","","4","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1",""
10215,NA,NA,114,"0.800000011920929","4","2","1","","1","","","","","","","2","5","","","1","1","","222","14","28","","53","100","1","11","688304.6875","24, 13911","3","1","","","1","1","47","1","1","","","","2","5","1","","","1","","","","2","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2"
10249,NA,NA,116,"0.600000023841858","6","6","1","2","1","","","","","","","2","5","","","","","","235","26","11","1","58","144","","3","740470.9375","32, 13911","","","","1","3","","22","","","","","","","","","","","","","","","3","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
10282,NA,NA,118,"0.699999988079071","3","3","1","","1","","1","","","","","2","5","","","","1","","193","27","8","","68","116","","11","333864","55, 13911","6","2","2","","2","","15","","","","1","","1","6","","","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10299,NA,NA,119,"0.800000011920929","2","2","","","1","","1","","","","","2","9","","","1","","","207","22","11","1","69","111","","3","543248.5625","29, 13911","2","1","1","1","","","21","","","","","","2","1","","","","","1","","","1","","","","","","1","6","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10333,NA,NA,121,"0.5","5","2","3","","","","","","","","","3","12","","","","2","1","231","26","17","1","47","114","","8","232338.109375","171, 13911","1","","1","","","","5","","1","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10350,NA,NA,122,"0.800000011920929","4","2","","","1","","","","","","1","2","4","","","1","","","188","32","16","1","55","105","1","5","139432.015625","108, 13911","","1","","","2","","9","","","","","","3","3","","","","","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","1","","1","","","","","","","","","1","","","","","","","","","","",""
10384,NA,NA,124,"0.899999976158142","4","","","1","","","","","","2","","2","10","","","1","","","197","20","18","","57","135","","3","126389.0234375","113, 13911","1","5","","","1","","12","1","","","","","3","1","","","","","2","","","1","","","","","","1","1","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10418,NA,NA,126,"0.800000011920929","","1","1","","","","","","","","","2","","","","1","","","356","20","6","","62","173","1","1","627982.3125","35, 13911","1","","","","","","18","","","","","","","2","","","","","","","","2","","","","","","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","",""
10451,NA,NA,128,"0.800000011920929","","6","","1","1","","","","","","1","2","1","","","1","","","305","31","10","","127","186","","3","1043325","23, 13911","3","","","","","","4","","","","","","1","3","1","","1","","1","","","","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","",""
10485,NA,NA,130,"0.899999976158142","3","3","1","","","","","","","","","2","11","","","","","2","249","27","17","","45","184","","6","764769","23, 13911","","2","","","1","","7","2","1","","","","2","1","","","","","1","2","","3","","","","","","1","1","","","","","","","","3","","","","","","","","","","","","","","","1","1","","","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
10519,NA,NA,132,"0.800000011920929","2","1","1","1","","","","1","","","","2","10","","1","","","3","169","31","3","","63","124","1","8","357480.34375","43, 13911","1","1","","","2","2","12","1","","","","","2","","","1","","","","1","1","","","","","","3","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","1"
10553,NA,NA,134,"0.800000011920929","3","2","3","","1","","","","","","","2","8","","","","","","186","17","7","","40","172","1","3","497752.96875","32, 13911","5","3","2","","1","2","6","","","","2","","","3","","","","","","","","","","1","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
