"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Vitis","Zea mays","Poaceae (Cerealia)","Brassicaceae","Micranthes stellaris-type","Sorbus aucuparia","Echium","Anthemis-type","Silene dioica-type","Centaurea nigra-type","Cistus ladanifer-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Veratrum album","Halimium/Tuberaria","Minuartia recurva","Conopodium majus","Sphagnum","Cyperaceae","Plantago lanceolata-type","Arenaria","Alnus glutinosa","Galium-type","Castanea sativa","Quercus ilex-type","Genista-type","Silene vulgaris-type","Jasione-type","Narcissus bulbocodium","Plantago subulata-type","Arnoseris minima","Pinus sylvestris-type","Hedwigia","Erica australis","Potentilla","Pteridium aquilinum","Secale","Calluna vulgaris","Quercus robur-type","Betula pubescens","Juniperus communis","Rumex acetosella-type","Erica umbellata","Ranunculus","Olea europaea","Pinus pinaster","Poaceae","Erica arborea-type","Juglans","Amaranthaceae","Campanula","Corylus avellana","Hypericum perforatum-type","Silene foetida-type","Pedicularis sylvatica","Sedum-type","Gentiana lutea/G. pneumonanthe","Chaerophyllum temulum","Artemisia","Cytisus scoparius","Peucedanum-type","Colchicum montanum","Polypodiales (monolete)","Ranunculus acris-type","Rumex acetosa-type","Apiaceae","Vaccinium","Asphodelus albus","Carum verticillatum","Filago-type","Cuscuta","Salix","Helianthemum","Frangula alnus","Narcissus pseudonarcissus-type","Caryophyllaceae (porate)","Aster-type","Rubus","Ornithogalum-type","Solidago","Sparganium emersum-type","Phillyrea","Armeria","Cirsium-type","Sanicula europaea","Ulmus","Myriophyllum alterniflorum","Fallopia convolvulus-type","Myrtus communis","Sagina","Scilla","Pistacia","Trifolium repens","Spergula","Dianthus lusitanus-type","Pimpinella saxifraga-type","Lavandula","Daphne/Thymelaea","Saxifraga granulata-type","Lotus","Allium","Succisa","Physospermum cornubiense","Cerastium","Ruta","Sambucus nigra","Lythrum","Valeriana officinalis","Potamogeton","Plantago major-type","Hippophaë rhamnoides","Anagallis","Daucus","Fritillaria lusitanica","Oenanthe","Gagea nevadensis","Marchantiophyta","Eryngium","Polypodium","Ophioglossum lusitanicum","Filipendula","Poterium sanguisorba","Hedera helix","Ilex aquifolium","Anthriscus cerefolium","Rosaceae","Reseda/Sesamoides","Lysimachia","Valerianella","Anthriscus sylvestris","Rumex obtusifolius-type","Ephedra fragilis-type","Torilis arvensis-type","Corrigiola telephiifolia","Radiola linoides","Silene ciliata-type","Ornithopus","Senecio","Vicia","Thalictrum","Botrychium","Ephedra distachya-type","Centaurea scabiosa-type","Fabaceae","Saxifraga spathularis","Pediastrum","Jurinea","Gentianella campestris-type"
6654.88,NA,NA,280,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,NA,NA,4,NA,NA,9,NA,NA,NA,NA,NA,NA,4,1,NA,NA,4,NA,1,192,148,NA,11,NA,4,1,38,70,6,NA,NA,NA,NA,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6813.18,NA,NA,290,2,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,9,NA,NA,6,2,NA,6,1,NA,NA,NA,NA,NA,15,NA,2,1,6,NA,2,230,208,NA,17,NA,6,NA,36,110,9,NA,NA,NA,NA,NA,NA,NA,7,NA,4,1,NA,3,1,NA,NA,2,NA,NA,3,NA,NA,NA,9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6939.81,NA,NA,298,1,1,NA,1,2,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,7,NA,NA,11,6,NA,1,2,NA,NA,4,NA,2,NA,8,NA,NA,249,203,1,19,2,2,1,39,128,9,NA,NA,NA,2,NA,NA,NA,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,17,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7129.77,NA,NA,310,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,5,2,NA,9,1,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,162,125,NA,11,NA,2,NA,31,51,4,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,14,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7288.08,NA,NA,320,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,7,NA,NA,11,2,NA,2,NA,NA,NA,11,NA,NA,NA,3,NA,NA,183,150,NA,19,1,8,1,20,96,1,NA,NA,NA,2,NA,1,NA,3,NA,1,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,13,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7446.38,NA,NA,330,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8,1,NA,NA,NA,NA,1,2,1,NA,NA,6,NA,NA,214,224,NA,18,NA,12,1,56,90,8,NA,NA,NA,3,NA,2,NA,3,NA,NA,1,3,3,NA,1,1,1,NA,NA,2,NA,NA,NA,14,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7624.37,NA,NA,341,1,NA,NA,3,1,1,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,1,1,NA,NA,12,1,NA,2,NA,NA,NA,6,NA,NA,NA,3,NA,4,198,160,NA,18,1,6,NA,47,74,10,NA,1,NA,NA,NA,1,NA,6,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,2,NA,NA,NA,11,NA,10,NA,NA,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7772.63,NA,NA,350,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,11,NA,NA,3,NA,2,NA,12,NA,1,NA,3,NA,1,211,192,NA,16,NA,8,3,37,107,3,NA,NA,NA,1,1,NA,NA,5,NA,1,2,NA,4,NA,NA,2,NA,3,NA,1,NA,NA,NA,13,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7937.36,NA,NA,360,6,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,2,NA,NA,9,2,NA,33,2,NA,3,2,NA,NA,15,4,NA,NA,9,NA,7,449,518,NA,27,1,7,4,100,235,7,NA,1,NA,1,2,1,NA,11,NA,1,3,3,5,NA,NA,NA,4,2,NA,1,NA,NA,NA,45,NA,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8102.1,NA,NA,370,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,21,4,NA,1,1,NA,NA,8,NA,NA,1,14,NA,1,188,239,NA,21,NA,1,1,59,92,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,1,NA,26,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8283.31,NA,NA,381,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,NA,13,1,NA,1,2,NA,NA,6,NA,NA,1,4,NA,3,196,177,NA,16,NA,3,1,72,112,1,NA,2,NA,1,1,NA,NA,3,NA,1,1,NA,7,NA,NA,NA,4,2,NA,1,NA,NA,NA,14,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8431.57,NA,NA,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,10,1,NA,3,NA,NA,NA,4,NA,NA,NA,10,NA,NA,200,201,NA,9,NA,4,2,39,89,4,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,4,NA,NA,NA,1,1,NA,1,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8617.1,NA,NA,400,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1,NA,NA,9,NA,2,1,6,NA,1,232,154,NA,30,NA,8,1,45,136,3,NA,NA,NA,3,1,NA,NA,7,1,2,1,1,6,NA,NA,NA,NA,1,NA,2,NA,NA,NA,23,NA,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8823.43,NA,NA,410,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,2,NA,NA,NA,1,NA,18,2,NA,1,NA,NA,NA,4,2,NA,NA,5,NA,1,240,65,NA,12,NA,3,2,54,124,NA,NA,NA,NA,1,1,NA,NA,12,1,2,2,NA,15,NA,NA,NA,1,NA,NA,1,2,1,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,8,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9029.77,NA,NA,420,4,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,5,NA,NA,1,2,NA,14,6,NA,2,2,NA,2,9,NA,2,2,6,NA,2,214,82,1,24,NA,8,1,30,215,8,NA,NA,NA,1,1,NA,NA,12,NA,5,1,2,7,NA,NA,3,2,3,NA,1,NA,NA,NA,16,NA,5,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9218.65,NA,NA,430,3,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,2,1,NA,25,NA,NA,NA,2,NA,NA,8,NA,NA,NA,1,NA,2,233,11,NA,12,NA,3,1,30,124,NA,NA,NA,NA,2,6,NA,NA,5,NA,1,2,1,3,NA,1,NA,1,4,NA,1,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9390.09,NA,NA,440,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,10,3,NA,2,3,1,NA,1,1,NA,NA,3,NA,2,242,11,NA,9,1,1,2,33,122,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,1,NA,NA,NA,8,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9561.52,NA,NA,450,1,NA,NA,1,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,1,12,2,NA,2,4,NA,NA,224,7,NA,8,NA,1,NA,40,114,1,NA,NA,NA,NA,NA,NA,NA,2,NA,4,5,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9848.17,NA,NA,461,2,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,7,1,NA,9,1,NA,2,2,NA,1,5,5,NA,NA,10,NA,5,271,56,NA,18,1,9,NA,40,164,8,NA,1,NA,2,1,NA,NA,6,1,1,1,3,8,NA,NA,1,1,2,NA,2,NA,1,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10149.56,NA,NA,470,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,10,1,NA,2,NA,NA,NA,8,1,NA,4,1,NA,1,225,10,NA,5,NA,NA,NA,44,64,NA,NA,NA,NA,NA,1,NA,NA,8,1,1,2,NA,5,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10484.45,NA,NA,480,2,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,NA,16,1,NA,NA,NA,2,NA,10,NA,NA,3,3,NA,NA,232,49,1,21,NA,3,NA,50,203,1,NA,NA,NA,NA,2,1,NA,14,NA,2,5,4,3,NA,NA,2,2,3,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11839.01,NA,NA,485,4,NA,NA,1,NA,4,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,4,1,1,NA,6,NA,6,3,NA,2,1,3,NA,27,1,NA,4,NA,NA,2,247,202,NA,55,NA,4,NA,64,350,1,NA,NA,NA,NA,5,NA,NA,14,NA,7,6,5,29,NA,NA,1,3,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11885,NA,NA,487,3,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,15,NA,NA,NA,7,NA,11,7,NA,4,4,5,1,102,NA,NA,5,NA,NA,1,318,16,4,90,1,NA,NA,50,416,NA,NA,2,NA,1,4,NA,NA,16,1,3,14,1,21,NA,1,2,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA
11931,NA,NA,489,2,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,6,2,NA,1,2,NA,6,11,NA,2,2,40,NA,154,NA,NA,NA,NA,NA,10,74,15,NA,64,NA,5,NA,164,248,1,NA,2,1,NA,NA,NA,NA,4,7,11,44,NA,31,NA,1,NA,NA,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,1,NA,13,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA
11976.99,NA,NA,491,2,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,3,NA,NA,NA,2,NA,8,5,NA,NA,3,NA,3,6,NA,NA,1,23,NA,230,NA,NA,NA,NA,NA,7,28,12,2,16,NA,NA,1,62,198,4,NA,3,NA,NA,2,1,NA,4,6,4,27,1,26,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,NA,NA
12413.92,NA,NA,510,2,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,3,NA,3,7,NA,NA,4,NA,7,3,NA,1,1,19,NA,85,1,NA,1,NA,NA,1,26,13,1,42,NA,1,NA,95,163,2,NA,3,NA,NA,NA,NA,NA,4,1,2,17,2,40,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA
12721.62,NA,NA,521,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,1,1,NA,4,3,NA,1,1,9,NA,152,NA,NA,1,NA,NA,4,67,17,NA,62,NA,NA,NA,19,124,5,NA,1,NA,NA,NA,NA,NA,1,NA,2,8,2,15,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,1,1,2,NA,NA
13295.82,NA,NA,530,5,NA,NA,NA,1,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,2,2,NA,2,8,NA,122,NA,NA,3,NA,NA,15,125,20,5,40,1,5,NA,89,96,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,34,1,NA,NA,NA,5,1,1
