"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium","Microthyrium-type","Mougeotia-type","Rivularia","Betula","Corylus","Papaver rhoeas-type","Verbascum pulverulentum-type","Tilletia caries-type","Thecaphora-type","Riccia lamellosa-type","Sordariaceae","Gloeotrichia","Centaurea","Bupleurum","Puccinia","Dyadosporites","Spike tablets","Quercus robur-type","Fusiformisporites","Pseudoschizaea","Typha angustifolia-type","Pluricellaesporites","Helianthemum","Asteroideae","Olea","Unknown (monolete)","Pinus pinaster-type","Amaranthaceae","Unknown","Lamiaceae (hexacolpate)","Erica arborea-type","Poaceae","Cichorioideae","Spirogyra-type","Zygnema-type","Cyperaceae","Quercus ilex-type","Pinus nigra-type","Glomus","Polyadosporites","Lycopodium","Atractylis","Alnus","Artemisia","Pistacia lentiscus","Asplenium-type","Gelasinospora","Teucrium","Anagallis arvensis","Pteridium aquilinum","Closterium idiosporum-type","Paronychia","Quercus cf. Q. suber","Nuphar","Potamogeton","Apium","Closterium idiosporum","Trichuris","Rubiaceae","Alchemilla","Bryophyta","Brassicaceae","Viburnum","Resedaceae","Cistus","Lythrum salicaria-type","Conium maculatum","Ulex-type","Malvaceae","Unknown (trilete)","Crassulaceae","Scrophularia canina-type","Ruta","Urticaceae","Rumex","Thalictrum","Vitis","Buxus","Blackstonia perfoliata-type","Ophioglossum","Lotus-type","Phillyrea","Dianthus","Rhamnus","Scabiosa","Sideritis (tetracolpate)","Salix","Cupressaceae-type","Ranunculus peltatus-type","Conium-type","Polypodium","Liliaceae","Fraxinus","Iris","Juglans","Arbutus","Cistus salviifolius","Coriaria myrtifolia","Hypericum","Myriophyllum spicatum","Sparganium","Allium","Potentilla-type","Erodium","Sorbus aucuparia-type","Lysimachia ephemerum","Agrimonia eupatoria","Equisetum","Sambucus nigra-type","Acer","Rhus coriaria","Fabaceae","Taxus","Polygala","Echinops","Pistacia terebinthus","cf. Adiantum","Pilularia","Hedera helix","Fraxinus angustifolia","Caryophyllaceae","Ilex","Polygonum aviculare-type","Ulmus","Thymelaeaceae","Lathyrus","Hydrocharis","Lycium-type","Isoëtes","Euphorbiaceae","Mercurialis","Epilobium","Lamiaceae (tricolpate)","Botryococcus","Trifolium-type","Transeauina","Gentianaceae","Ononis-type","Knautia","Nerium oleander","Sarcocapnos","Pellaea-type","Linum","Parnassia palustris","Rumex crispus-type","Botrychium","Nymphaea","Apiaceae","Sanguisorba","Scrophulariaceae","Anagallis tenella-type","Acaulon-type","Xanthium","Hypecoum","Erica multiflora-type","Galium aparine","Poaceae (Cerealia-type)","Convolvulus","Andropogon","Asphodelus fistulosus","Anchusa azurea","Alisma","Lemna","Ephedra fragilis","Typha latifolia-type","Tamarix","Anthyllis-type","Cerinthe-type","Portulaca oleracea-type","Myriophyllum verticillatum","Callitriche","Myosotis","Echium","Geraniaceae","Cedrus","Ephedra distachya/E. major subsp. major","Closterium cf. C. rostratum","Rosaceae","Rubus ulmifolius-type","Anchusa azurea-type","Myrtus","Asparagus-type","Myrica","Abies"
7652,7739,7580,82,"2","","","","","","","","","","","3","","","","","","","2, 12542","","15","","","","","6","","","3","2","16","","","11","4","14","28","","","103","24","","225","","","7","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7792,7877,7721,83,"1","","","","","","","","","","","2","","","","","","","2, 12542","1","9","","","","","","","","4","","16","","","32","12","9","38","3","6","131","8","","358","","","18","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
7931,8015,7861,84,"1","1","","","","","","","","","","","","","","","","","2, 12542","","1","","5","","1","3","","1","4","4","11","","","21","10","4","20","3","","137","11","","283","","","4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8071,8155,8002,85,"1","","","","","","","","","","","2","","","","","","","2, 12542","3","","","4","","","4","","","21","3","9","","","27","28","4","26","1","1","105","8","","233","","","11","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8210,8293,8140,86,"1","","","","","","","","","","","1","","","2","","","","2, 12542","2","","","","","","9","","","9","2","2","","","24","28","6","22","2","1","88","20","","317","","","13","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
8350,8434,8280,87,"2","","","","1","","","","","","","","","","3","","","","2, 12542","1","1","","","","","3","","","","4","11","","","8","57","","4","","","106","12","","334","","","11","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
8489,8572,8416,88,"1","1","","","","","","","","","","1","","","","","","","2, 12542","","","","","","","11","","","","","11","","","18","19","","4","","","86","15","","353","","","21","","","","","","","","","","","","","","","","","2","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
8629,8712,8553,89,"1","","","","","","","","","","","2","","","","","","","2, 12542","3","","","1","","","9","","","","11","11","","","10","38","3","11","","","76","21","","388","","","18","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
8768,8853,8690,90,"1","","","","","","","","","","","3","","","3","","","","2, 12542","","","","","","","10","","","","","16","","","12","31","1","6","","","89","19","","354","","","4","","","","","","","5","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","",""
8908,8995,8826,91,"2","","","","","","","","","","","3","","","","","","","2, 12542","","","","","","","9","","3","","4","16","","","17","46","","4","","2","71","19","","299","","1","11","","","","","","","4","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","",""
9047,9137,8961,92,"1","","","","","","","","","","","2","","","","","","","2, 12542","","","","","","","","","","","8","11","","1","18","19","","4","","","71","9","","474","","","","","","","","","","11","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","7","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","",""
9187,9280,9096,93,"1","","","","","","1","","","","","1","","","","","","","2, 12542","1","","","1","","","","","","","1","8","","","36","13","1","21","5","3","114","5","","311","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
9326,9423,9230,94,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","4","","","","1","9","","","18","21","3","26","5","","94","14","","433","","","6","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
9466,9566,9364,95,"1","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","","1","","","","3","15","","","26","16","","26","3","","96","14","","327","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","",""
9605,9710,9498,96,"1","","","","","","","","","","","","","","1","","","","2, 12542","4","","","","","","5","","","","4","10","","","3","29","","11","","1","79","22","","277","","","17","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","",""
9745,9854,9631,97,"1","","","","","","","","","","","2","","","","","","","2, 12542","","","","1","","","16","","","","3","6","","","21","26","1","19","1","2","98","23","","347","","","7","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9884,9997,9764,98,"1","","","","","","","","","","","","","","","","","","2, 12542","1","","","","","","7","","","","3","4","","","36","26","3","21","","","62","16","","377","","","21","","","","","","","1","","","","","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","",""
10023,10142,9897,99,"1","","","","","","","","","1","","","","","","","","","2, 12542","","","","2","","","","","","","","6","1","","20","16","6","23","2","5","65","21","","329","","","6","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10163,10285,10029,100,"1","","","","","1","","","","","","","","","","","","","2, 12542","1","","","2","","","5","","1","","6","12","","2","35","31","3","26","8","","63","20","","391","","","12","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10302,10430,10162,101,"1","4","","1","","","","","","","","1","","","","","","","2, 12542","","","","","","1","6","","","","9","9","","","77","38","3","18","4","","165","26","","404","","","33","","","","","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","",""
10442,10574,10293,102,"1","1","","","","","","","","","","1","","","","","","","2, 12542","2","","","2","","","9","","","","2","13","","","51","63","6","37","3","","144","15","","409","","","37","","","","","","","3","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
10581,10720,10426,103,"1","","","","","","","","","","","4","","","","","","1","2, 12542","","","","8","","","24","","1","","14","21","","","55","47","13","55","1","1","69","12","","578","","","85","","1","","","","","32","","","","","","","","","","","3","","","","","","","","2","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","",""
11120,11246,10991,104,"1","","","","","","","","","","","1","","","","","","","2, 12542","","","","10","","","27","","","","14","17","","","83","57","7","25","2","2","42","19","","440","","","116","","","","","","","21","","","","","","","","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","",""
11659,11815,11509,105,"1","","","3","","","","","","","","1","","1","1","","","","2, 12542","1","","","13","","","13","","","","","8","1","","85","48","8","19","2","3","103","4","","282","","","93","","","","","","","20","","","","","","","","","","2","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","",""
12198,12409,11994,106,"1","","","4","","","","","","","","","","","","","","","2, 12542","","","1","3","","","26","","","","7","11","","","59","74","3","33","6","","39","10","","536","","","119","","","","","","","31","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","",""
12277,12476,12083,107,"1","","","","","","","","","","","2","","","","","","","2, 12542","","","","13","","","9","","","","3","11","","","78","36","7","22","11","","178","10","","235","","","85","","","","","","","11","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
12355,12544,12172,108,"1","","","","","3","","","","","","3","","","","","","","2, 12542","","","3","8","4","","21","","2","","11","11","","","56","50","6","17","1","","75","6","","359","","","91","","1","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
12434,12614,12260,109,"1","","1","","3","1","","","","","","","","","","","","2","2, 12542","","1","","8","4","","13","","","","2","9","","","44","16","4","16","2","","129","11","","216","","","39","","","","","","","12","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
12512,12685,12348,110,"1","","","","5","4","","","","","","3","3","","","","","","2, 12542","","","11","9","","","7","","","","6","8","","","61","31","","23","","","110","6","","235","","","44","","","","","","","34","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
12591,12756,12432,111,"1","","","2","2","1","","","","","","1","","","","","","","2, 12542","","","3","3","","","16","","","","4","4","","","70","66","6","17","6","","99","","","231","","3","24","","","","","","","26","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12669,12828,12514,112,"1","2","","","2","2","","","","","","10","","","","","","","2, 12542","","","4","13","","","8","","","","2","6","","","86","26","4","23","8","2","59","12","","236","","5","41","","","","","","","11","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12748,12902,12596,113,"1","","","","","1","","","","","","6","","","","","","","2, 12542","","","3","5","","","11","","","","","5","","","81","22","1","11","6","","140","6","","320","","2","20","","","","","","","14","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
12826,12976,12676,114,"1","","","","","","","","","","","3","","","","","","","2, 12542","","","","15","","","9","","","","1","13","","","66","31","7","10","6","","105","3","","167","","4","48","","","","","","","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
12905,13050,12755,115,"1","","","","1","","","","","","","","","","","","","","2, 12542","","","","5","","","21","","","6","","","","","61","12","2","13","8","","96","1","","167","","","26","","","","","","","26","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
12983,13127,12834,116,"1","","","","","1","","","","","","6","","","","","","","2, 12542","","","","11","","","8","","","7","5","6","","","46","18","2","12","12","","100","2","","145","","","27","","","","","","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13062,13206,12913,117,"1","","","","","3","","","","","","9","","","","","","","2, 12542","","","","12","","","8","","","30","1","14","","","42","13","3","16","21","","200","3","","81","","","23","","","","","","","22","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
13140,13288,12992,118,"1","","","","","","","","","","","7","","","","","","","2, 12542","","","","10","","","6","","1","","3","8","","","44","40","6","15","13","","174","5","","196","","2","33","","","","","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13219,13370,13069,119,"1","","","","","","","","","","","7","","","","","","","2, 12542","","","","6","","","7","","","","3","3","","","41","17","","21","11","","206","4","","231","","","34","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13297,13456,13145,120,"1","","","","","","","","","","","3","","","","","","","2, 12542","","","","8","","","11","","2","","5","12","","","67","36","7","23","12","","128","7","","191","","2","26","","","","","","","36","1","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
13376,13542,13217,121,"1","","","","","","","","","","","8","","","","","","","2, 12542","","","","11","","1","11","","","","22","11","","","72","15","6","17","11","","127","","","97","","","76","","","","","","","31","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","7","","","","","","","",""
13454,13630,13287,122,"1","","","","","","","","","","","6","","","","","","","2, 12542","","","","6","","","11","","","","11","6","","","51","13","6","26","6","","165","4","","140","","","46","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","",""
13533,13719,13355,123,"1","","","","","","","","","","","4","","","","","","","2, 12542","","","","15","","","13","","","","6","10","4","","69","21","4","16","8","","101","1","","149","","","87","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","1","","","","","","",""
13561,13730,13397,124,"1","","","","","","","","","","","7","","","","","","","2, 12542","","","","2","","1","8","","","5","4","6","","","32","24","5","11","2","","169","7","","85","","","51","","","","","","","12","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","1","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13589,13742,13439,125,"1","","","","3","","","","","","","","","","","","","","2, 12542","","","","11","","","8","","","","11","8","","","24","8","7","17","2","","139","","","136","","","61","","","","","","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","","","","","","",""
13616,13755,13480,126,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","5","","","11","","","","14","5","","","64","11","11","21","4","","122","3","","116","","","64","","","","","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
13644,13769,13518,127,"1","","","","","1","","","","","","","","","","","","","2, 12542","","","","1","","","10","","1","","4","2","","","36","18","3","12","4","","128","3","","77","","","22","","","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
13672,13786,13555,128,"1","","","1","2","","","","","","","","","","","","","","2, 12542","","","","1","","1","15","","","11","21","3","","1","38","8","3","22","2","","160","9","","101","","","111","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
13700,13807,13591,129,"1","","","","","","","","","","","4","","","","","","","2, 12542","","","","","","1","8","","","8","4","6","","","53","11","4","11","1","","123","5","","80","","","32","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","",""
13728,13828,13623,130,"1","","","","","1","","","","","","3","","","","","","","2, 12542","","","","2","","","4","","","","11","4","","","46","7","2","11","1","","184","4","","136","","","69","","","","","","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","",""
13756,13854,13653,131,"1","","","","","","","","","","","","","","","","","","2, 12542","","","","","","","1","","","","18","7","","","16","5","5","16","","","86","4","","126","","","101","","","","","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","14","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
13784,13885,13681,132,"1","","","","2","","","","","1","","","","","","","","","2, 12542","","","","","","","5","","","","18","6","","","38","15","3","13","","","72","5","","153","","","91","","","","","","","15","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","",""
13811,13921,13708,133,"1","","","","","","","","","","","1","","","","","","","2, 12542","1","","","","","","4","","","8","7","13","","","32","6","","13","","","125","11","","168","","","99","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","",""
13839,13957,13730,134,"1","","","","3","","","","","","","","","","","","","","2, 12542","","","","","","","4","","","","8","8","","","61","8","2","15","","","135","8","","232","","","89","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
13867,13993,13748,135,"1","","","","5","","","","","","","","","","","","","","2, 12542","1","","","","","1","8","","","","18","6","1","","32","11","3","6","","","36","12","","271","","","121","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
14394,14520,14268,136,"1","","","","3","","","","","","","2","","","","","","","2, 12542","","","","","","","6","","","","6","7","","","39","9","3","12","","","128","16","","311","","","71","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
