"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Saxifragaceae","Ulmus","Valeriana","Alnus","Acer","Liliaceae","Helianthemum","Thymelaeaceae","Spergula arvensis-type","Sedum-type","Myrtus communis","Humulus lupulus-type","Corylus avellana-type","Artemisia","Salix","Fabaceae","Brassicaceae","Stachys-type","Papaveraceae","Rumex acetosa-type","Ranunculus acris-type","Scabiosa","Boraginaceae","Plantago lanceolata-type","Juniperus","Poaceae (Cerealia-type)","Sanguisorba minor-type","Ostrya/Carpinus-type","Quercus robur-type","Caryophyllaceae","Abies","Geranium","Poaceae","Asteroideae","Cichorioideae","Pinus","Cornus sanguinea","Fraxinus ornus","Pistacia terebinthus","Crataegus monogyna-type","Fagus","Juglans","Convolvulus","Amaranthaceae","Urtica dioica","Rhamnus cathartica-type","Rhinanthus-type","Euphorbia","Rutaceae","Linum","Viola","Solanum","Hypericum perforatum-type","Alchemilla","Campanula","Dryopteris","Mentha-type","Malva-type","Berberis vulgaris-type","Ephedra fragilis-type","Sambucus nigra-type","Tilia","Galium-type","Primula vulgaris-type","Hippophaë"
8845,9961,8007,350,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,9,5,NA,25,5,8,247,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA
9238,10475,8220,380,NA,NA,2,NA,NA,4,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3,1,4,2,5,4,1,NA,NA,NA,11,18,9,173,8,20,NA,25,1,6,302,1,NA,NA,3,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
10157,11799,8778,450,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,5,NA,NA,NA,2,NA,4,2,1,NA,1,NA,NA,NA,NA,NA,7,2,NA,40,16,4,195,NA,NA,NA,NA,NA,NA,1,20,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10288,11993,8858,460,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,12,NA,NA,1,1,NA,2,5,2,NA,NA,NA,1,NA,NA,8,9,2,NA,40,17,2,177,NA,NA,NA,2,1,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
10419,12187,8938,470,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,1,NA,19,30,2,209,NA,NA,NA,NA,NA,NA,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10550,12383,9019,480,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,14,NA,1,NA,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,5,9,1,NA,39,17,4,185,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
10721,12636,9121,493,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,1,NA,NA,NA,4,5,2,1,NA,3,5,0.5,NA,186,20,1,70.5,1,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,1
10813,12773,9176,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,179,21,9,54.5,NA,NA,2,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
10905,12910,9231,507,NA,NA,NA,NA,NA,NA,NA,5,NA,6,1,NA,NA,NA,35,2,1,2,NA,NA,1,NA,NA,NA,3,1,NA,NA,1,15,10,NA,NA,173,45,4,132.5,NA,NA,NA,2,NA,NA,NA,42,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
11010,13065,9293,515,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,15,NA,1,2,1,NA,5,3,2,NA,1,NA,NA,NA,NA,12,5,NA,NA,87,16,3,100,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2
11075,13163,9333,520,NA,NA,2,3,NA,NA,NA,7,1,2,NA,NA,NA,NA,19,NA,NA,1,NA,1,4,1,NA,NA,4,NA,3,NA,NA,5,6,NA,NA,154,21,2,99,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA
11298,13494,9464,537,NA,NA,5,1,1,NA,NA,10,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,1,NA,5,6,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,171,48,NA,33,NA,NA,NA,NA,NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11469,13747,9564,550,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,7,NA,NA,6,NA,NA,NA,NA,7,NA,NA,NA,145,40,NA,46,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
