"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Cistaceae","Alnus","Acer","Solanaceae","Scabiosa","Monoletes","Triletes","Urticaceae","Centaurea","Pistacia","Brassicaceae","Rosaceae","Vitis","cf. Juniperus","Tamarix","Sparganium-type","Myriophyllum","Fabaceae","Asteroideae","Quercus (deciduous)","Cichorioideae","Erica","Poaceae (Cerealia-type)","Artemisia","Plantago","Cyperaceae","Quercus (evergreen)","Poaceae","Olea/Phillyrea","Pinus","Amaranthaceae","Limonium","Coriaria","Cedrus","Apiaceae","Lygeum","Ephedra fragilis-type","Chamaerops","Ruppia","Rhamnus","Rumex","Potamogeton","Ephedra distachya-type","Caryophyllaceae","Buxus","Juglans","Corylus","Thymelaeaceae","Lamiaceae","Plumbaginaceae","Armeria","Fagus","Fraxinus","Polygala","Glaucium","Salix","Ulmus","Viburnum","Echium","Malvaceae","Polypodium","Euphorbia","Mercurialis","Papaveraceae","Poterium sanguisorba","Hypecoum","Borago","Fumaria","Typha latifolia-type","Sambucus","Geraniaceae","Persicaria amphibia","Ranunculaceae","Tilia","Abies","Asphodelus"
8633,NA,NA,190,2,2,1,NA,NA,2,NA,NA,1,NA,12,2,NA,NA,20,1,1,NA,1,6,27,5,1,NA,22,5,12,114,47,19,140,35,NA,NA,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8748,NA,NA,200,1,3,NA,NA,NA,1,NA,3,2,NA,7,NA,NA,2,8,NA,1,NA,4,5,30,3,2,NA,26,3,8,115,23,12,175,59,1,NA,NA,4,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8862,NA,NA,210,2,9,1,NA,1,NA,1,1,5,NA,21,2,NA,8,4,2,6,NA,NA,5,45,1,NA,NA,22,5,3,123,33,14,91,43,NA,NA,NA,4,1,4,NA,NA,NA,1,NA,NA,1,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8976,NA,NA,220,NA,2,5,NA,1,NA,2,2,NA,1,8,1,NA,2,12,NA,9,NA,1,4,20,2,NA,3,20,7,10,105,73,10,161,27,NA,NA,NA,2,2,4,NA,NA,NA,NA,NA,4,NA,NA,NA,11,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9090,NA,NA,230,1,2,2,NA,NA,NA,1,NA,3,NA,14,2,NA,10,6,NA,5,NA,NA,4,27,1,1,1,27,5,9,85,60,5,79,35,NA,NA,NA,3,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9204,NA,NA,240,NA,5,NA,NA,1,NA,2,NA,NA,NA,3,1,NA,NA,7,NA,NA,NA,NA,2,13,1,NA,NA,14,2,10,52,22,3,106,23,NA,NA,NA,3,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9318,NA,NA,250,NA,4,NA,NA,2,NA,1,NA,NA,NA,7,1,NA,NA,6,NA,NA,NA,1,2,30,1,NA,NA,19,6,14,112,54,3,75,31,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9432,NA,NA,260,2,5,2,NA,1,NA,NA,2,7,1,12,1,NA,4,13,2,1,NA,1,1,43,2,1,NA,21,6,17,155,90,6,179,42,NA,NA,NA,8,4,2,NA,NA,1,2,NA,1,NA,2,NA,8,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9501,NA,NA,266,1,14,NA,NA,NA,1,NA,1,1,NA,2,1,NA,2,3,2,1,NA,NA,11,32,2,NA,NA,27,2,15,102,41,5,122,36,NA,NA,NA,4,NA,20,1,NA,NA,NA,NA,20,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
9547,NA,NA,270,8,9,3,NA,1,NA,NA,1,7,NA,19,1,2,18,23,4,4,NA,1,4,67,2,1,NA,27,10,18,180,139,5,146,91,NA,NA,NA,7,2,15,3,NA,NA,7,NA,NA,NA,1,NA,7,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
9574,NA,NA,275,1,NA,2,NA,NA,NA,1,NA,9,NA,7,NA,NA,NA,15,NA,NA,NA,NA,4,39,3,NA,NA,19,7,10,99,62,10,136,39,NA,1,NA,5,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9595,NA,NA,280,2,6,1,NA,2,NA,NA,1,8,NA,14,3,NA,NA,15,1,4,NA,1,2,38,1,NA,1,13,2,14,170,84,1,67,48,NA,NA,NA,8,1,3,NA,3,NA,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9611,NA,NA,284,2,9,1,NA,1,NA,NA,1,7,NA,10,NA,1,2,16,2,3,NA,1,6,146,3,1,3,27,6,7,202,147,1,140,71,NA,NA,NA,3,10,5,1,NA,1,6,NA,NA,NA,1,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
9635,NA,NA,290,1,1,NA,NA,NA,NA,1,1,3,NA,9,NA,NA,NA,8,1,1,NA,NA,3,64,2,1,NA,11,2,9,100,71,1,53,34,NA,NA,NA,4,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9643,NA,NA,292,2,4,NA,NA,NA,NA,1,NA,5,1,18,6,1,3,21,3,5,NA,1,8,63,5,NA,NA,42,7,21,171,112,7,151,76,NA,NA,NA,7,2,6,2,NA,1,NA,NA,NA,NA,NA,NA,8,1,NA,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9651,NA,NA,294,1,6,1,NA,2,NA,NA,2,5,NA,25,1,NA,6,18,1,NA,NA,NA,6,48,3,NA,NA,36,6,8,120,129,10,65,97,NA,NA,NA,5,4,10,NA,1,NA,3,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9663,NA,NA,297,5,6,2,NA,NA,1,NA,NA,5,NA,11,3,NA,1,13,2,2,NA,NA,3,57,5,NA,NA,19,3,13,117,78,5,63,51,NA,NA,NA,4,1,8,NA,1,NA,5,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9676,NA,NA,300,2,2,NA,NA,NA,1,NA,NA,8,1,9,1,NA,4,16,2,3,NA,NA,4,56,6,NA,NA,28,3,10,97,61,4,69,51,NA,NA,NA,5,1,11,3,NA,NA,1,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
9684,NA,NA,302,3,2,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,3,10,NA,3,NA,NA,5,51,1,NA,NA,26,3,2,80,34,3,57,53,NA,NA,NA,NA,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9692,NA,NA,304,2,5,1,NA,1,NA,NA,NA,2,NA,8,NA,NA,1,13,NA,1,NA,NA,6,41,2,NA,NA,21,2,4,64,47,1,86,45,NA,NA,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9700,NA,NA,306,7,6,1,NA,NA,NA,NA,NA,1,NA,13,NA,NA,8,25,NA,6,NA,NA,1,39,1,NA,NA,25,2,3,70,52,1,71,49,NA,NA,NA,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
