"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Castanea","Geranium","Tilia","Asteroideae","Anemone","Galium-type","Cistus","Fraxinus ornus","Myriophyllum spicatum/M. verticillatum","Plantago coronopus-type","Ranunculus repens-type","Rumex hydrolapathum","Spartium","Caryophyllaceae","Salix","Thalictrum","Rumex acetosa-type","Artemisia vulgaris-type","Fraxinus excelsior","Bunium-type","Juglans","Rosaceae","Capsella-type","Ephedra fragilis-type","Matricaria-type","Vitis","Olea","Centaurea solstitialis","Platanus","Polygonum aviculare-type","Apiaceae","Juniperus","Scrophularia/Verbascum","Dryopteris-type","Isoëtes","Poterium sanguisorba","Plantago maritima-type","Artemisia herba-alba","Carpinus betulus","Cichorioideae","Pistacia","Poaceae (Cerealia-type)","Ericaceae","Amaranthaceae","Fagus","Unknown","Corylus","Plantago lanceolata-type","Ulmus","Phillyrea","Pteridium","Alnus","Sparganium-type","Brassica-type","Abies","Oleaceae","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Quercus coccifera-type","Poaceae","Quercus robur-type","Pseudopediastrum boryanum","Nymphaea","Typha latifolia","Fabaceae","Ranunculus sceleratus-type","Ferula-type","Asperula-type","Acer","Betula","Centaurea","Plantago major-type","Hedera","Rhinanthus-type","Teucrium","Plantago media-type","Ephedra distachya-type","Datisca cannabina","Hypericum perforatum","Malabaila","Carduus-type","Mercurialis-type","Potentilla-type","Senecio-type","Clematis-type","Ranunculus sect. Batrachium-type","cf. Ceratonia","Plantaginaceae","Aesculus","Picea","Liliaceae","Thymus/Mentha","Heliotropium-type","Loranthus europaeus","Filago-type","Euphorbia","Campanula-type","Humulus/Cannabis","Delphinium-type","Sanicula","Lomelosia rotata-type","Filipendula","Pediastrum duplex","Pseudopediastrum kawraiskyi","Bupleurum-type","Centaurea scabiosa-type","Solanum dulcamara","Pimpinella-type","Potamogeton","Theligonum","Calligonum","Thelypteris palustris-type","Monactinus simplex","Dipsacoideae","Cladium mariscus","Phyteuma-type","Asplenium","Caltha","Dianthus-type","Urtica dioica-type","Polypodium","Cornus","Cirsium/Gundelia","Helleborus","Gentiana","Vicia-type","Aquilegia-type","Papaver","Centaurea cyanus-type","Knautia","Sphagnum","Ophioglossum","Equisetum","Nigella","Ranunculaceae","Stachys-type","Noaea-type","Lycopodium","Persicaria amphibia","Helianthemum","Cedrus","Arctium/Jurinea","Asphodeline","Valerianella","Taxus","Echinops","Sambucus nigra-type","Fagopyrum","Plantago ovata-type","Cousinia","Dipsacus-type","Allium","Alisma","Hippophaë","Iris pseudacorus","Lythrum","Lemna","Butomus umbellatus","Trifolium-type","Menyanthes trifoliata","Lysimachia","Malva","Scabiosa","Erodium","Linum","Convolvulus","Crassulaceae","Populus","Spergularia-type","Persicaria maculosa-type","Myrica","Valeriana","Lythrum portula-type","Leontice leontopetalum","Halothamnus-type","Melampyrum","Nuphar","Astragalus-type","Inula-type","Symphytum-type","Pediastrum undulatum","Sanguisorba officinalis","Matthiola","Hydrocharitaceae","Polygonaceae","Epilobium","Boraginaceae","Armeria/Limonium","Plumbaginaceae","Hedysarum/Ebenus","Onobrychis-type","cf. Campanulaceae","Juniperus sabina","Scabiosa columbaria-type","Fagopyrum tataricum","Laurus","Viburnum-type","Buxus","Thymelaeaceae","Ranunculus asiaticus-type","cf. Hypericum","cf. Sambucus","Malvaceae","Onagraceae","Ornithogalum-type","Xanthium","Anchusa/Pulmonaria","Saxifraga","Lamiaceae","Colchicum"
22706,23093,22311,310,NA,NA,1,7,NA,4,NA,NA,12,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,1,9,NA,NA,12,NA,4,7,1,NA,6,NA,NA,NA,125,NA,2,NA,NA,NA,100,NA,45,2,NA,NA,NA,NA,NA,271,21,9,NA,36,145,2,NA,85,17,152,NA,NA,NA,9,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,304,5738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23421,23824,23009,320,NA,1,NA,5,NA,5,NA,NA,8,1,5,NA,NA,4,NA,8,1,13,NA,NA,NA,NA,4,NA,6,NA,NA,6,NA,2,27,5,NA,20,NA,NA,5,131,NA,4,NA,3,NA,67,1,10,1,4,3,NA,NA,4,372,34,5,NA,152,59,1,NA,266,21,1136,1,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,2,6,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1704,9999,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24321,24734,23903,340,NA,NA,NA,NA,NA,23,NA,NA,6,3,2,NA,NA,5,2,6,NA,16,NA,3,NA,NA,NA,1,17,NA,NA,6,NA,2,16,9,NA,4,NA,NA,8,225,NA,5,NA,15,NA,80,NA,9,2,13,3,NA,NA,11,30,12,2,NA,165,68,7,4,271,34,48,NA,NA,NA,NA,NA,1,1,29,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,32,1840,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24692,25097,24295,360,NA,NA,NA,2,NA,42,NA,NA,10,NA,2,NA,NA,5,3,15,5,11,NA,13,NA,NA,4,2,23,NA,NA,11,NA,6,28,6,1,1,NA,1,10,260,1,7,NA,7,NA,134,NA,13,1,6,1,NA,NA,6,57,38,3,NA,581,109,1,1,430,45,124,NA,2,NA,1,NA,NA,NA,38,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,16,NA,NA,NA,11,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5,155,2976,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25063,25457,24682,380,NA,NA,NA,1,NA,35,NA,NA,5,1,2,NA,NA,6,3,12,7,19,NA,8,NA,NA,4,1,15,NA,NA,8,NA,1,NA,14,NA,NA,1,1,10,207,1,8,NA,2,NA,133,NA,14,1,9,2,NA,NA,5,51,32,2,NA,542,72,1,2,400,40,92,NA,1,NA,2,20,3,NA,22,NA,1,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,184,2783,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25434,25810,25057,400,NA,NA,NA,NA,NA,28,NA,NA,11,3,NA,1,NA,NA,1,7,2,5,1,6,NA,NA,2,NA,13,NA,NA,3,NA,2,13,6,NA,NA,NA,NA,3,155,NA,1,NA,3,NA,96,1,13,NA,10,3,NA,NA,3,32,33,1,NA,144,41,NA,1,240,23,NA,NA,1,NA,NA,5,1,NA,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,7,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,18,2124,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25805,26167,25432,420,NA,NA,NA,2,NA,14,NA,NA,11,1,NA,NA,NA,3,2,10,3,9,NA,5,NA,1,4,1,11,NA,NA,7,NA,NA,6,1,NA,3,NA,NA,7,209,NA,1,NA,3,NA,146,NA,6,NA,3,1,NA,NA,4,43,12,1,NA,88,42,NA,NA,232,12,888,NA,2,1,NA,2,1,NA,12,NA,1,NA,1,NA,NA,2,NA,NA,NA,2,NA,2,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,336,2784,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26175,26530,25802,440,NA,NA,NA,3,NA,30,NA,NA,154,2,1,2,NA,4,5,7,8,30,NA,14,NA,NA,3,1,21,NA,NA,8,NA,4,NA,17,NA,3,NA,NA,11,256,NA,7,NA,14,NA,95,NA,6,NA,13,NA,NA,NA,4,29,9,1,NA,81,30,1,1,512,14,6384,NA,NA,NA,NA,24,1,NA,19,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,2,7,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,882,9999,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26546,26902,26177,460,NA,NA,NA,4,NA,48,NA,NA,7,5,1,1,NA,11,5,5,10,33,2,14,NA,NA,5,3,19,NA,NA,13,NA,1,3,11,NA,8,NA,NA,10,336,NA,13,1,12,NA,151,NA,12,NA,2,2,NA,NA,4,65,31,2,NA,244,16,NA,1,534,16,1035,NA,2,NA,NA,10,NA,1,18,NA,3,NA,2,NA,NA,3,NA,NA,1,1,NA,2,7,NA,3,NA,4,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,45,1620,1,2,NA,7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,9,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26917,27282,26558,480,NA,NA,NA,5,9,30,NA,NA,47,3,NA,2,NA,1,2,5,3,33,NA,5,NA,NA,5,NA,17,1,NA,9,NA,2,4,6,NA,1,NA,NA,6,160,NA,10,NA,2,NA,85,NA,2,NA,2,1,NA,NA,1,34,7,1,NA,110,16,NA,NA,264,11,360,NA,2,NA,1,8,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,48,320,2,NA,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27288,27656,26930,500,NA,NA,NA,4,NA,20,NA,NA,4,8,1,NA,NA,NA,1,8,3,27,NA,5,NA,NA,5,1,11,1,NA,8,NA,4,NA,4,2,4,NA,1,12,174,NA,6,NA,7,NA,99,NA,12,NA,1,1,NA,NA,3,50,18,1,NA,220,40,2,NA,378,11,2436,NA,3,NA,NA,22,1,NA,11,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,28,742,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27659,28028,27294,520,NA,NA,NA,10,NA,29,NA,NA,2,11,2,1,NA,11,1,16,12,28,NA,3,NA,NA,1,3,15,NA,NA,18,NA,2,12,26,NA,13,NA,NA,12,194,NA,18,NA,7,NA,144,1,3,1,4,3,NA,NA,9,86,17,3,NA,336,77,2,1,873,57,15,NA,7,NA,2,7,NA,NA,17,NA,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28029,28405,27655,540,NA,NA,1,18,NA,30,NA,NA,10,4,NA,NA,NA,2,4,15,3,17,NA,9,NA,NA,5,NA,15,NA,NA,12,NA,2,7,19,NA,9,NA,NA,7,150,NA,6,NA,5,1,86,NA,14,NA,4,NA,NA,NA,4,111,9,2,NA,129,52,2,NA,475,29,72,NA,2,NA,2,13,NA,1,8,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,5,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,4,5,49,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28400,28788,28015,560,NA,NA,NA,9,NA,41,NA,NA,39,11,NA,NA,NA,6,2,10,4,14,1,6,NA,NA,6,7,44,NA,NA,25,NA,6,NA,15,NA,25,NA,NA,17,234,NA,13,NA,10,NA,168,2,22,2,4,1,NA,NA,10,277,24,4,NA,244,102,2,1,766,67,383,NA,2,NA,2,12,2,1,25,NA,NA,NA,NA,NA,3,6,NA,NA,1,NA,NA,3,11,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,4,189,NA,NA,NA,4,7,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28771,29171,28369,580,NA,1,NA,10,NA,24,NA,NA,265,1,NA,NA,NA,NA,NA,2,7,20,NA,6,NA,1,1,2,15,NA,NA,11,NA,2,10,7,NA,15,NA,NA,4,249,NA,6,NA,7,NA,130,NA,9,1,NA,3,NA,NA,4,67,10,1,NA,51,16,NA,2,325,26,47,2,1,1,NA,1,1,NA,6,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29142,29557,28722,600,NA,NA,NA,4,NA,14,1,NA,11,NA,2,NA,NA,1,3,2,7,18,NA,1,NA,NA,4,NA,12,NA,NA,13,NA,4,4,3,NA,41,NA,NA,4,171,NA,4,NA,1,NA,128,NA,4,NA,3,NA,NA,NA,2,58,12,NA,NA,57,14,NA,NA,241,6,384,1,NA,NA,NA,1,1,1,4,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,16,52,NA,NA,NA,1,45,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29512,29947,29074,620,NA,NA,1,5,NA,20,NA,NA,200,2,NA,NA,NA,1,4,5,7,32,NA,7,NA,NA,7,1,10,NA,NA,5,NA,1,NA,6,NA,45,NA,NA,11,221,NA,7,NA,2,NA,182,NA,11,NA,NA,NA,NA,NA,NA,88,6,1,NA,90,20,NA,NA,291,7,2575,1,NA,NA,NA,5,2,NA,5,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,8,10,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,4,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29883,30338,29424,640,NA,NA,NA,NA,NA,17,NA,NA,8,1,NA,1,NA,1,3,2,4,5,NA,5,NA,NA,NA,3,7,NA,NA,3,NA,6,11,3,NA,23,NA,NA,8,96,NA,3,NA,2,NA,73,NA,5,NA,NA,NA,NA,NA,2,91,22,2,NA,191,36,NA,NA,256,10,1120,NA,NA,NA,2,1,1,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,56,32,NA,NA,NA,1,3,NA,NA,1,NA,NA,6,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30254,30731,29772,660,NA,NA,NA,3,NA,41,NA,NA,8,NA,2,NA,NA,1,2,10,8,24,NA,8,NA,NA,6,5,14,NA,NA,5,NA,4,6,6,NA,38,NA,NA,NA,216,NA,6,NA,7,NA,126,NA,6,NA,1,2,NA,NA,4,130,25,2,NA,295,28,NA,1,354,24,1817,2,NA,NA,NA,13,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,18,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,46,23,NA,1,NA,4,9,NA,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30625,31126,30119,680,NA,NA,NA,10,NA,54,NA,NA,NA,13,1,1,NA,10,2,6,16,45,2,15,NA,NA,3,5,36,NA,NA,10,NA,11,NA,14,NA,4,NA,NA,14,330,1,23,NA,19,NA,211,2,21,2,4,NA,NA,NA,11,75,7,8,NA,126,94,NA,2,843,85,222,NA,3,NA,3,32,3,NA,9,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,3,14,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,2,NA,NA,10,NA,NA,23,52,NA,NA,NA,5,20,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30996,31522,30464,700,NA,NA,NA,10,NA,22,NA,NA,1,3,NA,NA,NA,6,3,6,5,7,NA,NA,NA,NA,1,3,22,NA,NA,10,NA,15,3,6,NA,3,NA,NA,8,233,NA,12,NA,5,NA,206,NA,12,1,1,1,NA,NA,2,47,8,2,NA,130,71,NA,NA,312,19,7,NA,1,NA,1,7,NA,NA,6,1,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
