"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rumex acetosa-type","Galium-type","Aster-type","Urtica dioica","Unknown (trilete)","Fungi (type 65, HdV)","Lasiosphaeria sp. (type 63C, HdV)","Microthyrium sp.? (Type 8B)","Alternaria","Chaetomium sp. (type 7A, HdV)","Apiaceae","Ranunculaceae","Glomus cf. G. fasciculatum (type 207, HdV)","Corylus","Liliaceae undiff.","Sambucus","Scrophulariaceae","Pinus pinaster-type","Pinus pinea-type","Cercophora-type/Cercophora sp. (type 112, HdV)","Pleospora sp. (type 3B, HdV)","Prunus-type","Salix","Amaranthaceae","Anthemis-type","Plantago lanceolata-type","Quercus suber-type","Cistus-type","Betula","Fraxinus","Alnus","Brassicaceae","Quercus ilex-type","Rosaceae undiff.","Rumex acetosella-type","Pteridium","Trichocladium opacum (type 10A, HdV)","Fungi (type 305, HdV)","Sordaria-type (type 55A, HdV)","Castanea","Fungi (type 18, HdV)","Cyperaceae","Fabaceae undiff.","Erica arborea-type","Olea","Cytisus-type","Poaceae","Quercus pyrenaica-type","Lycopodium clavatum","Pinus sylvestris-type","Cardueae","Poaceae (Cerealia)","Fungi (type 92, HdV)","Gelasinospora (type 1, HdV)","Armeria-type","Copepoda (type 28, HdV)","Amphisphaerella dispersella (type 310, HdV)","Juglans","Podospora-type (type 368, HdV)","Tardigrada (type 902, HdV)","Caryophyllaceae","Fagus","Vitis","Sporormiella (type 113, HdV)","Fungi (type 123, HdV)","Fungi (type 495, HdV)","Algae? (type 229, HdV)","Pseudoschizaea circula","Calluna vulgaris","Fungi (type 351, HdV)","Zygnema-type (type 314, HdV)","Spirogyra","Viburnum","Artemisia-type","Plantago coronopus-type","Ilex","Taxus","Byssothecium circinans (type 16C, HdV)","Secale cereale","Drosera-type","Cryptogramma crispa","Plantago major/P. media-type","Epilobium","Arbutus unedo","Lamiaceae","Campanula","Polygonum aviculare","Callitriche","Juniperus","cf. Richonia variospora (type 140, HdV)","Geranium","Unknown (type 708, HdV)","Erodium","Gelasinospora cf. G. retispora (type 2, HdV)","Asphodelus albus-type","Acer","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Fungi (type 461, HdV)","Unknown (monolete)","Fungi (type 20, HdV)","Fungi (type 19, HdV)","Bryophyta","Fungi (type 90, HdV)","Centaurea cyanus","Sphagnum","Ulmus","Neurospora crassa (type 55C, HdV)","Frangula","Riccia cf. R. sorocarpa (type 165, HdV)","cf. Persiciospora (type 124, HdV)","Botryococcus","Potamogeton","Malva"
1497,NA,NA,90,4,1,NA,15,1,NA,2,2,NA,NA,1,1,NA,1,52,7,NA,NA,2,NA,2,3,6,2,NA,NA,7,NA,NA,9,4,14,6,4,NA,4,52,NA,5,15,5,1,41,13,98,NA,3,184,36,69,24,10,14,NA,NA,NA,NA,3,NA,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,5,1,NA,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,1,12,2,NA,NA,NA,5,NA,1,1,NA,2,2,NA,NA,NA,NA
1509,NA,NA,92,8,NA,NA,23,1,NA,NA,1,NA,1,1,NA,NA,2,38,2,NA,NA,NA,NA,2,NA,7,NA,NA,NA,11,NA,1,4,2,11,5,4,2,2,84,NA,13,3,20,1,65,17,68,1,5,244,41,39,23,7,17,NA,NA,NA,NA,6,1,2,NA,16,NA,1,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,11,2,NA,NA,NA,5,NA,2,1,1,NA,NA,NA,NA,NA,NA
1521,NA,NA,94,13,NA,NA,30,2,NA,NA,NA,NA,NA,2,1,NA,4,57,5,NA,1,NA,NA,2,NA,4,6,NA,1,8,NA,3,10,3,12,8,8,NA,8,81,NA,7,6,22,3,74,8,55,NA,8,203,65,70,24,1,8,NA,2,NA,NA,NA,NA,2,NA,29,NA,NA,2,NA,NA,NA,1,NA,8,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,4,11,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1533,NA,NA,96,6,NA,NA,17,1,NA,NA,NA,NA,NA,1,NA,2,1,69,5,NA,NA,NA,NA,1,NA,5,5,NA,NA,10,NA,NA,4,3,8,5,5,NA,1,94,NA,NA,2,20,NA,63,9,23,NA,3,200,65,21,17,4,17,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA
1679,NA,NA,98,4,NA,NA,21,NA,NA,NA,2,NA,NA,1,1,4,4,73,7,NA,NA,NA,NA,5,NA,8,6,NA,NA,9,NA,NA,17,1,18,4,7,2,1,92,NA,4,9,27,NA,42,7,73,NA,4,123,81,41,19,NA,11,NA,2,1,NA,1,NA,2,NA,18,NA,NA,6,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,NA,NA,17,9,4,NA,NA,NA,1,NA,1,1,3,1,NA,1,NA,NA,NA
1826,NA,NA,100,6,NA,NA,21,NA,NA,NA,1,NA,NA,NA,2,2,NA,80,8,NA,NA,NA,NA,1,NA,4,2,1,1,5,NA,NA,3,2,8,2,7,NA,1,119,NA,19,1,23,NA,70,4,32,NA,5,195,65,NA,20,3,13,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,2,NA,NA,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,102,11,NA,NA,22,1,1,3,NA,NA,NA,1,NA,1,1,88,9,NA,NA,NA,NA,NA,1,7,2,1,NA,18,NA,1,5,4,13,2,4,NA,3,107,NA,8,NA,22,NA,60,9,28,NA,2,222,74,23,17,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,9,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2118,NA,NA,104,26,NA,NA,35,NA,NA,2,NA,NA,NA,2,2,1,NA,124,8,NA,1,NA,NA,NA,NA,12,3,NA,NA,8,NA,NA,3,1,10,2,7,NA,4,118,NA,11,NA,17,NA,96,7,30,NA,2,185,59,44,20,NA,14,NA,NA,NA,NA,2,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2265,NA,NA,106,10,NA,NA,24,NA,NA,2,NA,NA,NA,3,NA,1,NA,80,7,NA,NA,NA,NA,NA,NA,11,11,NA,1,10,NA,1,5,5,15,5,8,NA,6,121,NA,12,3,11,NA,76,7,31,1,6,139,68,64,25,NA,15,NA,NA,NA,NA,7,NA,NA,NA,25,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,NA,NA,NA,1,4,NA,NA,NA,NA,3,7,NA,NA,NA,NA,2,1,11,NA,1,NA,NA,NA,NA,NA,NA
2411,NA,NA,108,11,2,NA,16,2,1,1,NA,NA,1,2,2,3,2,142,4,NA,NA,NA,NA,NA,NA,8,4,NA,NA,6,NA,NA,9,2,22,NA,3,NA,2,144,NA,6,9,7,NA,70,7,30,NA,2,158,50,81,20,NA,15,1,NA,NA,NA,3,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,3,7,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,19,NA,NA,NA,NA,1,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
2558,NA,NA,110,9,NA,NA,32,1,1,1,NA,NA,NA,1,NA,1,1,122,11,NA,NA,1,NA,4,1,7,8,NA,1,8,NA,2,12,2,16,2,6,1,1,131,NA,7,2,2,NA,64,8,47,1,3,148,42,217,34,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,2,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,1,2,7,6,5,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2659,NA,NA,112,12,1,NA,27,3,NA,2,6,NA,NA,3,NA,NA,1,98,7,NA,2,NA,NA,4,NA,10,7,1,1,3,NA,1,19,5,10,3,3,NA,3,168,NA,NA,4,7,NA,97,6,32,NA,1,171,46,151,54,NA,16,NA,11,NA,NA,5,2,NA,NA,16,NA,NA,7,6,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,38,1,NA,NA,NA,7,6,4,NA,NA,1,9,NA,NA,1,NA,1,NA,NA,NA,NA,NA
2760,NA,NA,114,20,NA,NA,35,2,NA,3,7,NA,NA,NA,3,4,1,113,8,NA,NA,2,NA,6,NA,6,5,1,1,4,NA,NA,11,NA,9,4,4,1,5,169,NA,NA,4,9,NA,62,5,44,1,1,145,54,109,58,NA,9,NA,2,NA,NA,2,NA,NA,NA,11,NA,NA,3,2,NA,NA,NA,11,5,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,23,NA,NA,NA,NA,2,12,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2862,NA,NA,116,21,1,NA,31,NA,1,1,4,NA,NA,1,1,NA,NA,105,4,NA,NA,1,NA,NA,NA,6,5,1,1,3,NA,NA,14,3,4,3,3,NA,5,152,NA,NA,5,5,NA,57,2,41,NA,NA,160,48,252,60,NA,8,1,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,7,NA,NA,NA,NA,3,5,7,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
2963,NA,NA,118,28,NA,NA,28,2,3,1,3,NA,NA,NA,1,1,NA,96,2,NA,2,3,NA,1,NA,8,4,1,NA,2,NA,NA,7,6,9,5,4,NA,1,89,NA,NA,2,2,NA,40,2,42,NA,1,144,55,413,79,NA,16,1,1,2,NA,1,NA,NA,NA,16,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,2,NA,NA,19,2,NA,NA,NA,2,5,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
3064,NA,NA,120,21,NA,NA,23,2,NA,2,16,NA,1,12,NA,NA,NA,95,2,NA,NA,NA,NA,3,NA,5,10,1,2,5,NA,NA,10,2,5,7,3,NA,NA,104,NA,1,6,1,NA,42,3,24,NA,1,145,56,651,74,NA,14,2,NA,NA,1,NA,NA,NA,NA,12,NA,NA,2,7,NA,NA,NA,NA,7,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,9,7,NA,NA,NA,1,4,NA,2,NA,NA,NA,NA,1,3,NA
3165,NA,NA,122,28,NA,NA,36,NA,7,2,7,NA,NA,NA,3,NA,NA,86,2,NA,NA,NA,NA,NA,NA,7,7,1,1,2,NA,2,9,4,8,5,5,NA,1,103,NA,NA,5,5,NA,47,4,26,NA,1,144,67,351,50,NA,8,NA,1,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,33,1,NA,NA,NA,1,1,10,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3267,NA,NA,124,11,NA,NA,20,NA,2,NA,10,NA,NA,1,1,1,2,65,1,NA,NA,NA,NA,NA,1,3,7,2,1,7,NA,NA,10,1,6,1,5,NA,2,74,NA,NA,2,6,NA,53,3,28,1,1,206,66,237,55,NA,8,NA,1,NA,NA,NA,1,2,NA,11,NA,NA,6,NA,2,NA,NA,NA,3,NA,1,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,14,NA,1,NA,NA,4,4,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
3368,NA,NA,126,7,NA,NA,22,NA,1,2,1,NA,NA,1,1,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,4,NA,1,2,NA,NA,NA,18,NA,8,NA,3,3,2,58,NA,NA,5,6,1,34,2,44,NA,NA,190,70,241,64,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,14,1,NA,1,NA,2,7,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
3469,NA,NA,128,24,NA,NA,31,NA,NA,2,4,NA,NA,4,NA,1,NA,54,NA,NA,NA,NA,NA,1,NA,5,NA,4,5,3,NA,NA,4,NA,9,12,4,2,NA,28,NA,NA,4,8,NA,50,4,24,NA,1,179,69,676,60,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,NA,NA,NA,4,1,NA,NA,NA,1,3,6,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3570,NA,NA,130,18,NA,NA,24,NA,NA,1,2,NA,NA,3,1,1,NA,49,1,NA,NA,NA,NA,1,NA,3,NA,2,3,2,NA,2,3,NA,8,8,6,4,1,36,NA,NA,4,4,NA,45,6,35,NA,2,186,63,1020,56,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,1,NA,NA,NA,1,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3672,NA,NA,132,16,NA,NA,21,1,NA,3,2,NA,NA,1,NA,NA,NA,46,4,NA,NA,NA,NA,2,1,3,1,1,NA,2,NA,5,4,3,9,9,6,3,2,58,NA,1,5,2,NA,42,4,46,NA,3,188,66,1250,53,NA,12,NA,1,NA,NA,NA,1,NA,NA,14,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3773,NA,NA,134,19,NA,NA,18,NA,NA,2,NA,NA,1,2,NA,1,NA,46,3,NA,NA,NA,NA,1,NA,3,1,NA,1,3,NA,7,3,2,8,12,6,2,3,66,NA,2,4,NA,NA,38,8,49,NA,4,195,70,1060,49,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,2,NA,NA,NA,NA,15,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,5,1,NA,NA,NA,2,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3874,NA,NA,136,17,NA,NA,14,1,NA,2,NA,NA,NA,1,1,NA,NA,43,5,NA,NA,NA,NA,NA,NA,4,2,1,3,3,NA,16,4,3,5,16,11,4,9,74,NA,2,6,NA,NA,31,10,72,NA,8,192,72,1125,43,1,12,NA,1,NA,NA,NA,2,NA,NA,14,NA,NA,NA,1,NA,NA,NA,NA,26,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,9,2,NA,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
3976,NA,NA,138,15,NA,NA,10,1,NA,3,NA,NA,1,2,NA,1,NA,56,3,NA,NA,NA,NA,NA,NA,4,NA,2,3,4,NA,9,3,5,7,21,8,4,6,64,NA,NA,5,NA,NA,29,9,47,NA,5,203,74,981,47,NA,13,NA,2,NA,NA,NA,1,NA,NA,15,NA,NA,NA,1,NA,NA,NA,NA,13,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,7,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4077,NA,NA,140,18,NA,NA,12,2,NA,1,NA,NA,2,2,NA,2,NA,48,2,NA,NA,NA,NA,NA,3,3,NA,2,2,3,NA,15,2,4,6,18,9,3,8,61,NA,NA,8,NA,NA,36,6,67,2,6,217,66,1389,39,NA,15,NA,1,NA,NA,NA,2,NA,NA,12,NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA
