"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Polygonum aviculare-type","Thalictrum","Apiaceae","Asteroideae","Brassica-type","Olea","Carduus-type","Cirsium/Gundelia","Matricaria-type","Glaux","Dryopteris-type","Cyperaceae","Centaurea solstitialis-type","Quercus coccifera-type","Cedrus","Cladium mariscus","Sparganium-type","Quercus cerris-type","Unknown","Amaranthaceae","Poaceae","Artemisia herba-alba-type","Pinus","Castanea","Plantago lanceolata-type","Juniperus","Scorzonera-type","Poaceae (Cerealia-type)","Euphorbia","Geranium","Potentilla-type","Acer","Fabaceae","Delphinium-type","Artemisia vulgaris-type","Capsella-type","Thymus/Mentha","Apium-type","Centaurea cyanus-type","Matthiola","Caryophyllaceae","Beta","Noaea-type","Corylus","Typha latifolia","Alnus","Sanguisorba-type","Carpinus betulus","Armeria/Limonium","Ostrya/Carpinus orientalis","Plantago coronopus-type","Plantago maritima-type","Utricularia","Equisetum","Brassicaceae","Filipendula","Phillyrea","Galium-type","Spergularia-type","Pseudopediastrum boryanum","Paronychia-type","Plantago undiff.","Ranunculaceae","Malva","Scrophularia/Verbascum","Ranunculus sect. Batrachium-type","Nymphaea","Stachys-type","Senecio-type","Tilia","Centaurea jacea-type","Rosaceae","Ophioglossum","Cousinia","Picea","Ephedra distachya-type","Rumex hydrolapathum","Myriophyllum spicatum/M. verticillatum","Allium","Fagus","Vitis","Lythrum","Plumbaginaceae","Ephedra fragilis-type","Bunium-type","Betula","Theligonum","Filago-type","Sanicula-type","Turgenia-type","Rumex subg. Emex","Ulmus","Calystegia","Valerianella","Halothamnus-type","Ferula-type","Berberidaceae","Psylliostachys spicata","Pistacia","Ranunculus sceleratus-type","Pediastrum duplex","Nuphar","Anemone","Nigella","Salix","Hippophaë","Convolvulus","Rumex patientia-type","Pimpinella-type","Rhamnaceae","Tamarix","Ericaceae","Asperula-type","Malabaila","Datisca","Arctium/Jurinea","Leontice leontopetalum","Sphagnum","Helianthemum","Eryngium-type","Rumex cyprius-type","Sanguisorba officinalis","Centaurea scabiosa-type","Nitraria","Alisma","Teucrium","Urtica","Frankenia hirsuta-type","Butomus umbellatus","Vicia-type","Lotus-type","Linum","Scabiosa","Ranunculus asiaticus-type","Aquilegia-type","Halogeton","Hammada-type","Buxus","Rumex acetosa-type","Atraphaxis","Chenopodium/Thalictrum","Solanum nigrum","Viola","Plantago cf. P. crassifolia","Echinops","Clematis-type","Echium-type","Polygonaceae","Plantago ovata-type"
13626,13889,13365,398,NA,2,NA,NA,2,1,NA,2,1,NA,2,NA,1,18,1,2,1,NA,29,30,7,261,344,85,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,577,4,2,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,1,NA,2,NA,2,NA,NA,1,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13755,14031,13475,410,NA,3,2,NA,1,6,1,NA,NA,NA,11,NA,NA,25,1,2,NA,NA,53,36,7,368,313,103,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2,NA,68,7,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13862,14151,13566,420,NA,NA,1,1,NA,NA,1,NA,NA,NA,3,NA,NA,31,1,NA,1,NA,36,25,6,433,254,72,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,193,4,2,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14077,14393,13745,440,NA,3,2,1,1,NA,6,NA,NA,NA,1,NA,NA,15,3,3,NA,NA,11,12,5,182,225,212,8,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1166,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14184,14516,13834,450,NA,6,NA,1,1,1,1,NA,NA,NA,6,NA,1,15,2,3,3,NA,21,26,5,230,173,343,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,1,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14345,14702,13965,465,NA,3,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,19,3,1,3,NA,23,12,3,185,210,169,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,48,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14527,14918,14115,482,NA,5,2,2,2,2,NA,NA,NA,1,8,NA,NA,5,1,6,NA,NA,6,13,3,357,65,507,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,3,NA,13,NA,1,4,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14720,15148,14271,500,NA,12,NA,1,1,3,NA,NA,NA,NA,5,NA,NA,6,NA,NA,3,NA,9,15,3,234,214,333,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,14,NA,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA
14849,15302,14374,512,NA,17,NA,2,2,1,10,NA,NA,NA,3,NA,NA,9,2,NA,3,NA,18,34,9,413,362,364,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,2,NA,448,2,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA
15042,15534,14528,530,NA,5,NA,NA,NA,7,NA,NA,1,NA,3,NA,NA,1,5,NA,1,NA,2,7,4,469,55,291,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA
15181,15702,14638,543,NA,9,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,1,2,NA,NA,NA,2,8,8,644,20,181,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
15342,15897,14764,558,NA,65,NA,NA,1,6,1,NA,NA,NA,2,NA,NA,7,6,NA,1,NA,16,24,3,809,40,383,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,10,NA,4,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15525,16117,14905,575,NA,23,NA,NA,NA,6,NA,NA,NA,NA,5,NA,2,1,1,NA,NA,NA,9,5,10,586,26,304,4,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,12,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
15685,16313,15030,590,NA,24,1,1,1,3,NA,NA,NA,NA,2,NA,NA,4,3,NA,2,NA,7,4,15,1897,29,308,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,2,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,5,NA,NA,16,NA,NA,1,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,8,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15846,16509,15154,605,NA,NA,1,1,1,5,1,NA,NA,NA,7,NA,NA,4,12,NA,NA,NA,6,11,2,443,7,580,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
