"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago lanceolata-type","Galium-type","Convolvulus","Brassica-type","Myriophyllum spicatum/M. verticillatum","Caryophyllaceae","Butomus umbellatus","Artemisia","Poaceae","Quercus cerris-type","Juniperus","Centaurea solstitialis-type","Cichorioideae","Ranunculus peltatus-type","Asteroideae","Cedrus","Cyperaceae","Amaranthaceae","Sparganium-type","Pinus","Thalictrum","Poaceae (Cerealia-type)","Matricaria-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Nymphaea","Quercus coccifera-type","Polygonum aviculare-type","Apiaceae","Fabaceae","Centaurea cyanus-type","Cirsium/Gundelia","Urtica dioica-type","Dryopteris-type","Betula","Thymus/Mentha","Viburnum-type","Asphodeline","Isoëtes","Taxus","Poterium sanguisorba","Lomelosia rotata-type","Sphagnum","Abies","Corylus","Picea","Potentilla-type","Alnus","Persicaria maculosa-type","Delphinium-type","Centaurea scabiosa-type","Loranthus","Haplophyllum","Onopordum-type","Turgenia-type","Pteridium","Juglans","Ericaceae","Typha latifolia","Rumex acetosa-type","Senecio-type","Valerianella","Ranunculus arvensis-type","Malabaila","Cladium mariscus","Dipsacus-type","Scorzonera-type","Salix","Carya","Geranium","Humulus/Cannabis","Cousinia","Arctium/Jurinea","Vitis","Malva","Ephedra distachya-type","Datisca","Pteris","Ephedra fragilis-type","Tilia","Acer","Olea","Ulmus","Botrychium","Lycopodium","Pseudopediastrum boryanum","Anemone","Antirrhinum/Linaria","Euphorbia","Allium","Lythrum","Vicia-type","Cheilanthes","Oleaceae","Scrophulariaceae","Carpinus betulus","Theligonum","Cistus","Fraxinus excelsior","Pimpinella-type","Ferula-type","Menyanthes trifoliata","Liliaceae","Ononis-type","Teucrium","Aesculus","Stachys-type","Potamogeton","Noaea-type","Fraxinus ornus","Xanthium","Bupleurum-type","Sambucus nigra-type","Bunium-type","Polypodium","Alisma","Filipendula","Fagus","Castanea","Halothamnus-type","Arceuthobium oxycedri","Fagopyrum","Chrysosplenium","Lemna","Rhinanthus-type","Plantago media-type","Hippuris","Rubus","Campanula-type","Crataegus-type","Nigella","Pterocarya","Armeria/Limonium","Calligonum","Lomelosia olivieri","Mercurialis annua","Plantaginaceae","Hypericum hirtellum var. assyriacum-type","Capsella-type","Hippophaë","Prosopis","Rosaceae","Helianthemum","Caltha","Hypericum perforatum-type","Asparagus-type","Scilla-type","Ranunculus sceleratus-type"
5589,5654,5530,255,NA,2,NA,NA,8,NA,NA,51,487,269,20,19,2,2,4,9,17,100,444,68,NA,3,11,NA,NA,16,12,1,7,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6187,6268,6112,265,1,3,NA,3,11,1,NA,28,285,130,122,6,3,40,2,3,48,8,323,83,NA,5,2,NA,1,43,6,1,2,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6785,6883,6694,275,NA,1,NA,6,1,1,NA,35,190,66,37,17,4,2,1,12,68,13,328,89,NA,4,3,NA,NA,13,2,1,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7682,7809,7568,290,1,NA,NA,2,NA,NA,NA,12,436,73,25,13,4,3,13,2,147,26,292,62,1,2,21,NA,NA,3,4,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8579,8733,8440,305,6,NA,NA,1,NA,NA,NA,22,186,11,5,56,3,NA,39,4,17,4,148,60,7,3,15,NA,NA,5,1,3,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,6,NA,NA,NA,2,2,11,NA,NA,NA,17,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9177,9350,9021,315,NA,4,NA,NA,1,NA,NA,31,247,33,8,45,4,2,52,NA,49,6,187,37,5,2,12,NA,NA,NA,NA,1,NA,NA,4,2,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,15,2,NA,NA,2,NA,28,NA,NA,NA,21,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10373,10584,10184,335,NA,NA,NA,NA,1,NA,NA,67,20,4,3,21,1,NA,14,NA,5,3,32,7,NA,NA,6,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11569,11818,11346,355,NA,1,NA,NA,2,1,NA,138,20,9,1,19,1,2,4,1,15,39,43,8,2,8,11,1,1,NA,7,4,2,2,NA,1,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,5,NA,NA,2,NA,1,NA,NA,NA,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12167,12435,11928,365,NA,2,NA,NA,18,2,NA,330,26,16,2,6,1,5,3,4,17,118,84,7,NA,5,9,NA,NA,NA,1,6,1,NA,NA,NA,4,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,1,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12766,13052,12509,375,1,1,NA,NA,10,4,NA,186,33,16,NA,10,13,11,10,9,25,92,123,20,NA,10,11,NA,3,NA,2,8,1,NA,NA,2,5,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,11,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13364,13669,13090,385,2,2,NA,NA,12,2,1,134,101,14,NA,9,13,26,19,4,226,39,173,34,NA,7,12,NA,NA,NA,3,5,NA,NA,NA,1,8,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,19,NA,NA,NA,35,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14560,14902,14251,405,NA,4,NA,NA,26,2,NA,47,139,47,6,16,50,12,36,9,53,18,75,70,NA,1,21,NA,NA,8,5,1,NA,NA,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,16,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15158,15519,14832,415,1,NA,NA,NA,2,1,NA,21,54,NA,1,5,7,NA,14,1,5,16,9,8,NA,21,3,1,NA,NA,5,NA,NA,NA,NA,1,80,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16175,16569,15820,432,NA,1,NA,NA,NA,1,NA,32,5,4,NA,23,12,NA,25,1,3,18,1,5,NA,1,17,NA,NA,NA,1,1,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16653,17062,16285,440,1,1,NA,1,NA,6,NA,42,4,39,NA,31,29,1,47,1,13,69,7,3,NA,NA,33,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,5,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17251,17680,16866,450,NA,2,NA,1,1,7,NA,53,4,89,NA,29,20,NA,37,NA,12,41,2,3,NA,NA,43,NA,2,NA,2,NA,4,NA,2,8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,1,6,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17849,18297,17447,460,NA,NA,NA,NA,NA,8,NA,51,5,82,NA,47,18,NA,57,NA,6,63,NA,7,NA,NA,41,NA,NA,NA,1,NA,NA,NA,NA,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,13,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
18746,19222,18318,475,3,2,1,NA,NA,9,NA,278,14,139,NA,56,29,1,81,NA,4,146,1,7,NA,4,8,NA,NA,NA,2,NA,6,NA,3,4,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,14,NA,NA,2,NA,NA,8,NA,NA,2,NA,4,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA
19344,19839,18899,485,2,NA,NA,2,NA,10,NA,52,10,149,1,17,56,NA,42,1,12,59,1,9,NA,NA,33,NA,NA,1,NA,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,8,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA
19942,20456,19480,495,6,2,NA,2,NA,10,NA,54,10,184,NA,29,45,1,73,1,5,83,2,8,NA,1,26,1,1,NA,NA,NA,10,NA,1,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA
20541,21073,20061,505,2,2,NA,NA,NA,11,NA,70,29,130,NA,28,25,4,20,6,6,95,3,18,NA,1,52,1,NA,1,NA,3,3,NA,1,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,1,NA,NA,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,1,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5,NA,NA,1,1,NA,NA,NA,NA
21139,21690,20642,515,9,11,NA,NA,4,8,NA,174,71,145,6,27,20,5,24,11,50,106,21,50,4,4,53,1,2,NA,1,6,6,NA,3,7,NA,1,10,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA
21737,22307,21223,525,19,22,NA,1,3,15,NA,330,224,159,1,7,46,4,19,30,66,124,NA,96,3,5,88,6,8,NA,2,4,5,NA,NA,7,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,2,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,4,NA,2,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,1,2,NA,1,1,1
22335,22925,21804,535,11,14,NA,3,2,10,1,310,189,121,3,9,18,1,8,18,51,117,1,91,2,3,66,3,4,NA,2,1,2,NA,NA,7,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
