Depth,Calendar years BP,Foraminiferatest,Lycopodium spikecounted,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acacia,Acer,Achillea-type,Alisma,Allium,Alnus,Amaranthaceae,Anogramma leptophyllaspore,Anthoceros laevisspore,Anthoceros punctatusspore,Apiaceae undiff.,Apium,Arbutus,Arceuthobium oxycedri,Arctium,Artemisia,Asparagus,Asphodelus albus-type,Asplenium-typespore,Aster-type,Astragalus-type,Betula,Borago,Botryococcuscolony,Brassicaceae,Buxus,Callitriche,Campanula-type,Cannabis,Carduus-type,Carlina,Carpinus betulus,Carthamus-type,Caryophyllaceae undiff.,Castanea,Celtis,Centaurea cyanus-type,Centaurea nigra-type,Centaurium,Centranthus,Cerastium-type,Ceratonia,Ceratophyllumspine,Cercophora-typespore,Chaerophyllum temulum-type,Chamaerops,Cheilanthesspore,Cichorioideae,Cistus,Citrus,Cladium mariscus,Coelastrum reticulatumpalynomorph,Colchicum,Coniochaetaspore,Convolvulus-type,Cornus sanguinea,Corrigiola litoralis,Corydalis,Corylus,Crocus,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daucus,Delitschiaspore,Dinoflagellatacyst,Dioscorea,Dryopteris filix-mas-typespore,Echium,Ephedra,Equisetumspore,Erica-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia,Fabaceae undiff.,Fagus,Falcaria-type,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus-type,Fumaria,Galium-type,Gelasinosporaspore,Genista-type,Gentianaceae,Geranium,Glaucium,Glomusspore,Hedera helix,Helianthemum,Herniaria,Hippophaë,Humulus,Hypericum,Iris pseudacorus-type,Isoëtesspore,Juglans,Juncaceae,Juniperus-type,Knautia,Lamiaceae,Lavandula-type,Lavatera,Liliaceae undiff.,Limonium,Linaria,Linum,Linum catharticum-type,Listera-type,Lotus,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Malva-type,Matthiola-type,Mentha-type,Mercurialis annua,Morus,Mougeotiapalynomorph,Myriophyllum alterniflorum,Myriophyllum spicatum,Myrtus,Neurosporaspore,Nymphaea,Nymphaeahair,Odontites-type,Oenanthe,Olea,Ophioglossum lusitanicumspore,Orlaya,Ornithogalum-type,Ornithopus,Osmundaspore,Ostrya/Carpinus orientalis-type,Papaver,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Phlomis,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polypodiumspore,Polystichumspore,Populus,Potamogeton-type,Potentilla-type,Primula clusiana-type,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Pteridophyta (trilete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus acris-type,Ranunculus aquatilis,Reseda,Ricciaspore,Rosa,Rosaceae,Rubus,Rumex acetosa-type,Rumex acetosella-type,Ruppia,Salix,Salsola-type,Sambucus,Sanguisorba minor-type,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scrophulariaceae,Scutellaria-type,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Sinapis-type,Smilax,Solanum dulcamara,Solanum nigrum-type,Sorbus,Spergula-type,Spiniferitesspore,Spirogyrapalynomorph,Sporormiellaspore,Stachys-type,Styrax,Tamarix,Taxus,Tetraëdronpalynomorph,Teucrium,Thalictrum,Theligonum cynocrambe,Thymelaeaceae,Tilia,Trifolium pratense-type,Trifolium repens-type,Typha/Sparganium-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Ustulina deustaspore,Utricularia,Valeriana,Valerianella,Verbascum-type,Veronica-type,Vicia-type,Vitex,Vitis,Zygnema-typezygospore
340,--/1091/--,,404,62545,1,,,,1,1,,7,,,2,,,,1,,,11,,,,7,,4,,244,6,,,,,2,,,,,,,1,,,,,,165,,,3,,5,5,,,,,1,,,,,2,,,,,48,,,,83,,,,,,29,,,,,,,,,2,,11,,,,,,,2,,4,,,,,,1,,2,,,12,,,,,,,1,,,,6,,,,,,1,1,,,,,3,3,,,,,,32,,,,,,1,,,4,,,7,,,,6,76,,8,,1,,40,3,,,,,1,,,4,,2,1,1,98,23,20,,4,3,,,,,,1,11,,1,8,,,2,,,,,,,,,,1,,,,2,,,,2,14,,16,,,7,,,,,,,2,,,,,,,,,1,,1,2,
350,--/1114/--,,411,62545,1,,,,1,,,6,9,,,,,,1,,2,8,,,,11,,2,,336,5,1,1,,,1,,1,,,,,,,,,,,11,1,,,,2,10,,,,,1,,,,,4,,,,,37,,,,5,,,,1,,35,1,,,,,2,,,,,5,,,,,1,,1,,,,1,,,,,,6,1,,22,,2,1,,,,1,,,,9,,,,,,,1,,,,,9,1,,,,,,21,,1,,,,3,,,1,,,3,,,,4,56,,,1,,,25,5,,,,1,6,,,,,1,,,129,21,27,,9,4,,,,,1,4,6,,1,3,,,,,,,,,,,,,1,,,,3,,,,,26,,7,,,2,,,,,,,13,,8,,,,,,,1,,,,
360,--/1132/--,,604,62545,1,,,,3,2,,6,9,,,,,,,,1,15,,,,9,,1,,177,10,,,,,,,,,,,,,1,,,,,39,,,3,,4,14,,,,,1,,,,,4,,,,,32,,,,7,,,,,,64,,,,,,1,,,1,,4,,,,,,,,,,,2,,,,1,,1,1,,25,,2,5,,,,1,,,,9,,,,,,1,1,,,,,8,,,,,,,24,,,,,,2,,,2,,,8,,,,4,40,1,9,,,,28,4,,,,,1,,,3,,2,,,90,10,15,,6,2,,,,,,4,10,,,6,,,,,,,,,,,,,2,,,,1,,,,8,20,,21,,,6,1,,,,,,8,2,,,,,,,,,,2,,
370,--/1150/--,,349,62545,1,,,,,,,5,4,,1,,,,11,,,13,,,,4,,1,,100,7,,5,,,,,,,1,,,,,,,,,9,1,,,,1,9,,,,,2,,,,,5,,,,,22,,,,35,2,,,1,,31,,,,,,,,,1,,13,,,,,32,1,1,,2,,1,,,,2,,,,,14,,3,,,3,,,,,,1,,,,,,,,2,,,,11,1,,,,,,37,,,,,,3,,,6,,,5,2,,,7,40,,4,,4,,51,5,,,,,7,,,,,,,,156,30,15,,12,,,,,,,6,7,,4,1,2,,,,1,,,,,,,,1,,,,,,,,1,36,,8,,,4,,,,,,,2,,5,,,,,,,2,,,,2
380,--/1168/--,,385,62545,1,,,,,1,,2,3,,3,,,,,,,10,,,,3,,7,,316,11,,,,,,,,,,,,,,,,,,9,,,4,,3,12,,,,,,,,,,2,,,,,45,,,,38,,,,1,,45,,,,,1,1,,,,,11,,,,,,2,1,,,,1,,,,,,,,,27,,1,,,,,3,,,,3,,,,,,,1,,,,,1,2,,,,,,26,,,,,,3,,,3,,,6,,,,5,59,,12,,,,27,3,,,,3,2,,,4,,3,,,125,21,17,,3,2,,,,,,1,9,,1,2,,1,5,,,,,,,,,,1,,,,,,,,1,14,,8,,,4,2,,,,,,2,1,1,,,,1,,,,,,1,
382,--/1172/--,,245,62545,1,,,,3,,,7,5,,,,,,1,,,10,,2,,10,,1,,796,4,,,,,,,1,,,,,,,,,,,,,,,,8,6,,,,,,,,,,5,,,,,28,1,,,31,,,,,,25,,,,,,,,,,,3,,,,,,,,,,,1,,,2,,,1,,,36,,,,,,,,,,,,,,,,,,,1,,,,9,5,,,,,,34,,,,,,2,,,16,,,11,,,,5,48,,15,,1,,30,1,1,,,,12,,,,,7,1,,128,37,29,,2,1,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,4,3,,,22,,,,,,1,,,,8,,,,,,,,,,,,,6
386,--/1315/--,,254,62545,1,1,,,4,,,11,8,,,,,1,,,,7,,1,,4,1,4,,1891,4,,,,,1,,,,,,,,,,,,,3,,,4,,6,10,,,,,,,,,,2,,,,,29,,,,11,,,,,,40,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,27,,,,,,,,,,,,,,,,,,,,,,,11,4,1,,,,,33,1,,,1,,6,,1,20,,,12,,,,5,55,,10,,,,30,2,,,,,25,,,,2,4,1,,122,65,24,,,3,,,,,,,7,,3,,,,,,,,,,,,1,,,,,,,,,10,1,,,30,,,,,,2,,,,17,2,,,,,,,,,,,1,4
390,--/1457/--,,281,62545,1,,,,1,,,,4,,1,,,,4,,1,8,,,,4,,3,,257,4,6,,,,1,,,,,,,,1,,,,,1,,,2,,5,13,,,,,,,,,,5,,,,,26,,,,17,,,,,,44,,,,,,2,,,,,9,,,,2,2,,,,,,,,,,,,,,,16,,,1,,1,,,,,,10,,,,,,,,,,,,2,,,,,,,28,,,,,,2,,,,,,9,,,,7,34,1,8,,,,27,4,,1,,1,3,,,7,,2,,,139,21,24,,6,1,,,1,,,3,5,,1,,,,1,,,,,,,,,,2,,,,,,,,,23,,8,,,10,,,,,,,10,,2,,,,,,,,,,,
395,--/1635/--,,198,41697,1,1,,,,,1,13,6,,,,,,1,,2,22,,1,,6,,2,,478.5,12,1,,,,,,1,,,,,,,,,,,,,,,,5,7,,,,,,,,,,6,,,,,25,,,,51,,,,1,1,36,1,,,,,3,,,,,6,,,2,,7,,,,,,,,,,1,,,,,22,,,,,3,,,,,,6,,,,,,,,,1,,,3,1,,,,,,25,,2,,,,,,,1,,,6,1,,,5,39,,2,,,,34,11,,,,3,14,,1,1,,2,,,136,13,22,,10,2,,,,1,,4,14,,,2,,,1,,,,,1,,,,,,,,,,,,,,23,,5,,,2,1,,,,,,8,,2,1,,,,,,,,,4,
405,--/1991/--,,307,41697,1,,,,1,,3,13,10,1,,1,,,,,,16,,2,1,8,,4,,773.31,2,1,6,,,,,1,1,,,,,,,,,,,,,,,14,15,,,11,,,,,,,8,,,,,28,,,,12,,,,,,42,1,,,,,4,1,,2,,8,,,,,2,1,,,,,,,,,1,,6,2,,10,,,,,,,,,1,,5,,,,,,1,,,,,,5,2,6,,,,,23,,,,,,3,,,3,,,5,1,,,6,74,1,14,,,,53,3,,,,3,9,,,3,,,2,,86,16,25,,2,6,,,,,1,1,13,1,,4,,,,,,,,1,2,,,,,,1,,,,,,4,4,,18,,,,,,,,,,30,,,,,,,,,,,,1,
410,--/2169/--,,485,62545,1,,,1,,1,,22,8,,1,,,,,,2,10,,1,,2,,5,,730,8,,,,,,,,,,,,,,,,,,2,,,3,,4,3,,,,,,,,,,9,,,,,39,,,,,,,,1,,34,,,,,,3,,,,1,11,2,,,,3,,,,,,1,,,,1,,3,,,11,,,,,1,2,1,,,,4,,,,,,2,,,,,,5,2,,,,,,13,,,,,,5,,,16,,,5,,,,12,88,,16,,,,48,5,,,,1,11,,,5,,,,,63,15,20,,2,3,,,,,,2,4,,,,,1,,,,,,,1,,,,1,,,,,,,,4,16,,12,,,2,,,,,,,59,1,5,,,,,,1,,,,3,
415,--/2347/--,,419,62545,1,1,,,,,,26,4,1,,,1,,,,,8,,,,8,,7,,2521,2,,,,,,,2,,,,,,,,,,,163,,1,,,7,9,,,,,,,,,,6,,,,,67,6,,,,,,,,,32,,,,,,3,1,,,,3,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,11,1,,,,,10,,2,668,,,2,,1,,18,81,,14,2,4,,57,,,,,,23,,,,,5,2,,50,64,22,,3,3,1,,,,,,13,,,,,1,,,,,,,1,,,,,,,,,,,4,1,,,9,1,,,,,,,,,37,,,,,,,,,,,,,17
420,--/2525/--,,611,62545,1,,,,1,,,21,3,,2,1,,,1,,,5,,,,5,,5,,100,9,,2,,,,,,,1,,,,,,,,,25,1,,2,,2,10,,,,,8,,,,,3,,,,,39,,,1,,,,,,,40,1,,,,1,1,,,,,6,,,,,16,,,,14,,1,,,,,,2,,,13,,4,,,5,,,,,,3,,,,,,3,,1,,,,14,,,,,,,4,,,,,,8,,,29,,,1,,,,15,90,,13,,2,,42,8,,,,2,7,,,,,,,,38,28,35,,7,,,,,,1,5,8,,,,1,,,,2,,,,,,,,,,,,,,,,1,10,,3,,,,2,1,,,,,25,1,8,,,,,,,,,1,,6
425,--/2704/--,,469,62545,1,1,,2,17,,,19,20,,,,1,,,,,12,,2,,,,7,,3774,5,,,,,1,2,1,,,,,,,,,,,133,,1,,,15,5,,,,,,,,,,13,,,,,131,,1,,4,,,,1,,26,1,,,,,3,,,1,,1,,,1,,1,,,,2,,,,,,,,4,,,14,,,,,,1,,,,,,,,,,,,,1,,,,20,3,,,,,,14,,,,1,,8,,,1380,,,13,,,,16,76,,26,3,1,,76,3,,,,3,54,,,,1,6,1,,54,50,16,,,4,,,,,,,24,,,,,,,,,,,,,,2,,,,,,,,,10,1,,,11,,,,,,1,,,,34,2,,,,,,,,,,,,28
430,--/2882/--,,683,62545,1,,,,2,3,,25,9,,,,,,,,,11,,,,6,,9,,708,8,,,,,1,,2,,,,,,,,,,,13,,,4,,4,4,,,,,1,,,,,11,,,,,51,,,,,,,,1,,35,1,,,,,3,,,,,7,3,,,,,,1,,1,,,,,,,,5,,,6,,,2,,,,2,,,,5,,,,,,3,2,,,,,11,1,,,,,,9,,,,,,6,,,23,,,5,,,,22,72,1,18,,,,40,7,,1,,1,7,,,5,,1,2,,71,18,14,,1,10,,,,,,8,15,,1,3,,,,,,,,,1,,,,,,,,,,,,1,15,,7,,,7,,,,,,,29,1,3,1,,,,,,,,,1,
435,--/3060/--,,291,62545,1,,,,1,1,,6,7,,,,1,1,,,,1,,2,,3,,1,,1191,3,,,,,1,,1,,1,,,,,,,,,93,1,,,,4,5,,,,,,,,,,3,,,,,42,2,1,,8,,,,1,,33,,,,,,,,,,,3,1,,3,,,,,,,,1,1,,,1,,,1,,17,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,1,,39,2,,,,,2,,,138,,,16,,1,,14,82,,15,2,3,,48,1,,,,,7,,,,1,1,,,81,46,13,,2,3,,,,,1,,32,,,,,,,,,,,2,,,,,,,,,,,,,,,,12,,,,,,1,,,,39,,,1,1,,,,,,,,1,2
440,--/3260/--,,693,62545,1,,,1,,1,1,13,3,,,,,,,,,16,,,,5,,5,,301,7,1,1,,,1,,1,,,,,,,,,,,2,,,2,,3,5,,,,,,,,,,4,,,,,30,,,,2,,,,3,,44,1,,,,,,,,,,6,3,,,,1,,,,,,,,,,,,2,,,12,,,3,,,,1,,,,4,,,,,,1,,,,,,,,,,,,,26,,,,,,2,,,10,,,7,,,,8,81,,14,1,1,,43,6,,,,,7,,,,,,2,,91,14,11,,2,8,,,,,3,12,12,,2,5,,,,,,,,,1,,,,2,,,,,,,,1,10,,8,,,4,,,,,,,41,,7,,,,,,,,,1,,
445,--/3431/--,,320,62545,1,,,,3,,,7,34,,1,,,,2,,,5,,,,5,,3,,162,7,,,,,1,,3,,,,,,,1,,,,90,,,,,11,,,,,,,,,,,7,,,,,81,2,,,,,,,,,69,,,,,1,4,,,,,4,,,1,1,,,,,,,,,,,,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,48,3,,,,,,27,,,,,,5,,,164,,,12,1,,,96,61,,,,3,,27,,,,,,27,,,,,2,1,,255,56,18,,1,1,,,,,,,13,9,,,,,,,,,,1,,,,,,1,,,,,,5,2,,,37,,,,,,1,,,,13,1,,,,,,,,,,,1,2
450,--/3486/--,,541,62545,1,,,,,3,,10,15,,,,,,,,,4,,,,4,,3,,40,9,1,,,,,,,,1,,,,,,,,,35,,,,,,4,,,,,,,,,,10,,,,,60,,,,16,,,,,,60,,,,,,3,,,,,6,3,,,,7,,,,,,,,,,,,,,,10,,,,,,,1,,,,8,,,,,,,,,1,,,16,,,,,,,8,,,,,,1,,,2,,,5,,,,6,54,,4,,,,7,1,,,,1,5,,,,,2,,,159,6,6,,5,3,,,3,,3,1,6,,4,3,,,,,,,,,,,,,1,,,,,,,,,31,,10,,,4,,,,,,,6,2,4,,,,,,,,,2,,
455,--/3540/--,,244,62545,1,,,,,,,10,33,,,,1,,,,,3,,,,2,,1,,197,2,,,,,,,2,,,,,,,,,,,81,,,,,4,2,,,,,,,,,,4,,,,1,56,,1,1,61,,,,,,68,,,,,,4,,,,,2,2,,,,,,1,,,,,,,,,,2,1,,5,,,,,,,,,,,,,,,,,,1,,,,,21,1,,,,,,34,1,,,,,3,,,47,,,19,,,,3,36,,2,1,2,,17,,,,,,9,,,,,,,,171,45,5,,,,,,,,1,,9,4,2,,,,,,,,,,,,,,,,,,,,,2,1,,,38,,,,1,,,,,,1,1,,,,,,,,,,,,4
460,--/3594/--,,398,62545,1,1,,,,,,11,10,,,,,,,,,9,,,,1,,,,63,5,,,,,1,,,,1,,,,,,,,,86,,,2,,,,,,,,,,,,,10,,,,,46,,,,49,,,,,,55,,,,,,5,,,,,12,4,,,,3,,,,,,,,,,,,,,,9,,2,1,,,,,,,,14,,,,,,1,1,,,,,22,,,,,,,8,,1,,,,5,,,5,,,13,,,,7,56,,2,,1,,16,4,,,,1,6,,,2,,,,,168,10,4,,3,,,,,,3,2,7,,2,2,,,,,,,,,,,,,1,,,,,,,,,26,1,19,,,5,,,,,,,2,2,4,,,,,,,,,,,
462,--/3616/--,,190,62545,1,,,,2,,,7,15,,,,1,,,,,4,,2,,,,,,120,2,1,,,,,,1,,,,,,,,,,,84,,,,,3,1,,,,,,,1,,,8,,,,,51,,,,40,,,,,,67,,,,,,2,,,,,5,,,,,1,,,,,,,,,,,,2,,,4,,,1,,,,,,,,,,,,,,,,,,,,24,2,,,,,,33,,,,,,3,,,71,,,13,,,,7,49,,5,,2,,19,1,,1,,,12,,,,,2,1,,194,41,5,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,7,1,,,26,1,,,,,,1,,,6,2,,,,,,,,,,,,
468,--/3681/--,,255,62545,1,,,1,,,,9,10,,,,,,1,,,4,,,,,,,,205,5,,,,,,,,,,,,,,,,,,104,,,,,2,2,,,,,,,,,,7,,,,,51,1,,,123,,,,1,,65,,,,,,5,,,,,3,1,,,,,,,,,,,,,,2,,2,,,7,,,1,,,,,,,,,,,,,,,,,,,,21,,,,,,,33,,,,,,2,,,94,,,22,,,,7,63,,4,,2,,20,,,,,,16,,,,,,,,214,25,5,,,,,,,1,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,,1,,,,,,7,,3,,,,,,,,,,,3
470,--/3703/--,,378,62545,1,,,,1,,,4,10,,,,1,,8,,,5,,,,1,,1,,64,7,,6,,,,,,,,,,,,,,,,7,2,,1,,3,3,,,,,4,,,,,3,,,,,19,,,,21,,,,,,74,,,,,,,,,1,,9,3,,,,31,,,,,,,,,,,,2,1,,5,,2,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,10,,,,,,4,,,10,,,3,2,,,12,50,,,,,,14,2,,,,1,1,,,,,,,,142,23,12,,4,,,,,,3,12,4,,,,1,,,,,,,,,,,,,,,,,,,,2,10,1,6,,,4,3,,,,,,5,2,1,,,,,,,2,,3,,
474,--/3746/--,,335,62545,1,,,,,,,16,34,,,,1,,2,,,5,,2,,4,,1,,420,1,,,,,,1,2,,,,,,,2,,,,98,,,,,8,2,,,,,,,,,1,5,,,,,64,,,,126,,,,1,,67,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,6,,,5,,,,,1,,,,,,,,,,,,,1,,,,,19,,,,,,,40,,,,,,1,,,77,,,22,,,,13,75,,5,,1,,26,,,,,,27,,,,,1,,,241,36,2,,1,,,,,,1,1,8,,1,,,,,,,,,,,,,,,,,,,,,3,,,,34,1,,,,,,,,,17,2,,,,,,,,,,,2,2
478,--/3789/--,,210,62545,1,,,,2,,,13,13,,,,,1,,,,5,,,,4,,3,,757,3,,,,,,,,,,,,,,,,,,55,,,,,1,3,,,,,,,,,,9,,,,,59,,1,,46,,1,,,,56,,,,,,3,,,,,7,,,1,,,,,,,,1,,,,,,8,,,5,,,,,,,,,,,,1,,,,,,,1,,,,9,9,,,,,,19,,,,,,5,,1,237,,,34,,,,8,89,,6,,4,,34,1,,,,,27,1,,,,3,,,265,37,8,,,1,,,,,,1,10,,1,,,,,,,,,,,1,,,,,,1,,,,5,1,,,33,,,,,,,,,,12,2,,,,,,,,,,,,3
480,--/3811/--,,475,62545,1,1,,,1,,,8,10,,,,,,,,,2,,,,1,,1,,242,4,,,,,,,,,,,,,,,,,,2,,,5,,4,3,,,,,,,,,,5,,,,,24,,,,35,,,,,,62,,,,,,1,,,,,6,,,,,2,,,,,,1,,,,,,,,,4,,2,1,,,,,,,,13,,,,,,,,,,,,3,,,,,,,6,,,,,,2,,,7,,,7,,,,7,55,,4,,,,22,3,,,,1,5,,,,,,,,174,7,9,,5,,,,,,6,1,8,,1,2,,,2,,,,,,,,,,1,,,,,,,,,15,,21,,,4,,,,,,,11,2,4,,,,,,,,,,,
510,--/4078/--,,560,62545,1,,,,,,,6,3,,,,,,3,,1,10,,,,1,,,,108,1,,,,,,,,,,,,,,,,,,8,3,,1,,,4,,,,,1,,,,,4,,,,,40,,,,,,,,,,138,1,,,,,4,,,,,3,,,,1,,,,,,,1,,,,,,4,,,6,,1,,,,,2,,,,2,,,,,,,2,,1,,,2,1,,,,,,5,,,,,,7,,,,,,2,,,,10,90,,3,1,,,26,3,,,,3,2,,,,,2,4,,81,14,9,,6,3,,,,,,7,5,,4,,2,,2,,,,,,,,,,1,,,,,,,,4,1,1,15,,2,,,,,,,,20,1,6,,,,,,,1,,,,
520,--/4166/--,,496,62545,1,,,,2,,,12,5,,,1,,,2,,,3,,1,,,,1,,100,3,,8,,,1,,,,,,,,,,,,,6,7,,1,,,6,,,,,2,,,,,10,,,,,28,,,,1,,,,,,81,,,,,,,,1,1,,5,,,,,10,,,,,,,,,,,,,,,7,,5,,,3,,,,,,1,,,,,,1,,3,,,,3,,,,,,,7,,1,,,,2,,,,,,,2,,,2,115,1,2,,,,27,3,,,,11,5,,,,,1,,,50,12,21,,7,,,,,,5,11,7,,,,,,,,2,2,,,,,,,,,,,,,,,2,1,2,35,,,1,2,,,,,,16,2,7,3,,,,,,,,,,
530,--/4270/--,,375,62545,1,,,1,,,,13,6,,3,,,,,,,10,,,,4,,1,,266,2,1,,,,,,,,,,,,,,,,,22,4,,6,,2,1,,,,,,1,,,,10,,,,,103,,,1,,,,,,,104,,,1,,,3,,,,,5,,,,,,,1,,,,,,,,1,,6,,,46,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,6,2,,8,,,,,,,10,84,2,5,,4,,24,4,,,,1,4,,,,,,1,,78,23,4,,7,,,,,,,4,7,,,1,,1,,,1,,,,1,,,,,,,,,,,,,3,,7,,,1,,,,,,,74,1,6,,,,,,,,,,,
535,--/4341/--,1,629,62545,1,,,,1,1,,14,7,,3,1,2,,,,,2,,1,,2,,2,,113,4,2,,,,1,,1,,,,,,,1,,,,221,18,,,,7,2,,,,,,,,,,4,,,,,119,1,,,1,,,,2,,71,,,,,1,4,,,1,,3,,,1,,1,,,,,,1,,,,,,44,,,5,,,1,,1,,,,,,,,,,,,,,,,1,,3,,,,,,,11,,,,1,,3,,,83,,,4,,,,10,179,,3,,16,,44,1,,,,,181,,,,,17,,,30,21,2,,5,21,,,,,,,13,1,3,,,,,,,,,1,,,,1,,,,,,1,,10,2,,,53,,,,,,,,,,346,,4,,,,,,,,,,,
540,--/4412/--,,1378,62545,1,,,,,1,2,16,,,,,,,,,,8,,,,3,,2,,2,2,,3,,,,,,,,,,,,,,,,1,2,,1,,3,1,,,,,,,,,,4,,,,,64,,,1,6,,,,1,,71,,,,,,4,,,,,2,,,1,,1,,,,,,,,,,,,31,,,7,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,5,,,,,,,,,,5,175,1,5,,2,,22,3,,,,,1,,,,,3,3,,40,6,2,,6,4,,,1,,1,4,12,,1,,,,2,,,,,,,,,,,,,,,,,,,6,,51,,,2,,,,,,,94,1,3,,,,,,,,,,,
560,--/4695/--,,671,62545,1,,,1,4,,,16,10,,3,,,,,,2,8,,,,8,,3,,54,3,,,,,,,,,2,,,,,,,,,,21,,,,3,4,,,,,,1,,,,2,,,,,68,,,,,,,,,,63,,,,,,1,2,,,,2,1,,,,1,,1,,,,,,,,,,3,,,10,,,4,,,,,1,,,5,,,,,,,1,,,,,8,,,,,,,2,,,,,,3,,,,,,,,,,8,79,,6,,1,,38,4,,1,,,3,,,3,,7,,,51,13,5,,3,30,,,,,,1,3,,2,,,,6,,,,,,,,,,,,,,,,,,3,9,,79,,,6,,,,,,,145,1,4,,,,,,,,,1,2,
570,--/4837/--,,643,62545,1,,,,1,1,1,12,2,,1,3,,,1,,1,2,,2,1,6,,1,,100,12,,24,,,,,,,1,,,,,,,,1,8,7,,2,,6,12,,,,,7,,,,,7,,,,,55,,,,,,,,3,1,81,1,,,,,,1,,5,,2,1,,,,7,,,,7,,,,,,,,4,,,42,,7,,,1,,,,,,2,,,,,,,6,2,,,,8,,,,,,,,,,,,,2,,,19,,,,3,,,23,39,,9,,,,62,9,27,,,2,23,,,,,8,2,,44,15,9,,18,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,6,1,,8,,,,2,1,,,,,341,11,13,,,,,,,3,,,,
580,--/4978/--,,913,62545,1,,,,1,,,13,3,,1,,,,,,,3,,,,1,,3,,88,6,,,,,2,,1,,,,,,,,,,,,1,,7,,7,3,,,,,2,,1,,,9,,,,,43,,,,,,,,,,98,,,,,1,4,,,,,4,1,,,,,,1,,7,,,,,,,,4,,,11,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,2,,,,,,2,,,,,,4,,,,8,119,,3,,,,30,3,,1,,,,,,1,,4,,,85,18,8,,5,1,,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,,,,3,14,,7,,,3,,,,,,,13,,2,1,,,,,1,,,,,
585,--/5049/--,,540,62545,1,,,,2,,,10,2,,1,1,,,,,,5,,1,,1,,1,,663,2,,,,,,,1,,,,,,,,,,,435,1,,,,5,,,,,,,,,,,10,,,,,79,,,,1,,,,,,119,,,,,1,2,,,,,2,1,,,,1,,,,,,,,,,,,4,,,2,,,,,,,,,,,1,,,,,,,1,,,,,6,,,,,,,30,,,,1,,1,,,35,,,14,,,,3,115,,1,1,1,,28,,,,,,27,,,,1,4,,,86,36,4,,,3,,,,,,1,15,,3,,,,,,,,,,,,,,,,,,,,,1,,,,10,2,,,,1,,,,1,25,1,1,,,,,,,,,,,
590,--/5120/--,,479,62545,1,,,,,2,2,9,4,,,,,,,,1,7,,,,2,,2,,114,8,,2,,,1,,,,,,,,,,,,,,1,,1,,,8,,,,,,,,,,12,,,,,38,,,1,,,,,,,112,,,,,,9,1,,,,6,3,,1,,1,,,,,,,,,,,,1,,,11,,4,,,,,2,,,,4,,,,,,5,4,,,,,6,,,,,,,5,,,,,,6,,,,,,3,,,,12,101,,7,1,,,23,2,,,,4,2,,,3,,1,2,,81,14,8,,3,2,,,3,,6,4,5,,1,,,,,,,,,,1,,,,,,,,,,,,1,12,2,10,,,5,,,,1,,,39,,4,,,,,,,2,,,,
595,--/5191/--,,341,62545,1,,,,1,,,13,4,,,,1,,,,,2,,,,3,,5,,489,3,,,,,,,,,,,,,,,,,,256,2,1,,,4,7,,,,,,,,,,8,,,,,64,,,,1,,,,3,,92,,,,,,5,,,,,2,1,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,9,,,1,,,3,,,58,,,10,,,,17,104,,3,,4,,37,,,,,,20,,,,,6,,,93,35,5,,,3,,,1,,1,,10,,4,,,,,,,,,,,,,,,,,,,,,2,2,,,13,2,,,,,2,1,,1,68,4,,,,,,,,,,,,
