Depth,Calo et al. (2013)Calendar years BP,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ammi-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthoceros punctatusspore,Anthriscus sylvestris-type,Apiaceae,Arbutus,Arnoseris,Artemisia,Asparagus,Asplenium-typespore,Aster-type,Asteroideae,Astragalus-type,Berberis,Betula,Botrychiumspore,Botryococcuscolony,Brassicaceae,Bupleurum,Calendula,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Cedrus,Celtis australis,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Cercophora-typespore,Cheilanthes-typespore,Cichorioideae,Cistus,Corylus avellana,Crataegus-type,Cuscuta,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporothecaspore,Dryopteris filix-mas-typespore,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Ficus carica,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Glomusspore,Gnaphalium-type,Helianthemum,Heliotropium,Herniaria-type,Hypericum perforatum-type,Jasione,Juglans regia,Juniperusstomate,Juniperus-type,Lamiaceae,Ligustrum,Liliaceae-type,Limonium,Linaria-type,Lithospermum officinale,Lonicera,Lotus-type,Lythrum portula,Malvaceae,Matthiola-type,Mentha-type,Mercurialis annua,Microthyriumspore,Microthyriumfruit body,Morus,Myrtus communis,Odontites-type,Olea,Ononis-type,Ophioglossum lusitanicumspore,Ornithopus,Ostrya-type,Paronychia-type,Phillyrea,Phlomis,Picea,Pinus,Pinusstomate,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda,Rhamnus,Rhinanthus,Rhus,Ricciaspore,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex-type,Sagina,Salix,Sambucus nigra,Scabiosa,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Ulmus,Urtica,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Ustulina deustaspore,Verbascum,Viola,Vitis
708,--/790.6/--,900,18584,2,1,,,,,,,2,,,,,,,2,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,,,,,2,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,7,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,
716,--/799.7/--,1673,18584,2,1,,,,,,,3,,3,,2,,,3,2,,3,,1,1,,,,,,,4,,,,,,,,1,,,,,,,,,,6,1,,,,,,3,,,,,,,25,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,19,,5,,1,,,,2,,,,3,,,,1,1,6,,,,,,,,,,,,,,,71,,,,,,3,,,,1,,7,,,,,5,,,,,,,,,
724,--/808.9/--,369,18584,2,1,,,,,1,,,,,1,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,99,,10,,1,,,,2,3,,,1,,,,,,16,,,,,,,,,,,,,,,2,,,,,,3,,,,,,1,,,,,,,,,,,,,,
732,--/818/--,2226,18584,2,1,,,,,,,3,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,24,,15,,,,,,3,2,,,,,,,,,45,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
740,--/827.1/--,358,18584,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,40,,11,,,,,,4,,,1,,,,,,,12,,,,,,,,,,,,,,,9,,,,,1,4,,,,,,,,,,,,,,,,,,,,
748,--/836.2/--,1226,18584,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,32,,,,2,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,--/845.3/--,580,18584,2,1,,,,,,,1,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,46,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,1,3,,,,,,1,1,,,3,,,,,,9,,,,,,,,,,,,,,,2,,,,,,3,,,,,,6,,,,,,,,,,,,,,
764,--/854.4/--,557,18584,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,78,1,3,,1,,,,,2,6,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
772,--/863.6/--,,18584,2,1,,,,,,,1,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,98,,10,,1,,,,1,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,,,7,,,,,,,1,,,,,,,
780,--/872.7/--,989,18584,2,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,1,,,,,,,,,43,,,,,2,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,46,,8,1,,,,,5,3,,,,,,,,,11,,,,,,,,,,,,,,,2,,,,,,25,,,,,,12,,1,,,,,7,,,,,,,
788,--/881.8/--,474,18584,2,1,,,,,,,,,,2,2,,,,,,4,1,,4,,,,,,,2,,,,,,,,,1,,,,1,,,1,,7,,,,,,,5,2,,,,,2,79,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,1,,,,,,,1,,1,,3,,,,,3,,,,23,8,14,,3,,,,8,2,1,,2,,,,,,6,,,,,,,,,,,,,2,1,112,,1,,,,,,,,,,35,,,,2,16,,,1,,1,,,,
796,--/890.9/--,312,18584,2,1,,,,,,,2,,,5,7,,,,1,,4,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,8,1,,,,,,4,,,,,,,110,,,1,1,,,3,,2,,1,,1,,,,,2,1,,1,,,,,,,,,,1,,1,,1,,7,,,,,4,,,,77,6,13,,1,,3,,8,2,,,3,,2,,,6,9,1,2,,,,,,,1,2,,,,,67,,,,,,1,,,,,,14,,,1,,9,,,,,,1,,,
804,--/900/--,632,18584,2,1,,,,,,,6,,3,6,8,,,1,1,1,6,,2,2,,,,,,1,3,,,,,,,,,,,,,,,,,,13,1,,,1,2,,5,,,,,,1,103,,1,1,,,,2,1,5,2,2,1,3,,,,1,3,,,,,,,,,,1,,,,,,,1,,7,,,1,,2,,,,48,2,24,1,3,,,,10,2,,,4,,2,,1,2,10,,,,,,,,1,1,,,,,,84,,,,,,6,,,,,1,83,,2,,,28,,,1,,2,2,,,
812,--/909.1/--,1079,18584,2,1,,,,,2,,6,,1,1,1,,,,2,1,13,1,,,,,,,,,2,,,,,,,,,,,1,,,,,,,10,,,,,,,1,,,,,,1,75,,1,,,2,,1,,3,,3,,,,,,,7,1,,,,,,,,,,,,,,,,,,19,,,,1,7,2,,,42,,43,1,4,,2,,18,3,,,1,,,,,,28,2,1,,,,,,,,,,,,,53,,,,,,1,,,,1,,13,,1,,,4,,,5,,1,,,,
820,--/918.3/--,565,18584,2,1,,,,,,,1,,1,1,4,,,2,,,9,,1,2,,,,,,2,2,,,,,,,,,,,,,,,,2,,8,3,,,,,,,,,1,,,,77,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,5,,,49,1,10,,2,,,,6,1,1,,1,,,,1,3,20,1,1,,,,,,,,,,,7,,45,,,,,,,,,,,,47,,,,,9,,,,,,,,,1
828,--/927.4/--,859,18584,2,1,,,,,,,1,,,,3,,,1,1,,5,,1,,,,,,,1,,,,,,,,,,1,,,,,,,1,,7,1,,,,,,1,1,,,,,,91,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,4,,6,,,,,1,1,,,57,2,291,1,,,,,3,,,,1,,,,2,2,8,,,,,,,,1,,,,,6,,5,,,,,,,,,,,,16,,,,,6,,,,,,,,,
836,--/936.5/--,499,18584,2,1,,,,,2,,7,,,2,5,1,,,3,,10,1,,2,,,,,,1,3,,,,,,,,,,,,,1,,,2,,11,2,1,,,1,,,,,,,,2,87,,,,,,,3,,1,,,,1,,,,,7,,,,,,1,,,,,,,,,,,4,,15,,,,,3,1,,,63,1,25,1,,,,,17,1,2,,2,,,,,2,45,3,2,,,,1,,,,,,2,5,,34,,,,,,3,,,,1,,22,,,,,12,,,4,,,,,,
844,--/945.6/--,1003,18584,2,1,,,,1,,,5,,,,7,1,,,,1,9,,,1,,,,,,,2,,,2,,,,,,,,,,1,,,1,,7,5,,,,1,,2,,,,1,,,58,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,2,,10,,,,,2,1,,,56,3,8,,1,,,,11,2,1,,1,,,,,2,26,,,,,,,,,,,,,9,,26,,,,,,1,,,,,,8,,,,,12,,,,1,,,,,
852,--/954.7/--,807,18584,2,1,,,,,,,2,,1,1,4,,,,6,1,4,,,1,,,,,,,1,,,,,,1,,,,,,,,,,3,,5,,,,,,,1,,,,,,,95,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,2,,,,1,,,102,6,3,,1,,,,1,,1,,1,,,,,5,12,,,,,,,,,,,,1,2,1,10,,,,,,3,,,,,,36,,,,,11,,,,,,,,,
860,--/963.8/--,774,18584,2,1,,,,,,,1,,,1,1,,,1,,3,4,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,23,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,1,,12,,,,,2,2,,,19,2,16,,5,,,,4,,,,,,,,,1,16,1,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,1,,,,,,,,,
868,--/973/--,877,18584,2,1,,,,,,,,,,3,2,,,,1,2,11,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,,3,1,,,,,,4,,,,,,,58,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,10,,,,,3,4,,,58,5,17,3,2,,,,10,3,1,,,,,,,,21,4,,,,,,,,,,,,1,,18,,,,,,,,,,,,7,,,,,2,,,,,,,,,
876,--/982.1/--,1500,18584,2,1,,,,,,,6,,,7,2,,,1,,2,22,,,2,,,,,,,2,1,1,,,,,,,,,,,,,,2,,10,,,,,,,,,,,,1,,45,,1,,,1,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,1,33,,,,,1,5,,,46,,53,,7,,,,30,1,1,,4,,,,1,3,60,2,2,,,,,,,,,,,11,,22,,,,,2,,,1,,,,12,,,,,26,,,2,,,,,,
880,--/986.6/--,613,18584,2,1,,,,,,,3,,,1,8,,,,3,,6,,2,2,,,,,,,3,,,,,,,,,,,,,,,,2,,8,,,,,1,,1,,,,,,2,61,1,,1,,,,1,,,,,,,,1,,,5,,,1,,,,,,2,,,,,,,,1,,3,,,,1,1,5,,,41,,17,1,1,,,,4,,2,,2,,,,1,5,27,1,,,1,,,,,,,,2,,,32,,,,,,,,1,,1,,34,,,,1,9,,,,,,,,,
884,--/991.2/--,334,18584,2,1,,,,,,,3,,1,,4,,,1,1,4,8,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,4,1,,,,,,1,,,,,,,80,,,,,1,,4,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4,,10,,,,,2,1,,,66,1,7,,1,,,,1,1,,,1,,,,1,3,29,1,,,,,,,,,,,1,,,5,,,,,,1,,,,,,18,,,,1,8,,,,,,,,,
892,--/1000.3/--,775,18584,2,1,,,,,2,,4,,,4,,,,,1,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,,,,,,,1,,54,,,,,1,,,,,,,,,,,,,5,1,,,,,,,,,,,,1,,,,,,47,,,,,1,4,,,84,,40,,1,,1,,7,,,,2,,,,,4,66,2,,,1,,,,,,,,,1,,6,,,1,,,1,1,,,,,5,,,,,4,,,,,,,1,,
900,--/1009.4/--,1463,18584,2,1,,,2,,1,,5,,,5,,,,,1,,22,,,3,,1,,3,,4,7,,,,,,,,,,,,1,,,,,,6,2,1,,,4,1,1,,,,,,1,31,,,,,3,,,,,,,,1,,,,,7,,,,,,,,,,,1,,3,,,,1,,77,,,,,8,20,,,33,,103,,16,,,,33,3,,,1,77,,,1,,86,6,1,,1,,,,,,,1,,,,5,,,,,,,,,,,,3,,,,,2,,,2,,1,,,,1
908,--/1018.5/--,241,18584,2,1,,,,,,,1,,3,,7,,,,2,,7,1,3,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,8,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,4,,,196,1,14,,,,,,2,,,,7,,,,1,10,34,1,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,8,,,,,,1,,,
916,--/1027.7/--,355,18584,2,1,,,,,,,5,1,,1,,,,,,,10,,2,1,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,2,,,,1,,20,,,,,8,,,,,,1,,,,,,2,8,,,,,,,,,,,,,,,,,,,55,,1,,,2,1,,,72,,28,,2,,1,,19,,,,5,,,,,,87,4,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,1
924,--/1036.8/--,623,18584,2,1,,,1,,,,1,,2,2,,,,,1,,18,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,3,1,1,,,6,,,,,,,,,36,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,,,,4,,,,,,99,,,,,4,9,,,89,1,34,,6,,2,,13,3,,,1,,,,,,103,3,1,,,1,,,,,,2,,,,,,,,,,1,,,,,1,1,,,,,2,,,8,,,,,,
932,--/1045.9/--,498,18585,2,1,,,2,,1,,6,,,2,1,,,,1,1,13,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,4,,,1,,,,,,52,,,,,7,,,1,,,,,,2,,,,22,,,,,,,,,,,,,4,,,,,,62,,,,1,7,3,1,,93,1,22,,5,2,2,,18,,,,6,,,,1,1,131,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,1,1,,,1,,4,2,,8,,,,,,
940,--/1055/--,329,18584,2,1,,,,,1,,,,,2,,,,,,,11,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,,29,,,,,5,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,90,,,,,6,1,,,134,,30,,1,1,,,5,,,,4,,,,1,,68,2,1,,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,,3,,,5,,,,,,
948,--/1064.1/--,390,18584,2,1,,,1,,1,,6,,1,5,4,,,,,,19,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,40,,,,,,,1,,,,,,,,,,,70,,,,,,,,,,,,,1,,,,,,107,,,,3,4,11,,,178,1,22,,4,1,,,7,,,,1,,,,,,91,,1,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,
956,--/1073.3/--,276,18584,2,1,,,,,3,,3,,,2,,,,,2,,15,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,24,,,,,7,,,1,,,,,,,,,,70,,,,,,,,,,,,,1,,,,,,222,,2,,1,2,3,,,361,,66,,1,2,,,3,,,,1,,,,,,162,,1,,,,,,,,,,,1,,1,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,
964,--/1082.4/--,235,18584,2,1,,,,,1,,1,,,1,,,,,,,12,,,1,,,,1,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,12,,,1,,18,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,105,,,,,1,5,,,288,1,25,,2,,,,4,,,,,,,,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,1,,,,,
972,--/1091.5/--,331,18584,2,1,,,,,1,,2,,1,7,1,,,,,,11,,,,,,,1,,1,2,,,,,,,,,,1,,,,,,1,,3,1,,,,,,1,,,,1,,1,39,,,,,,,2,,3,1,,,,,,,,31,,,,,,,,1,,,,,,,,,2,,50,,,,,6,10,,,197,2,16,,,,1,,4,,,,8,,,,,5,25,1,2,,,,,,,,,,,1,,2,,,,,,3,,,,,,3,,,,,6,,,,,,,,,
980,--/1100.6/--,494,18584,2,1,,,,,2,,5,,,1,2,,,,1,,5,,1,,,,,,,,7,,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,1,34,,,,,,,,,,1,,,1,,,,1,15,,,,,,,,,,,,,,,,,,,45,,,,,2,6,,,103,4,39,,2,,,,5,,,,3,,,,1,1,91,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,
988,--/1109.7/--,558,18584,2,1,1,,,,1,,4,,1,2,1,,1,,,,14,,1,,,,,,,,1,,,,,4,,,,1,,,,,,,1,,1,,1,,,,,,,,,,,2,92,,1,,,,,,,2,,1,,,,,,1,6,,,,,,,1,,,,,,3,,,,,,64,,,,,4,9,,,111,4,58,2,4,,1,,9,,,,5,,,,,1,85,1,3,,,,,,,,,,1,1,,1,,,,,,6,,,,,1,9,,,,,6,,,2,,,,,,
996,--/1118.8/--,523,18584,2,1,,,,,3,,5,,,2,1,,,,,1,12,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,2,,,,1,,,,,,3,,,46,,2,,,,,,2,1,,,,,,,,,12,,,,,,,,,,,,,3,,,,,,52,,1,,,5,4,,,51,,56,1,1,,,,7,1,,,1,,,,1,1,91,,3,,,,,,,,,,,2,,,,,,,,2,,,,,,5,,,,,5,1,,,,,,,,
1004,--/1128/--,496,18584,2,1,,,,,2,,1,,,,,,,,,,12,,1,,,,,1,,2,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,35,,,,,,,,,1,,,,,,,,1,25,,,,,,,,,,,,,,,,,,,66,,,,,,5,,,160,4,42,1,2,,,,10,,1,,2,,1,,,1,78,1,2,,1,,,,,,,,,3,,1,,,,,,,,,,,1,2,,,,,2,,,,,,,,,
1012,--/1137.1/--,400,18584,2,1,,,,,1,,3,,1,1,1,,,,,,12,,,,,,,,,1,1,,,,,,,,,,,,,,,,2,,1,,1,,,2,,,,,,1,,2,27,,,,,1,1,,2,,,,,,,,,1,17,,,,,,,,,,,,,1,,,,,,140,,,,,4,7,,,75,,50,1,6,,,,7,,,,,,,,1,,66,2,,,,,,,,,,,,1,1,2,,,,,,1,,,,,,9,,1,1,,2,,,2,,,,,,
1020,--/1146.2/--,470,18584,2,1,,,2,,,,2,,,3,,,,,,,11,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,6,,,,,1,,,,,,,,,20,,1,,,,,,,,1,,,,,,,2,26,,,,,,,,,,,,,1,,,,,,118,,,1,1,1,8,,,46,1,57,3,9,,1,,10,1,,,1,,,,,1,31,2,,,,,,,,,,,3,5,,6,,,1,,,2,,,,,,21,,2,,,1,,,,,,,,,
1028,--/1155.3/--,149,18584,2,1,,,,,,,4,,1,4,3,,,1,,1,1,,,,,2,,,,,,,1,,,1,,,,,,,,,,,1,,23,1,1,,,3,,,,,,,,1,10,,,,,1,,,,,,,,,,,,1,15,,,,,,,,,,,,,1,,,,,,94,,,,1,1,2,,,22,2,30,2,23,1,,,8,,,,1,,,,,1,88,,,,,,,,,,,,,3,,2,,,,,,3,,1,,,,21,,3,,,1,1,,,,,,,,
