Depth,Cal yr BP,C14 BP,Lycopodium spikecounted,Abies,Acacia,Acanthus,Acer,Aconitum-type,Adonis-type,Aesculus,Agrostemma,Alisma plantago-aquatica,Alnus,Amaranthaceae,Anchusa,Apiaceae,Apium-type,Armeria-type,Artemisia,Asphodelus,Asteroideae,Avena-type,Bistorta officinalis,Boraginaceae,Botryococcusfilament/cell,Brassicaceae,Bupleurum-type,Campanula-type,Cannabis,Carpinus betulus,Carpinus orientalis,Carthamus-type,Carya,Caryophyllaceae,Casuarina,Cedrus,Celtis,Centaurea nigra-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea-type,Ceratonia,Chelidonium-type,Cichorioideae,Cirsium/Carduus-type,Cistaceae,Cistus,Convolvulus,Corylus,Crataegus-type,Cupressaceae,Cyperaceae,Delphinium-type,Dipsacoideae,Ebenus-type,Echinops,Echium,Elaeagnus,Ephedra distachya,Ephedra fragilis,Epilobium,Equisetumspore,Ericaceae,Erodium,Eucalyptus,Euphorbiaceae,Fabaceae,Fagus,Fraxinus ornus,Fraxinus syriaca,Galium-type,Geranium,Helianthemum,Heracleum-type,Herniaria-type,Hordeum-type,Hypericum,Juglans,Knautia,Lamiaceae,Lemna,Liliaceae,Linum austriacum-type,Linum bienne-type,Lythrum portula-type,Lythrum salicaria-type,Mentha-type,Mercurialis,Myriophyllum,Olea-type,Osmundaspore,Papaver-type,Papaveraceae,Pediastrumfilament/cell,Persicaria amphibia,Phillyrea-type,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus,Plantago indeterminata,Plantago lanceolata,Plantago major/P. media,Platanus orientalis,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare,Polygonum indeterminata,Polygonum oxyspermum,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Populus,Potamogeton,Potentilla-type,Prunus-type,Quercus coccifera,Quercus indet.,Quercus ithaburensis,Ranunculaceae,Ranunculus aquatilis-type,Rhamnus-type,Rhinanthus-type,Rhus,Rosaceae,Rumex,Salix,Salvia-type,Sambucus,Sarcopoterium,Scabiosa,Scrophulariaceae,Secale-type,Solanum,Stachys-type,Symphytum,Tamarix,Thalictrum,Theligonum,Thymelaeaceae,Tilia,Trifolium-type,Triticum-type,Typha angustifolia/Sparganium,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Varia/spore,Veronica-type,Vicia-type,Vitis,Xanthium,Zea mays,Ziziphus-type
161.5,--/1353.7/--,--/1328.319/--,351,,,,,,,,,,1,18,,9,1,1,40,,24,,,,,11,,,,,,,,7,,1,1,,3,,,1,,47,2,1,1,,1,2,37,13,1,1,,,,,,,,,,,,1,2,,1,,1,,,,4,3,11,8,1,,,,,,,,1,,329,283,,,,235,,,1,1,26,9,2,,7,1,3,242,6,12,,,1,,,52,,1,136,,12,100,,,,,1,1,,,,47,,,,,,,,,4,,,4,1,,,1,,10,,,1,1,,
163.5,--/1381.7/--,--/1345.768/--,382,,,,,,,,,,,11,,2,,,25,,17,,,,,1,,2,,,,,,5,,,,,2,,1,,,52,4,,,1,,,24,14,,,,,,,,,,1,,,,,6,,,,3,,,1,7,7,3,13,,3,,,,,,1,1,,358,271,,1,,116,,1,,,27,3,1,7,3,1,3,205,10,15,,4,1,2,,138,,,81,,14,91,,,,,1,3,,,,35,,,,,1,,,,3,,,5,1,4,,,,8,,,2,,,
168.5,--/1452.8/--,--/1389.391/--,368,,,,,,,,,,,20,,7,,,33,,28,,,,,9,2,1,,,1,,,1,,,,,6,,,,,53,3,,,,,,25,18,,,,,,,,,,,,,,,3,,,,,,,,1,3,12,14,,,,2,,,,,1,,376,293,,1,1,74,,,,1,37,14,,6,13,,4,220,4,17,2,,,,,110,,,43,,10,93,,,,,2,6,2,1,,23,,2,,,,,,,1,,,3,3,1,,3,3,9,,,1,,,1
173.5,--/1525.5/--,--/1433.015/--,526,,,,,,,,,,,22,,11,,1,22,,16,,,,,2,,1,,,,,,1,,,,,,,3,,1,45,4,,,,,1,4,18,,,,,,,,3,,1,,,,,2,,,,,,,,3,,3,12,,3,,,,,,,,,302,293,,,1,33,,,,,40,11,,3,5,,1,187,15,20,,,,,,96,,,86,2,6,47,,,,,9,2,,,,27,,,,1,,,,,3,,,6,1,,,,,10,,,3,,,
178.5,--/1597.2/--,--/1476.638/--,535,,,1,1,,,,,,2,29,,12,,,34,,36,,,,,6,,3,1,,,1,,3,,,,,2,,,,,81,4,1,,,1,1,12,23,2,,,,,,,,,2,,,,,4,,1,,1,1,,,3,4,1,15,,,,,,,,,2,,270,315,,,,136,,,,,53,8,1,3,6,,8,197,7,12,,,1,3,,49,,,85,3,5,72,,,,,3,1,3,,,23,,1,,,,,,,2,,,7,4,3,,1,1,5,1,,7,,,1
183.5,--/1670.4/--,--/1520.261/--,495,,,,,,,,,,,26,,6,,,31,,27,,,,,2,,,2,,,,,,,,2,1,2,,4,,,87,6,,,,1,1,40,15,,,,,,,,,,1,,,,,1,,,,1,,,,4,4,,14,,,,,,,,,,,289,298,,,,189,,,,,27,2,1,13,4,,3,211,20,17,,,1,2,,147,,,43,1,9,35,2,1,,,1,2,7,,,17,2,,,,1,,,,3,,,1,3,1,,,1,9,,,9,1,,
188.5,--/1744/--,--/1563.884/--,507,,,,,,,,,,1,23,,3,,,27,,24,,,,,9,,,,,1,,,5,,,,,2,,,,,72,1,,,,3,1,56,21,1,,,1,,,,1,,2,,,,,3,,,,2,,1,,1,5,,15,,,,,,,,,3,,252,242,,,,560,,2,,,32,8,1,6,8,1,2,247,12,17,1,,,3,,110,,,41,1,10,60,,,,,3,1,12,,,3,2,,,,,,1,,1,,,5,3,3,,1,1,14,,,6,1,,
193.5,--/1817.4/--,--/1607.507/--,658,,,1,,,,,,,,19,,9,,,29,,38,1,,,1,4,,1,,,1,,,1,,,1,,2,1,2,,,80,1,,,,,1,26,10,,,,,,,,1,,,,,,,,,,,,,,,6,2,,21,,,,1,,,,,2,,230,271,,,1,263,1,1,,,29,9,,8,4,,1,244,14,21,,,,4,,71,,,38,,11,33,,,,,2,,2,,,2,,,,,,,,,3,,,3,7,,,,,12,,,7,1,,
198.5,--/1890.9/--,--/1651.13/--,659,,,,,,,,,,,29,,9,,,37,,101,,,,,7,,,1,1,1,2,,5,,,,,5,,1,,,161,1,,,,,,56,6,2,,,,,,,1,,1,,,,,3,,,,3,,,,1,,1,12,,1,,,,,,,,,239,161,,,1,3706,,1,,1,24,3,,2,5,,6,232,9,12,,,,3,,50,,,17,,10,21,,,,,4,2,8,,,4,,1,,,,,,,1,,,3,1,1,,2,3,20,,,12,1,,
203.5,--/1948.8/--,--/1694.754/--,190,,,,,,,,,,,24,,3,,,29,,66,,,,,6,,,2,,1,,,6,,,,,3,,1,,,99,5,,,,,,19,15,,,,,,,,3,,,,,,,2,1,,,,,,,7,3,,11,,4,,,,,,,1,,292,242,,,2,18564,1,1,,,47,1,,6,1,,3,183,12,27,,,,3,1,59,,,59,1,15,19,,,,,4,7,5,,,7,,,,,,,,,1,,,5,9,,,,2,12,,,13,2,,
208.5,--/1999.5/--,--/1738.377/--,631,,,,,,,,,,,25,,6,,,22,,193,,,,6,7,2,,1,,,1,,3,,,,1,4,,,,,197,,,,,,,57,7,1,,,,,,,2,,,,,,,7,,,,,,,,2,,6,3,,,,1,,,,,,,59,105,,,,2524,,,,1,11,1,2,,6,1,3,269,5,21,3,,,1,,12,,,17,1,9,11,,,,,1,4,11,,,1,,1,,,,,,,,,,,2,,,,,22,1,,8,,,
213.5,--/2049.8/--,--/1782/--,847,,,,,,,,,,,22,,5,,,19,,186,,,,8,1,1,,1,2,2,,,3,,,1,,4,,2,,,236,3,,,,1,,21,3,,,,,,,,1,,,,,,,3,,,,,,,1,3,4,2,9,,,1,,,,1,,1,,54,132,,,,201,,1,,,7,3,,5,1,,1,235,17,36,,,,3,,6,,,26,,16,2,1,,,,7,3,7,,,3,,,,,,,,,1,,,,2,,,1,1,22,1,,7,1,,
218.5,--/2099.7/--,--/1825.623/--,559,,,,,,,,,,,18,,6,,,20,,161,,,,18,8,2,,,,,,,8,,,,,5,,1,,,202,3,,,,,,14,9,,,,,,,,2,,2,1,,,1,2,,,,,,,1,,4,3,3,,,,,,,,,1,,59,84,,,,941,,,,,16,2,,4,4,1,3,315,17,35,1,,2,3,,11,,,17,2,7,11,,,,,4,2,1,,,5,,,,,,,,,,,,2,4,,,,,26,,,3,1,,
223.5,--/2149.3/--,--/1869.246/--,680,,,,,,,1,,,,21,,10,,,28,,163,,,,24,4,1,,,,,,,6,,,,,,,2,,,204,4,1,,,,,5,12,,,,1,,,,3,,,,,,,4,,,,1,,,,9,6,2,9,,3,,,,,,,,,72,126,,,,3292,,,,,12,1,,4,6,,5,287,13,30,,1,,5,,4,,,28,1,6,3,1,,,,6,3,2,,,1,,,,,,,,,1,1,,7,2,,,,1,24,1,,3,,,
227.5,--/2188.5/--,--/1904.145/--,363,,,,,,,,,,,22,,13,,,30,,163,,,,89,5,1,,1,,,1,,3,,,,,3,,,,,190,5,,,,,,3,7,1,,,,,,,,,,,,,1,11,,,,1,,,,2,3,4,7,,,2,1,,,,,1,,66,110,1,,,393,,,,,13,3,,2,5,,2,315,7,18,1,,,,,8,,,16,,3,18,,,,,2,,,,,2,,,,,,,,,2,,,3,1,,,1,,20,,,2,,,
229.75,--/2210.9/--,--/1923.775/--,715,,,,,,,,,,1,16,,10,,1,27,,127,,,,235,4,,,,,,,,5,,,,1,1,,3,,,165,7,,,,,,3,16,,,1,,,,,,,,,,,,1,,,,5,,,,5,1,,3,,5,,1,,,,,2,,181,182,,,,697,,2,,1,13,7,,9,3,1,,342,21,28,1,,,1,,25,,,34,,20,6,1,,,,6,6,3,,,1,1,,,,1,,,,3,1,,10,4,1,,,,8,1,,2,2,,
237.5,--/2287.5/--,--/1991.391/--,262,,,,,,1,,,,4,19,,6,,1,21,,72,,,,1746,9,,,,,1,1,,3,,,,,6,,,,,132,6,,,,,1,12,16,2,,,2,,,,5,,1,1,,,,4,,,,1,,,,2,3,2,3,,1,,1,,,,,,,169,102,,,,1921,,,,,14,11,,2,6,2,6,359,12,9,,,1,,,24,,,30,1,10,26,,,,,3,,1,,,3,1,,,,1,,,,1,,,3,1,,,3,1,21,,,5,,,
241.5,--/2327.8/--,--/2026.29/--,473,1,,,,,,,,,,44,,9,1,,47,1,76,,,,38,4,,,,1,2,2,,3,,,,,1,,1,,,150,2,,,,,,4,7,,,,,,,,1,,,,,,,3,,,,1,,,,1,6,,4,,1,,,,,,,,,134,155,,,,936,,4,,2,21,6,1,7,2,1,,303,17,13,,1,1,,,2,,,54,2,18,3,,,,,2,8,,,1,4,1,1,,,,,1,,2,,,3,2,,,1,2,6,,,4,5,,1
243,--/2342.9/--,--/2039.377/--,538,,1,,,,,,,1,,25,,9,,1,47,1,68,1,1,,205,11,1,,1,,1,,,9,,,,,,,1,,,115,8,,,,,1,4,23,,,,,,,,1,,,,,,,3,,,,2,,,,6,4,2,1,,2,,,,,,,3,,318,115,,,,538,,1,,,12,10,,5,5,,1,302,16,13,,,2,2,,10,,,62,,14,6,,,,,9,5,1,,,1,,,,,2,,,,3,,,5,7,,,,1,9,,,4,1,,
248.5,--/2395.8/--,--/2087.362/--,341,,,,,,1,,,1,1,27,,6,,,41,,73,,,,292,10,,,,,,,,6,,,,,3,,,,,114,3,,,,,,6,30,1,,,,1,,,,,1,,,,,3,,,,2,,,,,5,3,4,,1,,,,,,,1,,365,64,,,,2338,,1,,2,15,6,,1,11,,1,445,17,3,1,,1,3,,7,,,49,1,13,18,,,,,7,6,,,,5,,1,,,,,,,2,,,4,2,1,,,1,18,1,,4,,,
253.5,--/2429.4/--,--/2130.986/--,607,,,,,,,,,,1,31,1,8,,,35,,65,1,,1,21,5,,1,,,4,2,,4,,1,1,,,,,,,106,5,,,,,,5,39,1,,,,,,,1,,,,,,,2,,,,3,,1,,9,9,,8,,8,,1,,,,,2,,458,98,,,,5904,,,1,,17,10,,4,7,1,,435,30,7,,,,,,44,,,48,1,38,8,,,,,6,7,4,1,,6,1,,,,,,,,6,,,2,8,4,,,,17,,,4,1,,
258.5,--/2457.1/--,--/2174.609/--,517,,,,,,,,,,,45,,13,,,33,,135,,,,2,9,,1,,,1,1,,6,,1,,,4,1,,,,168,3,,,,,1,8,35,1,,,,,,,,,2,,,,,6,,,,1,1,,,2,1,,4,,2,,1,,,,,1,,244,85,1,3,1,35913,,2,,1,15,2,,6,6,1,5,419,8,1,1,,1,,2,255,,,40,6,18,8,,,,,6,4,1,,,3,,1,,,,1,,,1,,,,1,2,,,,19,1,,4,,,
263.5,--/2485.9/--,--/2218.232/--,1374,,,,,,,,,,,42,,5,,,33,4,114,,,,10,3,,,,,1,5,,7,,,,1,1,,2,,,161,16,,,1,,1,7,34,,,,,,,,,,,,1,,,6,,,,2,,,,8,3,,2,1,4,,2,,,,,1,,154,60,,,,23907,,1,,,9,3,2,10,5,,2,317,14,6,,1,,1,,26,,,29,,21,8,1,,,,7,3,,1,,3,,,,,,,1,,1,,,2,2,2,,,,14,1,,7,,,
268.5,--/2514.8/--,--/2261.855/--,720,,,,,,,,,,,35,,12,,1,32,2,166,,,,9,5,2,,,,1,6,,12,,,,,5,,,,,198,6,,,,,,2,22,,,,,,,,1,,,1,,,,10,,,,1,,,,2,2,4,1,,2,,1,,,,,3,,71,30,,1,4,7200,,,,1,11,1,,5,5,,,347,9,3,,,1,3,,10,,,32,2,30,20,1,,,,7,1,1,,,3,,,,,,1,,,,,,,2,,,,,23,1,,12,,,
274,--/2545.1/--,--/2309.841/--,549,,,,,,,,,,1,36,,9,,,36,,165,1,,,183,3,,,,,,5,,9,,,,1,,,5,,,171,18,,,,1,1,2,30,,,,,,,,,,1,,,,,3,,,,4,,,1,3,2,1,1,,3,,3,,,,,,,69,53,,,,4254,,,,,7,3,,6,4,,1,339,19,3,,,1,3,,28,,,30,2,78,6,1,,,,10,1,1,,,3,,,,,,,,,5,,,1,2,1,,,1,15,2,,7,,,
278.5,--/2570.3/--,--/2349.102/--,490,,,,,,,,,,,26,,7,,,25,4,193,,,,188,6,,1,,,2,8,,8,,,,,5,,2,,,173,7,1,,,,1,4,19,5,,,,,,,1,,3,,,,,6,,,,3,,,,,3,2,1,,,,,,,,,,,36,23,1,1,2,1432,,,,,7,,1,2,3,,,325,8,4,,,2,2,,22,,,24,6,46,6,,,,,10,2,,,,1,,1,,,,,,,2,,,1,2,1,,,2,23,3,,6,1,,
284.5,--/2603.6/--,--/2401.449/--,735,,,,,,,,,,,30,,9,,,28,1,174,,,,54,9,,,,,,8,,12,,,,1,4,,1,,,195,14,,,,,,2,17,1,,,,,,,2,,,,,,,4,,,,3,,,1,8,1,2,,,4,,,,,,,,,16,16,,,2,135,,1,,,13,5,,2,,,1,221,12,1,,,1,2,,10,,1,47,2,108,3,,,2,2,8,1,1,,,3,2,,,,,,,,,,,1,2,,,,,6,,,2,,,
287.5,--/2620.1/--,--/2427.623/--,475,,,1,,,1,,,1,,20,,8,,1,26,4,138,,,,11,15,,,,,,6,,11,,,,,3,,2,,,142,8,,1,,,2,1,5,4,,,,,,,,,,1,,,,2,,,,1,,,,1,2,4,1,,1,1,1,,,,,1,,43,29,,1,3,70,,,,,9,5,,10,7,,1,347,11,1,1,,1,2,1,3,,,25,3,95,22,,,,,4,4,,,,4,1,1,,,,1,,,2,,,1,2,,,,1,24,,,3,1,,
292.5,--/2648.2/--,--/2471.246/--,311,,,,,1,,,,,,27,,5,,,36,1,70,,,,78,7,1,,,,2,5,,2,,,,,1,,5,,,71,9,,,,1,5,3,21,3,,,,,,,,,,,,,,3,,,,3,,,1,1,4,,,,3,,5,,,,,,,89,36,,,,4105,,2,,,6,7,1,9,5,,,253,17,,,,2,4,1,5,,,80,4,307,24,,,,,6,11,1,1,,5,,,,,,,,,5,,,,2,2,,,,6,,,1,2,,
294.5,--/2659.7/--,--/2488.696/--,93,,,,,,,,,,,15,,7,,,18,1,15,,,,5,7,,,,,,,,1,,,,1,1,,,,,23,4,,1,,,1,2,19,,,,,,,,,,,,,,,3,,,,1,,,,,2,,,1,,,2,,,,,,,47,7,,,1,22,,1,,1,4,3,,2,6,1,,142,7,,,,,1,,20,,,56,9,691,29,1,,,,5,4,2,,,3,,,,,,,,,2,,,,1,,,,,4,,,3,,,
296.5,--/2671.2/--,--/2506.145/--,78,,,1,,,,,,,,13,,5,,,7,,11,,,,,5,,1,,,,1,,,,,,,3,,,,,9,2,,,,,2,,4,1,,,,,,,,,,,,,1,,,,,3,,,,1,1,,,,,,,,,,,,,45,2,,,,2,,,,,3,3,,,1,1,,124,4,,,,1,,,9,,,50,,825,22,,,,,1,,2,,,1,,,,,,,,,2,,,1,,,,,2,2,1,,,,,
298.5,--/2682.7/--,--/2523.594/--,77,,,1,,,,,,,,14,,5,,,8,2,5,,,,,3,,1,,,,1,,2,,,,,,,,,,16,3,,,,,2,,15,1,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,1,,,,,,,32,1,,,,,,,,,4,4,,,3,,,110,2,,,,,,,11,,,56,2,867,23,,,,,3,1,1,,,1,,,,,,,,,2,,,,2,2,,,1,,,,2,,,
302.5,--/2705.6/--,--/2558.493/--,106,,,,,,,,,,,11,,6,,,7,,9,,,,,4,,,,,,,,1,,,,,3,,,,,9,2,,,,,,1,5,,,,1,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,45,10,,,,,,,,4,3,1,,2,2,,,120,4,,,,,1,,6,,,50,6,742,10,,,,,2,4,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,
304.5,--/2717.1/--,--/2575.942/--,73,,,,,,,,,,,4,,8,,,17,,10,,,,,,,1,,,1,,,1,,,,,,,1,,,7,1,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,40,8,,,,,,,,,4,1,,3,,,,75,7,,,,,1,,9,,,45,,862,17,,,,,1,1,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,
305.5,--/2722.8/--,--/2584.667/--,82,,,1,,,,,,,,15,,4,,,11,,6,1,,,,2,,,,1,1,,,1,,,,,,,,,,8,,,,,1,2,1,13,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,52,10,,,,,,,,,5,3,,1,1,,,108,4,,,,,2,,4,,,64,6,839,16,,,,,1,1,1,,,1,,,,,,,,,1,,,2,1,,,1,,4,,,1,,,
307.5,--/2734/--,--/2602.116/--,85,,,,,,,,,,1,12,,5,,,11,,3,,,,,,1,1,,,,,,2,,,,,1,,,,,7,2,,,,1,1,6,15,,,,1,,,,,,1,,,,,,,,,1,,,,1,1,,,,,,1,,,,,1,,42,2,,,,3,,,,,3,4,1,2,1,,,92,4,,,,,1,,8,,,75,4,872,5,,,,,6,,2,,,2,,,,,,,,,1,,,1,,,,,,2,,,2,,,
309.5,--/2745.1/--,--/2619.565/--,67,,,,,,1,,,,,10,,14,,,8,2,4,1,,,,5,,,,,,,,,,,,1,1,,,,,7,1,,1,,,,1,6,,,,,,,,1,,,,,,,,,,,2,,,,1,1,,,1,,,,,,,,,,52,3,,,1,,,,,,3,5,,2,1,1,,82,4,,,,1,,,13,,,65,1,828,16,,,,,4,,,,,,,,,,,,,1,2,,,,2,1,,1,,4,,,1,,,
310.5,--/2750.6/--,--/2628.29/--,99,,,,,,,,,,1,12,,4,,,10,2,5,,,,,1,,,,1,,1,,1,,,,1,1,,,,,3,1,,,,,1,2,6,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,56,7,,,,4,,,,1,1,3,,2,1,,1,129,1,,,,,,,7,,,59,5,890,19,,,,,1,1,1,,,3,,,,,,,,,2,,,,,,,,,3,,,2,,,
311.5,--/2755.9/--,--/2637.014/--,69,,,,,,,,,,,7,,10,,,12,1,8,,,,,2,,,,,,,,3,,,,,,,,,,6,1,,,,,1,,2,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,,1,,,,,,,46,8,,,,1,,,,,3,2,,2,,,,76,8,,,,,2,,6,,,35,1,824,18,,,,,1,3,1,,,1,,,,,,,,,2,,,,,1,,,,1,,,4,,,
316.5,--/2782.8/--,--/2680.638/--,81,,,,,,,,,1,1,6,,3,,,10,2,6,,,,,1,,,,,,,,4,,2,,,,,1,,,6,,,3,,1,1,1,5,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,,,,,,,,64,5,,,,1,,,,,3,8,,1,2,,,95,9,,,,,,,7,,,51,1,750,4,,,,,3,,,,,2,,,,,,,,,1,,,1,2,1,,,,1,,,1,,,1
321.5,--/2807.9/--,--/2731.078/--,89,,,,,,,,,,1,10,,2,,,10,2,5,,,,,2,,,,,,,,1,,1,,,,,,,,11,2,1,2,,,2,,6,,1,,,,,,,,,,,,,,,,,,,,,2,1,,1,,1,,1,,,,,,,73,11,,,,,,,,,1,4,1,1,,,,74,7,,,,1,,,3,,,51,,922,1,,,,,1,4,,,,1,,,,,,,,,1,,,,1,,,,,1,,,1,,,1
326.5,--/2836.8/--,--/2782.275/--,81,,,,,,,,,,,15,,3,,,14,,9,,,,,2,,,,,,,,3,,,,,,,,,,14,,,,,,2,,7,,,,1,,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,39,14,,,,24,,,,,4,4,,1,1,1,,74,3,,,,1,,,2,,,54,1,850,5,,,,,3,3,1,1,,3,,,,,,,1,,3,,,1,,,,,,1,,,1,,,
331.5,--/2884.3/--,--/2833.473/--,133,,,,,,,,,,,8,,8,,,8,,16,,,,3,2,,,,,1,,,1,,,,,,,,,,23,2,,1,,,3,1,16,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,2,,49,9,,,,12,,1,,,7,2,,3,,,,60,9,,,,,,,3,,,44,,798,1,,,,,3,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
336.5,--/2934.5/--,--/2884.671/--,87,,,,,,,,,,,14,,7,,,13,1,14,,,,4,1,,,,,,,,4,,,,,1,,,,,7,,,,,,1,,5,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,1,,,,,,,53,17,,,,18,,,,,3,10,,1,1,,,70,4,1,,,1,,1,1,,,47,2,774,4,,,,,2,1,,,,5,,,,,,,,,1,,,1,,1,,1,,2,,,,1,,
341.5,--/2984.6/--,--/2935.868/--,107,,,,,,,,,,,14,,4,,,4,,13,,,,,,,,,,2,,,2,,,,,,,,,,5,1,,1,,,3,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,50,15,,,,20,,,,,9,6,,1,1,,,68,3,,,,,1,,5,,1,36,,801,2,,,,,2,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
346.5,--/3036.1/--,--/2987.066/--,129,,,,1,,,,,,,24,,16,,,5,,9,,,,,2,,,,,,1,,1,,,,,1,,,,,15,1,,,,1,1,,8,,1,,1,,,,1,,,,,,,1,,,,1,,,,2,,,,,,,,,,,1,1,,73,17,2,,,60,,,,,4,12,,2,2,,,113,4,1,,,1,,,2,,,67,1,764,2,,,,,2,1,,,,1,,1,,,,,,,2,,,,,,,,1,1,1,,,,,
351.5,--/3087.4/--,--/3038.263/--,143,,,,,,,,,,,15,,7,,,8,,7,,,,,3,,,,,,,,5,,1,,,,,1,,,8,2,1,,,1,1,1,16,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,4,6,,,,,,,,,4,6,,,,,,105,7,1,,,,,,5,,,87,1,782,,,,,,1,,1,,,1,,,,,,,,,2,,,,2,,,,,2,,,,,,
356.5,--/3141/--,--/3089.461/--,130,,,,,,,,,,,19,,6,,,13,,9,,,,,3,,,,,,,,1,,,,1,,,,,,5,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,,,,,,,18,7,,,,2,,,,1,2,10,,1,2,,,112,2,,,,,,,2,,,84,6,693,3,,,,,1,4,2,,,2,,,,,,,,,2,,,,,,,,,4,,,,,,
361.5,--/3207/--,--/3140.659/--,166,,,,,,,,,1,,32,,12,,,20,,7,,,,,4,,,,,,1,,4,,,,1,,,1,,,13,3,,,,,1,,13,,1,,,,,,,1,,,,,,2,,,,1,1,,,3,3,,,,4,,1,,,,,,1,10,9,,,,3,,,,,4,6,,2,,,,112,11,1,,,,,,9,,,115,,620,,,,,,3,1,3,,,,,,,,,,,,1,,,2,3,,1,,,4,,,,,,
364.5,--/3256/--,--/3171.377/--,180,,,,,,,,,,1,25,,5,,,17,,16,,,,2,2,,,,,,,,1,,,,,,,,,,12,4,,,,,,,7,,,,,,,,,,,,,,,1,,,,,,,,3,2,,,,1,,,,,,,,,5,13,,,,,,,,,7,10,,2,,,,126,10,1,,,,1,,3,,,115,2,670,2,,,,,3,,3,,,,,,,,,,,,2,,,,1,,1,,,5,,,1,1,,
365.5,--/3272.5/--,--/3181.617/--,181,,,,,,,,,1,2,26,,8,,,15,,13,,,,2,1,,1,,,,,,4,,1,,,,,1,,,10,3,,,,,,1,12,,,,2,,,,,,,,,,,2,1,,,,,,,,1,,,1,1,,,,,,,1,1,6,9,,,,1,,1,,,6,13,,2,1,,,143,9,,1,,,,,4,,,85,4,777,,,,,,4,5,3,,,,,,,,,,,1,,,,,1,,1,,,8,,,2,,,
367.5,--/3305.3/--,--/3202.096/--,143,,,1,,,,,,,1,30,,4,,,6,,16,,,,,2,,1,,,,1,,3,,,,,,,1,,,25,1,,1,,,1,1,5,1,,,,,,,,,,,,,1,2,,1,,2,,,,1,1,,,,,,1,,,,,,,7,12,1,,,2,,,,1,6,9,1,3,1,,1,116,3,3,1,,1,1,,3,,,103,8,642,4,,,,,7,,2,,1,1,,,,,,,,,2,,,1,,1,,,,10,3,,2,,,
370.5,--/3354/--,--/3232.814/--,138,1,1,,,,,,,,,44,,8,,,11,,11,,,,,8,,,,1,1,,,1,,,,,1,,,,,21,1,,,,,3,1,7,1,1,,1,,,,,,,1,,,,2,,2,1,1,,,,2,,,,1,,,1,,,,,,,13,13,,,,1,,,1,,8,15,,1,1,,,158,5,2,,,,,,4,,,91,4,710,1,,,,,3,3,5,,,1,,,,,,,,,1,,,1,,,,,,8,,,4,1,,
375.5,--/3433/--,--/3284.012/--,200,,,,,,,,,,1,28,,3,,,9,,20,,,,2,4,,,,,1,,,1,,,,,,,,,,17,2,,,,,,,13,,,,,,,,,,,,,,,2,,,,2,,,,2,1,,,1,1,,1,,,,,,,12,6,,,,1,,,,,8,7,1,,,,,91,7,,,,1,1,,4,,,64,,767,,,,,,2,,3,,1,,,,,,,,,,7,,,2,,,,,,2,,,,,,
380.5,--/3515.9/--,--/3335.209/--,106,,,,,,,,,,1,35,,6,,,4,,10,,,,1,,,,,,,1,,3,,,,,,,,,,13,2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,2,,,,,,,24,6,,,,,,,,,6,7,,,,,,71,7,,,,1,,,2,,,51,,865,,,,,,,,1,,,,,,,,,,,,2,,,1,1,,,,,3,,,,,,
385.5,--/3593.2/--,--/3386.407/--,113,,,,,,,,,,,37,,2,,,6,1,6,,,,2,,,,,,,,,,,,,1,1,,,,,13,3,,,,,1,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,2,,,,,,,32,6,,,,1,,,,,5,2,,2,,,,64,2,,,,,,,,,,58,1,920,,,,,,1,2,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,
