Depth,Calendar years BP,Abies,Acer,Achillea/Anthemis-type,Agrostemma githago,Allium-type,Alnus,Amaranthaceae,Anagallis arvensis,Anagallis tenella,Anemone nemorosa-type,Angiospermae undiff. (herbs),Apiaceae undiff.,Armeria,Artemisia,Asphodelus-type,Asteraceae undiff.,Betula,Bistorta officinalis-type,Boraginaceae undiff.,Brassicaceae,Bryophyta undiff.spore,Bupleurum-type,Buxus,Calligonum-type,Campanulaceae,Carpinus betulus,Caryophyllaceae undiff.,Castanea,Cedrus,Celtis,Centaurea cf. C. cyanus/montana-type,Centaurea scabiosa,Centaurea solstitialis-type,Ceratophyllum,Cichorioideae,Cirsium,Cladium,Clusiaceae/Hypericaceae cf. Hypericum,Consolida ambigua-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae undiff.,Digitalis-type,Dipsacoideae,Dryopterisspore,Echium-type,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euonymus europaeus,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Fraxinus undiff.,Fritillaria-type,Fumana,Galium-type,Geranium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis,Hippophaë,Humulus/Cannabis,Ilex,Indeterminable (broken)/spore,Indeterminable (concealed)/spore,Indeterminable (crumpled)/spore,Indeterminable (degraded)/spore,Juglans,Larix,Lemnoideae,Liliaceae,Linum,Lithospermum,Lonicera,Lotus,Malvaceae undiff.,Marrubium-type,Mentha-type,Menyanthes,Myriophyllum alterniflorum,Myriophyllum spicatum-type,Myriophyllum undiff.,Myriophyllum verticillatum,Nuphar,Nymphaea,Olea,Ononis,Ostrya,Oxyria-type,Papaveraceae,Pedicularis,Persicaria amphibia,Persicaria maculosa-type,Persicaria undiff.,Phillyrea,Picea,Pinus subg. Strobus,Pinus undiff.,Pistacia,Plantago,Poaceae (Cerealia-type),Poaceae undiff.,Polypodiophyta undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Pterocarya,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae cf. Geum,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Serratula-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Sphagnumspore,Tamarix,Taxus,Thalictrum,Thymelaeaceae cf. Daphne,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Unknown undiff./spore,Urtica-type,Valeriana,Veronica-type,Viburnum,Vicia,Viola palustris-type,Viscum,Vitis,cf. Alchemilla,cf. Androsace,cf. Callitriche,cf. Centaurium,cf. Chrysosplenium,cf. Circaea,cf. Daphne,cf. Elatine,cf. Epilobium,cf. Euphorbia,cf. Frangula/Bruckenthalia,cf. Helianthemum,cf. Larixpalynomorph,cf. Mentha,cf. Mercurialis,cf. Myrica,cf. Onobrychis-type,cf. Platanus,cf. Rutaceae,cf. Sambucus,cf. Samolus valerandi,cf. Sedum,cf. Trichomanesspore
842.5,--/13661/--,,5,,,,1,,,,,9,,,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,2,2,,,,,,,,,,,,18,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,8,,,9,,1,,55,,,,,,,,,,,,149,,,,,,3,4,,,,,,,,,,37,,,,,,48,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843.2,--/13684/--,,6,,,,1,5,,,,17,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,14,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,,1,50,,,3,,,,,,,,,150,,,,,,5,2,,,,,,,,,,19,,,,,,24,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845.2,--/13751/--,1,4,,,,2,4,,,,10,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,13,,8,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,60,,,,,,,,,,,,109,,,,,,3,3,,,,,,,,,,46,,,,,,29,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846.3,--/13789/--,,2,,,,3,2,,,,22,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,18,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,3,103,,,2,,,,,,,,,100,,,,,,2,3,,,,,,,,,,31,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848.5,--/13862/--,,,,,,5,4,,,,,7,,20,,,24,,,,,,,,,,1,,,,,,1,,5,,,1,,,10,2,,,,,,,,,,,,1,10,,6,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,15,,,,142,,,5,,,,,,,,,79,,,,,,3,4,,,,1,,,1,2,,,,,,1,,1,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849.8,--/13895/--,,2,,,,1,2,,,,21,,,22,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,12,,,11,117,,,12,,,,,,,,,83,,,,,,5,3,,,,,,,,,,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851.3,--/13930/--,,2,,,,,5,,,,15,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,24,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,8,,,3,81,,,2,,,,,,,,,117,,,,,,6,9,,,,,,,,,,67,,,,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854.2,--/14000/--,,1,,,,,1,,,,22,,,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,13,,,3,119,,,2,,,,,,,,,87,,,,,,4,5,,,,,,,,,,45,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,--/14020/--,1,3,,,,2,4,,,,12,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,9,,,2,94,,,,,,,,,,,,162,,,,,,3,6,,,,,,,,,,51,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858.49,--/14105.8/--,,1,,,,1,5,,,,28,,,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,6,113,,,7,,,,,,,,,58,,,,,,6,4,,,,,,,,,,46,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858.5,--/14106.2/--,,,,,,,4,,,,,12,,17,,,97,,1,1,,,,,,,2,,,,,,,,2,,,,,,5,1,2,,,,,,,,,,,1,4,1,6,,,,,4,,,,,,,,,2,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,11,,,,156,,,,,,,,,,,,29,1,,,,1,13,3,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858.7,--/14109/--,,4,,,,1,8,,,,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,6,96,,,1,,,,,,,,,100,,,,,,4,4,,,,,,,,,,54,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861.1,--/14159/--,,,,,,1,5,,,,16,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,136,,,,,,,,,,,,30,,,,,,10,4,,,,,,,,,,59,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,--/14199/--,,6,,,,3,5,,,,19,,,33,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,1,,101,,,,,,,,,,,,71,,,,,,5,4,,,,,,,,,,40,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864.9,--/14238/--,,1,,,,2,4,,,,20,,,14,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,7,107,,,1,,,,,,,,,23,,,,,,8,7,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867.4,--/14289/--,,1,,,,,1,,,,13,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,4,97,1,,2,,,,,,,,,63,,,,,,6,3,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871.4,--/14370/--,,,,,,1,8,,,,30,,,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,13,145,,,,,,,,,,,,23,,,,,,6,13,,,,,,,,,,44,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875.3,--/14450/--,,,,,,,4,,,,20,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,2,3,117,1,,1,,,,,,,,,20,,,,,,1,5,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877.8,--/14501/--,,1,,,,,8,,,,22,,,27,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,11,123,,,,,,,,,,,,4,,,,,,4,14,,,,,,,,,,73,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877.9,--/14504/--,,,,,,1,5,,,,21,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,3,128,2,,1,,,,,,,,,24,,,,,,5,4,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880.5,--/14557/--,,,,,,1,20,,,,,11,,75,,,26,1,,2,,,,,,,3,,,,,,1,,1,,,,,,1,12,6,,,,,,,,,,,,4,,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,145,,,,,1,,,,,,,13,1,,,,,3,2,,,,,,,5,6,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881.4,--/14580/--,,,,,,,22,,,,36,,,54,,2,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,116,,,,,,,,,,,,18,,,,,,3,,,,,,,,,,,44,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884.1,--/14647/--,,,,,,,7,,,,18,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,154,,,,,,,,,,,,23,,,,,,4,9,,,,,,,,,,55,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886.7,--/14712/--,,1,,,,1,20,,,,29,,,70,,7,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,8,113,,,1,,,,,,,,,8,,,,,,4,2,,,,,,,,,,31,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889.8,--/14791/--,,,,,,1,21,,,,30,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1,3,100,,,,,,,,,,,,11,,,,,,5,1,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890.5,--/14809/--,,,2,,,2,27,,,,,8,,82,,,32,,1,2,,,,,1,1,4,,,,1,,2,,1,1,,,,1,1,43,14,1,,,,3,,,,,,,1,2,,,,,,4,,,,,,1,,,,,10,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,13,,1,1,118,,,,,1,,,,,,,13,1,1,,,1,6,3,,,,,,,,2,,,,,,3,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891.82,--/14844.1/--,,,,,,2,18,,,,20,,,64,,3,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,4,100,,,,,,,,,,,,10,,,,,,1,5,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891.83,--/14844.5/--,,,,,,,22,,,,19,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,2,92,,,,,,,,,,,,7,,,,,,3,5,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895.8,--/14950/--,,,,,,2,15,,,,23,,,65,,4,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,7,114,,,,,,,,,,,,12,,,,,,1,3,,,,,,,,,,13,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898.6,--/15024/--,,,,,,1,16,,,,17,,,57,,3,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,9,103,,,,,,,,,,,,8,,,,,,1,3,,,,,,,,,,30,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899.7,--/15055/--,,,,,,1,24,,,,18,,,66,,3,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,6,104,,,,,,,,,,,,7,,,,,,1,4,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.5,--/15075/--,1.5,,,,,,24,,,,,7,,83,,,10,,1,,,,,,,,2,2,,,,,1,,2,,,,,,,85,6,,,,,,,,,,,,3,,3,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,23,,1,,128,,,,,,,,,,,,13,,,,,,3,1,4,,,,,,3,2,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905.5,--/15185/--,,,,,,,39,,,,14,,,78,,2,,,,,,,,,,,,,,,,,,,,,,,,,,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,4,123,,,,,,,,,,,,9,,,,,,4,1,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906.8,--/15213/--,,,,,,,18,,,,30,,,64,,3,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,6,100,,,,,,,,,,,,10,,,,,,2,3,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910.5,--/15296/--,,,3,,,,31,,,,,8,,83,,,5,,1,2,,,,,,,9,,,,,,1,,,,,,,,,64,10,,,,,2,1,,,,,,,,1,,,,,7,,,1,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,2,3,126,,,,,,,,,,,,6,1,1,,,1,2,5,,,,,,,,1,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912.4,--/15364/--,,,,,,,25,,,,19,,,65,,1,,,,,,,,,,,,,,,,,,,,,,,,,,67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,7,92,,,,,,,,,,,,5,,,,,,1,2,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.5,--/15477/--,,,,,,,25,,,,32,,,73,,2,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,7,85,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.9,--/15490/--,,,,,,,37,,,,13,,,63,,2,,,,,,,,,,,,,,,,,,,,,,,,,,76,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,1,59,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920.5,--/15655/--,,1,,,,2,44,,,,,3,,118,,,11,,,1,,,,,,,2,,,,1,,1,,,,,,,1,1,22,3,,,,,,,,,,,,,,,,,,,5,,,5,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,15.5,,2,,132,,,,,,,,,,,,3,,,,,,2,5,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920.8,--/15669/--,,,,,,,17,,,,19,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,2,7,70,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924.8,--/15849/--,,,,,,,31,,,,19,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2,6,74,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928.7,--/16028/--,,,,,,,40,,,,21,,,62,,1,,,,,,,,,,,,,,,,,,,,,,,,,,69,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,12,78,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930.5,--/16107/--,,,4,,,,30,,,,,4,,95,,,3,,,3,,,,,,1,3,,,,,,,,1,,,,,,,77,,,,,,,,,,,,1,,,,,,,,7,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,21,,1,,89,,,,,,,,,,,,2,3,,,,2,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
935.5,--/16207/--,,,,,,,24,,,,14,,,70,,3,,,,,,,,,,,,,,,,,,,,,,,,,,61,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,4,5,87,1,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944.6,--/16387/--,,,,,,,31,,,,24,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,7,115,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953.6,--/16566/--,,,,,,,28,,,,20,,,73,,4,,,,,,,,,,,,,,,,,,,,,,,,,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,6,5,100,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962.6,--/16745/--,,,,,,,24,,,,18,,,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,60,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,5,7,106,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969.5,--/16881/--,,,7,,,,31,,,,,8,,120,,,,1,2,2,,,,,,1,5,,,,1,,,,,,,,,,,37,4,,,,,5,,,,,,1,,,,,,,,7,,,2,,,5,,,2,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,34,,2,,142,,,,,,,,,,,,3,1,,,,,5,1,,,,,,,,1,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
979.5,--/16924/--,,,,,,1,10,,,,21,,,57,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,2,7,120,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989.5,--/17387/--,1,,4,,,2,6,,,,,4,,68,,,1,,1,2,,,,,1,,1,,,,,,,,2,,,,,,,56,5,,,,,2,,,,,,,,,,,,,,13,,,8,,,,,,4,,8,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,66,,3,10,168,,,1,,,,,,,,,2,1,,,,,1,1,,,,,,,,1,,,,,,6,,,,,,,,,3,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1009.5,--/17763/--,,,,,,2,11,,,,,3,,104,,,6,,,3,,,,,,,1,2,,,,,,,2,1,,,,,,22,10,,,,,,,,,,,1,2,5,,,,,,6,,,9,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,65,,5,2,177,,,,,,,,,,,,2,,,,,,1,1,,,,,,,,8,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1019.5,--/17986/--,,,2,,,,29,,,,,13,,83,,,1,,,,,,1,,,,,,,,,,,,1,3,,,,,,10,13,6,,,,,,,,1,,,,,,,,,,3,,,3,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,75,,3,,138,,,,,,1,,,,,,,4,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1029.5,--/18245/--,1,,4,,,,14,,,,,7,,69,,,6,,,1,,,,,,,1,,,,1,,,,2,,,,,,,44,2,,,,,1,1,,,,,1,,,,,,,,7,,,9,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,70,,3,3,178,,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
1049.5,--/18693/--,,,,,,,9,,,,,3,,73,,,3,,,1,,,,,,,1,,,,,,,,2,3,,,,,,44,3,,,,,,,,,,,1,2,,1,,,,,6,,,6,,,,,,3,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,2,,142,,,,3,,,,,,,,3,,,,,,,,,,,,,,3,1,,,,,1,1,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059.5,--/18826/--,,,,,,4,7,,,,,7,,64,,,4,,,2,,,,,,,3,,,,,,,,1,,,,,1,,22,4,,,,,1,,,,,,,1,,2,,,,,7,,,2,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,93,,3,,160,,,,,,,,,,,,8,,,,,,6,,2,,,,,,3,3,,,,,,3,,,,,,1,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
1071,--/19050/--,,,4,,,,5,,,,,3,,43,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,16,10,,,,,3,,,,,,,,,,,,,,9,,,2,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,2,,161,,,,,,,,,,,,1,,,,,,3,1,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,--/19365/--,0.5,,,,,,18,,,,,3,,29,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,2,14,,,,,,,,,,,1,4,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,217,,2,,50,,,,,,,,,,,,2,,,,,,,1,,,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,--/19635/--,,,5,,,,8,,,,,7,,66,,,,,,,11,,,,,,1,2,,,,,1,,2,2,,,,1,,25,17,2,,,,1,,,,,,3,1,,,,,,,3,,,6,,,2,,,3,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,64,,5,5,141,,,,5,,,,,,,,,3,,,,,5,,1,,,4,,,,4,,,,,,6,,,,1,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
