Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Uapaca guineensis-type,Uapaca guineensis-type,EUPHORBIACEAE,A,tree,evergreen tree up to 18 m high,,,,,
Uapaca heudelotii-type,Uapaca heudelotii-type,EUPHORBIACEAE,A,tree,tree up to 28 m high,,,,,
Uapaca kirkiana,Uapaca kirkiana-type,EUPHORBIACEAE,A,tree,evergreen tree,,,,,
Sapotaceae/Meliaceae,Meliaceae/Sapotaceae undiff.,MELIACEAE/SAPOTACEAE,A,tree,trees or shrubs,,,,,
Sapotaceae-melia,Meliaceae/Sapotaceae undiff.,MELIACEAE/SAPOTACEAE,A,tree,trees or shrubs,,,,,
Bersama abyssinica,Bersama abyssinica-type,MELIANTHACEAE,A,tree,evergreen shrub or small to medium-sized tree 1.5-12 m tall,,,,,
Bersama sp.,Bersama,MELIANTHACEAE,A,tree,shrubs or trees,,,,,
Burassaia,Burasaia,MENISPERMACEAE,A,tree,Shrub,,,,,
Penianthus-type,Penianthus,MENISPERMACEAE,A,tree,trees or shrubs,,,,,
Acacia (Groupe 1),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia (groupe I,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia (type 1),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia (type I),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia ,,,,,,,,,,
Acacia 3,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia auriculiformis,Acacia auriculiformis-type,MIMOSACEAE,A,tree,tree,,,,,
Acacia cf. A. nubica,Acacia oerfota-type,MIMOSACEAE,A,tree,shrub 1-5 m high,,,,,
Acacia cf. albida,Faidherbia albida,MIMOSACEAE,A,tree,tree up to 30 m high,,,,,
Acacia cf. senegal,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia cf. tortilis,Acacia tortilis-type,MIMOSACEAE,A,tree,tree 4-21 m high,,,,,
Acacia ehrenbergiana,Acacia ehrenbergiana-type,MIMOSACEAE,A,tree,shrub or small tree to 4.5 m high,,,,,
Acacia ehrenbergia-type,Acacia ehrenbergiana-type,MIMOSACEAE,A,tree,shrub or small tree to 4.5 m high,,,,,
Acacia gerrardii,Acacia gerrardii-type,MIMOSACEAE,A,tree,Shrub 0,,,,,
Acacia gr III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia Group I (now Senegalia),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia Group III (now Senegalia),Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia groupe 3,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia groupe I,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia groupe III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia groupe1,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia gummiferae,Acacia gummifera-type,MIMOSACEAE,A,tree,shrub or tree to 5 m high,,,,,
Acacia gummifera-type,Acacia gummifera-type,MIMOSACEAE,A,tree,shrub or tree to 5 m high,,,,,
Acacia III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia mellifera (lisse),Acacia mellifera-type,MIMOSACEAE,A,tree,shrub or tree up to 8 m high,,,,,
Acacia nilotica,Acacia nilotica-type,MIMOSACEAE,A,tree,tree 2.5-14 m high,,,,,
Acacia polyacantha,Acacia polyacantha-type,MIMOSACEAE,A,tree,tree to 24 m high,,,,,
Acacia raddiana-type,Acacia tortilis-type,MIMOSACEAE,A,tree,tree 4-21 m high,,,,,
Acacia senegal,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia senegal-type,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia seyal-type,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia sp. (groupe 1),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia sp. (groupe III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia sp. groupe III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia type 1,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia type A. abyssinica,Acacia abyssinica-type,MIMOSACEAE,A,tree,Tree 6-20 m,,,,,
Acacia type I,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia type mellifera,Acacia mellifera-type,MIMOSACEAE,A,tree,shrub or tree up to 8 m high,,,,,
Acacia type1,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia-type albida,Faidherbia albida,MIMOSACEAE,A,tree,tree up to 30 m high,,,,,
Albizia,Albizia-type,MIMOSACEAE,A,tree,trees,,,,,
Albizia sp.,Albizia-type,MIMOSACEAE,A,tree,trees,,,,,
Albizia zygia,Albizia-type zygia,MIMOSACEAE,A,tree,Tree 4,,,,,
Albizia/Cathormion,Albizia/Cathormion,MIMOSACEAE,A,tree,tree,,,,,
Albizzia,Albizia-type,MIMOSACEAE,A,tree,trees,,,,,
Aubrevillea,Aubrevillea,MIMOSACEAE,A,tree,trees,,,,,
Calpocalyx,Calpocalyx-type,MIMOSACEAE,A,tree,trees,,,,,
PENTACETHRA MACROPHYLLA,Pentaclethra macrophylla,MIMOSACEAE,A,tree,Evergreen tree 15-36 m,,,,,
Pentachletra macrophylla,Pentaclethra macrophylla,MIMOSACEAE,A,tree,Evergreen tree 15-36 m,,,,,
Pentaclethra eetveldeana,Pentaclethra-type eetveldeana,MIMOSACEAE,A,tree,Tree 15-30 m,,,,,
Pentaclethra macrophylla-type,Pentaclethra macrophylla,MIMOSACEAE,A,tree,Evergreen tree 15-36 m,,,,,
Pentaclethra type macrophylla,Pentaclethra macrophylla,MIMOSACEAE,A,tree,Evergreen tree 15-36 m,,,,,
Piptadeniastrum,Piptadeniastrum-type africanum,MIMOSACEAE,A,tree,unarmed tree up to 50 m high,,,,,
Piptadeniastrum type,Piptadeniastrum-type africanum,MIMOSACEAE,A,tree,unarmed tree up to 50 m high,,,,,
Piptadeniastrum-type,Piptadeniastrum-type africanum,MIMOSACEAE,A,tree,unarmed tree up to 50 m high,,,,,
Piptadeniastrum-type africanum,Piptadeniastrum-type africanum,MIMOSACEAE,A,tree,unarmed tree up to 50 m high,,,,,
Prosopis africana,Prosopis-type africana,MIMOSACEAE,A,tree,tree 4.5-12 (-21) m high,,,,,
Prosopis type,Prosopis-type,MIMOSACEAE,A,tree,tree 4.5-12 (-21) m high,,,,,
Prosopis-type africana,Prosopis-type africana,MIMOSACEAE,A,tree,tree 4.5-12 (-21) m high,,,,,
Prosopis-type chilensis,Prosopis-type chilensis,MIMOSACEAE,A,tree,trees,,,,,
Senegalia,Acacia,MIMOSACEAE,A,tree,trees or shrubs,,,,,
T. Calpocalyx brevibracteatus,Calpocalyx-type brevibracteatus,MIMOSACEAE,A,tree,tree up to 80 m high,,,,,
Tetrapleura tetraptera,Tetrapleura tetraptera-type,MIMOSACEAE,A,tree,tree 6-30 m high,,,,,
Tetrapleura-type tetraptera,Tetrapleura tetraptera-type,MIMOSACEAE,A,tree,tree 6-30 m high,,,,,
Type Xylia,Xylia-type,MIMOSACEAE,A,tree,trees,,,,,
Vachellia gerardii,Acacia gerrardii-type,MIMOSACEAE,A,tree,Shrub 0,,,,,
Xylia-type,Xylia-type,MIMOSACEAE,A,tree,trees,,,,,
Cf Xymalos,Xymalos,MONIMIACEAE,A,tree,evergreen shrubs to medium-sized trees 6-20 m tall,,,,,
Ephippiandra sim.,Ephippiandra,MONIMIACEAE,A,tree,shrubs,,,,,
Monimia-type,Monimia,MONIMIACEAE,A,tree,trees,,,,,
type Ephippiandra,Ephippiandra,MONIMIACEAE,A,tree,shrubs,,,,,
type Phanerogonocarpus,Phanerogonocarpus,MONIMIACEAE,A,tree,shrubs or medium-sized trees,,,,,
Myrica cf kandtiana,Morella humilis-type,MYRICACEAE,A,tree,evergreen tree or shrub 3-15 m tall,,,,,
Myrica cf. kilimandscharica,Morella humilis-type,MYRICACEAE,A,tree,evergreen tree or shrub 3-15 m tall,,,,,
Myrica cf. M. kilimandscharica,Morella humilis-type,MYRICACEAE,A,tree,evergreen tree or shrub 3-15 m tall,,,,,
Myrica humilis-type,Morella humilis-type,MYRICACEAE,A,tree,evergreen tree or shrub 3-15 m tall,,,,,
Myrica kandtiana,Morella humilis-type,MYRICACEAE,A,tree,evergreen tree or shrub 3-15 m tall,,,,,
Rapanea,Rapanea,MYRSINACEAE,A,tree,trees or shrubs,,,,,
Rapanea melanophloeos,Rapanea melanophloeos-type,MYRSINACEAE,A,tree,evergreen tree or occasionally shrub 1.8-4.5 m tall,,,,,
Rapanea melanophloeos*,Rapanea melanophloeos-type,MYRSINACEAE,A,tree,evergreen tree or occasionally shrub 1.8-4.5 m tall,,,,,
Rapanea melanphloeos,Rapanea melanophloeos-type,MYRSINACEAE,A,tree,evergreen tree or occasionally shrub 1.8-4.5 m tall,,,,,
Cf Eugenia,Eugenia-type,MYRTACEAE,A,tree,trees,,,,,
Cf Syzygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
cf. Syzygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Eucalyptus,Eucalyptus-type,MYRTACEAE,A,tree,trees or shrubs,,,,,
Eucalyptus cf. E. globosus,Eucalyptus-type globulus,MYRTACEAE,A,tree,tree 30-70 m tall,,,,,
Eucalyptus globulosus,Eucalyptus-type globulus,MYRTACEAE,A,tree,tree 30-70 m tall,,,,,
Eucalyptus/Syzygium,Eucalyptus/Syzygium,MYRTACEAE,A,tree,trees,,,,,
Eucaplytus,Eucalyptus-type,MYRTACEAE,A,tree,trees or shrubs,,,,,
Eugenia,Eugenia-type,MYRTACEAE,A,tree,trees,,,,,
Eugenia t.,Eugenia-type,MYRTACEAE,A,tree,trees,,,,,
Eugenia/Syzygium,Eugenia/Syzygium,MYRTACEAE,A,tree,trees,,,,,
Eugenia-type,Eugenia-type,MYRTACEAE,A,tree,trees,,,,,
Myrtaceae,Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtaceae (Africa),Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtaceae Syzygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Myrtacées,Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtacées (sauf Myrtus),Myrtaceae undiff.,MYRTACEAE,A,tree,trees,,,,,
Myrtacées M. cf. Nivellei,Myrtus-type nivellei,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Myrtus nivellai,Myrtus-type nivellei,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Myrtus Nivellei,Myrtus-type nivellei,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Microdesmis spp.,Microdesmis,PANDACEAE,A,tree,trees or shrubs,,,,,
Panda oleosa,Panda oleosa,PANDACEAE,A,tree,tree up to 18 m or more high,,,,,
T. Microdesmis puberula,Microdesmis puberula-type,PANDACEAE,A,tree,shrub up to 6 m high,,,,,
Pandanus,Pandanus,PANDANACEAE,A,tree,trees with candelabra-like branching,,,,,
Pandanus candelabrum,Pandanus candelabrum-type,PANDANACEAE,A,tree,tree 3-10 m high,,,,,
Tapura fisherii,Tapura fischeri-type,DICHAPETALACEAE,A,tree,evergreen shrub to small tree,,,,,
Alluaudia ascendens,Alluaudia ascendens,DIDIEREACEAE,A,tree,tree,,,,,
Didierea,Didierea,DIDIEREACEAE,A,tree,shrubs or small trees 6 m tall,,,,,
Doliocarpus Type,Doliocarpus,DILLENIACEAE,A,tree,climbing shrubs or woody lianas,,,,,
Dipterocarpaceae undiff.,Dipterocarpaceae undiff.,DIPTEROCARPACEAE,A,tree,small or large trees,,,,,
Monotes,Monotes,DIPTEROCARPACEAE,A,tree,shrubs to medium-sized trees,,,,,
Monotes kerstingii-type,Monotes kerstingii-type,DIPTEROCARPACEAE,A,tree,tree,,,,,
Dracaena schizantha-type,Dracaena ombet-type,DRACAENACEAE,A,tree,Tree 2-8 m tall with forked trunk to 40 cm Ø,,,,,
Dracaena steudneri-type,Dracaena steudneri-type,DRACAENACEAE,A,tree,evergreen shrub to tall tree up to 15 (-25) m tall,,,,,
Dracaenaceae Dracaena afromontana,Dracaena afromontana-type,DRACAENACEAE,A,tree,Shrub or tree,,,,,
Cf Diospyros,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
cf. Euclea,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
cf. Maba,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Diosporys,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
DIOSPYROS,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Diospyros (Mauritius type 363,,,,,,,,,,
Diospyros sim.,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Diospyros spp.,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Diospyros-type,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Dyospiros,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
EBENACEAE,Ebenaceae undiff.,EBENACEAE,A,tree,trees or shrubs,,,,,
Ebenaceae cf. E. microcarpa,Euclea racemosa-type,EBENACEAE,A,tree,trees,,,,,
Ebenaceae Diospyros mesipiliformis,Diospyros mespiliformis-type,EBENACEAE,A,tree,evergreen to deciduous tree up to  27 m high,,,,,
Ebenaceae undiff.,Ebenaceae undiff.,EBENACEAE,A,tree,trees or shrubs,,,,,
EUCLEA,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Euclea cf. divinorum,Euclea divinorum-type,EBENACEAE,A,tree,evergreen shrub or small tree up to 35 m tall,,,,,
Euclea cf. E. lanceolata,Euclea crispa-type,EBENACEAE,A,tree,trees,,,,,
Euclea cf. E. schimperi,Euclea schimperi-type,EBENACEAE,A,tree,perennial-Tree,,,,,
Euclea cf. Euclea schimperi,Euclea schimperi-type,EBENACEAE,A,tree,perennial-Tree,,,,,
Euclea sp.,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Maba,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Maba cf. M. abyssinica,Diospyros abyssinica-type,EBENACEAE,A,tree,trees or shrubs,,,,,
type Maba,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
Elaeagnaceae,Elaeagnus,ELAEAGNACEAE,A,tree,trees ans shrubs,,,,,
Elaeocarpaceae,Elaeocarpaceae undiff.,ELAEOCARPACEAE,A,tree,shrubs to tall trees,,,,,
Empetrum,Corema,ERICACEAE,A,tree,shrubs or shrublets,,,,,
Uapaca nitida,Uapaca nitida-type,EUPHORBIACEAE,A,tree,evergreen shrub or small tree up to 20 m high,,,,,
Uapaca paludosa,Uapaca paludosa-type,EUPHORBIACEAE,A,tree,deciduous tree up to 40 m,,,,,
UAPACA ROBYNSII*,Uapaca robynsii-type,EUPHORBIACEAE,A,tree,Shrub to 1-1,,,,,
Uapaca sp.,Uapaca,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Uapaca staudtii,Uapaca staudtii-type,EUPHORBIACEAE,A,tree,tree to 28 m high,,,,,
Uapaca togoensis-type,Uapaca togoensis-type,EUPHORBIACEAE,A,tree,tree to 12 m high,,,,,
Uapaca-type kirkiana,Uapaca kirkiana-type,EUPHORBIACEAE,A,tree,evergreen tree,,,,,
Uapace heudolotii,Uapaca heudelotii-type,EUPHORBIACEAE,A,tree,tree up to 28 m high,,,,,
Hymenocardia/Chaetachme sim.,Hymenocardia/Chaetacme aristata,EUPHORBIACEAE/ULMACEAE,A,tree,trees or shrubs,,,,,
Aeschynomene baumii-type,Aeschynomene baumii-type,FABACEAE,A,tree,shrub,,,,,
Aeschynomene elaphroxylon,Aeschynomene elaphroxylon-type,FABACEAE,A,tree,shrub or small tree 2-12 m tall,,,,,
Aeschynomene-type baumii,Aeschynomene baumii-type,FABACEAE,A,tree,shrub,,,,,
Aeschynomene-type pfundii,Aeschynomene pfundii-type,FABACEAE,A,tree,small shrub 1.2-4.5 m tall,,,,,
AFRORMOSIA,Pericopsis,FABACEAE,A,tree,trees,,,,,
Amphimas,Amphimas,FABACEAE,A,tree,trees,,,,,
Amphymas,Amphimas,FABACEAE,A,tree,trees,,,,,
Angylocalyx,Angylocalyx,FABACEAE,A,tree,trees or shrubs,,,,,
Baphia nitida,Baphia-type nitida,FABACEAE,A,tree,shrub or tree,,,,,
Calpurnia,Calpurnia aurea,FABACEAE,A,tree,evergreen shrub or small tree 1-10 m tall,,,,,
Calpurnia subdecandra,Calpurnia aurea,FABACEAE,A,tree,evergreen shrub or small tree 1-10 m tall,,,,,
Calpurnia-type aurea,Calpurnia aurea,FABACEAE,A,tree,evergreen shrub or small tree 1-10 m tall,,,,,
Cercis siliquastrum-type,Cercis siliquastrum-type,FABACEAE,A,tree,trees,,,,,
cf Pterocarpus,Pterocarpus-type,FABACEAE,A,tree,trees,,,,,
cf. Calpurnia subdecandra,Calpurnia aurea,FABACEAE,A,tree,evergreen shrub or small tree 1-10 m tall,,,,,
DETARIOIDEAE,Detarioideae undiff.,FABACEAE,A,tree,trees,,,,,
Drepanocarpus,Machaerium-type lunatum,FABACEAE,A,tree,shrub,,,,,
Drepanocarpus lunatus-type,Machaerium-type lunatum,FABACEAE,A,tree,shrub,,,,,
Drepanocarpus-type,Machaerium-type lunatum,FABACEAE,A,tree,shrub,,,,,
Erythrina abyssinica-type,Erythrina abyssinica-type,FABACEAE,A,tree,deciduous tree or shrub 1-15 m tall,,,,,
Fabaceae (cf. Ormocarpum),Ormocarpum-type,FABACEAE,A,tree,shrubs or small trees,,,,,
Genista,Genista-type,FABACEAE,A,tree,perennial non-climbing shrubs,,,,,
Haematoxylon,Haematoxylon,FABACEAE,A,tree,tree,,,,,
Indigofera schimperi-type,Indigofera schimperi-type,FABACEAE,A,tree,small shrub up to 1.5 m tall,,,,,
INDIGOFERA* SCHIMPERI,Indigofera schimperi-type,FABACEAE,A,tree,small shrub up to 1.5 m tall,,,,,
Kotschya africana-type,Kotschya africana-type,FABACEAE,A,tree,erect shrub 1-6 m tall,,,,,
Lonchocarpus sericeus,Lonchocarpus sericeus-type,FABACEAE,A,tree,tree up to 12 m high,,,,,
Lonchocarpus sp.,Lonchocarpus,FABACEAE,A,tree,trees or shrubs,,,,,
Machaerium/Ormocarpum/Pterocarpus,Machaerium-type lunatum,FABACEAE,A,tree,shrub,,,,,
Machaerium-type lunatum,Machaerium-type lunatum,FABACEAE,A,tree,shrub,,,,,
Neoharmsia-type,Neoharmsia,FABACEAE,A,tree,small tree 10 m,,,,,
Ormacarpum-type verrucosum,Ormocarpum-type verrucosum,FABACEAE,A,tree,shrub 3-5 m high,,,,,
Ormocarpum,Ormocarpum-type,FABACEAE,A,tree,shrubs or small trees,,,,,
Quercus cf. ilex,Quercus ilex-type,FAGACEAE,A,tree,evergreen tree 10-20 m tall,,,,,
Quercus deciduous,Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Quercus ilex type,Quercus ilex-type,FAGACEAE,A,tree,evergreen tree 10-20 m tall,,,,,
Quercus ilex-type,Quercus ilex-type,FAGACEAE,A,tree,evergreen tree 10-20 m tall,,,,,
Quercus pubescens-type,Quercus pubescens-type,FAGACEAE,A,tree,deciduous tree,,,,,
Quercus suber,Quercus suber-type,FAGACEAE,A,tree,evergreen tree up to 10-15 m high,,,,,
Quercus t.ilex,Quercus ilex-type,FAGACEAE,A,tree,evergreen tree 10-20 m tall,,,,,
Quercus-type,Quercus,FAGACEAE,A,tree,deciduous or evergreen trees,,,,,
Aphloia-type theiformis,Aphloia theiformis,FLACOURTIACEAE,A,tree,shrub or generally a slender tree,,,,,
Casaeria,Casearia,FLACOURTIACEAE,A,tree,shrubs or mostly trees,,,,,
Cf Casearia,Casearia,FLACOURTIACEAE,A,tree,shrubs or mostly trees,,,,,
Cf Rawsonia,Rawsonia,FLACOURTIACEAE,A,tree,evergreen shrubs or trees,,,,,
Dasylepis,Dasylepis,FLACOURTIACEAE,A,tree,Shrub or tree,,,,,
Flacourtia,Flacourtia,FLACOURTIACEAE,A,tree,shrubs or trees,,,,,
Flacourtiaceae (?),Flacourtiaceae undiff.,FLACOURTIACEAE,A,tree,trees and shrubs,,,,,
Flacourtiaceae Dasylepis,Dasylepis,FLACOURTIACEAE,A,tree,Shrub or tree,,,,,
Kiggelaria,Kiggelaria africana,FLACOURTIACEAE,A,tree,evergreen shrub or tree up to 13 m tall,,,,,
Lindackeria,Oncoba-type,FLACOURTIACEAE,A,tree,shrubs or trees,,,,,
Oncoba dentata,Oncoba-type,FLACOURTIACEAE,A,tree,shrubs or trees,,,,,
SCOTTELIA,Scottellia,FLACOURTIACEAE,A,tree,tree,,,,,
Scottelia klaineana-type,Scottellia klaineana-type,FLACOURTIACEAE,A,tree,tree,,,,,
type Flacourtia,Flacourtia,FLACOURTIACEAE,A,tree,shrubs or trees,,,,,
Globularia cf. alypum,Globularia arabica,GLOBULARIACEAE,A,tree,erect shrub 30-80 cm tall,,,,,
Scaevola,Scaevola plumieri,GOODENIACEAE,A,tree,much-branched evergreen shrub or small tree,,,,,
Grubbia-type,Grubbia,GRUBBIACEAE,A,tree,Shrub,,,,,
Trichocladus,Trichocladus,HAMAMELIDACEAE,A,tree,trees or shrubs,,,,,
Trichocladus ellipticus-type,Trichocladus ellipticus-type,HAMAMELIDACEAE,A,tree,evergreen shrub or tree 2-18 m tall,,,,,
Trichocladus Type,Trichocladus,HAMAMELIDACEAE,A,tree,trees or shrubs,,,,,
Gyrocarpus,Gyrocarpus,HERNANDIACEAE,A,tree,shrubs or small to medium-sized trees,,,,,
Aesculus,Aesculus,HIPPOCASTANACEAE,A,tree,trees,,,,,
Sapotaceae/Meliaceae-type,Meliaceae/Sapotaceae undiff.,MELIACEAE/SAPOTACEAE,A,tree,trees or shrubs,,,,,
Bersama,Bersama,MELIANTHACEAE,A,tree,shrubs or trees,,,,,
Bersama abyssinica-type,Bersama abyssinica-type,MELIANTHACEAE,A,tree,evergreen shrub or small to medium-sized tree 1.5-12 m tall,,,,,
Melianthaceae,Bersama,MELIANTHACEAE,A,tree,shrubs or trees,,,,,
cf Odontocarya,Menispermaceae undiff.,MENISPERMACEAE,A,tree,woody or herbaceous climbers,,,,,
A. albida,Faidherbia albida,MIMOSACEAE,A,tree,tree up to 30 m high,,,,,
Acacia (Groupe 3),Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia (groupe I),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia (type 3),Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia (type III),Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia 1,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia albida,Faidherbia albida,MIMOSACEAE,A,tree,tree up to 30 m high,,,,,
Acacia cf. A. horrida,Acacia horrida-type,MIMOSACEAE,A,tree,shrub 1-4 m high,,,,,
Acacia gummiferae-type,Acacia gummifera-type,MIMOSACEAE,A,tree,shrub or tree to 5 m high,,,,,
Acacia I,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
ACACIA III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia mellifera-type,Acacia mellifera-type,MIMOSACEAE,A,tree,shrub or tree up to 8 m high,,,,,
Acacia nubica-type,Acacia oerfota-type,MIMOSACEAE,A,tree,shrub 1-5 m high,,,,,
Acacia raddiana,Acacia tortilis-type,MIMOSACEAE,A,tree,tree 4-21 m high,,,,,
Acacia raddiata,Acacia tortilis-type,MIMOSACEAE,A,tree,tree 4-21 m high,,,,,
Acacia senegal sp.,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia seyal,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia sieberiana,Acacia sieberiana-type,MIMOSACEAE,A,tree,tree 5-18 m high,,,,,
Acacia sp. (groupe I),Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia sp. (groupe III),Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia tortilis-type,Acacia tortilis-type,MIMOSACEAE,A,tree,tree 4-21 m high,,,,,
Acacia type 3,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia type A. mellifera,Acacia mellifera-type,MIMOSACEAE,A,tree,shrub or tree up to 8 m high,,,,,
Acacia type III,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia type seyal,Acacia seyal-type,MIMOSACEAE,A,tree,tree up to 9 m high,,,,,
Acacia* Group I,Acacia senegal-type,MIMOSACEAE,A,tree,shrub or tree up to 10-15 m high,,,,,
Acacia-type mellifera,Acacia mellifera-type,MIMOSACEAE,A,tree,shrub or tree up to 8 m high,,,,,
Albizia lebbeck,Albizia-type lebbeck,MIMOSACEAE,A,tree,trees,,,,,
Albizia spp.,Albizia-type,MIMOSACEAE,A,tree,trees,,,,,
Ebenaceae (autre espece),Ebenaceae undiff.,EBENACEAE,A,tree,trees or shrubs,,,,,
Ebenaceae cf. Euclea,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Ebenaceae Euclea,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Euclea,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Euclea (P3cp 10),Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Euclea cf. E. divinorum,Euclea divinorum-type,EBENACEAE,A,tree,evergreen shrub or small tree up to 35 m tall,,,,,
Euclea cf. E. latidens,Euclea racemosa-type,EBENACEAE,A,tree,trees,,,,,
Euclea cf. Euclea lanceolata,Euclea crispa-type,EBENACEAE,A,tree,trees,,,,,
Euclea comp.,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Euclea-type,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
Maba abyssinica,Diospyros,EBENACEAE,A,tree,trees or shrubs,,,,,
type Euclea,Euclea,EBENACEAE,A,tree,trees or shrubs,,,,,
cf. Hippophae,Hippophae,ELAEAGNACEAE,A,tree,trees or shrubs,,,,,
Hippophae,Hippophae,ELAEAGNACEAE,A,tree,trees or shrubs,,,,,
Elaeocarpus,Elaeocarpus,ELAEOCARPACEAE,A,tree,trees or shrubs,,,,,
Ephedra (alata),Ephedra alata-type,EPHEDRACEAE,A,tree,erect shrub,,,,,
Ephedra alata-type,Ephedra alata-type,EPHEDRACEAE,A,tree,erect shrub,,,,,
Ephedra dist.Typ,Ephedra distachya-type,EPHEDRACEAE,A,tree,erect shrub up to 0.5 m high,,,,,
Ephedra dist.-Typ,Ephedra distachya-type,EPHEDRACEAE,A,tree,erect shrub up to 0.5 m high,,,,,
