Biogeographic area,Country ,Site ,Site_name_machine_readable,Dated,Recalibrated,Calibration R package,Radiocarbon dates,Depths,Material dated,Dating method (Conventional/AMS),Calibration curve,Period,Hiatus,post-bomb curve,Reservour effect,Accumulation rate (yr/cm),Section thickness (cm),Comments #1,Comment #2
Mediterranean,Turkey,Ladik Gölü,Ladik_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,organic material,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Italy,"Lago di Baratz, Italy",Lago_Baratz_Italy,Yes,Yes,rbacon,Yes,Yes,"Twigs, seeds, leaves, leaf fragments, wood, periderm and charred particles",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Lago Grande di Monticchio 12, Italy (MONT82)",Lago_Grande_Monticchio_12_Italy,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,Pre-Holocene,,,,10,10,,
Mediterranean,Italy,"Lago Grande di Monticchio 13, Italy (LGM90D)",Lago_Grande_Monticchio_13_Italy,Yes,Yes,rbacon,Yes,Yes,"Wood, seeds and mixed terrestrial macrofossils",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Italy,"Lago Preola, Italy",Lago_Preola_Italy,Yes,Yes,rbacon,Yes,Yes,Wood and peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Lago Trifoglietti, Italy",Lago_Trifoglietti_Italy,Yes,Yes,rbacon,Yes,Yes,terrestrial organic material (wood and charcoal),AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Lago di Venere, Italy",Lago_Venere_Italy,Yes,Yes,rbacon,Yes,Yes,"Terrestrial plant macrofossils (leaf, wood and charcoal) f",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,1,5,,
Mediterranean,Portugal,Lagoa Clareza 1,Lagoa_Clareza_1_Portugal,Yes,Yes,rbacon,Yes,Yes,bulk sediment,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Portugal,Lagoa Comprida 1,Lagoa_Comprida_1_Portugal,Yes,Yes,rbacon,Yes,Yes,bulk sediment,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Portugal,Lagoa Comprida 2,Lagoa_Comprida_2_Portugal,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Portugal,Lagoa das Salgadeiras,Lagoa_das_Salgadeiras_Portugal,Yes,Yes,rbacon,Yes,Yes,bulk sediment,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Portugal,Lagoacho das Favas,Lagoacho_das_Favas_Portugal,Yes,Yes,rbacon,Yes,Yes,bulk gyttja,,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,Laguna de Río Seco,Laguna_de_Río_Seco_Spain,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Sub-sahara,Ethiopia,Lake Abiyata (ABIJATA ),Lake_Abiyata_ABIJATA_Ethiopia,Yes,Yes,rbacon,Yes,Yes,Organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,0.5,5,,
Sub-sahara,Ethiopia,Lake Abiyata (ABIYATA [AB5CV]),Lake_Abiyata_ABIYATA_AB5CV_Ethiopia,Yes,Yes,rbacon,Yes,Yes,total organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sub-sahara,Ethiopia,Lake Abiyata (ABIYATA),Lake_Abiyata_ABIYATA_Ethiopia,Yes,Yes,rbacon,Yes,Yes,Organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Sahel,Nigeria,"Lake Bal, Nigeria",Lake_Bal_Nigeria,Yes,Yes,rbacon,Yes,Yes,Organic matter,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahel,Chad,"Lake Chad, Chad",Lake_Chad,Yes,Yes,rbacon,Yes,Yes,bulk organic matter ,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Greece,"Lake Gramousti, Greece",Lake_Gramousti_Greece,Yes,Yes,rbacon,Yes,Yes,organic material,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,10,,
Sahel,Senegal,"Lake Guiers 1, Senegal (guiers3)",Lake_Guiers_1_Senegal,Yes,Yes,rice,Yes,"Yes, 1 depth",Carbonate,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence,Set to closest depth
Mediterranean,Morocco,"Lake Hachlaf, Morocco",Lake_Hachlaf_Morocco,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sub-sahara,Ethiopia,"Lake Hardibo, Ethiopia",Lake_Hardibo_Ethiopia,Yes,Yes,rice,Yes,"Yes, 1 depth",bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Sub-sahara,Ethiopia,"Lake Hayk, Ethiopia",Lake_Hayk_Ethiopia,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Turkey,"Lake Iznik, Turkey",Lake_Iznik_Turkey,Yes,Yes,rbacon,Yes,Yes,"bulk sediment, terrestrial plant remains, shell fragments and ostracodes",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Greece,"Lake Kournas, Greece",Lake_Kournas_Greece,Yes,Yes,rbacon,Yes,Yes,"terrestrial plant macrofossils (leaves, seeds, charcoals and wood)",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,10,,
Sub-sahara,Ethiopia,Lake Langeno (LC),Lake_Langeno_LC_Ethiopia,Yes,Yes,rbacon,Yes,Yes,bulk sediment,,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Mediterranean,Greece,"Lake Lerna 1, Greece (LERNA16)",Lake_Lerna_1_Greece,Yes,Yes,rbacon,Yes,Yes,bulk sediment samples and plant macrofossil material,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,10,5,,
Mediterranean,Greece,"Lake Lerna 2, Greece",Lake_Lerna_2_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Albania,Lake Maliq,Lake_Maliq_Albania,Yes,Yes,rbacon,Yes,Yes,organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Turkey,"Lake Manyas, Turkey",Lake_Manyas_Turkey,Yes,Yes,rbacon,Yes,Yes,terrestrial plant remains,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Mediterranean,Greece,"Lake Orestiás 1, Greece (KASTORIA)",Lake_Orestias_1_Greece,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence. Calibrated date added to closer and deeper depth (280 cm),Set to closest depth
Mediterranean,Greece,"Lake Orestiás 2, Greece (ORESTG25)",Lake_Orestias_2_Greece,Yes,Yes,rbacon,Yes,Yes,Pinus pollen grains,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Lake Salines, Spain",Lake_Salines_Spain,Yes,Yes,rbacon,Yes,Yes,"charcoal, pollen and wood",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Turkey,"Lake Sapanca 1, Turkey (SAR26)",Lake_Sapanca_1_Turkey,Yes,Yes,rbacon,Yes,Yes,plant remains and wood,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Morocco,"Lake Sidi Ali, Morocco",Lake_Sidi_Ali_Morocco,Yes,Yes,rbacon,Yes,Yes,"bulk sediment, pollen concentrate, needle, wood",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,Yes,5,10,,
Sub-sahara,Nigeria,"Lake Tilla, Nigeria",Lake_Tilla_Nigeria,Yes,Yes,rbacon,Yes,Yes,organic silt,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Greece,"Lake Voulkaria, Greece",Lake_Voulkaria_Greece,Yes,Yes,rbacon,Yes,Yes,"pollen, shells, plant fragments",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Greece,"Lake Xinias, Greece",Lake_Xinias_Greece,Yes,Yes,rbacon,Yes,Yes,organic fraction,Conventional,1: IntCal20 Northern Hemisphere calibration curve,Pre-Holocene,,,,20,10,,
Sahara,Chad,"Lake Yoa, Chad",Lake_Yoa_Chad,Yes,Yes,rbacon,Yes,Yes,"Typha rhizome, bulk organic matter, grass charcoal",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Lanzahíta, Spain",Lanzahita_Spain,Yes,Yes,rbacon,Yes,Yes,peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Cyprus,"Larnaca Salt Lake, Cyprus",Larnaca_Salt_Lake_Cyprus,Yes,Yes,rbacon,Yes,Yes,Terrestrial plant remains,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Spain,"Las Lanchas, Spain",Las_Lanchas_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,1,,
Mediterranean,Greece,Limni Lysimachia lake,Limni_Lysimachia_lake_Greece,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Greece,Limni Ozeros,Limni_Ozeros_Greece,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,0.5,,
Mediterranean,Greece,"Litochoro, Greece",Litochoro_Greece,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sub-sahara,Senegal,"Lompoul, Senegal",Lompoul_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Morocco,"Maison Forestiere-1, Morocco",Maison_Forestiere_1_Morocco,Yes,Yes,rbacon,Yes,Yes,"bulk sediment, charcoal",,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,5,,
Mediterranean,Morocco,"Maison Forestiere-3, Morocco",Maison_Forestiere_3_Morocco,Yes,Yes,rbacon,Yes,Yes,bulk sediment,,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Tunisia,"Majen Ben H'mida, Tunisia",Majen_Ben_Hmida_Tunisia,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,Hiatus at 175cm,,,20,5,,
Mediterranean,Tunisia,"Majen El Orbi 1, Tunisia (MAJORMAR)",Majen_El_Orbi_1_Tunisia,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Tunisia,"Majen El Orbi 2, Tunisia (MAJORBOG)",Majen_El_Orbi_2_Tunisia,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,Hiatus at 225cm,,,10,5,,
Sahel,Chad,"Mandi, Chad",Mandi_Chad,Yes,Yes,rice,Yes,"Yes, 1 depth",Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Italy,"Marcato Cixé, Italy",Marcato_Cixe_Italy,Yes,Yes,rice,Yes,"Yes, 1 depth",Wood,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Sahel,Burkina Faso,"Mare de Kissi, Burkina Faso",Mare_de_Kissi_Burkina_Fasso,Yes,Yes,rice,Yes,"Yes, 1 depth",Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahel,Burkina Faso,"Mare d'Oursi, Burkina Faso",Mare_Oursi_Burkina_Faso,Yes,Yes,rbacon,Yes,Yes,Organic matter,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Sahel,Senegal,"Mboro, Senegal",Mboro_Senegal,Yes,Yes,rbacon,Yes,Yes,bulk sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Turkey,"Melen Gölü, Turkey",Melen_Golu_Turkey,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Sahara,Libya,"Messak Settafet, Libya",Messak_Settafet_Lybia,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sub-sahara,Ethiopia,Mont Badda,Mont_Badda_Ethiopia,Yes,Yes,rbacon,Yes,Yes,Organic matter,,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Sahara,Chad,"Mouskorbé, Chad",Mouskorbe_Chad,Yes,Yes,rbacon,Yes,Yes,organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,200,0.5,,
Sub-sahara,Cameroon,"Mowo, Cameroon",Mowo_Cameroon,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Set to closest depth
Arabian Peninsula,Saudi Arabia,"Mundafan, Saudi Arabia",Mundafan_Saudi_Arabia,Yes,Yes,rbacon,Yes,Yes,"Marl, Shells",Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,200,0.6,,
Mediterranean,Spain,"Navarrés 1, Spain (NAVA2)",Navarres_1_Spain,Yes,Yes,rice,Yes,"Yes, 1 depth",peaty silt and sand,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"Navarrés 2, Spain (NAVARRE3)",Navarres_2_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peaty sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,200,5,,
Mediterranean,Spain,"Navarrés 3, Spain (NAVA1)",Navarres_3_Spain,Yes,Yes,rbacon,Yes,Yes,peaty silt and sand,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,5,,
Sub-sahara,Chad,"Nemra, Chad",Nemra_Chad,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,Pre-Holocene,,,,,,,"Dated sample do not correspond to pollen sequence, so we have not added the calibrated date to the pollen sequence"
Mediterranean,Egypt,"Nile Delta S2, Egypt",Nile_Delta_S2_Egypt,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Egypt,"Nile Delta S6, Egypt",Nile_Delta_S6_Egypt,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Egypt,"Nile Delta S7, Egypt",Nile_Delta_S7_Egypt,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Egypt,"Nile Delta S8, Egypt",Nile_Delta_S8_Egypt,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,10,,
Mediterranean,Greece,"Nisi Fen 1, Greece (NISIE)",Nisi_Fen_1_Greece,Yes,Yes,rbacon,Yes,Yes,Seeds of Cladium mariscus and charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Greece,"Nisi Fen 2, Greece (NISIB)",Nisi_Fen_2_Greece,Yes,Yes,rbacon,Yes,Yes,Seeds of Cladium mariscus,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahel,Sudan,"North Dilling, Sudan",North_Dilling_Sudan,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahel,Senegal,"Ogo, Senegal",Ogo_Senegal,Yes,Yes,rbacon,Yes,Yes,charcoal,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,0.5,5,,
Mediterranean,Tunisia,"Ouinet Ennessours, Tunisia",Ouinet_Ennessours_Tunisia,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Algeria,"Oumm el-Khaled, Algeria",Oumm_el_Khaled_Algeria,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,2,,
Mediterranean,Turkey,"Ova Gölü, Turkey",Ova_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Sudan,"Oyo, Sudan",Oyo_Sudan,Yes,Yes,rbacon,Yes,Yes,algal sapropel and charcoal,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,Padul (PADUL3),Padul_1_Spain,Yes,Yes,rbacon,Yes,Yes,Clay and lacustrine marl,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Arabian Peninsula,Jordan,"Palm Terrace 1, Jordan",Palm_Terrace_1_Jordan,Yes,Yes,rbacon,Yes,Yes,rhizome and charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,5,5,,
Mediterranean,Spain,"Patateros bog, Spain",Patateros_bog_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,100,5,,
Mediterranean,Spain,"Pego-Oliva, Spain",Pego_Oliva_Spain,Yes,Yes,rbacon,Yes,Yes,charcoals and peat,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Peña Negra, Spain",Pena_Negra_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Greece,"Pertouli, Greece",Pertouli_Greece,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Mediterranean,Turkey,"Pinarbasi, Turkey",Pinarbasi_Turkey,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sub-sahara,Senegal,"Potou, Senegal",Potou_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Praillos de Boissier mire, Spain",Praillos_Boissier_mire_Spain,Yes,Yes,rbacon,Yes,Yes,bulk peat samples,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,1,,
Mediterranean,Spain,"Prat de Vila, Spain",Prat_Vila_Spain,Yes,Yes,rbacon,Yes,Yes,"organic sediment, peat and palynological residue",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Greece,Psatha bay Megaris,Psatha_bay_Megaris_Greece,Yes,Yes,rbacon,Yes,Yes,peat (bulk),,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Puerto de Serranillos, Spain",Puerto_Serranillos_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment ad peat,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Morocco,"Ras El Ma, Morocco",Ras_El_Ma_Morocco,Yes,Yes,rbacon,Yes,Yes,organic bulk sediments,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,5,,
Sub-sahara,Mali,"Ravin de la mouche, Mali",Ravin_Mouche_Mali,Yes,Yes,rbacon,Yes,Yes,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Arabian Peninsula,Oman,"Rawri 1, Oman",Rawri_1_Oman,Yes,Yes,rbacon,Yes,Yes,organic matter,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,3,,
Mediterranean,Greece,"Rezina marsh, Greece",Rezina_marsh_Greece,Yes,Yes,rbacon,Yes,Yes,Organic material,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Spain,"Roquetas de Mar, Spain",Roquetas_Mar_Spain,Yes,Yes,rbacon,Yes,Yes,Organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Italy,"Sa Curcurica, Italy",Sa_Curcurica_Italy,Yes,Yes,rbacon,Yes,Yes,terrestrial plant macrofossils,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Sudan,"Sai Island, Sudan",Sai_island_Sudan,Yes,Yes,rice,Yes,No,archaeological,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Mediterranean,Spain,"San Rafael, Spain",San_Rafael_Spain,Yes,Yes,rbacon,Yes,Yes,Organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,10,,
Sahara,Egypt,"Saqqara, Egypt",Saqqara_Egypt,Yes,Yes,rbacon,Yes,Yes,charcoal ,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Sahara,Sudan,"Selima Oasis, Sudan",Selima_oasis_Sudan,Yes,Yes,rbacon,Yes,Yes,"carbonate, sapropel and charcoal",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Sierra de Baza, Spain",Sierra_Baza_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Sierra de Gádor, Spain",Sierra_Gador_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Mediterranean,Spain,"Siles lake, Spain",Siles_lake_Spain,Yes,Yes,rbacon,Yes,Yes,bulk organic sediment,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,100,5,,
Mediterranean,Turkey,"Sögüt Gölü, Turkey",Sogut_Gollu_Turkey,Yes,Yes,rbacon,Yes,Yes,organic fraction and calcareous fraction,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,50,5,,
Sahel,Sudan,"Sonjokoya, Sudan",Sonjokoya_Sudan,Yes,Yes,rice,Yes,"Yes, 1 depth",,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,1 depth no corresponding to pollen sequence,Set to closest depth
Sahel,Sudan,"South El Obeid, Sudan",South_El_Obeid_Sudan,Yes,Yes,rbacon,Yes,Yes,,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Mediterranean,Italy,Stagno di Chia,Stagno_di_Chia_Italy,Yes,Yes,rbacon,Yes,Yes,"Twig, Wood, Wood indet., Twig with periderm indet., Charred Erica leafErica leaf, Charred leaves indet.",,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Arabian Peninsula,Oman,"Sumhuran, Oman",Sumhuran_Oman,Yes,Yes,rbacon,Yes,Yes,Charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,0.1,5,,
Sahara,Algeria,"Taessa, Algeria",Taessa_Algeria,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahara,Libya,Takarkori rock shelter (SW Libya),Takarkori_rock_shelter_Libya,Yes,Yes,rbacon,Yes,Yes,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Algeria,"Tan Tartait, Algeria",Tan_Tartait_Algeria,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Arabian Peninsula,Saudi Arabia,"Tayma, Saudi Arabia",Tayma_Saudi_Arabia,Yes,Yes,rbacon,Yes,Yes,"Pollen, charred particules, tissues, limnic NPP, plant fibre fragment , mollusc, Chenopodiaceae, Poaceae, Ruppia seeds",AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Mediterranean,Turkey,Tecer Gölü,Tecer_Golu_Turkey,Yes,Yes,rbacon,Yes,Yes,pollen,,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Arabian Peninsula,Israel,"Tel Dan, Israel",Tel_Dan_Israel,Yes,Yes,rbacon,Yes,Yes,organic fraction,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Arabian Peninsula,Syria,"Tell Leilan, Syria",Tell_Leilan_Syria,Yes,Yes,rbacon,Yes,Yes,Seeds,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,Yes -NH2,,10,5,,
Arabian Peninsula,Syria,"Tell Tweini 1, Syria (TWEINI2)",Tell_Tweini_1_Syria,Yes,Yes,rbacon,Yes,Yes,Charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,keep original calibrated date
Arabian Peninsula,Syria,"Tell Tweini 2, Syria (TWEINI1)",Tell_Tweini_2_Syria,Yes,Yes,rbacon,Yes,Yes,Charcoal,AMS,1: IntCal20 Northern Hemisphere calibration curve,,,,,2,5,,
Mediterranean,Greece,Tenaghi Philippon,Tenaghi_Philippon_Greece,Yes,Yes,rbacon,Yes,Yes,"peat, peat with mollusc shells, humc fraction",,1: IntCal20 Northern Hemisphere calibration curve,,,,,20,5,,
Sahara,Libya,"TH113, Libya",TH113_Libya,Yes,Yes,rice,Yes,No,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahara,Libya,"TH120, Libya",TH120_Libya,Yes,Yes,rice,Yes,No,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahara,Libya,"TH125, Libya",TH125_Libya,Yes,Yes,rice,Yes,No,,,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sub-sahara,Senegal,"Thiaye, Senegal",Thiaye_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,5,,
Mediterranean,Morocco,"Tigalmamine, Morocco",Tigalmamine_Morocco,Yes,Yes,rbacon,Yes,Yes,Organic and calcite material,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,10,,
Sahel,Mauritania,"Tiguent, Mauritania",Tiguent_Mauritania,Yes,Yes,rice,Yes,No,,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,Dated sample do not correspond to pollen sequence
Sahel,Chad,"Tjéri, Chad",Tjeri_Chad,Yes,Yes,rbacon,Yes,Yes,Organic matter,AMS and conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,10,5,,
Sahara,Chad,"Tjolumi, Chad",Tjolumi_Chad,Yes,Yes,rice,Yes,"Yes, 1 depth",,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,,,,
Sahel,Senegal,"Touba N'Diaye, Senegal",Touba_Diaye_Senegal,Yes,Yes,rbacon,Yes,Yes,Organic matter,Conventional,1: IntCal20 Northern Hemisphere calibration curve,,,,,5,15,,
