"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Algae","Alnus","Amaranthaceae undif.","Animalia","Animalia ","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Coniochaeta xylariispora (type 6, HdV)","Copepoda (type 179, HdV)","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Ficus","Filipendula t.","Fraxinus","Fungi","Fungi (cf. type 1107, UG)","Fungi (type 1109, UG)","Fungi (type 12, UAB)","Fungi (type 14, UAB)","Fungi (type 2, UAB)","Fungi (type 20, UAB)","Fungi (type 21, UAB)","Fungi (type 30A, UAB)","Fungi (type 30B, UAB)","Fungi (type 32, UAB)","Fungi (type 33, UAB)","Fungi (type 35, UAB)","Fungi (type 361, HdV)","Fungi (type 38, UAB)","Fungi (type 39, UAB)","Fungi (type 4, UAB)","Fungi (type 40, UAB)","Fungi (type 42, UAB)","Fungi (type 46, UAB)","Fungi (type 48, UAB)","Fungi (type 8, UAB)","Fungi (type 9, UAB)","Fungi (type1, UAB)","Galium t.","Indeterminable","Invertebrata (type 52, HdV)","IsoÃ«tes","IsoÃ«tes boryana","Lamiaceae undif.","Monoletes","Myriophyllum undif.","Olea t.","Oribatida (type 36B, HdV)","Oribatida (type 36C, HdV)","Oribatida (type 36D, HdV)","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primula","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Sordariaceae/Sordaria (type 55B, HdV)","Spirogyra species (type 210, HdV )","Tamarix","Thymelaeaceae undif.","Tilia","Triletes","Triletes (>30 Âµm)","Typha","Ulmus t.","Unknown","Unknown (type 128, HdV)","Unknown (type 182, HdV)","Unknown (type 224, HdV)","Urtica t.","Verbena t.","Viburnum","Vitis"
"6040",NA,NA,"318","19","0","21","1","0","11","1","3","1","17","0","1","11","0","0","0","0","83","10","0","0","1","2","2","0","0","0","24","1","0","29","0","0","0","91","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","27","0","0","0","29","0","1","1","0","14","1","3","0","12","0","2","0","2","34","0","1","28","2","0","1","0","0","39","27","17","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0"
"6083",NA,NA,"322","53","0","9","1","0","6","1","2","0","10","0","1","8","0","0","0","2","33","4","1","0","1","0","2","0","0","0","16","0","0","14","0","3","0","20","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","1","0","1","12","0","0","0","0","7","0","2","0","10","0","0","11","0","57","0","1","27","1","0","0","0","0","16","34","36","0","0","0","0","1","0","1","0","0","2","2","1","0","0","1","2","14","0","1","5","0","0","0","0","0","0"
"6139",NA,NA,"327","78","0","3","0","0","7","0","1","0","7","0","0","1","0","0","0","0","13","2","0","0","5","0","1","0","0","0","17","0","0","5","0","1","0","11","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","29","0","1","1","7","0","0","0","0","2","0","9","0","9","0","0","0","0","49","1","0","29","3","0","1","0","0","5","62","53","0","0","0","0","0","0","0","0","1","0","1","2","1","0","0","1","11","0","0","8","0","0","0","0","0","0"
"6174",NA,NA,"330","56","0","4","0","0","2","0","2","0","2","1","0","0","0","0","0","1","2","1","2","0","1","0","1","0","0","0","35","0","0","5","0","0","3","6","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","4","0","0","1","3","0","0","1","0","3","0","10","0","4","0","0","1","4","73","1","0","25","0","0","0","0","0","4","48","69","1","1","0","0","0","0","1","2","3","0","0","0","0","0","0","0","81","1","0","0","0","0","0","0","0","1"
"6223",NA,NA,"334","8","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","5","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","1","75","0","0","3","0","0","0","0","0","2","13","9","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
"6274",NA,NA,"338","13","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","13","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","4","0","0","0","1","4","0","4","0","0","0","0","0","0","119","0","0","9","1","0","0","0","0","4","9","9","0","0","0","0","1","0","0","0","0","6","0","1","0","0","0","0","24","0","0","0","0","0","0","0","0","0"
"6325",NA,NA,"342","28","0","0","0","0","1","2","0","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","0","0","10","0","0","0","0","0","1","23","0","2","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","4","0","6","0","0","0","0","0","1","110","0","0","21","1","0","0","1","0","1","20","16","0","0","0","0","0","0","0","0","1","4","2","1","0","0","0","0","96","0","0","0","0","0","0","0","0","0"
"6376",NA,NA,"346","11","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1","0","1","0","1","1","1","7","0","0","8","0","0","0","0","0","2","2","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","5","0","13","0","0","1","0","0","3","22","0","0","25","0","0","0","0","0","0","20","22","1","0","0","1","1","0","0","0","2","1","1","0","0","0","0","0","157","0","0","2","0","0","0","0","0","0"
"6426",NA,NA,"350","41","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","3","1","0","0","0","0","17","0","4","0","0","1","0","11","0","2","0","0","0","0","1","0","0","0","0","0","2","0","0","0","14","3","0","0","1","0","0","1","2","0","0","0","1","3","0","8","0","0","1","0","0","1","37","0","0","72","2","0","0","0","0","0","38","38","0","0","1","0","1","0","0","0","2","0","0","1","0","0","0","0","57","0","0","0","0","0","0","1","0","1"
"6474",NA,NA,"354","11","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","7","0","0","5","0","0","0","0","1","0","41","0","0","0","1","0","0","0","1","0","0","0","1","68","0","0","0","22","0","0","0","7","1","1","1","8","0","0","0","0","0","0","2","0","1","0","0","1","1","20","0","0","34","0","0","0","0","0","0","24","11","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1"
"6520",NA,NA,"358","9","0","0","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","7","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","13","0","0","0","13","0","0","0","1","1","0","1","0","0","0","0","9","1","53","0","0","81","0","0","1","0","0","0","23","22","0","0","0","0","1","0","0","0","1","0","0","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"6563",NA,NA,"362","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","9","0","0","0","25","0","0","0","0","0","0","0","0","2","0","0","1","0","8","0","0","20","0","0","0","0","0","0","22","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6603",NA,NA,"366","0","0","9","0","0","0","0","0","0","1","0","0","1","0","0","0","0","39","0","0","1","0","0","0","52","0","0","1","0","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","14","0","0","0","35","0","0","0","0","4","0","0","0","29","1","0","0","0","18","0","0","13","0","0","0","0","0","0","12","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","10","0","0","0","0","0","0","1"
"6675",NA,NA,"374","4","0","4","0","0","3","0","0","0","7","0","0","14","0","0","0","0","180","0","0","0","0","0","0","0","0","0","2","0","0","9","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","5","0","0","0","2","0","0","0","43","0","0","0","0","14","0","1","17","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"6708",NA,NA,"378","2","0","0","0","0","2","0","0","0","4","0","0","10","0","0","0","0","161","0","0","0","1","0","0","17","0","0","2","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","32","0","0","0","0","4","0","0","0","14","0","0","0","0","12","0","0","15","0","1","0","0","0","3","1","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6739",NA,NA,"382","1","0","1","0","0","4","0","0","0","2","0","0","8","0","0","0","0","112","0","0","0","1","0","0","11","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","27","1","0","0","0","0","1","1","0","8","1","0","0","0","8","0","0","22","0","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","1","0","0","0","1","0","0"
"6796",NA,NA,"390","3","0","1","0","0","0","0","0","0","3","0","0","9","0","0","0","0","80","0","0","0","1","0","0","4","0","0","1","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","23","0","0","0","0","2","0","1","0","13","0","0","0","0","3","0","0","17","0","0","0","0","0","3","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","1","0","0","0","0","0","0","0"
"6823",NA,NA,"394","10","0","0","0","0","1","0","1","0","1","0","0","9","0","0","0","1","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","7","0","0","0","15","0","0","0","0","0","0","0","0","6","1","0","0","0","2","0","0","11","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"6848",NA,NA,"398","8","0","0","0","0","1","0","0","0","6","0","0","6","0","0","0","0","66","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","16","0","0","0","0","0","0","0","0","6","1","0","0","1","1","0","0","12","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"6864",NA,NA,"414","10","0","4","0","0","1","0","1","0","2","0","0","10","0","0","0","1","12","1","0","0","0","0","0","10","0","0","11","0","0","12","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","8","0","1","0","0","7","0","1","0","0","1","1","1","0","22","0","0","9","0","1","0","0","0","18","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","1","0","2","0","0","0","0","0","0","1"
"6880",NA,NA,"418","8","0","1","0","0","1","0","1","0","3","0","0","6","0","0","0","0","59","0","0","0","3","0","0","3","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","18","0","0","0","0","0","1","0","0","7","1","0","0","0","4","0","0","12","0","1","0","0","0","0","2","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6905",NA,NA,"422","4","0","1","0","0","2","0","1","0","2","0","0","11","0","1","0","0","63","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","8","0","0","0","0","2","0","0","0","8","3","0","0","0","1","0","0","27","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6929",NA,NA,"426","21","0","5","0","0","2","0","0","0","5","0","0","6","0","0","0","3","109","0","1","0","0","0","0","0","0","0","4","0","0","7","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","1","0","1","35","0","0","0","0","2","0","3","0","18","1","0","1","0","12","0","2","33","0","0","0","0","0","9","7","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","1","0","0","2","0","0","0","0","0"
"6954",NA,NA,"430","18","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6979",NA,NA,"434","18","0","0","0","0","0","0","0","0","3","0","0","22","0","0","0","0","61","0","0","0","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","1","0","1","0","10","0","0","0","0","3","0","1","14","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"7003",NA,NA,"438","12","0","0","0","0","1","0","0","0","4","0","0","17","0","0","0","1","53","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","26","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
