"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cercis","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fagopyrum","Fern-Equisetophyta","Fraxinus","Fumaria","Galium t.","Humulus","Hydrocharitaceae","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Malva undif.","Matthiola","Myriophyllum undif.","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis"
"2210.173",NA,NA," 683.000","   2.000","   0.000","   3.000","   5.000","  15.000","   0.000","   0.000","  10.000","   5.000","   0.000","   0.000","   0.000","   0.000","   4.000","   3.000","   5.000","   4.000","   0.000","   0.000","   9.000","   0.000","   5.000","   0.000","   2.000","  22.000","  35.000","   0.000","   4.000","   1.000","   0.000","   0.000","  11.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","  55.000","   2.000","  22.000","   0.000","  97.000","  13.000","   0.000","   3.000","   3.000","   0.000","  12.000","   5.000","   9.000","   0.000","   0.000","   3.000","   3.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","  27.000","   1.000","   0.000","   0.000","   5.000"
"2213.468",NA,NA," 686.000","   4.000","   0.000","   0.000","   0.000","  20.000","   4.000","   0.000","  11.000","  10.000","   0.000","   0.000","   0.000","   0.000","   8.000","   3.000","  11.000","   2.000","   2.000","   0.000","   9.000","   0.000","   5.000","   2.000","   3.000","  26.000","  29.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","  28.000","   0.000","  12.000","   0.000"," 130.000","   5.000","   0.000","   0.000","   0.000","   0.000","  17.000","   6.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   5.000","   0.000","   4.000","   2.000","   2.000","   0.000","   6.000"
"2215.665",NA,NA," 688.000","   4.000","   0.000","   0.000","   0.000","  25.000","  15.000","   0.000","  16.000","   8.000","   0.000","   0.000","   0.000","   0.000","   8.000","   3.000","   6.000","   1.000","   3.000","   0.000","  12.000","   0.000","   7.000","   2.000","   2.000","  35.000","  19.000","   0.000","   7.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","  26.000","   0.000","   4.000","   0.000"," 128.000","   6.000","   0.000","   0.000","   0.000","   0.000","  20.000","   7.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   1.000","   5.000","   0.000","   6.000"
"2218.959",NA,NA," 691.000","   2.000","   0.000","   0.000","   0.000","  16.000","  10.000","   0.000","   9.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   7.000","   0.000","   0.000","   0.000","   5.000","   0.000","   5.000","   4.000","   2.000","  23.000","  23.000","   0.000","   6.000","   0.000","   0.000","   0.000","   4.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  32.000","   0.000","   3.000","   0.000"," 177.000","   6.000","   0.000","   0.000","   0.000","   0.000","  17.000","   7.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000"
"2222.254",NA,NA," 694.000","   2.000","   0.000","   0.000","   0.000","  29.000","  12.000","   0.000","  13.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   7.000","   0.000","   1.000","   0.000","   7.000","   0.000","   8.000","   6.000","   1.000","  29.000","  15.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","  29.000","   0.000","   6.000","   0.000"," 172.000","   6.000","   0.000","   0.000","   0.000","   0.000","  20.000","   6.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   4.000","   0.000","   4.000"
"2225.549",NA,NA," 697.000","   2.000","   0.000","   0.000","   0.000","  23.000","   6.000","   0.000","   9.000","  26.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   9.000","   0.000","   0.000","   0.000","  14.000","   0.000","   3.000","   2.000","   0.000","  21.000","  42.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","  50.000","   0.000","  10.000","   0.000"," 120.000","   7.000","   0.000","   0.000","   0.000","   0.000","  15.000","   3.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   5.000","   0.000","   4.000"
"2228.844",NA,NA," 700.000","   2.000","   0.000","   0.000","   0.000","  24.000","   9.000","   0.000","  10.000","  24.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   8.000","   0.000","   0.000","   0.000","  13.000","   0.000","   4.000","   2.000","   0.000","  25.000","  39.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","  45.000","   0.000","  10.000","   0.000"," 135.000","   7.000","   0.000","   3.000","   0.000","   0.000","  22.000","   4.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   4.000","   0.000","   3.000"
"2232.139",NA,NA," 703.000","   0.000","   0.000","   4.000","   3.000","   4.000","   0.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   0.000","  30.000","   0.000","   3.000","   0.000","   3.000","   5.000"," 102.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","  15.000"," 132.000","   2.000","  19.000","   0.000","  18.000","   5.000","   0.000","   7.000","   1.000","   0.000","   4.000","   5.000","  17.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   1.000","   9.000","   0.000","   1.000"
"2235.434",NA,NA," 706.000","   0.000","   0.000","   5.000","   3.000","   5.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","  25.000","   0.000","   4.000","   0.000","   3.000","   7.000"," 112.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","  12.000"," 129.000","   0.000","  17.000","   0.000","  22.000","   4.000","   0.000","   5.000","   1.000","   0.000","   4.000","   5.000","  18.000","   0.000","   0.000","   4.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   1.000","   9.000","   0.000","   0.000"
"2238.728",NA,NA," 709.000","   1.000","   0.000","   4.000","   3.000","   2.000","   0.000","   0.000","   6.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","   1.000","   0.000","   0.000","  16.000","   0.000","  10.000","   0.000","   0.000","   5.000","  57.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   6.000"," 147.000","   0.000","   7.000","   0.000","  35.000","   1.000","   0.000","   1.000","   1.000","   0.000","   4.000","   8.000","  21.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  15.000","   0.000","  13.000","   0.000","   1.000"
"2239.827",NA,NA," 710.000","   2.000","   0.000","   4.000","   2.000","   3.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   8.000","   1.000","   0.000","   0.000","  15.000","   0.000","   8.000","   0.000","   0.000","   8.000","  62.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   8.000"," 135.000","   0.000","   8.000","   0.000","  51.000","   1.000","   0.000","   1.000","   0.000","   0.000","   4.000","   9.000","  20.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  20.000","   0.000","  15.000","   0.000","   0.000"
"2242.023",NA,NA," 712.000","  14.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","  13.000","  46.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   4.000","   0.000","  12.000","   0.000","  22.000","   0.000","   8.000","   0.000","   0.000","   7.000","   1.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000"," 159.000","   0.000","  22.000","   0.000"," 130.000","   2.000","   0.000","   1.000","   0.000","   0.000","   3.000","   9.000","   4.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000"
"2243.121",NA,NA," 713.000","  12.000","   0.000","   0.000","   0.000","   6.000","   3.000","   0.000","  12.000","  42.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   4.000","   0.000","   8.000","   0.000","  17.000","   0.000","   7.000","   0.000","   0.000","   7.000","   3.000","   1.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000"," 162.000","   0.000","   9.000","   0.000"," 129.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   8.000","   5.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2244.22",NA,NA," 714.00","  13.00","   0.00","   0.00","   0.00","   3.00","   7.00","   0.00","  16.00","  40.00","   0.00","  11.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   9.00","   0.00","  18.00","   0.00","  10.00","   0.00","   0.00","  40.00","   7.00","   6.00","   3.00","  10.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00"," 127.00","   0.00","  11.00","   0.00","  76.00","   0.00","   0.00","   0.00","   0.00","   0.00","  20.00","   8.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"2247.514",NA,NA," 717.000","  11.000","   0.000","   0.000","   0.000","   5.000","  10.000","   0.000","  15.000","  45.000","   0.000","  10.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   8.000","   0.000","  15.000","   0.000","  10.000","   0.000","   0.000","  45.000","   4.000","   8.000","   5.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000"," 122.000","   0.000","  12.000","   0.000","  81.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   9.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2249.711",NA,NA," 719.000","  10.000","   0.000","   0.000","   0.000","   8.000","   9.000","   0.000","  18.000","  42.000","   0.000","   8.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","  16.000","   0.000","   9.000","   0.000","   0.000","  35.000","  11.000","   7.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000"," 130.000","   0.000","   9.000","   0.000","  71.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   7.000","   3.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2253.006",NA,NA," 722.000","  11.000","   0.000","   0.000","   0.000","   7.000","   7.000","   0.000","  19.000","  45.000","   0.000","   8.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","  14.000","   0.000","   8.000","   0.000","   0.000","  38.000","   9.000","   8.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000"," 128.000","   0.000","  10.000","   0.000","  72.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   9.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2255.202",NA,NA," 724.000","   5.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","  10.000","  32.000","   0.000","   9.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   8.000","   0.000","  11.000","   0.000","   4.000","   0.000","   0.000","  36.000","  20.000","   7.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000"," 137.000","   0.000","  21.000","   0.000","  55.000","   0.000","   0.000","   0.000","   0.000","   0.000","  27.000","   5.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"2257.399",NA,NA," 726.000","   1.000","   0.000","   0.000","   0.000","   5.000","   4.000","   0.000","  12.000","  35.000","   0.000","   8.000","   1.000","   0.000","   1.000","   0.000","   6.000","   0.000","   4.000","   0.000","  11.000","   0.000","   4.000","   0.000","   0.000","  41.000","  15.000","   8.000","   1.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000"," 129.000","   0.000","  18.000","   0.000","  62.000","   0.000","   0.000","   0.000","   0.000","   0.000","  25.000","   5.000","   4.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2260.694",NA,NA," 729.000","   0.000","   0.000","   0.000","   1.000","   4.000","   3.000","   0.000","   7.000","  25.000","   0.000","  13.000","   4.000","   0.000","   0.000","   1.000","   2.000","   0.000","   3.000","   0.000","  15.000","   0.000","   5.000","   0.000","   0.000","  40.000","  17.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000"," 145.000","   0.000","  27.000","   0.000","  80.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   8.000","  17.000","   0.000","   0.000","   4.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2262.89",NA,NA," 731.00","   0.00","   0.00","   0.00","   1.00","   5.00","   3.00","   0.00","   7.00","  27.00","   0.00","  11.00","   2.00","   0.00","   0.00","   0.00","   2.00","   0.00","   3.00","   0.00","  16.00","   0.00","   6.00","   0.00","   0.00","  38.00","  17.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00"," 158.00","   0.00","  15.00","   0.00","  52.00","   0.00","   0.00","   0.00","   0.00","   0.00","  18.00","   8.00","  11.00","   0.00","   0.00","   4.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"2266.185",NA,NA," 734.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   4.000","  18.000","   0.000","   7.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   3.000","   0.000","  12.000","   0.000","   4.000","   0.000","   0.000","  51.000","  15.000","   2.000","   2.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000"," 155.000","   0.000","  10.000","   0.000","  54.000","   0.000","   0.000","   0.000","   0.000","   0.000","  26.000","   6.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2268.382",NA,NA," 736.000","   0.000","   0.000","   0.000","   0.000","   4.000","   4.000","   0.000","   5.000","  20.000","   0.000","   7.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   3.000","   0.000","  12.000","   0.000","   4.000","   0.000","   0.000","  39.000","  14.000","   5.000","   2.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000"," 149.000","   0.000","  12.000","   0.000","  67.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   8.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2270.578",NA,NA," 738.000","   0.000","   0.000","   0.000","   0.000","   8.000","   4.000","   0.000","  11.000","  16.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   3.000","   0.000","  15.000","   0.000","   6.000","   0.000","   0.000","  41.000","  12.000","   5.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000"," 161.000","   0.000","  18.000","   0.000","  76.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   5.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000"
"2273.873",NA,NA," 741.000","   4.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","  10.000","  18.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   4.000","   0.000","  16.000","   0.000","   6.000","   0.000","   0.000","  39.000","  16.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000"," 158.000","   0.000","  10.000","   0.000","  77.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   8.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"2276.069",NA,NA," 743.000","   8.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   4.000","  17.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   8.000","   0.000","  13.000","   0.000","   4.000","   0.000","   0.000","  21.000","  27.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   4.000"," 181.000","   0.000","  12.000","   0.000","  51.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   4.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"2279.364",NA,NA," 746.000","   8.000","   0.000","   0.000","   0.000","   4.000","   3.000","   0.000","   6.000","  11.000","   0.000","   2.000","   0.000","   0.000","   1.000","   1.000","   4.000","   0.000","   7.000","   0.000","  11.000","   0.000","   5.000","   0.000","   0.000","  25.000","  28.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   5.000"," 178.000","   0.000","  10.000","   0.000","  53.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   6.000","  18.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"2281.561",NA,NA," 748.000","  12.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   5.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","  11.000","   0.000","   7.000","   0.000","   4.000","   0.000","   0.000","  32.000","  12.000","   7.000","   0.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 161.000","   0.000","   9.000","   0.000","  86.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   6.000","  14.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2283.757",NA,NA," 750.000","  13.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   4.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   6.000","   0.000","  11.000","   0.000","   4.000","   0.000","   0.000","  30.000","  11.000","   7.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000"," 185.000","   0.000","   8.000","   0.000","  59.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   7.000","  17.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2287.052",NA,NA," 753.000","  10.000","   0.000","   0.000","   0.000","   5.000","   7.000","   0.000","  15.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  14.000","   0.000","   7.000","   0.000","  16.000","   0.000","  11.000","   1.000","   0.000","  37.000","   4.000","   8.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000"," 178.000","   0.000","  15.000","   0.000","  63.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   4.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2289.249",NA,NA," 755.000","  11.000","   0.000","   0.000","   0.000","   4.000","   4.000","   0.000","  15.000","  35.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  12.000","   0.000","  10.000","   0.000","  15.000","   0.000","   8.000","   1.000","   0.000","  31.000","   3.000","   8.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 170.000","   0.000","   8.000","   0.000","  53.000","   0.000","   0.000","   0.000","   0.000","   0.000","  17.000","   4.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"2292.543",NA,NA," 758.000","   9.000","   0.000","   0.000","   0.000","   4.000","   4.000","   0.000","  16.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   9.000","   0.000","  16.000","   0.000","   9.000","   2.000","   0.000","  30.000","   4.000","   5.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 169.000","   0.000","   9.000","   0.000","  51.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   1.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
