"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Protist","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"3560",NA,NA," 147","   8","   0","   0","   6","   7","   1","   2","   4","   7","   4","   0","  16","   6","  13","  20","   0","   0","   5","   0","  12","   0","   7","   8","  10","   8","   7","   0","  25","   9","   0","   9","   6","  12","   8","  26","   4","  10","  12","  14","  31","  16","   6","   5","  35","  26","   2","   7","   4","   3","  40","   0","  14","  25","  13","  22","   8","   0","  10","   8","   5","  13","   4","   4","   8","   5","   0","   3","   0","   5","   6","   5","   0","   0"
"3660",NA,NA," 149","   7","   0","   6","   4","   5","   3","   4","   1","   7","   1","   3","  16","   5","  12","  18","   0","   4","   3","   0","  11","   2","   7","   8","   8","   5","   4","   0","  23","   8","   0","  12","   2","  14","   5","  26","   1","   6","  21","  11","  36","  16","   3","   3","  22","  26","   0","   7","   2","   0","  46","   3","  11","  32","   5","  18","   6","   3","  15","   8","   1","  12","   1","   0","   5","   3","   1","   0","   0","   1","   1","   5","   1","   1"
"3760",NA,NA," 151","   9","   0","   0","   5","   8","   0","   0","   3","   5","   3","   0","  15","   7","   0","  21","   0","   0","   6","   0","   0","   0","   6","   6","  13","  10","   8","   0","   0","  11","   0","  10","   5","  10","   9","  20","   3","  13","  11","  15","  29","  15","   6","   4","  31","  22","   1","   6","   4","   2","  20","   0","  16","  21","  11","  26","   9","   0","  10","   7","   5","   0","   5","   3","   9","   6","   0","   2","   0","   5","   4","   2","   0","   0"
"3860",NA,NA," 153","   8","   0","   0","   6","   7","   1","   2","   4","   3","   4","   0","  11","   6","   0","  20","   0","   0","   5","   0","   0","   0","   3","   3","  10","   8","   7","   0","   0","   9","   0","  13","   6","  11","   8","  13","   4","  16","  14","  14","  31","  11","   6","   5","  35","  16","   2","   3","   4","   3","  18","   0","  14","  25","  13","  22","   8","   0","  13","   5","   5","   0","   4","   4","   8","   5","   0","   3","   0","   5","   6","   0","   0","   0"
"3960",NA,NA," 155","  17","   8","  30","   6","  16","  16","  12","   4","   0","   4","   5","   1","  15","   8","  29","  22","   4","   4","   0","   0","   0","   0","   1","  18","  17","  16","   0","   1","  17","   6","   2","   6","   1","  17","   4","   4","   1","   4","  23","  23","   2","   4","   5","  35","   2","   2","   0","   3","   3","   1","   4","  11","  18","  13","  26","  17","   4","   1","   0","   3","   1","   3","   4","  17","   4","   4","   3","  22","   3","   6","   0","   0","   0"
"4060",NA,NA," 157","  14","   2","   8","   4","  14","   6","   6","   2","   0","   2","   3","   2","  12","  10","  22","  12","   9","   1","   4","   4","   3","   0","   0","  12","  14","  12","   0","   8","  14","   0","   6","   2","   6","  13","   5","   2","   6","  11","  18","  27","   2","   0","   3","  22","   3","   1","   1","   0","   2","   0","   3","   5","  26","  11","  21","  13","   3","   4","   0","   0","   6","   0","   2","  14","   0","   2","   1","   4","   0","   2","   0","   3","   3"
"4160",NA,NA," 159","   9","   0","  21","   0","   8","  14","   8","   0","   0","   0","   5","   1","   6","   8","  16","   0","  14","   0","   9","   9","  11","   0","   0","   7","   7","   7","   0","   8","   8","   0","   1","   0","   2","   8","   5","   0","   3","   5","  12","  15","   2","   0","   0","   6","   2","   0","   1","   0","   0","   0","   4","   0","  15","   0","  11","   7","   4","   0","   1","   0","  23","   0","   0","   8","   0","   4","   0","   0","   0","   0","   0","  10","   9"
"4260",NA,NA," 161","  15","   0","  30","   0","  13","  16","  12","   0","   0","   0","   5","   1","  11","  12","  26","   1","  15","   0","   8","   8","  10","   0","   0","  24","  15","  13","   0","  10","  15","   0","   2","   0","   3","  14","   4","   0","   4","   6","  27","  18","   2","   0","   0","   7","   2","   0","   0","   0","   0","   0","   4","   1","  18","  23","  22","  24","   4","   1","   1","   0","  22","   0","   0","  15","   0","   4","   0","   0","   0","   0","   0","   8","   8"
"4360",NA,NA," 163","  14","   2","  13","   4","  12","  12","  11","   2","   0","   2","  10","   1","  10","  12","  22","  12","  15","   1","   4","   4","   3","   0","   0","  23","  14","  12","   0","   8","  14","   0","   6","   2","   6","  13","   5","   2","   6","  11","  18","  27","   2","   0","   3","  22","   2","   1","   1","   0","   2","   0","   7","   5","  26","  21","  21","  23","   7","   4","   0","   0","   6","   0","   2","  14","   0","   4","   1","   4","   0","   2","   0","   3","   3"
"4460",NA,NA," 165","  23","   8","   0","   8","  30","   0","   2","   6","   0","   7","   0","   2","  19","   0","  35","  26","   0","   5","   0","   0","   0","   0","   0","  20","  21","  18","   0","   0","  21","   6","   0","   8","   0","  20","   5","   7","   0","   2","  30","  27","   1","   2","   6","  42","   2","   5","   1","   3","   7","   0","   0","  13","  22","  36","  32","  23","   0","   0","   1","   3","   0","   2","   5","  20","   4","   0","   6","  15","   4","  11","   0","   0","   0"
"4560",NA,NA," 167","  21","   8","   1","   8","  28","   0","   3","   6","   0","   7","   0","   1","  18","   0","  33","  26","   0","   4","   0","   0","   0","   0","   0","  18","  19","  17","   0","   0","  19","   6","   1","   8","   1","  19","   5","   7","   0","   4","  26","  26","   2","   1","   6","  42","   2","   5","   0","   1","   7","   0","   0","  12","  22","  36","  31","  21","   0","   0","   1","   2","   0","   2","   5","  18","   3","   0","   6","  15","   3","  11","   0","   0","   0"
"4660",NA,NA," 169","  20","   7","   2","   7","  27","   0","   4","   5","   0","   6","   0","   1","  17","   0","  31","  24","   0","   2","   0","   0","   0","   0","   0","  17","  18","  16","   0","   0","  17","   4","   2","   7","   2","  18","   4","   6","   1","   5","  25","  25","   2","   0","   5","  36","   3","   4","   0","   0","   6","   0","   0","  10","  22","  32","  30","  19","   0","   0","   0","   0","   0","   1","   4","  17","   1","   0","   5","  13","   0","  10","   0","   0","   0"
"4760",NA,NA," 171","  15","   5","   1","   6","  20","   0","   3","   4","   0","   5","   0","   1","  11","   0","  25","  18","   0","   1","   0","   0","   0","   0","   0","  11","  12","  13","   0","   0","  13","   2","   5","   6","   5","  12","   5","   5","   0","  11","  20","  25","   2","   0","   4","  33","   2","   3","   1","   0","   5","   0","   0","   9","  23","  25","  20","  15","   0","   4","   1","   0","   0","   0","   3","  11","   0","   0","   4","  10","   0","   7","   0","   0","   0"
"4860",NA,NA," 173","  20","   7","   2","   7","  27","   0","   4","   5","   0","   6","   0","   1","  17","   0","  30","  24","   0","   2","   0","   0","   0","   0","   0","  17","  18","  16","   0","   0","  17","   4","   2","   7","   2","  18","   4","   6","   1","   5","  25","  25","   3","   0","   5","  36","   2","   4","   1","   0","   6","   0","   0","  10","  22","  32","  30","  19","   0","   0","   0","   0","   0","   1","   4","  17","   1","   0","   5","  13","   0","  10","   0","   0","   0"
"4910.952",NA,NA," 175.000","  16.000","   5.000","   5.000","   6.000","  17.000","   1.000","   7.000","   4.000","   0.000","   5.000","   1.000","   0.000","  16.000","   1.000","  27.000","  21.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","  17.000","  15.000","   0.000","   1.000","  16.000","   1.000","   3.000","   5.000","   3.000","  16.000","   5.000","   5.000","   4.000","   6.000","  23.000","  22.000","   2.000","   0.000","   4.000","  34.000","   2.000","   3.000","   0.000","   1.000","   5.000","   0.000","   0.000","  12.000","  18.000","  25.000","  25.000","  18.000","   0.000","   1.000","   0.000","   1.000","   1.000","   2.000","   3.000","  16.000","   4.000","   0.000","   4.000","  12.000","   1.000","   5.000","   0.000","   0.000","   0.000"
"4961.905",NA,NA," 177.000","  15.000","   6.000","   8.000","   6.000","  15.000","   2.000","   8.000","   4.000","   0.000","   5.000","   2.000","   1.000","  15.000","   2.000","  25.000","  22.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","  16.000","  14.000","   0.000","   2.000","  15.000","   3.000","   4.000","   5.000","   4.000","  15.000","   5.000","   5.000","   5.000","   8.000","  21.000","  22.000","   2.000","   1.000","   4.000","  34.000","   3.000","   3.000","   0.000","   2.000","   5.000","   0.000","   1.000","  12.000","  18.000","  20.000","  23.000","  16.000","   1.000","   1.000","   1.000","   2.000","   1.000","   2.000","   3.000","  15.000","   4.000","   0.000","   4.000","  15.000","   2.000","   5.000","   0.000","   0.000","   0.000"
"5012.857",NA,NA," 179.000","  12.000","   4.000","  10.000","   3.000","  13.000","   4.000","  11.000","   3.000","   0.000","   4.000","   4.000","   1.000","  13.000","   5.000","  21.000","  10.000","   3.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","  12.000","  13.000","  13.000","   0.000","   6.000","  14.000","   1.000","   4.000","   4.000","   4.000","  14.000","   4.000","   4.000","  11.000","   8.000","  16.000","  25.000","   1.000","   0.000","   2.000","  22.000","   2.000","   2.000","   1.000","   0.000","   4.000","   0.000","   3.000","   9.000","  22.000","  19.000","  19.000","  14.000","   3.000","   4.000","   1.000","   0.000","   4.000","   1.000","   2.000","  13.000","   2.000","   1.000","   3.000","  10.000","   0.000","   3.000","   0.000","   0.000","   0.000"
"5063.81",NA,NA," 181.00","  11.00","   1.00","  30.00","   1.00","  11.00","  16.00","  12.00","   0.00","   0.00","   1.00","   5.00","   1.00","  12.00","  13.00","  20.00","   4.00","   8.00","   0.00","   4.00","   4.00","   2.00","   0.00","   0.00","  11.00","  11.00","  11.00","   0.00","  15.00","  11.00","   0.00","   5.00","   1.00","   6.00","  10.00","   5.00","   0.00","  13.00","  11.00","  15.00","  26.00","   2.00","   0.00","   0.00","  12.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   4.00","  26.00","  13.00","  14.00","  13.00","   4.00","   8.00","   1.00","   0.00","  11.00","   0.00","   0.00","  11.00","   0.00","   4.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   1.00"
"5114.762",NA,NA," 183.000","  10.000","   0.000","   8.000","   0.000","  10.000","   6.000","   6.000","   0.000","   0.000","   0.000","   3.000","   2.000","  11.000","  10.000","  19.000","   3.000","   6.000","   0.000","   5.000","   6.000","   6.000","   0.000","   0.000","  10.000","  10.000","   9.000","   0.000","  19.000","  10.000","   0.000","   4.000","   0.000","   5.000","   8.000","   5.000","   0.000","  16.000","   9.000","  14.000","  24.000","   3.000","   0.000","   0.000","   9.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   3.000","  24.000","  12.000","  13.000","  12.000","   3.000","   5.000","   1.000","   0.000","  15.000","   0.000","   0.000","  10.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   6.000"
"5165.714",NA,NA," 185.000","   7.000","   0.000","  21.000","   0.000","   6.000","  14.000","   8.000","   0.000","   0.000","   0.000","   5.000","   1.000","   6.000","   8.000","  16.000","   0.000","   4.000","   0.000","   9.000","   9.000","  11.000","   0.000","   0.000","   4.000","   4.000","   4.000","   0.000","   8.000","   6.000","   0.000","   1.000","   0.000","   2.000","   5.000","   4.000","   0.000","   3.000","   5.000","  12.000","  15.000","   2.000","   0.000","   0.000","   6.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","  15.000","   8.000","  11.000","   5.000","   4.000","   0.000","   1.000","   0.000","  23.000","   0.000","   0.000","   7.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   9.000"
"5216.667",NA,NA," 187.000","   8.000","   0.000","  30.000","   0.000","   7.000","  16.000","  12.000","   0.000","   0.000","   0.000","   5.000","   0.000","   8.000","  12.000","  17.000","   1.000","   8.000","   0.000","   8.000","   8.000","  10.000","   0.000","   0.000","   5.000","   6.000","   5.000","   0.000","  10.000","   8.000","   0.000","   2.000","   0.000","   3.000","   7.000","   5.000","   0.000","   4.000","   6.000","  13.000","  18.000","   1.000","   0.000","   0.000","   7.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   4.000","   1.000","  18.000","   8.000","  12.000","   8.000","   4.000","   1.000","   1.000","   0.000","  22.000","   0.000","   0.000","   8.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   8.000"
"5267.619",NA,NA," 189.000","   9.000","   0.000","  33.000","   0.000","   8.000","  24.000","  27.000","   0.000","   0.000","   0.000","  15.000","   1.000","  11.000","  15.000","  19.000","   3.000","  17.000","   0.000","   5.000","   6.000","   6.000","   0.000","   0.000","   7.000","   8.000","   7.000","   0.000","  19.000","  10.000","   0.000","   4.000","   0.000","   5.000","   8.000","   4.000","   0.000","  16.000","   9.000","  14.000","  24.000","   2.000","   0.000","   0.000","   9.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   3.000","  24.000","  12.000","  13.000","  12.000","   9.000","   5.000","   1.000","   0.000","  15.000","   0.000","   0.000","  10.000","   0.000","   9.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   6.000"
"5318.571",NA,NA," 191.000","  10.000","   1.000","  25.000","   1.000","  10.000","  22.000","  26.000","   0.000","   0.000","   1.000","  13.000","   1.000","  12.000","  12.000","  20.000","   4.000","  15.000","   0.000","   5.000","   5.000","   5.000","   0.000","   0.000","   8.000","   9.000","   8.000","   0.000","  16.000","  11.000","   0.000","   5.000","   1.000","   6.000","  10.000","   5.000","   0.000","  14.000","  11.000","  15.000","  26.000","   2.000","   0.000","   0.000","  12.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   8.000","   4.000","  26.000","  13.000","  14.000","  13.000","   8.000","   8.000","   1.000","   0.000","  13.000","   0.000","   0.000","  11.000","   0.000","   6.000","   0.000","   2.000","   0.000","   0.000","   0.000","   3.000","   5.000"
"5369.524",NA,NA," 193.000","  11.000","   1.000","  19.000","   1.000","  11.000","  16.000","  22.000","   0.000","   0.000","   1.000","  11.000","   1.000","  12.000","  11.000","  20.000","   4.000","  12.000","   0.000","   4.000","   4.000","   2.000","   0.000","   0.000","   8.000","   9.000","   8.000","   0.000","  15.000","  11.000","   0.000","   5.000","   1.000","   6.000","  10.000","   4.000","   0.000","  13.000","  11.000","  15.000","  26.000","   2.000","   0.000","   0.000","  12.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   6.000","   4.000","  26.000","  13.000","  14.000","  13.000","   6.000","   8.000","   1.000","   0.000","  11.000","   0.000","   0.000","  11.000","   0.000","   4.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000"
"5420.476",NA,NA," 195.000","  12.000","   4.000","  10.000","   3.000","  12.000","   4.000","  11.000","   3.000","   0.000","   4.000","   4.000","   2.000","  13.000","   5.000","  21.000","  10.000","   3.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","  12.000","  13.000","  14.000","   0.000","   6.000","  14.000","   1.000","   4.000","   4.000","   4.000","  14.000","   4.000","   4.000","  11.000","   8.000","  16.000","  25.000","   3.000","   0.000","   2.000","  22.000","   2.000","   2.000","   0.000","   0.000","   4.000","   0.000","   3.000","   9.000","  22.000","  19.000","  29.000","  14.000","   3.000","   4.000","   1.000","   0.000","   4.000","   1.000","   2.000","  13.000","   2.000","   1.000","   3.000","  10.000","   0.000","   3.000","   0.000","   0.000","   0.000"
"5471.429",NA,NA," 197.000","  14.000","  11.000","   7.000","   6.000","  14.000","   1.000","   8.000","   4.000","   0.000","   5.000","   2.000","   1.000","  15.000","   2.000","  23.000","  15.000","   1.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","  18.000","  18.000","   0.000","   4.000","  16.000","   6.000","   2.000","   6.000","   2.000","  15.000","   5.000","   6.000","   8.000","   4.000","  18.000","  24.000","   2.000","   2.000","   5.000","  31.000","   2.000","   4.000","   1.000","   2.000","   5.000","   0.000","   2.000","  12.000","  19.000","  25.000","  23.000","  18.000","   2.000","   3.000","   1.000","   2.000","   2.000","   3.000","   4.000","  16.000","   4.000","   0.000","   4.000","  15.000","   3.000","   5.000","   0.000","   0.000","   0.000"
"5522.381",NA,NA," 199.000","  12.000","   4.000","  10.000","   3.000","  12.000","   4.000","  11.000","   3.000","   0.000","   4.000","   4.000","   1.000","  13.000","   5.000","  21.000","  10.000","   3.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","  12.000","  13.000","  13.000","   0.000","   6.000","  14.000","   1.000","   4.000","   4.000","   4.000","  14.000","   5.000","   4.000","  11.000","   8.000","  16.000","  25.000","   2.000","   0.000","   2.000","  22.000","   3.000","   2.000","   1.000","   0.000","   4.000","   0.000","   3.000","   9.000","  22.000","  19.000","  29.000","  14.000","   3.000","   4.000","   1.000","   0.000","   4.000","   1.000","   2.000","  13.000","   2.000","   1.000","   3.000","  10.000","   0.000","   3.000","   0.000","   0.000","   0.000"
"5573.333",NA,NA," 201.000","  10.000","   1.000","  17.000","   1.000","  10.000","   8.000","  18.000","   0.000","   0.000","   0.000","   9.000","   1.000","  11.000","  11.000","  17.000","   3.000","   9.000","   0.000","   6.000","   4.000","   3.000","   0.000","   0.000","   8.000","  10.000","   9.000","   0.000","  16.000","  10.000","   0.000","   7.000","   0.000","   7.000","  11.000","   5.000","   0.000","  18.000","  11.000","  13.000","  22.000","   2.000","   0.000","   0.000","  11.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   4.000","  22.000","  11.000","  23.000","  12.000","   4.000","   8.000","   1.000","   0.000","   8.000","   0.000","   0.000","  10.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","   4.000","   4.000"
"5624.286",NA,NA," 203.000","  10.000","   1.000","  23.000","   1.000","  10.000","  11.000","  22.000","   0.000","   0.000","   0.000","  11.000","   0.000","  11.000","  15.000","  17.000","   3.000","  16.000","   0.000","   8.000","   6.000","   6.000","   0.000","   0.000","   8.000","  10.000","   9.000","   0.000","  22.000","  10.000","   0.000","   5.000","   0.000","   4.000","  11.000","   4.000","   0.000","   8.000","   6.000","  13.000","  14.000","   1.000","   0.000","   0.000","  11.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   4.000","  14.000","  11.000","  23.000","  12.000","   6.000","   4.000","   0.000","   0.000","  11.000","   0.000","   0.000","  10.000","   0.000","   4.000","   0.000","   3.000","   0.000","   0.000","   0.000","   9.000","   8.000"
"5675.238",NA,NA," 205.000","  11.000","   1.000","  23.000","   2.000","  11.000","  11.000","  22.000","   2.000","   0.000","   1.000","  11.000","   0.000","  12.000","  10.000","  20.000","   4.000","   8.000","   0.000","   1.000","   6.000","   3.000","   0.000","   0.000","  11.000","  12.000","  11.000","   0.000","  15.000","  12.000","   0.000","   6.000","   1.000","   5.000","  12.000","   3.000","   1.000","  11.000","   8.000","  14.000","  17.000","   1.000","   0.000","   0.000","  12.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   6.000","   8.000","  17.000","  25.000","  24.000","  14.000","   6.000","   6.000","   0.000","   0.000","   9.000","   0.000","   0.000","  11.000","   0.000","   4.000","   0.000","   4.000","   0.000","   0.000","   0.000","   4.000","   2.000"
"5726.19",NA,NA," 207.00","  14.00","   2.00","  12.00","   5.00","  15.00","   4.00","  12.00","   4.00","   0.00","   3.00","   4.00","   1.00","  14.00","   4.00","  23.00","   8.00","   4.00","   3.00","   0.00","   3.00","   1.00","   0.00","   0.00","  15.00","  14.00","  14.00","   0.00","   9.00","  15.00","   0.00","   6.00","   4.00","   5.00","  14.00","   4.00","   3.00","  11.00","   8.00","  16.00","  20.00","   2.00","   3.00","   3.00","  24.00","   3.00","   1.00","   1.00","   1.00","   2.00","   0.00","   3.00","  11.00","  17.00","  28.00","  27.00","  18.00","   3.00","   6.00","   1.00","   1.00","   2.00","   0.00","   1.00","  13.00","   3.00","   1.00","   2.00","   7.00","   1.00","   1.00","   0.00","   1.00","   1.00"
"5777.143",NA,NA," 209.000","  16.000","   6.000","   4.000","   9.000","  19.000","   0.000","   2.000","   7.000","   0.000","   7.000","   1.000","   1.000","  17.000","   1.000","  25.000","  20.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","  17.000","  17.000","   0.000","   4.000","  18.000","   6.000","   1.000","   9.000","   0.000","  18.000","   4.000","   7.000","   3.000","   2.000","  18.000","  20.000","   2.000","   5.000","   5.000","  41.000","   2.000","   3.000","   1.000","   4.000","   5.000","   0.000","   0.000","  17.000","  14.000","  25.000","  25.000","  23.000","   0.000","   0.000","   1.000","   3.000","   0.000","   3.000","   6.000","  17.000","   8.000","   0.000","   6.000","  15.000","   3.000","   4.000","   0.000","   0.000","   0.000"
"5828.095",NA,NA," 211.000","  15.000","   4.000","   7.000","   8.000","  17.000","   2.000","   4.000","   5.000","   0.000","   5.000","   2.000","   2.000","  16.000","   3.000","  21.000","  14.000","   2.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","  14.000","  15.000","  16.000","   0.000","   9.000","  16.000","   2.000","   2.000","   8.000","   2.000","  17.000","   5.000","   5.000","   4.000","   4.000","  17.000","  18.000","   3.000","   4.000","   4.000","  33.000","   2.000","   1.000","   2.000","   2.000","   4.000","   0.000","   2.000","  15.000","  15.000","  20.000","  21.000","  21.000","   2.000","   1.000","   2.000","   2.000","   1.000","   1.000","   5.000","  16.000","   5.000","   1.000","   5.000","  13.000","   2.000","   3.000","   0.000","   0.000","   0.000"
"5879.048",NA,NA," 213.000","  13.000","   3.000","  12.000","   3.000","  14.000","   5.000","   8.000","   4.000","   0.000","   3.000","   7.000","   1.000","  15.000","   6.000","  18.000","  12.000","   4.000","   2.000","   0.000","   4.000","   0.000","   0.000","   0.000","  13.000","  14.000","  14.000","   0.000","  13.000","  14.000","   0.000","   4.000","   4.000","   4.000","  14.000","   4.000","   4.000","   8.000","   8.000","  16.000","  17.000","   2.000","   2.000","   3.000","  22.000","   2.000","   0.000","   1.000","   1.000","   3.000","   0.000","   5.000","  10.000","  16.000","  16.000","  19.000","  16.000","   5.000","   3.000","   1.000","   1.000","   4.000","   0.000","   3.000","  14.000","   2.000","   2.000","   3.000","  10.000","   1.000","   1.000","   0.000","   0.000","   0.000"
"5930",NA,NA," 215","  11","   1","  22","   2","  12","  15","  16","   2","   0","   1","  11","   1","  13","  18","  13","   1","  13","   1","   2","   8","   1","   0","   0","  11","  11","  12","   0","  24","  12","   0","   9","   1","   9","  12","   4","   1","  12","  11","  24","  17","   2","   1","   1","  11","   2","   0","   1","   0","   1","   0","  11","   9","  16","  12","  13","  12","  11","   9","   1","   0","  11","   0","   1","  12","   1","   6","   1","   1","   0","   0","   0","   2","   2"
