"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
"2686",NA,NA," 245","   2","   0","   0","   0","  59","   0","  36","  28","   0","   0","   4","   8","   2","  20","   0","   6","  21","   0","   0","   9","  15","   4","   0","   0","   0","   0","   0","   0","   0","  34","   0","   0","  16","   5","   0","   0","  41","   2","   0","   3","   0","   9","  36","   0","   5","   0","  10","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0","   0","   1","   0"
"2719",NA,NA," 280","   2","   0","   0","   0","  59","   0","  25","  27","   0","   0","   3","   6","   1","  18","   0","   9","  24","   0","   0","   9","  14","   2","   0","   0","   0","   0","   0","   0","   0","  40","   0","   0","  22","   5","   0","   0","  40","   4","   0","   0","   0","  11","  41","   0","   4","   0","   8","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0","   0","   1","   0"
"2750",NA,NA," 305","   1","   2","   0","   3","  29","   0","  41","  14","   0","   0","   6","  10","   2","   9","   0","   0","  16","   4","   3","   5","  10","   9","   0","   1","   0","   0","   0","   0","   0","  37","   0","   0","   5","   7","   0","   0","  71","  16","   0","   0","   0","  12","  60","   9","   3","   0","  14","   0","   0","   0","   0","   1","   0","   6","   0","   0","   2","   0","   4","   0"
"2752",NA,NA," 315","   1","   2","   0","   6","   8","   0","  33","  13","   0","   0","   6","  12","   2","  10","   0","   0","  13","   6","   1","   2","   6","  11","   0","   0","   0","   0","   0","   0","   0","  32","   0","   0","   5","   6","   0","   0","  74","  12","   0","   0","   0","  12","  86","  13","   4","   0","  21","   0","   0","   0","   0","   1","   0","   7","   0","   0","   4","   0","   8","   0"
"2754",NA,NA," 325","   0","   0","   0","   1","  42","   0","  27","  32","   0","   0","   8","   6","   1","   8","   0","  16","  66","   0","   2","  14","   1","  13","   0","   1","   0","   0","   0","   0","   0","  22","   0","   0","   8","   0","   1","   0","  51","   6","   0","   0","   0","  14","  26","   0","  13","   0","   7","   0","   0","   0","   0","   0","   0","   6","   0","   0","   2","   0","   8","   0"
"2756",NA,NA," 335","   0","   0","   0","   0","  52","   0","  26","  33","   0","   0","  10","   4","   1","   9","   0","  19","  83","   0","   5","  12","   0","  16","   0","   1","   0","   0","   0","   0","   0","  21","   0","   2","  12","   0","   1","   0","  33","   5","   0","   0","   0","  10","  23","   0","  11","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   1","   0","   8","   0"
"2760",NA,NA," 345","   0","   0","   0","   1","  48","   0","  22","  30","   0","   0","  11","   5","   4","   8","   0","  12","  95","   0","   2","  13","   0","  15","   0","   1","   0","   0","   0","   0","   0","  17","   0","   0","  11","   0","   1","   0","  36","   6","   0","   0","   0","  18","  20","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   9","   0"
"2763",NA,NA," 355","   1","   0","   0","   0","  63","   0","  20","  36","   0","   0","   8","   6","   1","   8","   0","  19","  82","   0","  12","  17","   0","   4","   0","   1","   0","   0","   0","   0","   0","  13","   0","   1","  12","   0","   1","   0","  38","   6","   0","   0","   0","  16","  17","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   6","   0"
"2765",NA,NA," 365","   1","   0","   0","   1","  56","   0","  37","  40","   0","   0","   7","  10","   1","   5","   0","  18","  47","   0","  10","  15","   0","   4","   0","   1","   0","   0","   0","   0","   0","  16","   0","   0","  11","   0","   0","   0","  43","   7","   0","   0","   0","  18","  24","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   4","   7","   0","   0","   0","   4","   0"
"2769",NA,NA," 375","   3","   0","   0","   0","  68","   0","  42","  39","   0","   0","   8","  10","   5","   7","   0","  22","  38","   0","  12","  15","   0","   3","   0","   2","   0","   0","   0","   0","   0","  12","   0","   0","  11","   0","   1","   0","  45","   5","   0","   0","   0","   4","  24","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   9","   5","   0","   0","   0","   2","   0"
