"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Afraegle","Alchornea","Alnus","Amaranthaceae undif.","Antidesma t.","Apocynaceae undif.","Araliaceae undif.","Artemisia","Asteraceae","Balanites","Betula","Bombax","Borreria t.","Caesalpinioideae","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Chrozophora","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Connaraceae","Corylus","Cucurbitaceae undif.","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Erica t.","Euphorbiaceae undif.","Faboideae Undif.","Fern-Lycopodiaceae","Ficus","Hymenocardia","Hyphaene t.","Ilex","Indeterminable","Indigofera","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Menispermaceae undif.","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Quercus undif.","Rubiaceae undif.","Salvadora","Securinega  t.","Sesbania","Solanum","Spergularia t.","Syzygium t.","Tephrosia","Triletes","Typha","Uapaca","Vitex","Ziziphus/Paliurus"
"6833.2"," 259.0","   1.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","  70.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 176.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","  11.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0"," 370.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   1.0","  21.0","   1.0","   0.0"
"7031.2"," 269.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","  10.0","   1.0","   1.0","   0.0","   0.0","  84.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 165.0","   1.0","   1.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   5.0","   0.0","   1.0","   2.0","   0.0","   0.0"," 337.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   2.0","  30.0","   0.0","   0.0"
"7249"," 280","   1","   0","  18","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","   1","   0","   0","  94","   3","   0","   0","   0","   0","   0","   0","  89","   0","   0","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","  11","   0","   2","   1","   0","   0"," 318","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   1","   0","   0","  17","   0","   1"
"7447"," 290","   0","   0","   8","   0","   1","   2","   0","   0","   1","   2","   0","   0","   1","   1","   0","   0","   0","   0","   2","   0","   0","   2","   0","  13","   0","   0","   0","   0","  73","  13","   0","   1","   0","   0","   0","   0"," 120","   0","   4","   0","   0","   1","   0","   0","   1","   0","   0","   2","   0","   0","   2","   0","   0","   0","   6","   0","   0","   1","   0","   0"," 335","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  34","   0","   1","   1","  20","   0","   0"
"7645"," 300","   0","   0","  11","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  18","   0","   0","   0","   1","  65","  11","   0","   0","   0","   0","   1","   0","  92","   0","   1","   0","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   5","   0","   0"," 319","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  42","   0","   0","   0","  28","   0","   0"
"7843"," 310","   0","   0","   6","   0","   1","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","  17","   0","   0","   0","   0","  88","   6","   0","   0","   0","   0","   0","   0","  89","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  11","   0","   0","   1","   0","   0"," 342","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  14","   1","   0","   1","  15","   0","   0"
"7987"," 318","   1","   0","  19","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","  14","   0","   2","   0","   0"," 145","   8","   0","   0","   0","   0","   1","   0"," 293","   0","   1","   0","   0","   8","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","  28","   0","   0","   0","   0","   0"," 283","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","  11","   1","   0","   0","  25","   0","   1"
"8122"," 327","   0","   0","   9","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0"," 155","   3","   0","   0","   0","   0","   0","   0"," 189","   0","   0","   0","   0","   4","   0","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   1","  27","   0","   0","   1","   0","   0"," 261","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","  12","   0","   0"
"8197"," 332","   2","   0","   9","   0","   1","   1","   0","   0","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","  14","   0","   0","   0","   0","  98","   2","   0","   2","   0","   0","   0","   1"," 231","   2","   0","   0","   0","   8","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   3","  48","   0","   0","   2","   0","   0"," 306","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","  15","   0","   1","   1","   4","   0","   0"
"8316.919"," 339.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   3.000","   0.000","   0.000"," 116.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 113.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","  30.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 291.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   1.000","   0.000","  15.000","   1.000","   0.000"
"8509.544"," 349.000","   0.000","   0.000","  11.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   1.000","   0.000","   0.000"," 106.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  63.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 302.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  29.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000"
"8721.432"," 360.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   1.000","   0.000","   0.000"," 106.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  98.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","  22.000","   0.000","   0.000","   4.000","   0.000","   0.000"," 292.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  38.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000"
"8894.794"," 369.000","   0.000","   0.000","  24.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","  10.000","   0.000","   4.000","   0.000","   0.000","  90.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  85.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   2.000","  14.000","   0.000","   0.000","   3.000","   0.000","   0.000"," 313.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  23.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000"
"9067.52"," 379.00","   0.00","   0.00","  37.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   2.00","   0.00","   0.00","  91.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 122.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   3.00","   1.00","   0.00","   5.00","  24.00","   0.00","   0.00","   1.00","   0.00","   0.00"," 303.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  35.00","   0.00","   0.00","   2.00","   4.00","   0.00","   0.00"
"9203.291"," 389.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   2.000","   0.000","   0.000"," 110.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000"," 151.000","   0.000","   1.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  17.000","   0.000","   0.000","   2.000","   0.000","   0.000"," 275.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","  13.000","   0.000","   1.000","   3.000","   8.000","   0.000","   0.000"
"9339.062"," 399.000","   0.000","   0.000","  38.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   7.000","   0.000","   0.000","  93.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000"," 135.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 313.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   4.000","  10.000","   0.000","   0.000"
"9474.833"," 409.000","   0.000","   0.000","  19.000","   0.000","   3.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   6.000","   0.000","   0.000","  94.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 140.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   4.000","   5.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 372.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  18.000","   0.000","   1.000","   2.000","  14.000","   1.000","   0.000"
"9542.719"," 414.000","   0.000","   0.000","  22.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   6.000","   0.000","  11.000","   0.000","   0.000"," 112.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 112.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","  12.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 320.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  23.000","   0.000","   0.000","   4.000","   6.000","   0.000","   0.000"
"9882.146"," 439.000","   0.000","   0.000","  36.000","   5.000","   2.000","   2.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   5.000","   1.000","   0.000","  84.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 123.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   2.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 322.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  20.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000"
"10017.92","  449.00","    0.00","    0.00","   26.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    3.00","    0.00","    2.00","    0.00","    0.00","   85.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  154.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","  334.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    7.00","    4.00","    0.00","    0.00"
"10167.27","  460.00","    0.00","    0.00","   26.00","    0.00","    3.00","    0.00","    0.00","    0.00","    1.00","    7.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    7.00","    0.00","    3.00","    0.00","    0.00","   96.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","  142.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    4.00","   18.00","    0.00","    1.00","    0.00","    0.00","    0.00","  332.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   11.00","    0.00","    0.00","    3.00","    5.00","    0.00","    1.00"
"10303.04","  470.00","    0.00","    0.00","   15.00","    0.00","    4.00","    1.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","    6.00","    0.00","    3.00","    0.00","    0.00","   84.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","   87.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    3.00","   13.00","    0.00","    0.00","    0.00","    0.00","    0.00","  362.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   20.00","    0.00","    0.00","    3.00","    2.00","    0.00","    0.00"
"10438.81","  480.00","    0.00","    0.00","   25.00","    0.00","    4.00","    1.00","    0.00","    0.00","    4.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","   84.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  105.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","   15.00","    0.00","    0.00","    2.00","    0.00","    0.00","  349.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.00","    0.00","    1.00","    6.00","    3.00","    0.00","    1.00"
"10588.16","  491.00","    0.00","    0.00","   29.00","    0.00","    5.00","    2.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    4.00","    0.00","    1.00","    0.00","    3.00","    0.00","    0.00","   95.00","    1.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","   97.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    7.00","   12.00","    0.00","    0.00","    0.00","    0.00","    0.00","  340.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","   11.00","    0.00","    0.00","    6.00","    2.00","    0.00","    0.00"
"10723.93","  501.00","    0.00","    0.00","   21.00","    0.00","    7.00","    2.00","    0.00","    0.00","    1.00","    6.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    4.00","    0.00","    0.00","   91.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","   90.00","    1.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.00","   11.00","    0.00","    0.00","    0.00","    0.00","    0.00","  345.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    7.00","    0.00","    0.00","    0.00"
"10859.7","  511.0","    0.0","    0.0","   24.0","    0.0","    5.0","    0.0","    0.0","    0.0","    4.0","    9.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    7.0","    0.0","    3.0","    0.0","    0.0","   85.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   92.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    5.0","   10.0","    0.0","    1.0","    0.0","    0.0","    0.0","  359.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   12.0","    4.0","    0.0","    0.0"
"10981.89","  520.00","    0.00","    0.00","   15.00","    0.00","    6.00","    2.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    0.00","    4.00","    0.00","    4.00","    0.00","    0.00","   92.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  111.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","   16.00","    0.00","    0.00","    0.00","    0.00","    0.00","  346.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    8.00","    1.00","    0.00","    0.00"
"11117.66","  530.00","    0.00","    0.00","    7.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","   99.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  281.00","    0.00","    0.00","    0.00","    0.00","   13.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    2.00","    3.00","    0.00","    0.00","    2.00","   17.00","    0.00","    0.00","    0.00","    0.00","    0.00","  349.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.00","    2.00","    0.00","    0.00"
"11253.43","  540.00","    0.00","    0.00","   12.00","    0.00","    6.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    1.00","    1.00","    0.00","    3.00","    0.00","    5.00","    0.00","    0.00","   90.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","  273.00","    1.00","    1.00","    1.00","    0.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","   16.00","    1.00","    1.00","    0.00","    1.00","    0.00","  350.00","    0.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.00","    3.00","    0.00","    0.00"
"11402.78","  551.00","    0.00","    0.00","    2.00","    0.00","    9.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   67.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  409.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    1.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","  423.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   29.00","    1.00","    0.00","    0.00"
"11552.13","  562.00","    0.00","    0.00","    1.00","    0.00","    7.00","    1.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   69.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  131.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","  300.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  120.00","    0.00","    0.00","    0.00"
"11701.48","  573.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   72.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  104.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","  238.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  222.00","    0.00","    0.00","    0.00"
"11837.25","  583.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    2.00","    0.00","    0.00","    1.00","    0.00","   59.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","   46.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.00","    0.00","    0.00","    0.00","    0.00","    0.00","  145.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","  288.00","    0.00","    0.00","    0.00"
"11905.13","  588.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   38.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  105.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","    0.00","    0.00","  108.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","  377.00","    0.00","    0.00","    0.00"
"  0","596","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","147","  0","  0","  0","  0","  0","  0","  1","588","  0","  0","  1","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0"
"  0","603","  0","  0","  0","  0","  6","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 62","  0","  0","  0","  0","  0","  0","  0","672","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 69","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
"  0","617","  0","  0","  0","  0","  2","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 59","  0","  0","  0","  0","  0","  0","  0","781","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 82","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
