"depth","age CAL BP","Sample","Acacia t.","Aizoaceae t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Betula","Betulaceae undif.","Blepharis","Boraginaceae undif.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardueae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Chrozophora","Cichorieae","Cissus t.","Cistaceae","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Delonix","Dipsacaceae","Dodonaea","Drymaria-type","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fern","Fern-Equisetophyta","Ficus","Frankenia","Fraxinus","Fumaria","Fungi","Geranium","Haplophyllum","Heliotropium","Indeterminable","Indigofera","Lamiaceae undif.","Lannea","Leonotis-type","Linum t.","Lotus t.","Maerua","Malva","Matthiola","Mikania-type","Moltkiopsis","Monsonia","Moraceae/Urticaceae (Mikrom)_17.5","Moraceae/Urticaceae (Mikrom)_20.0","Moraceae/Urticaceae (Mikrom)_22.5","Moraceae/Urticaceae (Mikrom)_25.0","Moraceae/Urticaceae (Mikrom)_27.5","Morella","Neurada","Ochradenus-type","Ocimum","Olea t.","Onagraceae","Papaver t.","Persicaria t.","Petaloid monocot","Piliostigma","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polemonium","Polygala","Polygonum t.","Populus","Potamogeton","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salvadora","Saxifragaceae","Scrophulariaceae undif.","Searsia","Secale","Senna-type","Sesbania","Solanum","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Tetraena","Thymelaeaceae undif.","Tilia","Tribulus","Trichodesma","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Verbenaceae undif.","Viola","Vitis","Ziziphus/Paliurus","charcoal","marker spores counted"
"3995","7384","TAY22_0449","1","0","0","0","0","228","6","0","1","41","2","12","0","0","0","0","0","0","15","0","4","0","1","0","3","0","21","0","14","1","0","0","2","0","1","0","0","9","0","0","1","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","41","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","2","0","21","63","78","0","0","0","0","0","1","0","0","0","0","0","3","0","1","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","4","0","1","0","0","0","1","418","165"
"4075","7524","TAY22_0457","0","0","1268","0","0","458","12","0","0","46","0","17","0","0","0","0","0","0","18","0","0","0","0","0","0","0","39","0","24","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","52","154","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","357","569"
"4115","7592","TAY22_0461","1","0","2145","1","1","877","13","0","13","68","3","34","0","0","0","0","0","0","41","0","8","0","1","0","6","3","23","0","16","0","1","0","5","0","0","0","0","60","0","1","5","0","0","1","17","1","0","2","1","0","0","0","0","0","0","0","0","112","0","0","0","25","1","1","0","0","0","0","0","0","0","1","4","0","0","0","3","2","1","1","0","2","0","10","0","0","0","0","0","1","3","61","250","200","0","2","0","0","0","4","1","4","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","1","23","0","6","0","0","0","0","1458","200"
"4175","7656","TAY22_0467","0","0","2430","0","0","1242","9","0","14","73","0","22","0","0","0","0","0","0","24","0","4","7","1","1","1","3","8","0","3","0","0","0","0","0","0","0","1","99","0","0","16","0","0","0","7","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","8","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","3","33","370","296","0","0","0","0","0","5","0","9","0","2","2","35","1","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","23","0","3","0","0","0","0","700","66"
"4415","7805","TAY22_0532","0","0","285","1","0","573","3","0","11","46","3","15","0","0","1","1","0","0","11","0","8","4","3","0","0","3","13","0","3","0","0","0","0","0","0","1","0","67","0","0","3","0","0","0","8","0","0","0","1","0","0","0","0","1","0","0","0","20","1","1","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","33","203","151","0","1","0","0","2","2","1","2","0","1","0","17","0","2","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","12","0","2","0","0","0","0","397","50"
"4535","7871","TAY22_0544","3","0","240","0","0","733","12","0","13","56","4","12","0","0","0","0","0","0","11","0","5","17","2","0","3","3","9","0","8","0","0","0","0","0","1","0","0","76","0","0","1","0","0","2","13","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","2","17","0","1","0","0","0","0","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","32","264","150","0","0","0","0","0","5","0","19","0","0","0","22","1","1","0","0","0","0","0","0","0","3","0","0","0","1","2","0","0","0","0","0","0","16","0","2","0","0","0","1","233","64"
"4605","7913","TAY22_0610","8","0","116","2","1","893","30","1","2","38","6","19","1","0","0","0","0","0","26","0","20","1","0","3","4","1","63","0","24","0","0","0","1","0","1","1","0","60","0","0","9","0","0","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","9","1","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","4","1","107","990","699","0","0","0","0","0","15","0","1","0","0","0","15","5","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","2","0","0","0","19","0","0","0","0","0","0","518","433"
"4715","7970","TAY22_0621","1","3","0","2","0","749","20","0","0","26","6","20","0","0","0","0","0","0","25","0","9","1","0","0","0","1","48","0","22","0","0","0","1","0","0","0","0","27","1","0","9","0","0","0","53","1","3","1","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","3","174","1718","551","0","0","0","1","0","10","0","5","1","1","0","3","3","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","15","0","0","0","0","0","0","1030","233"
"4875","8088","TAY22_0637","4","0","272","2","0","795","12","0","2","31","0","15","0","0","0","0","0","0","14","0","5","0","0","0","1","2","15","0","19","0","0","0","2","0","2","0","0","11","0","0","6","0","0","0","62","0","0","1","2","0","0","0","0","0","0","0","0","92","4","1","0","5","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","9","100","1147","730","0","0","0","0","0","7","1","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1219","250"
"4945","8142","TAY22_0644","0","0","2204","3","0","689","17","0","3","17","1","10","0","0","1","0","0","0","10","0","2","0","0","0","0","0","9","0","11","0","0","0","0","0","0","0","0","24","0","0","3","0","0","0","25","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","82","935","502","0","0","0","0","0","7","0","0","0","0","0","2","8","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","444","240"
"5045","8211","TAY22_0654","0","0","6641","0","0","1147","10","0","11","54","3","19","0","0","0","0","1","0","39","0","2","3","1","0","0","1","7","0","14","0","0","0","1","0","1","0","1","77","0","0","1","0","0","2","26","0","1","0","4","0","0","0","0","0","0","0","0","120","0","0","1","17","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","2","0","0","0","0","0","0","0","0","1","0","2","90","582","315","0","0","0","0","0","5","0","37","0","0","2","2","17","1","0","1","0","0","0","0","0","3","0","0","0","6","1","0","0","0","0","0","0","11","1","9","0","0","0","0","1626","57"
"5065","8221","TAY22_0656","0","0","6953","0","0","1460","9","0","6","28","0","19","0","0","0","0","0","0","32","2","4","1","1","0","2","1","2","0","22","0","0","0","1","0","1","1","0","170","0","0","0","0","0","0","13","0","0","0","3","0","0","0","0","0","0","1","0","227","0","0","0","10","1","0","1","0","0","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","1","0","1","0","0","0","2","0","63","757","407","0","0","0","0","0","4","1","33","0","0","0","3","13","0","0","1","2","0","0","0","0","2","0","0","0","5","3","0","0","0","0","0","0","23","0","6","0","0","0","3","1259","100"
"5095","8238","TAY22_0659","1","0","435","1","0","747","3","0","2","17","0","10","0","0","0","1","0","0","17","0","5","0","0","0","2","0","2","0","9","0","1","0","0","0","0","0","0","80","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","220","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","2","26","591","318","0","0","0","0","0","2","0","10","0","0","0","0","8","0","0","1","0","0","1","0","0","0","1","0","1","2","1","0","0","0","0","0","0","9","0","1","0","0","0","0","960","40"
"5135","8261","TAY22_0663","1","0","1266","0","0","555","13","0","1","3","1","12","0","0","0","0","0","0","22","0","2","0","0","0","1","1","3","0","18","0","0","0","0","0","1","0","0","45","0","0","2","0","0","0","36","1","0","1","0","0","0","0","0","0","1","0","0","54","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","16","67","439","380","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","528","218"
"5145","8267","TAY22_0664","0","0","7711","2","0","1021","7","1","1","28","2","27","0","0","1","0","0","0","52","0","1","2","0","0","0","1","5","0","27","0","0","0","4","0","0","0","0","168","0","0","0","0","0","0","36","1","0","0","0","0","1","0","0","0","0","0","0","135","1","0","0","7","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","0","0","1","1","10","151","1065","693","0","0","0","0","0","13","1","6","0","0","0","4","9","0","0","2","2","0","0","0","0","1","0","0","0","2","0","0","0","1","0","1","0","42","0","1","0","0","0","1","1042","305"
"5185","8292","TAY22_0668","1","0","7315","0","0","770","8","0","1","9","1","11","0","0","0","0","0","0","24","0","2","0","0","0","1","2","2","0","21","0","0","0","1","0","2","0","0","81","0","0","1","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","98","1","1","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","50","825","486","0","0","0","0","0","11","2","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","3","0","0","0","1","0","0","0","19","0","0","0","0","0","0","863","275"
"5215","8309","TAY22_0671","3","0","2486","0","0","1073","8","0","6","9","1","23","0","1","0","0","0","0","23","0","1","0","0","0","0","0","8","0","20","0","0","0","1","0","2","0","0","51","0","0","2","2","0","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","2","79","690","435","0","0","0","0","0","3","0","1","0","0","0","1","8","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","6","0","0","0","0","0","0","831","159"
"5325","8375","TAY22_0714","0","0","1808","1","0","492","20","0","0","26","0","19","0","0","0","0","0","0","34","1","9","0","0","0","0","1","24","0","21","0","0","0","0","0","1","0","0","51","0","0","1","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","84","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","3","163","358","266","0","0","0","0","0","10","0","2","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","16","0","1","0","0","0","1","3312","181"
"5365","8398","TAY22_0718","2","0","728","0","0","709","38","0","0","46","2","18","0","0","1","0","0","0","76","0","18","0","0","1","2","2","30","0","19","1","1","0","3","0","0","2","0","64","0","0","1","0","1","0","125","0","1","0","0","0","0","0","0","0","0","0","0","135","1","0","0","6","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","2","0","0","3","9","131","625","470","0","0","0","0","0","18","1","1","1","0","0","7","0","0","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","17","0","0","0","0","0","0","6185","427"
"5395","8415","TAY22_0721","11","0","8413","2","0","1118","79","0","10","113","1","30","0","0","1","0","0","0","85","0","15","2","0","1","4","4","30","0","29","0","0","0","3","0","0","0","0","128","0","0","0","0","1","0","185","0","1","0","4","0","0","0","1","0","0","1","0","143","3","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","2","11","236","694","392","0","0","0","0","0","24","0","8","1","0","0","11","0","0","0","4","2","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","107","0","1","0","0","0","1","4656","289"
"5525","8488","TAY22_0734","0","0","2144","0","0","476","4","0","4","10","0","8","0","0","1","0","0","0","21","0","5","1","0","0","0","0","3","0","6","0","1","0","1","0","0","0","0","49","0","0","1","0","0","0","35","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","8","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","60","440","247","0","0","0","0","0","1","0","12","0","0","0","4","2","2","0","2","0","0","0","0","1","0","0","2","0","1","0","0","0","1","0","0","0","32","0","6","0","0","0","1","567","87"
"5615","8539","TAY22_0743","0","0","153","1","0","1223","3","0","10","10","0","12","0","0","0","0","0","1","25","0","1","5","4","0","0","1","3","0","6","0","0","0","0","0","0","0","0","127","0","0","0","0","0","1","26","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","1","64","1346","250","0","0","0","0","0","0","0","36","0","0","0","2","39","0","0","2","0","0","0","0","1","0","0","0","0","2","0","0","0","2","0","0","0","86","0","0","0","0","0","1","756","69"
"5675","8583","TAY22_0749","1","0","413","0","0","368","9","0","1","2","2","7","0","0","0","0","0","0","14","0","2","0","0","0","0","0","5","0","16","0","0","0","0","0","0","0","0","70","0","0","0","0","0","0","68","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","117","461","295","0","0","0","0","0","4","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","1","475","135"
"5715","8621","TAY22_0753","3","0","2358","1","0","833","28","0","0","17","1","21","0","0","0","0","0","0","48","0","2","1","1","0","0","2","33","0","47","0","0","0","0","0","1","0","0","34","0","0","0","1","0","0","161","2","1","0","1","0","0","0","0","0","0","0","0","0","5","0","0","7","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","0","0","5","2","11","126","1205","454","0","0","0","0","0","2","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","7","37","0","0","0","0","0","1","1848","592"
"5795","8707","TAY22_0760","0","0","6426","0","0","370","3","0","0","3","0","10","0","0","0","0","0","1","16","0","2","0","1","0","0","0","8","0","14","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","44","504","348","0","0","0","0","0","2","0","0","0","0","0","1","17","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","390","137"
"5825","8741","TAY22_0763","0","0","252","1","0","1404","4","0","1","24","0","13","1","0","0","0","0","0","43","0","0","5","5","0","0","1","4","0","4","3","0","0","0","0","1","0","1","44","0","0","0","0","0","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","66","774","321","1","1","0","0","0","0","0","22","0","0","3","3","36","2","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","14","0","1","0","0","0","2","312","35"
"5895","8814","TAY22_0770","0","0","2697","2","0","672","2","0","2","10","0","6","0","0","0","0","0","1","11","0","0","0","8","0","0","1","4","0","9","0","0","0","1","0","0","0","0","12","0","0","0","0","0","0","11","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","1","26","246","138","0","0","0","0","0","1","0","17","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","0","0","347","26"
"6015","8914","TAY22_0843","0","0","1049","0","0","753","11","0","3","15","0","14","0","0","0","0","0","0","32","0","3","2","0","0","0","0","13","0","14","0","0","0","1","0","1","1","0","16","0","0","1","0","0","0","26","0","0","0","3","0","0","0","0","0","0","0","0","16","0","0","0","5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","74","226","146","0","0","0","0","0","0","0","2","0","0","2","3","10","0","0","2","1","0","0","0","0","6","0","0","0","8","0","0","0","1","0","0","1","6","0","0","0","0","0","1","2180","94"
" 610","8983","TAY22_0850","2","0","990","0","0","659","11","0","0","2","2","6","0","0","0","0","0","0","11","0","3","0","0","1","1","0","19","0","47","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","39","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","338","217","0","0","0","0","0","0","1","1","0","0","1","2","53","0","3","1","1","0","3","0","0","0","0","0","0","1","0","0","0","1","0","0","1","2","0","0","0","0","0","0","296","249"
"6195","9070","TAY22_0856","0","0","1062","0","0","1219","6","0","8","14","0","10","0","0","0","0","0","0","19","0","3","2","0","0","0","5","15","0","15","0","1","0","2","0","1","0","0","71","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","1","10","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","2","5","63","478","257","0","1","0","0","0","2","0","2","0","0","0","0","33","0","0","1","0","0","0","0","0","2","0","0","0","9","1","0","0","1","0","0","0","31","0","0","1","0","0","1","5175","109"
"6295","9169","TAY22_0865","1","0","1212","0","0","529","3","0","2","2","1","2","0","0","0","0","0","0","5","0","2","0","0","0","1","0","3","0","4","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","23","158","79","0","0","0","1","0","0","0","0","0","0","0","0","183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","10","0","0","0","0","0","0","887","148"
