"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Berberis t.","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fraxinus","Galium t.","Geranium","HippophaÃ«","Humulus","Hypericum undif.","Juglans","Lamiaceae undif.","Linum t.","Malva","Myrtus","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Primula","Quercus deciduous","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Spergularia t.","Thymelaeaceae undif.","Tilia","Ulmus t.","Urtica t.","Valeriana t.","Viola"
"7716.0","8188.0","7292.0"," 264.0","   7.5","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","  14.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 123.0","   0.0","   0.0","  22.0","   2.0","   1.0","  94.0","   5.0","   1.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0"
"7769","8271","7333"," 268","   6","   0","   0","   4","   0","   2","   5","   0","  27","   0","   0","   0","   0","   1","   0","   0","   0","   5","   1","   3","   0","   0","   0","   0","   0","  20","   0","   0","   0","   1","   3","   3","   0","   1","   5","   0","   0","   0","   0","   1"," 211","   0","   0","  30","   6","   1"," 126","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   1"
"7808.0","8337.0","7364.0"," 271.0","  12.0","   0.0","   0.0","   1.0","   0.0","   1.0","   3.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   7.0","   0.0","   4.0","   1.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   6.0","   2.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 108.5","   0.0","   1.0","  10.0","   0.0","   0.0","  98.0","   1.0","   0.0","   3.0","   1.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0"
"7861","8438","7399"," 275","   7","   0","   0","   0","   1","   0","   5","   0","   8","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0"," 156","   0","   0","  20","   0","   0","  83","   2","   0","   0","   1","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"7900.0","8501.0","7425.0"," 278.0","   9.5","   0.0","   0.0","   5.0","   1.0","   0.0","   4.0","   0.0","  23.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   1.0","   1.0","   0.0","   2.0","   1.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 376.0","   0.0","   0.0","  24.0","   1.0","   0.0"," 174.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   3.0","   1.0","   1.0","   0.0","   1.0","   0.0","   1.0","   1.0","   2.0","   0.0","   0.0"
"7939.0","8545.0","7449.0"," 281.0","  18.5","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 267.0","   1.0","   0.0","  16.0","   0.0","   0.0"," 110.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0"
"7992.0","8623.0","7480.0"," 285.0","  16.5","   2.0","   1.0","   7.0","   2.0","   1.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   3.0","   0.0","   0.0","   2.0","   0.0","   0.0","  22.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 240.0","   1.0","   2.0","  20.0","   4.0","   4.0","  77.0","  11.0","   1.0","   6.0","   3.0","   0.0","   0.0","   0.0","   1.0","   7.0","   2.0","   0.0","   3.0","   0.0","   1.0","   2.0","   3.0","   1.0","   0.0"
"8031.0","8682.0","7503.0"," 288.0","  32.5","   0.0","   0.0","   2.0","   2.0","   3.0","   3.0","   1.0","  16.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   2.0","   0.0","   0.0"," 301.0","   1.0","   0.0","  42.0","   3.0","   6.0"," 162.0","  10.0","   1.0","   7.0","   0.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   5.0","   1.0","   0.0","   2.0","   1.0","   0.0","   0.0"
"8070","8894","7526"," 291","  40","   0","   0","   4","   0","   3","   0","   0","   9","   0","   2","   0","   0","   0","   0","   0","   0","   5","   2","   6","   0","   0","   0","   0","   1","   2","   0","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0"," 343","   8","   1","  43","   9","   1"," 106","   6","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   7","   1","   0","   0"
"8123","8811","7556"," 295","  86","   4","   0","   5","   1","   1","   2","   0","   8","   0","   4","   0","   0","   0","   0","   0","   1","   5","   3","   2","   0","   0","   1","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0"," 883","   0","   0","  33","   8","   8"," 119","  11","   0","   3","   2","   0","   0","   0","   0","   6","   0","   0","   4","   0","   1","   6","   0","   0","   0"
"8162","8869","7581"," 298","  56","   6","   0","   7","   0","   1","   2","   0","   7","   0","   3","   0","   2","   0","   0","   0","   0","  29","   0","   5","   0","   1","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0"," 594","   0","   1","  44","   2","   6"," 406","   9","   0","   4","   2","   0","   0","   0","  17","   7","   0","   0","  28","   0","   4","   6","   0","   2","   0"
"8254.0","9007.0","7639.0"," 305.0","  30.5","   0.0","   0.0","   4.0","   0.0","   0.0","   9.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 285.0","  10.0","   1.0","  46.0","   0.0","   3.0"," 286.0","  13.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","  61.0","   2.0","   0.0","   0.0","   3.0","   0.0","   5.0","   6.0","   0.0","   0.0","   0.0"
"8333.0","9122.0","7684.0"," 311.0","  32.5","   2.0","   0.0","   2.0","   1.0","   0.0","   6.0","   0.0","   3.0","   0.0","   2.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0"," 300.5","   0.0","   0.0","  31.0","   0.0","   4.0"," 276.0","  10.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  62.0","   3.0","   0.0","   0.0","   4.0","   0.0","   0.0","   7.0","   0.0","   1.0","   0.0"
"8490.0","9364.0","7786.0"," 323.0","  20.5","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   5.0","   0.0","   0.0","   0.0","   3.0","   8.0","   0.0","   0.0","   0.0","   2.0","   0.0","   4.0","   0.0","   1.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 284.0","   2.0","   0.0","  40.0","   1.0","   3.0"," 295.0","   8.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","  55.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   7.0","   0.0","   0.0","   0.0"
"8713.0","9723.0","7931.0"," 340.0","   2.5","   0.0","   0.0","   0.0","  23.0","   2.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   4.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 239.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"8845","9961","8007"," 350","   5","   0","   0","   0","   2","   0","   5","   0","   0","   0","   0","   0","   9","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"," 247","   0","   1","  25","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
" 9238","10475"," 8220","  380","   20","    4","    2","    0","    0","    0","    1","    0","    9","    0","    1","    0","    8","    6","    1","    2","    1","    2","    0","    0","    1","    0","    0","    0","    3","   11","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    2","    0","  302","    0","    0","   25","   11","    0","  173","    4","    0","    3","    5","    0","    0","    0","   18","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0"
"10157","11799"," 8778","  450","    2","    0","    0","    0","   20","    5","   16","    0","    0","    0","    0","    0","    7","    4","    2","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","  195","    0","    1","   40","    0","    0","    0","    2","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0","    0"
"10288","11993"," 8858","  460","    2","    0","    0","    0","   21","   12","   17","    0","    0","    0","    1","    0","    9","    2","    1","    1","    0","    0","    0","    0","    2","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  177","    0","    0","   40","    1","    0","    8","    5","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0"
"10419","12187"," 8938","  470","    1","    0","    0","    0","   24","    0","   30","    0","    0","    0","    4","    0","    9","    2","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  209","    0","    0","   19","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"10550","12383"," 9019","  480","    1","    0","    0","    0","   16","   14","   17","    0","    0","    0","    0","    0","    9","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","  185","    0","    1","   39","    0","    0","    5","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"10721.0","12636.0"," 9121.0","  493.0","    0.5","    0.0","    0.0","    0.0","   45.0","   58.0","   20.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    1.0","    2.0","    0.0","    1.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    0.0","    0.0","   70.5","    0.0","    4.0","  186.0","    2.0","    0.0","    3.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"10813.0","12773.0"," 9176.0","  500.0","    0.0","    0.0","    0.0","    0.0","   22.0","   26.0","   21.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    9.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   54.5","    2.0","    0.0","  179.0","    0.0","    0.0","    2.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"10905.0","12910.0"," 9231.0","  507.0","    0.0","    0.0","    1.0","    0.0","   42.0","   35.0","   45.0","    0.0","    1.0","    0.0","    2.0","    0.0","   10.0","    4.0","    5.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  132.5","    0.0","    3.0","  173.0","    0.0","    0.0","   15.0","    0.0","    3.0","    2.0","    1.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"11010","13065"," 9293","  515","    0","    0","    0","    1","   43","   15","   16","    0","    0","    0","    2","    0","    5","    3","    0","    0","    0","    0","    1","    0","    2","    3","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","  100","    0","    1","   87","    0","    0","   12","    3","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0"
"11075","13163"," 9333","  520","    0","    0","    1","    0","   44","   19","   21","    0","    0","    0","    1","    0","    6","    2","    7","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","   99","    0","    4","  154","    3","    2","    5","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    2","    0","    3","    0"
"11298","13494"," 9464","  537","    0","    0","    0","    1","   24","   15","   48","    0","    0","    0","    0","    0","    0","    0","   10","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   33","    0","    0","  171","    0","    0","    1","    6","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0"
"11469","13747"," 9564","  550","    0","    0","    0","    6","   46","    7","   40","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   46","    0","    6","  145","    0","    0","    7","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
