"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echium t.","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Genisteae","Gentiana t.","Geranium","Hedera","Humulus","Hypecoum","Hypericum undif.","Ilex","Juncaceae","Lamiaceae undif.","Linum t.","Lonicera","Lotus t.","Lycopodium spike","Lycopodium tablets","Menyanthes","Myriophyllum spicatum/verticillatum t.","Olea t.","Onagraceae","Paronychieae","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Populus","Portulacaceae t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Thesium","Thymelaeaceae undif.","Typha","Unknown","Urtica t.","Valeriana","Valerianella","Viburnum","Viscum","Vitis"
"  704",NA,NA," 21","0.8","0","3","0","0","1","0","1","0","1","331","0","0","0","15","0","0","0","0","0","0","4","0","0","0","0","4","0","0","0","70","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","0","0","2","0","0","0","0","1","0","2","0","1","16","0","799412.56","1","0","0","1","19","6","0","0","0","1","3","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0"
"  777",NA,NA," 22","0.5","0","2","0","1","1","0","1","0","0","249","0","1","0","28","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","68","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","3","1","0","0","0","0","0","0","1","0","3","0","0","31","1","721577.06","0","0","0","2","26","10","0","0","0","4","2","0","0","1","0","0","0","1","0","10","0","0","0","0","0","0"
"  849",NA,NA," 23","0.6","1","0","0","2","3","0","1","0","0","242","0","0","0","20","2","0","0","0","0","0","1","0","0","0","0","7","0","0","0","106","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","4","0","0","37","0","683761","0","0","0","1","22","5","0","0","0","2","2","0","0","1","0","0","0","0","0","7","0","0","0","1","0","0"
"  922",NA,NA," 24","0.5","1","0","0","0","0","0","0","0","0","327","0","0","0","15","4","0","1","0","0","0","2","0","0","0","0","4","0","0","0","115","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","2","0","2","0","1","28","0","908547.94","1","0","0","0","20","8","1","1","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0"
"  995",NA,NA," 25","0.6","0","1","0","0","1","0","0","0","0","241","0","0","0","8","0","0","1","0","0","0","3","0","0","0","0","3","0","0","0","92","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","4","0","2","0","0","19","0","566702.19","0","0","0","0","16","2","0","0","1","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
" 1068",NA,NA," 26","0.5","1","1","0","0","0","0","1","0","0","229","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","102","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","5","0","0","0","0","52","3","323655.94","1","0","0","1","16","2","0","0","0","2","4","0","0","1","0","0","0","0","0","22","0","0","0","0","0","0"
" 1141",NA,NA," 27","0.6","2","1","0","0","0","0","0","0","0","157","0","1","0","6","0","2","0","0","0","0","0","0","0","0","0","19","0","0","0","155","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","1","0","0","1","0","3","0","0","0","0","0","0","0","4","0","3","0","0","68","0","561077","0","0","0","4","22","4","0","1","0","1","6","0","0","1","0","0","0","0","0","23","0","0","0","0","0","0"
" 1213",NA,NA," 28","0.5","2","0","0","2","0","1","1","0","0","178","0","1","0","13","0","0","2","0","0","0","2","0","0","0","0","9","0","0","0","131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","2","0","2","0","3","75","0","395962.72","0","0","0","2","12","0","0","0","0","1","14","0","0","0","0","0","0","0","0","13","1","0","0","0","0","0"
" 1286",NA,NA," 29","0.6","1","0","0","3","1","0","1","0","0","264","0","0","0","3","0","0","1","0","0","0","1","0","0","0","0","14","0","0","0","131","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","3","0","0","58","0","1054917.5","0","0","0","1","22","3","1","0","0","1","5","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0"
" 1359",NA,NA," 30","0.5","0","1","0","0","0","0","0","0","1","263","0","1","0","3","0","0","0","0","0","0","1","0","1","0","0","12","0","0","1","78","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","3","0","1","58","1","433228.28","2","0","0","0","29","8","0","0","0","1","1","0","0","5","0","0","0","0","0","15","0","0","0","0","0","0"
