"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fern","Hedera","Hypericum undif.","Juglans","Lamiaceae undif.","Malva undif.","Morus","Musci","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (>40 Âµm)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sarcopoterium","Scrophulariaceae undif.","Typha","Ulmus t.","Unknown","Unknown (monolete) undiff.","Urtica t."
"566",NA,NA,"190","  0","  0","  1","  1","  5","  0","  0","  6","  0","  0","  5","  0","  0","  1","  0","  2"," 10","  1","  0","286","  0","  0"," 97","  0","  3","  0","388","  0","  0","  0","  1","  0","  0","  4","  4","  0","  0","  1","  4","  0","  0","  0"," 63","  0","  0","  0"," 24","  5","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","  0","  0","  0"," 54","  0"
"582",NA,NA,"195","  0","  0","  0","  3","  1","  6","  0","  1","  0","  0","  2","  0","  0","  4","  0","  3"," 17","  0","  0","264","  0","  0","151","  0","  6","  0","454","  0","  1","  1","  2","  0","  0"," 18"," 10","  0","  4","  2","  6","  1","  2","  6"," 54","  0","  0","  0"," 27"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 52","  0"
"598",NA,NA,"200","  0","  0","  0","  2","  2"," 19","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  7","  0","  2","242","  0","  0","135","  0","  3","  0","345","  0","  0","  0","  2","  0","  1"," 23","  2","  0","  0","  3","  9","  0","  6","  0"," 71","  0","  0","  0"," 34","  9","  1","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0"," 32","  0"
"614",NA,NA,"205","  0","  0","  5","  9","  7","  7","  0","  6","  0","  0","  8","  0","  0","  4","  0","  0","  8","  0","  0","258","  0","  0","103","  0","  0","  0","367","  0","  0","  0","  0","  0","  0","  5","  6","  0","  0","  0","  4","  0","  3"," 12"," 81","  0","  0","  0"," 24","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 42","  0"
"629",NA,NA,"210","  0","  0","  0","  0","  9","  3","  0","  3","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","  0","280","  0","  0","101","  0","  4","  0","376","  0","  0","  0","  3","  0","  0","  7","  4","  0","  0","  0","  2","  0","  2"," 18"," 87","  0","  0","  0"," 28"," 17","  3","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0"," 53","  0"
"645",NA,NA,"215","  0","  0","  0","  1","  1","  6","  1","  5","  0","  0","  2","  0","  0","  1","  0"," 10"," 11","  0","  0","241","  0","  0","123","  0","  8","  0","377","  0","  0","  0","  2","  0","  0","  3","  3","  0","  2","  1","  9","  1","  2"," 13"," 47","  0","  0","  0"," 62"," 15","  0","  0","  0","  0","  0","  1","  0","  0"," 11","  0","  1","  0","  0"," 56","  0"
"661",NA,NA,"220","  0","  0","  0","  0","  4","  6","  0","  2","  0","  0","  4","  0","  0","  2","  1","  4","  6","  2","  0","138","  0","  0"," 98","  0","  7","  0","287","  0","  0","  0","  4","  0","  0","  2","  5","  0","  0","  0","  2","  1","  2"," 31"," 23","  0","  0","  0"," 80"," 52","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  2","  0"," 75","  0"
"677",NA,NA,"225","  0","  0","  0","  0","  0","  9","  0","  0","  0","  1"," 16","  0","  0","  6","  0","  7","  0","  3","  1","212","  0","  0","144","  0"," 12","  0","318","  0","  0","  0","  5","  0","  0","  7","  3","  1","  0","  0","  3","  1","  3"," 16"," 75","  0","  0","  0"," 57"," 22","  4","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0"," 55","  0"
"693",NA,NA,"230","  0","  1","  0","  0","  1","  3","  0","  6","  0","  0","  0","  0","  0","  0","  0","  2"," 13","  0","  1","192","  0","  0","100","  0","  4","  0","279","  0","  0","  0","  0","  0","  0","  3","  9","  1","  0","  0","  9","  0","  1"," 23"," 34","  1","  0","  0","108"," 25","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 46","  0"
"709",NA,NA,"235","  0","  0","  0","  0","  2","  5","  1","  2","  0","  0","  2","  0","  0","  1","  0","  6"," 10","  0","  0","241","  0","  0"," 84","  0","  6","  0","346","  0","  1","  0","  1","  0","  0","  0","  5","  0","  0","  0","  3","  1","  2"," 25"," 28","  0","  0","  0"," 77"," 31","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0"," 49","  0"
