"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acanthus","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Asphodelus t.","Asteroideae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cistaceae","Convolvulaceae","Corylus","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fraxinus","Hypericum undif.","Indeterminable","Lamiaceae undif.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Persicaria t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Salix","Sambucus","Thymelaeaceae undif.","Typha","Unknown","Valerianaceae undif.","Viburnum"
"3944",NA,NA," 470","   0","   2","   4","  32","   0","   0","   4","   0","   3","   2","   2","   0","   2","   2","   4","   6","   4","   2","  12","   0","   0","   8","   0","   0","   6","   0","   0","   0","   0","   8","  24","   0"," 138","  12","  26","  14","   1","   0","   2","   6","   0","   0"
"3963",NA,NA," 475","   0","   1","   4","  48","   1","   0","   1","   0","   0","   0","   2","   0","   2","   2","   0","  26","   4","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  36","   0"," 145","  12","  25","   4","   4","   0","   8","   4","   0","   0"
"3982",NA,NA," 480","   0","   0","   2","  27","   0","   1","   4","   0","   2","   0","   5","   0","   0","   0","   0","  13","  12","   0","   8","   1","   0","   0","   3","   2","   3","   0","   0","   0","   0","   0","   6","   0"," 149","   5","  13","   0","   0","   0","   5","   1","   0","   1"
"4001",NA,NA," 485","   0","   0","   2"," 113","   0","   0","   4","   3","   1","   0","   5","   0","   2","   0","   1","  22","  19","   3","   9","   4","   0","   0","   6","   3","   4","   0","   0","   1","   0","   0","   9","   0"," 159","   3","  21","   8","  10","   0","   6","   2","   0","   0"
"4020",NA,NA," 490","   0","   1","   8","  80","   0","   1","  10","   4","   0","   0","   4","   0","   0","   1","   0","  21","  10","   7","   5","   1","   1","   2","   3","   8","   1","   0","   0","   0","   0","   2","   9","   0"," 130","   6","  16","   3","   6","   0","   7","   2","   0","   1"
"4039",NA,NA," 495","   0","   0","   1","  44","   0","   0","   2","   4","   0","   0","   2","   0","   2","   0","   2","  18","   6","   3","   5","   7","   0","   1","   4","  10","   3","   0","   0","   0","   0","   1","  24","   0"," 120","   8","  17","   2","   2","   0","   2","   8","   0","   2"
"4058",NA,NA," 500","   0","   1","   9","  82","   0","   0","  10","   2","   0","   1","  18","   0","   3","   1","   0","  40","  17","  11","  10","   0","   2","   4","   0","  26","  10","   0","   0","   0","   0","   4","  25","   0"," 125","  31","  38","  16","  13","   0","   4","   6","   0","   0"
"4077",NA,NA," 505","   0","   2","  12","  28","   0","   0","  14","   0","   0","   0","   4","   0","   2","   0","   0","  87","   2","   8","   3","   0","   0","   4","   8","  20","   2","   0","   0","   2","   0","   4","  28","   0","  82","   6","   9","  14","   6","   0","  14","   6","   0","   2"
"4096",NA,NA," 510","   0","   3","   1","  17","   0","   0","   9","   0","   0","   1","   3","   0","   1","   2","   2","  32","   5","   5","   6","   0","   0","   2","   1","   3","   6","   0","   0","   2","   0","   2","  16","   0","  93","   9","   5","   3","   2","   0","   7","  13","   0","   0"
"4115",NA,NA," 515","   0","   1","   4","  60","   0","   1","   6","   3","   2","   0","   3","   0","   0","   1","   1","  41","   5","   2","   9","   5","   0","   2","   5","   5","   7","   0","   2","   1","   3","   2","   8","   0"," 159","   5","  20","   2","  15","   0","   2","   8","   0","   2"
"4134",NA,NA," 520","   0","   2","   0","  22","   0","   0","  10","   0","   0","   0","  12","   0","   0","   0","   0","  20","  22","   6","   8","   8","   2","   2","   0","  14","   4","   0","   0","   2","   1","   2","  10","   0"," 130","   6","   4","   0","   8","   0","   2","   6","   0","   0"
"4153",NA,NA," 525","   0","   1","   6","  25","   0","   2","   8","   2","   0","   0","   7","   0","   1","   1","   0","  41","   3","   4","   7","   7","   0","   2","  11","   9","   1","   0","   1","   0","   2","   2","   7","   0","  80","   3","   6","   1","   5","   0","   3","   4","   0","   3"
"4172",NA,NA," 530","   0","   4","   6","  37","   0","   0","   7","   0","   0","   0","   3","   0","   1","   0","   0","  54","   2","   0","   7","   1","   0","   2","  10","   2","   3","   0","   0","   0","   0","   2","   8","   0"," 109","  16","  11","   1","   4","   0","   6","   1","   0","   1"
"4191",NA,NA," 535","   0","   5","   3","  36","   0","   0","  11","   1","   0","   0","   2","   0","   2","   0","   0","  23","   5","   1","   8","   2","   0","   1","   9","   3","   3","   0","   2","   1","   3","   1","   2","   0"," 100","   9","  15","   1","   3","   0","   5","   2","   0","   2"
"4210",NA,NA," 540","   0","   3","   6","  25","   0","   0","   9","   3","   0","   0","   3","   0","   3","  10","   0","  10","  15","   6","   5","  10","   0","   0","  24","  12","   0","   0","   0","   4","   0","   0","  18","   0","  75","  15","   6","   0","   9","   0","  27","  39","   0","   0"
"4229",NA,NA," 545","   0","   0","   2","  43","   0","   0","   6","   0","   0","   0","   0","   0","   2","  20","   0","  15","  10","   2","   3","  23","   0","   2","  36","   5","   1","   0","   0","   2","   0","   2","  24","   0"," 151","   9","  12","   0","   2","   0","  40","  50","   0","   2"
"4248",NA,NA," 550","   0","   2","   4","  58","   0","   3","  12","   4","   0","   0","   5","   0","   0","  23","   1","  57","  22","  13","   6","  35","   0","   1","  21","  13","   4","   0","   0","   2","   0","   1","  16","   0"," 117","  10","  25","  10","   4","   4","  31","  36","   0","   0"
"4267",NA,NA," 555","   0","   0","   1","  55","   0","   2","   3","   3","   0","   0","   5","   0","   2","  32","   0","  20","  19","   2","   1","  30","   0","   0","  20","   4","   0","   0","   0","   0","   0","   0","   9","   0"," 121","   6","  12","   0","   3","   2","  36","  60","   0","   0"
"4286",NA,NA," 560","   0","   1","   6","  35","   0","   0","   7","   1","   0","   0","   1","   0","   1","  18","   0","  36","  20","   4","   3","  31","   0","   1","  22","   3","   1","   0","   0","   0","   0","   1","   6","   0"," 144","   9","  13","   5","   3","   0","  34","  52","   0","   3"
"4305",NA,NA," 565","   0","   2","   3","  52","   0","   0","   4","   1","   0","   0","   5","   0","   0","  15","   0","  13","  12","   3","   4","  21","   1","   3","  16","   2","   2","   0","   0","   1","   0","   3","   7","   0"," 109","   3","  10","  10","   3","   0","  23","  40","   0","   2"
"4324",NA,NA," 570","   0","   1","   7","  30","   0","   0","  12","   3","   0","   0","   3","   0","   1","  12","   0","  23","  12","   4","   3","  16","   0","   2","  15","   3","   0","   0","   3","   0","   0","   2","  10","   0","  99","   2","  15","  69","   3","   0","  20","  36","   0","   2"
"4343",NA,NA," 575","   0","   0","   1","  73","   0","   0","   5","   0","   0","   0","   2","   0","   0","   9","   0","  22","   8","   3","   5","  14","   0","   0","  14","   3","   3","   0","   0","   4","   0","   0","  17","   0","  90","   2","   3","  64","   6","   0","  14","  33","   4","   2"
"4362",NA,NA," 580","   0","   2","   2","  60","   0","   0","   6","   2","   0","   0","   0","   0","   1","  10","   0","  20","  17","   0","   2","  12","   0","   2","  16","   8","   2","   0","   0","   0","   0","   2","  41","   0","  43","   3","   9","   4","   2","   0","  12","  74","   0","   0"
"4381",NA,NA," 585","   0","   1","   2","  46","   0","   0","   8","   5","   0","   0","   0","   0","   1","   9","   0","  19","  13","   1","   2","  15","   0","   6","  25","   2","   0","   0","   3","   0","   0","   6","  12","   0","  40","   3","   4","   3","   2","   0","  14","  49","   0","   1"
"4400",NA,NA," 590","   0","   0","   6","  63","   0","   0","   8","   2","   6","   0","   0","   0","   0","   6","   0","  23","   5","   3","   2","  15","   0","   1","  21","   4","   0","   0","   0","   0","   0","   1","  24","   0","  50","   9","   5","  12","   3","   0","  14","  36","   0","   2"
"4459",NA,NA," 605","   0","   2","   0","  60","   0","   0","   7","   0","   0","   0","   0","   0","   0","   2","   0","  19","  10","   2","   1","   0","   0","   0","  12","   0","   2","   0","   0","   0","   0","   2","  12","   0","  45","   3","  10","  10","   3","   0","  10","  25","   0","   2"
"4479",NA,NA," 610","   0","   1","   0","  59","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","  15","   9","   0","   1","   0","   0","   1","   9","   9","   0","   1","   0","   0","   0","   0","   9","   0","  42","   1","   4","  20","   1","   0","   9","  15","   0","   0"
"4498",NA,NA," 615","   0","   0","   3","  53","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","  12","  10","   0","   0","   0","   0","   1","   5","  11","   0","   0","   0","   0","   0","   0","  12","   0","  40","   1","   9","  21","   2","   0","   8","  18","   0","   0"
"4518",NA,NA," 620","   0","   0","   6","  13","   2","   0","  26","   0","   0","   3","   0","   0","   0","   0","   2","  30","   2","   2","   3","   2","   0","   0","   2","  13","   0","   0","   4","   0","   2","   0","  31","   0"," 115","   8","   7","  24","   2","   0","   6","   2","   0","   2"
"4558",NA,NA," 630","   0","   0","   2","  15","   0","   0","  12","   6","   0","   2","   1","   0","   0","   0","   1","  32","   4","   1","  10","   0","   0","   0","   2","  12","   0","   0","   0","   0","   0","   0","  23","   0"," 121","   9","   5","  15","   1","   0","   5","   3","   0","   0"
"4597",NA,NA," 640","   0","   0","   3","   9","   0","   0","   5","   9","   0","   3","   2","   0","   2","   5","   2","  39","   2","   6","  15","   1","   0","   0","   3","  18","   0","   0","   1","   0","   0","   0","  28","   0"," 159","  15","   9","  17","   2","   0","   5","   5","   0","   0"
"4637",NA,NA," 650","   0","   0","   2","  20","   0","   0","   7","   2","   0","   4","   0","   0","   0","   3","   0","  26","   1","   4","   6","   0","   0","   0","   2","  13","   0","   0","   0","   0","   0","   0","  23","   0"," 136","  12","  10","  14","   1","   0","   9","   4","   0","   0"
"4676",NA,NA," 660","   0","   0","   5","  21","   0","   0","  13","   5","   0","   3","   2","   0","   2","   2","   0","  72","   3","   7","   7","   4","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","  31","   0"," 135","  18","   9","  22","   0","   0","  14","   6","   0","   0"
"4716",NA,NA," 670","   0","   0","   3","  19","   0","   0","   6","   4","   0","   0","   0","   0","   0","   0","   0","  63","   2","   0","   3","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","  20","   0","  75","  10","  11","  13","   0","   0","   9","   2","   0","   0"
"4755",NA,NA," 680","   0","   1","   4","   9","   2","   0","   1","   3","   0","   4","   1","   0","   1","   0","   0","  29","   1","   0","   9","   5","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","  19","   0","  83","  11","  12","  28","   2","   0","  11","   1","   0","   0"
"4795",NA,NA," 690","   0","   0","   5","  11","   0","   0","   3","   2","   0","   5","   0","   4","   0","   0","   0","  42","   1","   0","   4","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","  18","   0","  63","  12","  10","  10","   0","   0","   9","   3","   0","   0"
"4834",NA,NA," 700","   0","   0","   7","   9","   1","   0","  13","   0","   0","   8","   1","   6","   1","   0","   0","  55","   0","   1","   3","   2","   0","   0","   2","  16","   0","   0","   0","   0","   0","   0","  25","   0","  82","  17","  14","   7","   0","   0","  10","   6","   0","   0"
"4913",NA,NA," 720","   0","   1","   2","  21","   0","   0","   7","   4","   0","   1","   2","   0","   1","   0","   0","  42","   0","   5","  18","   4","   0","  12","   4","  18","   0","  12","   0","   3","   1","   0","  18","   0"," 106","  16","  18","   8","   0","   2","   1","   4","   0","   0"
"4953",NA,NA," 730","   0","   0","   4","  19","   0","   0","   6","   1","   0","  10","   0","   0","   0","   0","   0","  20","   0","   2","   9","   0","   0","   9","   2","  12","   0","   9","   0","   0","   0","   0","   9","   0"," 123","  11","  26","   9","   0","   0","   2","   2","   0","   0"
"4992",NA,NA," 740","   0","   0","   6","  10","   0","   0","   2","   0","   0","  14","   0","   0","   4","   2","   0","  16","   0","   6","  10","   0","   0","  10","   0","  16","   0","  10","   0","   2","   0","   0","  10","   0"," 158","  14","  32","   8","   2","   0","   2","   4","   0","   0"
"5032",NA,NA," 750","   0","   1","   5","  12","   0","   0","   7","   0","   0","  10","   1","   0","   0","   0","   0","  19","   0","   2","   8","   0","   0","   9","   0","  14","   0","   6","   0","   0","   0","   0","   9","   0"," 162","  12","  29","  12","   1","   0","   2","   3","   0","   0"
"5071",NA,NA," 760","   0","   1","   3","  22","   2","   0","   8","   0","   0","   3","   2","   0","   0","   1","   0","  28","   0","   6","  12","   0","   0","  15","  11","   7","   0","  15","   0","   0","   0","   0","  12","   0"," 189","  10","  25","  19","   1","   0","   7","   1","   0","   0"
"5111",NA,NA," 770","   0","   0","   9","  16","   0","   0","   6","   3","   0","   4","   0","   0","   0","   0","   0","  18","   0","   0","   9","   0","   0","   9","   3","  10","   0","   4","   0","   0","   0","   0","  11","   0"," 123","   9","  19","  15","   0","   0","   6","   1","   0","   0"
"5131",NA,NA," 775","   0","   0","   3","   9","   0","   0","   5","   2","   0","   5","   0","   0","   0","   1","   0","  17","   0","   0","   8","   0","   0","   2","   0","  11","   0","   3","   0","   0","   0","   0","  16","   0"," 134","   6","  21","  12","   0","   0","   5","   1","   0","   0"
"5150",NA,NA," 780","   0","   0","   3","   7","   0","   0","   6","   6","   0","   3","   0","   0","   0","   2","   0","   7","   4","   0","  10","   0","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","  20","   0"," 133","  10","  29","   9","   0","   0","   9","   2","   0","   0"
"5190",NA,NA," 800","   0","   4","  12","  16","   0","   0","   6","   6","   0","   3","   0","   0","   0","   0","   0","   9","   0","   2","   4","   0","   0","   0","   3","  20","   4","   0","   0","   0","   0","   0","  12","   0"," 107","   9","  18","   8","   2","   0","   3","   2","   0","   0"
"5269",NA,NA," 820","   0","   0","   8","  16","   2","   0","   8","   0","   2","   5","   0","   0","   1","   0","   0","  20","   3","   6","   5","   3","   0","   0","   3","   7","   0","   0","   4","   0","   0","   0","  14","   0"," 163","  13","  39","  39","   5","   0","   9","   1","   0","   2"
"5348",NA,NA," 840","   0","   2","   0","  14","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   6","   0","   6","   0","   0","   0","   4","  10","   0","   0","   0","   0","   0","   0","  12","   0","  90","   8","  14","  62","   4","   0","  12","   2","   0","   0"
"5427",NA,NA," 860","   0","   2","   4","   4","   0","   0","   2","   0","   0","   6","   0","   0","   0","   2","   0","   7","   0","   3","   6","   0","   0","   0","   0","   5","   0","   0","   0","   3","   0","   0","  15","   0"," 144","   8","  30","  18","   6","   0","  10","   4","   0","   1"
"5506",NA,NA," 880","   0","   0","   6","   9","   0","   0","  24","   0","   0","   6","   0","   0","   2","   0","   0","   5","   2","   4","  10","   0","   0","   0","   6","   8","   0","   0","   0","   2","   0","   0","   9","   0"," 150","   9","  23","  70","   6","   0","  11","   6","   0","   0"
"5585",NA,NA," 900","   2","   1","   8","  23","   0","   0","   8","   0","   0","   0","   6","   0","   0","   1","   0","  10","   8","   5","  11","   0","   0","   0","   0","   6","   0","   0","   0","   2","   0","   0","   6","   0"," 195","  12","  16","  19","   3","   0","   2","   6","   0","   0"
