"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyclamen","Cyperaceae","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geraniaceae undif.","Hedera","Hypericum undif.","Indeterminable","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum undif.","Olea t.","Onagraceae","Osmunda regalis-type","Paeonia","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Spergularia t.","Styrax","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitex","Vitis"
"1010",NA,NA," 221","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   6","   0","   0","   1","   0","   3","   0","   0","   0","   1","   0","   1","   1","   2","   0"," 296","   0","   0","   0","   0"," 280","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0"," 217","   0","   5","   0","  17","   1","   1","   0","   0","   2","   0","   1","  18","  15","   0","   0","   0","   0","   0","   0","   2"," 144","   5","   0","   0","   1","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0","   0","   0"
"1049",NA,NA," 241","   1","   0","   5","   0","   0","   3","   0","   0","   0","   0","   4","   7","   0","   2","   0","   1","   1","   2","   0","   0","   6","   2","   0","   0","   0","   5","  15","   0","   1","   1","   0","   0"," 205","   0","   0","   0","   1"," 392","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   3","   1","   3","   0","   0","   0","   2","   0","   0","   1","   0"," 966","   0","   4","   0","   0","   0","   0","   0","   1","   3","   1","   8","  16","  10","   0","   0","   0","   0","   0","   0","   3","  50","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0"
"1087",NA,NA," 261","   0","   0","   7","   0","   0","   1","   0","   0","   0","   3","   1","   5","   1","   1","   0","   1","   1","   2","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   1","   0","   1","   0"," 441","   0","   0","   0","   1"," 267","   0","   3","   0","   0","  28","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0"," 754","   0","   8","   0","   2","   0","   0","   0","   0","   3","   0","   0","  10","  18","   0","   0","   0","   0","   0","   2","   2","  62","  17","   1","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1"
"1111",NA,NA," 273","   0","   0","  24","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   3","   0","   0","   0","   0","   0"," 617","   0","   0","   0","   0","  49","   1","   3","   0","   0"," 119","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   4","   0","   1","   0","   0","   0","   1","   2","   2","   2","   4","  45","   0","   0","   0","   0","   0","   0","   4"," 281","   1","   1","   1","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"1144",NA,NA," 289","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   1","   3","   0","   0","   0","   3","   0"," 245","   0","   0","   0","   0"," 155","   0","   1","   0","   0","  68","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  59","   0","   1","   0","   0","   0","   0","   2","   0","   3","   0","   2","  34","  19","   1","   0","   0","   0","   1","   2","   1"," 554","   3","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","  12","   0","   0","   0","   0","   0"
"1192",NA,NA," 309","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   2","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 343","   0","   0","   0","   0","  56","   0","   3","   0","   0","  15","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   1","   2","   0","   0","  22","  16","   0","   0","   0","   0","   0","   1","   0"," 521","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0"
"1248",NA,NA," 329","   0","   0","   0","   0","   1","   2","   0","   2","   0","   1","   0","   1","   0","   0","   0","   0","   2","   3","   0","   0","   3","   0","   9","   0","   0","   3","   2","   0","   0","   0","   0","   0"," 741","   0","   0","   0","   0"," 257","   0","   2","   0","   0","  20","   0","   0","   1","   0","   0","   0","   1","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   8","   0","   0","   0","   1","   0","   3","   3","   0","   1","  16","   6","   0","   0","   0","   0","   0","   0","   5"," 505","   5","   0","   1","   1","   0","   5","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1275",NA,NA," 339","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   1","   1","   0","   0","   0","   0","   1","  16","   0","   0","   0","   0","   0","   0","   0","   2","   0"," 320","   0","   0","   0","   0"," 118","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   1","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   1","   1","   1","   0","   0","  25","   4","   0","   0","   1","   0","   1","   0","   2"," 416","  13","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"1329",NA,NA," 359","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   9","   0","   1","   1","   0","   0","   0","   0","   2","   0","  25","   0","   0","   0","   0","  67","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   1","   0","   4","  18","   4","   0","   0","   0","   0","   0","   0","   0"," 604","   2","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1374",NA,NA," 373","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   2","   4","   0","   0","   1","   1","   0","  45","   0","   0","   0","   0"," 115","   1","   4","   0","   0","   7","   1","   0","   1","   3","   0","   0","   2","   0","   3","   0","   2","   0","   7","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   1","   1","   1","   0","  42","  10","   0","   0","   0","   0","   0","   0","   1","1552","   3","   1","   0","   0","   2","   8","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   1","   0","   0","   0","   2"
"1412",NA,NA," 385","   0","   0","   1","   0","   1","   1","   0","   0","   0","   1","   2","   1","   0","   2","   1","   0","   0","   1","   0","   0","   2","   0","  13","   0","   1","   5","   2","   0","   0","   0","   0","   0","  32","   0","   0","   0","   0"," 135","   0","   7","   0","   0","  10","   0","   0","   1","   1","   0","   0","   1","   0","   4","   0","   5","   0","   1","   0","   0","   0","   1","   2","   0","   9","   0","   1","   0","   0","   0","   1","   3","   1","   2","  56","  18","   3","   1","   0","   0","   0","   2","   7","2535","   3","   1","   0","   1","   8","  23","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2"
"1458",NA,NA," 401","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   3","   0","   4","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   9","   3","   0","   0","   0","   1","   0","  33","   0","   0","   1","   0","  76","   0","   1","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   2","   0","   2","   0","   0","   0","   0","   0","   1","  11","   0","   2","   0","   0","   1","   1","   1","   0","   2"," 162","  34","   1","   0","   0","   0","   0","   0","  16","1344","  65","   0","   0","   0","  34","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   8"
"1494",NA,NA," 415","   0","   0","   1","   0","   0","   1","   0","   0","   0","   3","   1","   0","   0","   4","   0","   2","   0","   1","   0","   0","   1","   0","   2","   0","   0","   3","  10","   0","   0","   2","   1","   0","  20","   0","   0","   0","   0"," 112","   0","   3","   0","   0","  19","   0","   0","   0","   0","   0","   0","   4","   2","   6","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","  11","   0","   3","   0","   0","   1","   1","   4","   0","   1"," 138","  28","   0","   0","   0","   0","   1","   1","   1","1176","   3","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15"
"1580",NA,NA," 443","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   4","   0","   2","   0","   0","   0","   2","   0","   0","   1","   1","   0","   0","   3","   3","   8","   0","   0","   4","   2","   0","  14","   0","   1","   0","   0"," 102","   0","   1","   0","   0","  21","   0","   0","   0","   0","   0","   1","   6","   0","   5","   0","   1","   0","   3","   0","   0","   0","   0","   1","   0","   7","   0","   3","   0","   0","   0","   1","   1","   0","   0"," 246","  19","   1","   0","   1","   0","   1","   2","   1"," 703","  22","   0","   0","   0","   2","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21"
"1618",NA,NA," 453","   0","   0","   1","   0","   1","   3","   0","   0","   0","   3","   2","   3","   0","   7","   0","   0","   0","   4","   0","   0","   1","   0","   1","   0","   0","   2","   9","   0","   0","   0","   0","   0"," 109","   0","   0","   0","   0"," 128","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0","   2","   0","  10","   3","   4","   0","   1","   0","   0","   0","   0","   0","   0","  14","   0","  22","   0","   0","   0","   1","   2","   0","   2"," 228","  18","   1","   0","   0","   0","   0","   0","   7"," 722","  12","   0","   0","   0","   5","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   6"
"1660",NA,NA," 463","   0","   0","   0","   0","   0","   1","   0","   0","   1","   5","   0","   1","   3","   9","   0","   0","   0","   3","   0","   0","   0","   3","   1","   0","   1","   8","  13","   0","   0","   0","   0","   0","  35","   0","   0","   0","   0"," 161","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   1","   0","   9","   2","   2","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","  14","   0","   0","   1","   1","   2","   1","   1","   6","  19","   0","   0","   0","   0","   0","   0","   2"," 679","   3","   1","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   1"
"1697",NA,NA," 471","   0","   0","   0","   0","   0","   3","   1","   0","   1","   2","   3","   2","   2","   6","   0","   0","   1","   1","   0","   0","   0","   2","   0","   0","   0","   4","  17","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0"," 178","   0","   1","   0","   0","  16","   0","   0","   0","   0","   1","   0","   3","   0","  12","   4","   1","   0","   0","   0","   0","   0","   0","   2","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   3","   5","  27","   0","   0","   0","   0","   0","   0","   1"," 310","   5","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   2","   0","   0","   0","   0","   1"
"1733",NA,NA," 479","   0","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","   1","   0","   2","   0","   0","   1","   6","   0","   0","   0","   2","   0","   0","   0","   6","  21","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0"," 341","   0","   4","   0","   0","  25","   0","   0","   0","   0","   0","   0","   1","   0","  14","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   2","   0","   0","   0","   1","   0","   1","   4","   8","  13","   0","   0","   0","   0","   0","   0","   0"," 473","   8","   0","   0","   1","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0"
"1769.0",NA,NA," 487.5","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   2.0","   1.0","   0.0","   6.0","   0.0","   0.0","   0.0","  13.0","   1.0","   1.0","   2.0","   3.0","   0.0","   0.0","   1.0","   8.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","  40.0","   1.0","   0.0","   1.0","   2.0"," 177.0","   0.0","   6.0","   0.0","   0.0","  46.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   7.0","   0.0","  10.0","   0.0","   0.0","   0.0","   4.0","   3.0","   0.0","   4.0","  19.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  19.0"," 515.0","  77.0","   0.0","   0.0","   1.0","   3.0","   3.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   6.0","   1.0","   0.0","   0.0","   0.0","   4.0"
"1807.0",NA,NA," 495.5","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   2.0","   0.0","   2.0","   1.0","   2.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   2.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","  75.0","   0.0","   0.0","   0.0","   0.0","  51.0","   0.0","   3.0","   0.0","   0.0"," 120.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   1.0","   9.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  31.0","   0.0","  89.0","   0.0","   0.0","   1.0","   3.0","   1.0","   0.0","   2.0","   8.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0"," 514.0","   4.0","   0.0","   0.0","   0.0","   3.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0"
"1848.0",NA,NA," 507.5","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","  15.0","   1.0","   0.0","   1.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","  58.0","   0.0","   0.0","   0.0","   1.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   1.0","   3.0","  35.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","1056.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"1889.0",NA,NA," 521.5","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   3.0","   3.0","   1.0","   1.0","   8.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   7.0","  11.0","   0.0","   0.0","   1.0","   3.0","   0.0","  67.0","   1.0","   0.0","   0.0","   1.0"," 138.0","   0.0","   3.0","   0.0","   0.0","  17.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   2.0","  21.0","   2.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   3.0","  77.0","  33.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   4.0"," 560.0","   6.0","   6.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   1.0"
"1938.0",NA,NA," 537.5","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","   2.0","   3.0","   0.0","   2.0","   0.0","   1.0","   2.0","   3.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   7.0","  15.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 165.0","   0.0","   0.0","   0.0","   0.0"," 165.0","   0.0","   1.0","   0.0","   0.0","  44.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  15.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  14.0","   1.0","   3.0","   0.0","   0.0","   0.0","   2.0","   6.0","   1.0","   6.0","  70.0","  40.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 688.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0"
"1960.0",NA,NA," 545.5","   0.0","   1.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   1.0","   3.0","   2.0","   2.0","  12.0","   0.0","   0.0","   1.0","   7.0","   0.0","   0.0","   4.0","   1.0","   0.0","   0.0","   0.0","  25.0","  24.0","   0.0","   0.0","   3.0","   1.0","   0.0","  94.0","   0.0","   0.0","   0.0","   0.0"," 361.0","   0.0","  10.0","   1.0","   0.0","  22.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   4.0","  15.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","   2.0","   0.0","   0.0","   1.0","   0.0","   7.0","   3.0","   8.0","  43.0","  46.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0"," 511.0","   6.0","   0.0","   2.0","   0.0","   1.0","  11.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"2010.0",NA,NA," 565.5","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   7.0","   0.0","   2.0","   3.0","  11.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   1.0","   6.0","   8.0","   0.0","   1.0","   3.0","  30.0","   0.0"," 126.0","   0.0","   0.0","   0.0","   1.0"," 171.0","   0.0","   2.0","   0.0","   0.0","  48.0","   0.0","   0.0","   1.0","   1.0","   0.0","   3.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   7.0","   4.0","   5.0","   0.0","   0.0","   0.0","   3.0","   5.0","   0.0","   9.0","  65.0","  51.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0"," 693.0","   0.0","   1.0","   1.0","   1.0","   1.0","   6.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"2013.0",NA,NA," 567.5","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   3.0","   1.0","   2.0","   1.0","   3.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","  13.0","  14.0","   0.0","   0.0","   0.0","   2.0","   0.0"," 103.0","   0.0","   0.0","   0.0","   0.0"," 137.0","   0.0","   4.0","   0.0","   0.0","  20.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","  11.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   7.0","  40.0","  49.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0"," 598.0","  11.0","   0.0","   1.0","   0.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"
