"sample_name","depth","Hagenia","Acacia t.","Acanthaceae undif.","Acritarcha","Aerva type","Aizoaceae t.","Algae","Amaranthaceae undif.","Anacardiaceae undiff.","Animalia","Animalia ","Apiaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Avicennia","Blepharis","Blighia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassipourea","Celosia type","Centaurea","Cichorieae","Cleome","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dipterygium glaucum","Dodonaea","Echinidinium aculeatum","Echinidinium delicatum","Echinidinium granulatum","Echinidinium transparantum","Echinidinium undiff","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fern","Fungi","Hyphaene t.","Hypoestes t.","Indeterminable","Macaranga","Meliaceae undif.","Mollugo cerviana-type","Monoletes","Morella","Oethe-type","Olea t.","Operculodinium centrocarpum","Operculodinium israelianum","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Podocarpus","Polysphaeridium zoharyi","Protist","Prunus t.","Resedaceae undiff.","Rhizophora","Rosa t.","Rosaceae undif.","Rumex t.","Sapindaceae undif.","Sapotaceae undif.","Schefflera","Schrankia leptocarpa","Selenopemphix quanta","Sideroxylon t.","Solanum","Tamarix","Tintinnid","Tribulus","Triletes","Trinovantedinium applanatum","Trinovantedinium capitatum","Trinovantedinium spp.","Tuberculodinium vancampoae","Typha","Unknown","Verbena t.","Votadinium","Votadinium calvum","Xylia-type","Zygophyllum t.","charcoal"
NA,"452",NA,"  0","  0","  3","  0","  0"," 12"," 46","  0","202","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  9","  0","  0","  5","  0","  0","  0","  2","  0","  1","  1","  0","  0","  0","  0","  0"," 35","  0","  0","171","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","925"
NA,"458",NA,"  2","  0","  4","  1","  0","  5"," 39","  0","176","  0","  0","  1","  0","  5","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  1"," 18","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  2","  0","  0","  2","  9","  0","  0","  5","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 25","  3","  3","167","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  9","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","445"
NA," 465",NA,"   2","   0","   0","   3","   0","  12","  15","   0","  97","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   7","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  25","   0","   1"," 376","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  12","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","1002"
NA,"471",NA,"  0","  0","  2","  0","  0"," 10"," 28","  0","117","  2","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2"," 42","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 25","  1","  2"," 96","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  2","400"
NA,"477",NA,"  0","  0","  6","  0","  0"," 12"," 30","  0"," 74","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0"," 32","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 27","  2","  6","122","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","476"
NA,"484",NA,"  0","  0","  5","  0","  0","  0"," 27","  0","141","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1"," 46","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 28","  0","  2"," 93","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  6","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","467"
NA," 490","   4","   3","   2","   2","   2","   0","  50","  39","   0"," 265","   0","   0","   0","   0","   8","   9","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","  15","   0","   0","   0","   0","   5","   2","   0","   0","   1","   0","   0","   0","   0","   2","   6","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   6","   2","   0","   0","   0","  33","   1","   7"," 911","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  31","   2","   4","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","1856"
NA,"497",NA,"  0","  0","  3","  0","  0","  9"," 26","  0","146","  0","  0","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0"," 37","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","108","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","418"
NA," 504",NA,"   0","   0","   2","   0","   0","  20","  58","   0","  66","   0","   0","   1","   0","   3","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   2","  11","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0"," 187","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1256"
NA,"510","  1","  0","  0","  2","  2","  1","  3"," 31","  0","152","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1"," 40","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  0","  7","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  1","104","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 16","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","479"
NA," 515","   1","   7","   2","   2","   0","   0"," 135","  88","   0","  24","   6","   0","   3","   0","  10","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   2","   5","   0","  21","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","  18","   2","   2"," 630","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   0","   0","  39","   2","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","4995"
NA,"521",NA,"  0","  0","  0","  0","  0","  8"," 32","  0","155","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 33","  0","  1","109","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  9","  1","  3","  0","  0","  0","  0","  0","  2","  0","  4","  0","  0","  0","862"
NA,"527",NA,"  0","  0","  6","  1","  0"," 23"," 33","  0","163","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  1","  0","  0","  0","  0","  2"," 26","  0","  2","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","132","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  6","  2","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","440"
NA,"534",NA,"  0","  0","  0","  0","  0"," 15"," 32","  0","152","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 33","  0","  0"," 95","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","503"
NA," 540","   3","   3","   0","   1","   0","   0","  39","  44","   0"," 471","   2","   0","   0","   0","   5","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   6","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   5","  32","   2","   9"," 871","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","  21","   3","   0","   0","   0","   0","   3","   0","  14","   0","   0","   0","   0","   0","2426"
NA," 544",NA,"   3","   0","   3","   0","   0","   4","  57","   0"," 240","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   0","   0"," 125","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","1883"
NA,"551",NA,"  0","  0","  2","  0","  0","  7"," 29","  0","176","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 26","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  3","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0"," 42","  0","  2"," 97","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","503"
NA,"558",NA,"  0","  0","  2","  3","  1","  2"," 53","  0","190","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 13","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 29","  0","  1"," 74","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 11","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","344"
NA,"565","  1","  1","  1","  3","  0","  0"," 23"," 45","  0","253","  2","  0","  0","  0","  5","  7","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  3"," 12","  0","  0","  1","  0","  3","  0","  0","  4"," 14","  0","  0","  7","  0","  0","  0","  4","  0","  0","  0","  2","  4","  0","  0","  0"," 43","  1","  6","464","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  3","  1","  0","  0","  0","  3","  0"," 12","  0","  0","  0","  0","  1","654"
NA,"573",NA,"  0","  0","  4","  0","  0"," 12"," 41","  0","177","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  2","  0","  1","  1","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","101","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","376"
NA,"581",NA,"  0","  0","  3","  0","  0"," 10"," 51","  0","199","  0","  0","  1","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  8","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0"," 80","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","467"
NA," 590","   1","   1","   0","   0","   1","   0","  23","  24","   0"," 273","   0","   0","   0","   0","   2","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  55","   0","  13","1128","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","  15","   2","   5","   0","   0","   0","   1","   0","  14","   0","   0","   1","   0","   0","1422"
NA,"598",NA,"  0","  0","  1","  0","  0"," 14"," 45","  0","184","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  1"," 74","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","502"
NA,"606",NA,"  0","  0","  0","  0","  0"," 17"," 56","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 29","  0","  1"," 57","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","493"
NA," 614","   2","   5","   0","   1","   0","   0","  15","  40","   0"," 251","   0","   0","   0","   0","   3","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   6","   1","   0","   2","   4","   0","   0","   0","   0","   0","   2","   8","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  43","   0","  10"," 789","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  13","   0","   0","   0","   7","   0","   4","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","1691"
NA," 623",NA,"   2","   0","   3","   0","   0","   4","  45","   0"," 253","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  13","   0","   0","   0","   0","   0","   0","   1","   1","   3","   0","   2","   0","   0","   1","  18","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  31","   2","   5"," 208","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","  11","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","1556"
NA,"631",NA,"  0","  0","  0","  0","  1","  5"," 58","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 30","  0","  0"," 43","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","413"
NA," 639",NA,"   8","   0","   0","   2","   0","  32","  43","   0"," 235","   2","   0","   0","   0","  10","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   5","   0","   6","   1","   0","   2","   0","   0","   3","  15","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","  19","   1","   0","   0","   0","  35","   4","   7"," 598","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  19","   3","   7","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","2884"
NA," 654",NA,"   0","   0","   7","   0","   0","   2","  52","   0"," 139","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   1","  72","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1373"
NA,"664",NA,"  2","  0","  0","  0","  0","  8"," 12","  0","161","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  5","101","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  2","  0","  0","  0","  0","  3","  0","  4","  0","  0","  0","  0","  0","505"
NA," 677",NA,"   0","   0","   8","   0","   0","   7","  75","   0"," 126","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","  24","   1","   2"," 110","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1022"
NA," 689","   2","   7","   0","   0","   1","   0","  40","  41","   0","  62","   4","   0","   0","   0","  13","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3","   5","   0","   0","  15","   0","   0","   0","   1","   0","   0","   0","  17","   2","   0","   0","   0","  17","   1","  15"," 276","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","   0","  10","   3","   3","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","3832"
NA," 705",NA,"   0","   0","  14","   0","   0","   5","  69","   0","  23","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0","  29","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  25","   0","   5","  93","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1227"
NA," 714",NA,"   1","   0","   2","   0","   0","  14","  40","   0","  44","   1","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","  19","   3","  14"," 377","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","2611"
NA," 730",NA,"   0","   0","   3","   0","   1","  18","  59","   0","  18","   2","   0","   1","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  22","   0","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  30","   0","   3","  78","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1145"
NA," 740",NA,"   2","   0","   0","   0","   0","   5","  17","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  15","   1","   4"," 126","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   3","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","1252"
NA,"748",NA,"  0","  0","  0","  0","  0","  8"," 34","  0","142","  0","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 20","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0"," 22","  0","  0"," 55","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 12","  0","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","455"
NA," 756",NA,"   0","   0","  12","   0","   0","   6","  68","   0","  18","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  28","   0","   1","  57","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1253"
NA," 762",NA,"   5","   0","   0","   1","   0"," 121","  51","   0"," 112","   7","   0","   0","   0","   9","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","  12","   2","   0","   0","   0","   0","   0","  13","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","  24","  14","   1","   0","   0","  18","   0","  23"," 604","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","  20","   0","   0","   0","   0","   0","3065"
NA,"770",NA,"  0","  0","  3","  2","  0","  6"," 50","  0"," 14","  0","  0","  0","  0","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 29","  0","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","363"
NA,"779",NA,"  1","  0","  0","  0","  0","  3"," 56","  0"," 49","  2","  0","  0","  0","  4","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  1"," 71","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","366"
NA," 787",NA,"   3","   0","   0","   0","   0","  55","  69","   0"," 233","   4","   0","   2","   0","  20","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   4","   0","   2","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","  11","   1","   0","   0","   0","   0","   0","   6","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","  21","   8","   0","   0","   7","  30","   3","  43"," 806","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   3","   0","   0","   0","  12","   0","  13","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","4401"
NA,"795",NA,"  2","  0","  0","  3","  0","  2"," 66","  0"," 39","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  0","  0"," 47","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","368"
