"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Lotus t.","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Nuphar","Nymphaea","Olea t.","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"6147","6262","6043","1145","   1","   2","   5","  24","   2","  88","   1","   0","   1","  62","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  32","   0","   0","  33","   8","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","  16","   0","   5","  35","   0","   1","   0","   0","   0","   3","   2","   5","   0","   0","   0","   0","   0","   0","  32","   0","   0","   2","   0","   0","   0","  20","   0","   0"
"6180","6294","6074","1160","   0","   3","   0","  56","   3"," 114","   2","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  50","   6","   0","  15","  12","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   3","   8","   2","   1","   0","   2","   0","   3","   0","   6","   0","   0","   0","   0","   0","   0","   4","   0","   0","  12","   4","   0","   1","  21","   0","   0"
"6213","6327","6106","1175","   0","   6","   1","  21","   0"," 107","   0","   0","   1","  42","   0","   0","   2","   0","   0","   0","   0","   0","  21","   0","  57","   0","   0","  34","  11","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","  25","   1","   0","   0","   0","   0","   1","   2","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","  11","   0","   0","   0","  33","   0","   0"
"6247","6361","6138","1190","   0","   1","   4","  39","   2"," 112","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","  67","   1","   1","  25","  17","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   2","  11","  37","   0","   1","   0","   0","   0","   0","   4","  10","   1","   0","   0","   0","   0","   0","  10","   0","   0","   6","   0","   0","   0","  11","   0","   0"
"6291","6405","6180","1210","   0","   5","   4"," 101","   4"," 138","   1","   0","   0","  55","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  84","   2","   0","  32","  24","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","  11","   0","   4","   0","   2","   0","   2","   6","  14","   0","   0","   0","   0","   0","   0","   5","   0","   0","   2","   2","   0","   0","  22","   0","   0"
"6313","6427","6200","1220","   0","   3","   0","  38","   1"," 104","   0","   0","   3","  49","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  66","   3","   0","  57","  23","   0","   5","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  12","   0","   0","  34","   1","   1","   0","   0","   0","   0","   0","  12","   1","   0","   0","   2","   0","   0","  12","   0","   0","   4","   1","   0","   0","  21","   1","   0"
"6340","6454","6225","1232","   0","   0","   0","  64","  10"," 126","   0","   0","   0","  21","   0","   0","   0","   0","   2","   0","   0","   0","  21","   3","  55","   0","   0","  38","   8","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   2","   1","   1","  11","   2","   1","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   7","   0","   0","   1","   0","   0","   0","   8","   0","   0"
"6366","6482","6250","1244","   0","   0","   0","  66","   3"," 143","   0","   0","   0","  16","   0","   0","   0","   0","   2","   0","   0","   0","  15","   0","  64","   1","   0","  38","   5","   0","   5","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   7","   0","   5","  22","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","  24","   0","   0"
"6393","6509","6275","1256","   0","   1","   0","  21","   2","  83","   0","   1","   2","  33","   0","   0","   0","   0","   3","   0","   0","   0","  19","   0","  12","  12","   0","  29","   9","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  31","   0","   3","  20","   0","   0","   0","   0","   0","   0","   6","   8","   0","   0","   0","   0","   0","   1","  11","   0","   0","   0","   0","   0","   1","  17","   2","   0"
"6420","6537","6299","1268","   0","   0","   0","  49","   6"," 128","   0","   0","   0","  45","   0","   0","   0","   0","   0","   0","   0","   0","  14","   2","  82","   3","   0","  29","  18","   0","   5","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","  14","  39","   1","   3","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   6","   0","   0","   4","   0","   0","   0","  14","   0","   0"
"6446","6565","6324","1280","   0","   2","   2","  47","   3"," 149","   1","   0","   0","  34","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  40","   1","   0","  52","  31","   0","   2","   0","   0","   2","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   4","   2","   0","   1","   0","   3","   0","   2","   1","   5","   0","   0","   0","   0","   0","   0","   4","   0","   0","   2","   3","   0","   0","  23","   0","   0"
"6473","6593","6348","1292","   0","   1","   2","  74","   2"," 118","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  62","   2","   0","  55","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   4","   0","   5","  11","   0","   0","   0","   0","   0","   0","  10","   7","   0","   0","   0","   0","   0","   0","   8","   0","   0","   5","   0","   0","   0","  12","   0","   0"
"6500","6621","6372","1304","   0","   5","   2","  31","   0"," 212","   0","   0","   0","  24","   1","   0","   3","   0","   1","   0","   0","   0","  11","   0","  38","   2","   0","  31","  10","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   4","   8","  37","   1","   0","   0","   1","   0","   1","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  12","   0","   1"
"6526","6650","6396","1316","   0","   2","   8","  32","   3"," 181","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","   2","   0","  36","  17","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","  15","   1","   5","   6","   0","   0","   0","   2","   0","   0","   4","   4","   0","   0","   0","   0","   0","   0","   6","   0","   0","   3","   1","   0","   0","  15","   0","   0"
"6553","6679","6420","1328","   0","   0","   0","  25","   2"," 126","   1","   0","   0","  27","   0","   0","   0","   0","   2","   0","   0","   0","  17","   0","  33","   1","   3","  40","  18","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  15","  15","   1","   1","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","  20","   0","   0"
"6579","6709","6445","1340","   0","   1","   5","  52","   4"," 301","   0","   0","   0","  27","   0","   0","   0","   0","   1","   0","   0","   0","  19","   0","  23","   2","   3","  69","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  23","   1","  15","  10","   0","   3","   0","   2","   0","   1","  10","   8","   0","   0","   0","   0","   0","   0","   5","   0","   0","  11","   0","   0","   1","  26","   0","   1"
"6606","6739","6470","1352","   0","   1","   3","  37","   2"," 193","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","  32","   1","   0","  34","  18","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   2","   4","   0","   0","   0","   1","   0","   2","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","  15","   0","   0"
"6633","6770","6495","1364","   0","   6","   2","  58","   4"," 245","   1","   0","   0","  26","   0","   0","   0","   0","   0","   0","   0","   0","  14","   1","  38","   4","   0","  63","  11","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  28","   1","  11","  16","   0","   1","   0","   0","   0","   0","   4","   7","   0","   0","   0","   0","   0","   0","   6","   0","   0","   9","   0","   0","   0","  26","   0","   0"
"6659","6799","6519","1376","   0","   2","   2","  43","   2"," 296","   0","   0","   0","  21","   0","   0","   0","   0","   2","   0","   0","   0","   8","   0","  36","   2","   0","  61","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  11","   2","  10","  17","   1","   0","   0","   0","   1","   3","   5","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","  13","   1","   0","   0","  10","   0","   0"
"6686","6830","6545","1388","   0","   0","   0","  39","   0"," 213","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","  29","   1","   0","  31","  12","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   3","   0","   0","   0","   2","   0","   3","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","  12","   0","   0"
"6712","6860","6570","1400","   0","   3","   0"," 130","   0"," 319","   1","   0","   0","  51","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  47","   3","   0","  43","   6","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  18","   0","  22","  14","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   5","   1","   0","   1","  23","   0","   0"
"6746","6898","6601","1415","   0","  10","   2"," 153","   0"," 514","   0","   0","   0","  51","   0","   0","   0","   0","   3","   0","   0","   0","   5","   1","  41","  10","   0","  59","  29","   0","  11","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","  18","  40","   2","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","  66","   0","   1"
"6779","6935","6632","1430","   0","   0","   0","  54","   0"," 267","   0","   0","   1","   9","   1","   0","   0","   1","   0","   0","   0","   0","   8","   0","  23","   3","   0","  41","  27","   0","   4","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   1","  12","   1","   0","   0","   1","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","  16","   0","   0"
"6812","6972","6662","1445","   0","   6","   0","  68","   2"," 292","   1","   0","   0","  17","   2","   0","   0","   0","   2","   0","   0","   0","   7","   0","  62","   2","   3","  53","  23","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","  27","  19","   3","   0","   0","   0","   0","   2","   4","  12","   0","   0","   0","   0","   0","   1","   8","   0","   0","   3","   1","   0","   1","  36","   0","   0"
"6846","7009","6692","1460","   0","   0","   5"," 108","   4"," 490","   0","   0","   3","  25","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","  58","   3","   0","  78","  30","   0","   3","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","  19","   0","  18","  27","   0","   0","   0","   0","   0","   1","   6","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","  15","   2","   0","   0","  60","   0","   0"
"6879","7047","6723","1475","   0","   5","   5"," 104","   0"," 313","   1","   0","   1","  39","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","  37","   1","   0","  39","  13","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  14","   1","   1","  12","   0","   0","   0","   2","   0","   0","   3","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   2","   0","   2","  40","   0","   0"
"6912","7084","6752","1490","   0","  11","   0","  81","   3"," 382","   1","   0","   0","   9","   0","   0","   3","   0","   0","   0","   0","   0","  18","   0","  55","   3","   0","  52","  16","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  14","   0","  13","  12","   1","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0","   0","   0","   1","   4","   0","   0","  15","   0","   0","   0","  43","   0","   0"
"6934","7110","6773","1500","   0","   4","   0"," 134","   2"," 357","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","  40","  11","   0","  68","  15","   0","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  17","   0","   5","  17","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   0","   4","   0","   0","  11","   0","   0","   0","  38","   0","   0"
"6968","7147","6802","1515","   0","   0","   5","  30","   2","  69","   0","   0","   0","  56","   0","   0","   0","   0","   0","   0","   2","   0","   8","   0","  47","  15","   0","  32","   2","   0","   6","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","  35","   0","   0","   0","   7","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","  12","   0","   0","   4","   0","   0","   1","  34","   0","   0"
"7001","7185","6832","1530","   0","   1","   0","  51","   3"," 221","   1","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","  47","   4","   0","  30","  49","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   6","  17","   1","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   7","   3","   0","   0","  54","   0","   0"
"7034","7223","6861","1545","   0","   2","   0","  68","   0"," 165","   1","   0","   0","  14","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   2","   0","  45","  18","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  14","   0","   9","   6","   0","   0","   0","   0","   0","   0","   2","   3","   3","   0","   0","   0","   0","   1","   0","   0","   0","   1","   2","   0","   0","  26","   0","   0"
"7067","7260","6890","1560","   0","   4","   1","  21","   3","  53","   0","   0","   0","  58","   0","   0","   0","   0","   2","   0","   1","   0","   4","   0","  48","  12","   0","  29","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  35","   4","   0","   8","   0","   0","   0","   1","   0","   0","   9","   7","   0","   0","   0","   0","   0","   1","  14","   0","   0","   4","   0","   0","   1","  22","   0","   0"
"7097","7286","6923","1575","   0","   2","   0","  26","   2","  81","   0","   0","   0","  25","   0","   0","   1","   0","   0","   0","   0","   0","  10","   1","  39","   3","   0","  26","   4","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  16","   0","  10","  17","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0","   0","   0","   8","   0","   0","   5","   0","   0","   0","  11","   0","   0"
"7127","7313","6956","1590","   0","   0","   4","  32","   0"," 153","   0","   0","   0","  61","   0","   0","   0","   0","   2","   0","   0","   0","  11","   0","  53","   2","   0","  40","  11","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   5","   5","   0","   1","   0","   0","   1","   0","   7","   6","   0","   0","   0","   0","   0","   0","  13","   0","   0","   8","   0","   0","   0","  26","   0","   0"
"7147","7331","6978","1600","   0","   0","   0","  23","   0","  74","   0","   1","   0","  63","   0","   0","   0","   0","   2","   0","   0","   0","   7","   0","  41","   6","   0","  38","   0","   0","   1","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  19","   2","   2","   6","   1","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   4","   0","   0","   0","  31","   0","   0"
"7177","7358","7011","1615","   0","   6","   2","  40","   5"," 149","   0","   0","   0","  85","   0","   0","   0","   0","   1","   0","   0","   0","  12","   0","  55","   2","   0","  43","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  22","   2","   1","  20","   0","   0","   0","   1","   0","   0","   0","   3","   1","   0","   0","   1","   0","   0","  18","   0","   0","   7","   4","   0","   0","  22","   0","   0"
"7206","7385","7044","1630","   0","   5","   2","  45","   0"," 147","   0","   0","   2","  73","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","  46","   8","   0","  61","   5","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   1","   4","  15","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  13","   0","   0","   2","   0","   0","   0","  27","   0","   0"
"7236","7412","7077","1645","   0","   1","   0","  39","   4"," 103","   0","   0","   1","  53","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","  23","  11","   0","  48","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  18","   1","   3","   9","   1","   0","   0","   0","   0","   0","   2","   4","   0","   0","   0","   0","   0","   0","  16","   0","   0","   4","   1","   0","   1","  25","   0","   0"
"7266","7439","7109","1660","   0","   0","   3","  26","   0","  86","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","  51","   2","   0","  35","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   0","   5","   9","   0","   0","   0","   0","   0","   4","   2","   3","   0","   0","   0","   0","   0","   2","   3","   0","   0","   8","   0","   0","   0","  32","   0","   0"
"7296","7465","7140","1675","   0","   0","   2","  26","   3","  78","   0","   0","   0","  58","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","  47","   3","   0","  33","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  21","   0","   7","  14","   1","   0","   0","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   1","  14","   0","   0","   4","   0","   0","   0","  14","   0","   0"
"7326","7492","7172","1690","   0","   1","   2","  61","   1","  89","   0","   0","   1","  71","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","  42","  11","   0","  21","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","  26","   0","   0","   1","   0","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   5","   0","   0","   7","   0","   0","   1","  39","   0","   0"
"7345","7509","7192","1700","   0","   2","   2","  15","   0"," 104","   0","   0","   0","  41","   0","   0","   0","   0","   2","   0","   0","   0","  10","   0","  42","   7","   0","  25","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   8","   8","   3","   0","   0","   1","   0","   4","   1","   3","   0","   0","   0","   0","   0","   1","   6","   0","   0","   7","   0","   0","   0","  29","   0","   0"
"7365","7528","7214","1710","   0","   2","   0","  46","   0"," 134","   0","   0","   0","  51","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0","  40","   1","   0","  41","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","  11","   0","   1","   8","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","  17","   0","   0","   2","   1","   0","   0","  17","   0","   0"
"7385","7545","7234","1720","   0","   1","   2","  50","   0"," 109","   0","   0","   0","  38","   0","   0","   0","   0","   0","   1","   0","   0","  10","   0","  42","   9","   0","  40","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","  13","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   7","   0","   0","   8","   2","   0","   0","  19","   0","   0"
"7405","7563","7255","1730","   0","   0","   0","  34","   0","  97","   0","   0","   0","  61","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","  34","   3","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   9","   0","   0","  12","   0","   2","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   4","   0","   0","   5","   0","   0","   0","  17","   0","   0"
"7425","7581","7276","1740","   0","   2","   1","  31","   0"," 101","   0","   0","   0","  62","   1","   0","   0","   0","   1","   0","   0","   0","  13","   0","  47","   2","   0","  35","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   1","   4","   4","   0","   1","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","  10","   0","   0","  10","   3","   0","   0","  14","   0","   0"
"7445","7599","7297","1750","   0","   5","   0","  28","   1","  96","   0","   0","   2","  47","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  24","   1","   0","  19","   1","   0","   3","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  17","   0","   1","  13","   0","   0","   0","   2","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   6","   0","   0","   0","  22","   0","   0"
"7465","7617","7318","1760","   0","   1","   2","  47","   0"," 187","   0","   0","   2","  87","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","  44","   7","   0","  50","   5","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   1","   5","  12","   0","   1","   0","   0","   0","   2","   1","   7","   0","   0","   0","   0","   0","   0","   9","   0","   0","   3","   3","   0","   0","  36","   0","   0"
"7484","7636","7340","1770","   0","   0","   0","  30","   4"," 150","   0","   0","   0"," 105","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","  59","   2","   0","  39","   4","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   1","   3","  13","   0","   4","   0","   0","   0","   0","   2","   2","   0","   0","   1","   0","   0","   0","  16","   0","   0","   4","   1","   0","   0","  24","   0","   0"
"7504","7654","7361","1780","   0","   1","   3","  55","   4"," 120","   0","   0","   1","  32","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","  43","   7","   0","  44","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   9","   1","   0","   0","   0","   0","   6","   0","   4","   0","   0","   0","   0","   0","   0","   5","   0","   0","   8","   0","   0","   0","  18","   0","   1"
"7544","7691","7402","1800","   0","   2","   1","  30","   1"," 131","   1","   0","   2","  42","   1","   0","   0","   0","   0","   0","   0","   0","  25","   0","  31","   0","   1","  24","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","  13","   1","   9","  12","   0","   0","   0","   1","   0","   2","   0","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","  22","   0","   0"
"7614","7755","7474","1835","   0","   0","   5","  39","   0"," 135","   0","   0","   0","  68","   0","   0","   2","   0","   0","   0","   0","   0","  14","   0","  26","   0","   0","  31","   2","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","  20","   0","   0","   9","   0","   0","   0","   0","   0","   1","   3","  11","   0","   0","   0","   0","   0","   0","  12","   0","   0","  11","   1","   0","   0","  30","   0","   0"
"7683","7817","7543","1870","   0","   2","   2","  22","   3","  71","   0","   1","   0","  28","   0","   0","   0","   0","   2","   0","   0","   0","  16","   0","  27","   5","   0","  24","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  59","   0","   4","  19","   1","   0","   0","   0","   0","   1","   1","   6","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","  37","   4","   0"
"7753","7884","7617","1905","   0","   0","   0","  38","   2","  91","   0","   0","   0","  20","   1","   0","   1","   0","   0","   0","   0","   0","  17","   0","  34","   0","   0","  21","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  16","   1","   0","  17","   0","   0","   0","   0","   1","   2","   1","   7","   0","   0","   0","   0","   0","   0","  19","   0","   0","   4","   0","   0","   0","  18","   0","   0"
"7822","7953","7690","1940","   0","   0","   1","  24","   0","  83","   0","   0","   0","  52","   0","   0","   0","   0","   0","   0","   0","   0","  41","   0","  30","   0","   0","  16","   5","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   6","   0","   0","  14","   0","   0","   0","  13","   0","   0"
"7892","8025","7762","1975","   0","   0","   0","  23","   0","  68","   0","   1","   0","  23","   0","   0","   0","   0","   2","   0","   0","   0","  17","   0","  56","   5","   0","  36","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   5","  19","   0","   0","   0","   0","   0","   9","   3","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","  13","   0","   0"
"7961","8100","7835","2010","   0","   3","   3","  13","   0","  51","   2","   0","   0","  76","   0","   0","   0","   0","   4","   0","   0","   0","  25","   0","  25","   2","   0","  12","   7","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  32","   2","   0","  14","   0","   0","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   0","   1","   6","   0","   0","   4","   1","   0","   0","  12","   0","   0"
"8100","8254","7970","2080","   0","   3","   2","  23","   1","  63","   0","   0","   0","  74","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","  39","   5","   0","  39","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   1","   8","   1","   0","   0","   0","   0","   2","   4","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   4","   0","   0","   0","  12","   0","   0"
"8130","8281","8001","2095","   0","   0","   1","  29","   0","  99","   0","   0","   1","  84","   1","   0","   0","   0","   0","   0","   0","   0","  26","   0","  29","   6","   0","  19","   5","   0","   6","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","  20","   0","   1","   0","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","   0","   5","   0","   0","   3","   1","   0","   0","  22","   0","   0"
