"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Caryophyllaceae undif.","Centaurea","Chamaerops","Cichorieae","Cistaceae","Coriaria","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypecoum","Lamiaceae undif.","Myriophyllum undif.","Olea t.","Persicaria t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Tamarix","Thymelaeaceae undif.","Tilia","Typha","Vitis"
"5099",NA,NA," 940","   1","  30","   4","  23","   4","   3","   2","   0","   0","   0","   0","   0","   0","   9","   5","   0","   1","   2","  11","   0","   0","   2","   3","   0","   0","   1","   0","   0","   0","   0","   0","  26","   0","   0"," 240","   2","   0","   0","  26","   0","   0","   5","  88","   0","   3","   0","   0","   1","   0","   1","   0","   0","   2","   5"
"5207",NA,NA," 980","   1","  31","   2","  23","   1","   0","   0","   0","   0","   0","   1","   0","   0","   6","  10","   0","   2","   2","   4","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","  30","   0","   0"," 141","   4","   4","   0","   8","   0","   0","  10","  92","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   8"
"5303",NA,NA,"1020","   1","  42","   2","  22","   0","   3","   0","   0","   0","   0","   0","   0","   0","   3","   5","   1","   0","   2","   2","   0","   0","  15","   2","   0","   0","   1","   0","   0","   0","   0","   0","  19","   0","   0"," 126","   2","   1","   0","   8","   0","   0","   4","  86","   0","   1","   0","   0","   1","   0","   0","   0","   0","   3","   6"
"5400",NA,NA,"1060","   3","  47","   5","  18","   3","   2","   4","   0","   0","   0","   0","   0","   0","   1","   3","   0","   3","   1","   3","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   1","   0","  16","   0","   0","  99","   3","   2","   0","  22","   0","   0","   5"," 122","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2"
"5495",NA,NA,"1100","   2","  80","   1","  16","   2","   3","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   2","   8","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0"," 131","   1","   1","   0","  19","   0","   0","   3"," 128","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0"
"5588",NA,NA,"1140","   0"," 157","   2","  18","   1","   1","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   1","   8","   5","   0","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","  96","   1","   2","   0","  16","   0","   0","   2","  84","   0","   2","   0","   0","   0","   1","   1","   0","   0","   4","   1"
"5681",NA,NA,"1180","   2"," 158","   2","  14","   1","   3","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   2","   8","   3","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","  62","   1","   0","   0","  14","   0","   0","  15"," 129","   0","   0","   0","   0","   0","   0","   2","   0","   0","   8","   0"
"5805",NA,NA,"1200","   0"," 126","   3","  18","   7","   1","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   3","   5","   0","   0","   8","   2","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","  74","   1","   3","   0","  23","   0","   0","   8","  98","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   1"
"6112",NA,NA,"1250","   0"," 148","   0","  12","   6","   3","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   1","  12","   2","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","  12","   0","   0"," 108","   1","   2","   0","  15","   0","   0","   6","  72","   0","   0","   0","   0","   0","   0","   1","   0","   0","  11","   0"
"6359",NA,NA,"1290","   0"," 187","   1","  12","   5","   3","   1","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   9","   7","   0","   0","   6","   2","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0"," 125","   8","   0","   0","  16","   0","   0","  10","  99","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0"
"6603",NA,NA,"1330","   5"," 142","   0","  12","   3","   3","   0","   0","   0","   0","   0","   0","   0","   4","   7","   0","   1","  16","   5","   0","   0","   9","   6","   0","   1","   0","   0","   0","   0","   0","   0","  17","   0","   0"," 122","   8","   1","   0","  20","   0","   0","  19"," 149","   0","   1","   0","   0","   0","   1","   2","   0","   0","   6","   0"
"6665",NA,NA,"1340","   2","  96","   4","  15","   4","   2","   1","   0","   0","   0","   0","   0","   0","   2","   2","   0","   1","   2","   8","   0","   0","   5","   1","   0","   1","   1","   0","   0","   0","   1","   0","  19","   0","   0","  67","   0","   1","   0","  16","   0","   0","   7","  75","   0","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0"
"6727",NA,NA,"1350","   0","  23","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  25","   0","   1","   0","   5","   1","   0","   3","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"
"6850",NA,NA,"1370","   2"," 151","   5","  27","   4","   2","   4","   0","   0","   0","   0","   0","   0","   7","   4","   0","   1","  10","  21","   0","   1","  14","   1","   0","   0","   0","   1","   0","   0","   0","   0","  38","   0","   0"," 230","  11","   1","   0","  55","   1","   0","  20"," 143","   0","   1","   0","   0","   0","   0","   4","   0","   0","  47","   0"
"6912",NA,NA,"1380","   0","  21","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   3","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","  25","   0","   0","   0","   7","   1","   0","   1","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"6973",NA,NA,"1390","   0","  95","   5","  15","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   8","   0","   0","   3","   2","   0","   1","   0","   0","   0","   0","   0","   0","  27","   0","   0","  88","   1","   1","   0","  21","   0","   0","   6"," 115","   0","   1","   0","   0","   0","   0","   1","   0","   0","   3","   0"
"7097",NA,NA,"1410","   0","  61","   2","  18","   1","   2","   4","   1","   0","   0","   0","   0","   0","  10","   6","   0","   3","   5","  10","   1","   0","  13","   4","   0","   0","   1","   0","   0","   0","   0","   0","   9","   0","   0","  99","   1","   1","   0","  17","   0","   0","  15","  79","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1"
"7344",NA,NA,"1450","   2","  39","   4","  20","   5","   3","   2","   0","   0","   0","   0","   0","   0","   6","  12","   0","   2","   5","  10","   0","   0","  16","   2","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","  86","   0","   1","   0","  24","   0","   1","   9"," 110","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0"
"7590",NA,NA,"1490","   1","  78","   1","  14","   1","   1","   1","   4","   0","   0","   0","   0","   0","   4","   3","   0","   6","   7","  10","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   1","   0","  13","   0","   0"," 111","   0","   0","   0","  21","   0","   0","  13","  50","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1"
"7772",NA,NA,"1520","   2"," 112","   1","   8","   1","   0","   0","   1","   0","   0","   1","   0","   0","   1","   1","   0","   0","   5","   8","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0"," 162","   1","   2","   0","  17","   0","   0","  10","  51","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"
"8013",NA,NA,"1560","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  25","   0","   0","   0","   4","   0","   0","   2","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8073",NA,NA,"1570","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  15","   0","   0","   0","   4","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8252",NA,NA,"1600","   0","  71","   3","   7","   0","   1","   1","   3","   0","   1","   0","   0","   0","   1","   0","   0","   2","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  36","   0","   0"," 110","   3","   0","   0","  27","   0","   0","  14"," 106","   0","   0","   0","   0","   1","   0","   2","   0","   0","   4","   0"
"8551",NA,NA,"1650","   0","  75","   1","  14","   0","   1","   0","   3","   0","   3","   0","   0","   0","   1","   0","   0","   0","   9","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","  37","   0","   0","  79","   4","   3","   0","  44","   0","   0","  18"," 110","   0","   0","   0","   0","   1","   0","   2","   0","   0","   3","   0"
"8847",NA,NA,"1700","   0","  89","   1","  17","   1","   0","   1","   2","   0","   0","   0","   1","   0","   1","   1","   0","   3","   6","   7","   0","   0","   6","   2","   0","   1","   0","   0","   0","   0","   1","   0","  24","   0","   0","  46","   1","   2","   0","  34","   0","   0","  14"," 110","   0","   2","   0","   0","   0","   0","   1","   0","   0","   4","   0"
"9081",NA,NA,"1740","   1","  74","   9","  29","   2","   4","   2","   5","   0","   0","   0","   1","   0","   3","   1","   0","  13","   8","   3","   0","   0","   5","   1","   0","   1","   0","   0","   0","   0","   2","   2","  42","   0","   0","  27","  17","   4","   0"," 138","   0","   0","  42"," 136","   0","   4","   0","   0","   2","   0","   3","   0","   0","   5","   0"
"9315",NA,NA,"1780","   0","  93","   3","   5","   1","   3","   1","   1","   0","   0","   0","   0","   0","   0","   4","   0","   4","   4","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   2","  10","   0","   0","  24","   8","   1","   0","  83","   0","   0","  29","  84","   0","   1","   0","   0","   0","   0","   2","   0","   1","   7","   0"
"9488",NA,NA,"1810","   0"," 133","   5","  15","   2","   0","   0","   2","   0","   0","   0","   0","   0","   1","   3","   0","   5","  10","  15","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","  17","   0","   0","  71","  11","   4","   0","  88","   0","   0","  32","  57","   0","   0","   0","   0","   0","   0","   2","   0","   0","  12","   0"
"9831",NA,NA,"1870","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   4","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9889",NA,NA,"1880","   0","  18","   0","   7","   3","   0","   0","   0","   0","   2","   0","   0","   0","   3","   7","   0","   3","   1","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","  65","   0","   0","   0","  35","   0","   1","   1","  26","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0"
"10116",NA,NA," 1920","    0","   35","    0","   20","    4","    1","    0","    0","    0","    0","    0","    0","    0","    7","   17","    0","    0","    5","   13","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    5","    0","  188","    0","    2","    0","   41","    0","    0","    8","   62","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0"
"10344",NA,NA," 1960","    0","   31","    0","   20","    6","    0","    3","    0","    0","    1","    0","    0","    0","    1","    5","    0","    1","    2","    5","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","    1","    1","    7","    0","    0","  204","    5","    3","    0","   69","    0","    0","   10","   55","    0","    1","    0","    0","    1","    0","    1","    0","    0","    2","    0"
"10516",NA,NA," 1990","    0","   30","    1","   46","    8","    2","    0","    0","    0","    0","    0","    0","    0","    2","   15","    0","    3","    6","   14","    0","    0","   12","    5","    0","    1","    1","    0","    0","    0","    3","    0","    2","    1","    0","  241","    1","    2","    0","   54","    2","    0","   14","   82","    0","    1","    0","    0","    0","    0","    1","    0","    0","    4","    0"
"10914",NA,NA," 2060","    0","   29","    4","   52","    7","    2","    2","    0","    0","    0","    0","    2","    0","   11","    1","    0","    2","    7","   24","    0","    0","   13","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","   79","    4","    1","    0","   61","    2","    1","   12","  132","    0","    0","    0","    0","    0","    0","    4","    0","    0","    5","    0"
"10971",NA,NA," 2070","    0","   31","    5","   67","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    4","    1","    7","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   55","    1","    1","    0","   24","    4","    0","    3","  133","    0","    0","    0","    1","    0","    0","    3","    0","    0","    4","    1"
"11143",NA,NA," 2100","    0","   62","    1","   24","    7","    3","    0","    0","    0","    1","    0","    0","    0","    3","    6","    0","    4","    9","   27","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    1","    2","    3","    0","    0","   31","    0","    0","    0","   57","    0","    0","   25","   87","    0","    1","    0","    0","    0","    0","    3","    0","    0","    3","    0"
