"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Acorus","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus suspension","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Larix","Lonicera","Malva undif.","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Oxyria","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis"
"14099","14365","13836"," 862.0","0","0","0","0","0","0","4","0","12","17","0","2","97","1","1","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","5","1","2","0","0","0","0","128","0","0","1","4","0","0","1","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","0","0","0","0","156","0","0","0","0","0","0","0","29","1","0","0","1","13","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"14552","14785","14326"," 883.0","0","0","0","0","0","1","20","0","11","75","0","6","26","0","0","2","0","0","0","0","5","0","3","0","0","0","1","1","1","0","1","12","6","0","0","0","0","43","0","0","0","4","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","145","0","1","0","0","1","0","0","13","1","0","0","0","3","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"14804","15101","14515"," 893.0","0","0","0","0","0","2","27","2","8","82","0","2","32","2","1","2","0","0","1","0","1","1","4","0","0","0","3","1","0","1","1","43","14","0","0","3","0","58","0","0","0","1","0","0","2","0","4","0","0","0","1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","118","1","0","0","0","1","0","0","13","1","1","0","1","6","3","0","0","0","1","0","3","0","0","0","1","0","2","0","0","0","0","0"
"15081","15310","14828"," 903.0","1","0","0","0","0","0","24","0","7","83","0","2","10","1","1","0","0","0","0","0","3","0","2","2","0","0","1","2","1","0","0","85","6","0","0","0","0","37","0","0","0","3","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","1","0","0","128","0","0","0","0","0","0","0","13","0","0","0","0","3","1","4","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0"
"15297","15547","15041"," 913.0","0","0","0","0","0","0","31","3","8","83","0","1","5","0","1","2","0","0","0","0","0","0","9","0","0","0","1","0","1","0","0","64","10","0","0","3","0","26","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","2","0","0","126","3","0","0","0","0","0","0","6","1","1","0","1","2","5","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0"
"15653","15952","15349"," 923.0","0","1","0","0","0","2","44","0","3","118","0","2","11","2","0","1","0","0","0","0","0","0","2","0","0","0","2","0","5","1","1","22","3","0","0","0","0","11","0","0","0","0","0","0","0","0","5","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","2","0","0","132","0","0","0","0","0","0","0","3","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"16109","16353","15858"," 943.0","0","0","0","0","0","0","30","4","4","95","0","0","3","0","0","3","0","0","0","0","0","1","3","0","0","0","0","1","3","0","0","77","0","0","0","0","0","66","0","1","1","0","0","0","0","0","7","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","21","0","1","0","0","89","0","0","0","0","0","0","0","2","3","0","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0"
"16884","17198","16561"," 982.0","0","0","0","0","0","0","31","7","8","120","0","1","0","0","2","2","0","0","0","0","0","1","5","0","0","0","1","0","2","0","0","37","4","0","0","5","0","32","0","1","1","0","0","0","0","0","7","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","34","0","2","0","0","142","0","1","0","0","0","0","0","3","1","0","0","0","5","1","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0"
"17384","17644","17122","1002.0","1","0","0","0","0","2","6","4","4","68","0","1","1","0","1","2","0","0","1","0","0","0","1","0","0","0","0","2","8","0","0","56","5","0","0","2","0","22","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","66","0","3","0","0","168","10","0","1","0","0","0","0","2","1","0","0","0","1","1","0","0","0","0","0","6","0","0","0","0","0","6","1","0","0","0","1"
"17758","18079","17427","1022.0","0","0","0","0","0","2","11","0","3","104","0","8","6","0","0","3","0","0","0","0","1","0","1","2","0","0","0","2","9","0","0","22","10","0","0","0","0","6","0","1","1","2","0","0","5","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","65","0","5","0","0","177","2","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0"
"17980","18346","17653","1032.0","0","0","0","0","0","0","29","2","13","83","0","2","1","0","0","0","0","1","0","0","3","0","0","0","0","0","0","1","3","0","0","10","13","0","0","0","1","24","0","1","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","75","0","3","0","0","138","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","6","0","2","0","0","0","0","0","0","0","0","0","0","0"
"18242","18546","17948","1042.0","1","0","0","0","0","0","14","4","7","69","0","0","6","1","0","1","0","0","0","0","0","0","1","0","0","0","1","2","9","0","0","44","2","0","0","2","0","24","0","2","1","0","0","0","0","0","7","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","70","0","3","0","0","178","3","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"18694","18960","18425","1062.0","0","0","0","0","0","0","9","0","3","73","0","1","3","0","0","1","0","0","0","0","6","0","1","0","0","0","0","2","6","0","0","44","3","0","0","0","0","38","0","0","1","2","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","0","2","0","0","142","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","10","0","0","0","0","0"
"18827","19115","18555","1072.0","0","0","0","0","0","4","7","0","7","64","0","3","4","0","0","2","0","0","0","0","3","0","3","0","0","0","0","1","2","1","0","22","4","0","0","1","0","22","0","0","0","1","0","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","93","0","3","0","0","160","0","0","0","0","0","0","0","8","0","0","0","0","6","0","2","0","0","0","0","3","0","0","0","0","1","2","0","0","0","0","4"
"19060","19341","18776","1083.5","0","0","0","0","0","0","5","4","3","43","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","16","10","0","0","3","0","20","0","0","0","0","0","0","0","0","9","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","0","2","0","0","161","0","0","0","0","0","0","0","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"19365","19692","19037","1123.5","0","0","0","0","0","0","18","0","3","29","0","8","0","0","0","2","0","0","0","0","0","0","5","0","0","0","0","0","10","0","0","2","14","0","0","0","0","3","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","217","0","2","0","0","50","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"19522","19857","19176","1133.5","0","0","0","0","0","0","8","5","7","66","0","4","0","0","0","0","11","0","0","0","2","0","1","2","0","0","1","2","6","1","0","25","17","0","0","1","0","65","0","0","3","1","0","0","0","0","3","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","64","0","5","0","0","141","5","0","0","5","0","0","0","0","3","0","0","0","5","0","1","0","0","2","0","6","0","0","0","1","0","9","0","0","0","0","0"
"19696","20018","19371","1143.5","0","0","0","2","0","0","13","8","8","51","0","0","1","0","1","0","0","0","0","0","1","0","3","0","0","0","0","1","8","0","0","26","4","0","0","1","0","21","0","0","1","1","0","0","1","0","5","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","5","0","1","114","0","0","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","8","0","0","1","0","0"
"19958","20248","19688","1162.0","0","0","0","0","0","1","5","7","3","47","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3","0","0","8","4","0","0","3","0","8","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","119","0","1","0","0","113","4","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","2","0","0","0","0","0"
"20096","20399","19766","1172.0","0","0","0","0","0","1","10","6","3","43","0","3","2","1","0","0","0","0","0","0","1","0","2","0","0","0","0","7","0","0","0","15","1","0","0","0","1","36","0","0","3","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","171","0","4","0","0","142","0","0","0","0","0","0","0","5","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","8"
"20223","20618","19843","1182.0","1","0","1","0","0","2","5","4","6","39","0","0","1","2","1","2","0","0","0","0","2","0","2","0","0","0","0","2","2","0","0","68","11","0","0","1","0","18","0","0","1","2","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","1","0","0","69","0","8","0","0","153","0","0","0","2","0","0","0","2","2","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"20496","20864","20129","1202.0","0","0","0","0","0","7","28","0","4","110","0","13","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","6","0","2","8","3","0","0","0","0","23","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","2","0","0","103","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"20637","20978","20323","1212.0","5","0","0","0","0","0","65","0","1","67","0","3","0","0","0","1","0","0","0","0","6","0","4","0","0","0","0","3","20","0","0","13","1","0","0","1","1","20","0","2","15","5","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","0","6","0","0","79","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","3","0","0","0","0","7"
"20772","21086","20450","1222.0","0","0","0","0","0","0","38","5","5","111","0","3","3","0","0","0","0","0","1","0","2","0","3","0","0","0","2","4","9","0","0","9","0","0","0","0","0","13","0","0","3","1","0","0","0","0","3","0","0","0","2","0","0","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","26","0","6","0","0","106","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","1","0","0","0","0","0","0"
"21071","21450","20699","1242.0","5","0","0","0","0","2","8","3","6","24","0","15","1","1","0","0","0","0","0","0","8","1","8","0","0","0","0","50","1","0","0","2","3","0","0","8","0","25","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31","0","2","0","0","114","0","0","0","0","0","0","0","15","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","9","0","0","0","0","0"
"21419","21743","21069","1257.0","8","0","0","0","0","11","11","0","2","78","0","3","0","2","0","0","0","0","0","0","3","4","4","0","0","0","1","7","5","0","0","6","4","0","0","0","0","32","0","0","2","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","4","0","0","92","0","0","0","0","0","0","0","32","1","0","0","2","2","1","0","0","2","0","0","4","0","0","0","0","6","13","0","0","0","0","0"
"21660","22004","21309","1267.0","3","0","0","0","0","3","38","10","8","128","0","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","43","4","0","0","0","0","17","0","0","0","0","0","0","1","1","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","3","0","1","162","2","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0"
"22013","22402","21620","1287.0","1","0","1","0","0","3","31","11","5","122","0","2","0","1","0","2","0","0","0","0","1","1","8","0","0","0","2","6","2","0","0","9","4","0","0","2","0","18","0","0","2","0","0","0","1","0","8","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","4","0","0","94","0","0","0","0","0","0","0","8","1","0","0","2","3","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0"
"22127","22456","21794","1297.0","1","1","0","0","0","3","15","0","6","50","0","21","2","0","0","0","0","0","0","0","0","0","7","0","0","0","0","1","21","0","0","2","5","0","0","0","0","31","0","0","0","2","0","0","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","169","0","7","0","0","89","0","0","0","2","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0"
"22259","22675","21882","1307.0","0","0","0","0","0","0","9","8","9","50","0","3","2","0","0","3","0","0","0","0","2","0","8","0","0","0","0","5","3","0","0","18","3","0","0","4","0","19","0","0","2","2","0","0","0","1","5","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","88","0","7","0","0","101","4","1","0","0","0","0","0","3","2","0","0","1","3","1","0","0","0","0","0","4","0","0","0","0","0","4","0","0","0","0","0"
"22523","22844","22179","1327.0","1","0","7","1","0","0","5","5","7","60","0","2","2","0","0","1","0","0","0","0","1","0","5","1","0","0","1","2","4","0","0","40","6","0","0","4","0","21","0","0","1","4","0","0","5","0","12","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","13","0","0","115","7","0","0","0","0","0","0","5","2","0","0","0","2","0","0","0","0","0","0","4","0","0","0","1","0","4","0","0","0","0","0"
"22646","22978","22322","1337.0","11","0","0","0","0","5","21","5","3","30","0","2","2","0","0","1","0","0","0","0","0","2","6","0","0","0","0","6","6","0","0","16","6","0","0","1","0","34","0","0","0","7","0","0","0","0","2","0","0","0","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","143","0","4","0","0","117","0","0","0","0","0","0","0","17","1","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","1","1","0","0","0","0","0"
"23002","23329","22661","1364.0","0","1","0","0","0","1","7","3","1","42","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","89","5","0","0","0","0","45","0","4","0","2","0","0","0","0","6","0","0","0","5","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","52","0","3","0","0","110","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"23271","23602","22950","1384.0","0","0","0","0","0","2","12","3","7","37","0","0","1","1","0","2","0","0","0","0","1","0","0","3","0","0","0","1","2","0","0","179","2","0","0","1","0","194","0","0","3","5","0","0","0","1","12","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","23","0","5","0","0","148","0","0","0","2","0","0","0","1","2","0","0","0","2","1","0","1","0","2","0","3","0","0","0","1","0","4","0","0","0","0","0"
"23399","23802","23015","1394.0","0","0","0","0","0","1","17","0","6","115","0","13","1","1","0","0","0","0","1","0","0","0","6","0","0","0","0","2","6","0","0","8","5","0","0","0","0","24","0","0","1","2","0","0","0","0","4","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","16","0","6","0","0","164","0","0","0","0","0","0","0","1","2","0","0","1","0","2","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0"
"23503","23845","23169","1404.0","0","0","0","0","0","0","18","5","6","81","0","1","1","0","0","1","0","2","0","0","1","0","1","0","0","0","0","3","1","0","0","16","0","0","0","1","0","203","0","1","0","2","0","1","0","0","17","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","0","3","0","0","169","0","0","0","0","0","0","0","3","0","0","0","0","3","1","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0"
"23694","24040","23348","1424.0","1","0","0","0","0","0","14","0","3","27","0","3","0","1","0","1","0","0","0","0","4","0","0","0","0","0","1","2","0","0","0","8","0","0","0","1","0","278","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","39","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23934","24295","23579","1460.0","0","0","0","0","0","2","41","5","8","116","0","2","5","0","2","0","0","0","0","0","1","0","2","0","0","0","1","2","5","0","1","76","1","0","0","0","0","191","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","14","0","2","0","0","156","0","0","0","0","0","0","0","9","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0"
"24048","24440","23681","1480.0","1","0","0","1","0","2","30","10","7","101","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2","3","0","0","37","5","0","0","0","0","120","0","1","1","3","0","0","1","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","12","0","4","0","0","94","0","0","0","0","0","0","0","7","0","0","0","0","3","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"24160","24528","23775","1490.0","0","0","0","0","0","0","88","0","2","73","0","20","2","0","1","0","0","1","0","0","0","0","10","0","0","0","1","3","8","0","0","1","3","0","0","0","0","16","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","75","0","1","0","0","86","0","0","0","0","0","0","0","7","1","0","0","1","0","0","0","0","0","0","0","11","0","0","0","1","0","5","0","0","0","0","0"
"24252","24628","23866","1500.0","2","0","0","0","0","0","23","2","6","78","0","6","1","1","0","0","0","1","0","1","4","0","0","0","0","0","0","1","2","0","0","39","2","0","0","3","1","85","0","1","3","0","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","23","0","2","0","0","182","0","0","0","1","0","0","0","3","0","0","0","0","3","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0"
"24459","24904","23990","1520.0","0","0","0","0","0","3","16","2","3","63","0","5","2","2","1","1","0","0","0","0","0","0","1","1","0","0","0","3","2","0","0","81","2","0","0","1","0","182","0","2","0","1","0","0","0","0","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","19","0","3","0","0","113","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","3","0","5","0","0","0","1","0","0","0","0","0","0","0"
"25762","26189","25343","1622.0","0","0","0","0","0","0","28","8","13","99","0","1","2","3","1","2","0","0","0","0","2","1","0","0","0","0","0","0","3","0","0","18","4","1","0","1","0","110","0","1","0","0","0","0","0","0","3","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","22","0","3","0","0","160","0","0","0","0","0","0","0","8","0","0","0","0","4","1","0","0","0","1","0","6","0","1","0","0","1","0","0","0","0","0","0"
"26040","26428","25655","1642.0","2","0","0","0","0","0","14","2","10","59","0","2","4","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","2","0","0","9","4","0","0","2","1","200","0","4","0","4","0","0","0","0","9","0","0","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","22","0","0","0","0","128","0","0","0","0","0","0","0","18","0","0","0","0","2","0","0","1","0","0","0","5","0","0","0","3","1","2","0","0","0","0","0"
"26165","26611","25734","1652.0","1","0","0","0","0","1","27","5","5","30","0","1","1","7","0","6","0","0","0","0","2","0","3","0","0","0","1","0","1","0","1","14","8","0","0","1","0","49","0","3","0","18","0","442","0","0","7","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","56","0","4","0","0","173","0","1","0","0","0","0","0","40","3","0","0","0","0","0","0","2","0","0","0","2","0","0","0","5","0","0","0","0","0","0","0"
"26333","26802","25840","1662.0","0","0","0","0","0","1","9","0","12","39","0","3","11","0","0","2","0","0","1","0","0","0","6","0","0","0","0","2","2","0","1","7","15","0","0","0","0","45","0","0","1","3","1","0","0","0","13","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","0","2","0","0","152","0","0","0","0","0","0","0","26","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","2","1","0","0","0","0","0"
"26535","26907","26149","1682.0","2","0","0","0","0","1","20","4","3","35","0","0","7","2","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","21","8","0","0","1","0","365","0","2","1","8","0","1000","0","0","7","0","0","0","3","0","0","2","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","2","33","0","1","0","0","157","0","0","0","3","0","0","0","32","0","0","0","0","2","7","0","0","0","0","1","3","0","0","0","2","0","2","0","0","0","0","0"
"26654","27081","26232","1692.0","2","0","0","0","0","1","15","3","3","25","0","12","3","0","2","2","22","0","0","0","6","1","10","0","0","0","0","7","0","0","0","2","14","0","0","1","0","67","0","1","0","2","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","42","0","3","0","0","142","0","0","0","2","0","0","0","11","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","2","1","0","0","0","0","0","0"
"26769","27333","26251","1702.0","1","0","0","0","0","0","5","0","3","25","0","2","3","1","0","0","0","0","0","0","0","0","6","0","0","0","2","2","2","0","0","2","11","0","0","4","0","86","0","0","0","5","0","1","0","0","4","0","0","0","3","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","0","2","0","0","155","13","0","0","0","0","0","0","20","2","0","0","1","0","0","2","0","1","0","0","3","0","0","0","0","0","2","0","0","0","0","0"
"26987","27528","26461","1726.0","0","0","0","0","0","1","28","1","3","25","0","3","0","0","0","0","0","0","0","0","3","0","11","0","0","0","1","9","0","0","1","2","0","0","0","0","0","26","0","0","0","3","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","11","0","1","0","0","88","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0"
"27223","27781","26703","1746.0","0","0","0","0","0","1","37","5","13","81","0","5","1","3","0","0","0","0","0","0","3","0","1","0","0","0","0","3","0","0","1","1","0","0","0","2","0","36","0","0","0","2","0","0","2","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","3","0","0","129","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0"
"27301","27730","26898","1756.0","0","0","0","0","0","1","60","16","2","60","0","5","1","1","0","0","0","0","0","0","2","0","1","0","0","0","0","5","5","0","0","2","12","0","0","4","0","58","0","3","0","3","0","26","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","60","0","5","0","0","209","0","0","0","0","0","0","0","14","0","0","0","0","2","1","0","0","0","0","0","8","0","0","0","0","0","2","0","0","0","0","1"
"27321","27772","26896","1766.0","3","0","0","0","0","3","9","0","8","47","0","7","3","3","0","2","0","0","0","0","0","2","26","1","0","0","0","2","2","0","3","6","7","0","0","0","0","49","0","0","0","8","0","0","0","2","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","3","54","0","2","0","0","156","0","0","0","0","0","0","0","41","0","0","0","1","0","0","1","0","0","0","0","3","0","1","0","0","5","4","0","0","0","0","0"
"27540","27945","27146","1776.0","3","0","0","0","0","0","16","0","5","16","0","1","4","2","0","5","0","1","0","1","2","1","2","1","0","0","0","2","0","0","2","4","10","0","0","4","0","257","0","0","1","15","0","700","0","0","3","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","122","0","1","0","0","140","0","0","0","0","0","0","0","46","1","0","0","1","1","0","0","0","0","0","2","2","0","2","0","0","3","0","0","0","0","0","0"
"27717","28169","27247","1786.0","1","0","0","0","0","4","47","3","5","41","0","2","3","0","0","1","0","0","0","0","1","2","11","0","0","0","0","7","2","0","0","2","2","0","0","0","0","38","0","0","1","2","0","0","2","0","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","1","0","0","169","0","0","0","0","0","0","0","38","1","0","0","0","0","1","1","0","0","1","0","6","0","0","0","0","1","2","0","0","0","0","1"
