"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Leontice","Linum t.","Loranthus","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Pediastrum undulatum","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis"
"21991","22362","21611","  300","    9","    2","    0","  224","    1","    4","  118","    0","   10","    9","  183","    0","   17","   20","    2","    0","   14","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    8","    0","    8","    0","    0","    0","    0","    3","    0","    3","   44","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    1","    0","   11","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","   83","    0","   14","    0","    0","  179","    6","    1","    0","    1","    0"," 1360","   19","    1","    3","    0","    0","    1","    0","    0","    0","    1","    0","  180","    0","    0","    4","    0","    0","    0","    0","    0","    0","    2","   24","    0","    0","    0","    0","    0"
"22706","23093","22311","  310","    9","    0","    0","  456","    0","    0","  100","    0","    9","    8","  125","    0","   12","   10","    2","    0","   24","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","   12","    0","    2","    1","    0","    0","    0","    2","    0","    1","   36","    0","    2","    0","    2","    0","    0","    1","    0","    0","    0","    0","    6","    0","   18","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","  145","    0","    1","    0","    0","   85","    0","    4","    0","    0","    0"," 5738","   17","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","  271","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","   90","    0","    0","    0","    0","    0"
"23421","23824","23009","  320","    5","    0","    0"," 2840","    0","    4","   67","    0","    6","   28","  144","    0","   11","   13","    1","    0","   38","    1","    0","    0","    0","    0","    0","    0","    4","    0","    0","    6","    0","    4","    1","    0","    0","    0","    1","    0","    5","  152","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","   20","    0","    9","    3","    0","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    8","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","   59","    0","   17","    0","    0","  266","    3","    2","    0","    0","    2"," 9999","   21","    0","   10","    0","    1","    0","    0","    0","    0","    1","    0","  372","    0","    0","    8","    0","    0","    0","    0","    1","    0","    3","   20","    0","    0","    0","    0","    0"
"24321","24734","23903","  340","    2","    1","    0","   80","    0","   11","   80","    0","   17","   23","  241","    0","    9","   29","    7","    0","   12","    0","    0","    0","    0","    0","    1","    0","    5","    0","    0","    6","    0","    5","    1","    0","    0","    0","    2","    0","    9","  165","    0","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","   24","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   68","    0","   27","    0","    0","  271","   15","    2","    0","    0","    0"," 1840","   34","    4","    2","    0","    0","    2","    0","    0","    0","    0","    0","   30","    0","    0","    6","    0","    0","    0","    0","    0","    0","    3","   18","    0","    0","    0","    0","    0"
"24692","25097","24295","  360","    3","    0","    0","  279","    0","    6","  135","    0","   23","   45","  271","    0","   18","   38","    1","    0","   42","    1","    0","    0","    0","    0","    2","    1","    5","    0","    0","   14","    0","    7","    6","    0","    1","    0","    1","    0","    6","  581","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    1","    0","    3","    5","    0","   42","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","  109","    0","   28","    0","    0","  430","    7","    6","    0","    0","    1"," 2976","   45","    1","   10","    0","    5","    3","    0","    1","    0","    1","    0","   57","    0","    0","   15","    0","    0","    0","    0","    0","    2","    1","   26","    0","    0","    0","    0","    0"
"25063","25457","24682","  380","    2","    0","    0","  276","    0","    5","  133","    0","   15","   32","  226","    0","   10","   22","    1","    0","   36","    2","    0","    0","    1","    0","    3","    1","    6","    0","    0","    8","    0","    8","    3","    0","    0","    0","    1","    1","   14","  542","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","   38","    0","    0","    0","    0","    1","    2","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","   72","    0","   21","    0","    0","  400","    2","    1","    1","    1","    0"," 2783","   40","    2","    8","    0","    7","    3","    0","    1","    0","    0","    0","   51","    2","    0","   12","    0","    0","    0","    0","    0","    1","    2","   28","    0","    0","    0","    0","    0"
"25434","25810","25057","  400","    1","    0","    0","   18","    0","    3","   96","    0","   13","   30","  160","    0","    7","   17","    0","    0","   35","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    2","    1","    0","    0","    0","    0","    6","  144","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    1","   29","    0","    0","    0","    0","    1","    7","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","   11","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","   41","    0","   17","    0","    0","  240","    3","    2","    0","    0","    2"," 2124","   23","    1","    6","    0","    3","    1","    0","    0","    0","    0","    0","   32","    0","    0","    7","    0","    0","    0","    0","    0","    1","    3","   26","    0","    0","    0","    0","    0"
"25805","26167","25432","  420","    1","    0","    0"," 1224","    2","    4","  146","    0","   11","   14","  218","    0","    7","   12","    0","    0","   16","    0","    0","    0","    0","    0","    3","    0","    3","    0","    0","    7","    0","    1","    4","    0","    0","    0","    0","    0","    1","   88","    0","    1","    0","    3","    0","    0","    0","    1","    0","    0","    0","    3","    0","    2","    0","    0","   15","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","   42","    0","   12","    0","    0","  232","    3","    0","    0","    1","    2"," 2784","   12","    0","    2","    1","    3","    2","    0","    0","    0","    1","    1","   43","    0","    0","   10","    0","    0","    0","    0","    0","    2","    1","   12","    0","    0","    0","    0","    0"
"26175","26530","25802","  440","    1","    0","    0"," 7266","    0","    4","   95","    0","   21","   39","  286","    0","   10","   19","    1","    0","   12","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    9","    0","    7","    6","    0","    0","    0","    0","    0","   17","   81","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    2","    0","   31","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    1","    0","  154","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   30","    0","   28","    0","    0","  512","   14","    4","    0","    2","    2"," 9999","   14","    1","    3","    0","   10","    5","    0","    0","    0","    0","    0","   29","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0"
"26546","26902","26177","  460","    2","    1","    0"," 1080","    3","    4","  153","    0","   19","   37","  369","    0","   11","   18","    0","    0","   36","    0","    0","    0","    1","    0","    4","    0","   11","    0","    0","   16","    0","   13","    1","    0","    0","    0","    0","    0","   11","  244","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    8","    0","    1","    0","    2","   48","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","   16","    1","   24","    0","    0","  534","   12","    1","    0","   14","    2"," 1620","   16","    1","    4","    0","   11","    5","    0","    0","    0","    2","    0","   65","    0","    0","    5","    0","    0","    0","    0","    0","    2","    2","   24","    0","    1","    0","    0","    0"
"26917","27282","26558","  480","    1","    0","    0","  408","    1","    1","   86","    0","   17","   25","  193","    0","   10","   10","    0","    0","   12","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    9","    0","   10","    3","    0","    0","    0","    0","    0","    6","  110","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   32","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   47","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","   11","    0","    0","  264","    2","    2","    0","    8","    0","  320","   11","    0","   10","    0","    5","    2","    0","    0","    0","    1","    0","   34","    0","    0","    5","    0","    0","    0","    0","    0","    2","    1","    4","    0","    0","    0","    0","    1"
"27288","27656","26930","  500","    1","    0","    0"," 2464","    1","    3","   99","    0","   11","   28","  201","    0","   12","   11","    2","    0","   23","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    9","    0","    6","    3","    0","    0","    0","    0","    0","    4","  220","    0","    0","    0","    4","    0","    0","    1","    0","    1","    0","    0","    4","    0","    2","    1","    0","   21","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   40","    0","   22","    0","    0","  378","    7","    4","    0","    3","    1","  742","   11","    0","    6","    0","    3","    1","    0","    1","    0","    2","    0","   50","    1","    0","    8","    0","    0","    0","    0","    1","    3","    1","   24","    0","    0","    0","    0","    1"
"27659","28028","27294","  520","    3","    0","    0","   15","    0","    9","  145","    0","   15","   24","  222","    0","   21","   17","    2","    4","   18","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","   18","    0","   18","    5","    0","    0","    0","    1","    0","   26","  336","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    1","   13","    0","    0","    0","    0","   29","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   77","    0","   31","    0","    0","  873","    7","    2","    0","    3","    2","    9","   57","    1","   10","    0","   13","    1","    0","    0","    0","    2","    0","   86","    0","    0","   16","    0","    0","    0","    0","    0","    7","    3","    6","    0","    0","    0","    0","    0"
"28029","28405","27655","  540","    2","    1","    0","   77","    0","    4","   87","    0","   15","   33","  167","    0","   25","    8","    2","    1","   14","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   12","    0","    6","    5","    0","    0","    0","    0","    0","   19","  129","    0","    1","    0","    2","    1","    0","    0","    0","    0","    0","    0","    9","    0","    0","    4","    0","   30","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   52","    0","   16","    0","    0","  475","    5","    2","    0","    0","    5","   49","   29","    0","    3","    0","    3","    4","    0","    0","    0","    0","    1","  111","    0","    0","   15","    0","    0","    0","    1","    0","    2","    0","   28","    0","    0","    0","    0","    0"
"28400","28788","28015","  560","    4","    1","    0","  387","    4","   10","  168","    0","   44","   24","  248","    0","   20","   25","    2","    0","   30","    0","    0","    0","    0","    0","    3","    0","    6","    0","    0","   25","    0","   13","    1","    0","    2","    0","    2","    0","   15","  245","    0","    0","    0","   13","    0","    0","    1","    0","    1","    0","    2","   25","    0","    3","    3","    1","   43","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   39","    1","    0","    0","    0","    0","    0","    4","    0","    3","    0","    0","  102","    0","   35","    0","    0","  766","   10","    6","    0","    7","    3","  189","   67","    1","    7","    0","    4","    2","    0","    0","    0","    0","    0","  277","    0","    0","   10","    0","    0","    0","    0","    0","    2","    1","   44","    0","    0","    0","    0","    0"
"28771","29171","28369","  580","    1","    0","    0","   48","    0","    4","  130","    0","   15","   18","  269","    0","   12","    6","    0","    0","   11","    0","    0","    0","    0","    0","    2","    0","    3","    0","    0","   11","    0","    6","    1","    0","    0","    0","    1","    0","    7","   51","    0","    0","    2","    4","    0","    0","    1","    1","    0","    0","    0","   15","    1","    0","    1","    0","   25","    0","    0","    1","    0","    0","    9","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","  265","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   16","    0","    5","    0","    0","  325","    7","    2","    0","   33","    0","    1","   26","    2","   56","    1","    7","    0","    0","    1","    0","    1","    0","   67","    0","    0","    2","    0","    0","    0","    0","    0","    1","    3","   18","    1","    0","    0","    0","    0"
"29142","29557","28722","  600","    0","    1","    0","  400","    0","    2","  128","    0","   12","    8","  189","    0","    4","    4","    0","    0","   16","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","   13","    0","    4","    1","    0","    0","    0","    0","    0","    3","   58","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","   41","    1","    0","    0","    0","   15","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   11","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","   14","    0","    8","    0","    0","  241","    1","    4","    0","   45","    6","   52","    6","    0","    2","    0","    7","    3","    0","    0","    0","    0","    0","   58","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0"
"29512","29947","29074","  620","    1","    0","    0"," 2577","    1","    0","  182","    0","   10","   17","  253","    0","   15","    5","    0","    0","   13","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    7","    0","    7","    1","    0","    0","    0","    0","    0","    6","   90","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","   45","    0","    1","    0","    0","   22","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","  200","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","   20","    0","   13","    0","    0","  291","    2","    2","    0","   21","    8","    0","    7","    0","   10","    0","    7","    4","    0","    0","    0","    1","    0","   88","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","   22","    0","    0","    0","    0","    0"
"29883","30338","29424","  640","    2","    0","    0"," 1176","    0","    2","   73","    0","    7","   20","  101","    0","    3","    4","    0","    0","   22","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    3","    0","    3","    0","    0","    0","    0","    0","    0","    3","  197","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","   23","    1","    0","    0","    0","   18","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    8","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   36","    0","   11","    0","    0","  256","    2","    6","    0","    3","   19","   32","   10","    0","    6","    0","    5","    3","    0","    0","    0","    0","    0","   91","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0"
"30254","30731","29772","  660","    2","    0","    0"," 1863","    0","    4","  129","    0","   14","   32","  240","    0","    3","    1","    0","    2","   31","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    6","    0","    6","    1","    0","    0","    0","    0","    0","    6","  295","    0","    1","    0","    5","    0","    0","    1","    0","    0","    0","    0","   38","    0","    2","    0","    0","   41","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    6","    0","    0","    0","    0","    0","    0","    0","    8","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   28","    0","    7","    0","    0","  354","    7","    4","    0","    9","   18","   23","   24","    1","   10","    0","    8","    2","    0","    0","    0","    1","    0","  130","    0","    0","   10","    0","    5","    0","    0","    1","    0","    2","   12","    0","    0","    0","    0","    0"
"30625","31126","30119","  680","    8","    0","    0","  245","    0","   11","  214","    0","   36","   62","  375","    0","   25","    9","    0","    0","   10","    0","    0","    0","    2","    0","    5","    1","   10","    0","    0","   11","    0","   23","    0","    0","    0","    0","    2","    0","   14","  126","    0","    1","    3","   10","    0","    0","    0","    0","    1","    0","    2","    4","    0","    0","    0","    2","   57","    0","    0","    0","    0","    0","   10","    1","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","   94","    0","   31","    0","    1","  843","   19","   12","    0","   20","    3","   52","   85","    2","    5","    0","   17","    2","    0","    0","    0","    0","    0","   75","    0","    0","    6","    0","    0","    0","    0","    0","    3","    0","   42","    0","    0","    0","    0","    0"
"30996","31522","30464","  700","    2","    0","    0","    7","    0","    2","  207","    0","   22","   15","  240","    0","   16","    6","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","   11","    0","   12","    2","    0","    0","    0","    1","    0","    6","  130","    0","    0","    0","   10","    0","    0","    2","    0","    0","    0","    0","    3","    0","    1","    0","    0","   22","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   71","    0","   12","    0","    1","  312","    5","   15","    0","    0","    1","    5","   19","    0","    1","    0","    5","    3","    0","    0","    0","    2","    0","   47","    0","    0","    6","    0","    0","    0","    0","    1","    1","    1","   24","    0","    0","    0","    0","    0"
"31366","31919","30808","  720","    2","    0","    0","  155","    1","    5","  152","    0","   22","   26","  262","    0","   37","    2","    0","    0","   25","    0","    0","    0","    2","    0","    2","    0","    8","    0","    0","   19","    0","   30","    1","    0","    0","    0","    0","    0","    2","  152","    0","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   26","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","   54","    0","    7","    0","    0","  316","    4","   20","    0","    0","    0","    6","   20","    3","    0","    1","    3","    5","    0","    0","    0","    1","    0","   50","    0","    0","    1","    0","    0","    0","    0","    0","    1","    1","   46","    0","    1","    0","    0","    0"
"31737","32317","31151","  740","    2","    0","    0"," 4224","    3","    3","  129","    0","   17","   34","  201","    0","   10","    4","    1","    0","   27","    0","    0","    0","    0","    0","    2","    0","    3","    0","    0","   11","    0","   11","    1","    0","    0","    0","    0","    0","    6","  116","    0","    1","    0","    3","    0","    0","    0","    0","    0","    1","    0","    4","    0","    2","    1","    0","   18","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","   56","    0","   17","    0","    0","  393","    5","    4","    0","    1","    1","  320","   33","    2","    5","    1","    5","    1","    0","    0","    0","    3","    0","   78","    1","    0","    5","    0","    0","    0","    0","    0","    0","    2","   14","    0","    0","    0","    0","    0"
"32108","32714","31492","  760","    5","    0","    0","11287","    6","    9","   99","    0","   20","   39","  156","    0","   12","   10","    0","    0","   36","    1","    0","    0","    2","    0","    1","    0","    5","    0","    0","    7","    0","    6","    0","    1","    0","    0","    5","    0","    5","  102","    0","    0","    0","    9","    0","    0","    2","    0","    0","    1","    2","    4","    0","    1","    2","    0","   38","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","  101","    0","    9","    0","    0","  515","   12","    8","    0","    1","    0"," 1380","   56","    1","    4","    0","    7","    4","    0","    0","    0","    1","    0","  168","    0","    2","   12","    0","    0","    0","    0","    0","    0","    5","   12","    0","    1","    0","    0","    0"
"32428","33035","31811","  780","    6","    0","    0","10629","    2","   12","   89","    0","   20","   29","  121","    0","    9","   13","    0","    0","   21","    0","    0","    0","    0","    1","    4","    1","    5","    0","    0","    8","    0","    7","    2","    0","    0","    0","    1","    0","   12","  117","    0","    1","    1","    9","    0","    0","    3","    0","    0","    0","    5","    8","    0","    0","    0","    0","   21","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   63","    0","    1","    0","    0","    0","    0","    0","    0","    4","    0","    0","  143","    0","    7","    0","    0","  539","   12","    3","    0","    1","    0"," 1715","  101","    5","    2","    0","    5","    1","    0","    2","    0","    1","    0","  245","    0","    0","   10","    0","    0","    0","    0","    0","    1","    2","    4","    0","    0","    0","    0","    0"
"32495","33096","31885","  785","    2","    0","    0"," 3486","    3","   10","  225","    0","   20","   35","  382","    0","   23","   15","    1","    0","    8","    0","    0","    0","    1","    0","    3","    0","    6","    0","    0","   14","    0","   14","    0","    0","    1","    0","    1","    0","   10","  120","    0","    0","    0","   10","    1","    0","    0","    0","    0","    0","    1","   16","    0","    0","    1","    0","   34","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   87","    0","   12","    0","    0","  590","   15","    8","    0","    0","    3","   42","   49","    1","    1","    0","    6","    3","    0","    1","    0","    0","    0","  182","    0","    0","    9","    0","    0","    0","    0","    1","    2","    2","   12","    1","    0","    0","    0","    0"
"32697","33279","32107","  800","    1","    0","    0","  422","    0","    6","  132","    0","   10","   19","  197","    0","   10","    8","    0","    1","   13","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","   17","    0","    5","    0","    0","    0","    0","    0","    1","    4","   82","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    1","    0","   16","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   43","    0","    3","    0","    0","  206","   13","    5","    0","    0","    1","   32","   16","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","   96","    0","    0","    5","    0","    0","    0","    0","    0","    1","    1","    8","    0","    0","    0","    0","    0"
"32966","33524","32402","  820","    3","    1","    0"," 2002","    1","    1","  104","    0","   10","   16","  210","    0","   11","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    1","    6","    0","    0","   20","    0","    4","    0","    0","    0","    0","    1","    0","    3","   66","    0","    2","    0","    5","    0","    0","    0","    0","    0","    1","    1","   36","    0","    0","    0","    0","   31","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   60","    0","   12","    0","    0","  368","    0","    6","    0","    0","    0","   70","   56","    3","    2","    0","   16","    1","    0","    0","    0","    1","    0","  181","    0","    0","    2","    0","    0","    0","    0","    0","    1","    1","    6","    0","    0","    1","    0","    0"
"33236","33770","32695","  840","    1","    1","    0"," 1837","    0","    7","  144","    0","   12","   14","  231","    0","   13","    5","    1","    0","   10","    0","    0","    0","    1","    0","    3","    0","    2","    0","    0","    8","    0","    5","    1","    0","    0","    0","    1","    0","    6","   44","    0","    2","    0","    5","    0","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","   32","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   58","    0","    9","    0","    0","  419","   10","    5","    0","    0","    0","   33","   44","    1","    2","    1","    6","    3","    0","    2","    0","    0","    0","  241","    0","    0","    3","    0","    0","    0","    1","    0","    0","    1","    4","    0","    0","    0","    1","    0"
"33505","34018","32988","  860","    0","    0","    0"," 4995","    0","    4","  121","    0","   10","   16","  164","    0","   11","    1","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   14","    0","   12","    0","    0","    0","    0","    1","    0","    6","   40","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   42","    0","   10","    0","    0","  281","    5","    3","    0","    0","    2","   30","   28","    0","    2","    0","    1","    3","    0","    0","    0","    1","    0","   28","    0","    0","    4","    0","    0","    0","    0","    0","    1","    0","   24","    0","    0","    0","    0","    0"
