"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Galium t.","Lamiaceae undif.","Lemnaceae","Malva undif.","Mercurialis","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Pedicularis","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Tamarix","Thymelaeaceae undif.","Tilia","Trapa natans","Typha","Ulmus t.","Urtica t.","Vitis"
"5403",NA,NA," 520","   1","   0","  13","   1","   8","  31","   0","   3","   9","  51","   0","   0","   2","   8","   0","   0","   0","   0","   0","   1","  15","   1","   0","   0","   0","   0","  19","  16","   0","   0","  10","  53","   0","   4","   0","   0","   3","   0","   0","   0","   0","   0","   0","  15","   0","   1","  27","   2","  42","   0","  93","   2","   0","   6","   0","   7","  21","   3","   1","   1","   0","   0","   0","   1","   0","   0","   2","   4","   3","   0","   0","   0","   0","   0","   2","   0"
"5485",NA,NA," 530","   1","   0","   0","   4","  12","  36","   0","   3","   6","  57","   2","   0","   0","   5","   0","   0","   0","   0","   0","   2","   4","   1","   1","   0","   4","   0","  32","  28","   0","   1","   9","  39","   1","   4","   1","   0","   2","   0","   0","   0","   1","   0","   0","  14","   0","   0","  31","   3","  44","   0","  99","   5","   0","   3","   0","   3","  19","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   3","   1","   0","   0","   0","   0","   4","   0"
"5566",NA,NA," 540","   2","   0","   0","   4","   8","  32","   0","   4","   7","  82","   1","   0","   0","  11","   0","   0","   1","   3","   1","   0","   7","   4","   0","   0","   7","   0","  34","  31","   0","   0","  11","  28","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   0","   0","  31","   9","  28","   0","  97","   4","   0","   0","   0","   4","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   4","   0"
"5646",NA,NA," 550","   0","   0","   0","   2","   2","  12","   0","   1","   2","  49","   1","   0","   0","   8","   1","   0","   0","   1","   0","   0","  11","   1","   0","   0","   2","   0","  32","  14","   0","   0","  10","  16","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","  20","   5","  32","   0","  52","   7","   0","   0","   0","   3","  13","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   1","   1","   0","   0","   0","   0","   4","   0"
"5725",NA,NA," 560","   0","   0","   0","   2","   6","  14","   0","   1","  10","  55","   0","   0","   0","   8","   0","   0","   0","   1","   0","   0","   6","   3","   0","   0","   1","   0","  34","  18","   0","   0","   4","  17","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  26","   3","  35","   0","  38","   3","   0","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   1","   0"
"5803",NA,NA," 570","   1","   0","   0","   0","   3","   4","   0","   1","   3","  13","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   3","   0","  69","   7","   0","   0","   8","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  47","   1","   3","   0","  46","   1","   0","   0","   0","   5","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0"
"5881",NA,NA," 580","   1","   0","   0","   1","   5","  12","   0","   1","   3","  20","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","  58","  12","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  41","   6","   3","   0","  39","   0","   0","   0","   0","  10","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   1","   0","   0","   0","   1","   0","   0"
"5957",NA,NA," 590","   3","   0","   0","   4","  11","  15","   0","   4","   0","  27","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   5","   0"," 140","  18","   0","   0","  17","   3","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  30","   2","   3","   0","  36","   0","   0","   0","   0","  10","  24","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0"
"6033",NA,NA," 600","   1","   0","   0","   2","   7","   4","   0","   2","   2","  24","   1","   0","   0","  13","   0","   0","   0","   0","   0","   0","   6","   2","   0","   0","   7","   0","  90","  12","   0","   0","  13","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  23","   0","   2","   0","  34","   0","   0","   0","   0","   7","  15","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   4","   2","   0","   1","   0","   0","   2","   0","   0"
"6108",NA,NA," 610","   0","   0","   0","   1","   5","  12","   0","   2","   1","  32","   1","   0","   0","  30","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  10","   0","  97","  12","   0","   0","  12","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","  17","   1","   2","   0","  31","   0","   1","   0","   0","  17","  14","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   6","   0","   1","   0","   0","   0","   2","   0","   0"
"6182",NA,NA," 620","   0","   0","   0","   1","   3","   7","   0","   2","   1","  16","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   4","   0","  57","  12","   0","   0","  17","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  22","   1","   2","   0","  29","   0","   1","   0","   0","   7","  13","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0"
"6255",NA,NA," 630","   0","   0","   0","   2","   3","   9","   0","   1","   0","  12","   1","   0","   0","  24","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   5","   0","  85","   9","   0","   0","   6","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  24","   0","   0","   0","  15","   0","   0","   0","   0","   6","  20","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0"
"6327",NA,NA," 640","   1","   0","   0","   3","   2","   9","   0","   4","   3","  25","   1","   0","   0","  35","   0","   0","   0","   1","   0","   0","   4","   3","   0","   0","   7","   0","  57","  18","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  44","   0","   2","   0","  18","   0","   1","   0","   0","   8","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   2","   0","   0","   0","   0","   0","   1","   0"
"6399",NA,NA," 650","   1","   0","   0","   1","   7","  29","   0","   2","   0","  38","   0","   0","   0","  54","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   5","   0","  65","  18","   0","   0","  14","   4","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  31","   2","   4","   0","  29","   0","   0","   2","   0","  18","  19","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   1","   0","   2","   0","   0","   1","   1","   0"
"6470",NA,NA," 660","   0","   0","   0","   1","   4","  13","   0","   4","   0","  35","   1","   0","   0","  65","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   3","   0"," 101","  19","   0","   0","  12","   4","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  40","   2","   3","   0","  43","   0","   0","   3","   0","  10","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   1","   3","   0","   0","   0","   0","   0"
"6540",NA,NA," 670","   0","   0","   0","   1","   5","  10","   0","   1","   0","  32","   1","   0","   0","  44","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","  80","  13","   0","   0","   9","   7","   0","   2","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  27","   2","   3","   1","  19","   0","   1","   1","   0","   5","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5","   0","   1","   3","   0","   0","   1","   0","   0"
"6609",NA,NA," 680","   0","   0","   0","   3","   4","  18","   0","   2","   0","  29","   0","   0","   0","  67","   0","   0","   0","   0","   0","   0","   4","   3","   0","   0","   5","   0","  83","  16","   0","   0","   9","   4","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  41","   4","   4","   0","  30","   0","   0","   0","   0","   4","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","   1","   2","   0","   0","   1","   0","   0"
"6677",NA,NA," 690","   0","   0","   0","   0","   2","   6","   0","   3","   0","  16","   0","   0","   0","  32","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   3","   0","  55","   9","   0","   0","  14","   5","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1","   0","   0","  39","   0","   4","   0","  31","   0","   0","   0","   0","   1","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   1","   0","   0","   1","   1","   0"
"6744",NA,NA," 700","   0","   0","   0","   2","   4","   7","   0","   2","   0","  26","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  11","   0","  46","   8","   0","   0","   6","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  36","   1","   2","   0","  30","   1","   0","   2","   0","   5","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   0","   1","   0","   0","   1","   2","   0"
"6811",NA,NA," 710","   1","   0","   0","   3","   3","  15","   0","   1","   1","  35","   2","   0","   0","  58","   0","   0","   0","   0","   0","   0","  10","   1","   0","   0","  11","   0","  55","  24","   0","   0","  13","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  57","   0","   0","   0","  40","   0","   0","   0","   0","   6","  12","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   1","   2","   0","   0","   2","   1","   0"
"6876",NA,NA," 720","   1","   0","   0","   0","   3","  17","   0","   1","   0","  46","   1","   0","   0","  49","   0","   0","   0","   0","   0","   0","   5","   1","   1","   0","  10","   0","  58","   9","   0","   0","   8","   7","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   0","   0","  28","   0","   0","   1","   0","   8","  14","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   1","   0","   3","   1","   0","   0","   0","   0"
"6941",NA,NA," 730","   1","   0","   0","   1","   5","  11","   0","   3","   0","  27","   0","   0","   0","  45","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  17","   0","  68","  14","   0","   0","   2","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  35","   2","   2","   0","  40","   0","   0","   1","   0","   6","  13","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   4","   0","   2","   0","   0","   1","   0","   0"
"7005",NA,NA," 740","   1","   0","   0","   2","   3","  14","   0","   3","   0","  55","   0","   0","   0","  87","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","  20","   0","  73","  20","   0","   0","  17","   4","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","  65","   0","   4","   0","  45","   0","   0","   0","   0","  16","  31","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  14","   1","   2","   1","   0","   0","   3","   0","   0"
"7068",NA,NA," 750","   0","   0","   0","   1","   3","  10","   0","   2","   1","  31","   1","   0","   0","  45","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","  11","   0","  47","  14","   0","   0","   9","   4","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  38","   0","   3","   0","  48","   0","   0","   1","   0","   6","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   1","   1","   3","   0","   0","   1","   0","   0"
"7131",NA,NA," 760","   0","   0","   0","   1","   4","  13","   0","   1","   2","  38","   0","   0","   0","  56","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","  16","   0","  55","  18","   0","   0","  15","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  40","   0","   2","   0","  43","   0","   0","   0","   0","   9","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   1","   0","   0","   1","   0","   0"
"7192",NA,NA," 770","   0","   0","   0","   1","   5","  16","   0","   2","   0","  36","   1","   0","   0","  68","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","  11","   0","  73","  17","   0","   0","   8","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   0","   0","  39","   0","   0","   1","   0","   9","  14","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","   1","   1","   3","   0","   0","   1","   0","   0"
"7253",NA,NA," 780","   0","   0","   0","   3","   2","  17","   0","   2","   0","  46","   1","   0","   1","  94","   0","   0","   0","   0","   0","   0","   5","   2","   0","   0","  26","   0","  66","  24","   0","   0","   8","   3","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","  28","   1","   2","   0","  60","   0","   0","   0","   0","   6","  16","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   3","   0","   0"
"7313",NA,NA," 790","   1","   0","   0","   3","   3","   8","   0","   1","   0","  33","   0","   0","   0","  75","   0","   0","   0","   0","   0","   0","   5","   3","   0","   0","  12","   0","  71","  20","   0","   0","  13","   2","   0","   2","   0","   0","   0","   2","   0","   0","   0","   1","   0","   3","   0","   0","  39","   0","   0","   0","  47","   0","   0","   0","   0","   5","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   2","   2","   0","   0","   0","   0","   0"
"7371",NA,NA," 800","   0","   0","   0","   2","   5","   9","   0","   0","   0","  26","   1","   0","   0","  57","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","  13","   0","  57","  17","   0","   0","   8","   2","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  39","   0","   4","   0","  37","   0","   0","   0","   0","   9","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   3","   0","   0","   2","   0","   0"
"7430",NA,NA," 810","   1","   0","   0","   1","   1","   0","   0","   0","   0","  18","   0","   0","   0","  64","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   0","  49","  10","   0","   0","   3","   3","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","  40","   0","   3","   0","  40","   1","   0","   0","   0","   8","   9","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  10","   1","   0","   1","   0","   0","   1","   0","   0"
"7487",NA,NA," 820","   0","   0","   0","   2","   3","   8","   0","   1","   0","  20","   2","   0","   0","  99","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","  16","   0","  51","  26","   0","   0","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","  43","   1","   5","   0","  41","   2","   0","   2","   0","  19","  15","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   0","   1","   0","   0","   2","   0","   0"
"7543",NA,NA," 830","   0","   0","   0","   1","   3","   7","   0","   1","   0","  15","   1","   0","   0","  61","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","   6","   0","  40","   9","   0","   0","   5","   4","   0","   2","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","  57","   0","   1","   0","  37","   0","   0","   1","   0","   5","  21","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   1","   0","   0","   0","   2","   0","   1"
"7599",NA,NA," 840","   0","   0","   0","   1","   3","   3","   0","   2","   0","  14","   1","   0","   0","  42","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7","   0","  26","   9","   0","   0","   3","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","  48","   2","   2","   0","  34","   1","   0","   2","   0","   5","  13","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  15","   1","   0","   2","   0","   0","   1","   0","   0"
"7654",NA,NA," 850","   0","   0","   0","   0","   5","  17","   0","   4","   0","  35","   3","   0","   0","  92","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","  17","   0","  52","  13","   0","   0","   5","   4","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","  54","   0","   8","   1","  69","   1","   0","   0","   0","  16","  19","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  20","   1","   2","   2","   0","   0","   4","   0","   0"
"7708",NA,NA," 860","   0","   0","   0","   2","   4","  21","   0","   3","   0","  37","   2","   0","   2","  75","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","  27","   0","  43","  14","   0","   0","   5","   5","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","  47","   2","   6","   0","  60","   1","   0","   0","   0","   9","  16","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  19","   1","   1","   1","   0","   0","   1","   0","   0"
"7761",NA,NA," 870","   1","   0","   0","   1","   1","  23","   0","   1","   0","  42","   0","   0","   0","  55","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  12","   0","  27","  11","   0","   0","  10","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  25","   0","   1","   0","  61","   0","   0","   1","   0","   7","  19","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  12","   0","   1","   1","   0","   0","   2","   0","   0"
"7813",NA,NA," 880","   0","   0","   0","   2","   3","  18","   0","   1","   0","  40","   1","   0","   0","  92","   0","   0","   0","   0","   0","   0","   5","   4","   0","   0","  29","   0","  54","  28","   0","   0","   3","   8","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  37","   0","   5","   0","  72","   1","   0","   1","   0","   9","  25","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","  15","   0","   1","   1","   0","   0","   6","   0","   0"
"7864",NA,NA," 890","   0","   0","   0","   3","   2","  17","   0","   1","   0","  58","   1","   0","   0","  80","   0","   0","   0","   0","   0","   0","   9","   2","   0","   0","  15","   0","  54","  29","   0","   0","  10","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  51","   0","   5","   0","  61","   0","   0","   0","   0","  10","  22","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   9","   0","   0","   1","   0","   0","   3","   0","   0"
"7915",NA,NA," 900","   0","   0","   0","   2","   8","  15","   0","   4","   0","  36","   1","   0","   0","  96","   0","   0","   0","   0","   0","   0","   9","   4","   0","   0","  31","   0","  68","  40","   0","   0","  13","   4","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   0","   0","  51","   1","   3","   0","  86","   5","   0","   1","   0","  13","  17","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  10","   2","   1","   0","   0","   0","   1","   0","   0"
"7964",NA,NA," 910","   0","   0","   0","   1","   2","   7","   0","   2","   0","  42","   0","   0","   0","  53","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","  24","   0","  63","  42","   0","   0","   7","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","  43","   0","   3","   0","  76","   3","   0","   0","   0","   9","  16","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","  10","   0","   1","   1","   0","   0","   2","   0","   0"
"8013",NA,NA," 920","   0","   0","   0","   3","   5","  10","   0","   3","   0","  30","   0","   0","   0","  58","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","  17","   0","  50","  32","   0","   0","   4","   3","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","  40","   0","   5","   0","  69","   5","   0","   0","   0","  10","  25","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  23","   0","   2","   3","   0","   0","   1","   0","   0"
"8061",NA,NA," 930","   0","   0","   0","   2","   1","  13","   0","   2","   0","  35","   0","   0","   0","  57","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","  18","   0","  39","  18","   0","   0","   4","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","  34","   2","   6","   0","  62","   0","   0","   0","   0","   9","  12","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  30","   1","   0","   2","   0","   0","   1","   1","   0"
"8108",NA,NA," 940","   0","   0","   0","   2","  14","   6","   0","   1","   0","  20","   1","   0","   0","  38","   0","   0","   0","   0","   0","   0","   7","   1","   0","   0","  18","   0","  49","  10","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","  16","   1","   4","   0","  57","   1","   0","   0","   0","   9","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","   2","   0","   1","   0","   0","   1","   0","   0"
"8155",NA,NA," 950","   0","   0","   0","   0","   6","  16","   0","   1","   2","  42","   1","   0","   0","  69","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","  23","   0","  48","  35","   0","   0","  10","   3","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  62","   0","   1","   0","  93","   0","   0","  10","   0","  15","  12","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0","   1","   3","   0","   1","   0","   0"
"8200",NA,NA," 960","   0","   0","   0","   3","   5","  11","   0","   2","   3","  25","   1","   0","   0","  87","   0","   0","   0","   0","   0","   2","   5","   0","   0","   0","  17","   0","  47","  32","   0","   0","   6","   7","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   3","   0","   0","  37","   0","   4","   0","  74","   0","   0","  14","   0","  13","  14","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","  10","   1","   0","   1","   2","   0","   1","   0","   0"
"8245",NA,NA," 970","   0","   0","   0","   4","   7","  26","   0","   5","   0","  54","   0","   0","   0","  81","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  18","   0","  79","  51","   1","   0","  14","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   2","   0","   0","  55","   1","   7","   0"," 107","   1","   0","  21","   0","  14","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   4","   0","   0","   1","   1","   0"
"8289",NA,NA," 980","   1","   0","   0","   4","   7","  16","   0","   3","   6","  54","   1","   0","   0","  36","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","  20","   0"," 104","  54","   0","   0","  19","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","  54","   0","   8","   0"," 109","   1","   0","  20","   0","   9","  19","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","  18","   1","   0","   2","   0","   0","   0","   0","   0"
