"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Aizoaceae t.","Algae","Alnus","Amaranthaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Brassicaceae","Buxus","Calicotome","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chamaerops","Cistaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fern","Fraxinus","Fungi","Genisteae","Indeterminable","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Maytenus","Myrtus","Olea t.","Ononis t.","Osyris","Periploca","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Rhamnus","Riccia","Rosa t.","Salix","Tamarix","Taxus","Thymelaeaceae undif.","Typha","Ulmus t.","Vitis","Withania","Ziziphus/Paliurus","charcoal"
"6262",NA,NA,"194","5","0","78","5","3","5","6","3","1","3","0","8","1","9","0","0","0","0","0","0","0","3","0","1","10","0","0","0","0","3","4","1","12","0","192","0","7","3","7","0","0","0","3","5","9","89","0","2","16","0","0","37","14","9","0","3","0","0","0","1","0","6","1","0","0","0","0"
"6334",NA,NA,"196","5","0","59","3","3","8","3","3","0","7","0","0","0","16","0","1","0","0","0","0","0","10","0","1","13","0","0","0","0","6","0","1","10","0","190","0","12","2","6","0","0","0","4","10","13","69","4","5","10","0","0","70","13","12","0","1","0","2","0","2","0","8","1","0","0","0","0"
"6406",NA,NA,"198","4","0","76","4","2","9","6","3","0","6","1","6","0","10","0","0","0","0","0","5","0","9","0","1","5","0","1","0","5","5","3","0","11","0","193","0","16","5","12","0","0","0","4","6","10","101","2","3","14","0","0","40","25","6","0","0","0","1","0","0","0","6","2","0","0","0","0"
"6479",NA,NA,"200","5","0","65","7","2","12","8","1","0","1","1","8","1","9","0","0","0","0","0","0","0","4","0","0","9","0","1","0","0","6","2","0","15","1","191","0","8","6","3","0","0","0","5","9","6","110","7","4","16","0","0","38","16","12","0","2","0","1","0","1","0","10","1","0","0","0","0"
"6551",NA,NA,"202","4","0","81","12","1","12","5","2","0","3","0","6","0","11","0","0","1","0","0","8","0","9","0","2","7","0","0","0","0","8","2","0","12","0","189","0","11","1","11","0","0","0","3","10","7","66","6","5","13","0","0","65","16","6","1","4","0","3","0","1","0","11","1","0","0","0","0"
"6623",NA,NA,"204","5","0","66","4","3","10","3","3","1","8","0","7","0","15","0","1","0","1","0","5","0","5","0","1","9","0","2","0","0","7","2","2","6","0","178","0","9","2","9","0","0","0","1","8","8","145","0","3","11","0","0","22","29","16","0","2","0","0","0","1","0","6","1","0","0","0","0"
"6696",NA,NA,"206","3","0","88","6","2","11","7","2","0","6","0","9","0","11","0","0","0","0","0","0","0","5","0","1","10","0","0","0","1","5","5","2","7","0","177","0","7","3","4","0","0","0","2","13","8","127","4","3","17","0","1","21","26","9","0","3","0","1","0","3","0","8","2","0","0","0","0"
"6768",NA,NA,"208","6","0","74","6","1","9","9","4","0","5","0","10","0","11","0","0","0","0","0","2","0","8","0","0","9","0","0","0","0","10","4","0","8","0","175","0","15","3","7","0","0","0","5","11","12","83","0","4","15","0","0","60","17","13","0","3","0","5","0","1","0","8","1","0","0","1","0"
"6841",NA,NA,"210","5","0","89","8","2","15","8","3","1","4","2","8","1","12","0","1","0","0","0","3","0","13","0","1","5","0","0","0","0","7","0","0","12","0","195","0","10","4","5","0","0","0","3","7","8","188","3","3","13","0","2","18","20","12","0","1","0","2","0","2","0","12","2","0","0","0","0"
"6913",NA,NA,"212","4","0","70","5","1","13","7","2","0","3","1","6","0","15","0","0","0","2","0","7","0","7","0","3","8","0","1","0","2","8","3","0","9","1","187","0","8","3","5","0","0","0","2","10","10","150","6","2","12","0","0","25","23","8","0","4","0","1","0","1","0","13","1","0","0","0","0"
