"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Indeterminable","Juglans","Lamiaceae undif.","Linum t.","Myriophyllum undif.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Secale","Sparganium","Spike","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Vitis"
"3380.0",NA,NA," 476.0","   3.4","   0.0","   0.0","   0.0"," 250.0","   2.0","  26.0","   3.0","   5.0","   5.0"," 161.0","   0.0","   0.0","   1.0","   5.0","   0.0","   2.0","   0.0","   0.0","   1.0","   5.0","   2.0","   0.0","   2.0","  12.0","   2.0","   0.0","   8.0","   5.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   3.0","   0.0","   0.0","   3.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  43.0","   1.0","  35.0","   0.0","   0.0","  75.0","   4.0","   0.0","   1.0","  23.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   8.0","   0.0","   2.0"," 115.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3412",NA,NA," 484","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","  30","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  16","   0","   1","   0","   0","  13","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  91","   0","   0","   0","   0","   0","   0"
"3475.0",NA,NA," 500.0","   3.4","   0.0","   0.0","   0.0"," 986.0","   1.0","  30.0","   0.0","   3.0","   2.0"," 252.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   1.0","   3.0","   0.0","   0.0","   5.0","   0.0","   0.0","   3.0","   2.0","  10.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  25.0","   1.0","  12.0","   3.0","   0.0","  31.0","   0.0","   2.0","   0.0","  31.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","  41.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3511.0",NA,NA," 508.0","   4.2","   0.0","   0.0","   0.0"," 456.0","   5.0","  30.0","   0.0","   0.0","   2.0"," 244.0","   0.0","   2.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","  12.0","   0.0","   0.0","   2.0","   5.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   6.0","   2.0","   0.0","   1.0","   7.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  69.0","   0.0","   8.0","   0.0","   0.0","  22.0","   0.0","   0.0","   1.0","  29.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  38.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"3548.0",NA,NA," 516.0","   3.8","   0.0","   0.0","   0.0","   0.0","   0.0","  22.0","   0.0","   3.0","   2.0"," 178.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   0.0","   1.0","   9.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  27.0","   0.0","   5.0","   0.0","   0.0","  37.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","  63.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3586.0",NA,NA," 524.0","   3.6","   0.0","   0.0","   0.0","   0.0","   1.0","  14.0","   0.0","   5.0","   4.0"," 209.0","   0.0","   0.0","   0.0","   3.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   6.0","   4.0","   0.0","   1.0","   4.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 139.0","   0.0","   5.0","   0.0","   0.0","  49.0","   3.0","   1.0","   0.0","  28.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   3.0","   0.0","   0.0","  40.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0"
"3624",NA,NA," 532","   3","   0","   0","   0","   0","   1","   9","   0","   7","   7"," 142","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   1","   1","   1","   0","   5","  14","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 218","   0","   1","   0","   0","  16","   3","   0","   0","  31","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","  26","   0","   0","   0","   0","   0","   0"
"3661.0",NA,NA," 540.0","   2.4","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","  14.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 355.0","   0.0","   3.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","  39.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  88.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0"
"3699.0",NA,NA," 548.0","   2.2","   0.0","   0.0","   0.0","   1.0","   1.0","  19.0","   0.0","   3.0","   2.0"," 178.0","   0.0","   0.0","   1.0","   5.0","   0.0","   2.0","   0.0","   0.0","   0.0","   8.0","   3.0","   0.0","   2.0","   5.0","   0.0","   0.0","   2.0","  18.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   1.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 106.0","   0.0","   8.0","   0.0","   0.0","  40.0","   0.0","   0.0","   0.0","  67.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0"," 107.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"3783",NA,NA," 556","   3","   0","   1","   0"," 658","   1","  39","   0","   1","   2"," 123","   1","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   1","   0","   0","   0","   7","   3","   0","   0","   0","   0","   0","   0","   3","   0","   3","   0","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0","   0"," 184","   0","   2","   0","   0","  21","   3","   0","   0","  35","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 190","   0","   0","   0","   0","   0","   0"
"3928.0",NA,NA," 564.0","   3.2","   0.0","   0.0","   0.0","   0.0","   3.0","  28.0","   0.0","   3.0","   1.0"," 216.0","   0.0","   0.0","   2.0","   7.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   5.0","  12.0","   0.0","   1.0","  15.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   2.0","   1.0","   0.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  91.0","   0.0","   6.0","   0.0","   0.0","  27.0","   1.0","   0.0","   0.0","  30.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   3.0","   3.0","   0.0","   0.0"," 113.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"4073.0",NA,NA," 572.0","   2.4","   0.0","   0.0","   1.0","   0.0","   1.0","  15.0","   1.0","   1.0","   2.0"," 107.0","   0.0","   1.0","   1.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   2.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  55.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"4218.0",NA,NA," 580.0","   3.2","   0.0","   0.0","   0.0","5000.0","   0.0","  84.0","   0.0","   3.0","   3.0"," 252.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","   0.0","   4.0","   1.0","   0.0","   1.0","   3.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  28.0","   0.0","  14.0","   0.0","   0.0","  35.0","   0.0","   0.0","   0.0","  20.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  36.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0"
"4363",NA,NA," 588","   3","   0","   0","   0","   3","   0","  22","   1","   1","   1"," 303","   0","   0","   0","   0","   0","   0","   0","   0","   5","   3","   0","   0","   1","  10","   1","   0","   0","   4","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   3","   0","   0","   0","   0","   0","   0","   0","  56","   0","   5","   0","   0","   6","   0","   0","   0","  16","   4","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0"," 204","   1","   0","   0","   0","   0","   0"
"4507.0",NA,NA," 596.0","   2.8","   0.0","   0.0","   0.0","   0.0","   0.0","  26.0","   0.0","   5.0","   1.0"," 231.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   3.0","   4.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   6.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  56.0","   0.0","   3.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","  24.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","  96.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"4658",NA,NA," 604","   3","   0","   0","   0","   0","   2","  18","   2","   5","  12"," 187","   0","   0","   0","   0","   0","   8","   5","   0","   1","   4","  31","   0","   1","   9","   0","   0","   1","   4","   4","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   1","  11","   5","   0","   7","   0","   0","   0","   0","   0","  95","   0","   2","   0","   0"," 102","   1","   1","   0","  31","   1","   0","   0","   4","   0","   1","   1","   0","   0","   1","   0","   0","  49","   1","   0","   1","   0","   0","   0"
"4832.0",NA,NA," 612.0","   3.4","   0.0","   0.0","   0.0","   1.0","   0.0","  11.0","   0.0","   2.0","   2.0","  55.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   5.0","   1.0","   0.0","   2.0","   7.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  90.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  78.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5181",NA,NA," 628","   3","   0","   0","   0","   0","   0","   9","   1","   0","   0","  76","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   0","   2","   4","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  37","   1","   3","   0","   0","   3","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 200","   0","   0","   0","   0","   0","   0"
"5356",NA,NA," 636","   2","   0","   0","   0","   9","   1","  40","   0","   4","   0"," 308","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   3","   0","   0","   3","   1","   0","   1","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  63","   0","   1","   0","   0","   7","   0","   1","   0","  29","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 206","   0","   0","   0","   1","   1","   0"
"5530.0",NA,NA," 644.0","   1.8","   0.0","   0.0","   0.0","   9.0","   1.0","  17.0","   0.0","   4.0","   3.0"," 161.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   1.0","   0.0","   5.0","  15.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 142.0","   1.0","   0.0","   0.0","   0.0","   5.0","   1.0","   1.0","   0.0","  20.0","   1.0","   1.0","   0.0","   2.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 146.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0"
"5595",NA,NA," 647","   2","   0","   0","   0","  43","   4","   7","   0","   2","   3"," 258","   0","   0","   5","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","   4","   2","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   6","   0","   4","   0","   0","   0","   0","   0","   1","   0","  93","   3","   0","   0","   0","  11","   0","   1","   0","  47","   2","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0"," 292","   0","   0","   0","   0","   0","   0"
"5664.0",NA,NA," 652.0","   2.2","   0.0","   0.0","   0.0"," 346.0","   0.0","  52.0","   1.0","   3.0","   1.0"," 232.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   6.0","   0.0","   1.0","  17.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","  89.0","   0.0","   2.0","   0.0","   1.0","   5.0","   2.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  75.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5711.0",NA,NA," 660.0","   2.2","   0.0","   0.0","   0.0"," 536.0","   0.0","  31.0","   0.0","   3.0","   3.0"," 126.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","  11.0","   0.0","   0.0","   0.0","  31.0","   2.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   4.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 119.0","   1.0","   4.0","   0.0","   0.0","  56.0","   5.0","   1.0","   0.0","  13.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0"," 146.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"5850.0",NA,NA," 684.0","   3.2","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   2.0","   1.0","   1.0","  83.0","   0.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   6.0","   0.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  84.0","   1.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","  27.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  39.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0"
