"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Brassicaceae","Cannabaceae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cyperaceae","Ephedra","Fabaceae Undif.","Fern","Juglans","Juncaceae","Lamiaceae undif.","Lythrum","Monoletes","Myriophyllum undif.","Olea t.","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Sanguisorba t.","Sesamum","Tamarix","Triletes","Typha","Unknown"
"11183",NA,NA,"  232","    0","    0","   23","    5","    0","   12","    2","    0","    2","    0","    0","    0","  105","   15","    1","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","  129","    1","    1","    0","    0","   18","    1","    1","    0","    0","    0","    0","    0","    0"
"11331",NA,NA,"  236","    0","    0","   36","    8","    1","   10","    1","    0","    1","    0","    0","    0","   87","   14","    1","    1","    0","    0","    6","    3","    0","    0","    0","    0","    1","    0","    0","  127","    2","    0","    0","    0","   23","    2","    0","    0","    0","    0","    0","    1","    2"
"11589",NA,NA,"  243","    0","    2","   35","    0","    0","    3","    0","    0","    0","    0","    3","    0","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   97","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    6"
"11700",NA,NA,"  246","    0","    2","  115","    2","    2","    6","    3","    0","    1","    0","    3","    2","   23","   38","    0","    0","    0","    0","   81","    0","    0","    0","    1","    0","    1","    0","    0","  138","    5","    0","    1","    0","    9","    2","    0","    0","    0","    0","    0","   11","    2"
"11758",NA,NA,"  249","    0","    1","  134","    3","    7","    9","    2","    0","    4","    0","    3","    1","    7","   38","    0","    0","    0","    0","   90","    0","    0","    0","    2","    0","    2","    0","    0","  139","    2","    1","    1","    0","   12","    3","    0","    0","    0","    0","    0","    6","    4"
"12358",NA,NA,"  280","    1","    0","   30","    0","    2","    3","    1","    0","    0","    0","    0","    0","    6","   14","    2","    0","    0","    0","    5","    1","    0","    0","    0","    0","    1","    0","    0","   22","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0"
"12416",NA,NA,"  283","    0","    0","   40","    0","    0","    3","    3","    0","    0","    0","    3","    0","   18","   21","    0","    0","    0","    0","   15","    0","    0","    0","    0","    0","    1","    0","    0","  113","    0","    1","    3","    0","   11","    0","    1","    0","    0","    0","    0","    0","    0"
"12745",NA,NA,"  300","    0","    0","   35","    1","    5","    7","    6","    0","    2","    0","    1","    1","   16","    8","    2","    3","    0","    0","    5","    0","    0","    3","    0","    0","    1","    0","    1","   51","    1","    0","    0","    0","   16","    1","    0","    0","    0","    0","    0","    7","    0"
"12803",NA,NA,"  303","    0","    0","   44","    4","    3","    6","    3","    0","    1","    0","    2","    2","   12","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   66","    0","    1","    1","    0","    7","    0","    0","    0","    0","    0","    0","    2","    2"
"12900",NA,NA,"  308","    0","    0","   94","   16","    7","   11","    4","    0","    0","    0","    1","    0","   37","   10","    2","    0","    0","    0","   98","    0","    0","    0","    4","    0","    0","    0","    0","  114","    2","    0","    2","    0","    6","    1","    0","    0","    0","    0","    0","    4","    2"
