"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Alnus","Amaranthaceae undif.","Anagallis t.","Angiospermae undiff. (herbs)","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Bryophyta undiff.","Buxus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hypericum undif.","Ilex","Indeterminable","Indeterminable (concealed)","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Larix","Lemnaceae","Linum t.","Lonicera","Lotus t.","Malva undif.","Menyanthes","Mercurialis","Morella","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Ostrya","Oxyria","Papaver t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta undiff.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Pterocarya","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Rutaceae undif.","Salix","Sambucus","Samolus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae undif.","Spermatophyta undiff. (trees/shrubs)","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Unknown undiff.","Urtica t.","Valeriana t.","Viburnum","Viola","Viscum","Vitis","cf. Frangula/Bruckenthalia","cf. Larix","cf. Trichomanes"
" 14450.0",NA,NA,"  875.30","0","0","0","0","4","0","20","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","2","0","0","117","3","0","1","1","0","0","0","0","0","0","20","0","0","0","0","0","1","0","5","0","0","0","0","0","0","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14501.0",NA,NA,"  877.80","0","1","0","0","8","0","22","0","0","27","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","123","11","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","14","0","0","0","0","0","0","73","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 14504.0",NA,NA,"  877.90","0","0","0","1","5","0","21","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","128","3","0","2","1","0","0","0","0","0","0","24","0","0","0","0","0","5","0","4","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14557.0",NA,NA,"  880.50","0","0","0","1","20","0","0","0","11","75","0","6","26","0","2","0","0","0","0","0","0","5","0","3","0","0","0","0","1","0","1","1","0","1","0","12","6","0","0","0","0","0","0","0","4","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","1","0","0","145","0","1","0","0","0","1","0","0","0","0","13","1","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 14580.0",NA,NA,"  881.40","0","0","0","0","22","0","36","0","0","54","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","116","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","3","0","0","0","0","0","0","0","0","44","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14647.0",NA,NA,"  884.10","0","0","0","0","7","0","18","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","154","1","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","4","0","9","0","0","0","0","0","0","55","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 14712.0",NA,NA,"  886.70","0","1","0","1","20","0","29","0","0","70","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","113","8","0","0","1","0","0","0","0","0","0","8","0","0","0","0","0","4","0","2","0","0","0","0","0","0","31","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 14791.0",NA,NA,"  889.80","0","0","0","1","21","0","30","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","1","0","0","100","3","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","5","0","1","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14809.0",NA,NA,"  890.50","0","0","0","2","27","0","0","2","8","82","0","2","32","1","2","0","0","0","0","1","0","1","1","4","0","0","0","0","3","0","1","0","1","1","0","43","14","0","0","0","3","0","0","0","1","0","0","2","0","4","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","13","0","1","0","0","118","1","0","0","0","0","1","0","0","0","0","13","1","1","0","0","1","6","0","3","0","0","0","0","0","1","0","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
" 14844.1",NA,NA,"  891.82","0","0","0","2","18","0","20","0","0","64","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","100","4","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","1","0","5","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14844.5",NA,NA,"  891.83","0","0","0","0","22","0","19","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","92","2","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","3","0","5","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 14950.0",NA,NA,"  895.80","0","0","0","2","15","0","23","0","0","65","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","114","7","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","1","0","3","0","0","0","0","0","0","13","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
" 15024.0",NA,NA,"  898.60","0","0","0","1","16","0","17","0","0","57","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","2","0","0","103","9","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","1","0","3","0","0","0","0","0","0","30","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
" 15055.0",NA,NA,"  899.70","0","0","0","1","24","0","18","0","0","66","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","104","6","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","1","0","4","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 15075.0",NA,NA,"  900.50","1.5","0","0","0","24","0","0","0","7","83","0","2","10","1","0","0","0","0","0","0","0","3","0","2","2","0","0","0","1","0","2","1","0","0","0","85","6","0","0","0","0","0","0","0","3","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","23","0","1","0","0","128","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","3","0","1","4","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 15185.0",NA,NA,"  905.50","0","0","0","0","39","0","14","0","0","78","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","123","4","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","4","0","1","0","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 15213.0",NA,NA,"  906.80","0","0","0","0","18","0","30","0","0","64","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","100","6","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","2","0","3","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 15296.0",NA,NA,"  910.50","0","0","0","0","31","0","0","3","8","83","0","1","5","1","2","0","0","0","0","0","0","0","0","9","0","0","0","0","1","0","0","1","0","0","0","64","10","0","0","0","3","0","0","0","0","0","0","0","1","7","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","2","0","0","126","3","0","0","0","0","0","0","0","0","0","6","1","1","0","0","1","2","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
" 15364.0",NA,NA,"  912.40","0","0","0","0","25","0","19","0","0","65","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","92","7","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","2","0","0","0","0","0","0","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 15477.0",NA,NA,"  915.50","0","0","0","0","25","0","32","0","0","73","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","85","7","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
" 15490.0",NA,NA,"  915.90","0","0","0","0","37","0","13","0","0","63","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","10","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","59","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 15655.0",NA,NA,"  920.50","0","1","0","2","44","0","0","0","3","118","0","2","11","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","5","1","1","0","22","3","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","15.5","0","2","0","0","132","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
" 15669.0",NA,NA,"  920.80","0","0","0","0","17","0","19","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","2","0","0","70","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 15849.0",NA,NA,"  924.80","0","0","0","0","31","0","19","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","2","0","0","74","6","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16028.0",NA,NA,"  928.70","0","0","0","0","40","0","21","0","0","62","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","78","12","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16107.0",NA,NA,"  930.50","0","0","0","0","30","0","0","4","4","95","0","0","3","0","3","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","1","3","0","0","0","77","0","0","0","0","0","0","1","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","21","0","1","0","0","89","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 16207.0",NA,NA,"  935.50","0","0","0","0","24","0","14","0","0","70","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","4","0","0","87","5","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16387.0",NA,NA,"  944.60","0","0","0","0","31","0","24","0","0","109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","115","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16566.0",NA,NA,"  953.60","0","0","0","0","28","0","20","0","0","73","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","6","0","0","100","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16745.0",NA,NA,"  962.60","0","0","0","0","24","0","18","0","0","100","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","5","0","0","106","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 16881.0",NA,NA,"  969.50","0","0","0","0","31","0","0","7","8","120","0","1","0","2","2","0","0","0","0","0","0","0","1","5","0","0","0","0","1","0","0","2","0","0","0","37","4","0","0","0","5","0","1","1","0","0","0","0","0","7","0","0","0","5","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","34","0","2","0","0","142","0","1","0","0","0","0","0","0","0","0","3","1","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 16924.0",NA,NA,"  979.50","0","0","0","1","10","0","21","0","0","57","0","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","34","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","0","2","0","0","120","7","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 17387.0",NA,NA,"  989.50","1","0","0","2","6","0","0","4","4","68","0","1","1","1","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2","8","0","0","0","56","5","0","0","0","2","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","4","0","8","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","66","0","3","0","0","168","10","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","3","1","0","0","0","0","1","0","0","0"
" 17763.0",NA,NA," 1009.50","0","0","0","2","11","0","0","0","3","104","0","8","6","0","3","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","2","9","0","0","0","22","10","0","0","0","0","0","1","1","2","0","0","5","0","6","0","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","65","0","5","0","0","177","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
" 17986.0",NA,NA," 1019.50","0","0","0","0","29","0","0","2","13","83","0","2","1","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","1","3","0","0","0","10","13","0","0","0","0","1","1","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","75","0","3","0","0","138","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 18245.0",NA,NA," 1029.50","1","0","0","0","14","0","0","4","7","69","0","0","6","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","9","0","0","0","44","2","0","0","0","2","0","2","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","70","0","3","0","0","178","3","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 18693.0",NA,NA," 1049.50","0","0","0","0","9","0","0","0","3","73","0","1","3","0","1","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","2","6","0","0","0","44","3","0","0","0","0","0","0","1","2","0","0","0","1","6","0","0","0","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67","0","2","0","0","142","0","0","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0"
" 18826.0",NA,NA," 1059.50","0","0","0","4","7","0","0","0","7","64","0","3","4","0","2","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","1","2","1","0","0","22","4","0","0","0","1","0","0","0","1","0","0","0","2","7","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","93","0","3","0","0","160","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","6","0","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","4","0","0","0"
" 19050.0",NA,NA," 1071.00","0","0","0","0","5","0","0","4","3","43","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","16","10","0","0","0","3","0","0","0","0","0","0","0","0","9","0","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","0","2","0","0","161","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
" 19365.0",NA,NA," 1111.00","0.5","0","0","0","18","0","0","0","3","29","0","8","0","0","2","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","10","0","0","0","2","14","0","0","0","0","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","217","0","2","0","0","50","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 19635.0",NA,NA," 1121.00","0","0","0","0","8","0","0","5","7","66","0","4","0","0","0","11","0","0","0","0","0","2","0","1","2","0","0","0","1","0","2","6","1","0","0","25","17","0","0","0","1","0","0","3","1","0","0","0","0","3","0","0","0","2","0","0","3","0","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","64","0","5","0","0","141","5","0","0","0","5","0","0","0","0","0","0","3","0","0","0","0","5","0","0","1","0","0","0","0","2","0","0","0","6","0","0","0","1","0","1","4","0","0","0","0","0","0","0","0","0"
" 20015.0",NA,NA," 1130.50","0","0","2","0","13","0","0","8","8","51","0","0","1","1","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","1","8","0","0","0","26","4","0","0","0","1","0","0","1","1","0","0","1","0","5","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","0","5","0","1","114","0","0","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0"
" 21000.0",NA,NA," 1162.50","0","0","0","1","5","0","0","7","3","47","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","3","0","0","0","8","4","0","0","0","3","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","119","0","1","0","0","113","4","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
