"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Algae? (type 229, HdV)","Alnus","Alternaria","Amaranthaceae undif.","Amphisphaerella dispersella (type 310, HdV)","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Brassicaceae","Byssothecium circinans (type 16C, HdV)","Callitriche","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cercophora-type/Cercophora sp. (type 112, HdV)","Chaetomium sp. (type 7A, HdV)","Cichorieae","Cistaceae","Copepoda (type 28, HdV)","Corylus","Cupressaceae","Cyperaceae","Drosera","Erica t.","Erodium","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Frangula","Fraxinus","Fungi (type 123, HdV)","Fungi (type 18, HdV)","Fungi (type 19, HdV)","Fungi (type 20, HdV)","Fungi (type 305, HdV)","Fungi (type 351, HdV)","Fungi (type 461, HdV)","Fungi (type 495, HdV)","Fungi (type 65, HdV)","Fungi (type 90, HdV)","Fungi (type 92, HdV)","Galium t.","Gelasinospora (type 1, HdV)","Gelasinospora cf. G. retispora (type 2, HdV)","Genisteae","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Ilex","Juglans","Lamiaceae undif.","Lasiosphaeria sp. (type 63C, HdV)","Malva","Microthyrium sp.? (Type 8B)","Musci","Neurospora crassa (type 55C, HdV)","Olea t.","Onagraceae","Petaloid monocot","Pinus mediterranea","Pinus nigra/sylvestris t.","Pinus pinaster","Plantago","Pleospora sp. (type 3B, HdV)","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Podospora-type (type 368, HdV)","Polygonum t.","Potamogeton","Prunus t.","Pseudoschizaea circula","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia cf. R. sorocarpa (type 165, HdV)","Rosaceae undif.","Rumex t.","Salix","Sambucus","Scrophulariaceae undif.","Secale","Sordaria-type (type 55A, HdV)","Sporormiella (type 113, HdV)","Tardigrada (type 902, HdV)","Taxus","Trichocladium opacum (type 10A, HdV)","Ulmus t.","Unknown","Unknown (type 708, HdV)","Urtica t.","Viburnum","Vitis","Zygnema-type (type 314, HdV)","cf. Persiciospora (type 124, HdV)","cf. Richonia variospora (type 140, HdV)"
"1450",NA,NA,"  82","   0","   0","   0","  11","   0","   0","   3","   0","   0","   0","   1","   0","  17","   6","   1","   5","   0","   0","   0","   1","   3","  12","  20","   0","   6","   0","  12","   1","   0","  36","   0","  45","   0","  60","   1","  20","   0","  88","  56","   5","   1","   0","   0","   0","   0","   2","   7","   6","   0","   1","   0","   0","   0","   0","   0","   3","   0","   1","   2","   0","   1","   0","   0","   0","   1","   0","   0","   0","   7","   0","  17","   0","   7","   0","   1"," 235","  12","   0","   0","   0","   7","   0","  66","   6","   0","   0","   0","   1","   7","   2","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0"
"1462",NA,NA,"  84","   0","   0","   0","  18","   1","   0","   5","   1","   1","   0","   1","   0","  13","  10","   1","   3","   0","   1","   0","   0","   7","  17","  13","   0","   2","   2","   4","   0","   0","  37","   0","  34","   0","  62","   2","  13","   0","  61","  82","   1","   2","   0","   1","   0","   0","   2","   5","   6","   0","   0","   1","   0","   0","   0","   0","   4","   0","   4","   0","   1","   1","   0","   0","   0","   3","   0","   0","   0","   9","   0","  15","   0","   9","   0","   1"," 188","  13","   0","   0","   0","   5","   0","  59","   6","   0","   0","   0","   0","   0","   4","   0","   0","   2","   6","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0"
"1474",NA,NA,"  86","   0","   0","   0","   7","   0","   0","   6","   0","   1","   0","   0","   0","  17","   4","   1","   6","   0","   0","   0","   1","  10","  17","  12","   0","   0","   1","  13","   0","   0","  57","   0","  36","   0","  72","   2","  10","   0","  63","  60","   1","   1","   0","   1","   0","   0","   7","   8","   3","   0","   6","   2","   0","   0","   0","   0","   5","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","  17","   0","  13","   1","   0"," 196","  13","   0","   0","   0","   4","   0","  53","   8","   0","   1","   0","   0","   6","   6","   0","   0","   1","   7","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0"
"1485",NA,NA,"  88","   0","   0","   1","  11","   0","   0","  10","   1","   2","   0","   0","   0","  20","   5","   3","   2","   0","   0","   0","   0","   5","  19","  27","   0","   1","   1","  14","   1","   0","  34","   0","  44","   0","  76","   2","  16","   1","  78","  42","   1","   1","   0","   1","   0","   0","   5","   5","   8","   1","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   3","   0","  26","   0","   4","   0","   0"," 211","  12","   1","   0","   0","   7","   0","  34","   6","   0","   0","   0","   1","   5","   0","   0","   0","   0","   7","   3","   0","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   0"
"1497",NA,NA,"  90","   0","   0","   0","  14","   0","   0","   3","   0","   1","   1","   2","   0","  15","   9","   1","   6","   1","   0","   0","   0","  10","  11","   5","   0","   2","   1","   4","   0","   0","  52","   0","  41","   0","  98","   2","  13","   0","  54","  69","   2","   4","   0","   1","   0","   0","   5","   5","  12","   0","   2","   5","   0","   0","   0","   0","   3","   0","   1","   0","   0","   1","   2","   0","   0","   1","   0","   0","   0","   7","   0","  24","   2","   7","   3","   0"," 184","  14","   0","   0","   0","   6","   0","  36","   4","   0","   0","   2","   0","   5","   2","   0","   0","   0","  15","   1","   0","   0","   0","   1","   2","   5","   1","   0","   0","   1","   0","   0"
"1509",NA,NA,"  92","   0","   0","   3","  11","   1","   0","   6","   0","   0","   2","   0","   0","  23","   4","   3","   5","   0","   0","   0","   0","   7","  16","  20","   0","   2","   1","   8","   1","   0","  38","   0","  65","   0","  68","   1","  17","   0","  85","  39","   0","   2","   0","   1","   0","   0","  13","   2","  11","   0","   0","   5","   0","   0","   0","   1","   5","   0","   2","   2","   1","   0","   1","   0","   0","   2","   1","   1","   0","   2","   0","  23","   0","  12","   0","   0"," 244","  17","   2","   0","   0","   7","   0","  41","   4","   0","   0","   0","   2","   2","   0","   0","   0","   0","   3","   1","   0","   0","   0","   1","   2","   0","   1","   0","   1","   0","   0","   0"
"1521",NA,NA,"  94","   0","   0","   0","  12","   0","   0","   0","   1","   1","   0","   1","   0","  30","  10","   4","   8","   0","   0","   0","   0","   1","  29","  22","   0","   2","   2","  13","   3","   0","  57","   0","  74","   0","  55","   3","   8","   0","  82","  70","   0","   3","   0","   3","   0","   0","   7","   8","  11","   0","   0","   2","   0","   0","   2","   1","   8","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","  24","   0","   8","   0","   0"," 203","   8","   2","   0","   0","   4","   1","  65","   8","   0","   0","   0","   0","   8","   6","   0","   1","   0","   6","   2","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0"
"1533",NA,NA,"  96","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","  17","   4","   0","   5","   0","   0","   0","   1","   4","  14","  20","   0","   1","   1","   6","   0","   0","  69","   0","  63","   0","  23","   1","   9","   0","  94","  21","   0","   3","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   5","   0","  17","   0","  14","   0","   0"," 200","  17","   0","   0","   0","   5","   0","  65","   5","   0","   2","   0","   0","   1","   5","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   4","   1","   0","   0","   0","   0","   0"
"1679",NA,NA,"  98","   0","   0","   0","  18","   0","   0","   1","   0","   1","   0","   0","   0","  21","  17","  17","   4","   0","   0","   1","   0","   0","  18","  27","   0","   5","   1","   4","   0","   0","  73","   0","  42","   0","  73","   3","   7","   0","  93","  41","   1","   1","   0","   0","   0","   0","   4","   5","   9","   0","   0","   1","   0","   0","   2","   2","   4","   0","   4","   0","   0","   0","   2","   0","   0","   1","   3","   0","   0","   7","   0","  19","   0","  11","   0","   1"," 123","  11","   2","   0","   0","   8","   0","  81","   7","   0","   4","   0","   2","   1","   6","   0","   0","   0","   9","   6","   0","   0","   0","   1","   4","   2","   0","   1","   0","   0","   1","   0"
"1826",NA,NA," 100","   0","   0","   0","   8","   0","   1","   0","   1","   2","   0","   0","   0","  21","   3","   0","   2","   0","   0","   0","   0","   3","  14","  23","   1","   1","   0","   6","   0","   0","  80","   0","  70","   0","  32","   2","   4","   0"," 120","   0","   0","   2","   0","   0","   0","   0","  19","   2","   8","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   3","   0","   0","   1","   0","   0","   4","   0","   0","   0","   8","   0","  20","   0","   7","   0","   0"," 195","  13","   0","   0","   0","   4","   0","  65","   7","   0","   2","   0","   0","   1","   2","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0"
"1972",NA,NA," 102","   0","   0","   0","  13","   0","   1","   0","   0","   0","   0","   2","   1","  22","   5","   3","   2","   0","   0","   0","   2","   0","  21","  22","   1","   0","   1","  11","   1","   0","  88","   0","  60","   0","  28","   1","   9","   0"," 108","  23","   0","   4","   0","   0","   0","   0","   8","   3","   9","   0","   3","   2","   0","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","  17","   0","  20","   1","   0"," 222","  18","   0","   0","   0","   7","   0","  74","   4","   0","   1","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   0"
"2118",NA,NA," 104","   0","   0","   0","  10","   0","   0","   2","   0","   2","   0","   0","   0","  35","   3","   1","   2","   0","   0","   0","   1","   0","  30","  17","   0","   0","   2","  26","   0","   0"," 124","   0","  96","   0","  30","   0","   7","   0"," 118","  44","   0","   1","   0","   0","   0","   0","  11","   0","   7","   0","   2","   3","   0","   0","   0","   0","   2","   0","   0","   5","   0","   0","   0","   0","   0","   3","   0","   0","   0","   8","   0","  20","   0","   9","   0","   0"," 185","  14","   0","   1","   0","  12","   0","  59","   7","   0","   1","   0","   0","   4","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"2265",NA,NA," 106","   0","   0","   1","  15","   0","   0","   7","   1","   0","   0","   2","   0","  24","   5","   3","   5","   0","   0","   1","   0","   0","  25","  11","   1","   0","   3","  10","   1","   0","  80","   0","  76","   0","  31","   0","   7","   0"," 122","  64","   0","   5","   0","   0","   0","   0","  12","   1","   7","   0","   2","   2","   0","   0","   0","   0","   6","   1","   0","   1","   0","   0","   0","   0","   0","  11","   1","   1","   0","   7","   0","  25","   0","  13","   0","   0"," 139","  15","   0","   2","   0","  11","   0","  68","   8","   0","   1","   0","   0","   6","  11","   0","   0","   0","   3","   3","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0"
"2411",NA,NA," 108","   0","   2","   0","  22","   1","   0","   3","   0","   2","   0","   0","   0","  16","   9","   1","   0","   1","   1","   0","   0","   0","  16","   7","   0","   0","   2","  11","   0","   0"," 142","   1","  70","   0","  30","   0","   7","   0"," 145","  81","   0","   2","   0","   0","   0","   0","   6","   6","   4","   0","   1","   1","   1","   0","   0","   0","   2","   0","   2","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","  20","   0","   9","   0","   0"," 158","  15","   0","   0","   0","   8","   0","  50","   3","   0","   3","   0","   0","   4","   4","   0","   0","   0","   9","   0","   1","   0","   0","   0","   3","  19","   2","   0","   0","   0","   0","   0"
"2558",NA,NA," 110","   2","   1","   1","  16","   0","   0","   0","   1","   0","   0","   0","   1","  32","  12","   7","   2","   0","   0","   0","   0","   0","  24","   2","   0","   4","   1","   9","   2","   0"," 122","   0","  64","   0","  47","   0","   8","   0"," 132"," 217","   1","   2","   0","   0","   0","   0","   7","   6","   6","   0","   1","   2","   0","   0","   0","   0","   3","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","  11","   0","  34","   1","   8","   1","   0"," 148","  14","   0","   0","   0","   7","   0","  42","   6","   0","   1","   0","   1","   1","   8","   0","   0","   0","   2","   2","   0","   0","   0","   0","   6","  11","   1","   0","   0","   0","   0","   0"
"2659",NA,NA," 112","   0","   0","   0","  10","   0","   1","   5","   1","   0","   0","   0","   0","  27","  19","   7","   3","   0","   0","   1","   0","   0","  16","   7","   0","   4","   3","  12","   1","   0","  98","   1","  97","   0","  32","   1","   6","   0"," 168"," 151","   1","   5","   6","   0","   0","   0","   0","   1","   6","   0","   2","   9","   0","   0","  11","   0","   1","   1","   1","   1","   2","   0","   6","   0","   0","   1","   0","   0","   0","   7","   0","  54","   0","   3","   0","   0"," 171","  16","   0","   0","   0","  10","   0","  46","   3","   0","   0","   0","   0","   4","   7","   0","   2","   0","   4","   7","   0","   0","   0","   1","   4","  38","   3","   0","   0","   0","   0","   0"
"2760",NA,NA," 114","   0","   0","   0","   9","   0","   1","   2","   1","   3","   0","   1","   0","  35","  11","   2","   4","   0","   0","  11","   1","   0","  11","   9","   0","   6","   0","  20","   0","   0"," 113","   0","  62","   0","  44","   0","   5","   0"," 171"," 109","   0","   0","   2","   0","   0","   0","   0","   5","  12","   0","   3","   3","   0","   0","   2","   0","   1","   2","   1","   2","   0","   0","   7","   0","   0","   0","   0","   1","   0","   8","   0","  58","   2","   4","   0","   0"," 145","   9","   0","   0","   0","   6","   0","  54","   4","   0","   4","   0","   1","   5","   5","   0","   0","   0","   4","   3","   0","   0","   0","   0","   6","  23","   2","   0","   0","   0","   0","   0"
"2862",NA,NA," 116","   0","   0","   0","   4","   0","   1","   0","   1","   1","   0","   1","   0","  31","  14","   3","   3","   0","   2","   0","   0","   0","   6","   5","   0","   0","   1","  21","   0","   0"," 105","   0","  57","   0","  41","   0","   2","   0"," 153"," 252","   3","   3","   1","   0","   0","   0","   0","   7","   5","   0","   1","   2","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   4","   0","  60","   1","   4","   0","   2"," 160","   8","   0","   0","   0","   6","   0","  48","   3","   0","   0","   0","   0","   6","   5","   0","   0","   1","   5","   0","   0","   0","   0","   0","   8","   7","   0","   0","   0","   0","   0","   0"
"2963",NA,NA," 118","   0","   1","   0","   9","   0","   1","   1","   0","   1","   0","   2","   0","  28","   7","   2","   5","   0","   1","   0","   1","   0","  16","   2","   0","   1","   0","  28","   0","   0","  96","   2","  40","   0","  42","   2","   2","   0","  91"," 413","   0","   6","   0","   0","   0","   0","   0","   4","   5","   0","   1","   2","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","  79","   3","   4","   0","   2"," 144","  16","   0","   0","   0","   8","   0","  55","   4","   0","   1","   0","   0","   1","   4","   0","   2","   0","   2","   1","   0","   0","   0","   0","   7","  19","   2","   0","   0","   0","   0","   0"
"3064",NA,NA," 120","   0","   1","   0","   5","   1","   1","   0","   2","   0","   0","   0","   0","  23","  10","   4","   7","   0","   0","   0","   0","   0","  12","   1","   4","   3","  12","  21","   0","   1","  95","   0","  42","   0","  24","   0","   3","   0"," 104"," 651","   0","   2","   7","   0","   0","   0","   1","   7","   9","   0","   2","   1","   2","   0","   0","   1","   1","   0","   0","   6","   0","   0","  16","   0","   0","   0","   0","   0","   0","   2","   0","  74","   0","   8","   0","   0"," 145","  14","   0","   0","   3","   5","   0","  56","   3","   0","   0","   0","   0","   0","  10","   0","   0","   0","   6","   2","   0","   0","   0","   2","   7","   0","   2","   0","   0","   0","   0","   0"
"3165",NA,NA," 122","   0","   0","   0","   8","   0","   1","   0","   1","   3","   0","   0","   0","  36","   9","   1","   5","   0","   0","   0","   2","   0","   9","   5","   1","   0","   0","  28","   2","   0","  86","   0","  47","   0","  26","   1","   4","   0"," 103"," 351","   0","   4","   0","   0","   0","   0","   0","   5","   1","   0","   2","   9","   0","   0","   1","   0","   1","   2","   0","   3","   0","   1","   7","   0","   0","   0","   0","   0","   0","   2","   0","  50","   0","   6","   0","   0"," 144","   8","   0","   0","   0","   7","   0","  67","   5","   0","   0","   0","   0","   1","   7","   0","   0","   0","   5","   1","   0","   0","   0","   0","  17","  33","   0","   0","   0","   0","   0","   0"
"3267",NA,NA," 124","   0","   1","   0","   6","   0","   2","   0","   1","   1","   1","   0","   0","  20","  10","   4","   1","   0","   0","   0","   3","   0","  11","   6","   0","   0","   1","  11","   0","   0","  65","   0","  53","   0","  28","   0","   3","   0","  74"," 237","   0","   1","   0","   0","   0","   0","   0","   3","   4","   2","   0","   3","   0","   0","   1","   1","   1","   0","   2","   6","   1","   1","  10","   0","   0","   0","   0","   1","   0","   1","   0","  55","   0","  12","   1","   0"," 206","   8","   2","   0","   1","   3","   0","  66","   5","   0","   1","   0","   0","   2","   7","   0","   0","   0","   2","   6","   0","   0","   0","   0","  10","  14","   0","   0","   0","   0","   0","   0"
"3368",NA,NA," 126","   0","   0","   0","   8","   0","   1","   0","   2","   1","   0","   0","   1","  22","  18","   2","   0","   0","   2","   0","   3","   0","  10","   6","   0","   0","   1","   7","   0","   0","  76","   0","  34","   0","  44","   1","   2","   0","  58"," 241","   0","   0","   1","   1","   0","   0","   0","   6","   7","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","  64","   0","   0","   0","   0"," 190","   8","   0","   0","   0","   4","   0","  70","   3","   0","   0","   0","   3","   2","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","  13","  14","   0","   0","   0","   0","   0","   0"
"3469",NA,NA," 128","   0","   0","   0","   9","   0","   4","   0","   5","   0","   1","   0","   0","  31","   4","   1","  12","   0","   2","   0","   2","   0","  16","   8","   0","   1","   4","  24","   0","   0","  54","   0","  50","   0","  24","   1","   4","   0","  28"," 676","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   2","   7","   0","   0","   0","   0","   1","   0","   0","   4","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","  60","   0","   5","   0","   0"," 179","  15","   0","   0","   0","   5","   0","  69","   4","   0","   1","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   6","   4","   0","   0","   0","   0","   0","   0"
"3570",NA,NA," 130","   0","   0","   0","   8","   0","   2","   0","   3","   1","   0","   1","   0","  24","   3","   1","   8","   0","   0","   0","   2","   0","  14","   4","   0","   1","   3","  18","   2","   0","  49","   0","  45","   0","  35","   1","   6","   0","  36","1020","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   1","   4","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","  56","   0","   3","   0","   0"," 186","  14","   0","   0","   0","   3","   0","  63","   6","   0","   1","   0","   4","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   2","   4","   0","   0","   0","   0","   0","   0"
"3672",NA,NA," 132","   0","   0","   0","   9","   0","   1","   0","   0","   0","   0","   1","   0","  21","   4","   2","   9","   0","   0","   0","   0","   0","  14","   2","   0","   2","   1","  16","   5","   0","  46","   0","  42","   0","  46","   0","   4","   0","  58","1250","   0","   3","   1","   0","   0","   0","   1","   9","   2","   0","   3","   3","   0","   0","   1","   0","   3","   0","   0","   1","   1","   1","   2","   0","   0","   0","   0","   0","   0","   4","   0","  53","   0","   2","   1","   0"," 188","  12","   0","   0","   0","   3","   0","  66","   6","   0","   0","   0","   3","   2","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0"
"3773",NA,NA," 134","   0","   0","   0","   8","   1","   0","   0","   1","   0","   0","   0","   0","  18","   3","   2","  12","   0","   0","   0","   1","   0","  11","   0","   0","   1","   2","  19","   7","   0","  46","   0","  38","   0","  49","   1","   8","   0","  66","1060","   0","   2","   2","   0","   0","   0","   2","  15","   1","   0","   2","   5","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  49","   0","   5","   0","   0"," 195","  14","   0","   0","   0","   3","   0","  70","   6","   0","   1","   0","   2","   3","   1","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0"
"3874",NA,NA," 136","   0","   0","   0","   5","   0","   1","   0","   3","   1","   1","   1","   0","  14","   4","   2","  16","   0","   0","   0","   3","   1","  14","   0","   0","   0","   1","  17","  16","   0","  43","   0","  31","   0","  72","   2","  10","   0","  74","1125","   0","   3","   1","   0","   0","   0","   2","  26","   2","   0","   2","   3","   0","   0","   1","   0","   8","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","  43","   0","   5","   0","   0"," 192","  12","   0","   0","   0","   4","   0","  72","  11","   0","   0","   1","   4","   9","   2","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   9","   1","   0","   0","   0","   0","   0"
"3976",NA,NA," 138","   0","   0","   0","   7","   1","   2","   0","   3","   0","   1","   2","   0","  10","   3","   1","  21","   0","   0","   0","   1","   0","  15","   0","   0","   0","   2","  15","   9","   0","  56","   0","  29","   0","  47","   1","   9","   0","  64"," 981","   0","   5","   1","   0","   0","   0","   0","  13","   0","   0","   3","   2","   0","   0","   2","   0","   5","   2","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","  47","   0","   5","   0","   0"," 203","  13","   0","   0","   0","   4","   0","  74","   8","   0","   1","   0","   4","   6","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   7","   1","   0","   0","   0","   0","   0"
"4077",NA,NA," 140","   0","   0","   0","   6","   2","   2","   0","   2","   0","   0","   3","   0","  12","   2","   1","  18","   0","   0","   0","   0","   0","  12","   0","   0","   0","   2","  18","  15","   0","  48","   0","  36","   0","  67","   0","   6","   0","  61","1389","   0","   4","   3","   0","   0","   0","   0","  12","   0","   0","   1","   3","   0","   0","   1","   0","   6","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","  39","   0","   6","   3","   0"," 217","  15","   0","   0","   0","   3","   0","  66","   9","   0","   2","   1","   3","   8","   0","   0","   0","   0","   8","   0","   0","   0","   0","   1","   0","   8","   2","   0","   0","   0","   0","   0"
