"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"12609",NA,NA,"  780","    3","    0","  406","    0","    1","   21","    2","   67","    0","    3","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  142","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    2","    0","    3","    0","    0","    0","    0","  122","    0","    0","    0","   57","    0","    0","    0","    0","   49","    0","    2","    0","    0","    2","    2","    5","    0","    0","    0","    0","    0","    0","  145","    0","    1","    0","    0","   78","    0","    0","    0","    0"
"12669",NA,NA,"  785","    2","    0","  258","    0","    0","    9","    1","   80","    0","    1","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    1","   88","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    5","    0","   29","    0","    0","    0","    0","   61","    0","    0","    0","   59","    0","    0","    0","    0","   44","    0","    0","    0","    1","    3","    1","    2","    0","    0","    0","    0","    0","    0","  140","    0","    0","    1","    0","   29","    0","    0","    0","    0"
"12721",NA,NA,"  790","    0","    0","  206","    2","    0","    9","    3","   67","    0","    6","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   70","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   25","    0","   60","    0","    0","    0","    0","  107","    0","    0","    0","   51","    0","    0","    0","    0","   39","    0","    1","    0","    1","    1","    1","    0","    0","    0","    0","    1","    0","    0","  179","    0","    0","    0","    0","   28","    0","    0","    0","    0"
"12772",NA,NA,"  795","    3","    0","  416","    0","    1","   11","    1","   35","    0","    7","    7","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    1","    0","  115","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","    8","    0","  171","    0","    0","    0","    0","  154","    0","    0","    0","   19","    0","    0","    0","    0","   41","    0","    5","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","   86","    0","    0","    0","    0","    6","    0","    0","    0","    0"
"12823",NA,NA,"  800","    5","    0","  686","    0","    2","    5","    4","   31","    0","    4","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  262","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    3","    0","   90","    0","    0","    0","    0","  152","    0","    0","    0","    3","    0","    0","    0","    0","   71","    0","    8","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","   46","    0","    0","    0","    0","   10","    0","    0","    0","    0"
"12875",NA,NA,"  805","    3","    0","  246","    2","    1","    6","    6","   28","    0","    2","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","  243","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    2","    0","   19","    0","    0","    0","    0","  145","    0","    0","    0","   11","    0","    0","    0","    0","   24","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  101","    0","    0","    1","    0","    0","    0","    0","    0","    0"
"12926",NA,NA,"  810","   15","    1","  306","    0","    1","   17","   10","   17","    0","    3","    5","    1","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","    1","  194","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    2","    0","    5","    0","    0","    0","    0","  216","    0","    0","    0","   17","    0","    0","    0","    0","   41","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   72","    1","    0","    0","    1","    6","    0","    0","    0","    0"
"12978",NA,NA,"  815","    9","    0","  390","    2","    1","    4","    5","   26","    0","    1","    4","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    2","  257","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","   22","    0","    0","    0","    0","   90","    0","    1","    0","   51","    0","    0","    0","    0","   19","    0","    1","    0","    0","    4","    1","    1","    0","    0","    0","    0","    0","    0","  103","    0","    0","    0","    1","   32","    0","    0","    0","    1"
"13029",NA,NA,"  820","    8","    0","  778","    2","    4","   12","    3","   37","    0","    6","    2","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","  260","    0","    2","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","   20","    0","    0","    0","    0","  201","    0","    0","    0","   22","    0","    0","    0","    0","   46","    0","    2","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","  119","    1","    2","    0","    0","   32","    0","    0","    0","    0"
"13080",NA,NA,"  825","    6","    0","  684","    0","    0","    2","    4","   38","    0","    2","    4","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","  135","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","   17","    0","    0","    0","    0","  125","    0","    0","    0","   24","    0","    0","    0","    0","   30","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   68","    0","    1","    0","    0","   12","    0","    0","    0","    0"
