"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteraceae (echinate)","Betula","Brassicaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Lamiaceae undif.","Olea t.","Ostrya","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Thymelaeaceae undif."
"1593",NA,NA," 355","   0","  48","   4","   0","   0","   0","   0","   0","   1","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","  26","  12"," 111","  28","   0","  14","   0","   0"
"1621",NA,NA," 365","   3","  24","   0","   0","   0","   0","   0","   0","   4","   0","   3","   0","  21","   0","   0","   0","   1","   1","   0","   0","   0","   0","  21","  80","   7","  35","  28","   0","  35","   4","   0"
"1680",NA,NA," 385","   2","  18","   0","   0","   1","   0","   0","   0","   2","   0","   2","   0","   9","   0","   0","   0","   0","   0","   0","   3","   0","   0","  51","  68","   0","  17","  17","   0","  55","   3","   0"
"1711",NA,NA," 395","   2","  37","   0","   1","   0","   0","   0","   0","   6","   0","   2","   1","   8","   0","   0","   2","   0","   0","   0","   0","   2","   0","  13","  53","   9","  84","  40","   0","  44","   0","   0"
"1743",NA,NA," 405","   5","  36","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","  10","   0","   0","   0","   2","   0","   0","   9","   0","   0","  47","  78","  19","  53","  73","   0","  51","   0","   0"
"1776",NA,NA," 415","   0","  10","   5","   1","   0","   0","   0","   0","  17","   1","   0","   4","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","  12","  17","   6"," 102","  44","   0","  15","   0","   0"
"1810",NA,NA," 425","  17","  20","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  42","  34","   1","  31","  23","   0","  40","   0","   0"
"1846",NA,NA," 435","   9","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","  10","  20","   4","  85","  35","   0","  15","   0","   0"
"1883",NA,NA," 445","  14","  22","   2","   0","   2","   0","   0","   1","   3","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  81","   9","  79"," 122","   0","  31","   0","   0"
"1922",NA,NA," 455","   8","  26","   2","   0","   4","   0","   0","   4","   9","   1","   1","   0","   8","   0","   0","   0","   0","   0","   0","   5","   0","   0","  25","  53","   6","  91","  56","   0","  14","   0","   0"
"1962",NA,NA," 465","   0","  15","   3","   0","   5","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   0","   2","   2","   0","   7","   0","   0","  20","  38","   4","  76"," 103","   0","  74","   0","   0"
"2005",NA,NA," 475","   0","  21","   3","   0","   2","   1","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   3","   0","   0","   0","  29","   5","  82","  45","   0","   4","   0","   1"
"2049",NA,NA," 485","   0","   8","   1","   0","   0","   0","   0","   0","   1","   2","   0","   0","   7","   0","   0","   0","   0","   1","   0","   1","   0","   0","   4","  28","   1","  24","  18","   0","  17","   0","   0"
"2096",NA,NA," 495","   6","  25","   2","   0","   1","   0","   0","   0","   6","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  10","  29","   3","  58","  29","   0","  11","   0","   0"
"2145",NA,NA," 505","   0","  20","   0","   0","   1","   0","   0","   0","   2","   0","   5","   0","  27","   0","   0","   0","   0","   2","   0","   2","   0","   0","   9","  29","   3","  60","  86","   0","  40","   0","   0"
"2196",NA,NA," 515","   1","   9","   0","   0","   2","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","  38","   2","  84","  63","   0","  13","   0","   0"
"2249",NA,NA," 525","   0","  18","   3","   0","   0","   1","   0","   0","   3","   0","   2","   2","  21","   2","   0","   0","   1","   5","   0","   3","   0","   0","  16","  54","   2","  47","  87","   0","  58","   0","   0"
"2306",NA,NA," 535","   3","   4","   4","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","  17","  38","   0","  77","  43","   0","  24","   0","   0"
"2365",NA,NA," 545","   0","   3","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  16","   0","   0","   0","   0","   4","   0","   1","   0","   0","  16","  37","   6","  33","  48","   0","   8","   0","   0"
"2427",NA,NA," 555","   2","   5","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   2","   1","   2","   0","   0","  14","  20","   0","  57","  21","   0","  19","   0","   0"
"2492",NA,NA," 565","   0","   6","   1","   0","   3","   2","   0","   0","   4","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  49","   0","  39","  43","   0","  26","   0","   0"
"2560",NA,NA," 575","   1","  21","   3","   0","   1","   0","   0","   0","   3","   0","   0","   0","  11","   0","   0","   1","   0","   0","   0","   0","   0","   0","  23","  67","   0","  92","  67","   0","  18","   0","   0"
"2631",NA,NA," 585","   0","  19","   0","   0","   2","   0","   1","   0","  16","   0","   2","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8"," 143","   8","  73"," 108","   0","  51","   1","   0"
"2706",NA,NA," 595","   0","   1","   0","   0","   2","   2","   0","   0","   6","   0","   1","   1","  12","   0","   0","   0","   0","   1","   0","   1","   0","   0","  26","  74","   0","  80","  49","   0","  16","   0","   0"
"2784",NA,NA," 605","   0","  35","   0","   3","   5","   2","   0","   4","  30","   0","   9","   0","  24","   0","   0","   0","   0","  15","   0","   2","   0","   0","   9"," 118","  42"," 194"," 152","   0","  92","   0","   0"
"2866",NA,NA," 615","   7","  15","   0","   0","   0","   1","   0","   0","  14","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   1","   0","   0","  24","  73","   0","  78","  61","   0","  30","   0","   1"
"2951",NA,NA," 625","   0","  13","   0","   0","   2","   0","   0","   2","   6","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","  42","   0","  47","  32","   0","  33","   0","   0"
"3134",NA,NA," 645","  14","  22","   2","   0","   2","   0","   0","   1","   3","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   5","   0","   0","  24","  81","   9","  79"," 122","   0","  31","   0","   0"
"3232",NA,NA," 655","   1","  11","   0","   0","   2","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  21","  48","   0","  83","  76","   0","  30","   0","   0"
"3333",NA,NA," 665","   0","   4","   0","   1","   3","   0","   0","   0","  21","   2","  18","   0","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   5"," 103","   4"," 108","  62","   0","  22","   0","   0"
"3550",NA,NA," 685","   0","   7","   0","   2","   3","   0","   0","   8","   8","   1","   6","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","  10","  57","   0","  65","  42","   0","  18","   0","   0"
