"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acacia t.","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Citrus","Coelastrum reticulatum","Convolvulaceae","Cornus","Corydalis","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dioscorea","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fumaria","Fungi","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Humulus","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lavatera","Linum t.","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva","Matthiola","Mercurialis","Morus","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Styrax","Tamarix","Taxus","TetraÃ«dron","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis"
"1172",NA,NA,"382","1","0","0","0","822","0","7","5","3","0","0","0","1","0","10","2","10","1","2","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","7","0","0","0","0","0","5","0","36","0","0","29","0","0","0","0","25","0","0","0","0","0","8","0","0","0","0","3","0","4","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","245","62545","0","0","0","0","1","0","0","9","5","0","34","0","0","0","0","0","11","0","5","48","16","0","0","30","1","0","0","12","0","0","31","0","0","37","128","29","3","0","0","0","0","9","0","1","0","0","0","0","0","0","0","0","22","0","0","0","0","1","0","0","8","0","0","0","0","0","0","0"
"1315",NA,NA,"386","1","1","0","0","1925","0","11","8","4","0","0","1","0","0","7","1","4","4","6","0","4","0","0","0","0","1","0","1","0","0","0","0","0","3","4","6","10","0","0","0","0","0","2","0","27","0","0","29","0","0","0","0","40","0","0","0","2","0","6","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","254","62545","0","0","0","0","0","0","0","11","4","0","33","0","0","1","0","0","12","0","5","55","10","0","0","30","2","0","0","25","0","0","11","0","2","65","122","24","3","0","0","0","0","7","0","3","0","0","0","0","0","0","0","0","30","0","0","0","0","2","0","0","17","2","0","0","0","0","0","1"
"1457",NA,NA,"390","1","0","0","0","257","0","0","4","1","1","0","0","4","0","8","0","4","3","2","0","6","6","0","0","0","2","0","0","0","0","1","0","0","1","2","5","13","0","0","0","0","0","5","0","16","0","0","26","0","0","0","0","44","0","0","0","0","2","3","0","0","0","0","9","0","2","0","2","0","0","0","0","0","0","0","0","0","0","34","0","0","10","281","62545","0","0","0","0","0","0","0","2","0","0","28","0","0","0","0","1","9","0","7","34","9","0","0","27","4","0","1","3","0","0","17","7","0","21","139","24","7","0","0","1","0","8","0","1","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","0","10","0","2","0","0","0","0","0"
"1635",NA,NA,"395","1","1","0","0","479.5","0","13","8","0","0","3","0","1","0","22","1","6","2","0","0","12","1","0","0","0","2","1","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","6","1","22","0","0","25","0","0","0","1","36","0","0","0","0","3","2","1","0","0","0","6","0","0","2","7","0","0","0","0","0","0","1","0","0","0","26","0","0","6","198","41697","0","0","0","0","0","1","0","3","1","0","25","0","0","0","0","4","6","0","5","39","2","0","0","34","11","0","3","14","0","1","51","1","0","13","136","22","12","0","0","0","1","18","0","0","0","0","1","0","0","0","0","0","5","0","0","1","0","0","0","0","8","0","3","0","0","0","0","4"
"1991",NA,NA,"405","1","0","0","0","776.31","0","13","14","1","1","2","0","0","0","16","2","10","4","3","0","2","1","6","0","0","1","1","0","0","0","0","0","0","0","0","14","15","0","11","0","0","0","8","1","10","0","0","28","0","0","0","0","42","0","0","0","0","4","4","0","2","0","0","8","0","10","0","2","0","1","0","0","0","0","1","6","2","0","5","0","1","5","307","41697","0","0","0","1","0","0","0","5","2","0","23","0","0","0","0","3","5","0","6","74","15","0","0","53","3","0","3","9","0","0","12","3","0","16","86","25","8","0","0","1","0","14","1","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","0","0","30","0","0","0","0","0","0","1"
"2169",NA,NA,"410","1","0","0","1","746","1","22","8","0","1","0","0","0","0","10","1","2","5","5","0","9","0","0","0","0","2","0","0","0","0","0","0","0","2","3","4","4","0","0","0","0","0","9","0","11","0","0","39","0","0","0","1","34","0","0","0","0","3","0","0","1","0","1","13","0","4","0","3","0","0","0","0","0","0","1","3","0","0","18","0","0","4","485","62545","0","0","0","2","0","0","0","5","2","0","13","0","0","0","0","1","5","0","12","88","16","0","2","48","5","0","1","11","0","0","0","5","0","15","63","20","5","0","0","0","0","6","0","0","0","1","0","2","0","0","0","0","12","0","0","0","0","0","0","0","59","1","5","0","0","0","0","3"
"2347",NA,NA,"415","1","1","0","0","3210","0","26","4","0","0","3","0","0","0","8","0","8","7","10","0","2","0","0","0","0","0","2","0","0","0","0","0","0","163","0","7","9","0","0","0","0","0","6","0","8","0","0","73","0","0","0","0","32","0","0","0","0","3","9","0","1","0","0","3","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","419","62545","0","0","0","0","0","0","0","6","1","0","11","0","0","2","0","0","2","1","18","81","20","0","0","57","0","0","0","23","0","0","0","0","0","64","50","22","6","1","0","0","0","13","0","0","0","1","0","0","0","0","0","0","9","1","0","0","0","0","0","0","37","0","0","0","0","0","0","0"
"2525",NA,NA,"420","1","0","0","0","135","0","21","3","1","3","1","0","1","0","5","0","5","5","8","0","9","0","2","0","0","0","0","1","0","0","0","0","0","25","2","2","11","0","0","0","0","0","3","0","13","0","0","39","0","0","0","0","40","0","0","1","0","1","0","0","0","0","0","6","0","25","0","16","0","0","0","0","0","0","0","2","0","0","14","0","0","3","611","62545","0","0","0","3","1","0","0","14","0","0","4","0","0","0","0","7","1","0","15","90","15","0","0","42","8","0","2","7","0","0","0","0","0","28","38","35","7","0","0","1","0","13","0","0","1","0","0","0","0","0","0","0","3","0","0","2","1","0","0","0","25","1","8","0","0","0","1","0"
"2704",NA,NA,"425","1","1","0","2","5192","0","19","20","17","0","4","0","0","0","12","2","1","7","8","0","5","0","0","0","0","3","1","2","0","0","0","0","0","133","0","15","5","0","0","0","0","0","13","0","14","0","0","131","0","0","0","1","26","0","0","0","1","3","7","0","0","0","0","1","0","3","1","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","469","62545","0","0","0","0","1","0","0","20","3","0","14","0","0","0","0","0","13","0","16","76","30","0","1","76","3","0","3","54","0","0","4","0","1","50","54","16","4","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","1","0","0","34","2","0","0","0","0","0","0"
"2882",NA,NA,"430","1","0","0","0","731","3","25","12","2","0","1","0","0","0","11","0","6","9","6","0","8","0","0","0","0","1","2","0","0","0","0","0","0","13","4","4","4","0","0","0","0","0","11","0","6","0","0","51","0","0","0","1","35","0","0","0","0","3","4","0","1","0","0","10","0","3","0","0","0","0","1","0","0","0","0","5","0","0","26","0","0","5","683","62545","0","0","0","3","0","0","0","11","1","0","9","0","0","0","0","0","5","0","22","72","19","0","0","40","7","0","1","7","0","0","0","5","0","18","71","14","11","0","0","0","0","23","0","1","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","29","1","4","0","0","0","0","1"
"3060",NA,NA,"435","1","0","0","0","1331","1","6","7","1","0","2","1","0","0","1","2","3","1","2","0","3","0","0","0","0","1","1","1","0","0","0","0","0","93","0","4","6","0","0","0","0","0","3","2","17","0","0","44","0","0","0","1","33","0","0","0","0","0","3","0","0","0","0","4","0","2","3","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","291","62545","0","0","0","0","1","0","0","6","0","0","39","0","0","1","0","0","16","1","14","82","20","0","0","48","1","0","0","7","0","0","8","0","1","46","81","13","5","0","0","1","0","32","0","0","0","0","0","1","0","0","0","0","12","0","0","0","0","1","0","0","39","0","1","0","0","0","0","1"
"3260",NA,NA,"440","1","0","0","1","311","1","13","8","0","0","1","0","0","0","16","0","5","5","2","0","9","1","1","0","0","1","1","0","0","0","0","0","0","2","2","3","5","0","0","0","0","0","4","0","12","0","0","30","0","0","0","3","44","0","0","0","0","0","2","0","1","0","0","9","0","1","0","1","0","0","0","0","0","0","0","2","0","0","17","0","0","4","693","62545","0","0","0","1","0","0","0","0","0","0","26","0","0","0","0","1","7","0","8","81","16","0","0","43","6","0","0","7","0","0","2","0","0","14","91","11","10","0","0","3","0","24","0","2","0","0","0","1","0","0","0","0","8","0","0","0","0","0","0","0","41","0","7","0","0","0","1","0"
"3431",NA,NA,"445","1","0","0","0","333","0","7","34","3","1","0","0","2","0","5","0","5","3","5","0","7","0","0","0","0","1","3","0","0","0","0","0","0","90","0","11","0","0","0","0","0","0","7","1","6","0","0","83","0","0","0","0","69","0","0","1","0","4","3","0","0","0","0","4","0","3","1","0","1","0","0","0","0","0","0","10","0","0","1","0","0","0","320","62545","0","0","0","0","0","0","0","48","3","0","27","0","0","0","0","0","12","0","96","61","3","0","0","27","0","0","0","27","0","0","0","0","0","56","255","18","2","0","0","0","0","13","9","0","0","0","0","0","1","0","0","0","37","0","0","0","0","1","0","0","13","1","0","0","0","0","0","1"
"3486",NA,NA,"450","1","0","0","0","42","3","10","18","0","0","0","0","0","0","4","0","4","3","1","0","10","1","0","0","0","0","0","1","0","0","0","0","0","35","0","0","4","0","0","0","0","0","10","0","10","0","0","60","0","0","0","0","60","0","0","0","0","3","2","0","0","0","0","9","0","0","0","7","0","0","0","0","0","0","0","0","0","0","35","0","0","8","541","62545","0","0","0","0","0","1","0","16","0","0","8","0","0","0","0","0","5","0","6","54","4","0","0","7","1","0","1","5","0","0","16","0","0","6","159","6","8","0","0","6","0","7","0","4","0","0","0","1","0","0","0","0","10","0","0","0","0","0","0","0","6","2","4","0","0","0","2","0"
"3540",NA,NA,"455","1","0","0","0","250","0","10","33","0","0","2","0","0","0","3","0","2","1","3","1","2","0","0","0","0","0","2","0","0","0","0","0","0","81","0","4","2","0","0","0","0","0","4","0","5","0","0","56","0","0","0","0","68","0","0","0","0","4","1","0","0","0","0","4","0","2","0","0","0","0","1","0","0","0","0","2","1","0","1","0","0","0","244","62545","0","0","0","0","0","0","0","21","1","0","34","0","0","0","0","0","19","0","3","36","5","0","0","17","0","0","0","9","0","0","61","0","0","45","171","5","0","0","0","1","0","9","4","2","0","0","0","0","0","0","0","0","38","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0"
"3594",NA,NA,"460","1","1","0","0","68","0","11","12","0","0","1","0","0","0","9","0","1","0","5","0","6","0","0","0","0","1","0","1","0","0","0","0","0","86","2","0","0","0","0","0","0","0","10","0","9","0","0","46","0","0","0","0","55","0","0","0","0","5","0","0","0","0","0","16","0","0","0","3","0","0","0","0","0","0","0","0","0","0","35","0","0","14","398","62545","0","0","0","1","0","0","0","22","0","0","8","0","0","0","0","0","13","0","7","56","3","0","0","16","4","0","1","6","0","0","49","2","0","10","168","4","3","0","0","3","0","9","0","2","0","0","0","0","0","0","0","1","19","0","0","0","0","0","0","0","2","2","4","0","0","0","0","0"
"3616",NA,NA,"462","1","0","0","0","198","0","7","15","2","0","1","0","0","0","4","2","0","0","3","0","2","1","0","0","0","0","1","0","0","0","0","0","0","84","0","3","1","0","0","0","1","0","8","0","4","0","0","51","0","0","0","0","67","0","0","0","0","2","4","0","0","0","0","5","0","1","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","190","62545","0","0","0","0","0","0","0","24","2","0","33","0","0","0","0","0","13","0","7","49","7","0","0","19","1","0","0","12","0","0","40","0","0","41","194","5","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0","0","26","1","0","0","0","0","1","0","6","2","0","0","0","0","0","0"
"3681",NA,NA,"468","1","0","0","1","302","0","9","10","0","0","0","0","1","0","4","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","104","0","2","2","0","0","0","0","0","7","0","7","0","0","52","0","0","0","1","65","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","0","255","62545","0","0","0","0","0","0","0","21","0","0","33","0","0","0","0","0","22","0","7","63","6","0","0","20","0","0","0","16","0","0","123","0","0","25","214","5","0","0","0","0","1","12","0","1","0","0","0","0","0","0","0","0","25","1","0","1","0","0","0","0","7","0","3","0","0","0","0","0"
"3703",NA,NA,"470","1","0","0","0","74","0","4","10","1","0","1","0","8","0","5","0","2","1","4","0","7","0","6","0","0","0","0","0","0","0","0","0","0","7","1","3","3","0","0","0","0","0","3","0","5","0","0","19","0","0","0","0","74","0","0","0","0","0","0","0","0","0","0","12","0","8","0","31","0","0","0","0","0","0","0","2","1","0","18","0","0","0","378","62545","0","0","0","0","2","0","0","2","0","0","10","0","0","0","0","0","3","0","12","50","0","0","0","14","2","0","1","1","0","0","21","0","0","23","142","12","4","0","0","3","0","16","0","0","1","0","0","2","0","0","0","1","6","0","0","3","0","0","0","0","5","2","1","0","0","0","3","0"
"3746",NA,NA,"474","1","0","0","0","502","0","16","34","0","0","1","0","2","0","5","2","4","1","1","0","1","0","0","0","0","1","2","0","0","0","0","0","0","98","0","8","2","0","0","0","0","1","5","0","5","0","0","64","0","0","0","1","67","0","0","0","0","2","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","6","0","0","1","0","0","0","335","62545","0","0","0","0","0","0","0","19","0","0","40","0","0","0","0","1","22","0","13","75","6","0","0","26","0","0","0","27","0","0","126","0","0","36","241","2","1","0","0","1","0","9","0","1","0","0","0","0","0","0","0","0","34","1","0","0","0","0","0","0","17","2","0","0","0","0","0","2"
"3789",NA,NA,"478","1","0","0","0","1002","0","13","13","2","0","1","1","0","0","5","0","5","3","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","55","0","1","4","0","0","0","0","0","9","0","5","0","0","59","0","0","0","0","56","0","0","0","0","3","4","0","0","0","0","7","0","1","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","210","62545","0","0","0","0","1","0","0","9","9","0","19","0","0","1","0","0","34","0","8","89","10","0","0","35","1","0","0","27","1","0","46","0","0","37","265","8","1","0","0","0","0","11","0","1","0","0","0","0","0","1","0","0","33","0","0","0","0","0","0","0","12","2","0","0","0","0","0","0"
"3811",NA,NA,"480","1","1","0","0","249","0","8","12","1","0","0","0","0","0","2","0","1","1","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","2","5","4","4","0","0","0","0","0","5","0","4","0","0","24","0","0","0","0","62","0","0","0","0","1","0","0","0","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","22","0","0","13","475","62545","0","0","0","0","0","0","0","3","0","0","6","0","0","0","0","0","7","0","7","55","4","0","0","22","3","0","1","5","0","0","35","0","0","7","174","9","5","0","0","6","0","9","0","1","0","0","2","0","0","0","0","0","21","0","0","0","0","0","0","0","11","2","4","0","0","0","0","0"
"4078",NA,NA,"510","1","0","0","0","108","0","6","3","0","0","1","0","3","0","10","0","1","0","7","0","2","0","0","0","0","1","0","0","0","0","0","0","0","8","1","0","5","0","0","0","0","0","4","0","6","0","0","40","0","0","0","0","138","0","0","0","0","4","6","0","0","0","0","3","0","9","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","2","560","62545","0","0","0","0","0","1","0","2","1","0","5","0","0","0","0","0","2","0","10","90","4","0","0","26","3","0","3","2","0","0","0","0","0","14","81","9","9","0","0","0","0","12","0","4","2","0","2","3","0","0","0","1","15","0","2","0","0","0","0","0","20","1","6","0","0","0","0","0"
"4166",NA,NA,"520","1","0","0","0","100","0","12","5","2","1","1","0","2","0","3","1","1","1","2","0","3","0","8","0","0","1","0","0","0","0","0","0","0","6","1","0","6","0","0","0","0","0","10","0","7","0","0","28","0","0","0","0","81","0","0","0","0","0","1","0","0","1","0","5","0","11","0","10","0","0","0","0","0","0","0","0","0","0","9","0","0","1","496","62545","0","0","0","1","3","0","0","3","0","0","7","0","0","0","0","5","0","0","2","115","3","0","0","27","3","0","11","5","0","0","1","0","0","12","50","21","7","0","0","5","0","18","0","0","0","0","0","2","0","0","0","2","35","0","0","2","0","0","0","0","16","2","10","0","0","0","0","0"
"4270",NA,NA,"530","1","0","0","1","274","0","13","7","0","3","0","0","0","0","10","0","4","1","6","0","2","1","0","0","0","0","0","0","0","0","0","0","0","22","6","2","1","0","0","1","0","0","10","0","46","0","0","103","0","0","0","0","104","0","1","0","0","3","1","0","1","0","0","5","0","5","0","0","0","0","1","0","0","0","1","6","0","0","6","0","0","0","375","62545","0","0","0","0","0","0","0","0","0","0","7","0","2","0","0","1","0","0","10","84","11","0","0","24","4","0","1","4","0","0","0","0","0","23","78","4","7","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","74","1","6","0","0","0","0","0"
"4341",NA,NA,"535","1","0","0","0","207","1","14","7","1","4","2","0","0","0","2","1","3","2","3","0","4","2","0","0","0","1","1","1","0","0","0","0","0","221","0","7","3","0","0","0","0","0","4","1","5","0","0","120","0","0","0","2","71","0","0","1","1","4","17","0","0","0","0","3","0","20","1","1","1","0","0","0","0","0","0","44","0","0","1","0","0","0","629","62545","0","0","0","0","0","0","0","3","0","0","11","0","0","0","0","1","4","0","10","179","19","0","0","44","1","0","0","181","0","0","2","0","0","21","30","2","26","0","0","0","0","13","1","3","0","0","0","0","0","0","1","0","53","0","0","0","0","0","0","0","346","0","4","0","0","0","0","0"
"4412",NA,NA,"540","1","0","0","0","2","1","16","0","0","0","0","0","0","0","8","0","3","2","5","0","2","0","3","0","0","0","0","0","0","0","0","0","0","1","1","3","1","0","0","0","0","0","4","0","7","0","0","64","0","0","0","1","71","0","0","0","0","4","6","0","0","0","0","2","0","3","1","1","0","0","0","0","0","0","0","31","0","0","8","0","0","0","1378","62545","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","0","0","5","175","8","0","0","22","3","0","0","1","0","0","6","0","0","6","40","2","10","0","0","2","0","16","0","1","0","0","2","3","0","0","0","0","51","0","0","0","0","0","0","0","94","1","3","0","0","0","0","0"
"4695",NA,NA,"560","1","0","0","1","54","0","16","10","4","3","2","0","0","0","8","0","8","3","3","0","3","0","0","0","0","2","0","2","0","0","0","0","0","0","0","3","4","0","0","1","0","0","2","0","10","0","0","68","0","0","0","0","63","0","0","0","0","1","8","0","0","0","0","3","0","24","0","1","0","0","1","0","0","0","0","3","0","0","20","0","1","5","671","62545","0","0","0","0","0","0","0","8","0","0","2","0","0","0","0","0","0","0","8","79","7","0","0","38","4","0","0","3","0","0","0","3","0","13","51","5","33","0","0","0","0","4","0","2","0","0","6","0","0","0","0","0","79","0","0","0","0","0","0","0","145","1","4","0","0","0","1","2"
"4837",NA,NA,"570","1","0","0","0","119","1","12","2","1","4","2","0","1","0","2","2","11","1","2","0","12","0","24","0","0","1","0","1","0","0","0","0","1","8","2","6","12","0","0","0","0","0","7","0","42","0","0","55","0","0","0","3","81","0","0","0","0","0","11","1","0","0","0","3","0","54","0","7","0","0","0","0","0","0","0","4","0","0","17","0","0","2","643","62545","0","0","0","0","2","0","0","8","0","0","0","0","0","0","0","2","0","0","23","39","9","0","0","62","9","0","2","23","0","0","0","0","0","15","44","9","18","0","0","3","0","3","0","0","0","0","0","3","0","0","0","0","8","0","0","2","1","0","0","0","341","11","13","0","0","0","0","0"
"4978",NA,NA,"580","1","0","0","0","88","0","13","3","1","1","0","0","0","0","3","0","1","3","2","0","6","0","0","0","0","2","1","0","0","0","0","0","0","0","7","7","3","0","0","0","1","0","9","0","11","0","0","43","0","0","0","0","98","0","0","1","0","4","5","0","0","0","0","5","0","13","0","0","0","0","1","0","0","0","0","4","0","0","18","0","0","0","913","62545","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","4","0","8","119","3","0","0","30","3","0","0","0","0","0","0","1","0","18","85","8","6","0","0","0","0","3","0","1","0","0","2","2","0","0","0","0","7","0","0","0","0","0","0","0","13","0","3","0","0","0","0","0"
"5049",NA,NA,"585","1","0","0","0","699","0","10","2","2","2","0","0","0","0","5","1","1","1","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","435","0","5","0","0","0","0","0","0","10","0","2","0","0","79","0","0","0","0","119","0","0","1","1","2","4","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0","4","0","0","1","0","0","1","540","62545","0","0","0","0","0","0","0","6","0","0","30","0","0","0","0","0","14","0","3","115","3","0","0","28","0","0","0","27","0","0","1","0","1","36","86","4","3","0","0","0","0","16","0","3","0","0","0","0","0","0","0","0","10","2","0","0","1","0","0","1","25","1","1","0","0","0","0","0"
"5120",NA,NA,"590","1","0","0","0","114","2","9","4","0","0","1","0","0","0","7","0","2","2","6","0","8","0","2","0","0","2","0","0","0","0","0","0","0","0","1","0","8","0","0","0","0","0","12","0","11","0","0","38","0","0","0","0","112","0","0","0","0","9","3","0","1","0","0","9","0","3","1","1","0","0","0","0","0","0","0","1","0","0","25","0","0","4","479","62545","0","0","0","5","0","0","0","6","0","0","5","0","0","0","0","2","3","0","12","101","8","0","0","23","2","0","4","2","0","0","0","3","0","14","81","8","5","0","0","9","0","9","0","1","0","0","0","4","0","0","0","2","10","0","0","0","0","0","1","0","39","0","4","0","0","0","0","0"
"5191",NA,NA,"595","1","0","0","0","550","0","13","4","1","0","2","0","0","0","2","0","3","5","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","256","0","4","7","0","0","0","0","0","8","0","5","0","0","64","0","0","0","3","92","0","0","0","0","5","6","0","0","0","0","3","0","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","341","62545","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","1","10","0","17","104","7","0","0","37","0","0","0","20","0","0","1","0","0","35","93","5","3","0","0","2","0","10","0","4","0","0","0","0","0","0","0","0","13","2","0","0","0","2","1","1","68","4","0","0","0","0","0","0"
"5403",NA,NA,"610","1","1","0","0","83","0","16","4","3","2","0","0","0","0","7","0","1","2","4","0","7","0","0","0","0","2","0","0","0","0","0","0","0","15","6","38","0","0","0","0","0","0","12","0","29","0","0","30","0","0","0","0","88","0","1","1","0","1","3","0","0","0","0","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","2","570","62545","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","5","0","8","117","5","0","0","36","1","0","1","1","0","0","7","0","0","17","57","5","2","0","0","0","0","6","0","0","0","2","1","0","0","0","0","0","11","0","0","0","0","0","0","0","22","1","3","0","0","0","0","1"
"5480",NA,NA,"615","1","3","0","0","334","1","10","8","0","2","7","1","0","0","3","0","5","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","119","0","7","4","0","0","0","0","0","6","3","3","0","0","85","0","0","0","3","111","0","0","0","0","2","9","0","0","0","0","2","0","3","3","0","0","0","0","0","0","0","1","3","0","0","1","0","1","0","322","62545","1","1","0","0","0","0","0","2","0","0","4","0","0","1","0","1","13","0","9","120","16","0","0","73","1","0","0","27","0","0","15","0","1","28","36","18","1","0","0","0","1","18","0","1","0","0","0","0","0","0","0","0","10","2","0","0","0","1","0","0","32","1","0","0","0","0","0","0"
"5562",NA,NA,"620","1","0","0","0","127","2","9","6","2","0","2","0","0","0","6","0","5","1","2","0","10","0","6","0","0","0","0","0","0","0","0","0","0","0","5","3","2","0","0","0","0","0","7","0","24","0","0","41","0","0","0","0","82","0","0","0","0","0","1","0","0","0","0","8","0","54","1","1","0","0","0","0","0","0","2","2","0","0","12","0","0","0","603","62545","0","0","0","1","1","0","0","0","0","0","6","0","0","0","0","2","0","0","10","68","7","0","0","95","20","0","2","9","0","0","3","1","0","12","17","12","10","0","0","6","0","13","0","0","1","0","0","4","0","0","0","2","8","0","19","1","0","0","0","0","112","5","9","0","0","0","0","0"
"5758",NA,NA,"632","1","0","0","0","354","0","6","4","0","0","6","1","0","0","3","0","1","1","2","0","1","1","0","0","0","2","1","1","0","0","0","0","0","545","0","3","1","0","0","0","0","0","17","0","6","1","0","74","0","0","0","0","84","0","0","0","0","1","4","0","0","0","1","4","0","3","0","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","1155","62545","0","2","0","0","0","0","0","0","0","17","3","0","0","2","0","0","7","0","7","214","7","0","0","85","0","0","1","27","0","0","6","0","0","31","13","2","1","0","0","0","0","12","1","11","0","0","0","0","0","1","0","0","26","8","0","0","0","0","0","0","22","1","0","0","0","0","0","0"
"5889",NA,NA,"640","1","0","0","0","30","2","5","4","0","0","3","0","0","0","5","0","4","3","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","4","5","2","0","0","0","0","0","14","0","3","0","0","22","0","0","0","0","135","0","0","2","0","0","3","0","0","0","0","7","0","8","0","0","0","0","0","0","0","0","0","15","0","0","11","0","0","5","853","62545","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","3","0","5","83","5","0","0","53","6","0","1","9","0","0","25","3","0","24","21","4","11","0","0","0","0","34","0","1","0","0","0","5","4","0","0","0","9","0","111","0","0","0","0","0","14","3","0","0","0","0","0","1"
"5971",NA,NA,"645","1","1","0","0","163","0","11","7","0","3","10","0","0","0","5","3","10","5","0","0","5","0","0","0","0","2","2","6","1","0","0","0","0","27","0","28","10","0","0","0","0","0","22","0","11","0","0","59","0","0","0","1","152","0","0","1","1","0","8","0","0","0","0","2","0","21","1","0","0","0","0","0","0","0","0","12","0","0","2","0","0","0","531","62545","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","1","11","0","11","90","8","0","0","55","5","0","0","80","0","0","33","0","0","38","23","7","10","0","2","1","0","60","1","1","0","0","0","0","0","0","0","0","17","2","0","0","0","0","0","0","20","2","1","0","0","0","0","0"
"6053",NA,NA,"650","1","0","0","1","24","0","6","7","1","1","4","0","0","0","6","0","8","5","2","0","2","0","1","1","0","4","0","0","0","0","0","0","0","0","0","22","5","0","0","0","0","0","16","0","5","0","0","32","0","0","0","1","168","0","0","0","0","0","8","0","0","0","1","2","0","32","2","2","0","0","0","0","0","0","1","3","0","0","13","0","0","5","853","62545","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","5","133","9","0","0","46","1","0","1","2","0","0","6","3","0","11","32","14","7","0","0","0","0","32","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","13","1","0","0","0","0","0","1"
