"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rubiaceae undif.","Salix","Sparganium","Tilia","Typha","Ulmus t.","Unknown"
"7928","8051","7789","1700","   0","   4","   4","  21","   3"," 125","   1","   2","   0","   0","   0","   0","   1","   0","   0","  35","  21","   3","  31","   4","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","  61","  12","   2","  27","   0","  12","   1","   5","   4","   1","   0","   0","   0","   0","   0","  12","   6","   0","   0","  97"
"7938","8060","7797","1710","   0","   0","   2","  43","   5"," 125","   1","   2","   0","   0","   0","   0","   1","   0","   0","  23","  14","   4","  40","   2","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","  54","   5","   0","  29","   0","  14","   0","   0","   8","   6","   0","   0","   0","   0","   0","  21","   1","   1","   0"," 100"
"7947","8070","7806","1720","   0","   0","   0","  26","   4"," 151","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","  22","   6","  29","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   3","   0","   0","  41","   4","   0","  36","   0","   7","   2","   2","   2","   3","   0","   0","   0","   0","   0","   9","   0","   0","   0","  90"
"7957","8079","7814","1730","   0","   5","   2","  17","   0"," 110","   1","   1","   1","   0","   0","   0","   0","   0","   0","  29","   9","   2","  34","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  36","   4","   0","  14","   0","   6","   1","   0","   2","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","  73"
"7966","8089","7823","1740","   0","   0","   5","  21","   2"," 116","   0","   2","   2","   0","   0","   0","   1","   0","   0","  23","  21","   0","  17","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  62","  14","   0","  22","   0","   8","   1","   2","   2","   2","   0","   0","   0","   1","   0","  11","   2","   0","   1"," 111"
"7976","8099","7832","1750","   1","   2","   0","  12","   2"," 105","   3","   0","   3","   0","   0","   0","   0","   0","   0","  41","  18","   0","  28","   4","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  56","   4","   1","  22","   0","   6","   0","   5","   2","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0"," 105"
"7985","8108","7840","1760","   0","   3","   2","  15","   3"," 131","   0","   2","   0","   0","   0","   0","   0","   0","   0","  46","  17","   2","  16","   2","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","  33","  11","   2","  18","   0","   4","   0","   2","   3","   2","   2","   0","   0","   0","   0","  13","   0","   0","   2","  85"
"7995","8117","7848","1770","   0","   0","   6","  33","   2"," 221","   0","   3","   6","   0","   0","   0","   4","   0","   0","  61","  41","   8","  42","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  65","  27","   4","  34","   0","  11","   2","   4","  16","   3","   0","   0","   0","   0","   0","  13","   0","   0","   3"," 125"
"8004","8127","7856","1780","   0","   3","   2","  37","   3"," 181","   0","   0","   2","   0","   0","   0","   0","   0","   0","  26","  34","   3","  32","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  56","  14","   0","  11","   0","   4","   1","   7","   5","   2","   0","   0","   0","   0","   0","  10","   2","   0","   1","  90"
"8014","8136","7864","1790","   0","   1","   0","  32","   0"," 152","   0","   0","   0","   0","   0","   0","   1","   1","   0","  40","  27","   3","  27","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  45","  14","   0","   5","   0","   7","   0","   5","   3","   0","   0","   0","   0","   0","   0","   7","   2","   0","   1","  75"
"8024","8146","7873","1800","   0","   0","   2","  38","   0"," 206","   2","   1","   0","   0","   0","   0","   1","   1","   0","  33","  11","   2","  48","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  52","  16","   1","   8","   0","   5","   0","   4","   2","   2","   0","   0","   0","   0","   0","   4","   1","   1","   0","  83"
"8034","8157","7882","1811","   0","   2","   3","  41","   2"," 155","   1","   0","   3","   0","   0","   0","   3","   0","   0","  38","  14","   3","  45","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  36","   3","   0","  18","   0","   3","   2","   5","   2","   2","   2","   0","   0","   0","   0","   9","   6","   0","   0"," 106"
"8045","8167","7891","1822","   0","   2","   1","  46","   0"," 177","   3","   0","   0","   0","   0","   0","   0","   2","   0","  36","   6","   4","  36","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  78","  12","   1","   8","   0","  15","   0","   0","   3","   2","   0","   0","   0","   0","   0","  12","   7","   0","   0","  76"
"8055","8177","7899","1833","   0","   1","   1","  21","   1"," 164","   1","   1","   0","   0","   0","   0","   1","   1","   0","  44","  10","   1","  41","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  89","   6","   1","  31","   0","   2","   0","   1","   0","   2","   2","   0","   0","   0","   0","   6","   2","   0","   0","  90"
"8065","8188","7908","1844","   0","   2","   1","  19","   0","  89","   2","   1","   0","   0","   0","   0","   0","   0","   0","  21","   6","   3","  48","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  71","  12","   0","  15","   0","   5","   0","   6","   1","   1","   0","   0","   0","   0","   0","   4","   4","   0","   1","  58"
"8076","8199","7917","1855","   0","   4","   2","   8","   1"," 140","   1","   1","   1","   0","   0","   0","   0","   1","   0","  24","   2","   5","  20","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","  57","   6","   1","  16","   0","   9","   4","   3","   0","   1","   0","   0","   0","   1","   0","   7","   3","   0","   3","  61"
"8086","8210","7926","1866","   0","   1","   2","   7","   3","  60","   0","   0","   0","   0","   0","   1","   0","   0","   0","  14","   3","  13","  21","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  69","  10","   1","  12","   0","  10","   0","  11","   2","   3","   1","   0","   0","   0","   0","   5","   2","   0","   0","  40"
"8097","8220","7934","1877","   0","   1","   3","   6","   0"," 103","   5","   1","   0","   0","   0","   0","   1","   1","   0","  28","   2","   6","  38","   9","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0"," 143","   7","   1","   7","   0","  10","   0","  19","   7","   2","   0","   0","   0","   0","   0","  13","   1","   1","   1","  30"
"8107","8233","7941","1888","   0","   1","   2","  31","   3"," 142","   3","   0","   0","   0","   0","   0","   0","   0","   0","  26","  10","   1","  32","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  75","  13","   0","   7","   0","  11","   0","   4","  11","   5","   2","   0","   0","   0","   0","   5","   3","   0","   0","  38"
"8119","8245","7947","1900","   0","   1","   3","  31","   3"," 176","   0","   0","   0","   0","   0","   0","   1","   0","   0","  34","  13","   2","  27","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","  86","  15","   0","   5","   0","   6","   0","   8","  12","   8","   2","   0","   0","   0","   0","   7","   2","   0","   1","  36"
"8138","8267","7960","1920","   0","   1","   3","  35","   3"," 155","   4","   0","   0","   0","   0","   0","   1","   0","   0","  48","   5","   1","  33","   5","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","  73","   6","   0","   7","   0","   8","   0","   5","   8","   5","   0","   0","   0","   0","   0","  12","   1","   0","   1","  39"
"8157","8288","7974","1940","   0","   2","   5","  30","   1"," 166","   3","   2","   0","   0","   0","   0","   2","   0","   0","  43","  15","   6","  53","   4","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  83","   5","   0","   5","   0","   6","   0","   5","   4","   3","   1","   0","   0","   0","   0","  14","   2","   0","   0","  41"
"8176","8309","7988","1960","   0","   2","   3","  17","   4"," 155","   2","   1","   0","   0","   0","   0","   1","   0","   0","  46","   4","   3","  35","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  73","   4","   0","  13","   0","   5","   0","   3","   4","   3","   1","   0","   0","   0","   0","  15","   2","   0","   0","  36"
"8195","8331","8003","1980","   0","   5","   4","  26","   0"," 153","   2","   0","   0","   0","   0","   0","   0","   1","   0","  43","   4","   2","  33","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  32","   3","   1","   4","   0","  11","   0","   5","  10","   3","   2","   0","   0","   0","   0","  20","   1","   0","   0","  37"
"8214","8352","8018","2000","   0","   2","   3","  28","   6"," 132","   2","   0","   0","   0","   1","   0","   1","   0","   0","  35","   0","   2","  49","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  43","   4","   1","   7","   0","  14","   0","   2","   4","   4","   4","   0","   0","   0","  14","  17","   1","   0","   1","  40"
"8224","8364","8026","2010","   0","   0","   1","  33","   7","  68","   0","   0","   0","   0","   0","   0","   0","   0","   0","  50","  16","   1","  32","   1","   0","   0","   0","   0","   0","   0","   9","   0","   1","   0","   2","   0","   0","  43","  20","   0","  14","   0","   6","   0","   3","   5","   3","   1","   0","   0","   1","   0","  16","   2","   1","   2","  46"
"8243","8386","8042","2030","   0","   4","   4","  57","   2"," 117","   5","   0","   1","   0","   0","   0","   1","   1","   0","  74","   0","   4","  39","   7","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","  44","  25","   1","   7","   0","   7","   1","   7","  12","  10","   5","   0","   0","   0","  17","  27","   0","   0","   1"," 105"
