"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celastraceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Morus","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Ostrya","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primula","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Solanum","Taxus","Thalictrum","Theligonum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Viburnum","Viscum","Vitis","Volvocaceae"
" 4671",NA,NA,"310","0","0","0","0","16","4","0","2","0","19","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","19","0","0","0","0","0","0","57","345","0","0","2","0","0","0","0","0","2","0","0","35","0","0","0","0","2","0","0","1","0","0","0","0","0","20","0","0","0","1","0","2","3","3","0","88","0","0","1","0","0","0","44","1","0","0","1","0","1","0","0","0","2","1","3","0","0","2","0","4","1","0","0","0","0","0"
" 4788",NA,NA,"318","28","1","0","0","6","4","0","0","1","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","0","46","0","0","0","3","0","0","114","591","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","42","0","0","0","0","0","3","0","4","0","44","0","0","0","0","0","0","70","1","1","0","0","8","0","0","0","0","1","0","0","4","0","1","2","4","0","0","0","0","0","0"
" 4970",NA,NA,"330","42","0","0","0","20","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","67","0","0","0","0","0","0","107","414","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","30","0","0","0","0","0","10","0","0","0","43","2","0","0","0","0","0","58","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","1","0"
" 5032",NA,NA,"334","20","0","0","0","24","1","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","2","0","0","19","0","0","0","1","0","0","93","181","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","44","0","0","0","0","0","0","0","0","0","26","1","0","0","0","0","0","39","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0"
" 5095",NA,NA,"338","28","0","0","0","72","5","0","2","2","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","8","0","3","0","2","0","0","195","125","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3","0","67","0","0","0","1","0","2","0","0","0","17","2","0","0","0","0","0","75","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0","0","0"
" 5159",NA,NA,"342","0","0","0","0","54","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","0","13","0","0","0","1","0","1","112","74","0","0","4","0","0","0","0","0","3","0","2","87","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","1","0","0","2","0","3","0","13","0","0","0","0","0","0","47","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
" 5238",NA,NA,"347","6","0","0","0","174","3","0","1","1","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","0","0","114","73","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","3","1","0","0","0","0","0","0","2","0","42","0","0","0","3","0","2","0","0","0","17","0","0","0","0","0","0","41","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
" 5286",NA,NA,"350","14","0","0","0","141","2","0","1","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","318","390","0","0","5","0","0","0","0","0","12","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","43","0","0","0","0","0","0","0","1","0","11","1","0","0","0","0","0","55","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0","0","0"
" 5350",NA,NA,"354","0","0","0","0","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","101","22","0","0","3","0","0","0","0","0","2","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","15","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","0"
" 5446",NA,NA,"360","14","0","0","0","122","0","0","1","3","3","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","154","89","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","52","0","0","0","0","0","3","0","0","0","9","0","0","0","0","0","0","73","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","0","0","0","0","1","0"
" 5540",NA,NA,"366","15","0","0","0","77","0","0","2","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","1","0","2","0","0","5","0","0","0","0","0","0","72","14","0","0","3","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","21","1","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","1","0","0","0","0","0","0"
" 5603",NA,NA,"370","21","0","0","0","117","0","0","1","1","3","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","195","77","0","0","4","0","0","0","0","0","6","0","0","0","0","0","1","1","0","0","0","1","0","0","0","3","0","44","0","0","0","0","0","2","1","0","0","9","0","0","1","0","0","0","68","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","8","0","0","0","0","0","0"
" 5665",NA,NA,"374","0","0","0","0","101","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","136","22","0","0","2","0","0","0","0","0","3","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","64","0","0","0","1","0","2","0","1","0","2","0","0","0","0","0","0","27","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","6","0","0","0","0","0","0"
" 5726",NA,NA,"378","0","0","0","0","113","0","0","3","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","168","24","0","0","5","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","33","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","27","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","1","0","0","0"
" 5802",NA,NA,"383","19","0","0","0","92","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","235","96","0","0","1","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","88","0","0","0","0","0","2","0","1","0","6","1","0","0","0","0","0","58","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","0","0","0","0","0","0"
" 5907",NA,NA,"390","56","0","0","0","86","3","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","1","0","0","0","80","89","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","62","0","0","0","0","0","8","0","0","0","10","0","0","0","0","0","0","61","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","9","0","0","0","0","0","0"
" 5966",NA,NA,"394","0","0","0","0","54","6","0","0","0","4","0","0","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","2","0","0","102","104","0","0","6","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","2","0","0","0","1","0","26","0","0","0","0","0","0","58","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","6","0","0","0","0","0","0"
" 6142",NA,NA,"406","39","0","0","0","34","4","0","0","4","10","0","0","3","0","1","0","0","0","0","1","0","0","0","0","4","1","0","0","0","0","0","0","0","0","1","0","0","101","186","0","0","8","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","84","0","0","0","0","0","1","1","0","0","10","0","0","0","0","0","0","66","2","0","0","0","5","0","0","1","0","0","0","0","1","0","5","5","8","0","0","0","0","0","0"
" 6201",NA,NA,"410","0","0","0","0","50","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","13","0","0","1","0","0","0","64","72","0","0","6","0","0","0","0","0","0","0","0","35","0","0","0","0","3","0","0","1","0","0","0","0","0","27","0","0","0","0","0","4","0","0","0","9","2","0","2","0","0","0","15","2","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","4","0","0","0","0","0","0"
" 6259",NA,NA,"414","49","0","0","0","12","3","0","1","0","6","0","0","2","0","0","0","0","2","1","0","0","0","1","0","3","0","0","0","0","0","3","0","0","0","2","0","0","154","182","0","0","6","0","0","0","0","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","64","0","0","0","0","0","0","1","0","0","38","0","0","0","0","2","0","65","1","0","0","0","14","0","0","0","0","0","0","0","3","0","1","0","11","0","0","0","0","0","0"
" 6317",NA,NA,"418","0","6","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","2","0","0","64","161","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","2","0","0","0","22","4","0","0","0","0","0","22","6","0","0","2","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0"
" 6389",NA,NA,"423","0","0","0","0","10","1","0","0","2","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0","109","22","0","0","7","0","0","0","0","0","1","0","0","19","0","0","0","0","1","0","0","0","0","0","0","0","0","42","0","0","1","0","0","2","0","1","0","24","0","0","0","0","0","0","31","0","0","0","1","0","0","0","0","0","3","1","0","0","0","2","0","4","0","0","0","0","0","0"
" 6491",NA,NA,"430","71","0","0","1","8","3","0","1","2","55","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","28","0","0","0","3","0","0","81","217","0","0","0","0","0","0","0","0","5","0","0","0","0","14","0","1","0","0","0","3","0","0","0","0","0","33","0","0","0","0","0","4","0","0","0","25","1","0","0","0","0","1","35","1","0","0","0","6","0","0","0","0","0","3","0","0","0","2","1","3","0","0","0","0","0","0"
" 6550",NA,NA,"434","0","1","0","0","10","1","0","0","1","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","13","0","0","0","3","0","0","69","176","0","0","2","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","22","0","0","0","1","0","2","0","0","0","17","0","0","0","0","0","0","37","6","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
" 6668",NA,NA,"442","42","0","0","0","9","2","0","0","3","18","0","0","4","0","0","1","0","0","1","0","0","0","3","0","1","0","0","0","0","0","42","0","0","0","2","0","0","86","539","0","0","6","0","0","0","0","0","3","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","29","0","0","0","0","0","1","1","2","0","56","5","0","0","0","0","0","56","0","0","0","0","2","0","0","0","0","3","0","0","3","0","4","1","2","0","0","0","0","2","0"
" 6787",NA,NA,"450","86","0","0","0","12","4","0","1","5","31","0","0","3","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","21","0","0","0","2","0","0","118","426","0","0","1","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","2","0","0","0","2","0","3","0","0","0","0","0","5","3","0","0","11","0","0","0","0","0","0","52","0","0","0","0","2","0","0","0","0","2","0","0","0","0","3","0","8","0","0","0","0","1","0"
" 6847",NA,NA,"454","0","0","0","0","2","2","0","2","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","20","0","0","0","2","0","0","65","92","0","0","1","0","0","0","0","0","4","0","0","81","0","3","0","0","0","0","0","0","0","0","2","0","1","24","0","0","1","0","1","3","0","4","0","13","0","0","0","0","0","0","12","0","0","0","1","0","0","0","0","0","2","0","1","0","0","2","4","2","3","0","0","0","0","0"
" 6939",NA,NA,"460","63","0","0","0","1","2","0","0","2","28","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","25","0","0","0","3","0","0","102","1529","0","0","2","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","45","0","0","0","0","0","6","0","0","0","30","0","0","0","0","0","0","73","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","0"
" 7000",NA,NA,"464","0","1","0","0","2","2","0","4","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","2","0","2","90","50","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","0","0","0","2","0","0","0","4","0","12","0","0","0","0","0","0","76","12","0","0","2","2","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0"
" 7063",NA,NA,"468","98","0","0","0","10","1","0","0","2","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","5","0","0","0","5","0","0","83","8","0","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","48","0","0","0","0","0","3","0","1","0","33","0","0","0","0","0","0","80","0","4","0","0","1","0","0","0","0","2","0","0","0","0","1","0","2","0","0","0","0","0","0"
" 7126",NA,NA,"472","0","2","0","0","5","2","0","1","0","5","0","2","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","7","0","0","5","0","1","0","2","0","0","102","20","0","0","3","0","0","0","0","0","3","0","0","105","0","4","0","0","0","0","0","0","0","0","2","0","0","20","0","0","0","0","0","4","0","0","0","10","0","0","0","0","0","0","33","1","1","0","5","1","0","0","0","0","3","0","0","0","0","0","2","3","1","0","0","0","0","0"
" 7190",NA,NA,"476","76","1","1","0","9","2","0","1","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0","0","102","395","0","0","5","0","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","1","0","0","3","0","34","0","0","0","0","0","2","0","3","0","32","0","0","0","0","0","0","89","1","0","0","0","3","0","0","0","0","1","0","0","0","0","3","0","9","0","0","0","0","0","0"
" 7255",NA,NA,"480","0","2","12","0","10","1","0","0","2","8","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","2","0","0","27","0","0","0","0","0","0","70","237","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","2","0","0","0","12","2","0","0","0","0","0","64","4","0","0","2","0","0","0","0","0","0","2","0","0","0","0","4","6","0","0","1","0","0","0"
" 7422",NA,NA,"490","49","0","0","0","8","0","0","2","5","78","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","1","0","6","0","0","4","0","0","0","0","0","0","90","76","0","0","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","50","0","0","0","0","0","4","0","0","0","13","0","0","0","0","0","0","56","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
" 7490",NA,NA,"494","10","1","0","0","4","0","0","0","1","173","0","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","5","0","0","15","0","0","0","2","0","7","50","38","0","0","1","0","0","0","1","0","3","0","2","0","0","3","0","0","1","1","0","0","0","0","0","1","0","31","0","0","0","2","0","1","0","2","0","15","0","0","0","0","0","2","35","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1","4","0","0","0","0","0","0"
" 7702",NA,NA,"506","28","0","1","0","22","2","0","8","2","34","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","37","0","0","0","2","0","0","191","137","0","0","9","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","40","0","0","0","0","0","0","1","2","0","30","1","0","0","0","0","0","55","0","1","0","0","2","0","0","0","0","4","0","0","0","0","1","8","6","0","0","0","0","0","0"
" 7774",NA,NA,"510","0","0","0","0","5","2","0","2","2","20","1","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","8","0","0","25","0","0","1","3","0","0","226","68","0","0","3","0","0","0","0","1","7","4","0","54","0","3","0","0","2","0","0","0","0","0","3","0","0","38","0","0","1","0","0","2","1","0","0","17","5","0","4","0","0","0","45","4","1","0","0","0","3","0","0","0","2","7","0","0","0","4","8","12","5","0","5","0","0","0"
" 7847",NA,NA,"514","44","0","1","0","6","3","0","4","2","32","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","5","0","1","8","0","0","0","2","0","0","176","23","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","35","0","0","0","2","0","3","0","0","0","10","0","0","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","75","0","0","0","1","1","5","0","0","0","0","0","0"
" 7919",NA,NA,"518","52","0","0","0","1","1","0","0","1","140","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","187","19","0","0","2","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","42","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","5","0","0","0","0","0","0"
" 8010",NA,NA,"523","0","0","0","0","7","0","0","1","1","19","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","0","0","66","40","0","0","4","0","0","0","0","0","1","0","1","14","0","1","0","0","0","0","0","0","0","0","24","0","0","29","0","0","0","0","0","1","0","0","0","5","1","0","1","0","0","1","26","2","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","3","0","0","0","0","0","2"
" 8136",NA,NA,"530","113","0","1","0","5","2","0","2","4","26","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","5","0","0","0","6","0","2","201","61","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","62","0","0","0","0","0","2","0","1","0","26","0","0","0","0","0","0","59","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","3","8","0","0","0","0","0","0"
" 8206",NA,NA,"534","0","2","0","0","6","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","2","0","0","0","2","0","3","162","30","0","0","2","0","0","1","0","0","6","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","38","0","0","0","1","0","2","0","0","0","8","0","0","0","1","0","1","44","4","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0"
" 8276",NA,NA,"538","117","0","0","0","9","0","0","1","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","154","46","0","0","6","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","70","0","0","1","0","0","2","0","0","0","13","0","0","0","0","0","0","46","0","0","0","0","2","0","0","0","0","2","0","0","0","0","1","4","7","0","0","0","0","1","0"
" 8344",NA,NA,"542","99","1","0","0","5","2","0","0","0","50","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","202","98","0","0","3","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","3","1","0","0","7","0","0","0","0","0","0","60","2","0","0","0","2","0","0","0","0","1","0","0","0","0","2","2","9","0","0","0","0","1","0"
" 8411",NA,NA,"546","0","0","0","0","8","0","0","2","0","30","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","8","0","0","0","0","0","0","172","84","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","2","0","0","0","0","0","0","5","0","36","0","0","0","0","0","0","0","2","0","16","0","0","0","0","0","0","30","12","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0"
" 8475",NA,NA,"550","25","1","4","0","8","4","0","1","2","40","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","0","26","0","0","0","0","0","0","183","53","0","0","15","0","0","0","0","0","10","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","48","0","0","0","0","0","3","1","0","0","22","0","0","1","0","0","0","66","0","0","0","0","2","0","0","0","0","11","0","0","0","0","0","5","10","0","0","0","0","0","0"
" 8538",NA,NA,"554","69","0","0","0","3","0","0","1","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","8","0","0","0","1","0","0","114","88","0","0","3","0","1","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","30","0","0","0","0","0","5","0","1","0","13","0","0","0","0","0","2","31","2","0","0","0","1","0","0","0","0","1","0","0","0","0","1","4","2","0","0","0","0","1","2"
" 8627",NA,NA,"560","75","0","0","0","11","1","0","2","3","27","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","11","0","0","6","0","0","0","4","0","1","157","93","0","0","2","1","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","6","0","0","0","0","0","40","0","0","0","0","0","3","0","0","0","25","0","0","0","0","0","0","80","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","16","5","0","0","0","0","0","0"
" 8684",NA,NA,"564","0","1","60","0","10","0","0","1","4","26","0","0","2","0","0","0","0","1","0","0","1","0","0","20","0","0","0","12","0","0","6","0","0","0","4","0","0","228","4","0","0","0","0","0","12","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","40","5","0","0","0","0","0","0","0","0","11","10","0","0","0","0","10","4","0","0","0","0","0","0"
" 8737",NA,NA,"568","86","2","0","0","9","1","0","2","0","26","0","0","0","0","0","0","0","1","0","3","0","0","0","0","1","0","0","1","0","0","4","0","0","0","0","0","0","182","61","0","0","2","0","0","0","0","0","7","0","0","0","0","0","0","0","1","0","0","3","0","0","0","3","0","47","0","0","0","0","0","4","0","0","0","13","0","0","0","0","0","0","61","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0"
" 8787",NA,NA,"572","0","0","0","0","6","0","0","4","2","12","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","111","25","0","0","5","0","0","0","0","0","2","0","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0","50","0","0","0","0","0","1","0","3","0","18","0","0","0","0","0","0","44","1","0","0","1","0","0","0","0","0","3","0","0","0","0","1","9","1","0","0","0","0","1","8"
" 8833",NA,NA,"576","72","0","17","0","7","2","0","1","0","15","0","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","14","0","0","0","1","0","0","179","21","0","0","4","0","0","0","0","0","19","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","62","0","0","0","0","0","2","0","0","0","20","0","0","0","0","0","0","74","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","4","6","0","0","1","0","0","0"
" 8877",NA,NA,"580","98","0","4","0","7","2","0","3","2","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","193","13","0","0","2","0","0","0","0","0","9","0","0","0","0","2","0","0","2","0","0","2","0","0","0","4","0","60","0","0","0","0","0","3","0","0","0","5","0","0","0","0","0","0","60","4","0","0","0","1","0","0","0","0","0","1","0","0","0","3","3","3","0","0","0","0","0","0"
" 8917",NA,NA,"584","0","0","320","0","7","1","0","1","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","9","0","0","0","1","0","0","131","23","0","0","2","0","0","0","0","0","7","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","0","1","3","0","1","0","0","0","12","0","0","0","0","0","0","39","3","0","0","3","1","0","0","0","0","2","0","0","0","0","0","12","5","0","0","0","0","0","2"
" 8973",NA,NA,"590","58","0","0","0","15","0","0","0","4","18","0","0","1","0","0","0","0","2","0","1","0","0","0","0","1","0","0","6","0","0","5","0","0","0","4","0","0","170","30","0","0","12","0","0","0","0","0","9","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","90","0","0","0","0","0","4","0","1","0","16","0","0","0","0","0","0","62","5","0","0","0","1","0","0","0","0","0","0","0","0","0","5","0","8","0","0","0","0","1","0"
" 9007",NA,NA,"594","0","0","40","0","9","0","0","4","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","8","0","0","0","2","0","0","147","44","1","0","3","0","0","0","0","0","7","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","38","0","0","0","1","0","2","0","0","0","11","0","0","0","0","0","0","48","5","0","0","0","2","0","0","0","0","2","0","0","0","0","0","4","4","0","0","0","0","0","0"
" 9097",NA,NA,"606","0","4","21","0","24","4","0","0","0","24","0","0","1","0","0","0","0","0","0","8","0","0","1","0","0","0","0","4","0","0","6","0","0","0","0","0","0","232","37","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","32","0","0","0","0","0","4","0","4","1","10","2","0","0","0","0","0","30","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4","0","0","0","0","0","0"
" 9123",NA,NA,"610","61","3","11","0","14","6","0","1","0","28","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","0","0","5","0","2","1","1","0","0","153","10","0","0","2","0","0","0","0","0","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","66","0","0","0","2","0","1","0","4","0","24","0","0","0","0","0","0","55","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","1","0"
