"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Alnus","Amaranthaceae undif.","Anthemideae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Cannabaceae undif.","Cardueae undif.","Cedrus","Cercophora undiff.","Chaetomium undiff.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cosentinia","Cupressaceae","Cyperaceae","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Fungi","Fungi (type 55, HdV)","Genisteae","Glomus cf. G. fasciculatum","Hedera","Ilex","Juglans","Lamiaceae undif.","Lonicera","Lycium","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Pinus mediterranea","Pinus pinaster","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodiophyta (trilete)","Quercus deciduous","Quercus evergreen","Rhamnus","Rumex t.","Salix","Selaginella denticulata-type","Thymelaeaceae undif.","Ulmus t.","Urtica t.","Withania"
"28042",NA,NA,"  440","    0","    1","   24","    0","   45","    0","    2","    1","    0","    0","    0","    4","    2","    0","    0","   13","    3","    0","    0","    0","    4","    2","    3","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    4","    0","    6","    7","    4","    4","    0","   34","    0","    0","    0","    1","    4","    2","    0","    0","    0","    3","    0","    0","    3"
"29526",NA,NA,"  442","    0","    1","    7","    1","   66","    0","    0","    1","    1","    1","    0","    3","    0","    0","    0","   13","    4","    0","    0","    0","    5","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    9","    0","    0","    0","    5","    0","    4","    8","    5","    5","    0","   56","    0","    0","    1","    0","    5","    0","    0","    0","    0","    2","    1","    0","    0"
"30268",NA,NA,"  443","    0","    2","   15","    0","   55","    0","    2","    0","    0","    0","    0","    3","    2","    0","    0","    5","    1","    0","    0","    0","    6","    0","    1","    1","    0","    0","    0","    0","    0","    5","    0","    0","    0","    8","    0","    0","    0","    4","    1","    5","    9","    2","    6","    0","   71","    0","    0","    2","    0","   12","    0","    0","    1","    2","    0","    0","    0","    0"
"31751",NA,NA,"  445","    0","    1","    6","    0","   44","    0","    0","    1","    0","    0","    0","    3","    2","    0","    0","    5","    5","    0","    0","    0","    5","    1","    2","    0","    0","    1","    0","    0","    0","    6","    0","    0","    0","    3","    0","    0","    0","    0","    1","    4","   11","    0","    5","    1","   50","    0","    0","    3","    1","   15","    1","    1","    0","    4","    1","    0","    1","    3"
"32493",NA,NA,"  446","    0","    1","    7","    2","   21","    0","    2","    2","    0","    0","    0","    2","    0","    0","    0","   16","    4","    0","    0","    0","    4","    1","    1","    0","    0","    0","    0","    0","    0","    7","    0","    2","    0","    2","    0","    0","    0","    1","    1","    3","   12","    2","    6","    2","   39","    0","    0","    0","    0","   16","    1","    2","    0","    0","    2","    0","    0","    5"
"33976",NA,NA,"  448","    0","    1","    8","    1","   33","    0","    0","    1","    2","    1","    0","    0","    1","    0","    0","   15","    3","    0","    0","    0","    5","    2","    2","    1","    2","    0","    0","    0","    0","    0","    1","    1","    0","    4","    0","    0","    0","    2","    3","    2","    3","    2","    5","    1","   44","    0","    0","    1","    1","    7","    2","    0","    1","    0","    3","    2","    0","    2"
"35460",NA,NA,"  450","    2","    1","   11","    0","   49","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","   11","    2","    0","    0","    0","    5","    0","    1","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    3","    0","    6","    4","    2","    4","    1","   56","    0","    0","    0","    0","    9","    2","    3","    0","    3","    3","    0","    0","    1"
"36202",NA,NA,"  451","    0","    1","   11","    0","   45","    0","    0","    1","    2","    1","    0","    0","    0","    0","    0","   19","    2","    0","    0","    0","    4","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    3","    2","    6","   12","    2","    3","    0","   43","    0","    0","    1","    1","   12","    0","    0","    1","    3","    3","    0","    0","    1"
"36943",NA,NA,"  452","    0","    1","    9","    0","   47","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    9","    5","    0","    0","    0","    4","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    5","   15","    1","    4","    0","   54","    0","    0","    0","    1","   15","    0","    0","    0","    0","    2","    0","    0","    0"
"37685",NA,NA,"  453","    3","    8","    2","    0","   11","    0","    3","    2","    0","    2","    2","    0","    0","    0","    0","    6","    2","    0","    1","    0","    5","   23","    0","    0","    9","    2","    0","    0","    0","    0","   13","    0","    0","    1","    2","    0","    0","    1","    0","    1","    3","    1","    1","    1","   23","    0","    0","    5","    9","   13","    2","    0","    4","    2","    2","    5","    0","    1"
"37807",NA,NA,"  456","    4","    9","    1","    2","   21","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    3","    1","    0","    0","    0","    4","   35","    2","    0","    9","    2","    0","    0","    0","    0","    1","    0","    0","    1","    2","    1","    0","    0","    1","    3","    3","    1","    0","    2","   34","    0","    0","    8","   13","   11","    3","    2","    3","    0","    0","    9","    0","    2"
"37970",NA,NA,"  460","    9","   11","    0","    0","   13","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    3","    2","    2","    7","    3","    0","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    2","    4","    3","    0","    0","   19","    0","    0","   11","   14","    9","    2","    0","    2","    1","    2","    0","    1","    0"
"38133",NA,NA,"  464","   11","    7","    2","    0","   23","    0","    0","    3","    0","    1","    0","    1","    0","    0","    0","   11","    0","    0","    0","    0","    2","   11","    0","    2","    6","    4","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    2","    2","    0","    2","    2","    2","    2","    0","   32","    0","    0","    3","    8","   12","    2","    0","    3","    0","    0","    0","    0","    3"
"38295",NA,NA,"  468","    0","    1","   15","    1","   56","    0","    2","    0","    0","    0","    0","    3","    2","    0","    0","    5","    5","    0","    0","    2","   11","    0","    2","    1","    0","    0","    0","    7","    0","   15","    0","    1","    0","    7","    0","    0","    2","    0","    1","    0","   15","    5","    1","    0","   99","    0","    0","    0","    0","    4","    2","    0","    0","    0","    4","    0","    0","    2"
"38743",NA,NA,"  479","    0","    0","   21","    0","   78","    0","    1","    1","    0","    1","    0","    2","    2","    0","    0","   11","    9","    0","    0","    1","   13","    0","    1","    0","    0","    0","    0","   13","    0","   18","    0","    0","    0","    8","    0","    1","    0","    2","    2","    1","   18","    6","    0","    0","   75","    0","    0","    1","    0","    3","    3","    0","    0","    2","    4","    0","    0","    0"
"39190",NA,NA,"  490","    3","    6","    5","    0","   56","    0","    1","    4","    0","    2","    0","    1","    0","    0","    0","    4","    2","    0","    5","    2","    4","   11","    2","    0","    3","    2","    0","    0","    1","    0","    3","    4","    0","    0","    2","    2","    2","    2","    1","    5","    4","    1","    3","    1","   34","    0","    0","    8","    7","   19","    2","    0","    3","    1","    2","    3","    1","    0"
"39637",NA,NA,"  501","    7","    8","    6","    0","   28","    0","    0","    5","    0","    1","    0","    0","    0","    0","    0","    8","    0","    0","    8","    3","    4","   19","    3","    1","    7","    2","    0","    0","    2","    0","    6","    3","    0","    0","    1","    0","    3","    3","    0","    3","    4","    0","    4","    2","   35","    0","    0","    3","    7","   21","    1","    1","    5","    2","    2","    1","    0","    1"
"40085",NA,NA,"  512","    2","    1","   13","    1","   56","    0","    2","    2","    0","    1","    0","    2","    2","    0","    0","   13","   13","    0","    0","    0","   19","    2","    8","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","   11","    0","    1","    1","    2","    0","    0","   13","    0","    1","    1","   89","    0","    0","    1","    0","    7","    2","    1","    1","    2","    4","    0","    0","    2"
"59982",NA,NA,"  520","    1","    1","   21","    0","   66","    0","    1","    1","    0","    2","    0","    1","    0","    0","    0","    4","    5","    0","    0","    0","   23","    1","    3","    2","    2","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    1","    2","    8","    2","    0","    0","  103","    0","    0","    2","    0","    4","    0","    0","    2","    0","    2","    0","    0","    0"
"64460",NA,NA,"  525","    0","    0","   13","    0","   77","    0","    2","    0","    0","    2","    1","    0","    0","    0","    0","    4","    3","    0","    1","    0","   15","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    2","   11","    0","    0","    1","   76","    0","    0","    1","    1","    5","    0","    0","    1","    0","    2","    0","    0","    0"
"65767",NA,NA,"  530","    1","    0","   13","    1","   43","    0","    1","    0","    1","    2","    0","    1","    1","    0","    0","    2","    3","    0","    0","    0","   16","    3","    5","    0","    1","    1","    0","    0","    1","    0","    0","    2","    0","    1","    0","    0","    0","    1","    0","    1","    9","    0","    0","    1","   89","    0","    0","    1","    0","    6","    1","    0","    0","    0","    2","    0","    1","    0"
"67075",NA,NA,"  535","    0","    0","   14","    0","   49","    0","    1","    1","    0","    2","    0","    0","    0","    0","    0","    5","    2","    0","    0","    0","   23","    2","    7","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    3","    3","    1","    2","    0","  112","    0","    0","    1","    1","    8","    1","    0","    0","    0","    1","    0","    1","    0"
"68383",NA,NA,"  540","    0","    0","   25","    1","   56","    0","    1","    2","    0","    2","    0","    0","    0","    0","    0","    4","    3","    0","    0","    0","   27","    0","    6","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    2","   13","    0","    0","    0","   99","    0","    0","    1","    0","    1","    0","    1","    0","    0","    1","    0","    0","    0"
"69690",NA,NA,"  545","    0","    1","   16","    0","   78","    0","    2","    2","    0","    2","    0","    0","    0","    0","    0","    6","    3","    0","    0","    0","   17","    2","    8","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","   12","    0","    2","    0","   89","    0","    0","    2","    0","    8","    0","    1","    0","    0","    1","    0","    0","    0"
"70998",NA,NA,"  550","    0","    1","    6","    2","    2","    0","    2","    1","    0","   12","    0","    0","    0","    0","    0","    9","    4","    0","    0","    0","    9","   24","    2","    9","    2","    1","    0","    0","    0","    0","   11","    2","    0","    2","    2","    0","    9","    3","    0","    0","    3","    0","   12","    0","   11","    0","    0","   11","   18","   17","    2","    2","   27","    3","    6","    1","    0","    2"
"90647",NA,NA,"  555","    0","    1","    9","    2","    2","    0","    3","    1","    0","   15","    0","    0","    0","    0","    0","   24","    2","    0","    1","    2","    5","   33","    1","   12","    1","    1","    0","    0","    0","    0","    9","    2","    0","    2","    4","    0","    6","   12","    1","    0","    9","    1","   15","    0","   23","    0","    0","    3","    9","   28","    4","    2","   15","   11","    6","    2","    0","    2"
"110296",NA,NA,"   560","     0","     2","     6","     2","     3","     0","     5","     1","     0","    14","     0","     0","     0","     0","     0","    27","     4","     0","     0","     9","     6","     9","     1","    17","     9","     0","     0","     0","     0","     0","    13","     1","     0","     3","     7","     0","    16","     0","     1","     0","    13","     0","     6","     0","    15","     0","     0","     9","     9","    23","     5","     2","    15","     0","    18","     1","     0","     7"
"129946",NA,NA,"   565","     0","     2","     1","     0","     1","     0","    10","     0","     0","     2","     0","     0","     0","     0","     0","    32","     7","     0","     1","     0","     2","    13","     3","     2","     3","     7","     0","     0","    12","     0","     0","     0","     2","     2","     3","     0","     1","     2","     2","     3","     3","     2","     4","     3","     6","     0","     0","     5","    18","    11","     2","     3","     2","     0","     2","     0","     0","     0"
"131311",NA,NA,"   568","     0","     0","     3","     1","    13","     0","     1","     1","     5","     6","     0","     0","     0","     0","     0","    29","     3","     0","     3","     0","     2","    21","     3","     4","     3","     1","     0","     0","     8","     0","     0","     0","     3","     3","     6","     0","     1","     3","     1","     3","     5","     0","     7","     1","     5","     0","     0","     2","    13","     3","     3","     2","    11","     0","     5","     1","     1","     0"
"133130",NA,NA,"   572","     0","     3","    37","     0","     6","     0","     1","     1","     8","     7","     0","     0","     0","     0","     0","    27","     4","     0","     4","     0","     1","    12","     2","     5","     5","    15","     0","     0","     7","     0","     2","     0","     5","     1","     6","     0","     3","     4","     2","     5","    12","     0","     8","     2","     6","     0","     0","     4","    15","    17","     2","     3","    22","     0","     3","     1","     0","     0"
"134950",NA,NA,"   576","     0","     2","    10","     0","     5","     0","    12","     1","     3","    13","     5","     0","     0","     0","     0","    13","     7","     0","     5","     0","     2","     9","     1","     7","     6","     6","     1","     0","     9","     0","     2","     0","     2","     1","     7","     0","     5","     5","     3","     6","    13","     1","    10","     1","     7","     0","     0","     6","     6","    18","     3","     4","     6","     0","     2","     1","     1","     0"
"136769",NA,NA,"   580","     2","     4","     2","     1","     5","     0","    20","     1","     2","    11","     0","     0","     0","     0","     0","    21","     6","     0","     4","     0","     1","     5","     3","     8","     8","     7","     2","     0","    13","     0","     3","     0","     0","     3","     5","     0","     3","    28","     1","     7","    21","     2","     9","     4","     5","     0","     0","     7","    14","    21","     4","     4","     4","     0","     2","     2","     0","     0"
"138589",NA,NA,"   584","     1","     5","     5","     0","     0","     0","     6","     2","    10","     3","     0","     0","     0","     0","     0","    22","     4","     0","     3","     0","     1","    26","     2","     8","    13","     8","     1","     0","    21","     0","    37","     0","     0","     2","     6","     0","     4","    13","     1","     5","     6","     2","     8","     2","     6","     0","     0","     8","    23","     4","     5","     6","     5","     0","     4","     0","     0","     0"
"140409",NA,NA,"   588","     0","     2","     7","     0","     7","     0","     6","     1","     7","     6","     8","     0","     0","     0","     0","    13","     3","     0","     2","     0","     2","    15","     2","     1","     2","     2","     0","     0","     5","     0","     0","     0","     0","     2","     4","     0","    12","     3","     2","     8","     3","     0","     7","     2","     1","     0","     0","     1","    22","     3","     2","     3","     6","     0","     5","     0","     0","     0"
"142228",NA,NA,"   592","     0","     4","     4","     0","     2","     0","     4","     0","     4","     3","     0","     0","     0","     0","     0","     6","     2","     0","     1","     0","     2","    23","     2","     3","    15","     5","     0","     0","     7","     0","     0","     0","     0","     3","     2","     0","     6","     4","     6","     4","    16","     0","     5","     1","     3","     0","     0","     3","    15","     9","     2","     3","     7","     0","     3","     0","     0","     0"
