"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Algae? (type 128A, HdV)","Algae? (type 128B, HdV)","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asplenium fontanum-type","Asteroideae undif.","Betulaceae undif.","Brassicaceae","Cannabaceae undif.","Caprifoliaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratophyllum","Cichorieae","Convolvulaceae","Cornus","Cupressaceae","Cyperaceae","Cystopteris fragilis-type","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Fraxinus","Galium t.","Gelasinospora-type","Indeterminable","Indeterminable (crumpled)","Juglans","Lamiaceae undif.","Lemnaceae","Lycopodium spike","Lythrum","Malva undif.","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Pediastrum clathratum-type","Pediastrum simplex-type","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Poaceae (Cerealia-type, broken)","Poaceae (Cerealia-type, corroded)","Poaceae (Cerealia-type, crumpled)","Polygonum t.","Potamogeton","Protist","Pseudopediastrum boryanum-type","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Salix","Sanguisorba t.","Sparganium","Spirogyra (type 132, HdV)","Thelypteris phegopteris-type","Typha","Ulmus t.","Unknown","Unknown (type 130)","Unknown (type 165)","Unknown (type 207)","Unknown (type 610)","Urtica t.","Valerianella","Vitis"
"2900.031",NA,NA," 242.500","   1.000","  14.000","   2.000","   1.000","   0.000","   6.000","   3.000","   0.000","   6.000","   0.000","   4.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   9.000","   0.000","   4.000","   0.000","   0.000","   1.000","  38.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   7.000","   9.000","   0.000","   0.000","   4.000"," 567.000","   1.000","   0.000","   0.000","   3.000","   5.000","   0.000","   8.000","  30.000"," 159.000","   0.000","   3.000","   0.000","  95.000","   2.000","   0.000","   0.000","   0.000","   0.000","  44.000","   0.000","  16.000","  10.000","   7.000","   4.000","   0.000","   0.000","   1.000","   3.000","   0.000","   4.000","   3.000","   0.000","   2.000","   0.000","   2.000","   3.000","  26.000","   1.000","   0.000","   0.000"
"2965.833",NA,NA," 246.500","   0.000","   2.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   6.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  65.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  68.000","   1.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   1.000","   0.000","   9.000","   3.000","   0.000","   0.000","   0.000"
"3063.167",NA,NA," 250.500","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   4.000","  17.000","   1.000","   1.000","   0.000","   0.000","  21.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000"," 219.000","   0.000","   0.000","   1.000","   1.000","   5.000","   0.000","   1.000","   1.000"," 209.000","   2.000","   0.000","   1.000","  53.000","   3.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   7.000","  18.000","   2.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   3.000","  19.000","   7.000","   0.000","   0.000","   0.000"
"3160.5",NA,NA," 254.5","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   4.0","  25.0","   2.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   6.0","   2.0","   0.0","   0.0","   0.0","  91.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   4.0"," 127.0","   0.0","   3.0","   0.0","  37.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   4.0","  15.0","   2.0","   0.0","   0.0","   0.0","   1.0","   3.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   6.0","  24.0","   0.0","   0.0","   0.0"
"3257.833",NA,NA," 258.500","   0.000","  79.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   5.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   6.000","   2.000","   0.000","   0.000","   0.000"," 327.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 103.000"," 110.000"," 248.000","   0.000","   1.000","   0.000","  46.000","   8.000","   2.000","   1.000","   0.000","   0.000","   0.000","   9.000","  65.000","   8.000","  12.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 413.000","   0.000","   0.000","   0.000"
"3355.167",NA,NA," 262.500","   1.000","   8.000","   0.000","  12.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   6.000","   1.000","   0.000","   0.000","   1.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","  10.000","   0.000","   0.000","   1.000","  56.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000"," 170.000","   0.000","   0.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   5.000","   5.000","   4.000","   1.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   3.000","   0.000","   0.000","   5.000","   1.000","  11.000","  44.000","   0.000","   0.000","   0.000"
"3640.931",NA,NA," 273.500","   0.000","   0.000","   0.000","   3.000","   0.000","   4.000","   0.000","   0.000","  77.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   9.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","  50.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  17.000","  10.000","   0.000","   0.000","   0.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 194.000","   0.000","   0.000","   0.000","  16.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  34.000","   1.000","   1.000","   3.000","   1.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000"
"3672.504",NA,NA," 274.500","   0.000","   1.000","   0.000","   8.000","   1.000","   0.000","   1.000","   1.000"," 148.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   2.000","  40.000","   0.000","   4.000","   0.000","   0.000","   1.000","  51.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   7.000","  25.000","   0.000","   0.000","   1.000"," 124.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 101.000","   0.000","   0.000","   0.000","  24.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","  41.000","   0.000","   4.000","   4.000","   4.000","   4.000","   0.000","   1.000","   2.000","   1.000","   0.000","   1.000","   1.000","   0.000","   5.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000"
"3798.794",NA,NA," 278.500","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   1.000","   0.000","  35.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   5.000","   1.000","  15.000","   7.000","   0.000","   0.000","   2.000","  29.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   0.000","  69.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 215.000","   0.000","   0.000","   0.000","  25.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   9.000","   2.000","   3.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   1.000","   1.000","   4.000","   6.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000"
"3925.084",NA,NA," 282.500","   0.000","   1.000","   0.000","   2.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","  16.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","  21.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","   0.000","   0.000","  40.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 279.000","   1.000","   0.000","   0.000","   5.000","   1.000","   1.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   4.000","   4.000","   1.000","   3.000","   0.000","   0.000","   1.000","   3.000","   0.000","   1.000","   0.000","   0.000","   5.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000"
"4051.374",NA,NA," 286.500","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","  58.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 171.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000"
"4809.115",NA,NA," 310.500","   0.000","   7.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","  10.000","   1.000","   1.000","   0.000","   3.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  34.000","  29.000","   0.000","   0.000","   1.000"," 181.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   7.000"," 237.000","   0.000","   0.000","   0.000","  51.000","   4.000","   0.000","   0.000","   1.000","   0.000","   1.000","   5.000","   4.000","   9.000","  11.000","   9.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"
"5676.726",NA,NA," 342.500","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","  40.000","   1.000","   1.000","   0.000","   3.000","   8.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   1.000","   0.000","   5.000","   9.000","   0.000","   0.000","   0.000"," 141.000","   0.000","   0.000","   0.000","  20.000","   3.000","   0.000","   0.000","   0.000","  84.000","   0.000","   0.000","   0.000","  13.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","  10.000","   1.000","  16.000","   1.000","   1.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000"
"5816.904",NA,NA," 360.500","   0.000","   3.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   3.000","  43.000","  14.000","   0.000","   0.000","   3.000","   4.000","  14.000","   3.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   5.000","   2.000","   0.000","   0.000","   0.000"," 165.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000"," 235.000","   0.000","   0.000","   0.000","  15.000","   2.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   3.000","   0.000","   0.000","   1.000","   3.000","   0.000","  25.000","   2.000","   0.000","   0.000","   2.000","   1.000"," 390.000","   0.000","   0.000","   0.000","   0.000"
"6050.533",NA,NA," 390.500","   0.000","   0.000","   0.000","   1.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   2.000","  13.000","   0.000","   2.000","   2.000","   3.000","  26.000","   0.000","   0.000","  23.000","   6.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","  18.000","  31.000","   0.000","   0.000","   0.000"," 365.000","   0.000","   0.000","   0.000","  11.000","   3.000","   0.000","   0.000","   0.000","  37.000","   0.000","   1.000","   0.000","  93.000","   3.000","   1.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","  15.000","   5.000","  10.000","   1.000","   0.000","   0.000","   3.000","   0.000","  16.000","   2.000","   1.000","   2.000","   0.000","   1.000","  88.000","   0.000","   1.000","   0.000","   0.000"
"6190.711",NA,NA," 408.500","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   1.000","   1.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   3.000","   1.000","   0.000","   9.000","   0.000","   0.000","   3.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000"," 181.000","   0.000","   0.000","   6.000","   0.000","   4.000","   0.000","   0.000","   0.000"," 180.000","   1.000","   0.000","   0.000","  67.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  36.000","   2.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000"," 214.000","   0.000","   0.000","   0.000","   0.000"
"6299.738",NA,NA," 422.500","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   6.000","   0.000","   5.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   2.000","   4.000","   5.000","   1.000","  21.000","   3.000","   0.000","  28.000","   9.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   2.000","  17.000","  33.000","   1.000","   0.000","   0.000"," 803.000","   0.000","   0.000","   3.000","   0.000","   4.000","   0.000","   0.000","   0.000"," 123.000","   4.000","   0.000","   0.000","  45.000","   2.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  26.000","  21.000","  24.000","   1.000","   0.000","   0.000","   1.000","   0.000","   2.000","   1.000","   0.000","   4.000","   0.000","   0.000"," 176.000","   0.000","   0.000","   0.000","   0.000"
"6424.341",NA,NA," 438.500","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   2.000","   0.000","   0.000","   7.000","   1.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   7.000","   0.000","   0.000","   0.000"," 454.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 156.000","   1.000","   0.000","   0.000","  22.000","   3.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","  21.000","   0.000","   3.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000"
"6704.696",NA,NA," 474.500","   0.000","   2.000","   0.000","   2.000","   0.000","   1.000","   2.000","   0.000","  15.000","   0.000","   4.000","   2.000","   0.000","   1.000","   0.000","   1.000","   2.000","   1.000","   4.000","   3.000","   1.000","  17.000","   3.000","   0.000","  10.000","  35.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","  35.000","   0.000","   0.000","   0.000"," 492.000","   0.000","   0.000","  30.000","   2.000","   0.000","   0.000","   0.000","   1.000"," 173.000","   2.000","   0.000","   0.000","  44.000","   6.000","   1.000","   0.000","   4.000","   0.000","   6.000","   5.000","   8.000","  22.000","  17.000","   9.000","   3.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   0.000","   0.000","  10.000","   1.000"," 132.000","   1.000","   0.000","   0.000","   0.000"
"6829.299",NA,NA," 490.500","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   7.000","   0.000","   1.000","   2.000","   1.000","   0.000","   1.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","  19.000","   0.000","   0.000","   0.000"," 189.000","   0.000","   0.000"," 214.000","   1.000","   1.000","   0.000","   0.000","   0.000"," 247.000","   2.000","   0.000","   0.000","  21.000","   0.000","   1.000","   0.000","   2.000","   0.000","   2.000","  48.000","   5.000","  64.000","  13.000","   7.000","   3.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","  69.000","   0.000","  42.000","   0.000","   1.000","   0.000","   0.000"
"6953.901",NA,NA," 506.500","   0.000","   1.000","   1.000","   0.000","   0.000","  16.000","   1.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   2.000","   0.000","   0.000","   2.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  17.000","  20.000","   0.000","   0.000","   0.000"," 130.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 135.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   9.000","  15.000","   9.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000"
"7078.504",NA,NA," 522.500","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   6.000","   1.000","  12.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  21.000","   9.000","   0.000","   0.000","   0.000"," 386.000","   0.000","   0.000","   2.000","   6.000","   1.000","   0.000","   0.000","   0.000"," 106.000","   0.000","   0.000","   0.000"," 107.000","   3.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","  47.000","   3.000","   8.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000"
"7203.106",NA,NA," 538.500","   0.000","   5.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   3.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   3.000","   0.000","  21.000","   2.000","   0.000","   0.000","   1.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","  20.000","   6.000","   0.000","   0.000","   0.000","  71.000","   0.000","   0.000","   3.000","  39.000","   1.000","   0.000","   0.000","   0.000"," 145.000","   1.000","   0.000","   0.000","  47.000","   2.000","   0.000","   0.000","   1.000","   0.000","   4.000","   3.000","   1.000","  20.000","  14.000","   6.000","   5.000","   0.000","   0.000","  10.000","   0.000","   4.000","   1.000","   1.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000"
"7511.113",NA,NA," 553.500","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   3.000","   0.000","   6.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   2.000","  13.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  26.000","   4.000","   0.000","   0.000","   0.000","  94.000","   0.000","   0.000","   2.000","   6.000","   1.000","   0.000","   0.000","   1.000"," 218.000","   1.000","   0.000","   2.000","  69.000","   3.000","   1.000","   0.000","   0.000","   0.000","  17.000","  11.000","   3.000","  53.000","  15.000","  15.000","   2.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"7825.713",NA,NA," 568.500","   0.000","  11.000","   0.000","   1.000","   0.000","  14.000","   2.000","   0.000","   7.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   7.000","   2.000","   0.000","   0.000","   5.000","   9.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","  22.000","  10.000","   0.000","   0.000","   0.000","  79.000","   0.000","   0.000","   3.000","   3.000","   3.000","   0.000","   0.000","   0.000","  88.000","   1.000","   1.000","   2.000","  97.000","   5.000","   0.000","   0.000","   0.000","   0.000","   7.000","  51.000","   3.000","  78.000","  17.000","  11.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   2.000","   3.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8161.287",NA,NA," 584.500","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   4.000","   0.000","   4.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   4.000","   1.000","   4.000","   3.000","   1.000","   0.000","   3.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","  43.000","  10.000","   0.000","   0.000","   0.000"," 527.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 149.000","   0.000","   0.000","   0.000","  49.000","   3.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   1.000","  41.000","  10.000","  25.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"8580.753",NA,NA," 604.500","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   1.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   1.000","   0.000","   7.000","   0.000","   0.000","   4.000","  14.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","  10.000","  20.000","   0.000","   0.000","   0.000","  25.000","   0.000","   0.000","  15.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 206.000","   0.000","   0.000","   0.000","  23.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   1.000","  30.000","   1.000","   7.000","   6.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000"
"8839.913",NA,NA," 620.500","   0.000","   2.000","   0.000","   5.000","   0.000","  57.000","   2.000","   0.000","   1.000","   0.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   1.000","   2.000","   7.000","   2.000","   1.000","   0.000","   4.000","  47.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   5.000","  14.000","   1.000","   0.000","   0.000","  24.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 169.000","   0.000","   0.000","   0.000","  27.000","   2.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   4.000","  10.000","   2.000","   7.000","   0.000","   0.000","   0.000","   0.000","   1.000","  28.000","   1.000","   0.000","   0.000","  12.000","   0.000","  52.000","   0.000","   0.000","   0.000","   0.000"
"8968.956",NA,NA," 634.500","   0.000","   1.000","   0.000","   2.000","   0.000","   7.000","   0.000","   0.000","   0.000","   1.000","  17.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000","   0.000","   6.000","   7.000","   0.000","   0.000","   0.000","  54.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","  15.000","   0.000","   0.000","   1.000"," 263.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 229.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  10.000","   2.000","   6.000","   0.000","   0.000","   0.000","   4.000","   1.000","   3.000","  17.000","   0.000","   0.000","   4.000","   3.000"," 143.000","   0.000","   0.000","   0.000","   0.000"
"9208.608",NA,NA," 660.500","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","  18.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   3.000","   1.000","   0.000","   0.000","   8.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   9.000","   0.000","   0.000","   0.000"," 448.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 260.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","   2.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   6.000","   0.000","   0.000","   8.000","   1.000"," 228.000","   0.000","   0.000","   0.000","   0.000"
"9282.348",NA,NA," 668.500","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","  12.000","   1.000","   0.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   1.000","   1.000","  12.000","   0.000","   0.000","  20.000"," 129.000","   2.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  26.000","  46.000","   0.000","   0.000","   1.000"," 611.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"," 121.000","   1.000","   0.000","   0.000","  37.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","  22.000","   7.000","   2.000","   0.000","   0.000","  12.000","   7.000","   3.000","   5.000","   0.000","   2.000","  53.000","   0.000"," 118.000","   0.000","   0.000","   0.000","   0.000"
