"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Adansonia digitata","Aerva type","Aeschynomene","Afraegle","Alchornea","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anthocleista","Anthostema","Antidesma t.","Asteroideae undif.","Balanites","Bauhinia","Boscia","Bridelia","Canthium","Caperonia","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cissampelos","Cleome","Clutia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gardenia","Gomphrena t.","Grewioideae","Heliotropium","Hyphaene t.","Indeterminable","Ipomoea","Ixora","Justicia t.","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepisanthes","Macaranga","Maerua","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Ocimum","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Plantago","Poaceae","Polygala","Polygonum t.","Potamogeton","Rhizophora","Rubiaceae undif.","Salix","Salvadora","Sapindaceae undif.","Sapotaceae undif.","Searsia","Securinega  t.","Solanum","Spergularia t.","Spermacoce","Spondias","Spores","Syzygium t.","Tamarix","Tapinanthus","Tetracera alnifolia","Treculia","Trifolium t.","Triletes","Typha","Uapaca","Urtica t.","Vahlia","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"6702.662"," 450.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","  24.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  77.000","   0.000","   0.000","   0.000"," 619.000","   0.000","   1.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  16.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"  0","475","  1","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  9","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  9","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 48","  0","  0","  0","309","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","  0","  0","  1","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0"
"  0","500","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0"," 28","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  3","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 58","  0","  0","  0","497","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0"
"  0","525","  1","  0","  0","  0","  0","  0","  7","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0"," 11","  2","  0"," 17","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 75","  0","  1","  1","424","  1","  0","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0"
"  0","550","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0"," 22","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  6","  2","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0"," 50","  0","  0","  0","289","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0"
"  0","575","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  8","  0","  0"," 22","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 60","  0","  0","  0","343","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0"
"  0","600","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0"," 32","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0"," 73","  0","  0","  0","411","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  0"," 14","  1","  0","  0","  0","  0","  0","  0"
"  0","612","  0","  0","  0","  1","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  6","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 43","  0","  0","  0","498","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  5","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0"
"  0","627","  0","  0","  0","  1","  0","  0","  1","  1","  6","  0","  1","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"," 15","  1","  0"," 40","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  4","  4","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  1","  0","  0","138","  0","  0","  1","143","  0","  1","  0","  0","  1","  0","  1","  0","  1","  1","  0","  0"," 17","  0","  0","  0","  1","  0","  0"," 33","  2","  0","  0","  0","  0","  0","  0"
"  0","650","  0","  0","  0","  0","  0","  0","  2","  1","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  6","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  3","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0"," 94","  0","  0","  1","420","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0"," 17","  1","  0","  0","  0","  0","  0","  0"
