"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fraxinus","Geraniaceae undif.","Hedera","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"2036","2193","1900"," 320","   0","   0","   0","   7"," 111","   0"," 324","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","   0","  13","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   0","   8","   3","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   0","   0","   0"
"2125","2283","1991"," 330","   0","   0","   1","   0","  43","   3"," 205","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   4","   0","  10","   3","   0","   0","   0","   3","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   2","   0","   0","   0"
"2214","2372","2081"," 340","   0","   0","  16","   1","  20","   0","  82","  11","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   9","  11","   0","   0","   0","   0","   0","   0","   0","   0","  22","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  11","   0","   0","   5","  11","   0","  24","   0","   7","   5","   1","   0","   0","  15","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  11","   0","   0","   0"
"2304","2461","2170"," 350","   0","   0","   3","   0","  44","   7"," 152","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   0","   0","  14","   0","   2","   0","   7","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   0","   0"
"2393","2551","2259"," 360","   0","   0","  72","   1","  33","   1"," 102","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   1","   0","   7","   1","  13","   0","   3","   0","   0","   0","   0","   8","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"
"2482","2641","2346"," 370","   0","   0","   5","   0","   8","   1","  92","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","  10","   0","   0","   0","   0","   0","   0","   0","   0","  14","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   6","   0","   0","   5","   4","   0","  32","   0","   1","   1","   0","   0","   0","  59","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"2571","2730","2433"," 380","   0","   0","  51","   0","   6","   0","  67","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","   9","   0","  14","   0","   3","   2","   0","   0","   0","  18","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0"
"2660","2821","2520"," 390","   0","   0","   7","   0","   8","   1"," 147","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   0","   0","   0","   0","   0","   0","   0","  10","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   4","   0","  23","   0","   4","   4","   0","   0","   0","  13","   1","  15","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"2927","3092","2778"," 420","   0","   0","   0","   0","   1","   3","  49","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   2","   0","  14","   0","   1","   2","   0","   0","   0","  12","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"
"3373","3548","3206"," 470","   0","   0","   0","   0","  34","   0","  25","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   7","   0","   3","   1","   0","   0","   0","  49","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0"
