"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Hedera","Hypericum undif.","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lotus t.","Lysimachia","Lythrum","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Ononis t.","Pedicularis","Petaloid monocot","Phillyrea","Pinus nigra/sylvestris t.","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Taxus","Thalictrum","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Vaccinium","Vitis"
"4902","5232","4627"," 185","   9","   3","   0","   2","   0","   3","   0"," 107","   0","   6","   0","   6","   0","   0","   1","   2","   2","   8","   0","  14","   0","   1","   0","  32","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   1","  10","   1","   0","   0","   0","   8","   0","  18","   2","  20","   0","   0","   0"," 175","   2","   0","   0","   2","   4","  71","  27","  98","  16","   0","   0","   6","   2","   0","   0","   0","   0","   5","   0","   0","   4","   0","   0","   0","   0"
"5030","5365","4748"," 190","  14","   0","   1","   6","   3","   1","   1"," 103","   0","   0","   0","   4","   0","   0","   1","   0","   4","   1","   0","   8","   0","   0","   0","  33","   0","   3","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","   0","   0","   6","   0","  22","   1","  23","   0","   1","   0"," 222","   4","   0","   0","   5","   0","  74","  15","  89","   7","   0","   0","   5","   9","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0"
"5183","5506","4911"," 195","   3","   1","   0","   0","   0","   0","   0"," 101","   2","   6","   0","   0","   0","   0","   0","   0","   3","   0","   0","   3","   0","   0","   0","  24","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   1","   0","  13","   4","  17","   0","   0","   2"," 155","   4","   0","   0","   0","   4"," 103","  32"," 135","  11","   0","   0","   3","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5335","5646","5073"," 200","   8","   0","   0","   4","   1","   0","   1"," 186","   0","   0","   1","   0","   1","   0","   2","   0","   4","   1","   4","   2","   0","   0","   0","  54","   0","   1","   0","   0","   3","   0","   6","   1","   0","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   4","   0","   0","   0","   7","  10","  17","   0","   4","   0"," 301","   8","   0","   0","  17","   0"," 300","  39"," 339","   0","   3","   0","  13","  25","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0"
"5487","5786","5234"," 205","  20","   3","   0","  11","   1","   0","   1"," 225","   1","  12","   0","   0","   1","   0","   2","   0","   3","   3","   0","   4","   0","   0","   0","  64","   0","   7","   1","   0","   0","   3","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  10","   3","   4","   0","   0","   1","   0","  19","  10","  29","   0","   1","   0"," 312","   6","   0","   0","  14","   2"," 366","  67"," 433","  18","   0","   0","  17","  96","   1","   0","   0","   0","   1","   0","   1","   1","   0","   1","   0","   0"
"5639","5926","5396"," 210","  27","   3","   0","   6","   0","   0","   2"," 147","   0","   8","   0","   0","   1","   0","   2","   0","   0","   2","   4","  20","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   1","   0","   0","   0","  21","  21","  42","   0","   0","   0"," 134","  12","   0","   0","   2","   0"," 233","  16"," 249","   8","   0","   0","   7","  15","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"5792","6066","5557"," 215","  22","   1","   0","   1","   0","   2","   1"," 328","   4","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","  34","   0","   3","   0","   0","   0","   0","   4","   2","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   3","   0","  22","  45","  67","   2","   0","   0"," 194","  12","   0","   0","   0","   6"," 284","  94"," 378","  26","   0","   0","  10","  20","   0","   0","   0","   0","   4","   0","   3","   1","   0","   0","   0","   0"
"5868.0","6136.0","5637.0"," 217.5","  13.0","   0.0","   0.0","   6.0","   0.0","   1.0","   1.0"," 184.0","   0.0","   1.0","   1.0","   1.0","   1.0","   0.0","   0.0","   1.0","   8.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","  23.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   3.0","   6.0","   0.0","   0.0","   0.0","   0.0","   6.0","  18.0","  24.0","   0.0","   1.0","   0.0"," 202.0","   7.0","   0.0","   0.0","   0.0","   4.0"," 211.0","  35.0"," 246.0","  53.0","   3.0","   0.0","  18.0","  10.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0"
"5944","6206","5718"," 220","  29","   4","   0","  12","   4","   2","   3"," 255","   1","   0","   0","   1","   4","   0","   3","   0","   6","   7","   0","   0","   0","   0","   0","  29","   0","   3","   0","   0","   0","   1","   6","   0","   0","   1","   0","   0","   0","   8","   0","   0","   0","   0","   2","   1","   0","   5","   0","   0","   1","   2","   4","   0","   4","   0","  37","  59","  96","   0","   0","   0"," 533","  21","   0","   0","   4","   0"," 394"," 262"," 656","  24","   0","   0","  23","  14","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0"
"6096","6347","5879"," 225","  15","   0","   0","   2","   3","   4","   1"," 236","   1","   6","   1","   1","   1","   0","   3","   0","   2","   1","   0","   2","   0","   0","   0","  30","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   2","   0","   0","   2","   0","  32","  21","  53","   0","   0","   0"," 108","   4","   0","   0","   3","   1"," 245","  94"," 339","  19","   0","   0","   4","   1","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0"
"6248","6489","6041"," 230","  30","   1","   0","  12","   0","   1","   2"," 481","   0","   0","   0","   0","   5","   0","   1","   0","  12","   8","   5","   3","   0","   0","   0","  41","   0","   7","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   7","   0","   0","   1","   0","  25","  37","  62","   0","   0","   0"," 290","  18","   0","   0","  11","   1"," 140"," 399"," 539","  17","   0","   0","  24","   6","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0"
"6401","6630","6202"," 235","  17","   3","   0","   7","   0","   0","   0"," 420","   0","   2","   0","   0","   0","   0","   0","   0","  10","   0","   0","   4","   0","   1","   0","  36","   0","   4","   0","   0","   0","   3","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   1","   0","  54","  43","  97","   0","   1","   0"," 158","   6","   0","   0","   0","   2"," 405"," 119"," 524","  41","   0","   0","   7","   3","   0","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0"
"6553","6772","6363"," 240","  20","   1","   1","   4","   0","   1","   1"," 401","   0","   0","   0","   2","   1","   0","   0","   1","   3","   3","  13","   0","   0","   0","   0","  25","   0","   1","   0","   0","   1","   3","   7","   1","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   1","   0","   1","   0","  34","  39","  73","   0","   2","   0"," 166","  11","   0","   0","   0","   0"," 486","   3"," 489","   8","   0","   0","  18","   1","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0"
"6705","6913","6524"," 245","  17","   0","   0","   2","   1","   0","   1"," 302","   0","   2","   0","   0","   2","   1","   2","   1","   9","   2","   0","  15","   0","   0","   0","  24","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   3","   2","   0","   0","   0","  28","  47","  75","   0","   1","   1"," 235","  11","   0","   1","   4","   1"," 348","  73"," 421","  36","   0","   0","  25","   7","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0"
"6857","7056","6685"," 250","   3","   1","   0","   5","   2","   0","   1"," 308","   5","   0","   0","   1","   0","   0","   3","   0","   2","   5","   2","   8","   0","   1","   0","  13","   0","   4","   0","   0","   2","   0","   7","   0","   0","   0","   1","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","  58","  64"," 122","   0","   0","   0"," 197","  13","   0","   0","   3","   0"," 500","  88"," 588","  18","   0","   0","  19","  32","   0","   0","   0","   0","  10","   0","   1","   0","   0","   0","   0","   0"
"7010","7200","6847"," 255","   5","   1","   2","   5","   1","   0","   2"," 233","   0","  16","   0","   4","   0","   0","   3","   4","  13","   1","   1","   4","   0","   0","   0","  12","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","  11","   0","   4","   0","   2","   0","   0","   0","   0","   0","   1","   2","   0","   0","   4","   0","   3","   4","   0"," 102","  94"," 196","   0","   0","   0"," 184","  11","   0","   0","   2","  10"," 373"," 106"," 479"," 108","   0","   0","  28","  37","   0","   0","   0","   5","   2","   0","   0","   0","   0","   0","   1","   0"
"7162","7343","7007"," 260","   0","   1","   1","   3","   0","   0","   0"," 153","   0","   0","   0","   0","   0","   0","   2","   0","   1","   4","   0","   5","   0","   0","   0","  19","   0","   1","   0","   0","   2","   0","   3","   0","   0","   0","   0","   0","   2","  18","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   3","   0","  36","  38","  74","   0","   0","   1","  92","   6","   0","   0","   7","   0"," 300","  73"," 373","  14","   0","   0","   4","   6","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0"
"7314","7487","7167"," 265","   2","   0","   0","   2","   1","   1","   0"," 120","   2","   4","   1","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   5","   0","   2","   0","   0","   0","   0","   1","   1","   5","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  11","  41","  52","   0","   1","   0"," 125","   0","   0","   0","   0","   0"," 185","  26"," 211","   2","   0","   1","  18","   3","   0","   1","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0"
"7466","7630","7325"," 270","   4","   2","   0","   2","   0","   0","   3","  76","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  28","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  30","  24","  54","   0","   0","   0","  71","   2","   0","   0","   0","   0"," 200","  54"," 254","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"7619","7774","7482"," 275","   2","   1","   0","  10","   1","   0","   0","  98","   0","   5","   0","   0","   0","   0","   1","   0","   1","   0","   0","   5","   0","   0","   0","   4","   0","   4","   0","   0","   0","   1","   2","   0","   1","   1","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  12","  25","  37","   0","   0","   0"," 131","   0","   0","   0","   0","   0"," 219","  15"," 234","   7","   0","   0","  25","   2","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0"
"7771","7919","7638"," 280","   4","   0","   0","   4","   2","   0","   0"," 137","   1","   0","   3","   0","   1","   1","   3","   0","   1","   1","   4","   2","   0","   0","   1","  12","   0","   3","   0","   0","   5","   0","   7","   0","   0","   0","   0","   0","   1","  19","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","  26","  80"," 106","   0","   0","   5"," 191","  19","   0","   0","   0","   0"," 400"," 115"," 515","   0","   0","   0","  10","  14","   0","   0","   0","   2","   1","   0","   4","   0","   0","   0","   0","   0"
"7923","8064","7794"," 285","  14","   1","   2","   2","   0","   2","   2"," 124","   0","   5","   0","   0","   1","   0","   2","   0","   0","   1","   1","   4","   0","   0","   0","  10","   0","   7","   0","   0","   0","  10","   3","   3","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   2","   0","   0","   0","   0","  42","  78"," 120","   0","   0","   1"," 263","   8","   0","   0","   0","   5"," 406","  74"," 480","  41","   0","   0","  11","  13","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"8075","8209","7950"," 290","   9","   0","   0","   2","   2","   0","   1"," 120","   0","   4","   0","   0","   2","   0","   3","   0","   1","   3","   1","   6","   0","   1","   2","   3","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   2","   0","   0","   0","  45","  44","  89","   0","   1","   0"," 111","   1","   0","   0","   0","   0"," 250","  82"," 332","   1","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8228","8354","8105"," 295","   9","   0","   1","   5","   2","   0","   1"," 185","   0","   6","   0","   1","   1","   0","   2","   2","   4","   0","   0","   7","   0","   0","   0","   5","   0","   1","   0","   0","   0","   7","   5","   4","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  25","  23","  48","   0","   0","   0"," 170","   4","   0","   0","   0","   6"," 221","  32"," 253","  38","   0","   0","  17","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"8380","8501","8261"," 300","  11","   0","   0","   3","   0","   0","   3"," 141","   0","   7","   0","   0","   1","   0","   2","   1","   0","   3","   1","  16","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","  45","  44","  89","   0","   0","   0"," 101","   4","   0","   0","   2","   0"," 155","  75"," 230","   6","   0","   0","   5","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"8684","8794","8569"," 310","   2","   0","   1","   2","   0","   0","   2","  86","   0","   4","   1","   0","   0","   0","   1","   0","   4","   0","   0","   5","   0","   1","   0","   3","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","  20","  17","  37","   0","   1","   0"," 144","   0","   0","   0","   1","   5"," 117","   3"," 120","  13","   0","   0","   5","   5","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1"
"8989","9099","8874"," 320","   1","   0","   0","   5","   0","   0","   4"," 119","   0","   3","   1","   0","   0","   0","   1","   1","   9","   0","   1","   1","   0","   0","   0","   5","   0","   5","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   3","   0","   0","   0","   0","  35","  26","  61","   2","   0","   0"," 174","   0","   0","   0","   0","   5"," 254","   8"," 262","  19","   0","   0","  17","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0"
"9293","9408","9171"," 330","   2","   1","   0","   7","   3","   0","   2"," 212","   6","   7","   2","   0","   0","   0","   2","   0","   3","   5","   1","   3","   0","   0","   0","   6","   0","   4","   0","   0","   0","   0","   3","   3","   0","   0","   0","   1","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  22","  37","  59","   0","   0","   0"," 224","   0","   0","   0","   1","   5"," 332","  11"," 343","  25","   0","   0","  27","   5","   1","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0"
"9583","9706","9451"," 340","   3","   0","   1","   4","   3","   2","   0"," 185","   0","  10","   0","   4","   0","   0","   2","   0","   0","  11","   0","   2","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","  16","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   7"," 120"," 127","   0","   0","   0"," 185","   2","   0","   0","   0","   0"," 442","  32"," 474","  12","   0","   0","  32","  23","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"
" 9948","10087"," 9800","  352","    3","    0","    0","    9","    6","    0","    2","   15","    0","    2","    0","    1","    0","    0","    5","    1","    0","    3","    1","    7","    0","    0","    0","    3","    0","    2","    1","    0","    0","    0","    0","    3","    0","    0","    0","    5","    0","    2","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    2","    0","    0","    0","    2","    0","   29","   59","   88","    0","    1","    0","  186","    0","    0","    0","    2","    5","  239","   30","  269","   31","    0","    0","   14","    1","    1","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0"
"10192","10344","10031","  360","    3","    1","    0","    8","    2","    0","    0","   40","    0","    4","    2","    0","    0","    0","    3","    0","    2","    4","    0","    3","    0","    0","    0","    4","    0","    2","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    3","   99","  102","    0","    1","    1","  196","    0","    0","    0","    0","    1","  300","   16","  316","    7","    0","    0","   23","    7","    2","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0"
"10496","10668","10317","  370","    1","    2","    0","    9","    4","    0","    3","   16","    2","    7","    0","    2","    0","    0","    3","    0","    0","    4","    1","   12","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    2","    0","   54","   76","  130","    1","    1","    0","  309","    0","    0","    0","    1","    2","  396","   28","  424","   27","    0","    0","   14","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"10801","10994","10602","  380","    2","    0","    0","    4","    4","    0","    1","   16","    0","    3","    1","    1","    0","    0","    0","    0","    1","    2","    2","    6","    0","    0","    0","    3","    0","    7","    0","    0","    0","    0","    0","    3","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   17","   99","  116","    0","    0","    3","  185","    0","    0","    0","    0","    0","  277","    8","  285","    2","    0","    0","   33","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11105","11320","10885","  390","    0","    1","    0","    7","    4","    0","    2","   15","    0","    3","    1","    0","    0","    0","    1","    2","    0","    1","    2","    7","    0","    0","    1","    2","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   55","   28","   83","    0","    2","    0","  245","    0","    0","    0","    4","    3","  264","    6","  270","   10","    0","    0","   19","    1","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0"
"11410","11646","11165","  400","    1","    2","    0","   10","    4","    0","    4","   20","    0","    1","    1","    0","    0","    0","    1","    0","    1","    4","    3","    1","    0","    0","    0","    4","    0","    4","    0","    0","    0","    0","    0","    0","   16","    4","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   19","  112","  131","    0","    1","    2","  303","    0","    0","    0","    0","    1","  275","   15","  290","    3","    0","    0","   44","    1","    0","    1","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0"
"11714","11971","11443","  410","    1","    1","    1","   11","    9","    0","    0","   26","    1","    6","    1","    4","    0","    0","    5","    1","    0","    2","    3","   11","    0","    0","    0","    5","    0","    1","    2","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","  124","   34","  158","    0","    0","    0","  421","    0","    0","    0","    1","    4","  367","   14","  381","   46","    0","    0","   27","    0","    3","    0","    1","    3","    1","    0","    0","    0","    0","    0","    0","    0"
"11866","12132","11581","  415","    1","    5","    2","   13","   10","    0","    1","   26","    0","    6","    0","    1","    0","    0","    1","    0","    0","    1","    2","    9","    0","    0","    0","    9","    0","    8","    0","    0","    0","    2","    2","    3","   26","    5","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    2","   65","  209","  274","    0","    3","    5","  460","    3","    0","    0","    0","    1","  471","   18","  489","    0","    0","    0","   64","    2","    2","    2","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0"
"12171","12455","11857","  425","    0","    1","    3","   12","    7","    0","    2","   15","    0","    7","    0","    0","    0","    0","    0","    0","    0","    5","    4","    4","    0","    0","    0","   14","    0","    2","    0","    0","    0","    1","    0","    1","   16","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   39","  221","  260","    0","    0","    0","  393","    1","    0","    0","    0","    0","  351","   32","  383","    3","    0","    0","   47","    0","    1","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0"
"12323","12616","11995","  430","    1","    2","    0","   10","    8","    0","    4","   17","    0","    3","    6","    5","    0","    0","    2","    1","    0","    0","    5","    8","    0","    0","    0","    0","    0","    6","    7","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    2","    0","  183","   32","  215","    0","    2","    1","  299","    0","    0","    0","    6","    0","  188","   29","  217","   99","    0","    0","   27","    0","    2","    0","    0","   11","    1","    0","    0","    0","    0","    0","    0","    0"
"12475","12777","12132","  435","    5","    3","    0","   13","   10","    0","    6","   25","    0","   11","    3","    7","    0","    0","    2","    0","    1","    2","    1","    8","    0","    1","    2","    3","    0","    9","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","  106","   38","  144","    0","    4","    0","  354","    3","    0","    0","    1","    4","  235","    7","  242","   20","    0","    0","   63","    1","    1","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0"
"12628","12938","12270","  440","    2","    3","    1","   10","   28","    0","   10","    3","    0","    3","    0","    6","    0","    0","    3","    2","    0","    5","    1","    3","    0","    1","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","  288","   40","  328","    0","   16","    0","  139","    2","    0","    0","    0","    2","    7","    1","    8","    3","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12780","13098","12407","  445","    0","    9","    5","    5","   36","    0","    9","    4","    2","    2","    0","    1","    0","    1","    1","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    1","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","  181","   62","  243","    0","   36","    1","  111","    0","    0","    0","    0","    0","    4","    0","    4","    0","    0","    0","   12","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12932","13259","12545","  450","    0","   12","    8","   14","   35","    0","   21","   14","    6","    7","    0","   12","    0","    0","    6","    1","    1","    1","    0","   18","    0","    0","    0","    5","    0","   10","    0","    0","    0","    0","    0","    4","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","    1","    0","    1","    0","  436","   15","  451","    0","   24","    3","  210","    1","    0","    4","    1","    4","   44","    4","   48","   15","    0","    0","   27","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"13084","13420","12683","  455","    2","    9","    3","    3","   48","    0","   21","    1","    0","    1","    1","    1","    0","    0","    2","    0","    1","    1","    0","    9","    0","    0","    2","    6","    0","    2","    0","    0","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    1","    0","  387","   54","  441","    0","   34","    1","  123","    6","    0","    0","    0","    6","    1","    0","    1","    2","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13237","13581","12822","  460","    1","    5","    3","   64","   39","    0","   13","   10","    1","   22","    0","   19","    0","    0","    3","    1","    0","    0","    0","   15","    0","    0","    2","    8","    2","   25","    0","    0","    0","    0","    1","    2","    0","    0","    0","    4","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    7","    3","    0","    9","    0","  532","    7","  539","    0","   24","    4","  317","    1","    0","    6","    5","    4","   69","    2","   71","   14","    0","    0","   68","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    2","    0"
"13389","13743","12961","  465","    1","    1","    1","    9","   15","    0","    1","    7","    0","    9","    0","    2","    0","    0","    2","    0","    5","    0","    3","    4","    0","    1","    0","    9","    0","   22","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","   93","   73","  166","    0","    7","    1","  149","    3","    0","    0","    0","    1","   79","    7","   86","   31","    0","    0","   40","    4","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0"
"13541","13904","13099","  470","    0","    2","    7","    9","   39","    0","    6","   31","    0","   16","    1","    0","    0","    0","    6","    2","    4","    2","    9","    9","    0","    2","    0","   12","    2","   52","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    9","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    2","    1","    0","    3","    0","  383","   20","  403","    0","    8","    0","  221","    0","    0","    0","    5","    0","  150","   14","  164","   33","    0","    0","   55","    2","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    2","    0"
