"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fagus","Filipendula t.","Frangula","Fraxinus","Gentiana t.","Gentianaceae undif.","Hedera","Indeterminable","Indeterminable (crumpled)","Indeterminable (hidden)","Indeterminable (reworked)","Juglans","Lamiaceae undif.","Lonicera","Lythrum","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Nuphar","Nymphaea","Olea t.","Oxyria","Pedicularis","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Populus","Potamogeton","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Scrophulariaceae undif.","Solanum","Sparganium","Tamarix","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"6747",NA,NA," 790","   1","   6","   1","   0","   6","   0","   0","   2","   2","   0","   0","  55","   2","   0","   0","   0","   2","   0","   0","   1","   1","   0","  20","   2","  17","  25","   0","   0","   2","   0","   0","  16","   0","   0","   1","  16","   0","   0","   0","   0","   2","   0","   2","   0","   0","   1","   0","   4","  15","   0","   1","   0","   0","   0","  54","   2","   1","   0","  47","   0","   0","   1","   0","  63","   1","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   5","   5","   9","   0","   0","   3"
"6859",NA,NA," 803","   1","   7","   1","   0","   6","   0","   0","   0","   3","   0","   0","  36","   4","   0","   0","   0","   6","   0","   0","   0","   0","   0","  26","   0","  13","  25","   0","   0","   0","   0","   0","  17","   0","   0","   1","  10","   0","   1","   0","   0","   1","   0","   1","   0","   0","   1","   0","   6","  11","   0","   0","   0","   0","   0","  68","   0","   0","   0","  47","   0","   0","   1","   0","  59","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   1","   0","   4","   7","   3","  16","   0","   0","   1"
"6988",NA,NA," 815","   1","  13","   0","   0","   6","   1","   0","   1","   2","   2","   0","  57","   1","   0","   0","   0","   6","   0","   0","   0","   2","   0","  13","   1","  11","  13","   0","   0","   0","   0","   1","  10","   0","   0","   2","   7","   0","   1","   0","   0","   1","   0","   2","   0","   0","   5","   0","   0","   9","   0","   0","   0","   1","   0","  74","   0","   0","   0","  32","   0","   0","   1","   0","  66","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   2","   3","   6","  13","   0","   0","   0"
"7152",NA,NA," 827","   1","  16","   0","   0","   1","   0","   0","   0","  11","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","  22","  39","   0","   0","   1","   0","   0","  11","   0","   0","   0","  12","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 133","   4","   0","   0","   9","   0","   0","   0","   0","  54","   1","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   5","   0","   0","   0"
"7330",NA,NA," 840","   1","   4","   0","   0","   2","   1","   0","   3","   3","   1","   0","  51","   1","   0","   0","   0","   2","   0","   0","   0","   0","   2","  17","   0","  19","  30","   0","   0","   0","   0","   0","  13","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   1","   1","   0","  13","   0","   0","   9","   0","   0","   0","   2","   1","  72","   2","   0","   0","  33","   0","   0","   0","   0","  71","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   4","   2","   6","  28","   0","   0","   0"
"7494",NA,NA," 852","   1","   8","   1","   0","   3","   1","   0","   3","   4","   3","   2","  10","   3","   0","   0","   0","   1","   0","   0","   2","   0","   0","  14","   0","  33","  35","   0","   1","   0","   2","   0","  14","   1","   0","   0","  13","   1","   3","   0","   0","   2","   0","   0","   0","   1","  32","   1","   0","   5","   1","   0","   0","   0","   1","  50","   4","   1","   0","  59","   0","   0","   0","   0","  79","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   9","   0","   0","   2","   5","   4","  72","   1","   0","   2"
"7658",NA,NA," 864","   1","   5","   0","   0","   1","   2","   0","   4","  10","   1","   0","   4","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","  17","   0","  31","  35","   0","   0","   0","   1","   0","  15","   0","   0","   1","  13","   2","   2","   0","   0","   1","   0","   0","   0","   0","  14","   0","   0","   5","   0","   0","   0","   0","   0","  57","   4","   1","   0","  60","   3","   0","   3","   0","  68","   0","   0","   0","   1","   1","   0","   3","   1","   0","   1","   0","   0","   0","   4","   0","   0","   7","   2","   3","  61","   0","   0","   3"
"7836",NA,NA," 877","   1","   3","   0","   0","   3","   0","   0","   1","   3","   0","   1","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","  29","   8","   0","   0","   1","   0","   0","  14","   0","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","  17","   0","   0","   0","   0","   0","  70","  10","   0","   0","  84","   0","   0","   0","   0","  66","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   4","   0","   0","   0"
"8001",NA,NA," 889","   1","   5","   0","   0","   7","   2","   0","   3","   5","   1","   0","  11","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   0","  36","  12","   0","   0","   0","   1","   0","  17","   0","   0","   0","  11","   1","   1","   0","   0","   1","   0","   0","   0","   0","  13","   0","   1","   3","   0","   0","   0","   1","   0","  64","   2","   0","   0","  49","   2","   0","   0","   0","  69","   0","   0","   0","   0","   0","   1","   1","   3","   0","   0","   0","   1","   0","   3","   0","   1","   2","   2","   5","  19","   0","   0","   2"
"8124",NA,NA," 898","   1","  11","   1","   0","   6","   1","   0","   4","   4","   0","   2","   2","   2","   1","   0","   0","   1","   0","   0","   2","   0","   0","  24","   0","  30","   4","   0","   0","   0","   0","   0","  20","   0","   0","   1","  10","   1","   1","   0","   0","   2","   0","   1","   0","   0","  22","   0","   1","   2","   0","   0","   0","   0","   0","  56","   8","   0","   0","  29","   1","   0","   0","   0","  86","   3","   0","   0","   0","   2","   1","   2","   0","   0","   2","   0","   1","   0","   1","   0","   0","   3","   0","   2","  30","   1","   0","   4"
