"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Buxus","Callitriche","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hypericum undif.","IsoÃ«tes","Lamiaceae undif.","Linum t.","Loranthus","Lotus t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morus","Myriophyllum undif.","Myrtus","Nerium","Nuphar","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Protist","Prunus t.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Riccia","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitis"
" 3290",NA,NA,"  280","    1","    0","    0","    0","    0","   36","   39","    0","    6","    0","    0","    7","    0","   12","    2","    4","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   19","   11","    0","    0","    4","    4","   17","    9","    0","    0","    0","    0","   81","    0","    0","    0","    1","    4","    0","    0","    0","    5","    1","    0","    2","    0","    0","    0","    2","   57","    7","    0","    0","    6","  338","62545","    0","    0","    0","    0","    8","    0","    0","   60","    0","    0","    0","    0","    1","    7","    4","   45","    4","    0","   29","    1","    0","    2","    2","    0","    0","   10","    5","    0","   10","   21","    0","    4","    0","    0","    0","    0","    0","   36","    0","    0","    0","    0","    2","    1","    2","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    5","    0","    0","    0","    3"
" 3321",NA,NA,"  290","    1","    0","    0","    0","    0","   31","   43","    0","    0","   10","    0","    6","    0","   27","    0","    5","    1","    2","    0","    6","    0","    0","    0","    0","    0","    4","    0","    2","    0","    0","    0","    0","   39","    9","    0","    0","    1","    0","   27","   14","    0","    0","    0","    0","   91","    0","    0","    0","    0","    3","    2","    0","    1","    5","    1","    0","    1","    0","    1","    0","    0","   41","    6","    0","    0","   10","  430","62545","    0","    0","    0","    0","    1","    0","    0","   33","    0","    0","    0","    0","    1","    4","    0","   36","    6","    0","   34","    4","    0","    2","    3","    0","    0","    1","    2","    0","   14","   25","    0","    3","    0","    0","    0","    0","    0","   26","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5"
" 3380",NA,NA,"  310","    1","    0","    0","    0","    0","   26","   76","    1","    1","    1","    0","    1","    1","   19","    2","   13","    0","    1","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","   30","   19","    0","    0","    3","    0","    9","    7","    0","    0","    0","    1","  119","    0","    0","    0","    2","    4","    0","    0","    0","   11","    4","    0","    1","    0","    0","    0","    0","   34","    7","    0","    0","    3","  417","62545","    0","    0","    0","    0","    2","    0","    0","   26","    0","    0","    0","    0","    2","    1","    2","   32","    4","    0","   42","    0","    0","    0","    0","    0","    0","    1","    2","    0","    7","   24","    1","    5","    0","    0","    0","    0","    0","   21","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7"
" 3409",NA,NA,"  320","    1","    0","    0","    0","    0","   85","   51","    0","    1","    0","    0","    2","    0","   10","    0","    5","    1","    0","    1","   23","    0","    0","    0","    0","    0","    3","    0","    2","    0","    0","    0","    0","   24","   14","    0","    2","    0","    1","   11","   12","    0","    0","    0","    0","  103","    0","    0","    0","    0","    5","    2","    0","    0","   11","    2","    0","    3","    0","    0","    0","    0","   49","   17","    0","    0","    6","  544","62545","    1","    0","    0","    0","    5","    0","    0","   24","    0","    0","    0","    0","    1","    3","    5","   35","   11","    0","   44","    1","    3","    0","    0","    0","    0","   11","    3","    0","   11","   16","    2","    1","    0","    0","    0","    0","    2","   41","    0","    2","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4"
" 3439",NA,NA,"  330","    1","    0","    0","    0","    0","   86","   37","    0","    0","    4","    3","    4","    0","   10","    0","    9","    0","    4","    0","   12","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   47","    5","    0","    0","    1","    0","   18","   23","    0","    0","    0","    0","  105","    0","    0","    0","    2","    4","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   33","    4","    0","    0","   10","  217","62545","    0","    0","    0","    0","    5","    0","    0","   33","    0","    0","    0","    0","    0","    4","    2","   21","    3","    0","   46","    0","    0","    1","    0","    0","    0","    4","    3","    0","   11","   12","    0","    0","    0","    0","    0","    0","    0","   31","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3470",NA,NA,"  340","    1","    0","    0","    0","    0","   90","   41","    0","    1","    3","    0","    1","    0","   11","    3","    5","    1","    1","    0","   15","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","   46","   10","    0","    3","    3","    0","   19","   16","    0","    0","    0","    0","   70","    0","    0","    0","    2","    6","    0","    0","    0","    2","    4","    0","    1","    0","    1","    0","    0","   13","    7","    0","    0","    5","  396","62545","    0","    0","    0","    0","    8","    0","    0","   25","    0","    0","    1","    0","    0","    4","    2","   29","    8","    0","   53","    3","    0","    0","    1","    0","    0","    4","    0","    0","    5","    3","    0","    0","    0","    0","    0","    1","    0","   26","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1"
" 3504",NA,NA,"  350","    1","    0","    0","    0","    0","   74","   37","    0","    0","    8","    0","    4","    0","   26","    2","    6","    0","    0","    0","    9","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    2","   59","   30","    0","    0","    4","    0","   10","   19","    0","    0","    0","    0","  129","    0","    0","    0","    1","    3","    1","    0","    0","    9","    4","    0","    0","    0","    0","    0","    1","   29","    2","    0","    0","    5","  598","62545","    0","    0","    0","    0","    3","    0","    0","   18","    0","    0","    0","    0","    0","    1","    3","   22","    3","    0","   35","    1","    0","    0","    3","    0","    0","    4","    1","    0","   13","    9","    1","    1","    0","    0","    0","    0","    0","   16","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1"
" 3540",NA,NA,"  360","    1","    0","    0","    0","    0","   71","   31","    4","    4","    8","    2","    1","    0","   35","    0","    9","    0","    0","    0","    3","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","   61","   32","    0","    0","    1","    0","   13","   24","    0","    0","    0","    0","  106","    0","    0","    0","    0","    8","    0","    0","    0","    4","    8","    0","    0","    0","    0","    0","    0","   28","    7","    0","    0","    3","  445","62545","    0","    0","    0","    0","    8","    0","    0","   20","    0","    0","    0","    0","    0","    6","    0","    6","    5","    0","    3","    1","    0","    1","    2","    0","    0","    4","    0","    0","   11","    6","    1","    3","    0","    0","    0","    1","    0","   30","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    5"
" 3580",NA,NA,"  370","    1","    0","    0","    0","    1","   81","   42","    1","    1","   10","    0","    1","    0","   15","    2","    8","    0","    0","    0","    8","    0","    0","    0","    0","    0","    3","    0","    1","    0","    1","    0","    2","   29","   17","    0","    1","    1","    0","    4","   11","    0","    0","    0","    0","  101","    0","    0","    0","    2","    5","    2","    0","    0","   11","   14","    1","    0","    0","    0","    0","    0","   35","    8","    0","    0","   14","  699","62545","    2","    0","    0","    0","    4","    0","    0","   14","    0","    0","    0","    0","    0","    0","    2","   24","    7","    0","   35","    1","    0","    0","    1","    0","    0","   10","    0","    0","   17","   12","    2","    1","    0","    0","    0","    0","    0","   40","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    1"
" 3622",NA,NA,"  380","    1","    0","    0","    0","    0","   51","   28","    0","    5","    7","    1","    1","    0","   24","    0","   12","    0","    0","    0","   10","    0","    0","    0","    0","    0","    4","    0","    1","    1","    0","    0","    2","   93","   22","    0","    0","    2","    1","    8","   16","    0","    0","    0","    1","  153","    0","    0","    0","    0","    3","    3","    0","    0","    1","   10","    0","    0","    0","    0","    0","    0","   19","    7","    0","    0","    9","  579","62545","    0","    1","    0","    0","    4","    0","    0","    9","    0","    0","    0","    0","    2","    1","    1","   12","    1","    0","   26","    0","    0","    1","    0","    0","    0","    1","    0","    0","    5","    3","    0","    3","    0","    0","    0","    0","    0","   27","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3667",NA,NA,"  390","    1","    0","    0","    0","    0","  109","   41","    0","    1","    6","    3","    1","    0","   17","    0","   16","    0","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    3","   45","   13","    0","    0","    2","    0","   19","   24","    0","    0","    0","    0","   84","    0","    0","    0","    0","    2","    1","    0","    0","    7","    3","    1","    0","    0","    0","    0","    0","   48","    6","    0","    0","    5","  408","62545","    0","    1","    0","    0","    6","    0","    0","   25","    0","    0","    0","    0","    0","    4","    0","   10","    4","    0","   45","    2","    0","    1","    1","    0","    0","   13","    1","    0","    9","    4","    0","    0","    0","    0","    0","    1","    0","   35","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 3762",NA,NA,"  410","    1","    0","    0","    0","    0","   51","   43","    1","    3","    7","    0","    4","    0","    9","    1","    9","    1","    1","    0","   12","    0","    0","    0","    0","    0","    4","    0","    1","    0","    1","    0","    0","   77","   21","    0","    0","    1","    0","    6","   17","    0","    0","    0","    0","  118","    0","    0","    0","    0","   10","    1","    0","    0","    3","    7","    0","    0","    1","    0","    0","    0","   58","    3","    0","    0","    4","  519","62545","    0","    0","    0","    0","    7","    0","    1","   14","    0","    0","    0","    0","    0","    0","    2","   31","    1","    0","   25","    0","    0","    1","    7","    0","    0","    8","    1","    0","   10","   16","    3","    0","    0","    0","    0","    0","    0","   27","    0","    1","    0","    0","    1","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 3812",NA,NA,"  420","    1","    0","    0","    0","    0","   61","   41","    0","    3","    3","    1","    2","    1","   11","    2","   16","    0","    0","    0","    6","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    2","   60","   22","    0","    0","    1","    1","    6","   11","    0","    0","    0","    0","  113","    0","    0","    0","    0","    8","    2","    1","    0","    2","    9","    1","    0","    0","    0","    0","    1","   33","    9","    0","    0","    9","  602","62545","    0","    0","    0","    0","    5","    0","    0","    9","    0","    0","    0","    0","    0","    2","    4","   15","    2","    0","   43","    3","    0","    0","    0","    0","    0","   20","    1","    0","   20","    9","    1","    0","    0","    0","    0","    0","    1","   30","    0","    1","    0","    1","    0","    1","    2","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1"
" 3864",NA,NA,"  430","    1","    0","    0","    0","    0","   66","   50","    0","    5","    3","    1","    0","    0","   20","    2","   12","    1","    1","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   58","    9","    0","    1","    5","    1","   13","   16","    1","    0","    0","    0","  116","    0","    0","    0","    1","    5","    2","    0","    0","    5","   10","    0","    0","    0","    0","    0","    1","   42","    5","    0","    0","    5","  369","62545","    0","    0","    0","    0","    5","    0","    0","    6","    0","    0","    0","    0","    1","    2","    2","   14","    5","    0","   26","    0","    0","    3","    2","    0","    0","    7","    0","    0","   14","    3","   10","    0","    0","    0","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
" 3916",NA,NA,"  440","    1","    0","    0","    0","    0","   72","   67","    0","    0","    3","    3","    1","    2","   22","    1","    9","    1","    1","    0","    5","    0","    1","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","   73","    7","    0","    1","    0","    0","    8","   29","    0","    0","    0","    0","  126","    0","    0","    0","    1","    4","    0","    0","    0","    3","   14","    2","    0","    0","    0","    0","    0","   38","    5","    0","    0","    4","  380","62545","    0","    0","    0","    0","    8","    0","    0","    2","    0","    0","    0","    0","    1","    2","    3","   25","    2","    0","   32","    0","    0","    0","   10","    0","    0","    4","    0","    0","   16","   11","    5","    2","    0","    0","    0","    0","    1","   17","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    4","    0","    0","    0","    1"
" 3968",NA,NA,"  450","    1","    0","    0","    0","    0","   65","   79","    0","    1","    2","    3","    3","    0","   22","    0","    5","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    2","   25","   17","    0","    0","    2","    0","   12","   14","    0","    0","    0","    0","  104","    0","    0","    0","    1","    8","    1","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","   35","    6","    0","    0","    5","  342","62545","    0","    0","    0","    0","   15","    0","    0","    6","    0","    0","    0","    0","    0","    0","    1","   31","    5","    0","   41","    2","    0","    0","    4","    0","    0","    7","    1","    0","   10","   15","    2","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1"
" 4021",NA,NA,"  460","    1","    0","    1","    0","    0","   38","   60","    0","   11","    6","    0","    0","    1","   20","    0","   14","    3","    1","    0","    2","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","   51","    9","    0","    1","    1","    0","   21","   13","    0","    0","    0","    0","  106","    0","    0","    0","    0","    4","    2","    0","    0","    4","   15","    1","    1","    0","    0","    0","    2","   42","    5","    0","    0","    2","  341","62545","    0","    0","    0","    0","    8","    0","    0","   12","    0","    0","    0","    0","    1","    2","    3","   41","    1","    0","   28","    0","    0","    0","    1","    0","    0","    8","    0","    0","    6","    5","    2","    3","    0","    0","    0","    0","    0","   38","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1"
" 4073",NA,NA,"  470","    1","    0","    0","    0","    0","   78","   59","    0","    3","    2","    2","    3","    0","    8","    0","   10","    0","    3","    0","    7","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","   20","    8","    0","    0","    0","    0","   15","   12","    0","    0","    0","    2","  112","    0","    0","    0","    1","    5","    2","    0","    0","    0","    5","    0","    0","    0","    0","    0","    1","   31","    7","    0","    0","    5","  535","62545","    0","    0","    2","    0","    8","    0","    0","   11","    0","    0","    0","    0","    0","    3","    5","   58","    9","    0","   27","    0","    0","    0","    0","    0","    0","   22","    2","    0","   11","    9","    8","    0","    0","    0","    0","    2","    0","   26","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    2"
" 4126",NA,NA,"  480","    1","    0","    0","    0","    0","   24","   47","    0","    2","    5","    3","    2","    1","   31","    1","   11","    2","    2","    1","    4","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","   43","    8","    0","    0","    2","    0","   17","   14","    0","    0","    0","    0","  177","    0","    0","    0","    0","   10","    0","    0","    0","    6","    8","    0","    0","    0","    0","    0","    2","   24","    6","    0","    0","    1","  298","62545","    0","    0","    0","    0","   13","    0","    0","    7","    0","    0","    0","    0","    0","    2","    2","   24","    3","    0","   23","    1","    0","    0","    3","    0","    0","    4","    0","    0","   10","    8","    1","    0","    0","    0","    0","    0","    0","   21","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
" 4180",NA,NA,"  490","    1","    0","    0","    0","    2","   60","   59","    0","    2","    0","    2","    6","    0","   17","    1","    7","    0","    0","    0","   10","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    4","   28","   17","    0","    1","    5","    0","    5","   13","    0","    0","    0","    0","  125","    4","    0","    0","    3","    9","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","   22","    9","    0","    0","    5","  414","62545","    0","    0","    0","    0","   12","    0","    0","    3","    0","    0","    0","    0","    1","    0","    3","   42","    6","    0","   31","    1","    0","    1","    7","    0","    0","   13","    1","    0","    7","   14","    1","    0","    0","    0","    0","    0","    0","   29","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    1","    0","    0","    0","    0","    1"
" 4318",NA,NA,"  514","    1","    0","    0","    0","    0","   56","   45","    0","    1","    5","    3","    1","    0","   24","    1","    5","    1","    0","    0","    8","    0","    1","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","   26","   19","    0","    0","    2","    0","   18","   12","    0","    0","    0","    0","  165","    0","    0","    0","    0","   13","    2","    0","    0","    1","   16","    1","    0","    0","    0","    0","    0","   58","    6","    0","    0","    2","  440","62545","    0","    0","    0","    0","   14","    0","    0","   12","    0","    0","    0","    0","    1","    3","    2","   31","    4","    0","   38","    2","    0","    0","    2","    0","    0","   52","    0","    0","    8","    9","    5","    1","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2"
" 4355",NA,NA,"  520","    1","    0","    0","    0","    0","   64","   52","    0","    4","    8","    0","    4","    0","   10","    3","    8","    0","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","   16","    7","    2","    0","    0","    1","   10","   13","    0","    0","    0","    1","  156","    0","    0","    0","    1","    6","    0","    0","    0","    3","    5","    0","    1","    0","    0","    0","    0","   53","    8","    0","    0","    6","  504","62545","    0","    0","    0","    0","   21","    0","    0","   11","    1","    0","    0","    0","    0","    1","    6","   60","    1","    0","   34","    0","    0","    2","    1","    0","    0","   12","    1","    0","    6","   12","    2","    2","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
" 4419",NA,NA,"  530","    1","    0","    0","    0","    7","   70","   58","    0","    2","    3","    0","    3","    1","   18","    0","    2","    0","    1","    0","   11","    0","    1","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    6","    6","    0","    0","    4","    0","    5","   15","    0","    0","    0","    0","  138","    0","    0","    0","    1","   10","    5","    0","    0","    8","    1","    0","    0","    0","    0","    1","    0","   21","    5","    0","    0","    4","  263","62545","    0","    0","    0","    0","   13","    0","    0","   13","    0","    0","    0","    0","    1","    4","    3","   76","    3","    0","   32","    0","    0","    2","   11","    0","    0","   11","    0","    0","   10","   11","    3","    1","    0","    0","    0","    0","    0","    8","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1"
" 4487",NA,NA,"  540","    1","    0","    0","    0","    0","   82","   73","    0","    2","    4","    0","    2","    1","   14","    1","    2","    0","    1","    0","    6","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","   11","    9","    0","    3","    1","    0","    8","    8","    0","    0","    0","    1","  105","    0","    0","    0","    1","    5","    4","    0","    0","    8","    2","    0","    0","    0","    0","    0","    1","   31","    8","    0","    0","    3","  425","62545","    0","    0","    0","    0","   26","    0","    0","   14","    0","    0","    0","    0","    2","    4","    8","   88","    8","    0","   26","    1","    0","    0","    1","    0","    0","   40","    2","    0","   15","    8","    2","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2"
" 4560",NA,NA,"  550","    1","    0","    0","    0","    0","   23","   38","    0","    0","    9","    3","    7","    0","   21","    3","    7","    3","    3","    0","    8","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","   31","   34","    0","    2","    5","    0","   10","   17","    0","    0","    0","    0","  162","    0","    0","    0","    0","   10","    1","    0","    0","    3","    7","    0","    0","    0","    0","    0","    0","   99","    4","    0","    0","    1","  692","62545","    0","    0","    0","    0","    6","    0","    0","    4","    0","    0","    0","    0","    0","    0","    9","   68","    4","    0","   28","    0","    0","    2","    8","    0","    0","   23","    0","    0","   23","   12","    0","    0","    0","    0","    0","    1","    0","   17","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2"
" 4636",NA,NA,"  560","    1","    0","    0","    0","    0","   60","   34","    0","    2","    2","    6","    3","    0","   13","    1","    9","    2","    2","    0","    6","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    1","   20","   16","    0","    5","    0","    0","   11","    8","    0","    0","    0","    0","  124","    0","    0","    0","    1","    3","    1","    0","    0","    3","    8","    1","    0","    0","    0","    0","    1","   78","    6","    0","    0","    6","  272","62545","    0","    0","    0","    2","   13","    0","    0","   12","    0","    0","    0","    0","    0","    1","    7","   76","    5","    0","   33","    2","    0","    0","    5","    0","    0","    9","    3","    0","   20","   13","    2","    2","    0","    0","    0","    1","    1","   15","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    2","    0","    0","    0","    1"
" 4717",NA,NA,"  570","    1","    0","    0","    0","    3","   49","   32","    0","    5","    3","    5","    1","    1","   12","    1","    3","    2","    3","    0","    3","    0","    0","    2","    0","    0","    1","    0","    2","    0","    0","    0","    0","   14","   18","    0","    0","    5","    0","   10","   12","    0","    0","    0","    0","  113","    0","    0","    0","    3","    6","    1","    0","    0","    3","    3","    0","    0","    0","    0","    0","    1","   38","    5","    0","    0","    5","  865","62545","    1","    0","    0","    0","    2","    0","    1","   14","    0","    0","    0","    0","    0","    3","   15","   65","    0","    0","   53","    1","    0","    3","    0","    0","    0","   14","    0","    0","   20","   19","    5","    7","    0","    0","    0","    0","    1","   19","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    3","    1","    0","    0","    2"
" 4800",NA,NA,"  580","    1","    0","    0","    0","    1","   48","   21","    3","    2","    5","    1","    2","    0","   15","    2","    6","    1","    2","    0","   10","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    1","   28","   19","    0","    3","    3","    2","   18","   11","    1","    0","    0","    0","  108","    0","    0","    0","    2","    4","    2","    0","    0","    3","    3","    0","    0","    0","    0","    0","    0","   63","    4","    0","    0","    4","  794","62545","    0","    0","    0","    0","   10","    0","    0","    2","    0","    0","    0","    0","    0","    5","    5","   89","    4","    0","   50","    0","    0","    1","    1","    0","    0","   13","    2","    0","   16","    5","    3","    2","    0","    0","    0","    2","    0","   17","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0"
" 4887",NA,NA,"  590","    1","    0","    0","    0","    0","   35","   36","    0","    4","    2","    3","    0","    0","   12","    3","    9","    3","    0","    0","    8","    0","    0","    0","    0","    0","    3","    0","    3","    0","    0","    0","    0","   59","   14","    0","    0","    2","    1","   21","   14","    0","    0","    0","    0","  111","    0","    0","    0","    0","   16","    1","    0","    0","    2","   14","    0","    0","    0","    0","    0","    2","   77","    5","    0","    0","    9","  759","62545","    0","    0","    0","    0","    7","    0","    0","    7","    0","    0","    0","    0","    0","    2","    6","   52","    7","    0","   39","    2","    0","    1","    2","    0","    0","   16","    0","    0","   19","   11","    1","    3","    0","    0","    0","    2","    0","   30","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    1","    1","    0","    0","    2"
" 5065",NA,NA,"  610","    1","    0","    0","    0","    0","   44","   24","    0","    4","    6","    1","    0","    0","   19","    2","   10","    0","    0","    0","   11","    0","    1","    0","    0","    0","    9","    0","    1","    0","    0","    0","    0","  113","   18","    0","    3","    0","    0","    4","   14","    0","    0","    0","    0","  135","    0","    0","    0","    2","    5","    2","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","   67","    9","    0","    0","    7","  601","62545","    0","    0","    0","    2","    0","    0","    0","   13","    0","    0","    0","    0","    1","    0","    5","   25","    4","    0","   28","    1","    0","    0","    1","    0","    0","    2","    0","    0","   13","    5","    1","    3","    0","    0","    0","    0","    0","   15","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0"
" 5247",NA,NA,"  630","    1","    0","    0","    0","    0","   62","   33","    0","    2","    6","    3","    0","    1","   26","    1","   14","    0","    0","    3","    7","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","   30","   12","    0","    1","    1","    1","   12","   19","    0","    0","    0","    0","  155","    0","    0","    0","    1","    8","    2","    0","    0","    4","    6","    0","    0","    0","    0","    0","    2","   59","   12","    0","    0","    6","  586","62545","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    1","    0","    1","    0","    3","   32","    3","    0","   22","    1","    0","    1","    4","    0","    1","   30","    1","    0","   14","   12","    1","    0","    0","    0","    0","    0","    0","   20","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    2"
" 5339",NA,NA,"  640","    1","    0","    0","    1","    0","   36","   27","    0","   12","    6","    7","    0","    0","    8","    2","    7","    0","    2","    0","   12","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","   82","   21","    0","    1","    0","    0","    5","    2","    0","    0","    0","    1","   80","    0","    2","    0","    1","   12","    1","    0","    0","    1","    8","    1","    1","    0","    0","    0","    0","  143","   11","    0","    0","    2","  804","62545","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    1","    3","    4","   31","    4","    0","   50","    3","    0","    0","    0","    1","    0","  215","    0","    0","   31","   12","    3","    0","    0","    0","    0","    1","    0","   28","    1","    1","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0"
