"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Centaurea","Ceratonia","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Euphorbiaceae undif.","Fabaceae Undif.","Fraxinus","Hedera","HippophaÃ«","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Lonicera","Malva undif.","Myriophyllum undif.","Myrtus","Nerium","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Primulaceae undif.","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae undif.","Searsia","Styrax","Tamarix","Thymelaeaceae undif.","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"3628.315",NA,NA," 298.000","  12.000","  50.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","  12.000","  12.000","   2.000","  11.000","  13.000","  14.000","   2.000","   1.000","  35.000","   4.000","  12.000","   0.000","   0.000","   2.000","  32.000","  11.000","   2.000","  12.000","  11.000","  20.000","  25.000","   2.000","   2.000","  25.000","  13.000","   2.000","  26.000","  13.000","  13.000","   2.000","   1.000","   5.000","  11.000","  19.000","   2.000","  10.000","  25.000","   4.000","  10.000","  11.000","   2.000","  13.000","  14.000","  10.000","  13.000","  20.000","  18.000","  11.000","   3.000","  10.000","  11.000","   0.000","   9.000","   2.000","   2.000","   2.000","   2.000","  35.000","  11.000","   2.000","  28.000","   5.000","   0.000"
"3638.652",NA,NA," 306.000","  10.000","  45.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000","  10.000","  10.000","   3.000","  10.000","  11.000","  12.000","   3.000","   3.000","  28.000","   6.000","  10.000","   0.000","   0.000","   2.000","  29.000","   9.000","   2.000","  11.000","   9.000","  18.000","  21.000","   2.000","   2.000","  21.000","  11.000","   2.000","  24.000","  11.000","  11.000","   3.000","   3.000","   9.000","  10.000","  17.000","   2.000","  13.000","  23.000","   6.000","   9.000","   9.000","   2.000","  11.000","  12.000","  13.000","  11.000","  18.000","  17.000","   9.000","   5.000","   9.000","   9.000","   0.000","   7.000","   3.000","   2.000","   3.000","   2.000","  29.000","   9.000","   3.000","  26.000","   7.000","   0.000"
"3648.989",NA,NA," 314.000","  12.000","  47.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   4.000","  13.000","  13.000","  14.000","   4.000","   2.000","  30.000","   4.000","  12.000","   0.000","   0.000","   3.000","  33.000","  11.000","   3.000","  13.000","  11.000","  20.000","  22.000","   3.000","   3.000","  22.000","  13.000","   3.000","  27.000","  13.000","  13.000","   4.000","   2.000","   5.000","  13.000","  19.000","   3.000","  11.000","  26.000","   3.000","  12.000","  11.000","   3.000","  13.000","  14.000","   8.000","  13.000","  20.000","  20.000","  11.000","   3.000","  12.000","  11.000","   0.000","   9.000","   4.000","   3.000","   4.000","   3.000","  30.000","  11.000","   4.000","  29.000","   5.000","   0.000"
"3659.326",NA,NA," 322.000","   9.000","  51.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   9.000","   9.000","   2.000","  10.000","  10.000","  11.000","   2.000","   4.000","  35.000","   6.000","   9.000","   0.000","   0.000","   2.000","  28.000","   8.000","   2.000","  11.000","   8.000","  17.000","  24.000","   2.000","   2.000","  24.000","  10.000","   2.000","  24.000","  10.000","  10.000","   2.000","   4.000","   9.000","  10.000","  16.000","   2.000","  14.000","  23.000","   5.000","   9.000","   8.000","   2.000","  10.000","  11.000","  14.000","  10.000","  17.000","  15.000","   8.000","   5.000","   9.000","   8.000","   0.000","   6.000","   2.000","   2.000","   2.000","   2.000","  35.000","   8.000","   2.000","  26.000","   8.000","   0.000"
"3669.663",NA,NA," 330.000","  10.000","  53.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  10.000","  10.000","   3.000","  11.000","  11.000","  12.000","   3.000","   3.000","  45.000","   5.000","  10.000","   0.000","   0.000","   3.000","  30.000","   9.000","   3.000","  12.000","   9.000","  18.000","  25.000","   3.000","   3.000","  25.000","  11.000","   3.000","  26.000","  11.000","  11.000","   3.000","   3.000","   6.000","  11.000","  17.000","   3.000","  13.000","  25.000","   4.000","  11.000","   9.000","   3.000","  11.000","  12.000","  13.000","  11.000","  18.000","  17.000","   9.000","   4.000","  11.000","   9.000","   0.000","   7.000","   3.000","   3.000","   3.000","   3.000","  45.000","   9.000","   3.000","  28.000","   6.000","   0.000"
"3680",NA,NA," 338","   8","  49","   0","   2","   2","   0","   0","   0","   8","   8","   2","  10","   9","  10","   2","   3","  42","   5","   8","   0","   0","   2","  27","   7","   2","  11","   7","  16","  24","   2","   2","  24","   9","   2","  24","   9","   9","   2","   3","   6","  10","  15","   2","  13","  23","   4","  10","   7","   2","   9","  10","  13","   9","  16","  14","   7","   4","  10","   7","   0","   5","   2","   2","   2","   2","  42","   7","   2","  26","   6","   0"
"3687",NA,NA," 346","   8","  34","   0","   2","   2","   0","   0","   0","   8","   8","   2","   8","   9","  10","   2","   7","  17","   7","   8","   0","   0","   2","  25","   7","   2","   9","   7","  16","  17","   2","   2","  17","   9","   2","  22","   9","   9","   2","   7","  16","   8","  15","   2","  19","  20","   8","   8","   7","   2","   9","  10","  16","   9","  16","  14","   7","   9","   8","   7","   0","   5","   2","   2","   2","   2","  18","   7","   2","  21","   8","   0"
"3694",NA,NA," 354","   9","  40","   0","   3","   3","   0","   0","   0","   9","   9","   3","   9","  10","  11","   3","   5","  32","   5","   9","   0","   0","   3","  28","   8","   3","  11","   8","  17","  20","   3","   3","  20","  11","   3","  24","  10","  10","   3","   5","  11","  10","  16","   3","  17","  22","   6","   9","   8","   3","  10","  11","  14","  10","  17","  16","   8","   7","   9","   8","   0","   6","   3","   3","   3","   3","  33","   8","   3","  25","   6","   0"
"3701",NA,NA," 362","   8","  34","   0","   1","   1","   0","   0","   0","   8","   8","   1","   7","   9","  10","   1","   6","  17","   6","   8","   0","   0","   0","  25","   7","   0","   9","   7","  16","  17","   1","   0","  17","   9","   0","  20","   9","   9","   1","   6","  13","   7","  15","   1","  18","  16","   7","   6","   7","   0","   9","  10","  15","   9","  16","  13","   7","   8","   6","   7","   0","   5","   0","   1","   2","   0","  18","   7","   0","  21","   7","   0"
"3708",NA,NA," 370","   7","  41","   0","   1","   1","   0","   0","   0","   7","   7","   1","   7","   8","   9","   1","   7","  26","   7","   7","   0","   0","   0","  24","   6","   0","   9","   6","  15","  18","   1","   0","  17","   8","   0","  20","   8","   8","   1","   6","  16","   7","  14","   1","  19","  16","   8","   6","   6","   0","   8","   9","  16","   8","  15","  12","   6","   9","   6","   6","   0","   4","   0","   1","   2","   0","  25","   6","   0","  21","   8","   0"
"3715",NA,NA," 378","   8","  41","   0","   2","   2","   0","   0","   0","   8","   8","   2","   8","   9","  10","   2","   7","  25","   7","   8","   0","   0","   1","  26","   7","   1","  10","   7","  16","  18","   2","   1","  17","   9","   1","  22","   9","   9","   2","   6","  16","   8","  15","   2","  19","  18","   8","   8","   7","   1","   9","  10","  16","   9","  16","  14","   7","   9","   8","   7","   0","   5","   1","   2","   3","   1","  24","   7","   1","  23","   8","   0"
"3722.027",NA,NA," 386.000","   9.000","  46.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000","   9.000","   9.000","   3.000","  10.000","  10.000","  11.000","   3.000","   4.000","  28.000","   5.000","   9.000","   0.000","   0.000","   2.000","  29.000","   8.000","   2.000","  12.000","   8.000","  17.000","  21.000","   3.000","   2.000","  20.000","  10.000","   2.000","  24.000","  10.000","  10.000","   3.000","   4.000","  10.000","  11.000","  16.000","   3.000","  17.000","  23.000","   6.000","  11.000","   8.000","   2.000","  10.000","  11.000","  13.000","  10.000","  17.000","  16.000","   8.000","   7.000","  10.000","   8.000","   0.000","   4.000","   2.000","   3.000","   4.000","   2.000","  28.000","   8.000","   2.000","  25.000","   6.000","   0.000"
"3728.176",NA,NA," 393.000","  14.000","  69.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000","  14.000","  14.000","   4.000","  15.000","  15.000","  16.000","   4.000","   1.000","  43.000","   3.000","  14.000","   0.000","   0.000","   3.000","  37.000","  13.000","   3.000","  15.000","  13.000","  22.000","  33.000","   4.000","   3.000","  33.000","  12.000","   3.000","  36.000","  15.000","  15.000","   4.000","   2.000","   5.000","  16.000","  21.000","   4.000","  13.000","  32.000","   4.000","  17.000","  13.000","   3.000","  15.000","  16.000","  10.000","  15.000","  22.000","  22.000","  13.000","   4.000","  16.000","  13.000","   0.000","   9.000","   3.000","   4.000","   4.000","   3.000","  41.000","  13.000","   4.000","  33.000","   3.000","   0.000"
"3734.324",NA,NA," 400.000","  18.000","  59.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","  18.000","  18.000","   6.000","  14.000","  19.000","  20.000","   6.000","   1.000","  31.000","   3.000","  18.000","   0.000","   0.000","   6.000","  40.000","  17.000","   6.000","  14.000","  17.000","  26.000","  28.000","   6.000","   6.000","  30.000","  16.000","   6.000","  34.000","  19.000","  19.000","   7.000","   2.000","   5.000","  15.000","  25.000","   6.000","  13.000","  31.000","   4.000","  16.000","  17.000","   6.000","  19.000","  20.000","  10.000","  19.000","  26.000","  29.000","  17.000","   4.000","  15.000","  17.000","   0.000","  13.000","   7.000","   6.000","   7.000","   6.000","  30.000","  17.000","   6.000","  32.000","   3.000","   0.000"
"3740.473",NA,NA," 407.000","  16.000","  67.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","  16.000","  16.000","   5.000","  13.000","  17.000","  18.000","   5.000","   1.000","  37.000","   3.000","  16.000","   0.000","   0.000","   5.000","  37.000","  15.000","   5.000","  13.000","  15.000","  24.000","  33.000","   5.000","   5.000","  33.000","  14.000","   5.000","  33.000","  12.000","  17.000","   6.000","   2.000","   5.000","  14.000","  23.000","   5.000","  13.000","  30.000","   4.000","  15.000","  15.000","   5.000","  17.000","  18.000","  10.000","  12.000","  24.000","  26.000","  15.000","   4.000","  14.000","  15.000","   0.000","  11.000","   6.000","   5.000","   6.000","   5.000","  34.000","  15.000","   5.000","  31.000","   3.000","   0.000"
"3746.622",NA,NA," 414.000","  14.000","  67.000","   0.000","   5.000","   3.000","   0.000","   0.000","   0.000","  14.000","  14.000","   4.000","  11.000","  15.000","  16.000","   4.000","   1.000","  38.000","   3.000","  14.000","   0.000","   0.000","   4.000","  34.000","  17.000","   4.000","  11.000","  13.000","  22.000","  34.000","   4.000","   4.000","  34.000","  12.000","   4.000","  31.000","  10.000","  15.000","   5.000","   2.000","   5.000","  13.000","  21.000","   4.000","  13.000","  28.000","   4.000","  13.000","  12.000","   4.000","  15.000","  16.000","  10.000","  10.000","  22.000","  23.000","  13.000","   4.000","  12.000","  13.000","   0.000","   9.000","   5.000","   4.000","   5.000","   4.000","  35.000","  13.000","   5.000","  29.000","   3.000","   0.000"
"3752.77",NA,NA," 421.00","  11.00","  55.00","   0.00","   3.00","   7.00","   0.00","   0.00","   0.00","  11.00","  11.00","   3.00","   9.00","  12.00","  13.00","   3.00","   2.00","  30.00","   4.00","  11.00","   0.00","   0.00","   3.00","  27.00","  14.00","   3.00","   8.00","  10.00","  19.00","  27.00","   3.00","   3.00","  26.00","   9.00","   3.00","  25.00","   7.00","  12.00","   3.00","   3.00","   7.00","  11.00","  18.00","   3.00","  15.00","  23.00","   5.00","  11.00","   9.00","   3.00","  12.00","  13.00","  12.00","   7.00","  19.00","  18.00","  10.00","   5.00","  10.00","  10.00","   0.00","   6.00","   3.00","   3.00","   3.00","   3.00","  28.00","  10.00","   3.00","  23.00","   4.00","   0.00"
"3758.919",NA,NA," 428.000","  15.000","  70.000","   0.000","   6.000","   5.000","   0.000","   0.000","   0.000","  15.000","  15.000","   5.000","  13.000","  16.000","  17.000","   6.000","   3.000","  42.000","   3.000","  13.000","   0.000","   0.000","   5.000","  33.000","  18.000","   5.000","  11.000","  14.000","  23.000","  36.000","   5.000","   5.000","  37.000","  13.000","   5.000","  29.000","  11.000","  16.000","   6.000","   2.000","   5.000","  14.000","  22.000","   5.000","  14.000","  29.000","   4.000","  14.000","  13.000","   6.000","  16.000","  17.000","  11.000","  11.000","  23.000","  25.000","  14.000","   4.000","  14.000","  14.000","   0.000","  10.000","   6.000","   5.000","   6.000","   5.000","  38.000","  14.000","   5.000","  27.000","   3.000","   0.000"
"3765.946",NA,NA," 436.000","  16.000","  64.000","   0.000","   7.000","   6.000","   0.000","   0.000","   0.000","  16.000","  16.000","   6.000","  15.000","  17.000","  18.000","   7.000","   3.000","  38.000","   3.000","  14.000","   0.000","   0.000","   6.000","  36.000","  19.000","   6.000","  13.000","  15.000","  24.000","  32.000","   6.000","   6.000","  35.000","  14.000","   6.000","  31.000","  12.000","  17.000","   7.000","   2.000","   5.000","  16.000","  23.000","   6.000","  14.000","  31.000","   4.000","  16.000","  14.000","   7.000","  17.000","  18.000","  11.000","  12.000","  24.000","  27.000","  15.000","   4.000","  16.000","  15.000","   0.000","  11.000","   7.000","   6.000","   7.000","   6.000","  34.000","  15.000","   6.000","  29.000","   3.000","   0.000"
"3772.973",NA,NA," 444.000","  13.000","  32.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  13.000","  13.000","   3.000","   8.000","  14.000","  15.000","   3.000","   5.000","  20.000","   6.000","  11.000","   0.000","   0.000","   3.000","  29.000","  16.000","   3.000","   9.000","  12.000","  21.000","  14.000","   3.000","   3.000","  15.000","  11.000","   3.000","  13.000","   9.000","  14.000","   3.000","   4.000","  11.000","   9.000","  20.000","   3.000","  19.000","  13.000","   7.000","   9.000","  11.000","   3.000","  14.000","  15.000","  12.000","   9.000","  21.000","  20.000","   7.000","   7.000","   8.000","  12.000","   0.000","   8.000","   3.000","   3.000","   3.000","   3.000","  22.000","  10.000","   3.000","  13.000","   6.000","   0.000"
"3780",NA,NA," 452","  13","  21","   0","   3","   3","   0","   0","   0","  13","  13","   3","   7","  14","  15","   3","   6","  14","   7","  11","   0","   0","   3","  28","  16","   3","   8","  12","  21","  10","   3","   3","  10","  11","   3","  11","   9","  14","   3","   5","  13","   8","  20","   3","  20","  11","   8","   8","  14","   3","  14","  15","  13","   9","  21","  20","   7","   8","   7","  12","   0","   8","   3","   3","   3","   3","  16","  10","   3","  11","   7","   0"
"3789.091",NA,NA," 460.000","  17.000","  40.000","   0.000","   7.000","   6.000","   0.000","   0.000","   0.000","  17.000","  17.000","   6.000","   8.000","  18.000","  19.000","   7.000","   3.000","  26.000","   1.000","  15.000","   0.000","   0.000","   6.000","  33.000","  20.000","   6.000","   9.000","  16.000","  25.000","  17.000","   6.000","   6.000","  16.000","  20.000","   6.000","  13.000","  19.000","  18.000","   7.000","   1.000","   5.000","   9.000","  24.000","   6.000","  14.000","  13.000","   2.000","   9.000","  18.000","   7.000","  18.000","  19.000","  11.000","  20.000","  25.000","  28.000","  18.000","   1.000","   9.000","  16.000","   0.000","  15.000","   7.000","   6.000","   7.000","   6.000","  24.000","  14.000","   0.000","  13.000","   1.000","   0.000"
"3798.182",NA,NA," 468.000","  16.000","  32.000","   0.000","   6.000","   5.000","   0.000","   0.000","   0.000","  16.000","  16.000","   5.000","   7.000","  17.000","  18.000","   6.000","   5.000","  22.000","   3.000","  14.000","   0.000","   0.000","   5.000","  31.000","  19.000","   5.000","   8.000","  17.000","  24.000","  13.000","   5.000","   5.000","  12.000","  19.000","   5.000","  12.000","  18.000","  17.000","   6.000","   3.000","   9.000","   8.000","  23.000","   5.000","  16.000","  12.000","   4.000","   8.000","  17.000","   6.000","  17.000","  18.000","  13.000","  19.000","  24.000","  26.000","  17.000","   3.000","   7.000","  15.000","   0.000","  14.000","   6.000","   5.000","   6.000","   5.000","  20.000","  13.000","   6.000","  12.000","   3.000","   0.000"
"3807.273",NA,NA," 476.000","  16.000","  45.000","   0.000","   6.000","   5.000","   0.000","   0.000","   0.000","  16.000","  16.000","   5.000","   9.000","  17.000","  18.000","   6.000","   3.000","  26.000","   1.000","  14.000","   0.000","   0.000","   5.000","  34.000","  19.000","   5.000","  10.000","  17.000","  24.000","  19.000","   5.000","   5.000","  17.000","  19.000","   5.000","  15.000","  18.000","  17.000","   6.000","   1.000","   5.000","  10.000","  23.000","   5.000","  14.000","  15.000","   2.000","  10.000","  17.000","   6.000","  17.000","  18.000","  11.000","  19.000","  24.000","  26.000","  17.000","   1.000","   9.000","  15.000","   0.000","  14.000","   6.000","   5.000","   6.000","   5.000","  30.000","  13.000","   6.000","  15.000","   1.000","   0.000"
"3816.364",NA,NA," 484.000","  12.000","  43.000","   0.000","   4.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   3.000","   8.000","  13.000","  14.000","   4.000","   3.000","  25.000","   1.000","  10.000","   0.000","   0.000","   3.000","  29.000","  15.000","   3.000","   9.000","  13.000","  20.000","  18.000","   3.000","   3.000","  16.000","  15.000","   3.000","  13.000","  14.000","  14.000","   4.000","   1.000","   5.000","   9.000","  19.000","   3.000","  14.000","  12.000","   2.000","   9.000","  13.000","   4.000","  13.000","  14.000","  11.000","  15.000","  20.000","  20.000","  13.000","   1.000","   8.000","  11.000","   0.000","  10.000","   4.000","   3.000","   4.000","   3.000","  27.000","   9.000","   4.000","  13.000","   1.000","   0.000"
"3825.455",NA,NA," 492.000","  16.000","  55.000","   0.000","   5.000","   5.000","   0.000","   0.000","   0.000","  16.000","  16.000","   5.000","  11.000","  17.000","  18.000","   5.000","   3.000","  32.000","   1.000","  14.000","   0.000","   0.000","   5.000","  36.000","  19.000","   5.000","  12.000","  17.000","  24.000","  24.000","   5.000","   5.000","  22.000","  19.000","   5.000","  17.000","  18.000","  17.000","   5.000","   1.000","   5.000","  12.000","  23.000","   5.000","  14.000","  15.000","   2.000","  12.000","  17.000","   5.000","  17.000","  18.000","  11.000","  19.000","  24.000","  25.000","  17.000","   1.000","  12.000","  15.000","   0.000","  14.000","   5.000","   5.000","   5.000","   5.000","  34.000","  13.000","   5.000","  16.000","   1.000","   0.000"
"3834.545",NA,NA," 500.000","  16.000","  34.000","   0.000","   5.000","   5.000","   0.000","   0.000","   0.000","  16.000","  16.000","   5.000","   9.000","  17.000","  18.000","   5.000","   4.000","  24.000","   2.000","  14.000","   0.000","   0.000","   5.000","  34.000","  19.000","   5.000","  10.000","  17.000","  24.000","  18.000","   5.000","   5.000","  17.000","  19.000","   5.000","  15.000","  18.000","  17.000","   5.000","   2.000","   7.000","  10.000","  23.000","   5.000","  15.000","  13.000","   3.000","  10.000","  17.000","   5.000","  17.000","  18.000","  12.000","  19.000","  24.000","  25.000","  17.000","   2.000","  10.000","  15.000","   0.000","  14.000","   5.000","   5.000","   5.000","   5.000","  24.000","  13.000","   5.000","  14.000","   1.000","   0.000"
"3843.636",NA,NA," 508.000","  14.000","  26.000","   0.000","   4.000","   4.000","   0.000","   0.000","   0.000","  14.000","  14.000","   4.000","   8.000","  15.000","  15.000","   4.000","   5.000","  16.000","   3.000","  12.000","   0.000","   0.000","   4.000","  31.000","  17.000","   4.000","   9.000","  15.000","  22.000","  12.000","   4.000","   4.000","  12.000","  17.000","   4.000","  14.000","  16.000","  16.000","   4.000","   3.000","   9.000","   9.000","  21.000","   4.000","  16.000","  12.000","   4.000","   9.000","  15.000","   4.000","  15.000","  15.000","  13.000","  17.000","  22.000","  22.000","  15.000","   3.000","   9.000","  13.000","   0.000","  12.000","   4.000","   4.000","   4.000","   4.000","  17.000","  11.000","   4.000","  13.000","   2.000","   0.000"
"3852.727",NA,NA," 516.000","  12.000","  24.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   3.000","   6.000","  13.000","  13.000","   3.000","   6.000","  13.000","   4.000","  10.000","   0.000","   0.000","   3.000","  27.000","  15.000","   3.000","   7.000","  13.000","  20.000","  11.000","   3.000","   3.000","  11.000","  15.000","   3.000","  12.000","  14.000","  14.000","   3.000","   4.000","  11.000","   7.000","  19.000","   3.000","  17.000","  10.000","   5.000","   7.000","  13.000","   3.000","  13.000","  13.000","  14.000","  15.000","  20.000","  19.000","  13.000","   4.000","   7.000","  11.000","   0.000","  10.000","   3.000","   3.000","   3.000","   3.000","  15.000","   9.000","   3.000","  11.000","   3.000","   0.000"
"3861.818",NA,NA," 524.000","  12.000","  22.000","   0.000","   3.000","   3.000","   0.000","   0.000","   0.000","  12.000","  12.000","   3.000","   5.000","  13.000","  13.000","   3.000","   7.000","  12.000","   5.000","  10.000","   0.000","   0.000","   3.000","  26.000","  15.000","   3.000","   6.000","  13.000","  20.000","  10.000","   3.000","   3.000","  10.000","  15.000","   3.000","  11.000","  14.000","  14.000","   3.000","   5.000","  13.000","   6.000","  19.000","   3.000","  18.000","   9.000","   6.000","   6.000","  13.000","   3.000","  13.000","  13.000","  15.000","  15.000","  20.000","  19.000","  13.000","   5.000","   6.000","  11.000","   0.000","  10.000","   3.000","   3.000","   3.000","   3.000","  14.000","   9.000","   3.000","  10.000","   4.000","   0.000"
"3870.909",NA,NA," 532.000","  10.000","  28.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","  10.000","  10.000","   2.000","   7.000","  11.000","  11.000","   2.000","  14.000","  15.000","  10.000","   8.000","   0.000","   0.000","   2.000","  25.000","  13.000","   2.000","   8.000","  11.000","  17.000","  13.000","   2.000","   2.000","  13.000","  13.000","   2.000","  13.000","  12.000","  12.000","   2.000","  13.000","  21.000","   8.000","  17.000","   2.000","  25.000","  11.000","  10.000","   8.000","  11.000","   2.000","  11.000","  11.000","  25.000","  13.000","  17.000","  16.000","  11.000","   8.000","   8.000","   9.000","   0.000","   8.000","   2.000","   2.000","   2.000","   2.000","  17.000","   7.000","   2.000","  12.000","   8.000","   0.000"
"3880",NA,NA," 540","   8","  24","   2","   0","   0","   3","   2","   1","   8","   8","   1","   6","   9","   9","   2","  15","  13","  13","   6","   1","   2","   0","  22","  11","   0","   6","  10","  15","  11","   0","   0","  11","  11","   0","  12","  10","  10","   1","  14","  25","   7","  15","   0","  29","  10","  12","   7","   9","   1","   9","   9","  29","  11","  15","  13","   9","  10","   7","   7","   2","   6","   1","   0","   1","   0","  15","   5","   1","  11","  10","   1"
"3895",NA,NA," 548","   8","  19","   4","   0","   0","   5","   4","   3","   8","   8","   1","   4","   9","   9","   4","  17","  10","  17","   6","   2","   4","   0","  21","  11","   0","   5","  11","  15","   9","   0","   0","   9","  11","   0","  11","  10","  10","   1","  15","  29","   5","  15","   0","  31","   8","  14","   5","   9","   1","   9","   9","  31","  11","  15","  13","   9","  12","   5","   7","   4","   6","   1","   0","   1","   0","  11","   5","   1","  10","  13","   3"
"3910",NA,NA," 556","   9","  26","   2","   1","   1","   3","   2","   1","   9","   9","   2","   7","  10","  10","   3","  13","  14","  12","   7","   1","   2","   2","  25","  12","   1","   8","  11","  16","  13","   1","   1","  14","  12","   1","  14","  11","  11","   2","  11","  21","   8","  16","   1","  27","  11","  10","   8","  10","   2","  10","  10","  27","  12","  16","  15","  10","   8","   8","   8","   2","   7","   2","   1","   2","   1","  16","   6","   2","  13","   9","   1"
"3925",NA,NA," 564","  10","  26","   3","   3","   3","   5","   4","   3","  10","  10","   3","   7","  11","  11","   6","  16","  14","  17","   8","   2","   4","   3","  26","  13","   3","   8","  13","  17","  13","   3","   3","  14","  13","   3","  14","  12","  12","   3","  14","  27","   8","  17","   3","  30","  11","  13","   8","  11","   3","  11","  11","  30","  13","  17","  17","  11","  11","   8","   9","   4","   8","   3","   3","   3","   3","  16","   7","   3","  13","  12","   3"
"3940",NA,NA," 572","   8","  17","   5","   1","   1","   8","   8","   5","   8","   8","   1","   3","   9","   9","   6","  23","  10","  27","   6","   3","   7","   1","  20","  11","   1","   4","  12","  15","   9","   1","   1","  10","  11","   1","  10","  10","  10","   1","  20","  43","   3","  15","   1","  39","   6","  20","   3","   9","   1","   9","   9","  40","  11","  15","  13","   9","  18","   3","   7","   7","   6","   1","   1","   1","   1","  12","   5","   1","   9","  21","   5"
"3964.348",NA,NA," 579.000","   9.000","  19.000","   7.000","   2.000","   2.000","  10.000","  11.000","   8.000","   9.000","   9.000","   2.000","   4.000","  10.000","  10.000","  10.000","  17.000","  11.000","  24.000","   7.000","   5.000","  10.000","   2.000","  22.000","  12.000","   2.000","   5.000","  15.000","  16.000","  10.000","   2.000","   2.000","  11.000","  12.000","   2.000","  11.000","  11.000","  11.000","   2.000","  16.000","  33.000","   4.000","  16.000","   2.000","  32.000","   7.000","  15.000","   4.000","  10.000","   2.000","  10.000","  10.000","  34.000","  12.000","  16.000","  15.000","  10.000","  13.000","   4.000","   8.000","  10.000","   7.000","   2.000","   2.000","   2.000","   2.000","  13.000","   6.000","   2.000","  10.000","  16.000","   7.000"
"3988.696",NA,NA," 586.000","   9.000","  29.000","  13.000","   2.000","   2.000","  16.000","  17.000","  13.000","   9.000","   9.000","   2.000","   6.000","  10.000","  10.000","  16.000","  19.000","  16.000","  30.000","   7.000","   9.000","  15.000","   2.000","  24.000","  12.000","   2.000","   7.000","  20.000","  16.000","  15.000","   2.000","   2.000","  15.000","  12.000","   2.000","  13.000","  11.000","  11.000","   2.000","  18.000","  39.000","   7.000","  16.000","   2.000","  33.000","  12.000","  16.000","   6.000","  10.000","   2.000","  10.000","  10.000","  31.000","  12.000","  16.000","  15.000","  10.000","  15.000","   6.000","   8.000","  15.000","   7.000","   2.000","   2.000","   2.000","   2.000","  18.000","   6.000","   2.000","  12.000","  19.000","  13.000"
"4013.043",NA,NA," 593.000","   8.000","  19.000","  12.000","   1.000","   1.000","  14.000","  16.000","  12.000","   8.000","   8.000","   1.000","   4.000","   9.000","   9.000","  14.000","  16.000","  11.000","  26.000","   6.000","   8.000","  14.000","   1.000","  21.000","  11.000","   1.000","   5.000","  18.000","  15.000","  10.000","   1.000","   1.000","  11.000","  11.000","   1.000","  11.000","  10.000","  10.000","   1.000","  15.000","  33.000","   4.000","  15.000","   1.000","  30.000","   7.000","  13.000","   4.000","   9.000","   1.000","   9.000","   9.000","  33.000","  11.000","  15.000","  13.000","   9.000","  12.000","   4.000","   7.000","  14.000","   6.000","   1.000","   1.000","   1.000","   1.000","  14.000","   5.000","   1.000","  10.000","  16.000","  12.000"
"4037.391",NA,NA," 600.000","   8.000","  13.000","  13.000","   1.000","   1.000","  16.000","  17.000","  13.000","   8.000","   8.000","   1.000","   2.000","   9.000","   9.000","  15.000","  17.000","   9.000","  29.000","   6.000","   9.000","  15.000","   1.000","  19.000","  11.000","   1.000","   3.000","  19.000","  15.000","   7.000","   1.000","   1.000","   7.000","  11.000","   1.000","   9.000","  10.000","  10.000","   1.000","  16.000","  35.000","   2.000","  15.000","   1.000","  32.000","   5.000","  15.000","   2.000","   9.000","   1.000","   9.000","   9.000","  35.000","  11.000","  15.000","  13.000","   9.000","  14.000","   2.000","   7.000","  15.000","   6.000","   1.000","   1.000","   1.000","   1.000","  11.000","   5.000","   1.000","   8.000","  18.000","  13.000"
