"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Galium t.","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Loranthus","Lotus t.","Lythrum","Malva","Menyanthes","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Onagraceae","Ononis t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Viburnum","Viscum","Vitis","Ziziphus/Paliurus"
"8419","8591","8273"," 410","  17","   0","  72","   0","   8","  74","   0","   1","   2","  76","   0","   0","   6","   0","   3","   1","   0","   0","   0","   1","   1","   0","   1","   5","   0","   0","   0","  35","   0","   7","  12","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  11","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","  71","   4","   2","   0","   0"," 600","   3","  16","   0","   0","   0","   0"," 138","   0","  44","   0","   0","   9","   2","   1","   5","   0","   0","  12","   0","   3","   0","   0","   5","  18","   0","   0","   0","   0","   1","   0","   0","   0"
"9074","9230","8914"," 420","   7","   0","  58","   5","  10","  22","   0","   1","  55","   9","   9","   3","   0","   0","  44","   0","   0","   0","   0","   1","   1","   0","   2","  24","   0","   0","   0","   2","   0","   2","  40","   0","   0","   0","   4","   0","   1"," 355","   0","   0","   0","   2","  10","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   3","  48","   0","   0","   0","   0","   0","   0","   0","  96","   0","   0","   0","   0"," 372","   0","   0","   0","   0","   2","   1"," 178","   0","   7","   0","   2","   0","   0","   0","   5","   0","   0"," 221","   0","   3","   0","  44","   7"," 128","   1","   0","   0","   0","   0","   0","   4","   0"
"9729","9896","9512"," 430","  36","   0","  11","   0","  11"," 108","   0","   0","   7","  54","   1","   4","   3","   0","   6","   0","   0","   0","   0","   1","   3","   0","   1","   0","   0","   0","   0","  30","   0","   2","  12","   0","   0","   0","   2","   0","   0","  16","   0","   2","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  98","   2","   1","   0","   0"," 820","   1","  22","   0","   0","   0","   0"," 163","   0","   8","   0","   0","   0","   0","   0","   2","   0","   0","  11","   0","  16","   0","   2","   5","  32","   1","   0","   0","   0","   0","   1","   1","   0"
"10187","10382"," 9929","  437","    4","    0","  749","    0","   15","   75","    0","    4","   41","   28","    5","   23","    2","    1","   30","    0","    0","    0","    0","    1","    2","    0","    1","    4","    0","    0","    0","    1","    0","    4","   72","    0","    0","    1","    0","    0","    0","    7","    0","    1","    0","    6","   29","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","    0","  103","   64","    0","    0","    0","    0","    0","    0","    0","   68","    2","    2","    0","    0","  966","    0","    1","    0","    1","    0","    2","  186","    0","   18","    0","    1","   17","    3","    0","    3","    0","    1","  612","    5","    2","    0","    6","   11","   10","    1","    0","    0","    0","    0","    0","    0","    0"
"10809","11057","10485","  447","    0","    0","  283","    1","    2","   62","    0","    0","   12","   28","    3","   10","    0","    1","    8","    0","    1","    0","    0","    0","    1","    0","    1","    1","    0","    0","    0","    0","    0","    1","   46","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","  122","    9","    0","    0","    0","    0","    1","    0","    0","   18","    0","    0","    0","    1","  587","    0","    2","    0","    2","    2","    0","   72","    0","   21","    0","    0","   19","    1","    0","    1","    1","    0","  261","    7","    1","    0","    2","    3","    8","    1","    0","    0","    0","    0","    0","    0","    0"
"11005","11271","10659","  450","    1","    0","  558","    1","    2","   90","    0","    3","   14","   30","    4","    5","    0","    0","   11","    0","    0","    0","    0","    0","    1","    0","    1","    2","    0","    0","    0","    0","    0","    4","   25","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","   13","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","  199","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    1","    0","    0","  382","    0","    0","    0","    1","    0","    0","   48","    0","   35","    0","    3","    7","    0","    0","    0","    0","    0","  205","    7","    1","    0","    0","    5","   10","    0","    0","    0","    1","    0","    0","    0","    0"
"11660","11990","11235","  460","    1","    0","    2","    5","    0","   83","    0","    2","   20","   59","    3","    5","    0","    0","    6","    0","    0","    0","    0","    0","    1","    0","    0","    6","    0","    0","    0","    0","    0","    1","   66","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","   32","    0","    3","    0","    0","    0","    0","    9","    0","    9","    0","    0","    0","    1","    0","    0","    0","    0","   96","    4","    0","    0","    0","    0","   42","    0","    0","    0","    0","    0","    0","    0","    0"
"12315","12714","11809","  470","    1","    0","    6","    2","    0","  178","    1","    4","   38","  163","    5","    1","    0","    0","   20","    2","    0","    0","    0","    0","    1","    0","    2","    4","    0","    0","    0","    0","    0","    0","   32","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","   82","    0","    0","    0","    0","  105","    0","    4","    0","    0","    0","    0","   27","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0","  417","    4","    0","    0","    0","    0","   50","    0","    0","    0","    0","    0","    0","    0","    0"
"13624","14163","12954","  490","    1","    1","  191","    5","    1","  106","    0","    0","    3","   45","    2","    2","    3","    0","   10","    0","    0","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0","    5","    0","    1","   38","    2","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    7","    3","    0","    0","    0","    1","    0","    0","    0","   37","    1","    0","    0","    0","  118","    0","    1","    0","    0","    0","   11","   35","    0","    8","    0","    0","    2","    0","    0","    0","    0","    0","  181","    1","    0","    0","    0","    2","   38","    1","    0","    0","    0","    0","    0","    0","    0"
"14279","14890","13526","  500","    0","    0","   29","    6","    0","   35","    0","    1","    7","   75","   16","    2","    2","    0","   17","    1","    0","    0","    0","    0","    1","    0","    4","    2","    0","    0","    0","    0","    0","    1","   16","    3","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","   56","    0","    2","    0","    0","    0","   21","    7","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0"," 1280","    1","    0","    0","    1","    0","   30","    0","    0","    0","    0","    0","    0","    0","    0"
"14934","15615","14098","  510","    0","    0","   23","    8","    1","   83","    0","    0","    9","  100","    4","    4","    3","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    3","   19","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   37","    0","    2","    0","    3","   68","    0","    1","    0","    0","    0","    4","    6","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0"," 1099","    0","    0","    0","    1","    0","   32","    0","    0","    0","    0","    0","    0","    0","    0"
"16636","17503","15584","  536","    2","    0","   47","    0","    1","   21","    0","    0","    1","   20","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    2","    4","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    1","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","    0","    0","   63","    1","    0","    0","    0","    0","   15","    9","    0","    3","    0","    0","    1","    1","    0","    0","    0","    0","   81","    1","    0","    0","    2","    0","   50","    0","    0","    0","    0","    0","    0","    0","    0"
