"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthaceae undif.","Acer","Aesculus","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Atraphaxis","Berberidaceae","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabis","Capsicum-type","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Fungi","Galium t.","Gentiana t.","Hedera","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lycopodium spike","Musci","Myriophyllum undif.","Olea t.","Ononis t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Pleurospermum","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Pollen concentration","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rheum","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Sparganium","Tamarix","TetraÃ«dron","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Urtica t.","Utricularia","Vitis","cf. Tsuga"
" 8530",NA,NA,"  317","    0","    0","    1","    0","    0","    0","  114","   40","  166","   74","    0","    0","   48","    5","    6","    0","    0","    0","    0","    2","    9","    0","    0","   11","   11","    6","    1","    3","   16","    0","    0","   15","    0","    0","    0","    0","    0","    2","    0","    4","    2","    0","   27","    1","    0","    1","    0","    5","   26","    1","    1","    0","    0","  110","  607","    0","    2","    0","    0","    0","    0","    1","    0","    5","   17","    0","    0","    0","    0","  291","   58","15152","    6","    0","    2","    0","    0","    4","  118","    5","    1","    0","    7","    2","    9","    9","    0","    0","    0","    1","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0"
"8796",NA,NA," 325","   0","   0","   1","   0","   4","   2"," 155","  42"," 174","  77","   0","   0","  26","   1","   8","   1","   0","   0","   0","   0","   8","   0","   0","  17","  24","   6","   1","   2","   5","   1","   0","  12","   0","   0","   0","   2","   0","   0","   0","   5","   0","   0","  15","   3","   0","   0","   0","   2","  19","   0","   0","   0","   0"," 538"," 923","   0","   0","   0","   0","   0","   0","   0","   2","   9","   5","   3","   0","   0","   0"," 188","  41","8506","   4","   0","   0","   0","   0","   5"," 100","   9","   0","   0","   2","   4","   0","   6","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0"
" 9061",NA,NA,"  333","    0","    0","    0","    0","    2","    1","   54","   20","   79","   29","    0","    0","   18","    0","    2","    0","    0","    0","    0","    0","    9","    0","    0","   10","   12","    7","    2","    0","    6","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    4","    0","    0","    1","    0","    0","    1","    0","    0","   20","    0","    1","    0","    0","  114","  101","    0","    2","    0","    0","    0","    0","    0","    1","    1","    5","    0","    0","    0","    0","  159","   16","21273","    4","    0","    0","    0","    0","    2","   30","    2","    0","    0","    4","    5","    1","    4","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0"
" 9326",NA,NA,"  341","    0","    0","    0","    0","    3","    1","   75","   23","   93","   48","    0","    0","   17","    7","    7","    0","    0","    0","    0","    1","   11","    0","    1","    5","   29","    2","    0","    1","   13","    0","    0","   11","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","   20","    0","    0","    1","    0","    2","   40","    0","    1","    0","    0","  700","   71","    0","    4","    0","    0","    0","    0","    2","    0","    3","    6","    2","    0","    0","    0","  329","   47","11893","    0","    0","    0","    0","    0","    0","   53","   10","    1","    0","    4","    6","    0","    4","    0","    0","    0","   10","    1","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0"
" 9591",NA,NA,"  349","    0","    0","    0","    0","   29","    0","   51","   14","   56","   32","    0","    0","    8","    2","    2","    0","    0","    0","    0","    0","    4","    0","    0","    1","    6","    3","    0","    2","    5","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    1","   15","    0","    0","    1","    0","  119","   90","    0","    1","    0","    0","    1","    0","    0","    0","    1","    7","    0","    0","    0","    0","  220","   19","19715","    3","    0","    1","    0","    0","    0","   24","    4","    0","    0","    4","    1","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
" 9856",NA,NA,"  357","    1","    0","    1","    0","    4","    1","   69","   10","   39","   23","    0","    0","   13","    1","    3","    0","    0","    0","    0","    1","    1","    0","    0","    1","    8","    7","    1","    0","    5","    0","    0","    4","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    7","    0","    0","    0","    0","    2","   14","    0","    0","    0","    0","  100","  100","    0","    3","    0","    0","    0","    0","    4","    0","    1","    6","    1","    0","    0","    0","  189","   29","19233","    1","    0","    1","    0","    0","    2","   15","    0","    0","    0","    6","    2","    1","    0","    0","    0","    0","    1","    1","    0","    6","    0","    0","    0","    0","    1","    0","    0","    0"
"10121",NA,NA,"  365","    0","    0","    1","    0","    3","    1","   79","   62","   62","   55","    0","    0","   18","    5","    0","    0","    0","    0","    0","    4","    8","    0","    0","    5","   15","   12","    0","    1","    3","    0","    0","   14","    0","    0","    0","    0","    0","    0","    2","    9","    0","    0","   13","    0","    0","    0","    0","    4","   21","    0","    0","    0","    0","  170","   94","    0","   11","    0","    0","    1","    0","    4","    1","    3","    6","    3","    1","    0","    0","  276","   31","21562","    4","    0","    3","    0","    0","    1","   21","    4","    0","    0","    4","    8","    2","    0","    0","    0","    0","   14","    0","    2","   13","    0","    0","    0","    0","    3","    0","    0","    0"
"10387",NA,NA,"  373","    0","    0","    0","    0","   14","    0","   95","   36","   33","   41","    0","    0","    7","    0","    3","    0","    0","    0","    0","    0","    5","    0","    0","    2","   10","    4","    0","    0","    6","    0","    0","   15","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    2","    0","    0","    1","    0","    2","   15","    1","    0","    0","    0","  118","    3","    0","    2","    0","    0","    0","    0","    0","    0","    2","    7","    3","    0","    0","    2","  217","   32","23347","    7","    0","    4","    0","    0","    2","   20","    0","    0","    0","    5","    3","    0","    1","    0","    0","    0","    2","    0","    0","    6","    0","    0","    0","    2","    1","    0","    0","    0"
"10652",NA,NA,"  381","    0","    0","    1","    0","   34","    0","  139","   55","   49","   35","    0","    0","   15","    0","   11","    1","    0","    0","    0","    3","    8","    0","    0","    4","    7","    6","    0","    0","    6","    0","    0","   19","    0","    0","    0","    3","    0","    0","    0","    4","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   49","    0","    0","    0","    0","    0","    0","    0","    2","    1","    1","    8","    2","    0","    0","    0","  254","   12","22597","    3","    0","    0","    0","    1","    0","   21","    2","    0","    0","    1","    2","    3","    0","    0","    0","    0","    2","    0","    0","   11","    0","    0","    1","    0","    0","    0","    0","    0"
"10917",NA,NA,"  389","    0","    0","    0","    0","   29","    0","  194","   22","   39","   29","    0","    0","    9","    0","    4","    0","    0","    0","    3","    0","    8","    0","    0","    0","    5","    3","    0","    0","    7","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","  101","    2","    0","    3","    0","    0","    0","    0","    3","    0","    0","    8","    3","    0","    0","    0","  154","   10","26127","    6","    0","    0","    0","    0","    0","   10","    1","    0","    0","    1","    2","    3","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    1","    2","    0","    0","    0"
"11182",NA,NA,"  397","    0","    0","    2","    0","   40","    0","  351","   57","   46","   41","    0","    0","   11","    4","    7","    2","    0","    0","    0","    0","   11","    0","    0","    2","    4","    2","    0","    1","    6","    0","    0","   26","    0","    0","    0","    1","    1","    0","    0","    3","    0","    0","   13","    0","    0","    0","    0","    3","   32","    0","    1","    0","    0","  553","   13","    0","    8","    2","    0","    0","    0","    2","    0","    2","    6","    0","    0","    0","    0","  261","   47","17608","    9","    0","    2","    0","    0","    1","   23","    4","    0","    0","    6","    6","   10","    1","    0","    0","    0","    7","    0","    1","   24","    0","    0","    0","    0","    3","    0","    0","    0"
"11447",NA,NA,"  405","    0","    0","    1","    0","   25","    0","  237","   23","   32","    1","    0","    0","    3","    1","    6","    0","    0","    0","    0","    1","    5","    0","    0","    0","    3","    0","    0","    0","    5","    0","    0","    5","    0","    0","    0","    0","    0","    1","    1","    4","    0","    0","    7","    0","    0","    0","    0","    0","    6","    0","    1","    0","    0","  246","   22","    0","    0","    0","    1","    0","    0","    0","    1","    4","    1","    1","    0","    0","    0","   91","   18"," 4050","    2","    0","    0","    0","    0","    0","   11","    2","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0","    1","    0","    0"
"11619",NA,NA,"  413","    0","    0","    0","    0","   14","    0","  210","   19","  119","   19","    0","    0","    7","    0","    5","    0","    0","    0","    0","    0","    4","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    8","    0","    0","    0","    0","  170","   12","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    6","    0","    0","    0","   58","    5","13882","    5","    0","    0","    0","    0","    0","    9","    1","    0","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0"
"11698",NA,NA,"  421","    0","    0","    0","    0","   23","    0","  267","   21","   78","   16","    0","    0","    6","    1","    4","    0","    0","    0","    0","    0","    4","    0","    0","    3","    7","    2","    0","    0","    2","    0","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    5","    0","    0","    0","    0","    6","   12","    0","    0","    0","    0","   78","    9","    0","    1","    0","    0","    0","    0","    1","    0","    4","    2","    2","    0","    1","    0","   86","    6","34188","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0"
"11776",NA,NA,"  429","    0","    0","    0","    0","   19","    0","  545","   29","  279","   44","    0","    0","    7","    0","   10","    1","    0","    0","    0","    0","    8","    0","    0","    1","   10","    1","    0","    1","    6","    1","    0","   18","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    1","    1","    0","    0","    0","    8","   18","    0","    0","    0","    1","  455","   27","    0","    1","    0","    0","    0","    0","    1","    2","    7","    1","    0","    0","    0","    1","  108","   23","11905","    2","    0","    0","    0","    0","    0","   19","    1","    1","    0","    5","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","    0"
"11855",NA,NA,"  437","    0","    0","    0","    0","    6","    0","  300","   29","  132","   17","    0","    0","    4","    0","    5","    0","    0","    0","    0","    0","   12","    0","    0","    3","    1","    1","    1","    0","    4","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  155","    0","    0","    1","    0","    0","    0","    0","    1","    0","    2","    1","    2","    0","    0","    0","   56","    9","18223","    5","    0","    1","    0","    0","    2","    6","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0"
"11934",NA,NA,"  445","    0","    0","    0","    0","   25","    0","  254","   21","   90","   10","    0","    0","    4","    0","   10","    1","    0","    0","    0","    0","    5","    0","    0","    2","    2","    3","    0","    0","    1","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  153","   11","    0","    1","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","   69","   15","16913","    5","    0","    2","    0","    0","    0","    7","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0"
"12012",NA,NA,"  453","    0","    0","    0","    0","   41","    0","  407","   32","  144","   30","    0","    0","    5","    1","    8","    1","    0","    0","    0","    0","   17","    0","    0","    1","    5","    1","    0","    0","    1","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    1","   16","    0","    0","    0","    0","  520","   22","    0","    0","    0","    0","    0","    0","    4","    1","   11","    2","    0","    0","    0","    0","  100","   26","15867","    5","    0","    0","    0","    0","    0","   16","    4","    0","    0","    1","    5","    0","    0","    0","    0","    0","    8","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0"
"12091",NA,NA,"  461","    0","    0","    0","    0","   34","    2","  507","   36","  204","   23","    0","    0","   12","    1","   24","    0","    0","    0","    0","    0","    8","    0","    0","    4","    2","    1","    0","    0","    2","    0","    0","   17","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    6","   19","    0","    0","    0","    0","  207","   17","    0","    3","    0","    0","    0","    0","    1","    2","   12","    0","    4","    0","    0","    0","  108","   13","23790","    5","    0","    0","    0","    0","    0","   14","    4","    0","    0","    4","    2","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","    0","    1","    0","    0","    0"
"12169",NA,NA,"  469","    0","    0","    0","    0","  263","    0","  179","   13","   91","   17","    0","    0","    6","    0","    5","    1","    0","    0","    0","    0","    7","    0","    0","    0","    2","    0","    0","    1","    7","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    5","    9","    0","    0","    0","    0","   94","   12","    0","    0","    0","    0","    0","    0","    0","    1","    7","    2","    1","    0","    0","    0","   72","   13","23476","    0","    0","    3","    0","    0","    0","    6","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    1","    0","    0","    0"
"12248",NA,NA,"  477","    0","    0","    0","    0","   26","    0","  402","   54","  169","   17","    0","    0","   10","    1","   12","    0","    0","    0","    0","    0","    5","    0","    0","    3","    4","    4","    0","    0","    2","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    0","    0","    0","    0","    4","   19","    0","    0","    0","    0","  172","   14","    0","    0","    0","    0","    0","    0","    1","    2","    8","    0","    1","    0","    0","    0","   84","   39","25038","    4","    0","    3","    0","    0","    0","   12","    2","    0","    0","    0","    2","    3","    0","    1","    0","    0","    3","    1","    1","   32","    0","    0","    0","    0","    0","    0","    0","    0"
"12326",NA,NA,"  485","    0","    0","    0","    0","   89","    1","  227","   12","  106","   12","    0","    0","    5","    0","    3","    0","    0","    0","    0","    0","   10","    0","    0","    1","    2","    0","    0","    0","    1","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    3","    8","    0","    0","    0","    0","  175","   11","    0","    1","    0","    0","    0","    0","    0","    1","    0","    1","    6","    0","    0","    0","  102","   11","14601","    2","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    1","    9","    1","    0","    0","    0","    0","    0","    0","    0"
"12405",NA,NA,"  493","    0","    0","    0","    0","   42","    0","  314","   11","  138","   30","    0","    0","    4","    0","    7","    1","    0","    0","    0","    0","    5","    0","    0","    4","    5","    1","    0","    0","    7","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    1","    0","    2","    0","    0","    1","    0","    0","  256","    0","    0","    0","    0","    0","    0","    0","    1","    1","    2","    1","    1","    0","    0","    0","   78","   16","13211","    2","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0"
"12484",NA,NA,"  501","    0","    0","    0","    0","   43","    0","  217","    4","   64","   36","    0","    0","    2","    1","    4","    0","    0","    0","    0","    0","    5","    0","    0","    0","    4","    0","    1","    0","    5","    1","    0","   21","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","   22","    0","    0","    0","    0","  418","    3","    0","    0","    0","    0","    0","    0","    0","    2","    4","    2","    0","    0","    0","    0","  108","   11"," 5010","    5","    0","    2","    0","    0","    0","   10","    3","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"12562",NA,NA,"  509","    1","    0","    0","    0","  263","    0","  358","   14","  127","   37","    1","    0","   10","    0","    5","    0","    0","    0","    0","    0","   11","    0","    1","    3","    7","    1","    0","    0","    3","    0","    0","   35","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    2","    0","    2","   20","    0","    0","    0","    0","  702","   17","    0","    0","    0","    0","    0","    0","    1","    2","    3","    3","    2","    0","    0","    0","  162","   47","11766","    2","    0","    1","    0","    0","    0","    9","    3","    0","    0","    1","    1","    0","    1","    0","    0","    0","    6","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0"
"12641",NA,NA,"  517","    0","    0","    0","    0","  476","    0","  206","    8","   34","   54","    0","    0","    1","    1","    3","    0","    0","    0","    0","    0","    3","    0","    2","    1","   21","    2","    0","    0","   15","    0","    0","  142","    0","    0","    0","    1","    0","    1","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","   47","    0","    0","    0","    0","  964","   33","    0","    0","    0","    0","    0","    0","    5","    1","    7","    1","    1","    0","    0","    1","  280","   40"," 4352","    7","    0","    4","    0","    0","    0","    4","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    5","    0","   26","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"12769.0",NA,NA,"  525.3","    0.0","    0.0","    0.0","    0.0"," 2051.0","    0.0","   98.0","    9.0","   27.0","   15.0","    0.0","    0.0","    5.0","    0.0","    2.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    3.0","    0.0","   14.0","    1.0","    0.0","    1.0","    7.0","    0.0","    0.0","  106.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","   23.0","    0.0","    0.0","    0.0","    0.0","  465.0","   18.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    5.0","    0.0","    1.0","    0.0","    0.0","    0.0","  116.0","    5.0"," 4565.0","    3.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    4.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    8.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"12934.0",NA,NA,"  533.3","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  198.0","   16.0","   34.0","   24.0","    0.0","    0.0","   13.0","    0.0","    9.0","    0.0","    0.0","    0.0","    0.0","    0.0","    9.0","    0.0","    0.0","    2.0","    5.0","    4.0","    1.0","    0.0","    5.0","    0.0","    0.0","   32.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    2.0","    5.0","    0.0","    0.0","    0.0","    0.0","  263.0","    8.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    2.0","    0.0","    0.0","    0.0","    0.0","  132.0","    6.0"," 9574.0","   10.0","    0.0","    6.0","    0.0","    0.0","    3.0","    9.0","    0.0","    0.0","    0.0","    2.0","    5.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
"13094",NA,NA,"  541","    0","    0","    0","    0","  123","    0","  465","   54","  118","   39","    0","    0","   32","    0","   17","    2","    0","    0","    0","    0","   10","    0","    0","    8","    6","    4","    0","    0","    5","    0","    0","   41","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    5","    0","    0","    0","    0","    1","   16","    0","    0","    0","    0","  295","    6","    1","    2","    0","    0","    0","    0","    4","    2","    2","    0","    2","    0","    0","    0","  104","   13","16048","   10","    0","    4","    0","    0","    1","   23","    1","    0","    0","    2","    3","    1","    1","    0","    0","    0","    4","    1","    2","   15","    0","    0","    0","    0","    1","    0","    0","    0"
"13259",NA,NA,"  549","    0","    0","    0","    0","   40","    1","  362","   98","  118","   36","    0","    0","   29","    0","   19","    0","    0","    0","    0","    1","   11","    0","    0","    6","    7","    3","    1","    0","    5","    0","    0","   34","    0","    0","    0","    2","    1","    0","    1","    1","    1","    0","    6","    1","    0","    0","    0","    1","   10","    0","    0","    0","    0","  236","   12","    0","    4","    0","    0","    0","    0","    3","    1","    1","   11","    1","    0","    0","    0","  172","   28","20689","    8","    0","    1","    0","    0","    1","   34","    6","    1","    0","    1","    6","    5","    0","    0","    0","    0","    1","    5","    0","   14","    0","    0","    0","    2","    0","    0","    0","    0"
"13425",NA,NA,"  557","    0","    0","    0","    0","    3","    1","  164","   45","   48","   36","    0","    0","   24","    1","    4","    3","    0","    0","    0","    0","    3","    0","    0","    1","    5","    1","    0","    0","    8","    0","    0","   21","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    3","    0","    0","    1","    0","    3","   25","    0","    0","    0","    0","  148","   12","    0","    0","    0","    0","    0","    0","    1","    0","    1","    3","    3","    0","    0","    0","   97","   14","17735","    8","    0","    1","    0","    0","    0","    9","    0","    0","    0","    4","    2","    4","    0","    0","    0","    0","    1","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0"
"13590",NA,NA,"  565","    0","    0","    0","    0","    0","    1","  310","   80","   95","   58","    0","    0","   18","    0","   20","    2","    0","    0","    1","    0","   19","    0","    0","   11","    4","    5","    0","    0","    3","    0","    0","   22","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    9","    0","    0","    1","    0","    1","   25","    0","    0","    0","    0","  520","   13","    0","    0","    0","    0","    0","    0","    2","    0","    4","    3","    1","    0","    0","    1","  103","   32","15885","    7","    0","    4","    0","    0","    0","   13","    2","    0","    0","    6","    5","    3","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0"
"13755",NA,NA,"  573","    0","    0","    0","    0","    1","    0","  186","   37","   60","   20","    0","    0","    9","    0","   11","    0","    0","    0","    0","    0","    3","    0","    0","    2","    1","    1","    0","    1","    2","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    2","    0","    1","    8","    0","    0","    0","    0","  221","    9","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","   73","   11","10279","    2","    0","    2","    0","    0","    0","    5","    2","    0","    0","    5","    6","    5","    0","    0","    0","    0","    0","    3","    0","   12","    0","    1","    0","    0","    0","    0","    0","    0"
"13921",NA,NA,"  581","    0","    0","    0","    0","   18","    0","  151","   21","   53","   23","    0","    0","    9","    1","   11","    0","    0","    0","    1","    0","    3","    0","    0","    0","    6","    2","    0","    2","    4","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    2","   11","    0","    0","    0","    0","  106","   10","    0","    0","    0","    0","    0","    0","    3","    0","    0","    3","    3","    0","    0","    0","  102","   18","21826","    8","    0","    1","    0","    0","    0","    8","    1","    2","    0","    6","    4","    2","    0","    0","    0","    0","    1","    1","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0"
"14086",NA,NA,"  589","    0","    0","    1","    0","    5","    0","  344","   74","  110","   67","    0","    0","   18","    4","   15","    1","    0","    0","    1","    0","    2","    0","    1","    5","    6","    0","    0","    0","    4","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    7","    0","    0","    1","    0","    3","   25","    0","    0","    0","    0","  309","   42","    0","    0","    0","    0","    0","    0","    0","    0","    5","    4","    0","    0","    0","    0","  132","   30","13967","    9","    0","    4","    0","    0","    0","   13","    6","    0","    0","    5","    2","   15","    0","    0","    0","    0","   14","    0","    0","   23","    0","    0","    0","    0","    0","    0","    0","    0"
"14252",NA,NA,"  597","    0","    0","    0","    0","   14","    0","  240","   21","   59","   27","    0","    0","    3","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    3","    4","    0","    0","    0","    3","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","   77","    0","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    6","    0","    0","    0","  107","   14","32580","    2","    0","    3","    0","    0","    0","    1","    0","    0","    0","    1","    2","    1","    1","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    1","    0","    0","    0"
"14417",NA,NA,"  605","    0","    0","    0","    0","   33","    0","  278","    0","  103","   37","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","    6","    0","    0","   35","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","  822","    0","    0","    0","    0","    0","    0","    0","    2","    3","    5","    0","    1","    0","    0","    0","  182","   14"," 4041","    2","    0","    2","    0","    0","    0","    3","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0"
"14576",NA,NA,"  613","    0","    0","    0","    0","   13","    0","  202","    2","  183","   15","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    1","    0","    0","    3","    4","    0","    0","    0","    4","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","   13","    0","    1","    0","    0","  201","    3","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","   71","   19","12643","    4","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    0"
"14727",NA,NA,"  621","    0","    0","    0","    0","   26","    0","  224","    0","   82","   40","    0","    0","    3","    0","    4","    0","    0","    0","    0","    2","    2","    0","    0","    0","   16","    1","    0","    0","    3","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    4","   25","    0","    0","    0","    0"," 1286","   11","    0","    0","    0","    0","    0","    1","    2","    1","    6","    0","    0","    0","    0","    0","  179","   21"," 4617","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0"
"14878",NA,NA,"  629","    0","    0","    0","    0","   31","    0","  150","    1","   51","   17","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    2","    0","    0","    2","   10","    1","    0","    0","    2","    0","    0","   25","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    5","    0","    0","    0","    0","    1","   17","    0","    0","    0","    0","  575","   14","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","  135","   14"," 3603","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
