"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Fagus","Fern","Fraxinus","Galium t.","Hedera","HippophaÃ«","Indeterminable","Olea t.","Ostrya","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus undif.","Rhamnaceae undif.","Rumex t.","Salix","Sanguisorba t.","Taxus","Thalictrum","Tilia","Ulmus t.","Unknown","Viburnum","Vitis"
"40098","49719","30508"," 1340","    2","    0","    0","   13","    4","    2","   50","    0","    2","    3","    0","    0","    0","    7","    0","    3","    3","    0","   66","    1","    2","    1","    0","    0","    1","    0","    4","    4","    0","    0","    1","    2","   25","    0","    8","   10","    0","    1","    0","    2","    0","    0","    0","    0","    0","    1","    1","    0","    0"
"40694","50532","30890"," 1355","    3","    0","    2","   21","   11","    0","   51","    1","    0","    0","    0","    0","    1","    5","    2","    3","    3","    0","    9","    1","    3","    3","    0","    0","   12","    0","    4","    2","    0","    0","    0","    1","   22","    0","    2","    7","    0","    6","    0","    4","    0","    0","    0","    4","    0","    0","    1","    0","    0"
"41688","51887","31526"," 1380","    4","    0","    4","   12","    3","    3","   55","    2","    3","    1","    0","    0","    0","    1","    0","    2","    5","    0","    4","    4","    0","    1","    0","    0","    5","    0","    2","    2","    0","    0","    0","    0","   13","    0","    0","  109","    0","    8","    0","    2","    1","    1","    0","    2","    0","    0","    1","    0","    0"
"42483","52972","32036"," 1400","    3","    0","    1","    8","    1","    2","   61","    1","    4","    1","    0","    0","    0","    5","    1","    1","    2","    0","    5","    5","    1","    3","    0","    0","    5","    0","    2","    4","    0","    0","    0","    1","   31","    0","    4","  140","    0","    8","    0","    4","    2","    0","    0","    0","    0","    0","    2","    0","    0"
"43278","54056","32544"," 1420","    3","    0","    1","   13","    3","    3","   50","    2","    1","    0","    0","    0","    0","    1","    0","    2","    1","    0","   12","   12","    1","    6","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","   30","    0","    0","  101","    0","   27","    0","    2","    0","    0","    0","    1","    0","    3","    1","    2","    0"
"44074","55141","33052"," 1440","    0","    0","    0","   19","    1","    2","   53","    3","    2","    5","    0","    2","    0","    1","    1","    3","    1","    0","   34","    4","    0","    2","    0","    0","    6","    0","    2","    0","    0","    0","    0","    0","   17","    0","    2","  118","    0","    8","    0","    0","    0","    0","    0","    1","    0","    0","    6","    0","    0"
"44869","56225","33560"," 1460","    0","    0","    1","   20","    5","    6","   66","    0","    4","    0","    0","    0","    0","    7","    2","    3","    7","    0","    7","    0","    0","    2","    0","    0","    3","    0","    4","    1","    0","    0","    2","    5","   44","    0","    6","  121","    0","    9","    0","    1","    0","    1","    0","    4","    1","    0","    3","    0","    0"
"45664","57309","34068"," 1480","    3","    0","    1","    7","    5","    4","   43","    1","    2","    2","    0","    3","    0","    8","    0","    2","    1","    0","    2","    2","    0","    1","    1","    0","    3","    0","    4","    0","    0","    0","    0","    5","   35","    0","    1","   92","    0","   13","    0","    1","    1","    0","    0","    4","    0","    0","    2","    0","    0"
"46459","58394","34577"," 1500","    0","    1","    3","   10","    1","    7","   38","    0","    3","    1","    0","    0","    0","    2","    1","    2","    1","    0","   16","   12","    1","    0","    1","    0","    4","    0","    2","    0","    0","    0","    0","    1","   19","    0","    2","  118","    0","   20","    0","    2","    2","    1","    0","    2","    1","    1","    2","    0","    0"
"47255","59477","35085"," 1520","    1","    0","    1","    8","    5","    4","   57","    0","    2","    0","    0","    0","    0","    3","    0","    2","    1","    0","   19","    2","    1","    1","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","   15","    0","    2","  101","    0","    5","    0","    0","    0","    0","    0","    5","    0","    0","    4","    0","    0"
"48050","60562","35594"," 1540","    0","    0","    0","   15","    7","    3","   48","    0","    3","    2","    0","    2","    0","   13","    1","    2","    0","    0","    3","    4","    5","    4","    0","    0","    6","    0","    1","    0","    0","    0","    0","    0","   18","    0","    2","  135","    0","    8","    0","    0","    1","    0","    0","    3","    0","    0","    8","    0","    0"
"48845","61646","36103"," 1560","    1","    1","    0","    5","    1","    3","   19","    0","    5","    2","    0","    0","    2","   12","    0","    1","    2","    1","    5","    2","    2","    9","    0","    0","    2","    0","    0","    1","    0","    0","    0","    1","   42","    0","    1","  109","    0","   39","    0","    0","    3","    0","    0","    3","    0","    1","    0","    0","    0"
"49442","62460","36485"," 1575","    1","    2","    2","    4","    1","    2","   29","    2","    5","    1","    0","    0","    0","    8","    0","    0","    0","    0","   16","    7","    1","    3","    1","    0","    7","    1","    1","    4","    0","    0","    0","    0","   15","    0","    0","  102","    0","   30","    0","    1","    2","    0","    0","    4","    1","    1","    7","    0","    0"
"50237","63544","36994"," 1595","    0","    0","    0","   23","    3","    2","   73","    1","    0","    3","    0","    0","    0","    0","    0","    2","    1","    0","    9","    2","    2","    2","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","   16","    0","    0","  126","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"51032","64628","37502"," 1615","    0","    0","    0","    4","    0","    6","   23","    1","   50","    1","    0","    0","    0","    1","    0","    0","    1","    1","    5","    4","    1","    8","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","   23","    0","    0","  164","    0","  111","    0","    4","    7","    0","    0","    2","    0","    1","   10","    0","    0"
"51827","65713","38011"," 1635","    3","    0","    1","   20","    1","    2","   75","    1","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    4","    4","    1","    7","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","   13","    0","    1","  116","    0","    8","    0","    3","    0","    0","    0","    2","    0","    1","    0","    1","    0"
"52424","66526","38392"," 1650","    1","    1","    2","    0","    6","    6","   48","    2","    7","    1","    0","    2","    1","    1","    0","    1","    1","    0","    6","   10","    4","   29","    0","    0","    2","    0","    0","    5","    0","    0","    0","   15","   40","    0","    4","  122","    0","   43","    0","    0","    0","    0","    0","    0","    1","    1","    6","    0","    0"
"53418","67881","39029"," 1675","    5","    1","    0","    4","    2","   10","   24","    1","    7","    0","    0","    0","    2","    7","    0","    2","    1","    0","    3","   10","    0","   22","    0","    3","    5","    0","    1","    1","    0","    0","    0","    1","   29","    0","    1","   53","    0","   38","    0","    3","    1","    0","    0","    1","    0","    2","   15","    0","    0"
"54213","68966","39539"," 1695","    0","    1","    0","    8","    0","    2","   12","    2","    7","    0","    0","    1","    4","   11","    0","    1","    1","    1","    1","    3","    0","   14","    1","    2","    1","    0","    0","    2","    0","    1","    0","    0","   43","    0","    0","   78","    0","   48","    0","    1","    0","    0","    0","    2","    0","    3","    2","    0","    0"
"54611","69507","39792"," 1705","    8","    3","    0","    2","    5","    4","   15","    1","    9","    3","    0","    1","    1","    5","    3","    2","    0","    0","    2","    6","    1","   15","    0","    0","    2","    0","    2","    3","    0","    1","    0","    7","   52","    0","    3","  162","    0","   53","    0","    1","    1","    0","    0","    5","    1","    4","    3","    0","    0"
"55207","70320","40174"," 1720","    5","    1","    1","    8","    3","    0","   23","    1","   20","    5","    0","    1","    2","    8","    1","    2","    2","    2","    1","   11","    1","    0","    0","    2","    3","    0","    1","    0","    0","    0","    0","    2","   67","    0","    3","  104","    0","   82","    0","    0","    1","    0","    0","    1","    0","    9","    0","    0","    0"
"56002","71406","40685"," 1740","    1","    3","    1","    1","    3","    7","   22","    1","   12","    1","    0","    2","    4","    8","    1","    1","    0","    2","    6","    4","    0","   17","    1","    4","    6","    0","    4","    0","    0","    0","    0","    0","   38","    0","    3","  141","    0","   71","    0","    5","    1","    1","    0","    5","    0","    4","    8","    1","    0"
"56797","72489","41193"," 1760","    0","    1","    0","    5","    5","    1","   36","    2","    5","    2","    1","    0","    1","    4","    1","    1","    2","    1","   29","   16","    3","    6","    0","    0","    1","    0","    6","    1","    0","    0","    0","    2","   50","    0","    3","   96","    0","   36","    0","    0","    0","    0","    0","    0","    1","    2","   11","    0","    0"
"57593","73573","41701"," 1780","    3","    0","    0","   18","    2","    0","   29","    5","    3","    0","    0","    1","    0","    0","    0","    5","    0","    0","   92","   29","    1","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","   36","    0","    1","  178","    0","   13","    0","    1","    1","    0","    0","    0","    0","    0","    0","    2","    0"
"58388","74658","42211"," 1800","    0","    0","    0","   26","    0","    4","   53","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   60","   21","    1","    0","    0","    0","    5","    0","    7","    0","    0","    0","    0","    0","   17","    0","    2","   92","    0","    6","    0","    4","    0","    0","    0","    1","    0","    0","    4","    0","    0"
"59183","75742","42720"," 1820","    1","    0","    0","   23","    1","    2","   53","    2","    1","    2","    0","    0","    0","    4","    0","    2","    1","    0","    1","    2","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    5","    0","    1","   13","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    8","    0","    0"
"60177","77098","43357"," 1845","   16","    0","    5","   17","   11","    0","   70","    2","    0","    5","    0","    0","    0","    2","    0","    4","    1","    0","    6","   10","    3","    2","    0","    0","    3","    0","    1","    0","    0","    0","    1","    0","   12","    0","    2","   75","    0","    8","    0","    1","    0","    0","    0","    1","    0","    0","    2","    0","    0"
"60774","77912","43739"," 1860","    0","    0","    1","   18","    6","    2","   62","    1","    3","    0","    0","    3","    0","   11","    1","    4","    4","    0","    4","    2","    0","    0","    0","    0","    7","    0","    0","    2","    0","    0","    0","    0","   15","    0","    3","  142","    0","    2","    0","    3","    1","    0","    0","    4","    0","    1","    4","    0","    0"
"61569","78995","44247"," 1880","    1","    1","    5","    7","    3","    2","   34","    1","    1","    0","    0","    1","    1","    8","    1","    1","    2","    0","   34","    6","    2","    1","    0","    0","    4","    0","    3","    1","    0","    0","    0","    2","   43","    0","    1","  148","    0","   12","    0","    0","    1","    0","    0","    2","    0","    1","    2","    0","    0"
"62364","80080","44757"," 1900","    4","    0","    7","   20","    7","    1","   46","    0","    0","    0","    0","    0","    0","    7","    3","    3","    0","    0","   14","    7","    1","    2","    0","    0","    0","    0","    2","    1","    0","    1","    0","    0","   30","    0","    0","  153","    0","   20","    0","    2","    0","    0","    0","    1","    0","    0","    6","    0","    0"
"63159","81164","45265"," 1920","   16","    0","    8","   33","    3","    2","   46","    0","    2","    4","    1","    1","    1","    5","    2","    3","    3","    0","    6","    9","    3","    2","    0","    2","   10","    0","    3","    0","    0","    0","    0","    0","   12","    0","    4","  122","    0","   15","    0","    3","    1","    0","    0","    0","    0","    2","    6","    0","    0"
"63955","82248","45774"," 1940","    7","    0","    4","   36","   10","    3","   61","    2","    2","    1","    0","    0","    0","    0","    3","    1","    1","    0","    3","    5","    1","    2","    0","    1","    3","    0","    0","    2","    0","    0","    0","    1","   28","    0","    5","  144","    0","   17","    0","    2","    1","    1","    0","    0","    0","    0","    7","    0","    0"
"64750","83332","46282"," 1960","   18","    0","    7","    0","   15","    6","   47","    1","    3","    1","    0","    0","    2","    5","    3","    5","    1","    0","    2","    3","    1","   14","    0","    0","    2","    0","    2","    0","    0","    0","    0","    2","   39","    0","    1","  115","    0","   36","    0","    5","    0","    0","    0","    4","    0","    2","    2","    0","    0"
"65545","84417","46792"," 1980","   51","    1","    1","    5","    1","    2","   27","    2","    4","    0","    0","    3","    3","    8","    1","    0","    0","    0","    1","    6","    0","   12","    0","    1","    2","    0","    0","    0","    0","    1","    0","    4","   47","    0","    3","   67","    0","   50","    0","    1","    0","    1","    0","    0","    0","    2","    0","    0","    0"
"66340","85501","47301"," 2000","   25","    0","   19","   17","    1","    2","   15","    0","    5","    2","    0","    2","    2","    0","    0","    3","    0","    1","    3","    2","    0","   18","    0","    0","    2","    0","    1","    0","    0","    3","    0","    0","   14","    0","    0","   83","    0","   82","    0","    0","    0","    0","    0","    0","    2","    3","    2","    0","    0"
"67135","86585","47809"," 2020","    4","    0","    1","   12","   11","    6","   82","    0","    1","    3","    0","    0","    0","    3","    1","    2","    0","    0","    1","    6","    0","    5","    0","    0","    6","    0","    1","    0","    0","    1","    0","    0","   30","    0","    4","  131","    0","   18","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"68130","87940","48445"," 2045","   11","    0","    4","   16","   10","    4","   71","    1","    1","    4","    1","    0","    0","    4","    2","    2","    0","    0","    3","    2","    1","    4","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","   29","    0","    1","   89","    0","   24","    0","    0","    1","    1","    0","    0","    1","    1","    2","    0","    0"
"68726","88754","48827"," 2060","    9","    1","    1","   17","    9","    3","   68","    4","    1","    1","    0","    2","    3","    3","    0","    3","    1","    0","    2","    6","    0","   11","    0","    1","    3","    0","    1","    1","    0","    0","    0","    1","   51","    0","    4","  125","    0","   18","    0","    0","    0","    0","    0","    1","    0","    1","    3","    0","    0"
"69521","89838","49336"," 2080","    9","    0","    8","   27","    4","    4","   92","    0","    4","    2","    0","    0","    0","    9","   20","    1","    2","    0","   27","    7","    3","    6","    0","    0","    6","    0","    0","    2","    0","    0","    0","    1","   17","    0","    4","  105","    0","   15","    0","    1","    1","    0","    0","    1","    0","    1","    4","    0","    0"
"70316","90923","49845"," 2100","   67","    0","    2","   17","    0","    0","   17","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    3","    0","    0","    5","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   14","    0","    1","   78","    0","   10","    0","    0","    0","    0","    0","    1","    0","    2","    2","    0","    0"
"71112","92007","50354"," 2120","   28","    1","    3","   22","    3","    3","   49","    0","    1","    1","    0","    1","    3","   12","    0","    4","    2","    0","    9","    3","    0","    7","    0","    0","    0","    2","    1","    1","    0","    0","    0","    3","   34","    2","    2","   94","    0","   32","    1","    0","    1","    0","    0","    1","    0","    3","    3","    0","    0"
"71907","93092","50863"," 2140","    6","    0","    2","   23","    5","    5","   55","    1","    5","    1","    0","    0","    1","    0","    0","    1","    0","    0","    2","    5","    0","    3","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","   27","    0","    0","  138","    0","   12","    0","    1","    1","    0","    0","    1","    0","    0","    1","    0","    0"
"72702","94175","51371"," 2160","   87","    1","    5","    3","    1","    2","   17","    1","    6","    0","    1","    0","    1","    1","    0","    0","    0","    1","    2","    1","    1","   15","    0","    0","    6","    0","    0","    4","    0","    1","    0","    4","   48","    0","    0","   68","    0","   37","    0","    0","    2","    0","    0","    0","    0","    2","    1","    1","    0"
"73497","95261","51881"," 2180","  164","    0","    0","    2","    0","    1","    4","    0","    1","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    2","    0","    1","    0","    1","   46","    0","    0","   13","    0","   11","    0","    0","    0","    0","    0","    0","    2","    2","    1","    0","    0"
"74293","96345","52390"," 2200","    3","    4","    0","   10","    2","    6","   24","    2","   13","    3","    0","    0","   10","    1","    0","    0","    0","    1","    4","    7","    0","   20","    0","    6","   10","    0","    2","    3","    0","    4","    0","    0","   45","    0","    1","   98","    0","   77","    0","    0","    1","    0","    0","    2","    0","    7","    3","    1","    0"
"75088","97429","52898"," 2220","    7","    1","    2","   12","    0","    2","   14","    0","    5","    1","    0","    0","    0","    1","    0","    0","    0","    0","    4","    5","    2","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   46","    0","    0","   81","    0","   43","    0","    1","    2","    0","    0","    2","    0","    0","    4","    0","    0"
"75883","98513","53406"," 2240","    4","    0","    6","   21","    3","    5","   40","    3","    1","    0","    0","    2","    0","    0","    1","    3","    0","    0","    5","    5","    3","    2","    0","    0","    2","    0","    0","    1","    0","    0","    1","    0","   30","    0","    2","  144","    0","    8","    0","    3","    0","    0","    0","    2","    0","    0","    5","    0","    0"
"76678","99598","53915"," 2260","    6","    0","    0","   29","    2","    2","   49","    1","    3","    3","    0","    1","    0","    0","    0","    3","    1","    0","    2","    3","    1","    1","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","   42","    0","    4","  115","    0","   13","    0","    4","    1","    0","    0","    0","    0","    0","    4","    0","    0"
" 77076","100139"," 54168","  2270","    23","     4","     1","     7","     2","     5","    23","     0","    13","     4","     0","     0","     2","     0","     3","     3","     0","     0","    10","    11","     0","    13","     0","     3","     5","     0","     0","     2","     0","     0","     0","     0","    72","     0","     0","   131","     0","    75","     0","     5","     0","     0","     0","     3","     0","     2","     2","     2","     0"
" 77871","101224"," 54678","  2290","     2","     0","     1","     5","     2","     7","    29","     1","    10","     0","     0","     0","     0","     2","     0","     1","     0","     0","     8","     5","     2","    18","     0","     1","     0","     0","     0","     2","     0","     1","     0","     0","    36","     0","     2","    96","     0","    52","     1","     0","     0","     0","     0","     1","     1","     1","     4","     0","     0"
" 78666","102308"," 55186","  2310","     2","     1","     0","    15","     2","     6","    54","     0","    21","     2","     0","     0","     0","     4","     3","     2","     2","     0","    10","     4","     1","     2","     0","     0","    10","     0","     2","     1","     0","     0","     0","     1","    23","     0","     0","   124","     0","     0","     0","     4","     0","     0","     0","     1","     0","     0","     3","     0","     0"
" 79462","103393"," 55695","  2330","     3","     1","     3","    15","     1","     6","    46","     0","     6","     1","     0","     0","     0","     1","     1","     2","     0","     0","    24","     5","     1","     4","     0","     0","     7","     0","     2","     0","     0","     0","     0","     0","    29","     0","     0","   132","     0","    27","     0","     3","     1","     0","     0","     2","     0","     0","     6","     0","     0"
" 80257","104477"," 56203","  2350","     3","     1","     1","     9","     3","    11","    50","     1","     3","     1","     0","     0","     1","     6","     0","     3","     0","     0","    11","     3","     0","     1","     0","     0","     3","     0","     1","     0","     0","     0","     0","     0","    19","     0","     2","   102","     0","    11","     1","     1","     1","     0","     0","     0","     0","     0","     2","     0","     0"
" 81052","105562"," 56713","  2370","     7","     0","     2","    17","     1","     6","    56","     0","     3","     3","     0","     0","     0","     8","     0","     3","     1","     1","    27","     0","     0","     1","     0","     0","     1","     0","     4","     0","     0","     0","     0","     0","    12","     0","     0","    95","     0","     6","     1","     3","     0","     0","     0","     0","     0","     0","     0","     0","     0"
" 81847","106646"," 57221","  2390","     4","     0","     0","    39","     2","     4","    73","     0","     1","     1","     0","     1","     0","    16","     1","     2","     1","     0","    31","     5","     0","     3","     1","     0","     8","     0","     2","     0","     0","     0","     0","     0","     6","     0","     4","   136","     0","     3","     0","     4","     0","     0","     0","     2","     0","     1","     1","     0","     0"
" 82642","107730"," 57729","  2410","    81","     0","    44","    14","     1","     2","    11","     0","     4","     0","     1","     1","     2","     5","     0","     1","     0","     2","     4","     5","     0","    43","     0","     1","     0","     2","     1","     0","     0","     1","     0","     0","    24","     1","     1","   102","     0","     0","     0","     0","     2","     0","     0","     1","     1","    11","     3","     0","     0"
" 83438","108815"," 58238","  2430","    37","     0","    27","    11","     1","     1","    39","     0","     0","     2","     1","     0","     1","     8","     1","     1","     0","     0","    28","     8","     2","    13","     0","     1","     7","     0","     1","     0","     0","     1","     0","     0","    22","     0","     3","   119","     0","    40","     0","     0","     0","     0","     0","     3","     2","     3","     3","     1","     0"
" 84233","109899"," 58746","  2450","    42","     0","    21","    30","     5","     4","    40","     0","     2","     1","     0","     1","     1","     5","     2","     3","     1","     0","    13","     5","     2","    12","     0","     0","     4","     0","     1","     0","     0","     0","     0","     0","    17","     0","     4","   115","     0","    52","     0","     0","     0","     0","     0","     1","     0","     4","     0","     0","     0"
" 85028","110984"," 59255","  2470","    37","     1","    39","    11","     0","     2","    13","     0","     2","     1","     0","     1","     1","     1","     1","     1","     0","     0","     2","     2","     1","    22","     0","     1","     3","     0","     0","     2","     0","     3","     0","     0","    15","     0","     1","    54","     0","    41","     0","     0","     0","     0","     0","     0","     1","     6","     2","     1","     0"
" 85823","112067"," 59763","  2490","    10","     2","     3","    13","     4","     5","    33","     0","     0","     4","     0","     0","     0","     6","     0","     0","     1","     0","    12","     4","     3","     3","     0","     0","     2","     0","     1","     2","     0","     0","     0","     0","    38","     0","     2","   120","     0","    11","     0","     0","     1","     0","     0","     1","     0","     0","     1","     0","     0"
" 86619","113152"," 60272","  2510","     3","     0","     4","    10","     6","     3","    35","     0","     1","     6","     0","     0","     0","     2","     0","     0","     0","     1","     5","     5","     0","     2","     0","     0","     8","     0","     2","     2","     0","     0","     0","     0","    65","     0","     9","   157","     0","    11","     0","     0","     0","     0","     0","     5","     0","     0","     6","     0","     0"
" 87016","113694"," 60526","  2520","     9","     0","     2","     6","     5","     4","    30","     1","     1","     5","     0","     2","     1","     7","     0","     1","     3","     0","     0","     2","     2","     2","     0","     0","     2","     0","     3","     2","     0","     0","     0","     0","    53","     0","     1","   102","     0","    27","     0","     0","     0","     0","     0","     1","     0","     0","     5","     0","     0"
" 87812","114778"," 61034","  2540","    14","     0","     6","     8","     9","     1","    29","     0","     3","     5","     0","     1","     1","     3","     0","     0","     1","     1","     0","     2","     3","     3","     0","     0","     3","     0","     0","     2","     0","     0","     0","     0","    33","     0","     3","   163","     0","    14","     0","     0","     1","     0","     0","     2","     0","     1","     1","     0","     0"
" 88209","115321"," 61289","  2550","    19","     5","     3","     1","     4","     4","     9","     0","    35","     7","     2","     0","     3","     1","     1","     3","     0","     1","     1","     6","     0","    25","     0","     3","     1","     2","     0","     0","     0","     0","     0","     1","    44","     0","     1","   103","     0","   100","     2","     0","     0","     0","     1","     0","     0","    11","     0","     0","     0"
" 88487","115700"," 61467","  2557","     7","     2","     3","     6","     3","     1","     4","     1","     1","     1","     0","     0","     1","     3","     0","     0","     0","     0","     1","     3","     1","     6","     0","     0","     0","     0","     1","     3","     0","     0","     0","     2","    37","     0","     0","    29","     0","    41","     0","     0","     1","     0","     0","     1","     1","     1","     2","     0","     0"
