"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Alchemilla t.","Algae","Algae (type 146, HdV)","Algae (type 170, HdV)","Algae (type 601, HdV)","Algae? (type 225, HdV)","Algae? (type 229, HdV)","Alismataceae","Alnus","Alona rustica (type 72, HdV)","Amaranthaceae undif.","Animalia (type 532, HdV)","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Bactrodesmium-type (type 502, HdV)","Betula","Betulaceae undif.","Boraginaceae undif.","Brachysporium (type HdV-359)","Brassicaceae","Bryophyta (type 340, HdV)","Butomus","Buxus","Callitriche","Campanulaceae","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Caryospora","Castanea","Cedrus","Centaurea","Ceratophyllum","Chamaerops","Cichorieae","Cistaceae","Clasterosporium caricinum (type 126, HdV)","Closterium idiosporum-type (type 60, HdV)","Coniochaeta ligniaria (type 172, HdV)","Copepoda (type 179, HdV)","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Diporotheca rhizophila (type 143, HdV)","Elatine","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern-Equisetophyta","Filipendula t.","Frangula","Fraxinus","Fungi (type 11, HdV)","Fungi (type 120, HdV)","Fungi (type 123, HdV)","Fungi (type 145, HdV)","Fungi (type 17, HdV)","Fungi (type 174, HdV)","Fungi (type 20, HdV)","Fungi (type 204, HdV)","Fungi (type 312, HdV)","Fungi (type 324, HdV)","Fungi (type 350, HdV)","Fungi (type 361, HdV)","Fungi (type 364, HdV)","Fungi (type 367, HdV)","Fungi (type 411, HdV)","Fungi (type 55, HdV)","Fungi (type 83, HdV)","Fungi (type 8B, HdV)","Fungi (type 92, HdV)","Fungi (type 970, HdV)","Fungi (type 972, HdV)","Galium t.","Gentiana t.","Geranium","Glomus cf. G. fasciculatum (type 207, HdV)","Glyptotendipes pallens group (type 509, HdV)","Hedera","Hydrocharitaceae","Hypericum undif.","Indeterminable","IsoÃ«tes","Jasminum","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lycopodium spike","Lythrum","Malva undif.","Monoletes","Morella","Myriophyllum undif.","Neurospora crassa (type 55C, HdV)","Nymphaea","Olea t.","Orchidaceae","Papaver t.","Parnassia","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Pleospora sp. (type 3B, HdV)","Poaceae","Poaceae (Cerealia-type)","Podospora sp./Zopfiella sp. (type 466, HdV)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhabdocoela (type 353, HdV)","Rhamnus","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanum","Sordariaceae? (type 205, HdV)","Sporormiella (type 113, HdV)","Syringa","Tamarix","Tetraploa aristata (type 89, HdV)","Thalictrum","Thymelaeaceae undif.","Tilia","Trapa natans","Trichocladium opacum (type 10A, HdV)","Triletes","Typha","Ulmus t.","Unknown (type 119, HdV)","Unknown (type 128, HdV)","Unknown (type 150, HdV)","Unknown (type 159, HdV)","Unknown (type 181, HdV)","Unknown (type 222, HdV)","Unknown (type 492, HdV)","Unknown (type 519, HdV)","Unknown (type 69, HdV)","Urtica t.","Ustilago","Ustulina deusta (type 44, HdV)","Utricularia","Valerianaceae undif.","Viburnum","Vitex","Vitis","Ziziphus/Paliurus","cf. Richonia variospora (type 140, HdV)","charcoal"
"1120",NA,NA,"101"," 5.085","16","0","587.7986","0","0","0","0","0","2","0","0","22","0","0","0","5","0","8","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","17","0","0","629.7842","0","0","0","1","0","3","0","23","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.48201","0","0","0","20.99281","0","0","0","0","0","1","0","0","199.4317","0","0","0","0","85.47482","0","0","2","0","4","0","0","0","1","0","0","0","0","0","4","15","0","0","0","0","0","0","1","0","100","1","0","0","19","1","0","0","0","0","0","0","0","14","4","2","6","0","10.4964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.4964","0","45","0","10.4964","0","62.97842","0","10.4964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1211",NA,NA,"106"," 7.300","6","0","124.952379","0","0","0","0","0","6","1","0","17","0","4","0","27","0","40","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","15","0","0","0","0","0","1","1","0","3","0","16","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.619","0","0","0","6.095238","0","0","0","0","0","2","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","9","0","58","0","1","0","3","0","0","0","0","0","0","0","0","48","10","5","4","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","16","0","0","0","3.047619","3.047619","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1320",NA,NA,"112"," 2.940","0.5","0","58","0","4","3","0","0","0","4","0","7","0","1","0","7","0","6","0","1","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","6","0","0","0","7","0","6","0","0","0","3","0","7","0","4","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","0","0","1","0","0","38","0","0","0","0","16","0","0","0","0","1","0","0","0","0","0","3","0","2","0","0","3","0","0","0","0","1","1","0","0","13.5","0","18","1","70","0","1","1","16","0","1","0","2","16","15","20","0","4","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","6","1","2","9","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"1393",NA,NA,"116"," 2.960","2","0","30","0","0","2","0","0","2","2","0","3","0","5","0","4","0","8","0","0","1","0","0","3","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","0","0","1","0","7","0","0","0","6","0","9","0","0","0","1","0","8","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","3","0","0","50","0","0","0","0","20","0","0","0","0","2","0","0","0","0","0","4","0","0","0","3","1","0","1","0","0","1","2","1","0","18","1","12","0","46","0","1","0","4","0","0","0","3","14","13","5","0","7","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","4","9","20","3","11","1","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0"
"1479",NA,NA,"121"," 4.712","14","0","247.300737","0","0","0","0","0","1","0","0","5","0","0","0","3","0","12","0","1","2","0","4.496377","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","12","0","0","35.97102","0","0","0","0","0","3","0","128","0","0","0","6","0","0","0","0","0","0","0","0","4.496377","0","0","0","0","0","0","0","4.496377","0","13.48913","0","0","0","0","0","4.496377","0","0","0","0","0","0","13.48913","0","0","0","0","28","0","0","4","0","2","0","0","0","3","0","1","0","0","0","0","39","0","0","0","0","0","0","4","0","48","4","2","0","25","3","0","2","0","0","0","0","0","27","4","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","113","0","0","0","89.92754","0","0","0","35.97102","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1580",NA,NA,"132"," 1.970","1","0","7","0","0","0","0","0","0","0","0","3","0","1","0","2","0","1","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","2","0","0","0","1","0","8","0","0","0","3","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","1","0","0","6","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0","0","0","0","0","1","0","0","2","0","4","0","186","0","0","0","0","0","0","0","0","9","9","7","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","47","0","2","7","0","0","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0"
"1662",NA,NA,"141"," 5.064","14","0","94.821054","0","0","0","0","0","0","0","0","7","0","0","0","5","0","14","0","2","2","0","3.950877","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","3.950877","15.80351","0","0","0","0","0","9","0","3","0","0","0","3","0","0","0","0","0","0","0","7.901754","0","0","0","0","0","0","0","0","3.950877","0","43.45965","0","0","0","165.9368","0","0","0","0","7.901754","0","0","0","7.901754","0","0","0","0","43.75439","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","42","0","0","0","0","0","0","4","0","8","0","1","0","4","3","0","0","0","0","0","0","0","21","4","2","10","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","31.60702","31.60702","0","0","15.80351","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1753",NA,NA,"151"," 6.778","7","0","0","0","0","0","0","0","0","0","0","3","0","1","0","1","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","7","0","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","43","0","0","0","0","0","0","5","0","31","0","1","0","27","0","0","0","0","0","0","0","0","29","11","17","3","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","6","111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1844",NA,NA,"161"," 5.015","25","0","7","0","2","0","0","0","0","0","0","3","0","1","0","3","0","16","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","10","0","0","1","0","0","4","0","12","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","2","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","18","0","0","0","0","0","0","5","0","41","0","0","0","22","1","0","1","0","0","0","0","0","44","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1917",NA,NA,"169"," 4.510","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"2009",NA,NA,"179"," 4.620","4.5","0","6","0","15","0","0","0","0","3","0","10","0","6","0","4","0","18","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","2","0","0","0","12","0","8","0","0","0","6","0","5","0","0","0","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","42","0","0","0","0","18","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","7","0","0","3","89","0","3","5","0","0","0","0","0","3","3","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","11","12","0","51","0","0","0","3","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"2027",NA,NA,"181"," 5.037","0","0","19.422492","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.711246","0","0","0","13.59575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143.7264","0","0","0","0","0","13.59575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.61398","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2118",NA,NA,"191"," 6.006","76","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","6","0","14","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","145","0","0","0","3","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","20","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2191",NA,NA,"199"," 5.123","33","0","103.88298","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","140.1596","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","9","0","0","3.297872","0","0","0","1","0","0","0","9","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.08511","0","0","0","0","0","0","3.297872","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","9","2","93","0","0","0","3","0","0","0","0","0","0","0","0","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.893617","0"
"2237",NA,NA,"204"," 4.320","3","1","6","0","4","0","0","0","0","1","0","2","0","5","0","0","0","6","0","2","0","0","0","5","0","0","0","0","0","1","0","6","0","1","0","0","0","0","45","2","0","0","0","1","0","0","0","4","0","6","0","0","0","2","0","7","1","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","6","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","5","0","0","0","2","9","0","0","0","0","1","0","5","0","4.5","0","15","1","33","0","0","1","0","0","1","0","0","5","8","5","0","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","5","1","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"2355",NA,NA,"217"," 4.160","0","3","3","0","8","0","0","0","0","2","0","7","0","9","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","78","0","0","0","1","0","0","0","1","2","0","10","0","0","0","3","0","13","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","1","0","47","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","6","0","2","0","0","12","0","14","0","4.5","2","12","0","25","0","0","1","0","0","0","0","2","3","17","2","0","3","0","0","2","0","0","2","0","0","0","0","0","1","0","0","0","4","0","2","0","0","0","0","12","63","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","3","0"
"2447",NA,NA,"227"," 4.999","11.5","0","116","0","0","0","0","0","0","0","0","6","0","1","0","0","0","9","10","0","0","0","3","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","22","2","0","1","0","0","0","0","0","2","0","38","0","0","0","4","0","6","0","16","0","0","6","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","32","0","0","0","1","2","0","0","0","0","0","7","0","1","0","19","14","0","0","0","0","0","2","1","0","50","0","3","0","43","0","0","9","1","2","2","0","1","12","2","6","0","0","3","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","17","13","0","4","10","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"2511",NA,NA,"234"," 3.990","1","0","22","0","53","3","0","0","1","1","0","6","0","5","0","2","0","1","0","1","1","0","1","2","0","1","0","0","0","0","0","3","0","0","0","2","0","0","12","0","0","0","0","3","0","0","0","5","0","11","0","0","9","0","0","6","0","5","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","2","0","0","38","0","0","0","0","21","1","0","0","0","0","0","0","0","0","0","4","0","0","0","28","5","0","0","0","0","1","2","7","0","10.5","0","5","1","80","0","0","0","4","1","0","0","0","4","7","2","0","3","6","0","1","0","0","0","0","0","0","2","0","8","0","0","0","4","0","0","0","0","0","0","8","16","0","21","10","0","0","0","0","0","0","0","1","3","0","0","0","0","2","1","0","0","0"
"2620",NA,NA,"246"," 4.850","4.5","0","24","0","0","0","0","0","0","0","0","15","0","1","0","1","0","9","0","2","2","0","2","1","0","0","0","0","0","0","2","5","0","0","0","1","0","0","32","6","0","0","0","0","0","0","0","5","0","25","0","0","4","2","0","0","0","32","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","1","0","0","0","0","172","0","0","0","0","1","1","0","0","0","0","3","0","0","0","43","17","0","0","0","0","0","3","3","3","30","6","7","0","23","0","0","1","1","4","1","0","1","9","7","11","0","1","1","0","1","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","24","55","0","5","15","0","0","1","0","0","1","0","3","0","0","0","1","0","0","0","0","0","0"
"2739",NA,NA,"259"," 6.880","2.5","2","25","0","0","0","3","1","0","6","0","8","0","4","0","10","0","6","0","1","7","0","0","2","0","0","0","0","0","1","2","1","0","0","0","4","0","0","4","0","0","1","0","0","0","0","0","1","0","20","0","0","1","4","1","11","3","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","3","0","0","0","0","39","1","0","0","0","0","2","0","0","4","0","2","0","0","0","203","22","0","0","0","0","0","5","2","1","17","0","6","0","79","0","0","0","2","0","0","0","0","77","17","30","0","2","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","2","102","0","0","0","0","0","2","0","0","0","0","0","2","0","2","1","0","0","0"
"2882",NA,NA,"271"," 6.610","0","1","25","0","0","0","3","0","1","0","0","5","0","4","0","4","0","4","0","1","9","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","4","2","0","0","1","0","0","0","0","1","1","0","85","0","0","0","0","0","14","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","4","0","0","0","0","0","11","0","27","1","0","0","2","0","0","1","0","1","0","1","0","0","0","99","3","0","0","0","0","0","4","0","1","12.5","0","5","0","31","0","0","0","1","1","0","0","0","31","8","13","0","2","1","1","2","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","2","0","0","8","8","0","0","45","0","0","0","0","1","0","0","3","0","0","0","0","0","2","0","0","0","0"
"2953",NA,NA,"276"," 3.690","2","0","10","0","0","0","1","0","0","0","0","14","0","2","0","0","0","4","0","0","1","0","1","1","1","0","0","0","0","0","2","1","0","0","0","3","0","0","1","0","0","0","0","0","0","1","0","3","0","195","0","0","0","2","0","8","0","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","12","0","7","0","0","0","1","0","0","0","16","2","0","0","0","5","0","0","0","1","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","12.5","4","1","0","29","0","0","0","0","0","0","0","0","28","5","14","0","2","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","4","0","0","53","0","0","2","0","0","3","0","1","0","0","0","0","0","0","1","0","0","0"
"3043",NA,NA,"283"," 4.933","5.5","0","83","0","0","0","6","0","1","2","0","2","0","0","0","4","0","17","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","1","15","0","0","18","0","0","3","1","2","0","0","0","2","0","76","0","0","1","9","0","5","1","24","0","0","0","0","0","0","0","0","0","1","0","6","5","1","1","0","1","0","18","0","12","0","0","0","1","0","0","0","0","0","0","0","66","0","0","0","1","0","0","0","0","0","1","19","0","0","3","1","7","0","0","0","0","0","4","0","1","20","2","0","0","33","0","0","1","1","7","0","0","0","41","12","30","7","0","1","0","0","0","0","1","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","1","4","32","0","2","157","12","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"3089",NA,NA,"287"," 6.490","0.5","0","13","0","0","0","2","0","0","0","0","6","0","3","0","6","0","5","0","1","2","0","1","5","0","0","0","0","0","1","0","1","0","0","0","5","0","0","9","0","0","0","0","0","0","0","1","1","0","60","0","0","0","2","0","8","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","227","0","0","0","1","0","0","0","0","3","0","0","0","0","20","68","0","0","0","0","0","0","0","2","0","2","0","0","0","0","3","0","0","0","0","0","1","2","0","8.5","2","3","0","48","0","0","0","0","26","1","0","0","6","3","5","0","2","0","4","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","68","0","0","150","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"3146",NA,NA,"292"," 6.320","0","0","4","0","0","0","0","1","0","0","0","4","0","10","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","3","0","115","0","0","0","1","0","17","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1126","0","0","0","0","0","8","0","0","5","0","0","0","0","14","0","0","1","1","1","0","0","0","0","0","0","0","0","3","0","10","0","0","0","0","0","4","0","0","2","0","0","0","27","0","0","0","2","2","0","0","0","11","1","3","0","1","0","0","0","0","1","0","1","1","0","10","0","5","0","0","0","0","0","0","0","0","0","0","0","57","1","2","18","0","0","1","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0"
"3202",NA,NA,"297"," 6.090","1.5","1","5","0","0","0","1","0","0","1","0","5","0","3","0","3","0","3","0","0","0","0","0","1","0","1","0","0","0","0","1","3","0","0","0","7","0","0","8","0","0","0","0","0","0","0","1","4","0","71","1","0","0","2","0","11","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","360","0","0","0","0","0","2","0","0","17","0","0","0","0","18","0","0","0","0","4","0","0","0","0","0","1","0","0","0","1","3","0","1","0","0","0","1","0","0","2.5","1","1","0","23","0","2","3","0","0","0","0","0","15","2","3","0","5","3","0","2","0","0","0","0","0","0","2","0","1","6","0","0","0","0","0","0","1","0","0","2","46","0","4","48","0","0","3","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0"
"3305",NA,NA,"306"," 6.580","0","3","7","0","0","0","2","0","0","1","0","3","0","10","0","1","0","10","0","0","2","0","0","4","0","0","0","0","0","0","0","1","0","0","0","5","0","0","82","1","0","0","2","0","0","1","0","3","0","20","0","0","0","6","0","7","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","0","0","1","0","0","1","0","0","5","0","0","0","0","35","1","1","0","0","2","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","1","1","0","4","0","4","0","7","0","3","1","0","0","0","0","0","2","4","2","0","4","0","0","0","0","1","0","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","6","0","0","0","21","0","0","2","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0"
"3419",NA,NA,"316"," 6.720","1","0","20","0","0","0","2","0","0","1","0","8","0","0","0","2","0","21","0","0","2","0","0","4","0","0","0","0","0","0","1","2","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0","5","0","128","0","0","2","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","2","0","0","0","0","30","0","0","0","0","3","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","10.5","0","3","0","51","0","0","0","1","2","0","0","0","9","6","7","0","5","0","10","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","2","4","3","3","63","0","0","6","0","6","2","0","0","0","0","0","1","0","1","0","1","0","0"
"3510",NA,NA,"324"," 6.230","1","1","21","0","0","0","1","0","0","1","0","9","0","2","0","1","0","26","0","0","1","0","0","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","9","0","0","7","0","0","0","0","0","7","0","84","0","0","0","5","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","4","0","0","0","0","25","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2","0","0","5","1","2","0","37","0","0","0","0","0","0","0","0","17","6","8","0","1","0","1","3","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","0","13","122","0","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"3601",NA,NA,"332"," 6.000","0","0","96","0","0","0","2","0","1","1","0","7","0","0","0","4","0","29","0","0","1","0","0","1","0","0","0","0","0","1","0","2","0","1","0","0","0","0","5","1","0","13","0","0","0","1","1","0","0","51","0","0","0","2","0","11","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","33","9","3","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","7","0","3","0","62","0","0","0","0","0","0","0","0","24","2","16","0","4","0","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","5","36","0","1","2","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0"
"3715",NA,NA,"342"," 5.790","0.5","0","62","0","1","0","2","0","0","0","0","4","0","2","0","5","0","22","0","1","2","0","0","4","1","0","0","0","0","0","1","2","0","0","0","0","0","0","4","1","0","12","0","0","0","0","1","0","0","54","0","0","1","4","0","6","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","15","0","0","0","1","1","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","7.5","0","2","0","91","0","0","0","0","0","0","0","0","45","13","18","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","5","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
