"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Abutilon t.","Acer","Acorus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geraniaceae undif.","Geranium","Hedera","HippophaÃ«","Hippuris","Hydrocharitaceae","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Lonicera","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Nymphoides","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Pediastrum divergens","Pediastrum longicorne","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pseudopediastrum brevicorne","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Viburnum","Viscum","Vitis","Ziziphus/Paliurus","cf. Lycopodium"
"15105","15445","14694","  336","   30","    0","    0","    0","    7","    0","    3","   49","    0","    4","    8","   86","    0","   11","    1","    2","    0","   10","    0","    0","    0","    1","    0","    0","    4","    4","    0","    1","    3","    0","    0","    0","    0","    1","    0","   63","    0","    0","    3","    0","    0","    0","    0","    4","    0","   13","    0","    1","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  125","    0","   15","    0","    0","  183","    2","    4","    0","    1","    0","    0","    4","   71","    0","   11","    0","    0","    0","   10","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    6","    0","    0","    2","    1","   10","    0","    0","    0","    0","    0","    0","    0","    0"
"15547","15891","15140","  345","   62","    0","    6","    0","   53","    0","    3","   55","    0","    4","    8","  156","    0","   21","   12","    3","    0","   10","    0","    1","    0","    0","    0","    0","   11","    9","    0","    5","    8","    0","    0","    0","    0","    2","    2","  225","    0","    0","    8","    0","    0","    0","    0","    9","    0","   85","    0","    0","    0","    3","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","   32","    0","    1","    0","    0","    0","    0","    0","    0","    0","   14","    3","    1","    0","    0","  312","    0","   28","    0","    0","  268","    4","    9","    0","    2","   16","   28","   35","   94","    1","   14","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   11","    0","    0","   10","    3","    0","    2","    4","   38","    1","    0","    0","    0","    0","    0","    0","    0"
"15792","16138","15386","  350","   38","    0","    1","    0","    8","    0","    2","  115","    0","    9","   11","  204","    0","   14","   18","    2","    0","    8","    0","    0","    0","    0","    0","    0","    8","    5","    0","    3","    3","    0","    0","    0","    0","    2","    0","  134","    0","    0","    4","    0","    0","    0","    0","    7","    0","   31","    0","    3","    0","   21","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","  197","    1","   30","    0","    0","  373","    5","   14","    0","    7","    0","    0","    4","   72","    0","   15","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    8","    2","    0","    0","    3","   26","    0","    0","    0","    0","    0","    0","    0","    8"
"16234","16585","15829","  359","   32","    0","    2","    0","   22","    0","    3","   61","    0","    4","   11","  130","    0","    9","    8","    3","    0","    6","    0","    0","    0","    0","    0","    0","    7","    6","    0","    6","    8","    0","    0","    0","    0","    4","    1","  103","    0","    0","    3","    0","    0","    0","    0","    1","    0","   30","    0","    2","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    1","    0","    0","    0","    0","    0","    0","    0","    4","    1","    0","    0","    0","  141","    0","   25","    0","    1","  293","    3","    5","    0","   12","    0","    0","   27","   68","    0","   14","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","   10","    1","    0","    1","    2","   24","    0","    0","    0","    0","    0","    0","    0","    0"
"16774","17135","16371","  370","   17","    0","    0","    0","  110","    0","    1","   52","    0","   27","   13","  130","    0","   18","    6","    1","    0","    4","    0","    0","    0","    1","    0","    3","    2","    9","    0","    6","    8","    0","    0","    2","    0","    4","    0","  171","    0","    0","    5","    0","    0","    0","    0","    7","   23","   19","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    0","    0","    0","    0","    0","    1","    0","    0","    0","   33","    5","    0","    0","    0","  208","    0","   14","    0","    0","  459","    1","   28","    0","    6","    0","    0","   93","   94","    1","   17","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","   12","    0","    0","   10","    2","    0","    0","    5","   68","    0","    0","    0","    0","    0","    0","    0","    0"
"17265","17634","16862","  380","    5","    0","    1","    0","   45","    1","    1","   44","    0","    9","   13","  107","    0","   19","   18","    1","    0","   10","    1","    0","    0","    1","    1","    0","    6","    6","    0","    7","   10","    0","    0","    0","    0","    3","    1","   54","    1","    0","    3","    0","    0","    1","    0","    2","    0","   21","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    2","    0","    0","    0","   28","    0","   22","    0","    1","  172","    2","   12","    0","    3","    0","    0","   71","   38","    0","   15","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    6","    0","    0","    8","    1","    0","    2","    4","   16","    0","    0","    1","    0","    0","    0","    0","    0"
"17756","18134","17350","  390","   11","    0","    0","    0","  372","    0","    1","   79","    0","   22","    5","   77","    0","   20","   12","    0","    0","   29","    1","    0","    0","    0","    0","    0","    0","    6","    0","    8","    8","    1","    0","    0","    0","    1","    1","  208","    1","    0","    4","    0","    0","    0","    3","    3","    0","    6","    0","    2","    0","   14","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    5","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   48","    0","    0","    0","    0","    0","    0","    0","    0","    0","   32","    5","    1","    0","    0","   91","    0","   17","    0","    0","  474","    3","    4","    0","    1","    0","    0","  224","   51","    1","    9","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","   37","    0","    0","    7","    0","    0","    1","    5","  100","    0","    0","    1","    0","    0","    0","    0","    0"
"18492","18890","18079","  405","   12","    0","    0","    0","  378","    0","    3","   81","    0","    8","    6","   79","    0","   10","    2","    0","    0","   31","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    4","    0","    0","    0","    0","    1","    0","  352","    0","    0","    2","    0","    0","    0","    0","    1","    0","    6","    0","    0","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","   84","    0","    0","    0","    0","    0","    0","    0","    0","    0","   28","    1","    0","    0","    0","   78","    0","    7","    0","    0","  282","    1","    9","    0","    3","    0","    0","  203","   30","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   49","    0","    0","    6","    1","    0","    1","    4","   40","    0","    0","    0","    0","    0","    0","    0","    0"
"19229","19653","18810","  420","    1","    0","    1","    0","   25","    0","    3","   77","    0","    8","   15","  160","    0","   22","   11","    1","    0","   17","    7","    0","    0","    0","    1","    0","    9","    2","    0","   10","    5","    1","    0","    0","    0","    0","    4","  181","    0","    0","    4","    1","    0","    0","    3","    2","    0","    4","    0","    3","    1","    7","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   24","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   43","    0","   14","    0","    0","  437","    2","    6","    0","    1","    0","    0","    0","   61","    2","   11","    0","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","   45","    0","    0","   10","    3","    0","    0","    3","   46","    0","    0","    0","    0","    0","    0","    0","    0"
"19720","20162","19295","  430","    9","    0","    4","    0","   88","    1","    7","  165","    0","   11","   21","  301","    0","   32","   25","    1","    0","   52","   12","    0","    0","    2","    0","    0","    6","    6","    0","   14","   10","    0","    0","    0","    0","    8","    2","  338","    0","    0","   15","    0","    0","    0","    0","    5","    9","   35","    0","    0","    0","   37","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    6","   59","    0","    1","    0","    0","    0","    0","    0","    0","    1","    9","    3","    0","    0","    0","   73","    0","   18","    0","    0","  785","    2","   22","    0","   25","    0","    0","    7","  147","    0","    2","    0","    0","    1","   19","    3","    0","    5","    0","    0","    0","    0","  124","    0","    0","   13","    1","    0","    2","    5","   72","    0","    1","    0","    0","    0","    0","    0","    0"
"20211","20670","19778","  440","    2","    0","    1","    0","  145","    1","    2","   72","    0","   13","   20","  166","    0","    9","   13","    2","    0","   20","   11","    0","    0","    0","    0","    0","    4","   14","    0","   12","    3","    0","    0","    0","    0","    4","    4","  189","    0","    0","    8","    0","    0","    0","    0","   10","    0","   22","    0","    1","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    9","    3","    1","    0","    0","   73","    0","   16","    0","    0","  473","    3","    8","    0","    2","    0","    0","    2","   67","    0","    6","    0","    0","    1","   10","    0","    0","    3","    0","    0","    0","    0","   34","    0","    0","    5","    4","    0","    1","    1","   28","    0","    0","    0","    0","    0","    0","    1","    0"
"20702","21178","20259","  450","    4","    0","    1","    0","  105","    0","    2","   12","    0","    5","    4","   45","    0","   10","    3","    1","    0","    5","    0","    0","    0","    0","    0","    0","    2","    1","    0","    6","    6","    0","    0","    0","    0","    3","    1","   57","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","   18","    0","    4","    0","    0","  106","    1","    1","    0","    0","    0","    0","    0","   37","    0","    6","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0"
"21438","21941","20975","  465","   10","    0","    3","    0","  288","    0","    3","   45","    0","    5","    6","  111","    0","   15","    2","    2","    0","   17","    0","    0","    0","    2","    0","    0","    0","    6","    0","    9","    5","    0","    0","    0","    0","    2","    1","  192","    0","    0","    6","    0","    0","    1","    1","    0","    0","   15","    2","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   17","    0","    1","    0","    0","    0","    0","    0","    0","    2","   12","    1","    1","    0","    0","   55","    0","   11","    0","    0","  217","    7","    5","    0","    7","    1","   10","   13","   49","    1","   12","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","   34","    0","    0","    8","    1","    0","    0","    1","   14","    0","    1","    0","    0","    0","    0","    0","    0"
"22174","22705","21688","  480","    4","    0","    1","    0","   67","    2","    7","   75","    0","    3","   20","  171","    0","   25","   12","    3","    0","   25","    0","    0","    0","    1","    0","    0","    5","    7","    0","   12","    5","    1","    0","    0","    0","    5","    4","   71","    0","    0","    9","    1","    0","    0","    0","   10","    0","   19","    0","    1","    0","    5","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   80","    0","    5","    0","    0","  280","    3","   15","    0","    0","    0","    0","    1","  176","    2","    7","    0","    0","    0","   11","    0","    0","    0","    0","    2","    0","    0","   83","    0","    0","    3","    3","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    7"
"22665","23216","22162","  490","   11","    0","    1","    0","   32","    0","    3","   52","    0","    4","    5","  121","    0","   28","   10","    1","    0","   24","    0","    0","    0","    0","    0","    0","    4","    6","    0","   16","    3","    0","    0","    0","    0","   10","    0","   73","    0","    0","   13","    0","    0","    0","    0","   11","    0","   27","    0","    0","    0","    3","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    0","    2","    0","    0","    1","    0","    0","    0","    0","    4","    1","    0","    0","    0","   66","    0","    5","    0","    0","  198","    2","   10","    0","    1","    1","    0","    0","  120","    0","    1","    0","    0","    0","    2","    1","    0","    1","    0","    0","    0","    0","   44","    0","    0","    3","    2","    0","    0","    3","   48","    0","    0","    0","    0","    0","    0","    0","    0"
"23402","23981","22870","  505","    8","    0","    1","    0","   21","    0","    8","   34","    0","    4","   12","   99","    0","   14","    8","    0","    0","   14","    0","    0","    0","    0","    0","    2","    7","    8","    0","    2","    0","    0","    0","    0","    0","   11","    0","   27","    0","    0","    6","    0","    1","    1","    1","    6","    0","   14","    0","    1","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   65","    0","    3","    0","    0","  161","    0","    5","    0","    0","    0","    0","    2","  111","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   57","    0","    0","    3","    0","    0","    2","    2","   18","    0","    0","    0","    0","    0","    0","    0","    0"
"24138","24747","23577","  520","    2","    0","    4","    0","    1","    0","    3","  112","    0","    1","    9","  171","    0","   69","    6","    2","    0","    6","    0","    0","    0","    1","    0","    0","    0","   17","    0","   53","    9","    0","    0","    0","    0","    2","    2","    9","    0","    0","   13","    0","    0","    1","    1","    0","    0","   13","    0","    0","    0","    5","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","   32","    0","    3","    0","    0","  120","    8","   66","    0","    0","    0","    0","    0","   85","    0","    1","    0","    0","    0","    8","    2","    0","    0","    0","    0","    0","    0","   25","    0","    0","    0","    0","    0","    0","    1","  162","    0","    0","    0","    0","    0","    0","    0","    1"
"24875","25514","24284","  535","    0","    0","    2","    0","   18","    0","    1","  135","    0","   10","    6","  221","    0","   60","   18","    2","    0","   11","    0","    0","    0","    1","    0","    0","    8","    8","    0","   15","   11","    3","    0","    0","    0","    1","    2","   64","    0","    0","    7","    0","    0","    2","    0","    2","   15","   69","    0","    0","    2","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","   10","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","   29","    0","    3","    0","    0","  244","    0","   40","    0","    0","    1","    0","    0","  122","    0","    0","    0","    0","    1","    4","    0","    1","    0","    0","    0","    0","    0","  116","    0","    0","    2","    0","    0","    3","    2","  108","    0","    0","    0","    0","    0","    0","    0","    0"
"25611","26282","24992","  550","    5","    0","    0","    0","    2","    2","    2","  126","    0","    9","    4","  152","    0","   49","    8","    1","    0","    9","    0","    0","    0","    0","    0","    0","    1","   11","    0","   39","    8","    0","    0","    0","    0","    1","    3","   39","    0","    0","    3","    0","    0","    1","    1","    6","    0","    5","    0","    0","    3","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","   41","    0","    0","    0","    0","  164","    0","   62","    0","    0","    0","    0","    1","  102","    1","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   22","    0","    0","    3","    3","    0","    0","    2","   76","    0","    0","    0","    0","    0","    0","    0","    0"
"26102","26794","25464","  560","    5","    0","    0","    0","   59","    1","    1","  137","    0","    7","    6","  213","    0","   49","   15","    1","    0","   17","    0","    0","    0","    0","    0","    0","    1","   11","    0","   35","    9","    1","    0","    0","    0","    4","    3","   50","    0","    0","    2","    0","    0","    0","    1","    5","    0","    1","    0","    0","    2","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    3","    0","    0","    1","    0","    0","    0","    0","    2","    1","    1","    0","    0","   58","    0","    6","    0","    0","  260","    1","   18","    0","    1","    0","    0","    1","  147","    0","    1","    0","    0","    1","    1","    1","    0","    0","    0","    0","    0","    0","   21","    0","    0","    2","    1","    0","    0","    4","   44","    0","    0","    0","    0","    0","    1","    0","    0"
"26593","27307","25936","  570","    6","    0","    7","    0","   46","    0","    9","   31","    0","    6","    4","   57","    0","   16","   17","    2","    0","    1","    0","    0","    0","    0","    0","    0","    4","    6","    0","   14","   18","    0","    0","    0","    0","    7","    4","   32","    0","    0","    7","    0","    0","    1","    1","   13","    0","    4","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    1","    0","    0","    0","    0","    0","    0","    0","    0","    7","    2","    0","    0","    0","   72","    0","    2","    1","    1","  153","    2","   16","    0","    0","    0","    0","    3","  129","    0","    2","    0","    0","    0","    5","    2","    0","    0","    0","    0","    0","    0","    9","    0","    0","    3","    1","    0","    0","    7","   22","    0","    0","    0","    0","    0","    0","    0","    0"
"27084","27821","26408","  580","    5","    0","    3","    0","    6","    2","   17","   51","    0","    4","    5","  147","    0","   34","   18","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    4","    0","    7","   14","    1","    0","    0","    0","   11","    6","   62","    0","    0","    6","    0","    0","    2","    2","   10","    0","   14","    3","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   38","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   59","    1","    1","    0","    0","  246","    1","   28","    0","    0","    1","    0","    0","  139","    0","    1","    0","    0","    0","    7","    5","    0","    0","    0","    0","    0","    0","   15","    0","    0","    6","    3","    0","    1","    5","  158","    0","    0","    0","    0","    0","    0","    0","    0"
"27575","28334","26879","  590","    3","    0","    3","    0","   22","    1","   10","   38","    0","    7","    5","   95","    0","   16","   10","    1","    0","    7","    0","    0","    1","    0","    0","    0","    6","    7","    0","   16","    9","    1","    0","    0","    0","    1","    6","   47","    0","    0","    2","    0","    0","    1","    3","    9","    0","    4","    0","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   28","    1","    0","    0","    0","    0","    0","    0","    1","    0","    3","    1","    1","    0","    0","   42","    1","    2","    0","    0","  179","    2","    8","    0","    0","    0","    0","    2","  103","    0","    2","    0","    0","    0","    7","    3","    0","    0","    0","    0","    0","    0","   15","    0","    0","    3","    0","    0","    0","    7","   22","    0","    0","    0","    0","    0","    0","    0","    0"
"28311","29106","27587","  605","    1","    0","    2","    0","    6","    0","   14","   42","    0","    5","   10","  124","    0","   29","   17","    3","    0","    7","    0","    0","    0","    0","    0","    0","    3","    9","    0","   15","    8","    1","    0","    0","    0","   10","    3","   57","    0","    0","    4","    0","    0","    0","    0","    6","    0","   20","    0","    0","    1","   10","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   49","    1","    3","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","   17","    0","    4","    0","    0","  202","    1","   28","    0","    0","    0","    0","    0","  126","    0","    4","    0","    0","    0","   17","    0","    0","    1","    0","    0","    0","    0","   25","    0","    0","    3","    0","    0","    0","    5","   62","    1","    0","    0","    0","    0","    0","    0","    0"
"28557","29364","27823","  610","    2","    0","    4","    0","   12","    0","    5","  140","    0","    8","   14","  163","    0","   89","   29","    3","    1","   13","    0","    0","    0","    0","    0","    0","    2","   16","    0","   39","   26","    0","    0","    0","    0","    2","    4","   56","    0","    0","    8","    0","    0","    1","    1","    6","    0","   12","    0","    1","    1","    8","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   43","    0","    6","    0","    1","  402","    5","   60","    0","    0","    0","    0","    1","  150","    0","    1","    0","    0","    1","   10","    2","    0","    0","    0","    0","    0","    0","   26","    0","    0","    6","    1","    0","    2","   10","  162","    0","    0","    0","    0","    0","    0","    0","    0"
"29293","30136","28530","  625","    2","    0","    3","    0","  111","    0","    2","   86","    0","   19","    4","  210","    0","   28","   42","    0","    0","   21","    0","    0","    0","    0","    0","    0","    4","    6","    0","    7","   10","    0","    0","    0","    0","    8","    1","  158","    0","    0","    4","    0","    0","    1","    0","    4","   19","  165","    1","    0","    0","    5","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    1","   11","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","   56","    0","   10","    0","    0","  537","    3","   33","    0","    5","    1","    4","    4","  145","    0","    4","    0","    0","    0","    7","    1","    0","    0","    0","    0","    0","    0","   86","    0","    0","    8","    0","    0","   16","    1","   60","    0","    0","    1","    0","    0","    0","    0","    0"
"29784","30651","29001","  635","    0","    0","    0","    0","    9","    1","    5","  131","    0","    4","    5","  169","    0","   69","   28","    2","    0","    6","    0","    0","    1","    0","    0","    0","    0","   13","    0","   43","   13","    1","    0","    0","    0","    8","    2","   36","    0","    0","    4","    0","    0","    2","    0","    2","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   22","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   26","    0","    4","    2","    0","  319","    2","   54","    0","    1","    0","    0","    0","  137","    0","    2","    0","    0","    0","   13","    4","    0","    0","    0","    0","    0","    0","   17","    0","    0","    3","    1","    0","    3","    8","   70","    0","    0","    0","    0","    0","    0","    0","    0"
"30521","31424","29707","  650","    1","    0","    1","    0","  223","    0","    1","   44","    0","    4","    3","  164","    0","   12","   33","    1","    0","    4","    2","    0","    0","    0","    0","    0","    0","    2","    0","    8","    7","    0","    0","    0","    0","    1","    4","   61","    0","    0","    3","    0","    0","    2","    1","    1","    0","   22","    0","    1","    2","    8","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   22","    7","    5","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","   31","    0","    0","    0","    0","  406","    1","    9","    0","    7","    1","    0","   14","  121","    0","    2","    0","    0","    0","    6","    3","    0","    0","    0","    0","    0","    0","   26","    0","    0","    2","    0","    0","    3","    1","   12","    0","    0","    0","    0","    0","    0","    0","    0"
"31257","32197","30413","  665","    4","    0","    1","    0","  207","    0","    3","   24","    0","    1","    6","   90","    0","    6","   22","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    2","    0","    1","    1","    0","    0","    0","    0","    3","    0","  121","    1","    0","    4","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","   40","    7","    5","    0","    0","    0","    0","    0","    0","    0","    6","    1","    0","    0","    0","   38","    0","    6","    0","    0","  167","    1","    0","    0","    3","    0","   20","   42","   85","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    4","    2","    0","    1","    1","   16","    0","    0","    0","    0","    0","    0","    0","    0"
"31502","32454","30648","  670","   18","    0","    3","    0","  958","    4","    2","   60","    0","   18","   17","  207","    0","   14","   29","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    8","    0","    7","    2","    0","    0","    0","    0","    6","    3","  180","    1","    0","    3","    0","    0","    0","    0","    1","    0","    4","    0","    0","    0","   14","    0","    1","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  198","   27","   25","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","  107","    0","    8","    0","    0","  400","    3","    3","    0","   19","    1","   98","  228","  208","    1","    5","    0","    0","    0","   11","    1","    0","    0","    0","    2","    0","    0","   21","    0","    0","    7","    0","    0","    1","    2","    4","    0","    0","    0","    0","    0","    0","    0","    0"
"31993","32970","31118","  680","   14","    0","    0","    0","  283","    2","    4","   32","    0","    5","   10","   90","    0","    5","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    8","    6","    0","    7","    0","    1","    0","    0","    0","   11","    2","   16","    0","    0","    7","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   23","    4","    0","    0","    0","   85","    0","    5","    0","    1","  173","    5","    0","    0","    0","    0","   15","  108","  247","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    2","    3","    0","    0","    3","   12","    0","    0","    0","    0","    0","    0","    0","    0"
