"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Buxus","Cannabaceae undif.","Carpinus","Caryophyllaceae undif.","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Juglans","Lamiaceae undif.","Ligustrum","Malva","Myriophyllum undif.","Nymphaea","Olea t.","Onagraceae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Sparganium","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Vitis"
"8001","8089","7913","1880","   0","   0","   1","   5","   1","   8","   8","   0","  17","   0","   1"," 186","   0","   0","   0","   0","   0","   0","  28","  18","   0","   0","   4","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","   0","   2","  12","   2","   0","   0","   1","  24","  19","   0","   1","   0","   0","   0","   0","   0","   8","   0","   1","   1","   0","   2","   5","   0"
"8076","8166","7988","1910","   0","   0","   1","   5","   2","   1","   0","   0","   9","   0","   0"," 164","   0","   0","   0","   0","   0","   0","  40","  18","   1","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","  10","   0","   1","   0","   0","   7","  15","   1","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   1","   0","   1","   0"
"8151","8243","8062","1940","   0","   0","   2","   3","   0","   9","   2","   1","  15","   0","   0"," 402","   0","   0","   0","   0","   0","   0","  42","  28","   1","   0","  10","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  26","   0","   0","  15","   3","   0","   0","   0","  14","  17","   0","   0","   0","   0","   0","   0","   0","  13","   0","   3","   1","   0","   3","   7","   0"
"8226","8319","8134","1970","   0","   0","   0","   2","   3","  34","   4","   1","  27","   1","   0"," 228","   0","   0","   0","   0","   0","   0","  44","  20","   0","   0","  10","   3","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   2","   0","   0","   1","   0","  21","   0","   4","  14","   1","   1","   0","   1","  20","  35","   0","   0","   0","   0","   1","   0","   0","  15","   0","   0","   0","   0","   5","  13","   0"
"8301","8397","8208","2000","   0","   0","   1","   2","   2","  16","   2","   0","  12","   1","   0"," 171","   0","   0","   0","   0","   1","   0","  24","  17","   1","   0","   0","   3","   0","   1","   0","   0","   1","   0","   0","   4","   0","   0","   0","   1","   3","   0","   0","   0","   2","  15","   1","   1","   8","   1","   0","   0","   0","   9","   9","   1","   0","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0","   2","   7","   0"
"8376","8474","8280","2030","   0","   1","   1","   1","   5","  28","   3","   0","  25","   3","   0"," 220","   0","   0","   0","   0","   0","   0","  33","  25","   4","   0","   7","   8","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","  17","   0","   1","  12","   0","   0","   0","   1","   4","  13","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   1","   0","   1","  17","   0"
"8501","8603","8400","2080","   0","   0","   0","   6","   2","   1","   8","   1","   2","   0","   0"," 437","   0","   0","   0","   0","   0","   0","  22","  17","   2","   0","   3","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   1","  16","   0","   2","  10","   2","   0","   0","   0","  10","  23","   0","   0","   0","   0","   1","   0","   0","  14","   0","   0","   0","   0","   0","   3","   0"
"8510","8610","8413","2090","   0","   0","   1","   0","   0","  11","   2","   0","  16","   0","   0"," 236","   0","   0","   0","   0","   0","   0","  17","   4","   0","   0","   5","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   3","   7","   0","   0","   0","   2","   1","   4","   0","   0","   0","   1","   0","   0","   0","   8","   0","   0","   2","   0","   0","  12","   0"
"8528","8624","8435","2110","   0","   0","   0","   1","   3","   7","   0","   0","  21","   0","   0","  91","   0","   0","   0","   1","   0","   0","  14","  12","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   1","  21","   1","   3","   0","   0","   0","   0","   0","   5","   5","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   2","   0","   0","   5","   0"
"8546","8641","8455","2130","   0","   0","   0","   0","   2","  11","   2","   0","  18","   0","   0"," 101","   0","   0","   0","   3","   0","   0","  18","  17","   0","   0","   4","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  30","   0","   4","   1","   1","   0","   0","   1","   6","   4","   0","   0","   0","   0","   0","   0","   1","  14","   0","   1","   1","   0","   1","   5","   0"
"8564","8659","8471","2150","   0","   0","   0","   0","   1","  12","   5","   0","  26","   0","   0"," 142","   0","   0","   0","   4","   0","   0","  15","   8","   1","   0","   3","   6","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","  29","   0","   1","   1","   0","   0","   0","   1","   7","   5","   0","   0","   0","   0","   0","   0","   0","  25","   0","   1","   2","   0","   2","   9","   0"
"8582","8680","8485","2170","   0","   0","   0","   2","   2","   5","   1","   0","  29","   0","   0"," 118","   0","   0","   0","   0","   0","   0","  16","  10","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   2","   4","   0","   0","   0","   2","  14","   7","   0","   0","   0","   0","   0","   0","   0","  27","   0","   5","   0","   0","   0","   8","   0"
"8600","8705","8500","2190","   0","   0","   0","   2","   2","   9","   2","   0","  31","   2","   0"," 104","   0","   0","   0","   2","   0","   0","  15","  29","   1","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   4","   0","   0","   0","   0","   2","  10","   4","   0","   0","   0","   0","   0","   0","   0","  10","   0","   1","   3","   0","   0","  12","   0"
"8618","8728","8511","2210","   0","   0","   0","   1","   1","  10","   3","   0","  32","   1","   0"," 106","   0","   0","   0","   2","   0","   0","  22","  27","   4","   0","   9","   3","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","  38","   0","   7","   1","   0","   0","   0","   2","  10","  10","   0","   0","   0","   0","   0","   0","   0","  13","   0","   1","   0","   0","   1","   8","   0"
"8636","8754","8523","2230","   0","   0","   0","   1","   1","  15","   3","   0","  20","   0","   0","  99","   0","   0","   0","   2","   0","   0","  19","  15","   1","   0","   7","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  33","   1","   2","   0","   0","   0","   0","   2","   6","   2","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   1","   0","   0","   8","   0"
"8653","8781","8534","2250","   0","   0","   0","   0","   2","   9","   1","   0","  21","   0","   0","  89","   0","   1","   0","   3","   0","   0","  14","  27","   2","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","  22","   0","   4","   4","   1","   0","   0","   0","  11","   7","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","  11","   0"
"8671","8808","8544","2270","   1","   0","   0","   1","   1","   8","   2","   0","  12","   1","   0","  99","   0","   0","   1","   2","   0","   0","  19","  25","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   1","  48","   0","   6","   3","   0","   0","   0","   1","   9","   9","   0","   0","   0","   0","   2","   0","   0","  17","   0","   0","   1","   0","   2","   7","   0"
"8689","8836","8554","2290","   0","   0","   0","   0","   3","  18","   4","   0","  46","   1","   0"," 147","   0","   0","   1","   2","   0","   0","  45","  35","   1","   0","  10","   6","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","   0","   0","   0","  52","   0","   8","   1","   0","   0","   0","   4","  15","  11","   0","   0","   0","   0","   1","   0","   0","  26","   0","   0","   2","   0","   2","  13","   0"
"8698","8851","8559","2300","   0","   0","   0","   1","   2","  12","   2","   0","  29","   1","   0"," 130","   0","   0","   0","   0","   0","   0","  25","  38","   0","   0","  12","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   2","   5","   0","   0","   0","   1","   6","  12","   0","   0","   0","   0","   0","   0","   0","  17","   0","   1","   2","   0","   0","  12","   0"
"8707","8865","8563","2310","   0","   0","   0","   2","   3","  11","  10","   0","  35","   2","   0"," 103","   0","   0","   1","   0","   0","   0","  39","  23","   1","   0","  12","   4","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","  24","   1","   7","   3","   0","   0","   0","   1","   8","  11","   0","   0","   0","   0","   0","   0","   0","   6","   0","   1","   4","   0","   0","  10","   1"
"8716","8879","8567","2320","   0","   0","   0","   1","   4","  20","   4","   0","  41","   2","   0"," 108","   0","   0","   0","   0","   0","   0","  50","  28","   2","   0","   8","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  21","   0","   1","   5","   0","   0","   0","   1","   5","  12","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   2","   0","   2","  15","   0"
"8725","8894","8571","2330","   0","   0","   0","   1","   6","  13","   2","   0","  35","   0","   0"," 141","   0","   0","   1","   1","   0","   0","  40","  22","   1","   0","  15","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  27","   0","   5","   6","   0","   0","   0","   2","   6","   3","   0","   0","   0","   0","   1","   0","   0","   8","   0","   2","   1","   0","   2","  10","   0"
"8734","8908","8575","2340","   0","   0","   0","   2","   2","  15","   1","   0","  37","   1","   0","  88","   0","   0","   0","   0","   0","   0","  27","  28","   1","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  25","   3","   1","  10","   0","   0","   0","   4","   4","   9","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   2","   0","   0","  14","   0"
"8743","8923","8578","2350","   0","   0","   0","   2","   2","  17","   3","   0","  33","   2","   0"," 194","   0","   0","   0","   1","   0","   0","  33","  30","   2","   0","  13","   2","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","  42","   0","   7","  10","   0","   0","   0","   3","   9","   5","   0","   0","   0","   0","   0","   0","   1","   8","   0","   1","   3","   0","   1","  12","   0"
"8752","8938","8582","2360","   0","   0","   0","   0","   3","  16","   1","   0","  37","   2","   0"," 200","   0","   0","   0","   0","   0","   0","  38","  23","   1","   0","  16","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","  33","   0","   4","   4","   0","   0","   0","   2","   6","   8","   0","   0","   0","   1","   0","   0","   0","   7","   0","   0","   2","   0","   2","  20","   0"
"8761","8953","8585","2370","   0","   0","   0","   0","   2","   9","   2","   0","  20","   1","   0"," 159","   0","   0","   1","   1","   0","   0","  45","  21","   2","   0","  13","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   2","   0","   0","   0","   0","  28","   0","   3","   4","   0","   0","   0","   1","   4","   4","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   2","   0","   1","  11","   0"
"8770","8968","8589","2380","   0","   0","   0","   0","   1","  16","   1","   0","  22","   0","   0"," 120","   0","   0","   1","   1","   0","   0","  25","  22","   0","   0","   4","   0","   2","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   2","   0","   0","   0","   0","  10","   0","   3","   2","   0","   0","   0","   3","   4","   9","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","  14","   0"
"8788","8998","8594","2400","   0","   0","   0","   0","   6","   5","   2","   0","  16","   1","   0"," 107","   0","   0","   0","   0","   0","   0","  27","  20","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","  24","   0","   4","   3","   0","   0","   0","   1","   2","   3","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","   1","   0","   1","  12","   0"
