"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Cannabaceae undif.","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fraxinus","Geraniaceae undif.","Hedera","Hypecoum","Juglans","Lamiaceae undif.","Ligustrum","Lythrum","Malva undif.","Myriophyllum undif.","Myrtaceae undif.","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Sparganium","Tamarix","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"8057","8252","7898"," 920","   0","   0","   0","   0"," 151","  30","  11","   0","  12","   0","   0","   0","   0","   0","   2","   0","   2","  22","  11","   0","   0","   1","   0","   3","   6","   0","   0","   8","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   1","   0","   0","  37","   4","   0","   0","  84","   4","   2","   0","   0","   2","  10","  44","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  17","   0","   0","   1"
"8081","8283","7922"," 930","   0","   0","   0","   1","  61","  16","  19","   0","   7","   0","   0","   0","   0","   0","   0","   0","   2","  16","   3","   0","   0","   0","   0","   1","   8","   0","   0","   3","   2","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  17","   0","   0","   3","  57","   8","   1","   0","  81","  19","   0","   0","   0","   0","  20","  63","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0"
"8106","8311","7944"," 940","   1","   0","   0","   0","  41","  19","  18","   0","  14","   0","   0","   0","   0","   0","   1","   0","   1","  18","   9","   0","   0","   1","   0","   2","  12","   0","   0","  13","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   2","  71","   2","   2","   0","  55","   5","   0","   1","   0","   3","   8","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   2","   0","   5","   0","   0","   0"
"8130","8382","7967"," 950","   1","   0","   0","   0","  21","  18","   6","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","  18","   8","   0","   0","   0","   0","   3","   8","   0","   0","   8","   2","   0","   0","   1","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   5","   0","   0","   1","  84","   5","   0","   0","  92","  15","   0","   0","   0","   0","  14","  33","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 137","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"8155","8415","7992"," 960","   1","   0","   0","   0","  36","  17","   4","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","  33","   3","   0","   0","   0","   0","   2","   7","   0","   0","   7","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   3","  65","   6","   1","   0"," 113","  22","   0","   1","   0","   3","   4","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   0","   1","   0","   0","   3","   0","   0","   1"
"8179","8447","8016"," 970","   0","   0","   0","   1","  40","  15","   7","   0","   6","   0","   1","   0","   0","   0","   0","   0","   1","  56","   5","   0","   0","   2","   0","   0","   7","   0","   0","  24","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  11","   1","   0","   2","  54","   3","   0","   0","  72","   4","   2","   0","   0","   2","   4","  33","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"8204","8479","8040"," 980","   1","   1","   0","   1","  40","  24","  15","   0","  12","   0","   0","   0","   0","   0","   0","   0","   1","  22","   3","   0","   0","   0","   0","   1","   5","   0","   0","   7","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","  22","   0","   0","   3","  48","  20","   1","   0","  87","  13","   0","   2","   0","   0","  36","  65","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   8","   0","   0","   1"
"8228","8510","8063"," 990","   1","   0","   0","   2","  93","  14","   8","   0","  16","   2","   0","   0","   0","   1","   0","   0","   1","  14","   0","   0","   0","   0","   0","   3","   5","   1","   0","  13","   0","   3","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  40","   1","   0","   6","  34","  31","   0","   0","  96","  16","   1","   1","   0","   1","  37","  74","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   4","   0","   0","   2","   0","   0","   0","   0","   1"
"8253","8542","8086","1000","   0","   0","   0","   1","  50","  19","   4","   0","  22","   1","   0","   3","   0","   0","   0","   0","   0","  26","  10","   0","   0","   0","   0","   1","  16","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1"," 130","   5","   0","   0","  55","   4","   2","   0","   0","   3","  12","  35","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   1","   1","  11","   0","   0","   3"
"8277","8576","8110","1010","   0","   0","   0","   1","  23","  29","  10","   0","   9","   1","   0","   0","   0","   0","   1","   0","   0","  17","   9","   0","   0","   1","   0","   5","  12","   0","   0","   7","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  16","   0","   0","   3","  59","   7","   0","   0","  96","  16","   0","   3","   0","   2","  38","  82","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","  46","   0","   2","   0","   0","   0","   0","  14","   0","   0","   4"
"8302","8607","8131","1020","   1","   0","   0","   1","  25","  22","   5","   0","   6","   0","   0","   0","   1","   0","   0","   0","   3","  11","   2","   0","   0","   0","   0","   4","   4","   2","   0","  13","   1","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","  52","   6","   0","   0","  45","   6","   0","   2","   0","   1","  39","  41","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   3","   1","   0","   1"
"8326","8640","8153","1030","   1","   0","   0","   0","  41","  39","  14","   0","  12","   2","   0","   0","   0","   1","   0","   0","   0","  14","  10","   0","   0","   0","   0","   2","  13","   0","   0","  11","   0","   4","   1","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","  23","   0","   0","   4","  32","   5","   0","   0","  77","  24","   0","   0","   0","   0","  44","  86","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   7","   2","   0","   4"
"8351","8674","8176","1040","   1","   0","   0","   1","  30","  18","   9","   0","  14","   2","   0","   0","   0","   0","   0","   1","   0","  12","   7","   0","   0","   0","   0","   4","   4","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   3","  41","   3","   0","   0","  91","   6","   0","   1","   0","   1","  16","  52","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0"
"8375","8708","8197","1050","   1","   0","   0","   0","  39","  15","  11","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","  10","   5","   0","   0","   1","   0","   0","   3","   0","   0","   9","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   1","  35","   1","   0","   0"," 103","  13","   0","   0","   0","   2","  18","  44","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1"
"8400","8742","8219","1060","   0","   0","   0","   1","  42","  21","  11","   0","  12","   0","   0","   0","   0","   0","   0","   0","   1","  11","   4","   0","   0","   1","   0","   5","   0","   0","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  25","   0","   1","   5","  36","   6","   1","   0","  78","  12","   1","   4","   0","   0","  15","  55","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   3","   1","   0","   0","   0","   4","   0","   0","   2"
"8424","8777","8240","1070","   0","   0","   0","   0","  43","  26","  26","   0","   4","   1","   0","   0","   0","   2","   0","   0","   2","  16","   4","   0","   0","   3","   0","   3","   2","   0","   0","  15","   1","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   1","   0","   2","  34","   6","   1","   0","  73","  12","   0","   0","   0","   3","  18","  79","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   9","   0","   0","   2"
"8449","8814","8262","1080","   0","   0","   0","   0","  11","  22","   5","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   8","   7","   0","   2","   2","   0","   4","  12","   0","   0","  12","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9","   2","   0","   1","  66","  10","   0","   0","  83","   4","   2","   2","   0","   2","  21","  63","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   1","   0","   0","   5"
"8473","8850","8283","1090","   0","   0","   1","   2","  83","  22","   9","   0","  12","   4","   0","   6","   2","   0","   1","   0","   1","  26","   4","   0","   0","   4","   0","   6","   8","   0","   0","   7","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   0","   0","   3","  46","  12","   0","   0","  75","   7","   2","   1","   0","   0","  12","  47","   1","   3","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   3"
"8498","8886","8304","1100","   0","   0","   0","   0","  21","  18","   8","   0","  11","   0","   0","   0","   0","   1","   0","   0","   0","  18","   2","   0","   0","   2","   0","   7","  10","   0","   0","   4","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  17","   0","   0","   4","  29","   7","   0","   0","  95","   9","   0","   1","   0","   0","  54","  85","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   4","   1","   0","   1"
"8522","8923","8325","1110","   0","   0","   0","   0","  16","  37","  19","   0","   9","   0","   0","   0","   0","   2","   0","   0","   1","  19","   5","   0","   0","   0","   0","   6","   3","   0","   0","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","  14","   0","   0","   6","  24","   7","   0","   0","  76","   5","   0","   0","   0","   0","  37","  92","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   7","   0","   0","   4"
"8540","8943","8341","1120","   0","   0","   0","   1","  24","  29","   9","   0","   8","   0","   0","   0","   4","   1","   0","   0","   2","  17","   3","   0","   0","   0","   0","   3","   7","   0","   0","   5","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","  13","   0","   0","   1","  35","   4","   0","   0","  77","   7","   0","   0","   0","   1","  34","  93","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   1","   6","   2","   0","   1"
"8552","8950","8354","1130","   1","   0","   0","   0","  12","  16","  14","   0","  10","   2","   0","   0","   1","   0","   0","   0","   0","  18","   5","   0","   0","   0","   0","   6","   6","   0","   0","  11","   0","   1","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","  17","   0","   0","   5","  43","   6","   2","   0"," 136","  16","   0","   2","   3","   2","  22","  68","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   4","   0","   0","   3"
"8563","8955","8365","1140","   0","   0","   1","   0","  25","  34","   7","   0","  11","   1","   0","   0","   0","   1","   2","   0","   1","   6","   9","   0","   0","   0","   0","   4","   6","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  21","   2","   1","   4","  42","   7","   0","   0","  77","   9","   3","   0","   0","   2","  15","  70","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   1","   9","   0","   0","   4"
"8575","8915","8378","1150","   0","   0","   0","   2","  31","  33","   6","   0","   9","   3","   0","   2","   0","   1","   2","   0","   1","  34","   4","   0","   0","   1","   0","   5","   5","   0","   0","   5","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  28","   1","   1","   4","  34","  12","   0","   0","  90","  10","   1","   0","   0","   1","   7","  67","   5","   1","   0","   1","   1","   2","   0","   0","   0","   0","   2","   0","   1","   0","   0","   2","   1","   6","   0","   0","   4"
"8586","8924","8390","1160","   0","   0","   0","   1","  67","  31","   6","   0","   9","   0","   0","   1","   0","   1","   0","   0","   0","  21","   2","   0","   4","   2","   0","   1","   4","   0","   0","   6","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   3","   0","   5","  47","  17","   1","   0"," 118","  20","   1","   0","   0","   0","  13"," 106","   3","   0","   0","   2","   0","   1","   0","   2","   0","   0","   2","   0","   1","   0","   0","   0","   1","   2","   0","   0","   1"
"8598","8934","8403","1170","   0","   0","   0","   0","  55","  23","   4","   0","  15","   0","   0","   3","   0","   1","   0","   0","   3","  21","   3","   0","   1","   0","   0","   0","   7","   0","   0","  15","   0","   0","   3","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  15","   1","   0","   3","  38","   8","   0","   0","  76","   4","   0","   0","   0","   2","  13","  60","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0"
"8609","8945","8415","1180","   0","   1","   0","   1","  27","  24","   4","   0","  13","   1","   0","   1","   0","   0","   0","   0","   0","  18","   4","   0","   0","   0","   0","   1","   5","   0","   0","  18","   1","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   2","   0","   4","  31","  11","   0","   0","  73","   9","   1","   0","   0","   2","   4","  64","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   1","   3","   0","   0","   2"
"8621","8956","8427","1190","   0","   0","   0","   2","  23","  54","   7","   0","  12","   2","   0","   3","   0","   1","   0","   0","   0","  24","   6","   0","   1","   1","   0","   1","  10","   0","   2","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  22","   0","   0","   4","  17","   5","   0","   0","  79","  13","   3","   3","   0","   3","   6","  86","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   0","   6"
"8632","8968","8438","1200","   1","   0","   0","   2","  22","  25","   2","   0","   7","   0","   0","   0","   0","   1","   0","   0","   0","  16","   7","   0","   0","   2","   0","   2","   3","   0","   0","   7","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   1","   0","   1","  39","   2","   0","   0"," 102","  11","   2","   0","   0","   1","   5","  80","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   1","   1","   4","   0","   0","   3"
"8644","8985","8449","1210","   1","   0","   0","   0","  37","  14","   7","   0","  11","   1","   0","   0","   0","   0","   1","   0","   1","  13","   4","   0","   0","   2","   0","   2","   8","   0","   1","  12","   0","   2","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  20","   0","   0","   5","  36","   5","   0","   0"," 100","   6","   0","   0","   0","   1","   8","  68","   2","   0","   3","   1","   1","   0","   0","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   3","   0","   0","   1"
"8655","8996","8461","1220","   0","   0","   0","   3","  32","  21","   6","   0","  11","   2","   0","   0","   1","   1","   0","   0","   0","  14","   2","   0","   3","   1","   0","   1","   9","   0","   0","  10","   5","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   6","   0","   0","   0","  48","   5","   1","   0","  97","  13","   1","   0","   0","   4","  21","  49","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   2","   0","   0","   4"
"8667","9006","8473","1230","   0","   0","   0","   2","  48","  28","   5","   0","   9","   2","   0","   0","   0","   2","   0","   1","   0","  20","   8","   1","   1","   1","   0","   1","   4","   0","   0","   8","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   3","  23","   9","   0","   0"," 127","  19","   0","   1","   0","   2","   5","  93","   8","   2","   1","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   9","   0","   0","   1"
"8678","9014","8484","1240","   0","   0","   0","   0","  44","  28","   2","   0","   9","   1","   0","   0","   0","   0","   0","   0","   0","  18","   6","   0","   0","   0","   0","   2","   5","   0","   1","  11","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  21","   0","   1","   1","  31","  13","   0","   0","  95","  17","   1","   0","   0","   1","   9","  70","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1"
"8690","9020","8494","1250","   0","   0","   0","   0","  48","  34","   7","   0","  21","   0","   0","   0","   0","   1","   0","   0","   0","  24","   4","   0","   0","   2","   0","   2","   7","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   2","   0","   2","  36","  16","   0","   0"," 131","  15","   1","   0","   0","   0","  14","  84","   3","   0","   0","   1","   1","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   4","   0","   0","   3"
"8701","9027","8505","1260","   0","   0","   0","   1","  60","  23","   7","   0","  10","   1","   0","   0","   0","   0","   0","   0","   0","  12","   2","   0","   1","   1","   0","   2","   6","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  22","   2","   0","   6","  23","  28","   2","   0"," 100","  21","   1","   1","   0","   0","  14","  68","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   3"
"8713","8955","8515","1270","   0","   0","   0","   0"," 112","  16","  12","   0","   6","   1","   0","   1","   0","   0","   2","   0","   0","  16","   5","   0","   1","   4","   0","   7","   3","   0","   0","   8","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","   3","   0","   4","  24","  34","   0","   0","  99","  16","   2","   0","   0","   0","  31","  74","   7","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0","   1","   0","   4","   4","   2","   0","   1"
"8724","8965","8527","1280","   0","   0","   1","   0","  96","  23","   7","   0","   6","   0","   0","   0","   0","   0","   0","   0","   3","  20","   4","   0","   1","   3","   0","   1","   9","   0","   0","   8","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  37","   0","   0","   3","  29","  32","   0","   0"," 102","  19","   0","   1","   0","   0","  11","  74","  10","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   1","   1","   0","   0","   1"
"8736","8974","8538","1290","   0","   0","   0","   2","  88","  22","   2","   0","   3","   1","   0","   0","   1","   1","   1","   0","   0","  14","   5","   0","   0","   2","   0","   4","   4","   0","   0","   9","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   0","   2","  40","  42","   0","   0","  92","  20","   1","   3","   0","   1","   8","  83","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   2","   0","   2","   0","   0","   1"
"8747","8983","8550","1300","   0","   0","   0","   2","  68","  18","   9","   0","   3","   2","   0","   0","   1","   0","   0","   0","   2","  16","   5","   0","   0","   2","   0","   5","   6","   1","   0","   8","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  35","   2","   0","   4","  30","  18","   1","   0","  87","  15","   0","   0","   0","   0","  21","  52","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   2","   0","   0","   1","   1","   0","   0","   0","   3"
"8759","8994","8562","1310","   0","   0","   0","   1"," 118","  25","   4","   0","  12","   1","   0","   1","   2","   0","   1","   0","   0","  19","   4","   0","   0","   3","   0","   1","   8","   0","   0","   9","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  35","   0","   0","   3","  32","  25","   1","   0","  87","  25","   0","   1","   0","   0","  11","  70","   6","   2","   0","   1","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0"
"8770","9005","8575","1320","   0","   0","   0","   1","  78","  19","   7","   1","   4","   2","   0","   0","   0","   0","   0","   0","   1","  17","   1","   0","   0","   2","   0","   3","   8","   1","   0","  14","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  37","   0","   0","   3","  23","  27","   1","   0","  98","  12","   1","   0","   0","   1","  39","  69","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   3","   0","   2","   0","   1","   0","   0","   4","   1","   0","   2"
"8782","9014","8585","1330","   1","   0","   0","   0"," 102","  27","   6","   0","  10","   2","   0","   1","   0","   0","   1","   0","   1","  14","   0","   0","   0","   0","   0","   1","   6","   0","   0","  13","   1","   1","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  36","   0","   0","   2","  34","  23","   0","   0"," 108","  19","   0","   0","   0","   1","  10","  93","   9","   4","   1","   1","   0","   0","   0","   0","   0","   0","   5","   1","   2","   0","   0","   2","   0","   3","   1","   0","   3"
"8793","9025","8596","1340","   0","   0","   0","   1","  55","  26","   7","   0","  14","   2","   0","   0","   1","   0","   0","   0","   0","  16","   8","   0","   1","   2","   0","   2","   4","   0","   0","   7","   0","   1","   3","   1","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  28","   0","   0","   2","  31","  10","   0","   0"," 113","  17","   0","   2","   0","   0","  12","  60","  12","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   6","   0","   0","   5"
"8805","9036","8607","1350","   1","   0","   0","   1","  75","  23","  11","   0","   8","   0","   0","   0","   1","   0","   1","   0","   1","  16","   4","   0","   1","   1","   0","   1","   4","   0","   0","   9","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  26","   0","   0","   2","  28","  12","   0","   0"," 101","  24","   0","   0","   0","   0","  10","  67","  10","   1","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   3","   0","   0","   3"
"8816","9046","8617","1360","   0","   0","   0","   2"," 158","  20","  18","   0","   7","   1","   0","   0","   0","   0","   0","   1","   0","  12","   5","   0","   1","   0","   0","   0","   6","   0","   0","   6","   1","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   1","  18","  30","   0","   0","  92","  22","   1","   0","   0","   3","  12","  78","   9","   1","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   1","   0","   0","   1"
"8828","9102","8629","1370","   0","   0","   0","   2","  67","   9","   6","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   8","   5","   0","   0","   3","   0","   1","   6","   0","   0","   2","   0","   0","   1","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","  15","   0","   0","   1","  27","  18","   0","   0"," 103","   9","   0","   0","   0","   3","  22","  39","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","   1","   7","   0","   0","   2"
"8839","9111","8641","1380","   0","   0","   0","   0","  46","  15","   9","   0","   8","   0","   0","   0","   0","   0","   0","   0","   1","   5","   3","   0","   0","   3","   0","   0","   2","   0","   1","   8","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  21","   0","   0","   5","  27","  15","   0","   0","  75","  15","   1","   0","   0","   0","   6","  52","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   1","   0","   1"
"8851","9118","8653","1390","   0","   0","   0","   1","  41","  13","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   8","   2","   0","   0","   1","   0","   1","   0","   0","   0","   7","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   4","  34","  21","   1","   0","  81","  11","   0","   0","   0","   0","  14","  82","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"8863","9126","8666","1400","   0","   0","   1","   2","  33","  23","   5","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","  13","   7","   0","   2","   1","   0","   1","   8","   0","   0","  10","   0","   3","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   1","   0","   2","  40","   7","   1","   0"," 115","  18","   0","   0","   0","   2","  12","  68","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   2"
"8874","9130","8680","1410","   0","   0","   0","   1","  59","  12","   7","   0","  11","   1","   0","   1","   1","   2","   1","   0","   0","  10","   4","   0","   6","   4","   0","   0","   5","   1","   0","  12","   1","   2","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","  34","  31","   1","   0"," 131","  27","   1","   0","   0","   3","   6","  74","  10","   0","   0","   0","   2","   1","   0","   1","   0","   0","   3","   0","   2","   0","   0","   0","   0","   5","   0","   0","   0"
"8886","9124","8694","1420","   1","   0","   0","   0","  29","  21","   1","   0","   9","   1","   0","   0","   0","   0","   0","   0","   0","  16","   6","   0","   0","   2","   0","   7","   8","   0","   0","   4","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","  14","   0","   0","   1","  55","   7","   0","   0"," 139","  11","   1","   0","   0","   2","   5","  33","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   6","   0","   0","   1"
"8897","9137","8708","1430","   0","   0","   0","   0"," 203","  20","  12","   0","  12","   1","   0","   2","   1","   0","   0","   0","   0","  12","   4","   0","   0","   4","   0","   4","   4","   0","   0","  12","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  51","   0","   0","   2","  32","  51","   1","   0"," 103","  29","   0","   0","   1","   1","  19","  55","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"
