"Depth (cm) (rounded)","Depth (cm) [original]","Acacia t.","Acanthaceae undif.","Alchornea","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Calligonum","Capparaceae undif.","Capparis","Cardiospermum","Carpinus","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Chionanthus","Cichorieae","Cissus t.","Cleome","Combretaceae","Commiphora","Corylus","Crossandra","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Enicostema","Ephedra","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fraxinus","Grewioideae","Hyphaene t.","Hypoestes t.","Icacinaceae","Indeterminable","Indigofera","Ixora","Justicia t.","Lamiaceae undif.","Lannea","Lawsonia","Leonotis","Leptaulus","Maerua","Malva undif.","Meliaceae undif.","Mitracarpus","Mitriostigma","Monoletes","Myriophyllum undif.","Nauclea","Nitraria","Nyctaginaceae","Ocimum","Olea t.","Ostrya","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Potamogeton","Pouchetia","Proteaceae","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Salvadora","Searsia","Sesbania","Sherbournia","Spondias","Syzygium t.","Tamarix","Tribulus","Triletes","Typha","Uapaca","Utricularia","Vitis","Ziziphus/Paliurus"
" 491.40"," 491.37","   9.00","   0.00","   0.00","   0.00"," 115.00","   0.00","   1.00","   1.00","  20.00","  33.00","   0.00","   0.00","   1.00","   2.00","   1.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   1.00","  10.00","   0.00","   0.00","   1.00","   0.00","   1.00","  55.00","   0.00","   0.00","   0.00","1190.00","   0.00","   0.00","   0.00","   0.00","   3.00","   2.00","   0.00","   4.00","   0.00","   4.00","   5.00","   2.00","   0.00","   6.00","   4.00","   0.00","   0.00","   0.00","   9.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   1.00","   0.00","  17.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   1.00","   0.00","   1.00","   6.00","   4.00","   0.00","   1.00","   0.00","7880.00","   4.00","   0.00","   0.00","   0.00","   2.00","   2.00","   2.00","   0.00","   4.00","   7.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 715.00","   1.00","   0.00","   0.00","   3.00"
"491.50","491.47","  0.00","  0.00","  0.00","  0.00"," 23.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  8.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 23.00","  0.00","  0.00","  0.00","344.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  1.00","  0.00","  0.00"," 12.00","  0.00","  0.00"," 17.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  0.00","  5.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  1.00","  0.00","  0.00","  2.00","  3.00","  2.00","  0.00","  0.00","888.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","131.00","  0.00","  0.00","  0.00","  0.00"
" 491.60"," 491.61","   1.00","   0.00","   0.00","   0.00","  34.00","   0.00","   0.00","   0.00","   6.00","   8.00","   2.00","   0.00","   1.00","   0.00","   1.00","   3.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","  13.00","   0.00","   0.00","   0.00"," 489.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   1.00","   1.00","   7.00","   1.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","1767.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00"," 201.00","   0.00","   0.00","   0.00","   0.00"
" 491.7"," 491.7","   5.0","   1.0","   1.0","   0.0","  73.0","   0.0","   0.0","   0.0","  16.0","  26.0","   0.0","   0.0","   4.0","   1.0","   0.0","   2.0","   4.0","   0.0","   0.0","   3.0","   0.0","   0.0","  18.0","   1.0","  11.0","   0.0","   0.0","   0.0","   0.0","   3.0","  78.0","   0.0","   0.0","   0.0","1122.0","   0.0","   1.0","   0.0","   1.0","   1.0","   3.0","   0.0","   9.0","   0.0","   2.0","   8.0","   1.0","   0.0","   8.0","   2.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","  18.0","   9.0","   1.0","   0.0","   0.0","5323.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   9.0","   0.0","   9.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   5.0"," 207.0","   0.0","   0.0","   0.0","   6.0"
" 491.80"," 491.83","   0.00","   0.00","   0.00","   0.00","  45.00","   0.00","   0.00","   0.00","   2.00","   8.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  12.00","   1.00","   4.00","   0.00","   0.00","   1.00","   1.00","   0.00","  47.00","   0.00","   0.00","   0.00"," 611.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   3.00","   3.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   7.00","   6.00","   0.00","   1.00","   0.00","1737.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   1.00"," 161.00","   0.00","   0.00","   0.00","   0.00"
" 492.10"," 492.06","   4.00","   0.00","   0.00","   0.00","  62.00","   0.00","   0.00","   0.00","   8.00","  12.00","   1.00","   0.00","   2.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  26.00","   2.00","  12.00","   0.00","   1.00","   0.00","   0.00","   1.00","  54.00","   0.00","   0.00","   0.00"," 645.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   2.00","   7.00","   0.00","   1.00","   5.00","   3.00","   2.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","  17.00","   4.00","   0.00","   2.00","   0.00","2733.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   5.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","  47.00","   0.00","   0.00","   0.00","   5.00"
" 492.10"," 492.14","  10.00","   0.00","   0.00","   0.00","  38.00","   0.00","   0.00","   0.00","   9.00","  15.00","   0.00","   2.00","   4.00","   2.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   9.00","   1.00","  13.00","   1.00","   0.00","   0.00","   0.00","   1.00","  29.00","   0.00","   0.00","   0.00"," 886.00","   1.00","   0.00","   0.00","   0.00","   4.00","   1.00","   1.00","   0.00","   0.00","   3.00","  10.00","   1.00","   0.00","   8.00","   1.00","   1.00","   1.00","   0.00","  19.00","   0.00","   0.00","   1.00","   4.00","   0.00","   1.00","   1.00","   0.00","   9.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   2.00","   0.00","   0.00","   0.00","   8.00","   7.00","   1.00","   0.00","   0.00","5212.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   4.00"," 268.00","   0.00","   0.00","   0.00","   5.00"
" 492.20"," 492.17","   2.00","   0.00","   0.00","   0.00","  31.00","   0.00","   0.00","   0.00","   5.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   0.00","   2.00","   0.00","   0.00","   8.00","   1.00","   4.00","   0.00","   0.00","   0.00","   0.00","   1.00","  19.00","   0.00","   0.00","   0.00"," 627.00","   0.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   4.00","   0.00","   1.00","  13.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   1.00","   0.00","   6.00","   1.00","   0.00","   0.00","   1.00","2116.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   0.00","   3.00","   2.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","  31.00","   0.00","   0.00","   0.00","   1.00"
" 492.30"," 492.26","   6.00","   0.00","   1.00","   1.00","  42.00","   0.00","   0.00","   0.00","   5.00","  11.00","   2.00","   0.00","   4.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   6.00","   2.00","  10.00","   0.00","   0.00","   1.00","   0.00","   2.00","  51.00","   0.00","   0.00","   0.00"," 814.00","   0.00","   0.00","   0.00","   0.00","   2.00","   2.00","   0.00","   3.00","   0.00","   3.00","  17.00","   1.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   6.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  16.00","   4.00","   0.00","   0.00","   0.00","3396.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   4.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 129.00","   0.00","   0.00","   0.00","   6.00"
"492.40","492.37","  3.00","  0.00","  0.00","  0.00"," 10.00","  0.00","  0.00","  0.00","  3.00","  6.00","  1.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  3.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  4.00","  0.00","  1.00","  0.00","193.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  4.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  8.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  2.00","  0.00","  0.00","  0.00","  5.00","  3.00","  1.00","  0.00","  0.00","714.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00"," 15.00","  0.00","  0.00","  0.00","  0.00"
" 492.40"," 492.41","   2.00","   0.00","   0.00","   0.00","  25.00","   0.00","   0.00","   0.00","   5.00","   5.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   7.00","   0.00","   0.00","   1.00","   0.00","   0.00","  24.00","   0.00","   0.00","   0.00"," 440.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   1.00","   1.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   5.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   0.00","1553.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   2.00","   1.00","   4.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00"," 116.00","   0.00","   0.00","   0.00","   1.00"
" 492.50"," 492.47","   8.00","   0.00","   1.00","   0.00","  25.00","   0.00","   0.00","   0.00","   6.00","   7.00","   0.00","   0.00","   2.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   9.00","   0.00","   4.00","   0.00","   0.00","   1.00","   0.00","   0.00","  20.00","   0.00","   0.00","   0.00"," 619.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00","   0.00","   2.00","   3.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   5.00","   0.00","   0.00","   0.00","   1.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   7.00","   3.00","   2.00","   1.00","   0.00","1717.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   3.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","  72.00","   0.00","   0.00","   0.00","   4.00"
" 492.7"," 492.7","   5.0","   0.0","   0.0","   1.0","  23.0","   0.0","   0.0","   0.0","   4.0","   7.0","   4.0","   0.0","   2.0","   2.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","  12.0","   0.0","   1.0","   0.0"," 617.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   3.0","   1.0","   0.0","   0.0","   4.0","   3.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   4.0","   1.0","   0.0","   0.0","1831.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","  50.0","   0.0","   0.0","   1.0","   5.0"
" 492.80"," 492.75","   6.00","   0.00","   0.00","   0.00","  23.00","   0.00","   0.00","   0.00","   9.00","  12.00","   0.00","   0.00","   6.00","   0.00","   0.00","   1.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","  22.00","   1.00","   3.00","   0.00","   0.00","   0.00","   1.00","   1.00","  35.00","   0.00","   0.00","   0.00","1180.00","   0.00","   0.00","   0.00","   0.00","   1.00","   2.00","   0.00","   4.00","   0.00","   3.00","   4.00","   0.00","   0.00","   4.00","   2.00","   0.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   1.00","   0.00","  13.00","   3.00","   1.00","   1.00","   0.00","2637.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   5.00","   0.00","   1.00","   0.00","   0.00","   0.00","   1.00","   0.00","   2.00"," 114.00","   0.00","   0.00","   0.00","   6.00"
" 492.80"," 492.76","  13.00","   1.00","   0.00","   0.00","  37.00","   0.00","   0.00","   0.00","   8.00","  12.00","   2.00","   0.00","   0.00","   0.00","   1.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","  10.00","   1.00","   3.00","   0.00","   0.00","   1.00","   0.00","   0.00","  29.00","   0.00","   0.00","   1.00"," 903.00","   0.00","   0.00","   0.00","   0.00","   2.00","   2.00","   0.00","   5.00","   0.00","   2.00","   1.00","   0.00","   0.00","   4.00","   0.00","   0.00","   0.00","   0.00","   6.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   6.00","   0.00","   1.00","   0.00","   0.00","   0.00","   3.00","   0.00","   0.00","   0.00","   0.00","   5.00","   4.00","   2.00","   0.00","   0.00","2818.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   0.00","   0.00","   3.00","   0.00","   0.00","   2.00","   0.00","   1.00","   3.00"," 102.00","   0.00","   0.00","   0.00","   1.00"
