"Depth","Lezine et al 2017 Calibrated radiocarbon years BP","Hagenia","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Albizia","Alchornea","Algae","Amaranthaceae undif.","Andrachne","Animalia","Anthemideae undif.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Arthrocaulon-type","Asteroideae undif.","Avicennia","Balanites","Barbeya","Blepharis","Boraginaceae undif.","Brassicaceae","Caesalpinioideae undiff.","Calligonum","Capparaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Cassia","Caucanthus","Cedrus","Celosia type","Celtis","Centaurea","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Elaeis","Ephedra","Erica t.","Eriosema","Erodium","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagonia","Fern","Gentiana t.","Geranium","Heliotropium","Justicia t.","Kohautia","Lamiaceae undif.","Lotus t.","Macaranga","Maerua","Maytenus","Melastomataceae","Moltkiopsis","Monoletes","Monsonia","Morella","Neurada","Nyctaginaceae","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Pistacia","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Protist","Psoralea","Rapanea","Resedaceae undiff.","Rhizophora","Rosaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Sorindeia","Spergularia t.","Syzygium t.","Tamarindus","Tamarix","Tephrosia","Tintinnid","Tribulus","Trichodesma","Typha","Unknown","Urtica t.","Vahlia","Verbena t.","Vitaceae undif.","Ziziphus/Paliurus","Zygophyllum t."
"330.5","--/4912/--",NA,"0","0","0","0","0","0","0","109","0","0","1","0","0","27","3","2","7","0","0","0","0","1","0","4","0","0","1","0","0","0","3","0","1","0","0","0","0","6","1","0","0","29","4","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","18","0","0","0","0","352","0","1","0","43","0","0","0","0","0","0","0","0","0","0","2","0","2","0","22","3","0","0","85","0","0","0","0","0","0"
"332.5","--/5004/--",NA,"1","0","0","0","0","1","0","139","0","1","0","2","0","38","16","3","9","0","0","1","0","5","0","3","0","1","0","0","0","0","0","0","1","0","0","0","0","6","1","0","0","30","5","1","0","0","0","0","0","6","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","6","0","0","2","0","17","0","0","0","0","251","0","0","0","64","0","0","1","0","0","0","0","0","0","0","0","1","0","0","8","11","0","1","16","0","0","0","0","0","1"
"335.5","--/5141/--",NA,"0","0","0","0","0","0","2","84","0","0","2","0","0","15","13","0","2","0","0","0","0","0","1","0","0","1","1","1","0","0","4","0","0","0","2","0","0","1","0","0","0","22","0","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","13","0","0","0","0","262","0","0","0","31","0","0","1","0","0","0","0","0","0","0","0","0","0","2","10","3","0","0","32","0","0","0","0","0","0"
"337.5","--/5233/--",NA,"0","0","0","5","0","1","0","92","0","7","1","0","0","13","16","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","13","0","0","0","0","74","0","0","0","61","0","1","0","0","0","0","0","0","0","0","1","0","0","0","11","1","0","0","9","0","0","0","0","0","1"
"340.5","--/5371/--",NA,"0","0","0","1","0","0","0","130","0","14","2","1","0","19","16","4","5","0","0","0","0","0","0","1","0","0","3","0","0","0","2","0","0","0","0","0","0","2","1","0","0","39","1","0","0","2","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","0","0","2","0","28","2","1","0","0","831","0","0","2","80","0","1","1","0","0","0","0","0","0","0","2","0","0","0","9","1","0","2","65","0","0","0","0","0","1"
"342.5","--/5463/--",NA,"1","0","0","0","0","0","0","17","0","0","1","0","0","6","3","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1"
"345.5","--/5601/--",NA,"0","0","0","0","0","0","0","97","0","12","1","0","0","26","12","1","2","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","22","6","1","0","0","0","0","1","3","0","2","0","0","0","0","1","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","14","0","0","0","0","915","0","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","1","0","37","4","1","0","105","0","1","0","0","0","2"
"347.5","--/5693/--",NA,"1","5","0","1","0","0","0","104","0","1","0","0","0","15","13","7","4","0","0","0","0","2","0","3","1","0","0","0","0","0","0","0","2","0","1","0","0","3","1","0","0","32","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","110","0","0","0","83","0","0","0","0","1","0","0","0","0","0","0","0","1","0","12","7","0","1","5","0","0","0","0","0","0"
"349.5","--/5785/--",NA,"0","0","0","0","0","0","0","119","0","4","0","1","0","20","13","4","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","24","2","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","15","2","0","0","0","413","0","0","1","79","0","0","0","0","0","0","0","0","0","0","0","0","2","0","12","4","0","0","89","0","0","0","0","0","0"
"355.6","--/6060/--",NA,"0","0","0","0","0","0","0","112","0","1","0","0","0","19","4","3","2","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","1","10","3","3","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","1","0","0","0","775","0","0","3","44","0","0","0","0","0","1","0","0","0","0","0","0","0","0","58","6","0","0","32","0","1","0","0","0","0"
