"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Algae","Amaranthaceae undif.","Arbutus","Artemisia","Asteroideae undif.","Berberis t.","Betula","Buxus","Caryophyllaceae undif.","Centaurea","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Fern","Fraxinus","Fungi","Genisteae","Ilex","Indeterminable","Juglans","Lamiaceae undif.","Lycopodium spike","Lycopodium tablets","Myriophyllum undif.","Olea t.","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Potamogeton","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Rhamnus","Riccia","Salix","Spermatophyta undiff. (trees/shrubs)","Taxus","Thymelaeaceae undif.","Typha","Ulmus t."
"5185.3",NA,NA,"152","2","47","0","1","2","3","0","12","2","0","0","3","4","0","4","0","3","0","0","21","0","0","8","1","0","150","0","3","5","5","10","266","3","0","28","0","5","0","19","5","0","0","1","0","0","5","2","4"
"5233.9",NA,NA,"153","0","38","0","3","0","10","0","7","1","0","0","2","7","4","5","0","3","0","0","32","0","0","6","0","1","150","0","0","4","2","15","275","4","4","41","0","9","0","10","7","0","0","5","0","0","3","5","4"
"5281.1",NA,NA,"154","1","12","0","0","0","6","0","11","1","0","0","0","5","3","4","0","3","0","3","14","0","1","5","0","0","155","0","0","5","3","13","254","4","4","36","0","1","0","35","0","0","0","6","0","0","2","3","3"
"5327.3",NA,NA,"155","3","58","0","1","0","4","1","13","0","0","0","1","10","0","3","0","2","0","0","19","0","1","14","0","0","145","0","5","5","5","18","283","6","0","33","0","7","0","20","5","0","0","2","1","1","0","7","4"
"5375.8",NA,NA,"156","2","67","0","2","0","3","0","5","1","0","0","1","8","0","4","0","11","0","4","18","0","1","11","1","0","156","0","5","4","4","19","278","5","0","32","0","10","12","33","0","0","0","3","0","0","0","6","5"
"5472.0",NA,NA,"158","2","48","1","3","0","4","0","11","1","0","0","2","4","3","3","0","2","0","0","29","0","2","9","0","0","154","0","4","5","5","22","267","3","0","28","0","10","11","19","8","0","0","4","0","0","5","11","6"
"5568.4",NA,NA,"160","3","83","0","4","0","2","0","9","1","0","0","3","7","2","3","0","8","0","4","30","0","1","7","2","0","157","0","3","3","3","20","298","4","3","19","0","11","4","40","8","0","0","2","0","1","0","10","2"
"5616.5",NA,NA,"161","3","73","0","5","1","5","0","8","2","0","0","3","8","0","7","0","2","0","5","10","0","0","9","0","0","154","0","4","12","5","19","291","5","4","20","0","7","6","19","4","0","0","4","0","0","0","4","1"
"5664.9",NA,NA,"162","2","58","0","3","0","4","0","7","1","0","0","2","5","9","5","0","11","0","5","11","0","1","12","0","0","152","0","6","5","4","15","300","5","0","34","0","7","0","25","7","0","0","5","0","2","4","3","5"
"5760.4",NA,NA,"164","2","49","0","2","0","3","0","4","1","0","0","2","10","5","0","0","5","0","0","12","0","2","9","0","0","150","0","4","6","7","19","279","4","0","22","0","9","0","34","5","0","0","6","0","0","0","7","3"
"5854.5",NA,NA,"166","0","55","0","2","0","1","0","12","2","0","0","2","3","0","5","0","3","0","6","12","0","1","7","0","0","145","0","9","4","6","12","256","3","2","45","0","13","0","32","5","0","0","4","0","3","0","6","4"
"5993.5",NA,NA,"169","3","44","0","4","2","2","0","10","1","0","0","1","8","3","8","0","4","0","5","13","0","0","6","1","0","150","0","9","10","5","13","287","5","0","23","0","12","10","38","3","0","0","5","0","0","3","5","4"
