"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cistaceae","Coriaria","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Gentianaceae undif.","Geranium","Hedera","HippophaÃ«","Indeterminable","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Linum t.","Lycopodium spike","Lycopodium tablets","Lythrum","Mercurialis","Morella","Olea t.","Pedicularis","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Spergularia t.","Tamarix","Taraxacum","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianaceae undif.","Vitis"
" 8424",NA,NA," 273","3.5","1","0","0","0","2","0","1","0","0","4","0","3","2","0","0","0","0","0","0","0","0","6","0","1","0","0","0","2","5","0","0","3","3","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","592","21358","0","0","0","2","0","0","0","1","0","82","4","0","0","2","0","0","0","0","0","1","27","19","4","0","1","0","1","0","0","0","0","0","13","0","0","0","0","0","0","4","0","0","0"
" 8544",NA,NA," 277","3.5","0","0","0","2","8","0","0","0","0","1","0","2","0","0","2","0","0","0","0","0","0","6","0","0","0","0","0","1","5","0","0","1","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","2093","21358","0","0","0","2","0","0","0","0","0","256","3","0","0","3","0","0","0","0","0","0","31","25","6","0","0","0","0","1","0","0","0","0","9","0","0","0","0","0","0","9","0","0","0"
" 8723",NA,NA," 283","8.0","0","0","0","0","6","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","2","0","0","0","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1590","37160","0","0","0","2","0","0","0","1","0","129","6","1","0","3","0","0","0","0","0","0","37","13","10","0","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","5","0","0","1"
" 8902",NA,NA," 289","4.0","1","0","0","3","3","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","13","0","0","0","0","0","0","9","0","0","2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1929","21358","0","0","0","0","0","0","0","0","0","231","2","2","0","2","0","0","0","0","0","0","38","30","7","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","5","0","0","0"
" 9021",NA,NA," 293","3.5","0","0","0","0","6","1","0","2","0","1","1","4","0","0","0","0","0","0","0","0","0","10","0","1","0","0","0","0","7","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","620","21358","0","0","0","5","0","0","0","1","0","121","6","2","0","5","0","0","0","0","0","2","31","16","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0"
" 9140",NA,NA," 297","3.5","0","0","0","0","4","0","0","0","0","0","1","3","0","0","0","0","0","0","1","0","0","13","0","2","0","0","0","0","7","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1177","21358","0","1","0","0","0","0","0","0","0","260","2","1","0","1","0","0","0","0","0","1","22","28","4","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","7","0","0","0"
" 9254",NA,NA," 303","3.0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","11","0","3","0","0","0","0","10","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1393","21358","0","0","0","2","0","0","0","0","0","164","10","0","0","2","0","0","0","0","0","0","23","13","2","1","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","4","0","0","0"
" 9321",NA,NA," 307","4.0","0","0","0","0","7","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","1","4","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","1887","21358","0","0","0","2","0","0","0","0","0","610","1","0","0","0","0","0","0","0","0","0","45","27","8","0","0","0","0","1","0","0","0","0","20","0","0","0","0","0","0","4","0","0","0"
" 9388",NA,NA," 311","4.0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","3","0","1","0","0","0","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","486","21358","0","0","0","0","0","0","0","1","0","174","3","1","0","10","0","0","0","1","0","0","46","14","5","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","4","0","0","0"
" 9489",NA,NA," 317","4.0","0","0","0","0","7","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","4","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","505","21358","0","1","0","2","0","0","0","1","0","252","0","0","0","2","0","0","0","0","0","0","31","27","1","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","10","0","0","0"
" 9556",NA,NA," 321","8.0","0","0","0","0","4","0","0","0","0","2","1","2","0","0","1","0","0","0","1","0","0","6","0","0","0","1","0","0","8","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","553","37160","0","0","0","1","0","0","1","0","0","156","6","0","0","4","1","0","0","0","0","0","35","20","3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","8","0","0","0"
" 9657",NA,NA," 327","4.5","0","0","0","0","4","0","0","0","0","2","0","2","0","0","2","0","0","0","0","0","0","7","1","0","0","1","0","0","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","6","0","0","0","248","21358","0","0","0","1","0","0","0","0","0","183","1","0","0","3","0","0","0","0","0","0","25","29","3","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","2","0","0","0"
" 9724",NA,NA," 331","3.5","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","8","0","0","0","0","0","1","8","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","405","21358","0","0","0","1","0","0","0","0","0","227","2","0","0","5","0","0","0","0","0","0","34","22","3","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","4","0","0","0"
" 9825",NA,NA," 337","4.0","0","0","0","3","12","0","1","0","0","6","0","0","0","0","1","0","0","0","0","0","0","6","0","0","0","1","0","0","4","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","224","21358","0","0","0","0","0","0","0","0","0","139","2","0","0","4","1","0","0","0","0","0","32","35","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","3","0","0","0"
" 9926",NA,NA," 343","5.0","0","0","0","0","4","1","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","4","0","1","0","0","0","3","5","0","0","2","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","283","21358","0","0","0","0","0","0","0","0","0","152","3","2","0","7","0","0","0","0","0","0","32","21","3","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","2","0","0","0"
" 9993",NA,NA," 347","4.0","0","0","0","0","6","0","1","1","0","1","1","4","0","0","1","0","0","0","1","0","0","7","0","1","0","1","0","1","7","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","270","21358","0","0","0","0","0","0","0","1","0","137","1","0","0","6","0","0","0","0","0","0","26","22","1","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","1","0","0","0"
"10050",NA,NA," 351","3.5","0","0","0","0","1","0","0","0","0","4","0","2","0","0","1","0","0","0","1","0","0","8","0","0","0","1","0","0","7","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","289","21358","0","0","0","1","0","0","0","0","0","146","5","0","0","8","0","0","0","0","0","0","27","23","3","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","5","0","0","0"
"10103",NA,NA," 355","4.0","0","0","0","0","4","0","1","0","0","3","0","2","0","0","2","0","0","0","0","0","0","4","0","0","0","1","0","1","5","0","0","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","273","25084","0","0","0","2","0","0","0","0","0","164","4","0","0","7","0","0","0","0","0","0","24","32","1","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","2","0","0","0"
"10156",NA,NA," 359","3.0","0","0","0","0","2","0","0","0","0","2","0","3","0","0","1","0","0","0","0","0","0","15","0","3","0","0","0","0","3","0","0","2","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","748","21358","0","0","0","0","0","0","0","0","0","270","4","0","0","7","0","0","0","0","0","0","30","31","0","0","0","0","0","0","1","0","0","0","24","0","0","0","0","0","0","4","0","0","0"
"10209",NA,NA," 363","8.0","0","0","0","0","4","0","0","0","0","2","0","4","0","0","1","0","0","0","3","0","0","4","0","0","0","0","0","1","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","913","37160","0","0","0","0","0","0","0","0","0","239","8","0","0","4","0","0","0","0","0","1","24","18","7","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","1","7","0","0","0"
"10262",NA,NA," 367","4.5","1","1","0","0","4","0","0","0","0","1","0","2","0","0","2","0","0","0","0","0","0","16","0","2","0","0","0","0","8","0","0","3","5","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","489","21358","0","0","0","1","0","0","0","1","0","304","4","0","0","14","0","0","0","0","0","0","36","48","3","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","2","0","0","0"
"10316",NA,NA," 371","4.0","0","0","0","0","8","0","1","0","0","4","1","0","0","0","2","0","0","0","0","0","0","8","0","1","0","0","0","1","4","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","342","21358","0","0","0","0","0","0","0","0","0","213","3","0","0","5","0","0","0","0","0","0","23","26","5","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","1","0","0","0"
"10395",NA,NA," 377","4.0","0","0","0","1","5","0","1","0","0","2","1","3","1","0","2","0","0","0","0","0","2","8","0","0","0","1","0","0","3","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","225","21358","0","0","0","0","0","0","0","0","0","150","2","0","0","8","0","0","0","0","0","1","32","36","4","0","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0","1"
"10448",NA,NA," 381","3.0","0","0","0","0","2","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","6","1","1","0","1","0","2","4","0","0","2","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","303","21358","0","0","0","0","0","0","0","1","0","114","5","1","0","13","0","0","0","0","0","1","19","26","5","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","2","0","0","0"
"10528",NA,NA," 387","4.0","1","0","0","0","5","0","2","0","0","1","0","1","0","0","2","0","0","0","0","0","0","8","2","1","0","0","0","3","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","309","21358","0","0","0","1","0","0","0","2","0","138","1","0","0","4","0","0","0","0","0","0","29","25","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","1","2","0","0","0"
"10608",NA,NA," 393","4.0","0","0","0","0","6","0","0","0","0","3","0","2","0","0","2","1","0","0","2","0","0","6","1","0","0","1","0","4","6","0","0","4","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","248","21358","0","0","0","0","0","0","1","0","0","143","4","2","0","7","0","0","0","0","0","0","22","25","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0"
"10661",NA,NA," 397","4.0","0","0","0","0","7","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","5","0","0","5","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","318","21358","0","1","0","0","0","0","0","0","0","137","1","0","0","10","0","0","0","0","0","0","18","24","2","0","0","0","0","1","0","0","0","0","13","0","0","0","0","0","0","5","0","0","0"
"10741",NA,NA," 403","5.5","0","0","0","0","6","0","0","0","0","1","0","7","0","0","3","0","0","0","1","0","0","11","0","3","0","0","0","2","11","0","0","1","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","208","21358","0","0","0","0","0","0","0","2","0","150","5","1","0","5","0","0","0","0","0","0","12","16","1","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","3","0","0","0"
"10767",NA,NA," 405","3.0","0","0","0","1","12","0","0","0","0","1","0","5","1","0","4","0","0","0","1","0","0","6","1","0","0","1","0","2","9","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","447","21358","0","0","0","0","0","0","0","0","0","140","3","1","0","6","0","0","0","0","0","0","18","18","4","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0"
"10820",NA,NA," 409","4.5","0","0","0","0","10","0","1","0","0","0","0","4","0","0","4","0","0","0","0","0","0","12","1","0","0","0","0","0","5","0","0","1","2","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","332","21358","0","0","0","0","0","0","0","2","0","176","2","1","0","4","0","0","0","0","0","0","12","17","3","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0","0","5","0","0","0"
"10900",NA,NA," 415","4.0","0","0","0","0","6","0","0","1","0","2","0","1","0","0","4","0","0","0","1","0","0","11","2","2","0","1","0","3","5","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","500","21358","0","0","0","1","0","0","0","0","0","240","0","0","0","2","0","0","0","0","0","0","24","23","3","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","3","0","0","0"
"10952",NA,NA," 419","3.0","0","1","0","0","8","0","1","0","0","4","0","2","0","0","3","0","0","0","0","0","0","12","1","1","0","0","0","2","6","0","0","3","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","811","21358","0","0","0","0","0","0","0","0","0","242","6","0","0","5","0","0","0","0","0","0","18","19","1","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","1","0","0","0"
"11027",NA,NA," 425","5.0","0","0","0","2","4","0","1","0","0","4","0","2","0","0","2","0","0","0","1","0","1","12","1","0","0","0","0","2","8","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","358","25084","0","0","0","0","0","0","0","1","0","183","2","0","0","7","0","0","0","0","0","0","20","20","3","0","0","0","1","0","0","0","0","0","12","0","0","0","0","1","0","4","0","0","0"
"11077",NA,NA," 429","4.0","0","0","0","0","6","0","0","0","0","3","1","4","0","0","0","0","0","0","1","0","0","7","1","1","0","0","0","2","7","0","0","4","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","402","21358","0","0","0","0","0","0","0","0","0","196","2","1","0","8","1","0","0","0","0","0","15","19","2","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","5","0","0","0"
"11127",NA,NA," 433","3.0","0","0","0","0","9","0","0","0","0","3","0","4","1","0","3","0","0","0","0","0","0","8","0","0","0","1","0","3","2","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","583","21358","0","0","0","0","0","0","0","0","0","166","1","2","0","1","0","0","0","0","0","0","20","16","7","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","1","0","0","0"
"11177",NA,NA," 437","4.5","0","0","0","0","6","0","1","0","0","4","0","3","0","0","3","0","0","0","2","0","0","10","0","1","0","0","0","7","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","318","21358","0","0","0","0","0","0","0","0","0","149","3","0","0","5","0","0","0","0","0","0","24","27","2","0","0","0","0","0","0","0","0","0","12","0","0","0","0","1","0","1","0","0","0"
"11301",NA,NA," 447","4.0","0","0","0","1","12","0","0","0","0","3","1","5","0","0","1","0","0","0","2","0","1","10","1","0","0","0","0","4","2","0","0","2","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","624","21358","0","0","0","0","0","0","0","0","0","225","0","1","0","7","0","0","0","0","0","0","17","24","1","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0"
"11376",NA,NA," 453","8.0","1","0","0","1","11","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","14","2","1","0","0","0","6","5","0","0","3","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","778","37160","0","0","0","0","0","0","0","0","0","240","0","1","0","5","0","0","0","0","0","0","17","16","1","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0"
"11401",NA,NA," 455","4.0","1","0","0","0","10","0","2","0","0","5","1","2","1","0","2","0","0","0","2","0","0","13","3","0","0","0","0","5","8","0","0","7","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","447","21358","0","0","0","0","0","0","1","3","0","176","2","1","0","5","0","0","0","0","0","0","33","30","1","0","0","0","2","0","0","0","0","0","11","0","0","0","0","0","0","2","0","0","0"
"11426",NA,NA," 457","7.0","1","0","0","1","4","0","1","0","0","1","1","4","0","0","2","0","0","0","0","0","0","13","0","1","0","2","0","6","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","685","21358","0","0","0","0","0","0","0","0","0","237","2","0","0","5","0","0","0","0","0","1","24","12","2","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","1","0","0","0"
"11526",NA,NA," 465","2.5","1","0","0","0","9","0","2","0","0","3","0","5","0","0","1","0","0","0","3","0","1","10","0","2","0","0","0","8","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","399","21358","0","0","0","0","0","0","0","0","0","122","1","2","0","8","0","0","0","0","0","0","16","15","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0"
"11576",NA,NA," 469","6.5","0","0","0","1","4","0","0","0","0","2","0","5","0","0","2","0","0","0","1","0","0","6","0","1","0","0","0","4","4","0","0","7","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","634","21358","0","0","0","0","0","0","0","0","0","189","1","0","0","4","0","0","0","0","0","0","29","17","1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","1","0","1","0","0","0"
"11650",NA,NA," 475","3.0","0","0","0","1","3","0","0","0","0","9","0","2","0","0","1","0","0","0","1","0","1","9","1","1","0","0","0","9","3","0","0","4","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","305","21358","0","0","0","0","0","0","0","1","0","101","0","0","0","10","0","0","0","0","0","0","17","17","2","0","0","0","0","0","0","0","0","0","6","0","0","0","0","1","0","2","0","0","0"
"11700",NA,NA," 479","4.0","1","0","0","0","4","0","0","0","0","2","0","3","1","0","5","0","0","0","0","0","0","13","0","1","0","0","0","8","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","416","21358","0","0","0","1","0","0","0","1","0","147","0","0","0","6","0","0","0","0","0","0","24","18","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","1","0","2","0","0","0"
"11775",NA,NA," 485","5.0","0","0","0","5","11","0","0","0","0","22","0","6","1","0","3","0","0","0","1","0","2","24","0","3","0","0","0","5","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","884","25084","0","0","0","1","0","0","0","0","0","199","0","0","0","3","0","0","0","0","0","0","6","23","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","3","0","0","0"
"11830",NA,NA," 489","6.5","0","0","0","0","6","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","18","0","1","0","0","0","8","2","1","0","11","3","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","906","21358","0","0","0","0","0","0","0","0","0","256","2","1","0","7","0","0","0","0","0","0","20","12","2","0","0","0","0","0","0","0","0","0","5","0","1","0","0","0","0","1","0","0","0"
"11918",NA,NA," 495","3.5","4","0","0","0","6","0","2","0","0","9","0","1","0","0","4","0","2","0","1","0","1","19","1","0","0","0","0","9","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","362","25084","0","0","0","0","0","0","0","1","0","113","3","0","0","9","0","0","0","0","0","0","17","12","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"11978",NA,NA," 499","4.5","1","0","0","3","6","0","1","0","0","3","0","1","0","0","2","0","0","0","0","0","0","13","0","0","0","0","0","5","1","0","0","3","6","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","586","21358","0","1","0","1","0","0","0","0","0","202","1","1","0","1","0","0","0","0","0","0","25","18","1","0","1","0","0","0","0","0","0","0","6","0","1","0","0","1","0","1","0","0","0"
"12066",NA,NA," 505","4.0","1","0","0","1","6","0","3","1","0","5","0","0","1","0","1","0","0","0","0","0","1","8","0","1","0","0","0","9","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","337","25084","0","0","0","0","0","0","0","2","0","96","2","0","0","7","0","0","0","0","0","0","26","16","3","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0","0","2","0","0","0"
"12126",NA,NA," 509","3.0","0","0","0","0","3","0","0","1","0","6","0","3","0","0","2","0","0","0","1","0","0","17","1","1","0","0","0","1","1","0","0","4","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","806","21358","0","0","0","0","0","0","0","0","0","202","1","0","0","5","0","0","0","0","0","0","31","9","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0"
"12206",NA,NA," 515","2.5","0","0","0","0","6","0","2","0","0","7","0","0","0","0","0","0","0","0","1","0","1","13","0","0","1","0","0","12","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","512","21358","0","0","0","0","0","0","0","0","0","137","0","0","0","0","0","0","0","0","0","0","18","20","4","1","0","0","0","0","1","0","0","0","10","0","0","0","0","2","0","1","0","0","0"
"12255",NA,NA," 519","4.5","0","0","0","0","18","0","1","0","0","8","0","2","0","0","3","0","0","0","0","0","0","20","4","1","0","0","0","7","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","436","21358","0","0","0","0","0","0","0","1","0","141","0","2","0","3","0","0","0","0","0","0","15","6","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","2","0","0","0"
"12327",NA,NA," 525","3.5","0","0","0","0","6","0","1","0","0","9","0","1","0","0","1","0","0","0","1","0","0","15","0","1","0","0","0","8","2","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","644","25084","0","0","0","0","0","0","0","3","0","154","0","0","0","9","0","0","0","0","0","0","11","22","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"12376",NA,NA," 529","3.5","0","0","0","0","21","0","0","0","0","11","0","4","0","0","5","0","0","0","0","0","0","11","0","0","0","0","0","12","1","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","279","21358","0","0","0","0","0","0","0","1","0","152","0","0","0","2","0","0","0","0","0","0","19","7","0","0","0","1","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"12448",NA,NA," 535","4.0","0","0","0","0","6","0","1","0","0","12","0","0","0","0","1","0","1","0","0","0","1","22","0","5","0","0","0","10","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","365","21358","0","0","0","0","0","0","0","0","0","173","0","0","0","2","0","0","0","0","0","0","9","21","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0"
"12497",NA,NA," 539","4.5","0","0","0","0","10","0","2","0","0","9","0","2","0","0","1","0","0","0","0","0","0","18","1","2","0","0","0","14","2","0","0","6","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","410","21358","0","0","0","0","0","0","0","0","0","254","0","1","0","3","0","0","0","0","0","0","16","10","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","0"
"12569",NA,NA," 545","3.5","1","0","0","0","7","0","1","0","0","13","0","0","0","0","0","0","1","0","0","0","0","18","1","4","0","0","0","13","3","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","340","21358","0","0","0","1","0","0","0","0","0","175","2","0","0","5","0","0","0","0","0","0","10","9","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"12618",NA,NA," 549","4.5","1","0","0","1","10","0","1","0","0","7","1","0","0","0","2","0","0","0","1","0","0","19","1","1","0","0","0","5","0","0","0","2","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","397","21358","0","1","0","0","0","0","0","1","0","252","0","1","0","1","0","0","0","0","0","0","18","17","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0"
"12691",NA,NA," 555","3.0","1","0","0","1","12","0","1","0","0","14","0","3","0","0","1","0","0","0","0","0","1","14","0","3","0","0","0","8","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","429","25084","0","0","0","0","0","0","0","0","0","100","0","0","0","3","0","0","0","0","0","0","11","19","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"12739",NA,NA," 559","4.0","0","0","0","0","14","0","0","0","0","9","0","1","0","0","1","0","0","0","0","0","1","22","0","1","0","0","0","11","1","0","0","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","591","21358","0","0","0","0","0","0","0","0","0","328","0","0","0","0","0","0","0","0","0","0","19","7","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"12812",NA,NA," 565","3.0","5","0","0","0","6","0","0","0","0","7","1","1","1","0","1","0","0","0","1","0","0","41","1","2","0","0","0","7","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","762","25084","0","0","0","0","0","0","0","0","0","336","0","0","0","4","0","0","0","0","0","0","8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
